la_fabrique_de_crimes_01_f000001|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.|Voici déjà plusieurs années que les fabricants de crimes ne livrent rien.
la_fabrique_de_crimes_03_f000117|Les amis, les parents, les domestiques vinrent pendant toute la journée du lendemain reconnaître dans ce rouge fouillis, les morceaux de ceux qui leur étaient chers.|Les amis, les parents, les domestiques vinrent pendant toute la journée du lendemain reconnaître dans ce rouge fouillis, les morceaux de ceux qui leur étaient chers.
la_fabrique_de_crimes_03_f000118|C'était horrible, mais intéressant. Paris tout entier, voulut voir cela, et il vint des gens de province en quantité.|C'était horrible, mais intéressant. Paris tout entier, voulut voir cela, et il vint des gens de province en quantité.
la_fabrique_de_crimes_03_f000119|Les différentes administrations de chemins de fer avaient eu l'excellente idée d'improviser des trains de plaisir.|Les différentes administrations de chemins de fer avaient eu l'excellente idée d'improviser des trains de plaisir.
la_fabrique_de_crimes_03_f000120|Anticipant sur les événements, nous dirons ici que par les soins de l'autorité, ce hachis humain, ces rillettes de cadavres mélangés à la vidange, ne tardèrent pas à mettre la peste noire dans le quartier.|Anticipant sur les événements, nous dirons ici que par les soins de l'autorité, ce hachis humain, ces rillettes de cadavres mélangés à la vidange, ne tardèrent pas à mettre la peste noire dans le quartier.
la_fabrique_de_crimes_03_f000121|Le nombre des victimes de cette cruelle maladie n'est pas venu à notre connaissance, la préfecture de police en garda le secret avec un soin jaloux;|Le nombre des victimes de cette cruelle maladie n'est pas venu à notre connaissance, la préfecture de police en garda le secret avec un soin jaloux;
la_fabrique_de_crimes_03_f000122|mais il fut tellement considérable que 232 familles aisées émigrèrent à Versailles, ville autrefois royale, qui gagne maintenant son pain à faire croire qu'elle a passé un traité avec les épidémies.|mais il fut tellement considérable que 232 familles aisées émigrèrent à Versailles, ville autrefois royale, qui gagne maintenant son pain à faire croire qu'elle a passé un traité avec les épidémies.
la_fabrique_de_crimes_03_f000123|Telles peuvent être les suites des briquets à l'usage des fumeurs.|Telles peuvent être les suites des briquets à l'usage des fumeurs.
la_fabrique_de_crimes_03_f000124|Et chaque fois que vous détournez une institution de son but, vous pouvez vous attendre à des désastres semblables.|Et chaque fois que vous détournez une institution de son but, vous pouvez vous attendre à des désastres semblables.
la_fabrique_de_crimes_03_f000125|Revenons sur nos pas: quelques détails de la catastrophe pourront réjouir les dames.|Revenons sur nos pas: quelques détails de la catastrophe pourront réjouir les dames.
la_fabrique_de_crimes_03_f000126|Il ne restait plus vestige de la voiture de vidange. Le conducteur, les employés avaient été réduits en poussière impalpable ainsi que les trois chevaux percherons.|Il ne restait plus vestige de la voiture de vidange. Le conducteur, les employés avaient été réduits en poussière impalpable ainsi que les trois chevaux percherons.
la_fabrique_de_crimes_03_f000127|C'est ici le lieu de répondre à une lettre anonyme, fruit de la malveillance, qui nous demande comment le malheureux produit de l'incontinence d'un huissier,|C'est ici le lieu de répondre à une lettre anonyme, fruit de la malveillance, qui nous demande comment le malheureux produit de l'incontinence d'un huissier,
la_fabrique_de_crimes_03_f000128|Gringalet, avait pu trouver un abri commode entre la croupe et la queue d'un cheval.|Gringalet, avait pu trouver un abri commode entre la croupe et la queue d'un cheval.
la_fabrique_de_crimes_03_f000129|À quoi servent ces plates objections? Qu'opposer à un fait? Nous méprisons les lettres anonymes. Tel est notre réponse.|À quoi servent ces plates objections? Qu'opposer à un fait? Nous méprisons les lettres anonymes. Tel est notre réponse.
la_fabrique_de_crimes_03_f000130|D'ailleurs, Gringalet était de petite nature. Il avait eu occasion de rendre un service futile au percheron... Bref, le percheron s'était prêté à la chose.|D'ailleurs, Gringalet était de petite nature. Il avait eu occasion de rendre un service futile au percheron... Bref, le percheron s'était prêté à la chose.
la_fabrique_de_crimes_03_f000131|De ce cheval percheron, en particulier, il ne resta qu'une dent de la mâchoire inférieure.|De ce cheval percheron, en particulier, il ne resta qu'une dent de la mâchoire inférieure.
la_fabrique_de_crimes_03_f000132|Gringalet, parvenu plus tard aux honneurs, la fit monter en épingle pour témoigner du miracle qui préserva ses jours. Sa dame la porte.|Gringalet, parvenu plus tard aux honneurs, la fit monter en épingle pour témoigner du miracle qui préserva ses jours. Sa dame la porte.
la_fabrique_de_crimes_03_f000133|Deux brevetés, le marchand de cirage et le commerçant en colle furent foudroyés sur la porte de leur maison.|Deux brevetés, le marchand de cirage et le commerçant en colle furent foudroyés sur la porte de leur maison.
la_fabrique_de_crimes_03_f000134|Ils étaient ennemis, en qualité de voisins: le trépas les réunit.|Ils étaient ennemis, en qualité de voisins: le trépas les réunit.
la_fabrique_de_crimes_03_f000135|Seize jeunes enfants revenant de l'école à cette heure avancée, par suite d'un gala qui avait célébré le jour de naissance de la pension Trîcot, furent massacrés péniblement.|Seize jeunes enfants revenant de l'école à cette heure avancée, par suite d'un gala qui avait célébré le jour de naissance de la pension Trîcot, furent massacrés péniblement.
la_fabrique_de_crimes_03_f000136|Deux amoureux qui causaient, le mari qui les guettait, et la fille de la maison qui profitait de la circonstance pour risquer sa première équipée, reçurent la mort également.|Deux amoureux qui causaient, le mari qui les guettait, et la fille de la maison qui profitait de la circonstance pour risquer sa première équipée, reçurent la mort également.
la_fabrique_de_crimes_03_f000137|Enfin, ils étaient soixante-treize, pas un centimètre humain de moins.|Enfin, ils étaient soixante-treize, pas un centimètre humain de moins.
la_fabrique_de_crimes_03_f000138|Un fait curieux et qui rappelle l'aventure historique du fameux docteur Guillotin, tué par sa propre découverte, c'est que M.|Un fait curieux et qui rappelle l'aventure historique du fameux docteur Guillotin, tué par sa propre découverte, c'est que M.
la_fabrique_de_crimes_03_f000139|et madame Fabrice, brevetés, inventeurs du briquet, furent trouvés au nombre des victimes. Ils étaient dans la force de l'âge, et ils s'aimaient.|et madame Fabrice, brevetés, inventeurs du briquet, furent trouvés au nombre des victimes. Ils étaient dans la force de l'âge, et ils s'aimaient.
la_fabrique_de_crimes_03_f000140|Bien entendu, nous ne faisons entrer dans ce fatal chiffre de 73, ni les chiens, ni les chats, ni les animaux secondaires.|Bien entendu, nous ne faisons entrer dans ce fatal chiffre de 73, ni les chiens, ni les chats, ni les animaux secondaires.
la_fabrique_de_crimes_03_f000141|Quant aux personnages de notre histoire, un instant avant l'explosion, Gringalet avait quitté son poste d'observation.|Quant aux personnages de notre histoire, un instant avant l'explosion, Gringalet avait quitté son poste d'observation.
la_fabrique_de_crimes_03_f000142|Pourquoi? Parce que Messa, Sali et Lina avaient cessé leur conférence pour chanter. Gringalet n'aimait pas la musique.|Pourquoi? Parce que Messa, Sali et Lina avaient cessé leur conférence pour chanter. Gringalet n'aimait pas la musique.
la_fabrique_de_crimes_03_f000143|Ne l'en blâmez pas, ce fut son salut. Au moment même de l'explosion, on avait pu voir mademoiselle de Hachecor, le Rémouleur et le Joueur d'orgues se plonger dans une allée sombre qui faisait face à la Maison du Repris de justice,|Ne l'en blâmez pas, ce fut son salut. Au moment même de l'explosion, on avait pu voir mademoiselle de Hachecor, le Rémouleur et le Joueur d'orgues se plonger dans une allée sombre qui faisait face à la Maison du Repris de justice,
la_fabrique_de_crimes_03_f000144|tandis que Mustapha, plus rapproché de la machine infernale, disparaissait dans un tourbillon de flamme et de fumée.|tandis que Mustapha, plus rapproché de la machine infernale, disparaissait dans un tourbillon de flamme et de fumée.
la_fabrique_de_crimes_03_f000145|Mustapha fut projeté avec une violence excessive jusqu'à la rue du Parc Royal où se termine la rue de Sévigné.|Mustapha fut projeté avec une violence excessive jusqu'à la rue du Parc Royal où se termine la rue de Sévigné.
la_fabrique_de_crimes_03_f000146|Arrivé là, il eut la présence d'esprit de se tâter, car il croyait être mort.|Arrivé là, il eut la présence d'esprit de se tâter, car il croyait être mort.
la_fabrique_de_crimes_03_f000147|Rien ne lui manquait, sinon une oreille emportée par la roue de la voiture à vidange. Il revint en arrière pour la chercher, mais l'obscurité l'empêcha de la rencontrer.|Rien ne lui manquait, sinon une oreille emportée par la roue de la voiture à vidange. Il revint en arrière pour la chercher, mais l'obscurité l'empêcha de la rencontrer.
la_fabrique_de_crimes_03_f000148|Pendant cela, Mandina et ses deux compagnons montaient un escalier étroit, situé au fond de l'allée sombre.|Pendant cela, Mandina et ses deux compagnons montaient un escalier étroit, situé au fond de l'allée sombre.
la_fabrique_de_crimes_03_f000149|Ils comptèrent cent seize marches et s'arrêtèrent devant une petite porte qui avait je ne sais quoi d'énigmatique.|Ils comptèrent cent seize marches et s'arrêtèrent devant une petite porte qui avait je ne sais quoi d'énigmatique.
la_fabrique_de_crimes_03_f000150|Mandina mit un doigt sur sa bouche et dit: -- C'est là! J'ai compté!|Mandina mit un doigt sur sa bouche et dit: -- C'est là! J'ai compté!
la_fabrique_de_crimes_03_f000151|-- Frappez, répliqua Pollux, vous connaissez la façon convenue.|-- Frappez, répliqua Pollux, vous connaissez la façon convenue.
la_fabrique_de_crimes_03_f000152|La fiancée du gendarme obéit; elle frappa quinze coups, ainsi, espacés, 5, 4, 3, 2, 1.|La fiancée du gendarme obéit; elle frappa quinze coups, ainsi, espacés, 5, 4, 3, 2, 1.
la_fabrique_de_crimes_03_f000153|Derrière la porte, on entendit un faible bruit...|Derrière la porte, on entendit un faible bruit...
la_fabrique_de_crimes_03_f000154|-- Qui vive? demanda une voix imposante et cassée.|-- Qui vive? demanda une voix imposante et cassée.
la_fabrique_de_crimes_03_f000155|Le Rémouleur répondit: -- Les Malades du docteur Fandango!|Le Rémouleur répondit: -- Les Malades du docteur Fandango!
la_fabrique_de_crimes_03_f000156|Une clef grinça dans la serrure et la porte laissa voir en s'ouvrant une noble tête de vieillard.|Une clef grinça dans la serrure et la porte laissa voir en s'ouvrant une noble tête de vieillard.
la_fabrique_de_crimes_03_f000157|C'était Silvio Pellico!|C'était Silvio Pellico!
la_fabrique_de_crimes_04_f000001|LES JARDINS DE BABYLONE Il nous reste à dire ce qui advint des trois personnages chargés de crimes, contre lesquels était dirigée la machine infernale:|LES JARDINS DE BABYLONE Il nous reste à dire ce qui advint des trois personnages chargés de crimes, contre lesquels était dirigée la machine infernale:
la_fabrique_de_crimes_04_f000002|Messa, Sali, Lina, Boulet-Rouge, Arbre-à-Couche et Carapace, autrement dit: les trois Pieuvres mâles de l'impasse Guéménée.|Messa, Sali, Lina, Boulet-Rouge, Arbre-à-Couche et Carapace, autrement dit: les trois Pieuvres mâles de l'impasse Guéménée.
la_fabrique_de_crimes_04_f000003|Quand la voiture chargée de gaz délétère éclata, leur première pensée fut de fuir, car jamais vous ne trouverez le vrai courage dans l'âme des traîtres de mélodrame, mais ils n'en eurent pas le temps.|Quand la voiture chargée de gaz délétère éclata, leur première pensée fut de fuir, car jamais vous ne trouverez le vrai courage dans l'âme des traîtres de mélodrame, mais ils n'en eurent pas le temps.
la_fabrique_de_crimes_04_f000004|Ils étaient, pour ainsi dire, au centre de l'explosion qui les surprit de la façon la plus fâcheuse.|Ils étaient, pour ainsi dire, au centre de l'explosion qui les surprit de la façon la plus fâcheuse.
la_fabrique_de_crimes_04_f000005|Les gaz, prenant de l'air, avec une fureur inouïe, les saisirent tous trois ensemble, les soulevèrent, les firent tournoyer dans l'espace comme des brins de paille,|Les gaz, prenant de l'air, avec une fureur inouïe, les saisirent tous trois ensemble, les soulevèrent, les firent tournoyer dans l'espace comme des brins de paille,
la_fabrique_de_crimes_04_f000006|et les lancèrent à trente-deux mètres au dessus de la maison.|et les lancèrent à trente-deux mètres au dessus de la maison.
la_fabrique_de_crimes_04_f000007|Tancrède, dit Chauve-Sourire enfermé dans la chambre de Mandina, les vit passer devant la fenêtre avec une vitesse de projectiles.|Tancrède, dit Chauve-Sourire enfermé dans la chambre de Mandina, les vit passer devant la fenêtre avec une vitesse de projectiles.
la_fabrique_de_crimes_04_f000008|Il put croire que tout était fini pour eux: juste châtiment de leurs trop nombreuses faiblesses.|Il put croire que tout était fini pour eux: juste châtiment de leurs trop nombreuses faiblesses.
la_fabrique_de_crimes_04_f000009|Mais, parvenus à trente-deux mètres au-dessus du toit, leur pesanteur spécifique, combattant la force de projection, détermina une triple bascule, qui s'exécuta simultanément;|Mais, parvenus à trente-deux mètres au-dessus du toit, leur pesanteur spécifique, combattant la force de projection, détermina une triple bascule, qui s'exécuta simultanément;
la_fabrique_de_crimes_04_f000010|puis, après être restés un millième de seconde stationnaires dans l'infini, Messa, Sali et Lina commencèrent à tomber avec une vitesse graduée,|puis, après être restés un millième de seconde stationnaires dans l'infini, Messa, Sali et Lina commencèrent à tomber avec une vitesse graduée,
la_fabrique_de_crimes_04_f000011|triplée par le carré des distances parcourues, ou peut-être par le carré de leurs poids. Bref, c'est à vérifier.|triplée par le carré des distances parcourues, ou peut-être par le carré de leurs poids. Bref, c'est à vérifier.
la_fabrique_de_crimes_04_f000012|Quoi qu'il en soit, ils étaient bel et bien flambés.|Quoi qu'il en soit, ils étaient bel et bien flambés.
la_fabrique_de_crimes_04_f000013|Chauve- Sourire qui les vit à travers les vitres brisées, repasser comme trois boulets de canon leur cria: -- Il m'est impossible d'allumer la fusée volante: méfiez-vous!|Chauve- Sourire qui les vit à travers les vitres brisées, repasser comme trois boulets de canon leur cria: -- Il m'est impossible d'allumer la fusée volante: méfiez-vous!
la_fabrique_de_crimes_04_f000014|Avertissement inutile et tardif.|Avertissement inutile et tardif.
la_fabrique_de_crimes_04_f000015|Mais il y a en ce monde des choses bien bizarres. Ce que nous allons raconter est peut-être trop hardi.|Mais il y a en ce monde des choses bien bizarres. Ce que nous allons raconter est peut-être trop hardi.
la_fabrique_de_crimes_04_f000016|Que voulez-vous que nous y fassions? Les invraisemblances produisent des situations renversantes.|Que voulez-vous que nous y fassions? Les invraisemblances produisent des situations renversantes.
la_fabrique_de_crimes_04_f000017|À l'étage au-dessous de la chambre de Mandina, momentanément habitée par Tancrède, il y avait un balcon.|À l'étage au-dessous de la chambre de Mandina, momentanément habitée par Tancrède, il y avait un balcon.
la_fabrique_de_crimes_04_f000018|En passant près de ce balcon, les trois Pieuvres mâles qui fendaient l'air côte à côte, dans des attitudes diverses, étendirent leurs bras par un mouvement machinal.|En passant près de ce balcon, les trois Pieuvres mâles qui fendaient l'air côte à côte, dans des attitudes diverses, étendirent leurs bras par un mouvement machinal.
la_fabrique_de_crimes_04_f000019|Leurs mains rencontrèrent la grille du balcon et s'y accrochèrent avec la ténacité du désespoir.|Leurs mains rencontrèrent la grille du balcon et s'y accrochèrent avec la ténacité du désespoir.
la_fabrique_de_crimes_04_f000020|La grille fléchit sous leur triple poids, mais elle tint bon, en définitive, et ils se trouvèrent suspendus entre le trottoir et le ciel.|La grille fléchit sous leur triple poids, mais elle tint bon, en définitive, et ils se trouvèrent suspendus entre le trottoir et le ciel.
la_fabrique_de_crimes_04_f000021|Ils étaient un peu étourdis, quoiqu'ils eussent l'habitude des émotions fortes et pénétrantes.|Ils étaient un peu étourdis, quoiqu'ils eussent l'habitude des émotions fortes et pénétrantes.
la_fabrique_de_crimes_04_f000022|Au-dessous d'eux, tout était silence, car la foule des curieux n'avait pas eu le temps de se masser sur le lieu du sinistre.|Au-dessous d'eux, tout était silence, car la foule des curieux n'avait pas eu le temps de se masser sur le lieu du sinistre.
la_fabrique_de_crimes_04_f000023|La première voix qu'ils entendirent appartenait à un sergent de ville, qui disait, modérant la fougue des premiers curieux: -- Tout le monde verra.|La première voix qu'ils entendirent appartenait à un sergent de ville, qui disait, modérant la fougue des premiers curieux: -- Tout le monde verra.
la_fabrique_de_crimes_04_f000024|Pas d'encombrement. En voilà une histoire!|Pas d'encombrement. En voilà une histoire!
la_fabrique_de_crimes_04_f000025|Boulet-Rouge ouvrit enfin les yeux, et voyant la situation de ses deux collègues, Arbre-à-Couche et Carapace, il devina la sienne propre et pensa:|Boulet-Rouge ouvrit enfin les yeux, et voyant la situation de ses deux collègues, Arbre-à-Couche et Carapace, il devina la sienne propre et pensa:
la_fabrique_de_crimes_04_f000026|-- Ce balcon a été notre ange sauveur!|-- Ce balcon a été notre ange sauveur!
la_fabrique_de_crimes_04_f000027|-- Où suis-je? demanda Carapace avec trouble.|-- Où suis-je? demanda Carapace avec trouble.
la_fabrique_de_crimes_04_f000028|Arbre-à-Couche lâcha un large soupir et gigotta. Il se sentait mal à son aise.|Arbre-à-Couche lâcha un large soupir et gigotta. Il se sentait mal à son aise.
la_fabrique_de_crimes_04_f000029|Boulet-Rouge déposa sur la pierre, le cercueil d'enfant qu'il n'avait point abandonné pendant cette péripétie.|Boulet-Rouge déposa sur la pierre, le cercueil d'enfant qu'il n'avait point abandonné pendant cette péripétie.
la_fabrique_de_crimes_04_f000030|Il était gêné par ce petit meuble. Ayant dès lors ses deux mains libres, il exécuta un mouvement gymnastique, en trois temps, bien détachés, et se trouva debout sur le balcon.|Il était gêné par ce petit meuble. Ayant dès lors ses deux mains libres, il exécuta un mouvement gymnastique, en trois temps, bien détachés, et se trouva debout sur le balcon.
la_fabrique_de_crimes_04_f000031|Déjà, en bas, le monde se battait pour voir les corps morts, des bras, des jambes, et l'oreille de Mustapha qu'un antiquaire vola pour l'empailler dans de l'esprit de vin.|Déjà, en bas, le monde se battait pour voir les corps morts, des bras, des jambes, et l'oreille de Mustapha qu'un antiquaire vola pour l'empailler dans de l'esprit de vin.
la_fabrique_de_crimes_04_f000032|Boulet-Rouge aida ses deux compagnons à monter, et ils se trouvèrent bientôt, tous les trois, sains et saufs, en dedans de la balustrade.|Boulet-Rouge aida ses deux compagnons à monter, et ils se trouvèrent bientôt, tous les trois, sains et saufs, en dedans de la balustrade.
la_fabrique_de_crimes_04_f000033|Le balcon du second étage de la Maison du Repris de justice était un de ces jardins suspendus, modeste imitation de ceux de Babylone, qui mettent ça et là un sourire aux façades revêches de nos maisons.|Le balcon du second étage de la Maison du Repris de justice était un de ces jardins suspendus, modeste imitation de ceux de Babylone, qui mettent ça et là un sourire aux façades revêches de nos maisons.
la_fabrique_de_crimes_04_f000034|Il y avait des capucines, des haricots fleurs rouges, des pois de senteur et des cobæas, ces lianes en miniature dont le mièvre feuillage,|Il y avait des capucines, des haricots fleurs rouges, des pois de senteur et des cobæas, ces lianes en miniature dont le mièvre feuillage,
la_fabrique_de_crimes_04_f000035|console et repose les yeux rougis des travailleuses de Paris.|console et repose les yeux rougis des travailleuses de Paris.
la_fabrique_de_crimes_04_f000036|Elles n'ont pas beaucoup d'air, dans leurs mansardes, ces pauvres ouvrières, mais elles cèdent volontiers à ces chers cobæas la moitié de leur air et tout leur soleil,|Elles n'ont pas beaucoup d'air, dans leurs mansardes, ces pauvres ouvrières, mais elles cèdent volontiers à ces chers cobæas la moitié de leur air et tout leur soleil,
la_fabrique_de_crimes_04_f000037|pour avoir pendant les mois d'été, un coin vert où rafraîchir l'inflammation de leurs paupières.|pour avoir pendant les mois d'été, un coin vert où rafraîchir l'inflammation de leurs paupières.
la_fabrique_de_crimes_04_f000038|Il vient parfois un moineau dans ces indignes feuillages, et alors tout l'atelier de sourire.|Il vient parfois un moineau dans ces indignes feuillages, et alors tout l'atelier de sourire.
la_fabrique_de_crimes_04_f000039|L'oiseau égaré leur parle vaguement du ciel libre, des grandes prairies et des haies pleines de chansons qui bordaient la route si longue, si longue...|L'oiseau égaré leur parle vaguement du ciel libre, des grandes prairies et des haies pleines de chansons qui bordaient la route si longue, si longue...
la_fabrique_de_crimes_04_f000040|La route qu'elles prirent un jour pour échanger tout cela contre les puanteurs de Paris.|La route qu'elles prirent un jour pour échanger tout cela contre les puanteurs de Paris.
la_fabrique_de_crimes_04_f000041|Nous avons pris la liberté de semer en passant ces quelques phrases bien senties, pour prouver qu'il y a de la poésie dans notre coeur et de la philosophie dans notre cerveau.|Nous avons pris la liberté de semer en passant ces quelques phrases bien senties, pour prouver qu'il y a de la poésie dans notre coeur et de la philosophie dans notre cerveau.
la_fabrique_de_crimes_04_f000042|Nous n'y reviendrons plus. D'ailleurs ces chères exilées ont Bullier, le Moulin-Rouge, le Casino de Paris, Gugusse, Alphonse et l'absinthe.|Nous n'y reviendrons plus. D'ailleurs ces chères exilées ont Bullier, le Moulin-Rouge, le Casino de Paris, Gugusse, Alphonse et l'absinthe.
la_fabrique_de_crimes_04_f000043|Une lueur venait à travers les carreaux de la croisée. L'oeil perçant de Boulet-Rouge l'aperçut le premier.|Une lueur venait à travers les carreaux de la croisée. L'oeil perçant de Boulet-Rouge l'aperçut le premier.
la_fabrique_de_crimes_04_f000044|-- Silence! dit-il. La destinée nous a conduits dans des lieux habités. À cette heure exceptionnelle, je donnerais mes droits politiques pour un verre de cognac.|-- Silence! dit-il. La destinée nous a conduits dans des lieux habités. À cette heure exceptionnelle, je donnerais mes droits politiques pour un verre de cognac.
la_fabrique_de_crimes_04_f000045|-- Vains désirs, dit Carapace.|-- Vains désirs, dit Carapace.
la_fabrique_de_crimes_04_f000046|-- Nous sommes ici séparés du monde entier, ajouta Arbre-à-Couche.|-- Nous sommes ici séparés du monde entier, ajouta Arbre-à-Couche.
la_fabrique_de_crimes_04_f000047|Boulet-Rouge reprit avec fierté.|Boulet-Rouge reprit avec fierté.
la_fabrique_de_crimes_04_f000048|-- Si grand que soit le danger, je vous sauverai. Après le trouble inséparable d'un pareil accident, mes esprits rentrent dans leur assiette.|-- Si grand que soit le danger, je vous sauverai. Après le trouble inséparable d'un pareil accident, mes esprits rentrent dans leur assiette.
la_fabrique_de_crimes_04_f000049|Je vois les événements d'un oeil froid et calculateur.|Je vois les événements d'un oeil froid et calculateur.
la_fabrique_de_crimes_04_f000050|Nous sommes ici sur le balcon des Piqueuses de bottines réunies, atelier libre...|Nous sommes ici sur le balcon des Piqueuses de bottines réunies, atelier libre...
la_fabrique_de_crimes_04_f000051|-- Quoi, si près de notre point de départ? s'écria Arbre-à-Couche avec l'accent de la surprise.|-- Quoi, si près de notre point de départ? s'écria Arbre-à-Couche avec l'accent de la surprise.
la_fabrique_de_crimes_04_f000052|Une idée sanguinolente traversait déjà l'esprit de Carapace. Il murmura: -- Messa, Sali!|Une idée sanguinolente traversait déjà l'esprit de Carapace. Il murmura: -- Messa, Sali!
la_fabrique_de_crimes_04_f000053|-- Lina! répondirent les deux autres.|-- Lina! répondirent les deux autres.
la_fabrique_de_crimes_04_f000054|-- Les péripéties les plus inattendues, reprit Carapace, ne doivent jamais nous faire oublier notre devoir.|-- Les péripéties les plus inattendues, reprit Carapace, ne doivent jamais nous faire oublier notre devoir.
la_fabrique_de_crimes_04_f000055|Nous appartenons à M. le duc Rudelame-Carthagène par les liens combinés du crime et de l'économie.|Nous appartenons à M. le duc Rudelame-Carthagène par les liens combinés du crime et de l'économie.
la_fabrique_de_crimes_04_f000056|J'ai confusément le soupçon que l'atelier des Piqueuses de bottines réunies appartient à la clientèle du docteur Fandango. Consulte la liste, Arbre-à-Couche.|J'ai confusément le soupçon que l'atelier des Piqueuses de bottines réunies appartient à la clientèle du docteur Fandango. Consulte la liste, Arbre-à-Couche.
la_fabrique_de_crimes_04_f000057|Nous ferons remarquer ici un détail curieux. Quand les trois Pieuvres mâles de l'impasse Guéménée causaient, ils se donnaient mutuellement leurs vrais noms,|Nous ferons remarquer ici un détail curieux. Quand les trois Pieuvres mâles de l'impasse Guéménée causaient, ils se donnaient mutuellement leurs vrais noms,
la_fabrique_de_crimes_04_f000058|mais quand il s'agissait de travailler, ils revenaient à ces mystérieux sobriquets composés de Messalina dédoublé: Messa, Sali, Lina.|mais quand il s'agissait de travailler, ils revenaient à ces mystérieux sobriquets composés de Messalina dédoublé: Messa, Sali, Lina.
la_fabrique_de_crimes_04_f000059|L'attaque règle la défense. Dans le camp opposé, Mandina de Hachecor, Castor, Pollux, Mustapha et le gendarme avaient aussi des professions apparentes qui cachaient des rejetons de l'ancienne féodalité,|L'attaque règle la défense. Dans le camp opposé, Mandina de Hachecor, Castor, Pollux, Mustapha et le gendarme avaient aussi des professions apparentes qui cachaient des rejetons de l'ancienne féodalité,
la_fabrique_de_crimes_04_f000060|des banquiers, des artistes et des bacheliers ès-lettres.|des banquiers, des artistes et des bacheliers ès-lettres.
la_fabrique_de_crimes_04_f000061|Arbre-à-Couche, l'homme aux papiers scellés d'un cachet nobiliaire, fouilla aussitôt dans sa poche avec inquiétude.|Arbre-à-Couche, l'homme aux papiers scellés d'un cachet nobiliaire, fouilla aussitôt dans sa poche avec inquiétude.
la_fabrique_de_crimes_04_f000062|Il songeait à la culbute exécutée à trente-deux mètres au-dessus des toits.|Il songeait à la culbute exécutée à trente-deux mètres au-dessus des toits.
la_fabrique_de_crimes_04_f000063|Pendant ce violent travail, ses poches avaient pu se retourner. Il n'en était rien heureusement, aussi s'écria-t-il: -- Ô providence! je n'ai rien perdu!...|Pendant ce violent travail, ses poches avaient pu se retourner. Il n'en était rien heureusement, aussi s'écria-t-il: -- Ô providence! je n'ai rien perdu!...
la_fabrique_de_crimes_04_f000064|Carapace répondit: -- J'ai bien gardé ma bouteille de fer-blanc bouchée avec du papier gris vert.|Carapace répondit: -- J'ai bien gardé ma bouteille de fer-blanc bouchée avec du papier gris vert.
la_fabrique_de_crimes_04_f000065|Et Boulet-Rouge ajouta d'un air pensif en frappant sur son cercueil d'enfant: -- Tout est étrange dans la situation où nous sommes.|Et Boulet-Rouge ajouta d'un air pensif en frappant sur son cercueil d'enfant: -- Tout est étrange dans la situation où nous sommes.
la_fabrique_de_crimes_04_f000066|Le cercueil d'enfant rendit un son creux difficile à définir.|Le cercueil d'enfant rendit un son creux difficile à définir.
la_fabrique_de_crimes_04_f000067|Boulet-Rouge pâlit. L'idée d'un déficit lui traversa l'esprit comme un éclair.|Boulet-Rouge pâlit. L'idée d'un déficit lui traversa l'esprit comme un éclair.
la_fabrique_de_crimes_04_f000068|-- Mon cercueil se serait-il ouvert à mon insu? s'écria-t-il.|-- Mon cercueil se serait-il ouvert à mon insu? s'écria-t-il.
la_fabrique_de_crimes_04_f000069|Il l'ouvrit précipitamment et, le voyant vide, il râla d'une voix étranglée par la mauvaise humeur: -- J'ai perdu mon enfant!|Il l'ouvrit précipitamment et, le voyant vide, il râla d'une voix étranglée par la mauvaise humeur: -- J'ai perdu mon enfant!
la_fabrique_de_crimes_04_f000070|En ce moment, ses yeux brillèrent d'un éclat sauvage.|En ce moment, ses yeux brillèrent d'un éclat sauvage.
la_fabrique_de_crimes_04_f000071|La prunelle des tigres de la jungle, dans l'Inde, ont de ces lueurs étranges dans les nuits tropicales.|La prunelle des tigres de la jungle, dans l'Inde, ont de ces lueurs étranges dans les nuits tropicales.
la_fabrique_de_crimes_04_f000072|Une plainte faible, un de ces cris particuliers qui sortent des berceaux et qu'on appelle vagissements, avait frappé son oreille subtile à travers la fenêtre close.|Une plainte faible, un de ces cris particuliers qui sortent des berceaux et qu'on appelle vagissements, avait frappé son oreille subtile à travers la fenêtre close.
la_fabrique_de_crimes_04_f000073|-- Ah! se dit-il en lui-même, ce n'est pas la peine de se désoler.|-- Ah! se dit-il en lui-même, ce n'est pas la peine de se désoler.
la_fabrique_de_crimes_04_f000074|Voilà de quoi remplir ma botte.|Voilà de quoi remplir ma botte.
la_fabrique_de_crimes_04_f000075|Arbre-à-Couche, qui avait déplié sa liste aux armes de M. le duc, mit un doigt dans sa bouche et imita le cri du coucou avec une incroyable perfection.|Arbre-à-Couche, qui avait déplié sa liste aux armes de M. le duc, mit un doigt dans sa bouche et imita le cri du coucou avec une incroyable perfection.
la_fabrique_de_crimes_04_f000076|Les deux autres n'ignoraient point ce que signifiait ce signal.|Les deux autres n'ignoraient point ce que signifiait ce signal.
la_fabrique_de_crimes_04_f000077|Ils prêtèrent aussitôt une oreille attentive.|Ils prêtèrent aussitôt une oreille attentive.
