sulamif_s000001|Все суета сует и томление духа, — так говорит Екклезиаст.|Все суета сует и томление духа, - так говорит Екклезиаст.
sulamif_s000203|И вот повелел однажды Соломон устроить в одном из своих покоев прозрачный хрустальный пол с пустым пространством под ним, куда налили воды и пустили живых рыб.|И вот повелел однажды Соломон устроить в одном из своих покоев прозрачный хрустальный пол с пустым пространством под ним, куда налили воды и пустили живых рыб.
sulamif_s000204|и поклонялся царь еще богине Атанаис, в честь которой девушки Финикии. Лидии, Армении и Персии отдавали прохожим свое тело, как священную жертву, на пороге храмов.|и поклонялся царь еще богине Атанаис, в честь которой девушки Финикии. Лидии, Армении и Персии отдавали прохожим свое тело, как священную жертву, на пороге храмов.
sulamif_s000205|Они еще у себя в Ассирии слышали так много о правосудии Соломона, что старались не пропустить ни одного из его слов, чтобы потом рассказывать о суде царя израильтян.|Они еще у себя в Ассирии слышали так много о правосудии Соломона, что старались не пропустить ни одного из его слов, чтобы потом рассказывать о суде царя израильтян.
sulamif_s000206|И когда теперь, после слов первосвященника, вспомнил он это, то сердце его сжалось от печали и страха.|И когда теперь, после слов первосвященника, вспомнил он это, то сердце его сжалось от печали и страха.
sulamif_s000207|Два другие жреца провезли вдоль храма и вокруг каждой из его колонн серебряную кадильницу на колесах. Сипим, густым, пьянящим, ароматным фимиамом наполнился храм,|Два другие жреца провезли вдоль храма и вокруг каждой из его колонн серебряную кадильницу на колесах. Сипим, густым, пьянящим, ароматным фимиамом наполнился храм,
sulamif_s000208|не считая птицы откормленной, оленей, серн и сайгаков, — все это через руки двенадцати приставников шло ежедневно к столу Соломона, а также к столу его двора, свиты и гвардии.|не считая птицы откормленной, оленей, серн и сайгаков, - все это через руки двенадцати приставников шло ежедневно к столу Соломона, а также к столу его двора, свиты и гвардии.
sulamif_s000209|В 480 году по исшествии Израиля, в четвертый год своего царствования, в месяце Зифе, предпринял царь сооружение великого храма господня на горе Мориа и постройку дворца в Иерусалиме.|В четыреста восемьдесят году по исшествии Израиля, в четвертый год своего царствования, в месяце Зифе, предпринял царь сооружение великого храма господня на горе Мориа и постройку дворца в Иерусалиме.
sulamif_s000210|В глубокой, темной каменной нише, среди банок с серой аравийской амброй, пакетов с ливанским ладаном, пучков ароматических трав и склянок с маслами — сидел,|В глубокой, темной каменной нише, среди банок с серой аравийской амброй, пакетов с ливанским ладаном, пучков ароматических трав и склянок с маслами - сидел,
sulamif_s000211|что значит Живущий на Западе.|что значит Живущий на Западе.
sulamif_s000212|Глава двенадцатая|Глава двенадцатая
sulamif_s000213|Царь смеется, тихо обнимает Суламифь, привлекает ее к себе и говорит ей на ухо:|Царь смеется, тихо обнимает Суламифь, привлекает ее к себе и говорит ей на ухо:
sulamif_s000214|Резкий медный звук вдруг пронесся над Иерусалимом. Он долго заунывно дрожал и колебался в воздухе, и когда замолк, то долго еще плыли его трепещущие отзвуки.|Резкий медный звук вдруг пронесся над Иерусалимом. Он долго заунывно дрожал и колебался в воздухе, и когда замолк, то долго еще плыли его трепещущие отзвуки.
sulamif_s000215|Мы с тобою встретимся, Суламифь, и мы не узнаем друг друга, но с тоской и с восторгом будут стремиться наши сердца навстречу, потому что мы уже встречались с тобою,|Мы с тобою встретимся, Суламифь, и мы не узнаем друг друга, но с тоской и с восторгом будут стремиться наши сердца навстречу, потому что мы уже встречались с тобою,
sulamif_s000216|Так проходит минута и две.|Так проходит минута и две.
sulamif_s000217|Подожди, это еще не все. Сегодняшний утренний ветер дал и мне радость, которой я не ожидал. Итак, к дарам этих купцов я прибавлю и свой царский дар.|Подожди, это еще не все. Сегодняшний утренний ветер дал и мне радость, которой я не ожидал. Итак, к дарам этих купцов я прибавлю и свой царский дар.
sulamif_s000218|озолоченном, как смуглый зрелый плод, золотым пухом нежных волос.|озолоченном, как смуглый зрелый плод, золотым пухом нежных волос.
sulamif_s000219|О нет, царь мой, возлюбленный мой, я не жалею. Если бы ты сейчас же встал и ушел от меня и если бы я осуждена была никогда потом не видеть тебя,|О нет, царь мой, возлюбленный мой, я не жалею. Если бы ты сейчас же встал и ушел от меня и если бы я осуждена была никогда потом не видеть тебя,
sulamif_s000220|И вот, когда наступила ночь и луна поднялась над Силоамом, перемешав синюю белизну его домов с черной синевой теней и с матовой зеленью деревьев,|И вот, когда наступила ночь и луна поднялась над Силоамом, перемешав синюю белизну его домов с черной синевой теней и с матовой зеленью деревьев,
sulamif_s000221|ждать его возвращения и никому не отдавать своего девства, кроме него.|ждать его возвращения и никому не отдавать своего девства, кроме него.
sulamif_s000222|В упоении поцеловал царь губы своей милой.|В упоении поцеловал царь губы своей милой.
sulamif_s000223|И трое братьев — недавние враги — с просиявшими лицами поклонились царю в ноги и вышли из судилища рука об руку.|И трое братьев - недавние враги - с просиявшими лицами поклонились царю в ноги и вышли из судилища рука об руку.
sulamif_s000224|бросил гроб вместе с телом великого бога в Нил.|бросил гроб вместе с телом великого бога в Нил.
sulamif_s000225|Да.|Да.
sulamif_s000226|Кроме хлеба и сыра, я купила еще немножко, совсем немножко, розового масла у египтян в старом городе.|Кроме хлеба и сыра, я купила еще немножко, совсем немножко, розового масла у египтян в старом городе.
sulamif_s000227|Пусть каждый из них, — повелел царь, — вылепит из глины ту форму, которую имел камень.|Пусть каждый из них, - повелел царь, - вылепит из глины ту форму, которую имел камень.
sulamif_s000228|Будет справедливо, если ты немножко посидишь с нами.|Будет справедливо, если ты немножко посидишь с нами.
sulamif_s000229|Посмотри, Суламифь, на эти сапфиры. Одни из них похожи цветом на васильки в пшенице, другие на осеннее небо, иные на море в ясную погоду. Это камень девственности — холодный и чистый.|Посмотри, Суламифь, на эти сапфиры. Одни из них похожи цветом на васильки в пшенице, другие на осеннее небо, иные на море в ясную погоду. Это камень девственности - холодный и чистый.
sulamif_s000230|Да, царь! Это так. И богу были угодны наши жертвы, потому что он послал нам добрый ветер.|Да, царь! Это так. И богу были угодны наши жертвы, потому что он послал нам добрый ветер.
sulamif_s000231|Руки царя были нежны, белы, теплы и красивы, как у женщины, но в них заключался такой избыток жизненной силы, что, налагая ладони на темя больных,|Руки царя были нежны, белы, теплы и красивы, как у женщины, но в них заключался такой избыток жизненной силы, что, налагая ладони на темя больных,
sulamif_s000232|О, как ты его любишь, царица! — сказал Элиав с горьким стоном.|О, как ты его любишь, царица! - сказал Элиав с горьким стоном.
sulamif_s000233|теплые огни ласкового, нежного смеха;|теплые огни ласкового, нежного смеха;
sulamif_s000234|в храме, на улицах — два влюбленных, покорных, тоскующих глаза, которые покорно провожали ее.|в храме, на улицах - два влюбленных, покорных, тоскующих глаза, которые покорно провожали ее.
sulamif_s000235|Темная голова исчезает из оконного переплета, звучные шаги обходят дом, затихают у двери. Милый осторожно просовывает руку сквозь дверную скважину.|Темная голова исчезает из оконного переплета, звучные шаги обходят дом, затихают у двери. Милый осторожно просовывает руку сквозь дверную скважину.
sulamif_s000236|Верховный жрец протянул ему нож. Стало невыносимо тихо в храме.|Верховный жрец протянул ему нож. Стало невыносимо тихо в храме.
sulamif_s000237|И бедра твои я увидел. Они стройны, как драгоценная ваза — изделие искусного художника. Отними же твои руки, девушка. Покажи мне лицо твое.|И бедра твои я увидел. Они стройны, как драгоценная ваза - изделие искусного художника. Отними же твои руки, девушка. Покажи мне лицо твое.
sulamif_s000238|а также обвиняемые и преступники под крепкой стражей.|а также обвиняемые и преступники под крепкой стражей.
sulamif_s000239|Что я могу тебе сказать, царица? Сердце мое разрывается от ревности.|Что я могу тебе сказать, царица? Сердце мое разрывается от ревности.
sulamif_s000240|Так пусть ему и принадлежит имение его отца, — решил царь. — Он оказался достойнейшим сыном. Старший же, если хочет, может поступить в число моих телохранителей.|Так пусть ему и принадлежит имение его отца, - решил царь. - Он оказался достойнейшим сыном. Старший же, если хочет, может поступить в число моих телохранителей.
sulamif_s000241|Ее мозаичный пол весь был украшен искусными изображениями рыб, зверей, земноводных и пресмыкающихся. Потолок же был покрыт голубой глазурью, и на нем сияло золотое солнце,|Ее мозаичный пол весь был украшен искусными изображениями рыб, зверей, земноводных и пресмыкающихся. Потолок же был покрыт голубой глазурью, и на нем сияло золотое солнце,
sulamif_s000242|Братья мои рассердились на меня и поставили меня стеречь виноградник, и вот — погляди, как опалило меня солнце!|Братья мои рассердились на меня и поставили меня стеречь виноградник, и вот - погляди, как опалило меня солнце!
sulamif_s000243|лотки, лампады, цветы и светильники, золотые петли к дверям и золотые гвозди, весом в шестьдесят сиклей каждый, за златокованые чаши и блюда,|лотки, лампады, цветы и светильники, золотые петли к дверям и золотые гвозди, весом в шестьдесят сиклей каждый, за златокованые чаши и блюда,
sulamif_s000244|Ты знал, мой возлюбленный, жен и девиц без числа, и все они были самые красивые женщины на земле. Мне стыдно становится, когда я подумаю о себе,|Ты знал, мой возлюбленный, жен и девиц без числа, и все они были самые красивые женщины на земле. Мне стыдно становится, когда я подумаю о себе,
sulamif_s000245|Возвратись в свое жилище, о прекрасный юноша. Видеть тебя — блаженство.|Возвратись в свое жилище, о прекрасный юноша. Видеть тебя - блаженство.
sulamif_s000246|О, если бы ты был моим братом, сосавшим грудь матери моей! Я встретила бы тебя на улице и целовала бы тебя, и никто не осудил бы меня. Я взяла бы тебя за руку и привела бы в дом матери моей.|О, если бы ты был моим братом, сосавшим грудь матери моей! Я встретила бы тебя на улице и целовала бы тебя, и никто не осудил бы меня. Я взяла бы тебя за руку и привела бы в дом матери моей.
sulamif_s000247|И когда это было исполнено, он приказал принести четыре куска сырой глины.|И когда это было исполнено, он приказал принести четыре куска сырой глины.
sulamif_s000248|запах цветущего винограда, радостная свежесть утра и горячая кровь в сердце опьяняют ее, и вот слова наивной песенки мгновенно рождаются у нее на устах и уносятся ветром, забытые навсегда:|запах цветущего винограда, радостная свежесть утра и горячая кровь в сердце опьяняют ее, и вот слова наивной песенки мгновенно рождаются у нее на устах и уносятся ветром, забытые навсегда:
sulamif_s000249|Рабыни надели на нее короткую белую тунику из тончайшего египетского льна и хитон из драгоценного саргонского виссона,|Рабыни надели на нее короткую белую тунику из тончайшего египетского льна и хитон из драгоценного саргонского виссона,
sulamif_s000250|Она же подошла к резной масличной двери и, прижавшись к ней щекою, сказала:|Она же подошла к резной масличной двери и, прижавшись к ней щекою, сказала:
sulamif_s000251|прикосновения его руки искала она повсюду и не находила.|прикосновения его руки искала она повсюду и не находила.
sulamif_s000252|как трава весенняя, и когда смотришь на него долго, то светлеет сердце;|как трава весенняя, и когда смотришь на него долго, то светлеет сердце;
sulamif_s000253|О, как ты прекрасен, возлюбленный мой!|О, как ты прекрасен, возлюбленный мой!
sulamif_s000254|Девушка слабо вскрикивает, закрывает лицо ладонями, а грудь локтями, и так краснеет, что даже уши и шея становятся у нее пурпуровыми.|Девушка слабо вскрикивает, закрывает лицо ладонями, а грудь локтями, и так краснеет, что даже уши и шея становятся у нее пурпуровыми.
sulamif_s000255|Неужели сразу не догадались вы, несчастные крикуны, что старшему брату он оставил все деньги, среднему — весь скот и всех рабов, а младшему — дом и пашню.|Неужели сразу не догадались вы, несчастные крикуны, что старшему брату он оставил все деньги, среднему - весь скот и всех рабов, а младшему - дом и пашню.
sulamif_s000256|И кораллы становились краснее на ее смуглой груди, и оживала бирюза на ее пальцах, и издавали в ее руках трескучие искры те желтые янтарные безделушки,|И кораллы становились краснее на ее смуглой груди, и оживала бирюза на ее пальцах, и издавали в ее руках трескучие искры те желтые янтарные безделушки,
sulamif_s000257|где идол его кивал головою, указывая пути праздничным шествиям, Болом у халдеев, Молохом у хананеев;|где идол его кивал головою, указывая пути праздничным шествиям, Болом у халдеев, Молохом у хананеев;
sulamif_s000258|Суламифь заслушивалась его, когда он рассказывал ей о внутренней природе камней, о их волшебных свойствах и таинственных значениях.|Суламифь заслушивалась его, когда он рассказывал ей о внутренней природе камней, о их волшебных свойствах и таинственных значениях.
sulamif_s000259|повторял его торжественным и печальным мотивом.|повторял его торжественным и печальным мотивом.
sulamif_s000260|Но никому из подданных не воспрещал он приношение жертв любимому богу и даже сам построил на Масличной горе капище Хамосу, мерзости моавитской,|Но никому из подданных не воспрещал он приношение жертв любимому богу и даже сам построил на Масличной горе капище Хамосу, мерзости моавитской,
sulamif_s000261|за слоновую кость и красные бараньи кожи, за железо, оникс и множество мрамора, за драгоценные камни, за золотые цепи, венцы, шнурки, щипцы, сетки,|за слоновую кость и красные бараньи кожи, за железо, оникс и множество мрамора, за драгоценные камни, за золотые цепи, венцы, шнурки, щипцы, сетки,
sulamif_s000262|И затем, обернувшись к жертвеннику, он принял из рук помощника белого голубя с красными лапками, отрезал птице голову, вынул у нее из груди сердце и кровью ее окропил жертвенник и священный нож.|И затем, обернувшись к жертвеннику, он принял из рук помощника белого голубя с красными лапками, отрезал птице голову, вынул у нее из груди сердце и кровью ее окропил жертвенник и священный нож.
sulamif_s000263|Много веков прошло с той поры. Были царства и цари, и от них не осталось следа, как от ветра, пробежавшего над пустыней. Были длинные беспощадные войны,|Много веков прошло с той поры. Были царства и цари, и от них не осталось следа, как от ветра, пробежавшего над пустыней. Были длинные беспощадные войны,
sulamif_s000264|Ты пойдешь сегодня во дворец и убьешь их. Ты убьешь их обоих! Ты убьешь их обоих!|Ты пойдешь сегодня во дворец и убьешь их. Ты убьешь их обоих! Ты убьешь их обоих!
sulamif_s000265|Свидетельствую перед Иеговой, что золото не у меня, а у него!|Свидетельствую перед Иеговой, что золото не у меня, а у него!
sulamif_s000266|светлое лицо израильского царя.|светлое лицо израильского царя.
sulamif_s000267|высокий титул друга царя, и брат Соломона от первого брака Давидова — Далуиа, расслабленный, полумертвый человек, преждевременно впавший в идиотизм от излишеств и пьянства.|высокий титул друга царя, и брат Соломона от первого брака Давидова - Далуиа, расслабленный, полумертвый человек, преждевременно впавший в идиотизм от излишеств и пьянства.
sulamif_s000268|Когда выходил царь из дома Ливанского малыми южными дверями, стал на его пути некто в желтой кожаной одежде, приземистый, широкоплечий человек с темно-красным сумрачным лицом,|Когда выходил царь из дома Ливанского малыми южными дверями, стал на его пути некто в желтой кожаной одежде, приземистый, широкоплечий человек с темно-красным сумрачным лицом,
sulamif_s000269|Оплачемте Озириса, бога Атуму, великого Ун-Нофер-Онуфрия, бога Она!|Оплачемте Озириса, бога Атуму, великого Ун-Нофер-Онуфрия, бога Она!
sulamif_s000270|и нет у человека преимущества перед скотом.|и нет у человека преимущества перед скотом.
sulamif_s000271|Окруженные, осиянные молчаливым светом луны, они забывали о времени, о месте, и вот проходили часы, и они с удивлением замечали, как в решетчатые окна покоя заглядывала розовая заря.|Окруженные, осиянные молчаливым светом луны, они забывали о времени, о месте, и вот проходили часы, и они с удивлением замечали, как в решетчатые окна покоя заглядывала розовая заря.
sulamif_s000272|богиня Нефтис, и могущественный Тоот, и сын богини, светлый Гор, Горизит.|богиня Нефтис, и могущественный Тоот, и сын богини, светлый Гор, Горизит.
sulamif_s000273|Подожди, подожди, красавица! — восклицает он со смехом. — Куда так скоро? Ты провела тайком ночь в постели у своего любезного и еще тепла от его объятий,|Подожди, подожди, красавица! - восклицает он со смехом. - Куда так скоро? Ты провела тайком ночь в постели у своего любезного и еще тепла от его объятий,
sulamif_s000274|Соломон сумеет сохранить необходимую приязнь с повелителем Ассирии и в то же время, ради вечной дружбы с Хирамом Тирским, спасет от разграбления его царство,|Соломон сумеет сохранить необходимую приязнь с повелителем Ассирии и в то же время, ради вечной дружбы с Хирамом Тирским, спасет от разграбления его царство,
sulamif_s000275|чтимый в Фаюмэ под видом крокодила, и Тоот, бог луны, изображаемый, как ибис, в городе Хмуну, и солнечный бог Гор, которому в Эдфу был посвящен копчик,|чтимый в Фаюмэ под видом крокодила, и Тоот, бог луны, изображаемый, как ибис, в городе Хмуну, и солнечный бог Гор, которому в Эдфу был посвящен копчик,
sulamif_s000276|Я знаю, что все они любили тебя, потому что тебя нельзя не любить. Царица Савская приходила к тебе из своей страны. Говорят, она была мудрее и прекраснее всех женщин, когда-либо бывших на земле.|Я знаю, что все они любили тебя, потому что тебя нельзя не любить. Царица Савская приходила к тебе из своей страны. Говорят, она была мудрее и прекраснее всех женщин, когда-либо бывших на земле.
sulamif_s000277|И они ответили:|И они ответили:
sulamif_s000278|Проходит много времени. Почти не закрывая глаз, она погружается в дремоту, но сердце ее бодрствует. Ей грезится, что милый лежит с ней рядом.|Проходит много времени. Почти не закрывая глаз, она погружается в дремоту, но сердце ее бодрствует. Ей грезится, что милый лежит с ней рядом.
sulamif_s000279|Шестьдесят воинов, из числа пятисот самых сильных и храбрых во всем войске, держали посменно караул во внутренних покоях дворца. Пятьсот щитов,|Шестьдесят воинов, из числа пятисот самых сильных и храбрых во всем войске, держали посменно караул во внутренних покоях дворца. Пятьсот щитов,
sulamif_s000280|Я не заметила тебя! — говорит она нежно, и голос ее звучит, как пение флейты. — Откуда ты пришел?|Я не заметила тебя! - говорит она нежно, и голос ее звучит, как пение флейты. - Откуда ты пришел?
sulamif_s000281|мудрой и прекрасной Балкис, вместе с таким количеством ароматных курений, благовонных масл и драгоценных духов, какого до сих пор еще не видали в Израиле.|мудрой и прекрасной Балкис, вместе с таким количеством ароматных курений, благовонных масл и драгоценных духов, какого до сих пор еще не видали в Израиле.
sulamif_s000282|Не бойся смерти, Суламифь! Так же сильна, как и смерть, любовь. Отгони грустные мысли. Хочешь, я расскажу тебе о войнах Давида, о пирах и охотах фараона Суссакима?|Не бойся смерти, Суламифь! Так же сильна, как и смерть, любовь. Отгони грустные мысли. Хочешь, я расскажу тебе о войнах Давида, о пирах и охотах фараона Суссакима?
sulamif_s000283|Он с сияющим лицом протягивает ей навстречу руки.|Он с сияющим лицом протягивает ей навстречу руки.
sulamif_s000284|Прекрасный выстрел, — сказал Соломон. — А младший?|Прекрасный выстрел, - сказал Соломон. - А младший?
sulamif_s000285|голова его была всегда потуплена и слегка дрожала.|голова его была всегда потуплена и слегка дрожала.
sulamif_s000286|за резные и мозаичные орнаменты, залитые и иссеченные в камне изображения львов, херувимов, волов, пальм и ананасов — подарил Соломон Тирскому царю Хираму,|за резные и мозаичные орнаменты, залитые и иссеченные в камне изображения львов, херувимов, волов, пальм и ананасов - подарил Соломон Тирскому царю Хираму,
sulamif_s000287|Внутри же весь шатер был украшен золотым шитьем и драгоценными камнями — любовными дарами жен и дев иерусалимских. И когда стройные черные рабы проносили Соломона в дни великих празднеств среди народа,|Внутри же весь шатер был украшен золотым шитьем и драгоценными камнями - любовными дарами жен и дев иерусалимских. И когда стройные черные рабы проносили Соломона в дни великих празднеств среди народа,
sulamif_s000288|И вот теперь все четверо — Ахиор, Захария и двое свидетелей — стояли перед троном царя Израильского.|И вот теперь все четверо - Ахиор, Захария и двое свидетелей - стояли перед троном царя Израильского.
sulamif_s000289|не тревожь свою возлюбленную, пока она не захочет!|не тревожь свою возлюбленную, пока она не захочет!
sulamif_s000290|помню смешных обезьян в серебряных клетках и чудесных павлинов.|помню смешных обезьян в серебряных клетках и чудесных павлинов.
sulamif_s000291|Перед тем как войти Суламифи в бассейн, молодые прислужницы влили в него ароматные составы, и вода от них побелела, поголубела и заиграла переливами молочного опала.|Перед тем как войти Суламифи в бассейн, молодые прислужницы влили в него ароматные составы, и вода от них побелела, поголубела и заиграла переливами молочного опала.
sulamif_s000292|Долго глядел царь на свою мертвую возлюбленную, потом тихо прикоснулся пальцем к ее лбу, уже начавшему терять теплоту жизни, и медленными шагами вышел из покоя.|Долго глядел царь на свою мертвую возлюбленную, потом тихо прикоснулся пальцем к ее лбу, уже начавшему терять теплоту жизни, и медленными шагами вышел из покоя.
sulamif_s000293|О милый, слова твои волнуют меня. Твоя рука сладко жжет меня. О мой царь, ноги твои как мраморные столбы. Живот твой точно ворох пшеницы, окруженный лилиями.|О милый, слова твои волнуют меня. Твоя рука сладко жжет меня. О мой царь, ноги твои как мраморные столбы. Живот твой точно ворох пшеницы, окруженный лилиями.
sulamif_s000294|Много подобных загадок предлагала царица Соломону, но не могла унизить его мудрость, и всеми тайными чарами ночного сладострастия не сумела она сохранить его любви.|Много подобных загадок предлагала царица Соломону, но не могла унизить его мудрость, и всеми тайными чарами ночного сладострастия не сумела она сохранить его любви.
sulamif_s000295|Вот груди твои — они ароматны. Сосцы твои — как вино!|Вот груди твои - они ароматны. Сосцы твои - как вино!
sulamif_s000296|Надень его на руку, моя возлюбленная, и ты увидишь, как он загорится. Если его растолочь в порошок и принимать с водой, он дает румянец лицу, успокаивает желудок и веселит душу.|Надень его на руку, моя возлюбленная, и ты увидишь, как он загорится. Если его растолочь в порошок и принимать с водой, он дает румянец лицу, успокаивает желудок и веселит душу.
sulamif_s000297|Тогда Соломон произносит голосом, ласкающим ухо:|Тогда Соломон произносит голосом, ласкающим ухо:
sulamif_s000298|Царица Астис.|Царица Астис.
sulamif_s000299|Златоцветом и лилиями покрывала Суламифь свое ложе, приготовляя его к ночи, и, покоясь на ее груди, говорил царь в веселии сердца:|Златоцветом и лилиями покрывала Суламифь свое ложе, приготовляя его к ночи, и, покоясь на ее груди, говорил царь в веселии сердца:
sulamif_s000300|Это не моя мудрость, Суламифь, это слова Агура, сына Иакеева, слышанные от него учениками. Но почтим и чужую мудрость.|Это не моя мудрость, Суламифь, это слова Агура, сына Иакеева, слышанные от него учениками. Но почтим и чужую мудрость.
sulamif_s000301|что гроб волнами отнесло в море и прибило к Библосу, где вокруг него выросло громадное дерево и скрыло в своем стволе тело бога и его плавучий дом.|что гроб волнами отнесло в море и прибило к Библосу, где вокруг него выросло громадное дерево и скрыло в своем стволе тело бога и его плавучий дом.
sulamif_s000302|крепко вытирая кожу, девочки поступали так, как всегда делают женщины при умывании. Они нежно и заботливо натирали водою каждую из своих рук, близко поднося ее к глазам.|крепко вытирая кожу, девочки поступали так, как всегда делают женщины при умывании. Они нежно и заботливо натирали водою каждую из своих рук, близко поднося ее к глазам.
sulamif_s000303|Полутемный алтарь возвышался над всем храмом, и в глубине его тускло блестели золотом стены святилища, скрывавшего изображения Изиды. Трое ворот — большие,|Полутемный алтарь возвышался над всем храмом, и в глубине его тускло блестели золотом стены святилища, скрывавшего изображения Изиды. Трое ворот - большие,
sulamif_s000304|он, как раб, лежит около ее ног и, как собака, не спускает с нее глаз своих.|он, как раб, лежит около ее ног и, как собака, не спускает с нее глаз своих.
sulamif_s000305|Выйдите все. Хушай, ты пойдешь и позовешь ко мне Элиава, начальника царской стражи. Пусть он придет один.|Выйдите все. Хушай, ты пойдешь и позовешь ко мне Элиава, начальника царской стражи. Пусть он придет один.
sulamif_s000306|О дитя, тебе тогда было только восемь лет, — сказал Соломон с грустью.|О дитя, тебе тогда было только восемь лет, - сказал Соломон с грустью.
sulamif_s000307|Песок захрустел на дворе под легкими шагами. И души не стало в девушке. Осторожная рука стучит в окно. Темное лицо мелькает за решеткой. Слышится тихий голос милого:|Песок захрустел на дворе под легкими шагами. И души не стало в девушке. Осторожная рука стучит в окно. Темное лицо мелькает за решеткой. Слышится тихий голос милого:
sulamif_s000308|Бассейн был у царя во дворце, восьмиугольный, прохладный бассейн из белого мрамора. Темно-зеленые малахитовые ступени спускались к его дну. Облицовка из египетской яшмы,|Бассейн был у царя во дворце, восьмиугольный, прохладный бассейн из белого мрамора. Темно-зеленые малахитовые ступени спускались к его дну. Облицовка из египетской яшмы,
