kleinzaches_01_f000001|Erstes Kapitel.|Erstes Kapitel.
kleinzaches_03_f000074|Candida war durch und durch ein heitres unbefangnes Wesen, deshalb ging ihr nichts über ein Gespräch, das sich auf den leichten luftigen Schwingen des unverfänglichsten Humors bewegte.|Candida war durch und durch ein heitres unbefangnes Wesen, deshalb ging ihr nichts über ein Gespräch, das sich auf den leichten luftigen Schwingen des unverfänglichsten Humors bewegte.
kleinzaches_03_f000075|Sie lachte recht herzlich über alles Drollige; sie seufzte nie, als wenn Regenwetter ihr den gehofften Spaziergang verdarb oder, aller Vorsicht ungeachtet, der neue Shawl einen Fleck bekommen hatte.|Sie lachte recht herzlich über alles Drollige; sie seufzte nie, als wenn Regenwetter ihr den gehofften Spaziergang verdarb oder, aller Vorsicht ungeachtet, der neue Shawl einen Fleck bekommen hatte.
kleinzaches_03_f000076|Dabei blickte, gab es wirklichen Anlaß dazu, ein tiefes inniges Gefühl hindurch, das nie in schale Empfindelei ausarten durfte, und so mochte mir und dir, geliebter Leser, die wir nicht zu den Überschwenglichen gehören, das Mädchen eben ganz recht sein.|Dabei blickte, gab es wirklichen Anlaß dazu, ein tiefes inniges Gefühl hindurch, das nie in schale Empfindelei ausarten durfte, und so mochte mir und dir, geliebter Leser, die wir nicht zu den Überschwenglichen gehören, das Mädchen eben ganz recht sein.
kleinzaches_03_f000077|Sehr leicht konnte es mit Balthasar sich anders verhalten!|Sehr leicht konnte es mit Balthasar sich anders verhalten!
kleinzaches_03_f000078|Doch bald muß es sich ja wohl zeigen, inwiefern der prosaische Fabian richtig prophezeit hatte oder nicht!|Doch bald muß es sich ja wohl zeigen, inwiefern der prosaische Fabian richtig prophezeit hatte oder nicht!
kleinzaches_03_f000079|Daß Balthasar vor lauter Unruhe, vor unbeschreiblichem süßen Bangen die ganze Nacht hindurch nicht schlafen konnte: was war natürlicher als das.|Daß Balthasar vor lauter Unruhe, vor unbeschreiblichem süßen Bangen die ganze Nacht hindurch nicht schlafen konnte: was war natürlicher als das.
kleinzaches_03_f000080|Ganz erfüllt von dem Bilde der Geliebten, setzte er sich hin an den Tisch und schrieb eine ziemliche Anzahl artiger wohlklingender Verse nieder, die in einer mystischen Erzählung von der Liebe der Nachtigall zur Purpurrose seinen Zustand schilderten.|Ganz erfüllt von dem Bilde der Geliebten, setzte er sich hin an den Tisch und schrieb eine ziemliche Anzahl artiger wohlklingender Verse nieder, die in einer mystischen Erzählung von der Liebe der Nachtigall zur Purpurrose seinen Zustand schilderten.
kleinzaches_03_f000081|Die wollte er mitnehmen in Mosch Terpins literarischen Tee und damit losfahren auf Candidas unbewahrtes Herz, wenn und wie es nur möglich.|Die wollte er mitnehmen in Mosch Terpins literarischen Tee und damit losfahren auf Candidas unbewahrtes Herz, wenn und wie es nur möglich.
kleinzaches_03_f000082|Fabian lächelte ein wenig, als er, der Verabredung gemäß, zur bestimmten Stunde kam, um seinen Freund Balthasar abzuholen, und ihn zierlicher geputzt fand, als er ihn jemals gesehen.|Fabian lächelte ein wenig, als er, der Verabredung gemäß, zur bestimmten Stunde kam, um seinen Freund Balthasar abzuholen, und ihn zierlicher geputzt fand, als er ihn jemals gesehen.
kleinzaches_03_f000083|Er hatte einen gezackten Kragen von den feinsten Brüßler Kanten umgetan, sein kurzes Kleid mit geschlitzten Ärmeln war von gerissenem Samt.|Er hatte einen gezackten Kragen von den feinsten Brüßler Kanten umgetan, sein kurzes Kleid mit geschlitzten Ärmeln war von gerissenem Samt.
kleinzaches_03_f000084|Und dazu trug er französische Stiefeln mit hohen spitzen Absätzen und silbernen Fransen, einen englischen Hut von feinstem Kastor und dänische Handschuhe.|Und dazu trug er französische Stiefeln mit hohen spitzen Absätzen und silbernen Fransen, einen englischen Hut von feinstem Kastor und dänische Handschuhe.
kleinzaches_03_f000085|So war er ganz deutsch gekleidet, und der Anzug stand ihm über alle Maßen gut, zumal er sein Haar schön kräuseln lassen und das kleine Stutzbärtchen wohl aufgekämmt hatte.|So war er ganz deutsch gekleidet, und der Anzug stand ihm über alle Maßen gut, zumal er sein Haar schön kräuseln lassen und das kleine Stutzbärtchen wohl aufgekämmt hatte.
kleinzaches_03_f000086|Das Herz bebte dem Balthasar vor Entzücken, als in Mosch Terpins Hause Candida ihm entgegentrat, ganz in der Tracht der altdeutschen Jungfrau, freundlich, anmutig in Blick und Wort, im ganzen Wesen, wie man sie immer zu sehen gewohnt.|Das Herz bebte dem Balthasar vor Entzücken, als in Mosch Terpins Hause Candida ihm entgegentrat, ganz in der Tracht der altdeutschen Jungfrau, freundlich, anmutig in Blick und Wort, im ganzen Wesen, wie man sie immer zu sehen gewohnt.
kleinzaches_03_f000087|Mein holdseligstes Fräulein! seufzte Balthasar aus dem Innersten auf, als Candida, die süße Candida selbst, eine Tasse dampfenden Tee ihm darbot.|Mein holdseligstes Fräulein! seufzte Balthasar aus dem Innersten auf, als Candida, die süße Candida selbst, eine Tasse dampfenden Tee ihm darbot.
kleinzaches_03_f000088|Candida schaute ihn aber an mit leuchtenden Augen und sprach: Hier ist Rum und Maraschino, Zwieback und Pumpernickel, lieber Herr Balthasar, greifen Sie doch nur gefälligst zu nach Ihrem Belieben!|Candida schaute ihn aber an mit leuchtenden Augen und sprach: Hier ist Rum und Maraschino, Zwieback und Pumpernickel, lieber Herr Balthasar, greifen Sie doch nur gefälligst zu nach Ihrem Belieben!
kleinzaches_03_f000089|Statt aber auf Rum und Maraschino, Zwieback oder Pumpernickel zu schauen oder gar zuzugreifen, konnte der begeisterte Balthasar den Blick voll schmerzlicher Wehmut der innigsten Liebe nicht abwenden von der holden Jungfrau und rang nach Worten,|Statt aber auf Rum und Maraschino, Zwieback oder Pumpernickel zu schauen oder gar zuzugreifen, konnte der begeisterte Balthasar den Blick voll schmerzlicher Wehmut der innigsten Liebe nicht abwenden von der holden Jungfrau und rang nach Worten,
kleinzaches_03_f000090|die aus tiefster Seele aussprechen sollten, was er eben empfand.|die aus tiefster Seele aussprechen sollten, was er eben empfand.
kleinzaches_03_f000091|Da faßte ihn aber der Professor der Ästhetik, ein großer baumstarker Mann, mit gewaltiger Faust von hinten, drehte ihn herum, daß er mehr Teewasser auf den Boden verschüttete, als eben schicklich,|Da faßte ihn aber der Professor der Ästhetik, ein großer baumstarker Mann, mit gewaltiger Faust von hinten, drehte ihn herum, daß er mehr Teewasser auf den Boden verschüttete, als eben schicklich,
kleinzaches_03_f000092|und rief mit donnernder Stimme: Bester Lukas Kranach, saufen Sie nicht das schnöde Wasser,|und rief mit donnernder Stimme: Bester Lukas Kranach, saufen Sie nicht das schnöde Wasser,
kleinzaches_03_f000093|Sie verderben sich den deutschen Magen total – dort im andern Zimmer hat unser tapferer Mosch eine Batterie der schönsten Flaschen mit edlem Rheinwein aufgepflanzt, die wollen wir sofort spielen lassen!|Sie verderben sich den deutschen Magen total - dort im andern Zimmer hat unser tapferer Mosch eine Batterie der schönsten Flaschen mit edlem Rheinwein aufgepflanzt, die wollen wir sofort spielen lassen!
kleinzaches_03_f000094|Er schleppte den unglücklichen Jüngling fort.|Er schleppte den unglücklichen Jüngling fort.
kleinzaches_03_f000095|Doch aus dem Nebenzimmer trat ihnen der Professor Mosch Terpin entgegen, ein kleines, sehr seltsames Männlein an der Hand führend und laut rufend: Hier, meine Damen und Herren,|Doch aus dem Nebenzimmer trat ihnen der Professor Mosch Terpin entgegen, ein kleines, sehr seltsames Männlein an der Hand führend und laut rufend: Hier, meine Damen und Herren,
kleinzaches_03_f000096|stelle ich Ihnen einen mit den seltensten Eigenschaften hochbegabten Jüngling vor, dem es nicht schwer fallen wird, sich Ihr Wohlwollen, Ihre Achtung zu erwerben.|stelle ich Ihnen einen mit den seltensten Eigenschaften hochbegabten Jüngling vor, dem es nicht schwer fallen wird, sich Ihr Wohlwollen, Ihre Achtung zu erwerben.
kleinzaches_03_f000097|Es ist der junge Herr Zinnober, der erst gestern auf unsere Universität gekommen und die Rechte zu studieren gedenkt!|Es ist der junge Herr Zinnober, der erst gestern auf unsere Universität gekommen und die Rechte zu studieren gedenkt!
kleinzaches_03_f000098|Fabian und Balthasar erkannten auf den ersten Blick den kleinen wunderlichen Knirps, der vor dem Tore ihnen entgegengesprengt und vom Pferde gestürzt war.|Fabian und Balthasar erkannten auf den ersten Blick den kleinen wunderlichen Knirps, der vor dem Tore ihnen entgegengesprengt und vom Pferde gestürzt war.
kleinzaches_03_f000099|Soll ich, sprach Fabian leise zu Balthasar, soll ich denn noch das Alräunchen herausfordern auf Blasrohr oder Schusterpfriem?|Soll ich, sprach Fabian leise zu Balthasar, soll ich denn noch das Alräunchen herausfordern auf Blasrohr oder Schusterpfriem?
kleinzaches_03_f000100|Anderer Waffen kann ich mich doch nicht bedienen wider diesen furchtbaren Gegner.|Anderer Waffen kann ich mich doch nicht bedienen wider diesen furchtbaren Gegner.
kleinzaches_03_f000101|Schäme dich, erwiderte Balthasar, schäme dich, daß du den verwahrlosten Mann verspottest, der, wie du hörst, die seltensten Eigenschaften besitzt und so durch geistigen Wert das ersetzt, was die Natur ihm an körperlichen Vorzügen versagte.|Schäme dich, erwiderte Balthasar, schäme dich, daß du den verwahrlosten Mann verspottest, der, wie du hörst, die seltensten Eigenschaften besitzt und so durch geistigen Wert das ersetzt, was die Natur ihm an körperlichen Vorzügen versagte.
kleinzaches_03_f000102|Dann wandte er sich zum Kleinen und sprach: Ich hoffe nicht, bester Herr Zinnober, daß Ihr gestriger Fall vom Pferde etwa schlimme Folgen gehabt haben wird?|Dann wandte er sich zum Kleinen und sprach: Ich hoffe nicht, bester Herr Zinnober, daß Ihr gestriger Fall vom Pferde etwa schlimme Folgen gehabt haben wird?
kleinzaches_03_f000103|Zinnober hob sich aber, indem er einen kleinen Stock, den er in der Hand trug, hinten unterstemmte, auf den Fußspitzen in die Höhe, so daß er dem Balthasar beinahe bis an den Gürtel reichte,|Zinnober hob sich aber, indem er einen kleinen Stock, den er in der Hand trug, hinten unterstemmte, auf den Fußspitzen in die Höhe, so daß er dem Balthasar beinahe bis an den Gürtel reichte,
kleinzaches_03_f000104|warf den Kopf in den Nacken, schaute mit wildfunkelnden Augen herauf und sprach in seltsam schnarrendem Baßton: Ich weiß nicht, was Sie wollen, wovon Sie sprechen, mein Herr!|warf den Kopf in den Nacken, schaute mit wildfunkelnden Augen herauf und sprach in seltsam schnarrendem Baßton: Ich weiß nicht, was Sie wollen, wovon Sie sprechen, mein Herr!
kleinzaches_03_f000105|Vom Pferde gefallen? ich vom Pferde gefallen?|Vom Pferde gefallen? ich vom Pferde gefallen?
kleinzaches_03_f000106|Sie wissen wahrscheinlich nicht, daß ich der beste Reiter bin, den es geben kann, daß ich niemals vom Pferde falle, daß ich als Freiwilliger unter den Kürassieren den Feldzug mitgemacht und Offizieren und Gemeinen Unterricht gab im Reiten auf der Manège!|Sie wissen wahrscheinlich nicht, daß ich der beste Reiter bin, den es geben kann, daß ich niemals vom Pferde falle, daß ich als Freiwilliger unter den Kürassieren den Feldzug mitgemacht und Offizieren und Gemeinen Unterricht gab im Reiten auf der Manege!
kleinzaches_03_f000107|hm hm – vom Pferde fallen – ich vom Pferde fallen!|hm hm - vom Pferde fallen - ich vom Pferde fallen!
kleinzaches_03_f000108|Damit wollte er sich rasch umwenden, der Stock, auf den er sich gestützt, glitt aber aus, und der Kleine torkelte um und um, dem Balthasar vor die Füße.|Damit wollte er sich rasch umwenden, der Stock, auf den er sich gestützt, glitt aber aus, und der Kleine torkelte um und um, dem Balthasar vor die Füße.
kleinzaches_03_f000109|Balthasar griff herab nach dem Kleinen, ihm aufzuhelfen, und berührte dabei unversehens sein Haupt.|Balthasar griff herab nach dem Kleinen, ihm aufzuhelfen, und berührte dabei unversehens sein Haupt.
kleinzaches_03_f000110|Da stieß der Kleine einen gellenden Schrei aus, daß es im ganzen Saal widerhallte und die Gäste erschrocken auffuhren von ihren Sitzen.|Da stieß der Kleine einen gellenden Schrei aus, daß es im ganzen Saal widerhallte und die Gäste erschrocken auffuhren von ihren Sitzen.
kleinzaches_03_f000111|Man umringte den Balthasar und fragte durcheinander, warum er denn um des Himmels willen so entsetzlich geschrieen.|Man umringte den Balthasar und fragte durcheinander, warum er denn um des Himmels willen so entsetzlich geschrieen.
kleinzaches_03_f000112|Nehmen Sie es nicht übel, bester Herr Balthasar, sprach der Professor Mosch Terpin, aber das war ein etwas wunderlicher Spaß.|Nehmen Sie es nicht übel, bester Herr Balthasar, sprach der Professor Mosch Terpin, aber das war ein etwas wunderlicher Spaß.
kleinzaches_03_f000113|Denn wahrscheinlich wollten Sie uns doch glauben machen, es trete hier jemand einer Katze auf den Schwanz!|Denn wahrscheinlich wollten Sie uns doch glauben machen, es trete hier jemand einer Katze auf den Schwanz!
kleinzaches_03_f000114|Katze – Katze – weg mit der Katze! rief eine nervenschwache Dame und fiel sofort in Ohnmacht, und mit dem Geschrei: Katze – Katze – rannten ein paar alte Herren, die an derselben Idiosynkrasie litten, zur Türe hinaus.|Katze - Katze - weg mit der Katze! rief eine nervenschwache Dame und fiel sofort in Ohnmacht, und mit dem Geschrei: Katze - Katze - rannten ein paar alte Herren, die an derselben Idiosynkrasie litten, zur Türe hinaus.
kleinzaches_03_f000115|Candida, die ihr ganzes Riechfläschchen auf die ohnmächtige Dame ausgegossen, sprach leise zu Balthasar: Aber was richten Sie auch für Unheil an mit Ihrem häßlichen gellenden Miau, lieber Herr Balthasar!|Candida, die ihr ganzes Riechfläschchen auf die ohnmächtige Dame ausgegossen, sprach leise zu Balthasar: Aber was richten Sie auch für Unheil an mit Ihrem häßlichen gellenden Miau, lieber Herr Balthasar!
kleinzaches_03_f000116|Dieser wußte gar nicht, wie ihm geschah.|Dieser wußte gar nicht, wie ihm geschah.
kleinzaches_03_f000117|Glutrot im ganzen Gesicht vor Unwillen und Scham, vermochte er kein Wort herauszubringen, nicht zu sagen, daß es ja der kleine Herr Zinnober und nicht er gewesen, der so entsetzlich gemauzt.|Glutrot im ganzen Gesicht vor Unwillen und Scham, vermochte er kein Wort herauszubringen, nicht zu sagen, daß es ja der kleine Herr Zinnober und nicht er gewesen, der so entsetzlich gemauzt.
kleinzaches_03_f000118|Der Professor Mosch Terpin sah des Jünglings schlimme Verlegenheit.|Der Professor Mosch Terpin sah des Jünglings schlimme Verlegenheit.
kleinzaches_03_f000119|Er nahte sich ihm freundlich und sprach: Nun, nun, lieber Herr Balthasar, sein Sie doch nur ruhig.|Er nahte sich ihm freundlich und sprach: Nun, nun, lieber Herr Balthasar, sein Sie doch nur ruhig.
kleinzaches_03_f000120|Ich habe wohl alles bemerkt.|Ich habe wohl alles bemerkt.
kleinzaches_03_f000121|Sich zur Erde bückend, auf allen Vieren hüpfend, ahmten Sie den gemißhandelten grimmigen Kater herrlich nach.|Sich zur Erde bückend, auf allen Vieren hüpfend, ahmten Sie den gemißhandelten grimmigen Kater herrlich nach.
kleinzaches_03_f000122|Ich liebe sonst sehr dergleichen naturhistorische Spiele, doch hier im literarischen Tee – Aber, platzte Balthasar heraus, aber, vortrefflichster Herr Professor, ich war es ja nicht.|Ich liebe sonst sehr dergleichen naturhistorische Spiele, doch hier im literarischen Tee - Aber, platzte Balthasar heraus, aber, vortrefflichster Herr Professor, ich war es ja nicht.
kleinzaches_03_f000123|Schon gut – schon gut, fiel ihm der Professor in die Rede.|Schon gut - schon gut, fiel ihm der Professor in die Rede.
kleinzaches_03_f000124|Candida trat zu ihnen.|Candida trat zu ihnen.
kleinzaches_03_f000125|Tröste mir, sprach der Professor zu dieser, tröste mir doch den guten Balthasar, der ganz betreten ist über alles Unheil, was geschehen.|Tröste mir, sprach der Professor zu dieser, tröste mir doch den guten Balthasar, der ganz betreten ist über alles Unheil, was geschehen.
kleinzaches_03_f000126|Der gutmütigen Candida tat der arme Balthasar, der ganz verwirrt mit niedergesenktem Blick vor ihr stand, herzlich leid.|Der gutmütigen Candida tat der arme Balthasar, der ganz verwirrt mit niedergesenktem Blick vor ihr stand, herzlich leid.
kleinzaches_03_f000127|Sie reichte ihm die Hand und lispelte mit anmutigem Lächeln: Es sind aber auch recht komische Leute, die sich so entsetzlich vor Katzen fürchten.|Sie reichte ihm die Hand und lispelte mit anmutigem Lächeln: Es sind aber auch recht komische Leute, die sich so entsetzlich vor Katzen fürchten.
kleinzaches_03_f000128|Balthasar drückte Candidas Hand mit Inbrunst an die Lippen.|Balthasar drückte Candidas Hand mit Inbrunst an die Lippen.
kleinzaches_03_f000129|Candida ließ den seelenvollen Blick ihrer Himmelsaugen auf ihm ruhen.|Candida ließ den seelenvollen Blick ihrer Himmelsaugen auf ihm ruhen.
kleinzaches_03_f000130|Er war verzückt in den höchsten Himmel und dachte nicht mehr an Zinnober und Katzengeschrei.|Er war verzückt in den höchsten Himmel und dachte nicht mehr an Zinnober und Katzengeschrei.
kleinzaches_03_f000131|Der Tumult war vorüber, die Ruhe wieder hergestellt.|Der Tumult war vorüber, die Ruhe wieder hergestellt.
kleinzaches_03_f000132|Am Teetisch saß die nervenschwache Dame und genoß mehreren Zwieback, den sie in Rum tunkte, versichernd, an dergleichen erlabe sich das von feindlicher Macht bedrohte Gemüt, und dem jähen Schreck folge sehnsüchtig Hoffen!|Am Teetisch saß die nervenschwache Dame und genoß mehreren Zwieback, den sie in Rum tunkte, versichernd, an dergleichen erlabe sich das von feindlicher Macht bedrohte Gemüt, und dem jähen Schreck folge sehnsüchtig Hoffen!
kleinzaches_03_f000133|Auch die beiden alten Herren, denen draußen wirklich ein flüchtiger Kater zwischen die Beine gelaufen, kehrten beruhigt zurück und suchten, wie mehrere andere, den Spieltisch.|Auch die beiden alten Herren, denen draußen wirklich ein flüchtiger Kater zwischen die Beine gelaufen, kehrten beruhigt zurück und suchten, wie mehrere andere, den Spieltisch.
kleinzaches_03_f000134|Balthasar, Fabian, der Professor der Ästhetik, mehrere junge Leute setzten sich zu den Frauen.|Balthasar, Fabian, der Professor der Ästhetik, mehrere junge Leute setzten sich zu den Frauen.
kleinzaches_03_f000135|Herr Zinnober hatte sich indessen eine Fußbank herangerückt und war mittelst derselben auf den Sofa gestiegen, wo er nun in der Mitte zwischen zwei Frauen saß und stolze funkelnde Blicke um sich warf.|Herr Zinnober hatte sich indessen eine Fußbank herangerückt und war mittelst derselben auf den Sofa gestiegen, wo er nun in der Mitte zwischen zwei Frauen saß und stolze funkelnde Blicke um sich warf.
kleinzaches_03_f000136|Balthasar glaubte, daß der rechte Augenblick gekommen, mit seinem Gedicht von der Liebe der Nachtigall zur Purpurrose hervorzurücken.|Balthasar glaubte, daß der rechte Augenblick gekommen, mit seinem Gedicht von der Liebe der Nachtigall zur Purpurrose hervorzurücken.
kleinzaches_03_f000137|Er äußerte daher mit der gehörigen Verschämtheit, wie sie bei jungen Dichtern im Brauch ist, daß er, dürfe er nicht fürchten, Überdruß und Langeweile zu erregen, dürfe er auf gütige Nachsicht der verehrten Versammlung hoffen,|Er äußerte daher mit der gehörigen Verschämtheit, wie sie bei jungen Dichtern im Brauch ist, daß er, dürfe er nicht fürchten, Überdruß und Langeweile zu erregen, dürfe er auf gütige Nachsicht der verehrten Versammlung hoffen,
kleinzaches_03_f000138|es wagen wolle, ein Gedicht, das jüngste Erzeugnis seiner Muse, vorzulesen.|es wagen wolle, ein Gedicht, das jüngste Erzeugnis seiner Muse, vorzulesen.
kleinzaches_03_f000139|Da die Frauen schon hinlänglich über alles verhandelt, was sich Neues in der Stadt zugetragen,|Da die Frauen schon hinlänglich über alles verhandelt, was sich Neues in der Stadt zugetragen,
kleinzaches_03_f000140|da die Mädchen den letzten Ball bei dem Präsidenten gehörig durchgesprochen und sogar über die Normalform der neuesten Hüte einig worden, da die Männer unter zwei Stunden nicht auf weitere Speis und Tränkung rechnen durften,|da die Mädchen den letzten Ball bei dem Präsidenten gehörig durchgesprochen und sogar über die Normalform der neuesten Hüte einig worden, da die Männer unter zwei Stunden nicht auf weitere Speis und Tränkung rechnen durften,
kleinzaches_03_f000141|so wurde Balthasar einstimmig aufgefordert, der Gesellschaft ja den herrlichen Genuß nicht vorzuenthalten.|so wurde Balthasar einstimmig aufgefordert, der Gesellschaft ja den herrlichen Genuß nicht vorzuenthalten.
kleinzaches_03_f000142|Balthasar zog das sauber geschriebene Manuskript hervor und las.|Balthasar zog das sauber geschriebene Manuskript hervor und las.
kleinzaches_03_f000143|Sein eignes Werk, das in der Tat aus wahrhaftem Dichtergemüt mit voller Kraft, mit regem Leben hervorgeströmt, begeisterte ihn mehr und mehr.|Sein eignes Werk, das in der Tat aus wahrhaftem Dichtergemüt mit voller Kraft, mit regem Leben hervorgeströmt, begeisterte ihn mehr und mehr.
kleinzaches_03_f000144|Sein Vortrag, immer leidenschaftlicher steigend, verriet die innere Glut des liebenden Herzens.|Sein Vortrag, immer leidenschaftlicher steigend, verriet die innere Glut des liebenden Herzens.
kleinzaches_03_f000145|Er bebte vor Entzücken, als leise Seufzer – manches leise Ach – der Frauen, mancher Ausruf der Männer: Herrlich – vortrefflich – göttlich! ihn überzeugten, daß sein Gedicht alle hinriß.|Er bebte vor Entzücken, als leise Seufzer - manches leise Ach - der Frauen, mancher Ausruf der Männer: Herrlich - vortrefflich - göttlich! ihn überzeugten, daß sein Gedicht alle hinriß.
kleinzaches_03_f000146|Endlich hatte er geendet. Da riefen alle: Welch ein Gedicht!|Endlich hatte er geendet. Da riefen alle: Welch ein Gedicht!
kleinzaches_03_f000147|welche Gedanken – welche Phantasie – was für schöne Verse – welcher Wohlklang – Dank – Dank Ihnen, bester Herr Zinnober, für den göttlichen Genuß – Was?|welche Gedanken - welche Phantasie - was für schöne Verse - welcher Wohlklang - Dank - Dank Ihnen, bester Herr Zinnober, für den göttlichen Genuß - Was?
kleinzaches_03_f000148|wie? rief Balthasar; aber niemand achtete auf ihn, sondern stürzte auf Zinnober zu, der sich auf dem Sofa blähte wie ein kleiner Puter und mit widriger Stimme schnarchte: Bitte recht sehr – bitte recht sehr – müssen so vorlieb nehmen!|wie? rief Balthasar; aber niemand achtete auf ihn, sondern stürzte auf Zinnober zu, der sich auf dem Sofa blähte wie ein kleiner Puter und mit widriger Stimme schnarchte: Bitte recht sehr - bitte recht sehr - müssen so vorlieb nehmen!
kleinzaches_03_f000149|ist eine Kleinigkeit, die ich erst vorige Nacht aufschrieb in aller Eile!|ist eine Kleinigkeit, die ich erst vorige Nacht aufschrieb in aller Eile!
kleinzaches_03_f000150|Aber der Professor der Ästhetik schrie: Vortrefflicher – göttlicher Zinnober!|Aber der Professor der Ästhetik schrie: Vortrefflicher - göttlicher Zinnober!
kleinzaches_03_f000151|Herzensfreund, außer mir bist du der erste Dichter, den es jetzt gibt auf Erden!|Herzensfreund, außer mir bist du der erste Dichter, den es jetzt gibt auf Erden!
kleinzaches_03_f000152|Komm an meine Brust, schöne Seele!|Komm an meine Brust, schöne Seele!
kleinzaches_03_f000153|Damit riß er den Kleinen vom Sofa auf in die Höhe und herzte und küßte ihn.|Damit riß er den Kleinen vom Sofa auf in die Höhe und herzte und küßte ihn.
kleinzaches_03_f000154|Zinnober betrug sich dabei sehr ungebärdig.|Zinnober betrug sich dabei sehr ungebärdig.
kleinzaches_03_f000155|Er arbeitete mit den kleinen Beinchen auf des Professors dickem Bauch herum und quäkte: Laß mich los – laß mich los – es tut mir weh – weh – weh – ich kratze dir die Augen aus – ich beiße dir die Nase entzwei!|Er arbeitete mit den kleinen Beinchen auf des Professors dickem Bauch herum und quäkte: Laß mich los - laß mich los - es tut mir weh - weh - weh - ich kratze dir die Augen aus - ich beiße dir die Nase entzwei!
kleinzaches_03_f000156|Nein, rief der Professor, indem er den Kleinen niedersetzte auf den Sofa, nein, holder Freund, keine zu weit getriebene Bescheidenheit!|Nein, rief der Professor, indem er den Kleinen niedersetzte auf den Sofa, nein, holder Freund, keine zu weit getriebene Bescheidenheit!
kleinzaches_03_f000157|Mosch Terpin war nun auch vom Spieltisch herangetreten, der nahm Zinnobers Händchen, drückte es und sprach sehr ernst: Vortrefflich, junger Mann!|Mosch Terpin war nun auch vom Spieltisch herangetreten, der nahm Zinnobers Händchen, drückte es und sprach sehr ernst: Vortrefflich, junger Mann!
kleinzaches_03_f000158|nicht zuviel, nein, nicht genug sprach man mir von dem hohen Genius, der Sie beseelt.|nicht zuviel, nein, nicht genug sprach man mir von dem hohen Genius, der Sie beseelt.
kleinzaches_03_f000159|Wer istes, rief nun wieder der Professor der Ästhetik in voller Begeisterung aus, wer istes von euch Jungfrauen, der dem herrlichen Zinnober sein Gedicht, das das innigste Gefühl der reinsten Liebe ausspricht, lohnt durch einen Kuß?|Wer istes, rief nun wieder der Professor der Ästhetik in voller Begeisterung aus, wer istes von euch Jungfrauen, der dem herrlichen Zinnober sein Gedicht, das das innigste Gefühl der reinsten Liebe ausspricht, lohnt durch einen Kuß?
kleinzaches_03_f000160|Da stand Candida auf, nahete sich, volle Glut auf den Wangen, dem Kleinen, kniete nieder und küßte ihn auf den garstigen Mund mit blauen Lippen.|Da stand Candida auf, nahete sich, volle Glut auf den Wangen, dem Kleinen, kniete nieder und küßte ihn auf den garstigen Mund mit blauen Lippen.
kleinzaches_03_f000161|Ja, schrie nun Balthasar, wie vom Wahnsinn plötzlich er faßt, ja, Zinnober – göttlicher Zinnober, du hast das tiefsinnige Gedicht gemacht von der Nachtigall und der Purpurrose, dir gebührt der herrliche Lohn, den du erhalten!|Ja, schrie nun Balthasar, wie vom Wahnsinn plötzlich er faßt, ja, Zinnober - göttlicher Zinnober, du hast das tiefsinnige Gedicht gemacht von der Nachtigall und der Purpurrose, dir gebührt der herrliche Lohn, den du erhalten!
kleinzaches_03_f000162|Und damit riß er den Fabian ins Nebenzimmer hinein und sprach: Tu mir den Gefallen und schaue mich recht fest an und dann sage mir offen und ehrlich, ob ich der Student Balthasar bin oder nicht,|Und damit riß er den Fabian ins Nebenzimmer hinein und sprach: Tu mir den Gefallen und schaue mich recht fest an und dann sage mir offen und ehrlich, ob ich der Student Balthasar bin oder nicht,
kleinzaches_03_f000163|ob du wirklich Fabian bist, ob wir in Mosch Terpins Hause sind, ob wir im Traume liegen – ob wir närrisch sind – zupfe mich an der Nase oder rüttle mich zusammen, damit ich nur erwache aus diesem verfluchten Spuk!|ob du wirklich Fabian bist, ob wir in Mosch Terpins Hause sind, ob wir im Traume liegen - ob wir närrisch sind - zupfe mich an der Nase oder rüttle mich zusammen, damit ich nur erwache aus diesem verfluchten Spuk!
kleinzaches_03_f000164|Wie magst, erwiderte Fabian, wie magst du dich denn nur so toll gebärden aus purer heller Eifersucht, weil Candida den Kleinen küßte.|Wie magst, erwiderte Fabian, wie magst du dich denn nur so toll gebärden aus purer heller Eifersucht, weil Candida den Kleinen küßte.
kleinzaches_03_f000165|Gestehen mußt du doch selbst, daß das Gedicht, welches der Kleine vorlas, in der Tat vortrefflich war.|Gestehen mußt du doch selbst, daß das Gedicht, welches der Kleine vorlas, in der Tat vortrefflich war.
kleinzaches_03_f000166|Fabian, rief Balthasar mit dem Ausdruck des tiefsten Erstaunens, was sprichst du denn?|Fabian, rief Balthasar mit dem Ausdruck des tiefsten Erstaunens, was sprichst du denn?
kleinzaches_03_f000167|Nun ja, fuhr Fabian fort, nun ja, das Gedicht des Kleinen war vortrefflich, und gegönnt habe ich ihm Candidas Kuß.|Nun ja, fuhr Fabian fort, nun ja, das Gedicht des Kleinen war vortrefflich, und gegönnt habe ich ihm Candidas Kuß.
kleinzaches_03_f000168|Überhaupt scheint hinter dem seltsamen Männlein allerlei zu stecken, das mehr wert ist als eine schöne Gestalt.|Überhaupt scheint hinter dem seltsamen Männlein allerlei zu stecken, das mehr wert ist als eine schöne Gestalt.
