undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_05_f000023|Nur das war ihm in der Seele zuwider, wenn die alte Frau Undinen in seiner Gegenwart schalt. Das launische Mädchen lachte zwar meist, ohne alles Hehl, ganz ausgelassen darüber;|Nur das war ihm in der Seele zuwider, wenn die alte Frau Undinen in seiner Gegenwart schalt. Das launische Mädchen lachte zwar meist, ohne alles Hehl, ganz ausgelassen darüber;
undine_05_f000024|aber ihm war es, als taste man seine Ehre an, und doch wußte er der alten Fischerin nicht unrecht zu geben, denn Undine verdiente immer zum wenigsten zehnfach so viele Schelte als sie bekam;|aber ihm war es, als taste man seine Ehre an, und doch wußte er der alten Fischerin nicht unrecht zu geben, denn Undine verdiente immer zum wenigsten zehnfach so viele Schelte als sie bekam;
undine_05_f000025|daher er denn auch der Hauswirtin im Herzen gewogen blieb und das ganze Leben seinen stillen, vergnüglichen Gang fürder ging.|daher er denn auch der Hauswirtin im Herzen gewogen blieb und das ganze Leben seinen stillen, vergnüglichen Gang fürder ging.
undine_05_f000026|Es kam aber doch endlich eine Störung hinein; der Fischer und der Ritter waren nämlich gewohnt gewesen, beim Mittagsmahle und auch des Abends,|Es kam aber doch endlich eine Störung hinein; der Fischer und der Ritter waren nämlich gewohnt gewesen, beim Mittagsmahle und auch des Abends,
undine_05_f000027|wenn der Wind draußen heulte, wie er es fast immer gegen die Nacht zu tun pflegte, sich miteinander bei einem Kruge Wein zu ergötzen.|wenn der Wind draußen heulte, wie er es fast immer gegen die Nacht zu tun pflegte, sich miteinander bei einem Kruge Wein zu ergötzen.
undine_05_f000028|Nun war aber der ganze Vorrat zu Ende gegangen, den der Fischer früher von der Stadt nach und nach mitgebracht hatte, und die beiden Männer wurden darüber ganz verdrießlich.|Nun war aber der ganze Vorrat zu Ende gegangen, den der Fischer früher von der Stadt nach und nach mitgebracht hatte, und die beiden Männer wurden darüber ganz verdrießlich.
undine_05_f000029|Undine lachte sie den Tag über wacker aus, ohne daß beide so lustig wie gewöhnlich in ihre Scherze einstimmten. Gegen Abend war sie aus der Hütte gegangen:|Undine lachte sie den Tag über wacker aus, ohne daß beide so lustig wie gewöhnlich in ihre Scherze einstimmten. Gegen Abend war sie aus der Hütte gegangen:
undine_05_f000030|sie sagte, um den zwei langen und langweiligen Gesichtern zu entgehn.|sie sagte, um den zwei langen und langweiligen Gesichtern zu entgehn.
undine_05_f000031|Weil es nun in der Dämmerung wieder nach Sturm aussah und das Wasser bereits heulte und rauschte, sprangen der Ritter und der Fischer erschreckt vor die Tür,|Weil es nun in der Dämmerung wieder nach Sturm aussah und das Wasser bereits heulte und rauschte, sprangen der Ritter und der Fischer erschreckt vor die Tür,
undine_05_f000032|um das Mädchen heimzuholen, der Angst jener Nacht gedenkend, wo Huldbrand zum erstenmal in der Hütte gewesen war.|um das Mädchen heimzuholen, der Angst jener Nacht gedenkend, wo Huldbrand zum erstenmal in der Hütte gewesen war.
undine_05_f000033|Undine aber trat ihnen entgegen, freundlich in ihre Händchen klopfend. Was gebt ihr mir, wenn ich euch Wein verschaffe? Oder vielmehr, ihr braucht mir nichts zu geben,|Undine aber trat ihnen entgegen, freundlich in ihre Händchen klopfend. Was gebt ihr mir, wenn ich euch Wein verschaffe? Oder vielmehr, ihr braucht mir nichts zu geben,
undine_05_f000034|fuhr sie fort, denn ich bin schon zufrieden, wenn ihr lustiger ausseht und bessere Einfälle habt als diesen letzten, langweiligen Tag hindurch.|fuhr sie fort, denn ich bin schon zufrieden, wenn ihr lustiger ausseht und bessere Einfälle habt als diesen letzten, langweiligen Tag hindurch.
undine_05_f000035|Kommt nur mit; der Waldstrom hat ein Faß an das Ufer getrieben, und ich will verdammt sein, eine ganze Woche lang zu schlafen, wenn es nicht ein Weinfaß ist.|Kommt nur mit; der Waldstrom hat ein Faß an das Ufer getrieben, und ich will verdammt sein, eine ganze Woche lang zu schlafen, wenn es nicht ein Weinfaß ist.
undine_05_f000036|Die Männer folgten ihr nach und fanden wirklich an einer umbüschten Bucht des Ufers ein Faß, welches ihnen Hoffnung gab, als enthalte es den edlen Trank, wonach sie verlangten.|Die Männer folgten ihr nach und fanden wirklich an einer umbüschten Bucht des Ufers ein Faß, welches ihnen Hoffnung gab, als enthalte es den edlen Trank, wonach sie verlangten.
undine_05_f000037|Sie wälzten es vor allem aufs schleunigste in die Hütte, denn ein schweres Wetter zog wieder am Abendhimmel herauf, und man konnte in der Dämmerung bemerken,|Sie wälzten es vor allem aufs schleunigste in die Hütte, denn ein schweres Wetter zog wieder am Abendhimmel herauf, und man konnte in der Dämmerung bemerken,
undine_05_f000038|wie die Wogen des Sees ihre weißen Häupter schäumend emporrichteten, als sähen sie sich nach dem Regen um, der nun bald auf sie herunterrauschen sollte.|wie die Wogen des Sees ihre weißen Häupter schäumend emporrichteten, als sähen sie sich nach dem Regen um, der nun bald auf sie herunterrauschen sollte.
undine_05_f000039|Undine half den beiden nach Kräften und sagte, als das Regenwetter plötzlich allzu schnell heraufheulte, lustig drohend in die schweren Wolken hinein: Du!|Undine half den beiden nach Kräften und sagte, als das Regenwetter plötzlich allzu schnell heraufheulte, lustig drohend in die schweren Wolken hinein: Du!
undine_05_f000040|du! Hüte dich, daß du uns nicht naß machst; wir sind noch lange nicht unter Dach.|du! Hüte dich, daß du uns nicht naß machst; wir sind noch lange nicht unter Dach.
undine_05_f000041|Der Alte verwies ihr solches als eine sündhafte Vermessenheit; aber sie kicherte leise vor sich hin, und es widerfuhr auch niemandem etwas Übles darum.|Der Alte verwies ihr solches als eine sündhafte Vermessenheit; aber sie kicherte leise vor sich hin, und es widerfuhr auch niemandem etwas Übles darum.
undine_05_f000042|Vielmehr gelangten alle drei, wider Vermuten, mit ihrer Beute trocken an den behaglichen Herd, und erst, als man das Faß geöffnet und erprobt hatte,|Vielmehr gelangten alle drei, wider Vermuten, mit ihrer Beute trocken an den behaglichen Herd, und erst, als man das Faß geöffnet und erprobt hatte,
undine_05_f000043|daß es einen wundersam trefflichen Wein enthalte, riß sich der Regen aus dem dunkeln Gewölke los, und rauschte der Sturm durch die Wipfel der Bäume und über des Sees empörte Wogen hin.|daß es einen wundersam trefflichen Wein enthalte, riß sich der Regen aus dem dunkeln Gewölke los, und rauschte der Sturm durch die Wipfel der Bäume und über des Sees empörte Wogen hin.
undine_05_f000044|Einige Flaschen waren bald aus dem großen Fasse gefüllt, das für viele Tage Vorrat verhieß, man saß trinkend und scherzend und heimisch gesichert vor dem tobenden Unwetter an der Glut des Herdes beisammen.|Einige Flaschen waren bald aus dem großen Fasse gefüllt, das für viele Tage Vorrat verhieß, man saß trinkend und scherzend und heimisch gesichert vor dem tobenden Unwetter an der Glut des Herdes beisammen.
undine_05_f000045|Da sagte der alte Fischer und ward plötzlich sehr ernst: Ach großer Gott, wir freuen uns hier der edlen Gabe, und der, welchem sie zuerst angehörte und vom Strome genommen ward,|Da sagte der alte Fischer und ward plötzlich sehr ernst: Ach großer Gott, wir freuen uns hier der edlen Gabe, und der, welchem sie zuerst angehörte und vom Strome genommen ward,
undine_05_f000046|hat wohl gar das liebe Leben drum lassen müssen.|hat wohl gar das liebe Leben drum lassen müssen.
undine_05_f000047|Er wird ja nicht grade! meinte Undine und schenkte dem Ritter lächelnd ein. Der aber sagte: Bei meiner höchsten Ehre, alter Vater, wüßt ich ihn zu finden und zu retten,|Er wird ja nicht grade! meinte Undine und schenkte dem Ritter lächelnd ein. Der aber sagte: Bei meiner höchsten Ehre, alter Vater, wüßt ich ihn zu finden und zu retten,
undine_05_f000048|mich sollte kein Gang in die Nacht hinaus dauern und keine Gefahr.|mich sollte kein Gang in die Nacht hinaus dauern und keine Gefahr.
undine_05_f000049|Soviel aber kann ich Euch versichern, komm ich je wieder zu bewohntern Landen, so will ich ihn oder seine Erben schon ausfindig machen und diesen Wein doppelt und dreifach ersetzen.|Soviel aber kann ich Euch versichern, komm ich je wieder zu bewohntern Landen, so will ich ihn oder seine Erben schon ausfindig machen und diesen Wein doppelt und dreifach ersetzen.
undine_05_f000050|Das freute den alten Mann; er nickte dem Ritter billigend zu und trank nun seinen Becher mit besserm Gewissen und Behagen leer.|Das freute den alten Mann; er nickte dem Ritter billigend zu und trank nun seinen Becher mit besserm Gewissen und Behagen leer.
undine_05_f000051|Undine aber sagte zu Huldbranden: Mit der Entschädigung und mit deinem Golde halt es, wie du willst. Das aber mit dem Nachlaufen und Suchen war dumm geredet.|Undine aber sagte zu Huldbranden: Mit der Entschädigung und mit deinem Golde halt es, wie du willst. Das aber mit dem Nachlaufen und Suchen war dumm geredet.
undine_05_f000052|Ich weinte mir die Augen aus, wenn du darüber verlorengingst, und, nicht wahr, du möchtest auch lieber bei mir bleiben und bei dem guten Wein?|Ich weinte mir die Augen aus, wenn du darüber verlorengingst, und, nicht wahr, du möchtest auch lieber bei mir bleiben und bei dem guten Wein?
undine_05_f000053|Das freilich, entgegnete Huldbrand lächelnd. –|Das freilich, entgegnete Huldbrand lächelnd. -
undine_05_f000054|Nun, sagte Undine, also hast du dumm gesprochen. Denn jeder ist sich doch selbst der Nächste, und was gehen einen die andern Leute an.|Nun, sagte Undine, also hast du dumm gesprochen. Denn jeder ist sich doch selbst der Nächste, und was gehen einen die andern Leute an.
undine_05_f000055|Die Hauswirtin wandte sich seufzend und kopfschüttelnd von ihr ab, der Fischer vergaß seiner sonstigen Vorliebe für das zierliche Mägdlein und schalt.|Die Hauswirtin wandte sich seufzend und kopfschüttelnd von ihr ab, der Fischer vergaß seiner sonstigen Vorliebe für das zierliche Mägdlein und schalt.
undine_05_f000056|Als ob dich Heiden und Türken erzogen hätten, klingt ja das, schloß er seine Rede; Gott verzeih es mir und dir, du ungeratnes Kind.|Als ob dich Heiden und Türken erzogen hätten, klingt ja das, schloß er seine Rede; Gott verzeih es mir und dir, du ungeratnes Kind.
undine_05_f000057|Ja, aber mir ist doch nun einmal so zumute, entgegnete Undine, habe mich erzogen, wer da will, und was können da all eure Worte helfen.|Ja, aber mir ist doch nun einmal so zumute, entgegnete Undine, habe mich erzogen, wer da will, und was können da all eure Worte helfen.
undine_05_f000058|Schweig! fuhr der Fischer sie an, und sie, die ungeachtet ihrer Keckheit doch äußerst schreckhaft war, fuhr zusammen, schmiegte sich zitternd an Huldbrand und fragte ihn ganz leise:|Schweig! fuhr der Fischer sie an, und sie, die ungeachtet ihrer Keckheit doch äußerst schreckhaft war, fuhr zusammen, schmiegte sich zitternd an Huldbrand und fragte ihn ganz leise:
undine_05_f000059|Bist du auch böse, schöner Freund?|Bist du auch böse, schöner Freund?
undine_05_f000060|Der Ritter drückte ihr die zarte Hand und streichelte ihre Locken. Sagen konnte er nichts, weil ihm der Ärger über des Alten Härte gegen Undinen die Lippen schloß,|Der Ritter drückte ihr die zarte Hand und streichelte ihre Locken. Sagen konnte er nichts, weil ihm der Ärger über des Alten Härte gegen Undinen die Lippen schloß,
undine_05_f000061|und so saßen beide Paare mit einem Male unwillig und im verlegnen Schweigen einander gegenüber.|und so saßen beide Paare mit einem Male unwillig und im verlegnen Schweigen einander gegenüber.
undine_05_f000062|Ende des Fünftes Kapitels.|Ende des Fünftes Kapitels.
undine_06_f000001|Sechstes Kapitel von Undine von Friedrich de la Motte Fouque.|Sechstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_06_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_06_f000003|Von einer Trauung|Von einer Trauung
undine_06_f000004|Ein leises Klopfen an die Tür klang durch diese Stille und erschreckte alle, die in der Hütte saßen, wie es denn wohl bisweilen zu kommen pflegt,|Ein leises Klopfen an die Tür klang durch diese Stille und erschreckte alle, die in der Hütte saßen, wie es denn wohl bisweilen zu kommen pflegt,
undine_06_f000005|daß auch eine Kleinigkeit, die ganz unvermutet geschieht, einem den Sinn recht furchtbarlich aufregen kann.|daß auch eine Kleinigkeit, die ganz unvermutet geschieht, einem den Sinn recht furchtbarlich aufregen kann.
undine_06_f000006|Aber hier kam noch dazu, daß der verrufne Forst sehr nahe lag und daß die Seespitze für menschliche Besuche jetzt unzugänglich schien.|Aber hier kam noch dazu, daß der verrufne Forst sehr nahe lag und daß die Seespitze für menschliche Besuche jetzt unzugänglich schien.
undine_06_f000007|Man sah einander zweifelnd an, das Pochen wiederholte sich, von einem tiefen Ächzen begleitet; der Ritter ging nach seinem Schwerte.|Man sah einander zweifelnd an, das Pochen wiederholte sich, von einem tiefen Ächzen begleitet; der Ritter ging nach seinem Schwerte.
undine_06_f000008|Da sagte aber der alte Mann leise: Wenn es das ist, was ich fürchte, hilft uns keine Waffe. – Undine näherte sich indessen der Tür und rief ganz unwillig und keck:|Da sagte aber der alte Mann leise: Wenn es das ist, was ich fürchte, hilft uns keine Waffe. - Undine näherte sich indessen der Tür und rief ganz unwillig und keck:
undine_06_f000009|Wenn ihr Unfug treiben wollt, ihr Erdgeister, so soll euch Kühleborn was Beßres lehren.|Wenn ihr Unfug treiben wollt, ihr Erdgeister, so soll euch Kühleborn was Beßres lehren.
undine_06_f000010|Das Entsetzen der andern ward durch diese wunderlichen Worte vermehrt, sie sahen das Mädchen scheu an, und Huldbrand wollte sich eben zu einer Frage an sie ermannen, da sagte es von draußen:|Das Entsetzen der andern ward durch diese wunderlichen Worte vermehrt, sie sahen das Mädchen scheu an, und Huldbrand wollte sich eben zu einer Frage an sie ermannen, da sagte es von draußen:
undine_06_f000011|Ich bin kein Erdgeist, wohl aber ein Geist, der noch im irdischen Körper hauset.|Ich bin kein Erdgeist, wohl aber ein Geist, der noch im irdischen Körper hauset.
undine_06_f000012|Wollt ihr mir helfen und fürchtet ihr Gott, ihr drinnen in der Hütte, so tut mir auf.|Wollt ihr mir helfen und fürchtet ihr Gott, ihr drinnen in der Hütte, so tut mir auf.
undine_06_f000013|Undine hatte bei diesen Worten die Tür bereits geöffnet und leuchtete mit einer Ampel in die stürmige Nacht hinaus, so daß man draußen einen alten Priester wahrnahm,|Undine hatte bei diesen Worten die Tür bereits geöffnet und leuchtete mit einer Ampel in die stürmige Nacht hinaus, so daß man draußen einen alten Priester wahrnahm,
undine_06_f000014|der vor dem unversehnen Anblicke des wunderschönen Mägdleins erschreckt zurücketrat.|der vor dem unversehnen Anblicke des wunderschönen Mägdleins erschreckt zurücketrat.
undine_06_f000015|Er mochte wohl denken, es müsse Spuk und Zauberei mit im Spiele sein, wo ein so herrliches Bild aus einer so niedern Hüttenpforte erscheine; deshalb fing er an zu beten:|Er mochte wohl denken, es müsse Spuk und Zauberei mit im Spiele sein, wo ein so herrliches Bild aus einer so niedern Hüttenpforte erscheine; deshalb fing er an zu beten:
undine_06_f000016|Alle gute Geister loben Gott den Herrn!|Alle gute Geister loben Gott den Herrn!
undine_06_f000017|Ich bin kein Gespenst, sagte Undine lächelnd, seh ich denn so häßlich aus? Zudem könnt Ihr ja wohl merken, daß mich kein frommer Spruch erschreckt.|Ich bin kein Gespenst, sagte Undine lächelnd, seh ich denn so häßlich aus? Zudem könnt Ihr ja wohl merken, daß mich kein frommer Spruch erschreckt.
undine_06_f000018|Ich weiß doch auch von Gott und versteh ihn auch zu loben, jedweder auf seine Weise freilich, und dazu hat er uns erschaffen.|Ich weiß doch auch von Gott und versteh ihn auch zu loben, jedweder auf seine Weise freilich, und dazu hat er uns erschaffen.
undine_06_f000019|Tretet herein, ehrwürdiger Vater, Ihr kommt zu guten Leuten.|Tretet herein, ehrwürdiger Vater, Ihr kommt zu guten Leuten.
undine_06_f000020|Der Geistliche kam neigend und umblickend herein und sahe gar lieb und ehrwürdig aus. Aber das Wasser troff aus allen Falten seines dunkeln Kleides und aus dem langen weißen Bart und den weißen Locken des Haupthaares.|Der Geistliche kam neigend und umblickend herein und sahe gar lieb und ehrwürdig aus. Aber das Wasser troff aus allen Falten seines dunkeln Kleides und aus dem langen weißen Bart und den weißen Locken des Haupthaares.
undine_06_f000021|Der Fischer und der Ritter führten ihn in eine Kammer und gaben ihm andre Kleider, während sie den Weibern die Gewande des Priesters zum Trocknen in das Zimmer reichten.|Der Fischer und der Ritter führten ihn in eine Kammer und gaben ihm andre Kleider, während sie den Weibern die Gewande des Priesters zum Trocknen in das Zimmer reichten.
undine_06_f000022|Der fremde Greis dankte aufs demütigste und freundlichste, aber des Ritters glänzenden Mantel, den ihm dieser entgegenhielt, wollte er auf keine Weise umnehmen;|Der fremde Greis dankte aufs demütigste und freundlichste, aber des Ritters glänzenden Mantel, den ihm dieser entgegenhielt, wollte er auf keine Weise umnehmen;
undine_06_f000023|er wählte statt dessen ein altes graues Oberkleid des Fischers.|er wählte statt dessen ein altes graues Oberkleid des Fischers.
undine_06_f000024|So kamen sie denn in das Gemach zurück, die Hausfrau räumte dem Priester alsbald ihren großen Sessel und ruhte nicht eher, bis er sich darauf niedergelassen hatte;|So kamen sie denn in das Gemach zurück, die Hausfrau räumte dem Priester alsbald ihren großen Sessel und ruhte nicht eher, bis er sich darauf niedergelassen hatte;
undine_06_f000025|denn, sagte sie, Ihr seid alt und erschöpft und geistlich obendrein.|denn, sagte sie, Ihr seid alt und erschöpft und geistlich obendrein.
undine_06_f000026|Undine schob den Füßen des Fremden ihr kleines Bänkchen unter, worauf sie sonst neben Huldbranden zu sitzen pflegte, und bewies sich überhaupt in der Pflege des guten Alten höchst sittig und anmutig.|Undine schob den Füßen des Fremden ihr kleines Bänkchen unter, worauf sie sonst neben Huldbranden zu sitzen pflegte, und bewies sich überhaupt in der Pflege des guten Alten höchst sittig und anmutig.
undine_06_f000027|Huldbrand flüsterte ihr darüber eine Neckerei ins Ohr, sie aber entgegnete sehr ernst: Er dient ja dem, der uns alle geschaffen hat; damit ist nicht zu spaßen.|Huldbrand flüsterte ihr darüber eine Neckerei ins Ohr, sie aber entgegnete sehr ernst: Er dient ja dem, der uns alle geschaffen hat; damit ist nicht zu spaßen.
undine_06_f000028|Der Ritter und der Fischer labten darauf den Priester mit Speise und Wein, und dieser fing, nachdem er sich etwas erholt hatte, zu erzählen an,|Der Ritter und der Fischer labten darauf den Priester mit Speise und Wein, und dieser fing, nachdem er sich etwas erholt hatte, zu erzählen an,
undine_06_f000029|wie er gestern aus seinem Kloster, das fern über den großen Landsee hinaus liege, nach dem Sitze des Bischofs habe reisen sollen, um demselben die Not kundzutun,|wie er gestern aus seinem Kloster, das fern über den großen Landsee hinaus liege, nach dem Sitze des Bischofs habe reisen sollen, um demselben die Not kundzutun,
undine_06_f000030|in welche durch die jetzigen wunderbaren Überschwemmungen das Kloster und dessen Zinsdörfer geraten seien.|in welche durch die jetzigen wunderbaren Überschwemmungen das Kloster und dessen Zinsdörfer geraten seien.
undine_06_f000031|Da habe er nach langen Umwegen, um ebendieser Überschwemmungen willen, sich heute gegen Abend dennoch genötigt gesehn, einen übergetretnen Arm des Sees mit Hülfe zweier guten Fährleute zu überschiffen.|Da habe er nach langen Umwegen, um ebendieser Überschwemmungen willen, sich heute gegen Abend dennoch genötigt gesehn, einen übergetretnen Arm des Sees mit Hülfe zweier guten Fährleute zu überschiffen.
undine_06_f000032|Kaum aber, fuhr er fort, hatte unser kleines Fahrzeug die Wellen berührt, so brach auch schon der ungeheure Sturm los, der noch jetzt über unsern Häuptern fortwütet.|Kaum aber, fuhr er fort, hatte unser kleines Fahrzeug die Wellen berührt, so brach auch schon der ungeheure Sturm los, der noch jetzt über unsern Häuptern fortwütet.
undine_06_f000033|Es war, als hätten die Fluten nur auf uns gewartet, um die allertollsten, strudelndsten Tänze mit uns zu beginnen.|Es war, als hätten die Fluten nur auf uns gewartet, um die allertollsten, strudelndsten Tänze mit uns zu beginnen.
undine_06_f000034|Die Ruder waren bald aus meiner Führer Händen gerissen und trieben zerschmettert auf den Wogen weiter und weiter vor uns hinaus.|Die Ruder waren bald aus meiner Führer Händen gerissen und trieben zerschmettert auf den Wogen weiter und weiter vor uns hinaus.
undine_06_f000035|Wir selbst flogen, hülflos und der tauben Naturkraft hingegeben, auf die Höhe des Sees zu euern fernen Ufern herüber, die wir schon zwischen den Nebeln und Wasserschäumen emporstreben sahen.|Wir selbst flogen, hülflos und der tauben Naturkraft hingegeben, auf die Höhe des Sees zu euern fernen Ufern herüber, die wir schon zwischen den Nebeln und Wasserschäumen emporstreben sahen.
undine_06_f000036|Da drehte sich endlich der Nachen immer wilder und schwindliger; ich weiß nicht, stürzte er um, stürzte ich heraus. Im dunkeln Ängstigen des nahen schrecklichen Todes trieb ich weiter,|Da drehte sich endlich der Nachen immer wilder und schwindliger; ich weiß nicht, stürzte er um, stürzte ich heraus. Im dunkeln Ängstigen des nahen schrecklichen Todes trieb ich weiter,
undine_06_f000037|bis mich eine Welle hier unter die Bäume an eure Insel warf.|bis mich eine Welle hier unter die Bäume an eure Insel warf.
undine_06_f000038|Ja, Insel! sagte der Fischer. Vor kurzem wares noch eine Landspitze. Nun aber, seit Waldstrom und See schier toll geworden sind, sieht es ganz anders mit uns aus.|Ja, Insel! sagte der Fischer. Vor kurzem wares noch eine Landspitze. Nun aber, seit Waldstrom und See schier toll geworden sind, sieht es ganz anders mit uns aus.
undine_06_f000039|Ich merkte so etwas, sagte der Priester, indem ich im Dunkeln das Wasser entlängst schlich und, ringsum nur wildes Gebrause antreffend, endlich schaute,|Ich merkte so etwas, sagte der Priester, indem ich im Dunkeln das Wasser entlängst schlich und, ringsum nur wildes Gebrause antreffend, endlich schaute,
undine_06_f000040|wie sich ein betretner Fußpfad gerade in das Getos hinein verlor.|wie sich ein betretner Fußpfad gerade in das Getos hinein verlor.
undine_06_f000041|Nun sahe ich das Licht in eurer Hütte und wagte mich hierher, wo ich denn meinem himmlischen Vater nicht genug danken kann, daß er mich nach meiner Rettung aus dem Gewässer auch noch zu so frommen Leuten geführt hat als zu euch;|Nun sahe ich das Licht in eurer Hütte und wagte mich hierher, wo ich denn meinem himmlischen Vater nicht genug danken kann, daß er mich nach meiner Rettung aus dem Gewässer auch noch zu so frommen Leuten geführt hat als zu euch;
undine_06_f000042|und das um so mehr, da ich nicht wissen kann, ob ich außer euch vieren noch in diesem Leben andre Menschen wieder zu sehen bekomme.|und das um so mehr, da ich nicht wissen kann, ob ich außer euch vieren noch in diesem Leben andre Menschen wieder zu sehen bekomme.
undine_06_f000043|Wie meint Ihr das? fragte der Fischer.|Wie meint Ihr das? fragte der Fischer.
undine_06_f000044|Wißt ihr denn, wie lange dieses Treiben der Elemente währen soll? entgegnete der Geistliche. Und ich bin alt an Jahren. Gar leichtlich mag mein Lebensstrom eher versiegend unter die Erde gehen als die Überschwemmung des Waldstromes da draußen.|Wißt ihr denn, wie lange dieses Treiben der Elemente währen soll? entgegnete der Geistliche. Und ich bin alt an Jahren. Gar leichtlich mag mein Lebensstrom eher versiegend unter die Erde gehen als die Überschwemmung des Waldstromes da draußen.
undine_06_f000045|Und überhaupt, es wäre ja nicht unmöglich, daß mehr und mehr des schäumenden Wassers sich zwischen euch und den jenseitigen Forst drängte, bis ihr so weit von der übrigen Erde abgerissen würdet,|Und überhaupt, es wäre ja nicht unmöglich, daß mehr und mehr des schäumenden Wassers sich zwischen euch und den jenseitigen Forst drängte, bis ihr so weit von der übrigen Erde abgerissen würdet,
undine_06_f000046|daß euer Fischerkähnlein nicht mehr hinüberreichte und die Bewohner des festen Landes in ihren Zerstreuungen euer Alter gänzlich vergessen.|daß euer Fischerkähnlein nicht mehr hinüberreichte und die Bewohner des festen Landes in ihren Zerstreuungen euer Alter gänzlich vergessen.
undine_06_f000047|Die alte Hausfrau fuhr hierüber zusammen, kreuzte sich und sagte: Das verhüte Gott! – Aber der Fischer sahe sie lächelnd an und sprach: Wie doch auch nun der Mensch ist!|Die alte Hausfrau fuhr hierüber zusammen, kreuzte sich und sagte: Das verhüte Gott! - Aber der Fischer sahe sie lächelnd an und sprach: Wie doch auch nun der Mensch ist!
undine_06_f000048|Es wäre ja dann nicht anders, wenigstens nicht für dich, liebe Frau, als es nun ist.|Es wäre ja dann nicht anders, wenigstens nicht für dich, liebe Frau, als es nun ist.
undine_06_f000049|Bist du denn seit vielen Jahren weiter gekommen als an die Grenze des Forstes? Und hast du andre Menschen gesehn als Undinen und mich? – Seit kurzem sind nun noch der Ritter und der Priester zu uns gekommen.|Bist du denn seit vielen Jahren weiter gekommen als an die Grenze des Forstes? Und hast du andre Menschen gesehn als Undinen und mich? - Seit kurzem sind nun noch der Ritter und der Priester zu uns gekommen.
undine_06_f000050|Die blieben bei uns, wenn wir zur vergessenen Insel würden; also hättest du ja den besten Gewinn davon.|Die blieben bei uns, wenn wir zur vergessenen Insel würden; also hättest du ja den besten Gewinn davon.
undine_06_f000051|Ich weiß nicht, sagte die alte Frau, es wird einem doch unheimlich zumute, wenn man siches nun so vorstellt, daß man unwiederbringlich von den andern Leuten geschieden wär,|Ich weiß nicht, sagte die alte Frau, es wird einem doch unheimlich zumute, wenn man siches nun so vorstellt, daß man unwiederbringlich von den andern Leuten geschieden wär,
undine_06_f000052|ob man sie übrigens auch weder kennt noch sieht.|ob man sie übrigens auch weder kennt noch sieht.
undine_06_f000053|Du bliebest dann bei uns, du bliebest dann bei uns! flüsterte Undine ganz leise, halb singend, und schmiegte sich inniger an Huldbrands Seite.|Du bliebest dann bei uns, du bliebest dann bei uns! flüsterte Undine ganz leise, halb singend, und schmiegte sich inniger an Huldbrands Seite.
undine_06_f000054|Dieser aber war in tiefen und seltsamen Gebilden seines Innern verloren. Die Gegend jenseit des Waldwassers zog sich seit des Priesters letzten Worten immer ferner und dunkler von ihm ab,|Dieser aber war in tiefen und seltsamen Gebilden seines Innern verloren. Die Gegend jenseit des Waldwassers zog sich seit des Priesters letzten Worten immer ferner und dunkler von ihm ab,
undine_06_f000055|die blühende Insel, auf welcher er lebte, grünte und lachte immer frischer in sein Gemüt herein. Die Braut glühte als die schönste Rose dieses kleinen Erdstriches und auch der ganzen Welt hervor,|die blühende Insel, auf welcher er lebte, grünte und lachte immer frischer in sein Gemüt herein. Die Braut glühte als die schönste Rose dieses kleinen Erdstriches und auch der ganzen Welt hervor,
undine_06_f000056|der Priester war zur Stelle.|der Priester war zur Stelle.
undine_06_f000057|Dazu kam noch eben, daß ein zürnender Blick der Hausfrau das schöne Mädchen traf, weil sie sich in Gegenwart des geistlichen Herren so dicht an ihren Liebling lehnte,|Dazu kam noch eben, daß ein zürnender Blick der Hausfrau das schöne Mädchen traf, weil sie sich in Gegenwart des geistlichen Herren so dicht an ihren Liebling lehnte,
undine_06_f000058|und es schien, als wolle ein Strom von unerfreulichen Worten folgen.|und es schien, als wolle ein Strom von unerfreulichen Worten folgen.
undine_06_f000059|Da brach es aus des Ritters Munde, daß er, gegen den Preister gewandt, sagte: Ihr seht hier ein Brautpaar vor Euch, ehrwürdiger Herr, und wenn dies Mädchen und die guten alten Fischersleute nichts dawider haben,|Da brach es aus des Ritters Munde, daß er, gegen den Preister gewandt, sagte: Ihr seht hier ein Brautpaar vor Euch, ehrwürdiger Herr, und wenn dies Mädchen und die guten alten Fischersleute nichts dawider haben,
undine_06_f000060|sollt Ihr uns heute abend noch zusammengeben.|sollt Ihr uns heute abend noch zusammengeben.
undine_06_f000061|Die beiden alten Eheleute waren sehr verwundert. Sie hatten zwar bisher oft so etwas gedacht, aber ausgesprochen hatten sie es doch niemals, und wie nun der Ritter dies tat,|Die beiden alten Eheleute waren sehr verwundert. Sie hatten zwar bisher oft so etwas gedacht, aber ausgesprochen hatten sie es doch niemals, und wie nun der Ritter dies tat,
undine_06_f000062|kam es ihnen als etwas ganz Neues und Unerhörtes vor.|kam es ihnen als etwas ganz Neues und Unerhörtes vor.
