sous_les_mers_1_01_f000001|UN ÉCUEIL FUYANT|UN ÉCUEIL FUYANT
sous_les_mers_1_13_f000098|pas de tempête à braver, puisqu'il trouve à quelques mètres au-dessous des eaux l'absolue tranquillité!|pas de tempête à braver, puisqu'il trouve à quelques mètres au-dessous des eaux l'absolue tranquillité!
sous_les_mers_1_13_f000099|Voilà, monsieur. Voilà le navire par excellence! Et s'il est vrai que l'ingénieur ait plus de confiance dans le bâtiment que le constructeur,|Voilà, monsieur. Voilà le navire par excellence! Et s'il est vrai que l'ingénieur ait plus de confiance dans le bâtiment que le constructeur,
sous_les_mers_1_13_f000100|et le constructeur plus que le capitaine lui-même, comprenez donc avec quel abandon je me fie à mon Nautilus, puisque j'en suis tout à la fois le capitaine,|et le constructeur plus que le capitaine lui-même, comprenez donc avec quel abandon je me fie à mon Nautilus, puisque j'en suis tout à la fois le capitaine,
sous_les_mers_1_13_f000101|le constructeur et l'ingénieur!|le constructeur et l'ingénieur!
sous_les_mers_1_13_f000102|Le capitaine Nemo parlait avec une éloquence entraînante.|Le capitaine Nemo parlait avec une éloquence entraînante.
sous_les_mers_1_13_f000103|Le feu de son regard, la passion de son geste, le transfiguraient. Oui! il aimait son navire comme un père aime son enfant!|Le feu de son regard, la passion de son geste, le transfiguraient. Oui! il aimait son navire comme un père aime son enfant!
sous_les_mers_1_13_f000104|Mais une question, indiscrète peut-être, se posait naturellement, et je ne pus me retenir de la lui faire.|Mais une question, indiscrète peut-être, se posait naturellement, et je ne pus me retenir de la lui faire.
sous_les_mers_1_13_f000105|Vous êtes donc ingénieur, capitaine Nemo?|Vous êtes donc ingénieur, capitaine Nemo?
sous_les_mers_1_13_f000106|-- Oui, monsieur le professeur, me répondit-il, j'ai étudié à Londres, à Paris, à New York, du temps que j'étais un habitant des continents de la terre.|-- Oui, monsieur le professeur, me répondit-il, j'ai étudié à Londres, à Paris, à New York, du temps que j'étais un habitant des continents de la terre.
sous_les_mers_1_13_f000107|-- Mais comment avez-vous pu construire, en secret, cet admirable Nautilus?|-- Mais comment avez-vous pu construire, en secret, cet admirable Nautilus?
sous_les_mers_1_13_f000108|-- Chacun de ses morceaux, monsieur Aronnax, m'est arrivé d'un point différent du globe, et sous une destination déguisée.|-- Chacun de ses morceaux, monsieur Aronnax, m'est arrivé d'un point différent du globe, et sous une destination déguisée.
sous_les_mers_1_13_f000109|Sa quille a été forgée au Creusot, son arbre d'hélice chez Pen et C°, de Londres, les plaques de tôle de sa coque chez Leard, de Liverpool, son hélice chez Scott, de Glasgow.|Sa quille a été forgée au Creusot, son arbre d'hélice chez Pen et C, de Londres, les plaques de tôle de sa coque chez Leard, de Liverpool, son hélice chez Scott, de Glasgow.
sous_les_mers_1_13_f000110|Ses réservoirs ont été fabriqués par Cail et Co, de Paris, sa machine par Krupp, en Prusse, son éperon dans les ateliers de Motala, en Suède, ses instruments de précision chez Hart frères, de New York, etc.|Ses réservoirs ont été fabriqués par Cail et Co, de Paris, sa machine par Krupp, en Prusse, son éperon dans les ateliers de Motala, en Suède, ses instruments de précision chez Hart frères, de New York, etc.
sous_les_mers_1_13_f000111|et chacun de ces fournisseurs a reçu mes plans sous des noms divers.|et chacun de ces fournisseurs a reçu mes plans sous des noms divers.
sous_les_mers_1_13_f000112|-- Mais, repris-je, ces morceaux ainsi fabriqués, il a fallu les monter, les ajuster?|-- Mais, repris-je, ces morceaux ainsi fabriqués, il a fallu les monter, les ajuster?
sous_les_mers_1_13_f000113|-- Monsieur le professeur, j'avais établi mes ateliers sur un îlot désert, en plein Océan.|-- Monsieur le professeur, j'avais établi mes ateliers sur un îlot désert, en plein Océan.
sous_les_mers_1_13_f000114|Là, mes ouvriers c'est-à-dire mes braves compagnons que j'ai instruits et formés, et moi, nous avons achevé notre Nautilus.|Là, mes ouvriers c'est-à-dire mes braves compagnons que j'ai instruits et formés, et moi, nous avons achevé notre Nautilus.
sous_les_mers_1_13_f000115|Puis, l'opération terminée, le feu a détruit toute trace de notre passage sur cet îlot que j'aurais fait sauter, si je l'avais pu.|Puis, l'opération terminée, le feu a détruit toute trace de notre passage sur cet îlot que j'aurais fait sauter, si je l'avais pu.
sous_les_mers_1_13_f000116|-- Alors il m'est permis de croire que le prix de revient de ce bâtiment est excessif?|-- Alors il m'est permis de croire que le prix de revient de ce bâtiment est excessif?
sous_les_mers_1_13_f000117|-- Monsieur Aronnax, un navire en fer coûte onze cent vingt-cinq francs par tonneau.|-- Monsieur Aronnax, un navire en fer coûte onze cent vingt-cinq francs par tonneau.
sous_les_mers_1_13_f000118|Or, le Nautilus en jauge quinze cents. Il revient donc à seize cent quatre-vingt-sept mille francs, soit deux millions y compris son aménagement,|Or, le Nautilus en jauge quinze cents. Il revient donc à seize cent quatre-vingt-sept mille francs, soit deux millions y compris son aménagement,
sous_les_mers_1_13_f000119|soit quatre ou cinq millions avec les oeuvres d'art et les collections qu'il renferme.|soit quatre ou cinq millions avec les oeuvres d'art et les collections qu'il renferme.
sous_les_mers_1_13_f000120|-- Une dernière question, capitaine Nemo.|-- Une dernière question, capitaine Nemo.
sous_les_mers_1_13_f000121|-- Faites, monsieur le professeur.|-- Faites, monsieur le professeur.
sous_les_mers_1_13_f000122|-- Vous êtes donc riche?|-- Vous êtes donc riche?
sous_les_mers_1_13_f000123|-- Riche à l'infini, monsieur, et je pourrais, sans me gêner, payer les dix milliards de dettes de la France!|-- Riche à l'infini, monsieur, et je pourrais, sans me gêner, payer les dix milliards de dettes de la France!
sous_les_mers_1_13_f000124|Je regardai fixement le bizarre personnage qui me parlait ainsi.|Je regardai fixement le bizarre personnage qui me parlait ainsi.
sous_les_mers_1_13_f000125|Abusait-il de ma crédulité? L'avenir devait me l'apprendre.|Abusait-il de ma crédulité? L'avenir devait me l'apprendre.
sous_les_mers_1_14_f000001|LE FLEUVE-NOIR|LE FLEUVE-NOIR
sous_les_mers_1_14_f000002|La portion du globe terrestre occupée par les eaux est évaluée à trois millions huit cent trente-deux milles cinq cent cinquante-huit myriamètres carrés, soit plus de trente-huit millions d'hectares.|La portion du globe terrestre occupée par les eaux est évaluée à trois millions huit cent trente-deux milles cinq cent cinquante-huit myriamètres carrés, soit plus de trente-huit millions d'hectares.
sous_les_mers_1_14_f000003|Cette masse liquide comprend deux milliards deux cent cinquante millions de milles cubes, et formerait une sphère d'un diamètre de soixante lieues dont le poids serait de trois quintillions de tonneaux.|Cette masse liquide comprend deux milliards deux cent cinquante millions de milles cubes, et formerait une sphère d'un diamètre de soixante lieues dont le poids serait de trois quintillions de tonneaux.
sous_les_mers_1_14_f000004|Et, pour comprendre ce nombre, il faut se dire que le quintillion est au milliard ce que le milliard est à l'unité, c'est-à-dire qu'il y a autant de milliards dans un quintillion que d'unités dans un milliard.|Et, pour comprendre ce nombre, il faut se dire que le quintillion est au milliard ce que le milliard est à l'unité, c'est-à-dire qu'il y a autant de milliards dans un quintillion que d'unités dans un milliard.
sous_les_mers_1_14_f000005|Or, cette masse liquide, c'est à peu près la quantité d'eau que verseraient tous les fleuves de la terre pendant quarante mille ans.|Or, cette masse liquide, c'est à peu près la quantité d'eau que verseraient tous les fleuves de la terre pendant quarante mille ans.
sous_les_mers_1_14_f000006|Durant les époques géologiques, à la période du feu succéda la période de l'eau.|Durant les époques géologiques, à la période du feu succéda la période de l'eau.
sous_les_mers_1_14_f000007|L'Océan fut d'abord universel. Puis, peu à peu, dans les temps siluriens, des sommets de montagnes apparurent, des îles émergèrent,|L'Océan fut d'abord universel. Puis, peu à peu, dans les temps siluriens, des sommets de montagnes apparurent, des îles émergèrent,
sous_les_mers_1_14_f000008|disparurent sous des déluges partiels, se montrèrent à nouveau, se soudèrent, formèrent des continents et enfin les terres se fixèrent géographiquement telles que nous les voyons.|disparurent sous des déluges partiels, se montrèrent à nouveau, se soudèrent, formèrent des continents et enfin les terres se fixèrent géographiquement telles que nous les voyons.
sous_les_mers_1_14_f000009|Le solide avait conquis sur le liquide trente-sept millions six cent cinquante-sept milles carrés, soit douze mille neuf cent seize millions d'hectares.|Le solide avait conquis sur le liquide trente-sept millions six cent cinquante-sept milles carrés, soit douze mille neuf cent seize millions d'hectares.
sous_les_mers_1_14_f000010|La configuration des continents permet de diviser les eaux en cinq grandes parties:|La configuration des continents permet de diviser les eaux en cinq grandes parties:
sous_les_mers_1_14_f000011|l'Océan glacial arctique, l'Océan glacial antarctique, l'Océan indien, l'Océan atlantique, l'Océan pacifique.|l'Océan glacial arctique, l'Océan glacial antarctique, l'Océan indien, l'Océan atlantique, l'Océan pacifique.
sous_les_mers_1_14_f000012|L'Océan pacifique s'étend du nord au sud entre les deux cercles polaires, et de l'ouest a l'est entre l'Asie et l'Amérique sur une étendue de cent quarante-cinq degrés en longitude.|L'Océan pacifique s'étend du nord au sud entre les deux cercles polaires, et de l'ouest a l'est entre l'Asie et l'Amérique sur une étendue de cent quarante-cinq degrés en longitude.
sous_les_mers_1_14_f000013|C'est la plus tranquille des mers; ses courants sont larges et lents, ses marées médiocres, ses pluies abondantes.|C'est la plus tranquille des mers; ses courants sont larges et lents, ses marées médiocres, ses pluies abondantes.
sous_les_mers_1_14_f000014|Tel était l'Océan que ma destinée m'appelait d'abord à parcourir dans les plus étranges conditions.|Tel était l'Océan que ma destinée m'appelait d'abord à parcourir dans les plus étranges conditions.
sous_les_mers_1_14_f000015|Monsieur le professeur, me dit le capitaine Nemo, nous allons, si vous le voulez bien, relever exactement notre position, et fixer le point de départ de ce voyage.|Monsieur le professeur, me dit le capitaine Nemo, nous allons, si vous le voulez bien, relever exactement notre position, et fixer le point de départ de ce voyage.
sous_les_mers_1_14_f000016|Il est midi moins le quart. Je vais remonter à la surface des eaux.|Il est midi moins le quart. Je vais remonter à la surface des eaux.
sous_les_mers_1_14_f000017|Le capitaine pressa trois fois un timbre électrique.|Le capitaine pressa trois fois un timbre électrique.
sous_les_mers_1_14_f000018|Les pompes commencèrent à chasser l'eau des réservoirs; l'aiguille du manomètre marqua par les différentes pressions le mouvement ascensionnel du Nautilus, puis elle s'arrêta.|Les pompes commencèrent à chasser l'eau des réservoirs; l'aiguille du manomètre marqua par les différentes pressions le mouvement ascensionnel du Nautilus, puis elle s'arrêta.
sous_les_mers_1_14_f000019|Nous sommes arrivés, dit le capitaine.|Nous sommes arrivés, dit le capitaine.
sous_les_mers_1_14_f000020|Je me rendis à l'escalier central qui aboutissait à la plate-forme. Je gravis les marches de métal, et, par les panneaux ouverts, j'arrivai sur la partie supérieure du Nautilus.|Je me rendis à l'escalier central qui aboutissait à la plate-forme. Je gravis les marches de métal, et, par les panneaux ouverts, j'arrivai sur la partie supérieure du Nautilus.
sous_les_mers_1_14_f000021|La plate-forme émergeait de quatre-vingts centimètres seulement.|La plate-forme émergeait de quatre-vingts centimètres seulement.
sous_les_mers_1_14_f000022|L'avant et l'arrière du Nautilus présentaient cette disposition fusiforme qui le faisait justement comparer à un long cigare.|L'avant et l'arrière du Nautilus présentaient cette disposition fusiforme qui le faisait justement comparer à un long cigare.
sous_les_mers_1_14_f000023|Je remarquai que ses plaques de tôles, imbriquées légèrement, ressemblaient aux écailles qui revêtent le corps des grands reptiles terrestres.|Je remarquai que ses plaques de tôles, imbriquées légèrement, ressemblaient aux écailles qui revêtent le corps des grands reptiles terrestres.
sous_les_mers_1_14_f000024|Je m'expliquai donc très naturellement que, malgré les meilleures lunettes, ce bateau eût toujours été pris pour un animal marin.|Je m'expliquai donc très naturellement que, malgré les meilleures lunettes, ce bateau eût toujours été pris pour un animal marin.
sous_les_mers_1_14_f000025|Vers le milieu de la plate-forme, le canot, à demi-engagé dans la coque du navire, formait une légère extumescence.|Vers le milieu de la plate-forme, le canot, à demi-engagé dans la coque du navire, formait une légère extumescence.
sous_les_mers_1_14_f000026|En avant et en arrière s'élevaient deux cages de hauteur médiocre, à parois inclinées, et en partie fermées par d'épais verres lenticulaires:|En avant et en arrière s'élevaient deux cages de hauteur médiocre, à parois inclinées, et en partie fermées par d'épais verres lenticulaires:
sous_les_mers_1_14_f000027|l'une destinée au timonier qui dirigeait le Nautilus, l'autre où brillait le puissant fanal électrique qui éclairait sa route.|l'une destinée au timonier qui dirigeait le Nautilus, l'autre où brillait le puissant fanal électrique qui éclairait sa route.
sous_les_mers_1_14_f000028|La mer était magnifique, le ciel pur. A peine si le long véhicule ressentait les larges ondulations de l'Océan.|La mer était magnifique, le ciel pur. A peine si le long véhicule ressentait les larges ondulations de l'Océan.
sous_les_mers_1_14_f000029|Une légère brise de l'est ridait la surface des eaux. L'horizon, dégagé de brumes, se prêtait aux meilleures observations.|Une légère brise de l'est ridait la surface des eaux. L'horizon, dégagé de brumes, se prêtait aux meilleures observations.
sous_les_mers_1_14_f000030|Nous n'avions rien en vue. Pas un écueil, pas un îlot. Plus d' Abraham-Lincoln. L'immensité déserte.|Nous n'avions rien en vue. Pas un écueil, pas un îlot. Plus d' Abraham-Lincoln. L'immensité déserte.
sous_les_mers_1_14_f000031|Le capitaine Nemo, muni de son sextant, prit la hauteur du soleil, qui devait lui donner sa latitude.|Le capitaine Nemo, muni de son sextant, prit la hauteur du soleil, qui devait lui donner sa latitude.
sous_les_mers_1_14_f000032|Il attendit pendant quelques minutes que l'astre vint affleurer le bord de l'horizon.|Il attendit pendant quelques minutes que l'astre vint affleurer le bord de l'horizon.
sous_les_mers_1_14_f000033|Tandis qu'il observait, pas un de ses muscles ne tressaillait, et l'instrument n'eût pas été plus immobile dans une main de marbre.|Tandis qu'il observait, pas un de ses muscles ne tressaillait, et l'instrument n'eût pas été plus immobile dans une main de marbre.
sous_les_mers_1_14_f000034|Midi, dit-il. Monsieur le professeur, quand vous voudrez?...|Midi, dit-il. Monsieur le professeur, quand vous voudrez?...
sous_les_mers_1_14_f000035|Je jetai un dernier regard sur cette mer un peu jaunâtre des atterrages japonais, et je redescendis au grand salon.|Je jetai un dernier regard sur cette mer un peu jaunâtre des atterrages japonais, et je redescendis au grand salon.
sous_les_mers_1_14_f000036|Là, le capitaine fit son point et calcula chronométriquement sa longitude, qu'il contrôla par de précédentes observations d'angle horaires. Puis il me dit:|Là, le capitaine fit son point et calcula chronométriquement sa longitude, qu'il contrôla par de précédentes observations d'angle horaires. Puis il me dit:
sous_les_mers_1_14_f000037|Monsieur Aronnax, nous sommes par cent trente-sept degrés et quinze minutes de longitude à l'ouest...|Monsieur Aronnax, nous sommes par cent trente-sept degrés et quinze minutes de longitude à l'ouest...
sous_les_mers_1_14_f000038|-- De quel méridien? demandai-je vivement, espérant que la réponse du capitaine m'indiquerait peut-être sa nationalité.|-- De quel méridien? demandai-je vivement, espérant que la réponse du capitaine m'indiquerait peut-être sa nationalité.
sous_les_mers_1_14_f000039|-- Monsieur, me répondit-il, j'ai divers chronomètres réglés sur les méridiens de Paris, de Greenwich et de Washington. Mais, en votre honneur je me servirai de celui de Paris.|-- Monsieur, me répondit-il, j'ai divers chronomètres réglés sur les méridiens de Paris, de Greenwich et de Washington. Mais, en votre honneur je me servirai de celui de Paris.
sous_les_mers_1_14_f000040|Cette réponse ne m'apprenait rien. Je m'inclinai, et le commandant reprit:|Cette réponse ne m'apprenait rien. Je m'inclinai, et le commandant reprit:
sous_les_mers_1_14_f000041|Trente-sept degrés et quinze minutes de longitude à l'ouest du méridien de Paris, et par trente degrés et sept minutes de latitude nord,|Trente-sept degrés et quinze minutes de longitude à l'ouest du méridien de Paris, et par trente degrés et sept minutes de latitude nord,
sous_les_mers_1_14_f000042|c'est-à-dire à trois cents milles environ des côtes du Japon.|c'est-à-dire à trois cents milles environ des côtes du Japon.
sous_les_mers_1_14_f000043|C'est aujourd'hui 8 novembre, à midi, que commence notre voyage d'exploration sous les eaux.|C'est aujourd'hui 8 novembre, à midi, que commence notre voyage d'exploration sous les eaux.
sous_les_mers_1_14_f000044|-- Dieu nous garde! répondis-je.|-- Dieu nous garde! répondis-je.
sous_les_mers_1_14_f000045|-- Et maintenant, monsieur le professeur, ajouta le capitaine, je vous laisse à vos études.|-- Et maintenant, monsieur le professeur, ajouta le capitaine, je vous laisse à vos études.
sous_les_mers_1_14_f000046|J'ai donné la route à l'est-nord-est par cinquante mètres de profondeur.|J'ai donné la route à l'est-nord-est par cinquante mètres de profondeur.
sous_les_mers_1_14_f000047|Voici des cartes à grands points, où vous pourrez la suivre. Le salon est à votre disposition, et je vous demande la permission de me retirer.|Voici des cartes à grands points, où vous pourrez la suivre. Le salon est à votre disposition, et je vous demande la permission de me retirer.
sous_les_mers_1_14_f000048|Le capitaine Nemo me salua. Je restai seul, absorbé dans mes pensées.|Le capitaine Nemo me salua. Je restai seul, absorbé dans mes pensées.
sous_les_mers_1_14_f000049|Toutes se portaient sur ce commandant du Nautilus. Saurais-je jamais à quelle nation appartenait cet homme étrange qui se vantait de n'appartenir à aucune?|Toutes se portaient sur ce commandant du Nautilus. Saurais-je jamais à quelle nation appartenait cet homme étrange qui se vantait de n'appartenir à aucune?
sous_les_mers_1_14_f000050|Cette haine qu'il avait vouée à l'humanité, cette haine qui cherchait peut-être des vengeances terribles, qui l'avait provoquée?|Cette haine qu'il avait vouée à l'humanité, cette haine qui cherchait peut-être des vengeances terribles, qui l'avait provoquée?
sous_les_mers_1_14_f000051|Etait-il un de ces savants méconnus, un de ces génies auxquels on a fait du chagrin, suivant l'expression de Conseil, un Galilée moderne, ou bien un de ces hommes de science comme l'Américain Maury, dont la carrière a été brisée par des révolutions politiques?|Etait-il un de ces savants méconnus, un de ces génies auxquels on a fait du chagrin, suivant l'expression de Conseil, un Galilée moderne, ou bien un de ces hommes de science comme l'Américain Maury, dont la carrière a été brisée par des révolutions politiques?
sous_les_mers_1_14_f000052|Je ne pouvais encore le dire. Moi que le hasard venait de jeter à son bord, moi dont il tenait la vie entre les mains, il m'accueillait froidement, mais hospitalièrement.|Je ne pouvais encore le dire. Moi que le hasard venait de jeter à son bord, moi dont il tenait la vie entre les mains, il m'accueillait froidement, mais hospitalièrement.
sous_les_mers_1_14_f000053|Seulement, il n'avait jamais pris la main que je lui tendais. Il ne m'avait jamais tendu la sienne.|Seulement, il n'avait jamais pris la main que je lui tendais. Il ne m'avait jamais tendu la sienne.
sous_les_mers_1_14_f000054|Une heure entière, je demeurai plongé dans ces réflexions, cherchant à percer ce mystère si intéressant pour moi.|Une heure entière, je demeurai plongé dans ces réflexions, cherchant à percer ce mystère si intéressant pour moi.
sous_les_mers_1_14_f000055|Puis mes regards se fixèrent sur le vaste planisphère étalé sur la table, et je plaçai le doigt sur le point même où se croisaient la longitude et la latitude observées.|Puis mes regards se fixèrent sur le vaste planisphère étalé sur la table, et je plaçai le doigt sur le point même où se croisaient la longitude et la latitude observées.
sous_les_mers_1_14_f000056|La mer a ses fleuves comme les continents. Ce sont des courants spéciaux, reconnaissables à leur température, à leur couleur, et dont le plus remarquable est connu sous le nom de courant du Gulf Stream.|La mer a ses fleuves comme les continents. Ce sont des courants spéciaux, reconnaissables à leur température, à leur couleur, et dont le plus remarquable est connu sous le nom de courant du Gulf Stream.
sous_les_mers_1_14_f000057|La science a déterminé, sur le globe, la direction de cinq courants principaux: un dans l'Atlantique nord, un second dans l'Atlantique sud, un troisième dans le Pacifique nord, un quatrième dans le Pacifique sud, et un cinquième dans l'Océan indien sud.|La science a déterminé, sur le globe, la direction de cinq courants principaux: un dans l'Atlantique nord, un second dans l'Atlantique sud, un troisième dans le Pacifique nord, un quatrième dans le Pacifique sud, et un cinquième dans l'Océan indien sud.
sous_les_mers_1_14_f000058|Il est même probable qu'un sixième courant existait autrefois dans l'Océan indien nord, lorsque les mers Caspienne et d'Aral, réunies aux grands lacs de l'Asie,|Il est même probable qu'un sixième courant existait autrefois dans l'Océan indien nord, lorsque les mers Caspienne et d'Aral, réunies aux grands lacs de l'Asie,
sous_les_mers_1_14_f000059|ne formaient qu'une seule et même étendue d'eau.|ne formaient qu'une seule et même étendue d'eau.
sous_les_mers_1_14_f000060|Or, au point indiqué sur le planisphère, se déroulait l'un de ces courants, le Kuro-Scivo des Japonais, le Fleuve-Noir, qui, sorti du golfe du Bengale où le chauffent les rayons perpendiculaires du soleil des Tropiques,|Or, au point indiqué sur le planisphère, se déroulait l'un de ces courants, le Kuro-Scivo des Japonais, le Fleuve-Noir, qui, sorti du golfe du Bengale où le chauffent les rayons perpendiculaires du soleil des Tropiques,
sous_les_mers_1_14_f000061|traverse le détroit de Malacca, prolonge la côte d'Asie, s'arrondit dans le Pacifique nord jusqu'aux îles Aléoutiennes, charriant des troncs de camphriers et autres produits indigènes, et tranchant par le pur indigo de ses eaux chaudes avec les flots de l'Océan.|traverse le détroit de Malacca, prolonge la côte d'Asie, s'arrondit dans le Pacifique nord jusqu'aux îles Aléoutiennes, charriant des troncs de camphriers et autres produits indigènes, et tranchant par le pur indigo de ses eaux chaudes avec les flots de l'Océan.
sous_les_mers_1_14_f000062|C'est ce courant que le Nautilus allait parcourir. Je le suivais du regard, je le voyais se perdre dans l'immensité du Pacifique, et je me sentais entraîner avec lui,|C'est ce courant que le Nautilus allait parcourir. Je le suivais du regard, je le voyais se perdre dans l'immensité du Pacifique, et je me sentais entraîner avec lui,
sous_les_mers_1_14_f000063|quand Ned Land et Conseil apparurent à la porte du salon.|quand Ned Land et Conseil apparurent à la porte du salon.
sous_les_mers_1_14_f000064|Mes deux braves compagnons restèrent pétrifiés à la vue des merveilles entassées devant leurs yeux.|Mes deux braves compagnons restèrent pétrifiés à la vue des merveilles entassées devant leurs yeux.
sous_les_mers_1_14_f000065|Où sommes-nous? où sommes-nous? s'écria le Canadien. Au muséum de Québec?|Où sommes-nous? où sommes-nous? s'écria le Canadien. Au muséum de Québec?
sous_les_mers_1_14_f000066|-- S'il plaît à monsieur, répliqua Conseil, ce serait plutôt à l'hôtel du Sommerard!|-- S'il plaît à monsieur, répliqua Conseil, ce serait plutôt à l'hôtel du Sommerard!
sous_les_mers_1_14_f000067|-- Mes amis, répondis-je en leur faisant signe d'entrer, vous n'êtes ni au Canada ni en France, mais bien à bord du Nautilus, et à cinquante mètres au-dessous du niveau de la mer.|-- Mes amis, répondis-je en leur faisant signe d'entrer, vous n'êtes ni au Canada ni en France, mais bien à bord du Nautilus, et à cinquante mètres au-dessous du niveau de la mer.
sous_les_mers_1_14_f000068|-- Il faut croire monsieur, puisque monsieur l'affirme, répliqua Conseil; mais franchement, ce salon est fait pour étonner même un Flamand comme moi.|-- Il faut croire monsieur, puisque monsieur l'affirme, répliqua Conseil; mais franchement, ce salon est fait pour étonner même un Flamand comme moi.
sous_les_mers_1_14_f000069|-- Etonne-toi, mon ami, et regarde, car, pour un classificateur de ta force, il y a de quoi travailler ici.|-- Etonne-toi, mon ami, et regarde, car, pour un classificateur de ta force, il y a de quoi travailler ici.
sous_les_mers_1_14_f000070|Je n'avais pas besoin d'encourager Conseil. Le brave garçon, penché sur les vitrines, murmurait déjà des mots de la langue des naturalistes:|Je n'avais pas besoin d'encourager Conseil. Le brave garçon, penché sur les vitrines, murmurait déjà des mots de la langue des naturalistes:
sous_les_mers_1_14_f000071|classe des Gastéropodes, famille des Buccinoïdes, genre des Porcelaines, espèces des Cyproea Madagascariensis, etc.|classe des Gastéropodes, famille des Buccinoïdes, genre des Porcelaines, espèces des Cyproea Madagascariensis, etc.
sous_les_mers_1_14_f000072|Pendant ce temps, Ned Land, assez peu conchyliologue, m'interrogeait sur mon entrevue avec le capitaine Nemo.|Pendant ce temps, Ned Land, assez peu conchyliologue, m'interrogeait sur mon entrevue avec le capitaine Nemo.
sous_les_mers_1_14_f000073|Avais-je découvert qui il était, d'où il venait, où il allait, vers quelles profondeurs il nous entraînait? Enfin mille questions auxquelles je n'avais pas le temps de répondre.|Avais-je découvert qui il était, d'où il venait, où il allait, vers quelles profondeurs il nous entraînait? Enfin mille questions auxquelles je n'avais pas le temps de répondre.
sous_les_mers_1_14_f000074|Je lui appris tout ce que je savais, ou plutôt, tout ce que je ne savais pas, et je lui demandai ce qu'il avait entendu ou vu de son côté.|Je lui appris tout ce que je savais, ou plutôt, tout ce que je ne savais pas, et je lui demandai ce qu'il avait entendu ou vu de son côté.
sous_les_mers_1_14_f000075|Rien vu, rien entendu! répondit le Canadien. Je n'ai pas même aperçu l'équipage de ce bateau. Est-ce que, par hasard, il serait électrique aussi, lui?|Rien vu, rien entendu! répondit le Canadien. Je n'ai pas même aperçu l'équipage de ce bateau. Est-ce que, par hasard, il serait électrique aussi, lui?
sous_les_mers_1_14_f000076|-- Electrique!|-- Electrique!
sous_les_mers_1_14_f000077|-- Par ma foi! on serait tenté de le croire. Mais vous, monsieur Aronnax, demanda Ned Land, qui avait toujours son idée, vous ne pouvez me dire combien d'hommes il y a à bord?|-- Par ma foi! on serait tenté de le croire. Mais vous, monsieur Aronnax, demanda Ned Land, qui avait toujours son idée, vous ne pouvez me dire combien d'hommes il y a à bord?
sous_les_mers_1_14_f000078|Dix, vingt, cinquante, cent?|Dix, vingt, cinquante, cent?
sous_les_mers_1_14_f000079|-- Je ne saurais vous répondre, maître Land. D'ailleurs, croyez-moi, abandonnez, pour le moment, cette idée de vous emparer du Nautilus ou de le fuir.|-- Je ne saurais vous répondre, maître Land. D'ailleurs, croyez-moi, abandonnez, pour le moment, cette idée de vous emparer du Nautilus ou de le fuir.
sous_les_mers_1_14_f000080|Ce bateau est un des chefs-d'oeuvre de l'industrie moderne, et je regretterais de ne pas l'avoir vu! Bien des gens accepteraient la situation qui nous est faite, ne fût-ce que pour se promener à travers ces merveilles.|Ce bateau est un des chefs-d'oeuvre de l'industrie moderne, et je regretterais de ne pas l'avoir vu! Bien des gens accepteraient la situation qui nous est faite, ne fût-ce que pour se promener à travers ces merveilles.
sous_les_mers_1_14_f000081|Ainsi, tenez-vous tranquille, et tâchons de voir ce qui se passe autour de nous.|Ainsi, tenez-vous tranquille, et tâchons de voir ce qui se passe autour de nous.
sous_les_mers_1_14_f000082|-- Voir! s'écria le harponneur, mais on ne voit rien, on ne verra rien de cette prison de tôle! Nous marchons, nous naviguons en aveugles...|-- Voir! s'écria le harponneur, mais on ne voit rien, on ne verra rien de cette prison de tôle! Nous marchons, nous naviguons en aveugles...
sous_les_mers_1_14_f000083|-- Ned Land prononçait ces derniers mots, quand l'obscurité se fit subitement, mais une obscurité absolue.|-- Ned Land prononçait ces derniers mots, quand l'obscurité se fit subitement, mais une obscurité absolue.
sous_les_mers_1_14_f000084|Le plafond lumineux s'éteignit, et si rapidement, que mes yeux en éprouvèrent une impression douloureuse, analogue à celle que produit le passage contraire des profondes ténèbres à la plus éclatante lumière.|Le plafond lumineux s'éteignit, et si rapidement, que mes yeux en éprouvèrent une impression douloureuse, analogue à celle que produit le passage contraire des profondes ténèbres à la plus éclatante lumière.
sous_les_mers_1_14_f000085|Nous étions restés muets, ne remuant pas, ne sachant quelle surprise, agréable ou désagréable, nous attendait.|Nous étions restés muets, ne remuant pas, ne sachant quelle surprise, agréable ou désagréable, nous attendait.
sous_les_mers_1_14_f000086|Mais un glissement se fit entendre. On eût dit que des panneaux se manoeuvraient sur les flancs du Nautilus.|Mais un glissement se fit entendre. On eût dit que des panneaux se manoeuvraient sur les flancs du Nautilus.
sous_les_mers_1_14_f000087|C'est la fin de la fin! dit Ned Land.|C'est la fin de la fin! dit Ned Land.
sous_les_mers_1_14_f000088|-- Ordre des Hydroméduses! murmura Conseil.|-- Ordre des Hydroméduses! murmura Conseil.
sous_les_mers_1_14_f000089|Soudain, le jour se fit de chaque côté du salon, à travers deux ouvertures oblongues.|Soudain, le jour se fit de chaque côté du salon, à travers deux ouvertures oblongues.
sous_les_mers_1_14_f000090|Les masses liquides apparurent vivement éclairées par les effluences électriques.|Les masses liquides apparurent vivement éclairées par les effluences électriques.
