tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_02_f000221|das Erscheinen von Besuchern: Richter Thatcher, begleitet von einem sehr schwachen, alten Mann, einem vornehmen,|das Erscheinen von Besuchern: Richter Thatcher, begleitet von einem sehr schwachen, alten Mann, einem vornehmen,
tom_sawyer_02_f000222|mittelalterlichen Gentleman mit eisengrauem Haar, und einer würdevollen Dame, zweifellos der Frau des letzteren.|mittelalterlichen Gentleman mit eisengrauem Haar, und einer würdevollen Dame, zweifellos der Frau des letzteren.
tom_sawyer_02_f000223|Die Dame führte ein Kind an der Hand. Tom war bis dahin unruhig und schuldbewußt gewesen - er konnte den Blick aus Amy Lawrences Augen nicht ertragen - es sprach zu viel Liebe aus diesem Blick!|Die Dame führte ein Kind an der Hand. Tom war bis dahin unruhig und schuldbewußt gewesen - er konnte den Blick aus Amy Lawrences Augen nicht ertragen - es sprach zu viel Liebe aus diesem Blick!
tom_sawyer_02_f000224|Aber als er diesen kleinen Ankömmling sah, war seine Beklommenheit auf einmal vorbei.|Aber als er diesen kleinen Ankömmling sah, war seine Beklommenheit auf einmal vorbei.
tom_sawyer_02_f000225|Im nächsten Augenblick ließ er wieder seine Künste spielen - er knuffte andere Knaben, riß sie an den Haaren,|Im nächsten Augenblick ließ er wieder seine Künste spielen - er knuffte andere Knaben, riß sie an den Haaren,
tom_sawyer_02_f000226|schnitt Fratzen, mit einem Wort, tat alles, was nur irgend eines Mädchens Aufmerksamkeit erregen und ihren Beifall gewinnen kann.|schnitt Fratzen, mit einem Wort, tat alles, was nur irgend eines Mädchens Aufmerksamkeit erregen und ihren Beifall gewinnen kann.
tom_sawyer_02_f000227|Aber seine Exaltation wurde rasch gedämpft, er erinnerte sich seiner Erlebnisse im Garten dieses Engels;|Aber seine Exaltation wurde rasch gedämpft, er erinnerte sich seiner Erlebnisse im Garten dieses Engels;
tom_sawyer_02_f000228|aber diese Erinnerung wurde rasch durch das Glücksgefühl, von dem sein Herz plötzlich erfüllt war, fortgeschwemmt.|aber diese Erinnerung wurde rasch durch das Glücksgefühl, von dem sein Herz plötzlich erfüllt war, fortgeschwemmt.
tom_sawyer_02_f000229|Den Besuchern wurden die höchsten Ehrenbezeugungen erwiesen, und nach Beendigung von Mr.|Den Besuchern wurden die höchsten Ehrenbezeugungen erwiesen, und nach Beendigung von Mr.
tom_sawyer_02_f000230|Walters Anrede führte er sie in der Schule herum. Der mittelalterliche Mann schien ein bedeutender Mann zu sein.|Walters Anrede führte er sie in der Schule herum. Der mittelalterliche Mann schien ein bedeutender Mann zu sein.
tom_sawyer_02_f000231|Er war der oberste Richter des Kreises - gewiß die erhabenste Persönlichkeit, die diese Kinder bis jetzt gesehen hatten;|Er war der oberste Richter des Kreises - gewiß die erhabenste Persönlichkeit, die diese Kinder bis jetzt gesehen hatten;
tom_sawyer_02_f000232|und sie grübelten darüber, aus welchem Stoff der wohl gemacht sein könne; und dann waren sie begierig auf seine Stimme und dann zitterten sie wieder davor, sie zu hören.|und sie grübelten darüber, aus welchem Stoff der wohl gemacht sein könne; und dann waren sie begierig auf seine Stimme und dann zitterten sie wieder davor, sie zu hören.
tom_sawyer_02_f000233|Er war aus Konstantinopel - zwölf Meilen entfernt, - er war also durch die ganze Welt gekommen und hatte alles gesehen;|Er war aus Konstantinopel - zwölf Meilen entfernt, - er war also durch die ganze Welt gekommen und hatte alles gesehen;
tom_sawyer_02_f000234|diese Augen hatten das Staatshaus gesehen, von dem man sagte, es habe ein wirkliches Zinndach!|diese Augen hatten das Staatshaus gesehen, von dem man sagte, es habe ein wirkliches Zinndach!
tom_sawyer_02_f000235|Die scheue Ehrfurcht, welche diese Vorstellungen hervorriefen, war aus dem absoluten Schweigen und den starr auf ihn gerichteten Augen deutlich zu lesen.|Die scheue Ehrfurcht, welche diese Vorstellungen hervorriefen, war aus dem absoluten Schweigen und den starr auf ihn gerichteten Augen deutlich zu lesen.
tom_sawyer_02_f000236|Das also war der große Richter Thatcher, der Bruder ihres Bürgermeisters.|Das also war der große Richter Thatcher, der Bruder ihres Bürgermeisters.
tom_sawyer_02_f000237|Von Jeff Thatcher hieß es sogleich, er sei mit dem großen Mann verwandt, und den beherbergte die Schule!|Von Jeff Thatcher hieß es sogleich, er sei mit dem großen Mann verwandt, und den beherbergte die Schule!
tom_sawyer_02_f000238|Es würde Musik für Jeffs Ohren gewesen sein, hätte er gehört, was man von ihm flüsterte.|Es würde Musik für Jeffs Ohren gewesen sein, hätte er gehört, was man von ihm flüsterte.
tom_sawyer_02_f000239|Sieh nur, Jim, er ist wahrhaftig vorgegangen! Donnerwetter, er will ihm die Hand geben. Er hat ihm die Hand gegeben. Bei Jingo, möchtet wohl auch Jeff sein, he?|Sieh nur, Jim, er ist wahrhaftig vorgegangen! Donnerwetter, er will ihm die Hand geben. Er hat ihm die Hand gegeben. Bei Jingo, möchtet wohl auch Jeff sein, he?
tom_sawyer_02_f000240|Mr. Walter suchte sich jetzt in Geltung zu bringen durch möglichste Geschäftigkeit, erteilte Befehle,|Mr. Walter suchte sich jetzt in Geltung zu bringen durch möglichste Geschäftigkeit, erteilte Befehle,
tom_sawyer_02_f000241|fällte Urteile, gab Winke hier und dort und überall, und zeigte, daß er am rechten Platz sei.|fällte Urteile, gab Winke hier und dort und überall, und zeigte, daß er am rechten Platz sei.
tom_sawyer_02_f000242|Darauf zeigte sich der Bücherverwalter, rannte mit Stößen von Büchern herum, klapperte mit den Bücherbrettern und vollführte einen Spektakel,|Darauf zeigte sich der Bücherverwalter, rannte mit Stößen von Büchern herum, klapperte mit den Bücherbrettern und vollführte einen Spektakel,
tom_sawyer_02_f000243|daß es für jeden Vorgesetzten eine wahre Lust sein mußte.|daß es für jeden Vorgesetzten eine wahre Lust sein mußte.
tom_sawyer_02_f000244|Die jungen Lehrerinnen zeigten sich auch, taten schön mit Kindern, die sie eben geprügelt hatten, hoben warnend ihre niedlichen Finger gegen böse Buben und streichelten brave, kleine Mädchen.|Die jungen Lehrerinnen zeigten sich auch, taten schön mit Kindern, die sie eben geprügelt hatten, hoben warnend ihre niedlichen Finger gegen böse Buben und streichelten brave, kleine Mädchen.
tom_sawyer_02_f000245|Die jungen Lehrer zeigten sich mit kleinen Ermahnungen und anderen Beweisen ihrer Autorität und ihrer Sorgfalt.|Die jungen Lehrer zeigten sich mit kleinen Ermahnungen und anderen Beweisen ihrer Autorität und ihrer Sorgfalt.
tom_sawyer_02_f000246|Und alle Lehrenden beiderlei Geschlechts machten sich mit Vorliebe am Klassenpult zu tun, und es schienen Geschäfte zu sein,|Und alle Lehrenden beiderlei Geschlechts machten sich mit Vorliebe am Klassenpult zu tun, und es schienen Geschäfte zu sein,
tom_sawyer_02_f000247|die fortwährend wiederholt werden mußten und wie sie dabei ärgerlich waren!.|die fortwährend wiederholt werden mußten und wie sie dabei ärgerlich waren!.
tom_sawyer_02_f000248|Die kleinen Mädchen zeigten sich auf verschiedene Weise, und die Knaben zeigten sich mit solchem Nachdruck,|Die kleinen Mädchen zeigten sich auf verschiedene Weise, und die Knaben zeigten sich mit solchem Nachdruck,
tom_sawyer_02_f000249|daß die Luft mit Papierkugeln und halb unterdrücktem Gezänk angefüllt war.|daß die Luft mit Papierkugeln und halb unterdrücktem Gezänk angefüllt war.
tom_sawyer_02_f000250|Und bei alledem saß der große Mann da, hatte ein erhabenes Richterlächeln für die ganze Schule und wärmte sich im Glanze seiner eigenen Größe,|Und bei alledem saß der große Mann da, hatte ein erhabenes Richterlächeln für die ganze Schule und wärmte sich im Glanze seiner eigenen Größe,
tom_sawyer_02_f000251|denn er zeigte sich erst recht. Aber eins fehlte, was Mr.|denn er zeigte sich erst recht. Aber eins fehlte, was Mr.
tom_sawyer_02_f000252|Walters Glück vollgemacht hätte, das war die Gelegenheit, einen Bibelpreis auszuteilen und eins seiner Wunderkinder zu zeigen.|Walters Glück vollgemacht hätte, das war die Gelegenheit, einen Bibelpreis auszuteilen und eins seiner Wunderkinder zu zeigen.
tom_sawyer_02_f000253|Mehrere Schüler hatten eine Menge kleinerer Zettel, aber niemand hatte genug. Er hätte die Welt darum gegeben, seinen kleinen Deutschen für eine einzige Stunde wiederzuhaben.|Mehrere Schüler hatten eine Menge kleinerer Zettel, aber niemand hatte genug. Er hätte die Welt darum gegeben, seinen kleinen Deutschen für eine einzige Stunde wiederzuhaben.
tom_sawyer_02_f000254|Da - trat Tom Sawyer vor, neun gelbe Zettel, neun rote und zehn blaue, und verlangte eine Bibel!|Da - trat Tom Sawyer vor, neun gelbe Zettel, neun rote und zehn blaue, und verlangte eine Bibel!
tom_sawyer_02_f000255|Das wirkte wie ein Blitz aus heiterm Himmel! So etwas hätte Walter nicht erwartet - in den nächsten zehn Jahren sicher nicht.|Das wirkte wie ein Blitz aus heiterm Himmel! So etwas hätte Walter nicht erwartet - in den nächsten zehn Jahren sicher nicht.
tom_sawyer_02_f000256|Aber es war nichts auszusetzen - da lagen die nötigen Zettel beisammen und nahmen sich hübsch genug aus.|Aber es war nichts auszusetzen - da lagen die nötigen Zettel beisammen und nahmen sich hübsch genug aus.
tom_sawyer_02_f000257|Tom erhielt also seinen Platz beim Richter und den anderen Auserwählten, und die unerhörte Neuigkeit wurde nach allen Himmelsgegenden ausposaunt.|Tom erhielt also seinen Platz beim Richter und den anderen Auserwählten, und die unerhörte Neuigkeit wurde nach allen Himmelsgegenden ausposaunt.
tom_sawyer_02_f000258|Es war zweifellos die staunenswerteste Tatsache des Jahrzehnts;|Es war zweifellos die staunenswerteste Tatsache des Jahrzehnts;
tom_sawyer_02_f000259|und so tief war die Erregung, daß sie den neuen Helden auf die Höhe des Kreisrichters hob und die Schule zwei Weltwunder aus einmal zu bestaunen hatte.|und so tief war die Erregung, daß sie den neuen Helden auf die Höhe des Kreisrichters hob und die Schule zwei Weltwunder aus einmal zu bestaunen hatte.
tom_sawyer_02_f000260|Die Jungen waren durch die Bank von Neid erfüllt. Aber die am tiefsten Beleidigten waren diejenigen, welche zu spät einsahen,|Die Jungen waren durch die Bank von Neid erfüllt. Aber die am tiefsten Beleidigten waren diejenigen, welche zu spät einsahen,
tom_sawyer_02_f000261|daß sie selbst zu diesem unerhörten Glanz beigetragen hatten, indem sie Tom Billetts verkauften für die Schätze,|daß sie selbst zu diesem unerhörten Glanz beigetragen hatten, indem sie Tom Billetts verkauften für die Schätze,
tom_sawyer_02_f000262|welche er durch Übertragung der Anstreich-Gerechtsame erworben hatte.|welche er durch Übertragung der Anstreich-Gerechtsame erworben hatte.
tom_sawyer_02_f000263|Sie verachteten sich selbst, da sie sich durch einen listigen Betrüger hatten anführen lassen.|Sie verachteten sich selbst, da sie sich durch einen listigen Betrüger hatten anführen lassen.
tom_sawyer_02_f000264|Der Preis wurde Tom überreicht, mit so viel Salbung, als der Superintendent unter solchen Umständen auftreiben konnte.|Der Preis wurde Tom überreicht, mit so viel Salbung, als der Superintendent unter solchen Umständen auftreiben konnte.
tom_sawyer_02_f000265|Aber es war doch nicht der rechte Schwung darin, denn sein Instinkt sagte ihm, hierbei müsse ein Geheimnis walten, das wohl nicht ganz gut das Licht der Sonne vertragen würde.|Aber es war doch nicht der rechte Schwung darin, denn sein Instinkt sagte ihm, hierbei müsse ein Geheimnis walten, das wohl nicht ganz gut das Licht der Sonne vertragen würde.
tom_sawyer_02_f000266|Es war ganz einfach unglaublich, daß dieser Knabe zweitausend Bibelverse in seinem Kopfe aufgespeichert haben sollte - ein Dutzend schon hätte zweifellos seine Kräfte überstiegen.|Es war ganz einfach unglaublich, daß dieser Knabe zweitausend Bibelverse in seinem Kopfe aufgespeichert haben sollte - ein Dutzend schon hätte zweifellos seine Kräfte überstiegen.
tom_sawyer_02_f000267|Amy Lawrence war ganz rot vor Stolz und versuchte, es Tom zu zeigen, aber er wollte nicht sehen.|Amy Lawrence war ganz rot vor Stolz und versuchte, es Tom zu zeigen, aber er wollte nicht sehen.
tom_sawyer_02_f000268|Sie wunderte sich; dann grämte sie sich ein bißchen; schließlich stieg ein leiser Verdacht in ihr auf und verflog und kam wieder.|Sie wunderte sich; dann grämte sie sich ein bißchen; schließlich stieg ein leiser Verdacht in ihr auf und verflog und kam wieder.
tom_sawyer_02_f000269|Sie paßte auf. Ein heimlicher Blick verriet ihr Welten, und dann brach ihr Herz, und sie wurde eifersüchtig und wütend,|Sie paßte auf. Ein heimlicher Blick verriet ihr Welten, und dann brach ihr Herz, und sie wurde eifersüchtig und wütend,
tom_sawyer_02_f000270|und die Tränen kamen, und sie haßte alle, alle, Tom natürlich am meisten.|und die Tränen kamen, und sie haßte alle, alle, Tom natürlich am meisten.
tom_sawyer_02_f000271|Tom wurde vor den Richter geführt. Aber seine Zunge klebte am Gaumen, der Schweiß trat ihm auf die Stirn,|Tom wurde vor den Richter geführt. Aber seine Zunge klebte am Gaumen, der Schweiß trat ihm auf die Stirn,
tom_sawyer_02_f000272|sein Herz klopfte - teils infolge der Größe des Mannes, aber mehr noch, weil er ihr Vater war.|sein Herz klopfte - teils infolge der Größe des Mannes, aber mehr noch, weil er ihr Vater war.
tom_sawyer_02_f000273|Er hätte, wäre es dunkel gewesen, vor ihm niederfallen und ihn anbeten mögen.|Er hätte, wäre es dunkel gewesen, vor ihm niederfallen und ihn anbeten mögen.
tom_sawyer_02_f000274|Der Richter legte die Hand auf Toms Kopf und nannte ihn einen tüchtigen, kleinen Mann und fragte ihn nach seinem Namen.|Der Richter legte die Hand auf Toms Kopf und nannte ihn einen tüchtigen, kleinen Mann und fragte ihn nach seinem Namen.
tom_sawyer_02_f000275|Der Junge stammelte, hustete und stieß endlich mühsam heraus: Tom!|Der Junge stammelte, hustete und stieß endlich mühsam heraus: Tom!
tom_sawyer_02_f000276|O nein - nicht Tom, sondern - Thomas.|O nein - nicht Tom, sondern - Thomas.
tom_sawyer_02_f000277|Richtig. Ich dachte mir doch, daß noch etwas fehlte. Gut. Aber ich glaube, du hast noch einen Namen, und du wirst ihn mir nennen, nicht?|Richtig. Ich dachte mir doch, daß noch etwas fehlte. Gut. Aber ich glaube, du hast noch einen Namen, und du wirst ihn mir nennen, nicht?
tom_sawyer_02_f000278|Nenne dem Herrn deinen anderen Namen, Thomas, und sage: Herr! Nicht vergessen, was sich schickt!|Nenne dem Herrn deinen anderen Namen, Thomas, und sage: Herr! Nicht vergessen, was sich schickt!
tom_sawyer_02_f000279|Thomas Sawyer - Herr!|Thomas Sawyer - Herr!
tom_sawyer_02_f000280|So - so ists recht! Ein guter Junge. Ein braver Junge.|So - so ists recht! Ein guter Junge. Ein braver Junge.
tom_sawyer_02_f000281|Ein braver, kleiner Junge. Zweitausend Verse sind viel - sehr, sehr viel!|Ein braver, kleiner Junge. Zweitausend Verse sind viel - sehr, sehr viel!
tom_sawyer_02_f000282|Und Sie brauchen die Mühe, die es Ihnen bereitet hat, es ihm beizubringen, sicher nicht zu bereuen; denn Kenntnisse sind gewiß mehr wert, als irgend etwas anderes in der Welt.|Und Sie brauchen die Mühe, die es Ihnen bereitet hat, es ihm beizubringen, sicher nicht zu bereuen; denn Kenntnisse sind gewiß mehr wert, als irgend etwas anderes in der Welt.
tom_sawyer_02_f000283|Sie machen große Männer und große Menschen. - Du wirst eines Tages ein großer Mann sein und ein großer Mensch, Thomas, und dann wirst du zurückblicken und sagen:|Sie machen große Männer und große Menschen. - Du wirst eines Tages ein großer Mann sein und ein großer Mensch, Thomas, und dann wirst du zurückblicken und sagen:
tom_sawyer_02_f000284|Das alles verdanke ich der herrlichen Sonntagsschule meines Heimatsdorfes;|Das alles verdanke ich der herrlichen Sonntagsschule meines Heimatsdorfes;
tom_sawyer_02_f000285|alles meinen lieben Lehrern, die mich angehalten haben, zu lernen;|alles meinen lieben Lehrern, die mich angehalten haben, zu lernen;
tom_sawyer_02_f000286|alles dem guten Superintendenten, der mich anfeuerte und über mir wachte und mir eine wundervolle Bibel schenkte,|alles dem guten Superintendenten, der mich anfeuerte und über mir wachte und mir eine wundervolle Bibel schenkte,
tom_sawyer_02_f000287|eine herrliche, prächtige Bibel, damit ich sie immer, immer bei mir haben möge; alles meiner Erziehung!|eine herrliche, prächtige Bibel, damit ich sie immer, immer bei mir haben möge; alles meiner Erziehung!
tom_sawyer_02_f000288|Das wirst du sagen, Thomas! Und du würdest dir mit keinem Geld deinen Schatz von zweitausend Versen bezahlen lassen - nein, wahrhaftig nicht!|Das wirst du sagen, Thomas! Und du würdest dir mit keinem Geld deinen Schatz von zweitausend Versen bezahlen lassen - nein, wahrhaftig nicht!
tom_sawyer_02_f000289|Und jetzt kannst du mir und dieser Dame eine große Freude machen und uns einige deiner Verse aufsagen - du wirst es gern tun,|Und jetzt kannst du mir und dieser Dame eine große Freude machen und uns einige deiner Verse aufsagen - du wirst es gern tun,
tom_sawyer_02_f000290|denn wir freuen uns ja so sehr über einen fleißigen Knaben.|denn wir freuen uns ja so sehr über einen fleißigen Knaben.
tom_sawyer_02_f000291|Ohne Zweifel kennst du die Namen aller zwölf Jünger. Willst du uns also die Namen der beiden zuerst erwählten Jünger nennen?|Ohne Zweifel kennst du die Namen aller zwölf Jünger. Willst du uns also die Namen der beiden zuerst erwählten Jünger nennen?
tom_sawyer_02_f000292|Tom zupfte an einem Knopf und sah möglichst einfältig aus.|Tom zupfte an einem Knopf und sah möglichst einfältig aus.
tom_sawyer_02_f000293|Er wurde rot und senkte die Augen. Mr. Walters Herz sank mit.|Er wurde rot und senkte die Augen. Mr. Walters Herz sank mit.
tom_sawyer_02_f000294|Er sagte sich, es sei gar nicht möglich, von diesem Jungen Antwort auf die einfachste Frage zu bekommen - und den gerade mußte der Richter fragen!|Er sagte sich, es sei gar nicht möglich, von diesem Jungen Antwort auf die einfachste Frage zu bekommen - und den gerade mußte der Richter fragen!
tom_sawyer_02_f000295|Doch fühlte er sich veranlaßt, zu Hilfe zu kommen und sagte: Antworte dem Herrn, Thomas, - fürchte dich nicht!|Doch fühlte er sich veranlaßt, zu Hilfe zu kommen und sagte: Antworte dem Herrn, Thomas, - fürchte dich nicht!
tom_sawyer_02_f000296|Tom wurde immer röter.|Tom wurde immer röter.
tom_sawyer_02_f000297|Nun, ich weiß, mir wirst du es sagen, mischte sich hier die Dame ein.|Nun, ich weiß, mir wirst du es sagen, mischte sich hier die Dame ein.
tom_sawyer_02_f000298|Die Namen der zwei ersten Jünger waren - David und Goliath!|Die Namen der zwei ersten Jünger waren - David und Goliath!
tom_sawyer_02_f000299|Decken wir den Schleier der Nächstenliebe über das, was nun folgte!|Decken wir den Schleier der Nächstenliebe über das, was nun folgte!
tom_sawyer_03_f000001|Fünftes Kapitel.|Fünftes Kapitel.
tom_sawyer_03_f000002|Ungefähr um halb zehn Uhr begann die kleine Glocke der Kirche zu läuten, und sogleich begann das Volk zur Morgenpredigt herbeizuströmen.|Ungefähr um halb zehn Uhr begann die kleine Glocke der Kirche zu läuten, und sogleich begann das Volk zur Morgenpredigt herbeizuströmen.
tom_sawyer_03_f000003|Die Sonntagsschulkinder zerstreuten sich durchs ganze Haus und nahmen Plätze bei ihren Eltern ein, um unter Aufsicht zu sein.|Die Sonntagsschulkinder zerstreuten sich durchs ganze Haus und nahmen Plätze bei ihren Eltern ein, um unter Aufsicht zu sein.
tom_sawyer_03_f000004|Tante Polly kam, und Tom, Sid und Mary saßen bei ihr. Tom wurde zunächst der Kanzel plaziert, um so weit wie möglich vom offenen Fenster und dem Sommer draußen entfernt zu sein.|Tante Polly kam, und Tom, Sid und Mary saßen bei ihr. Tom wurde zunächst der Kanzel plaziert, um so weit wie möglich vom offenen Fenster und dem Sommer draußen entfernt zu sein.
tom_sawyer_03_f000005|Das Volk füllte die Kirche. Der alte, gichtbrüchige Postmeister, der bessere Tage gesehen hatte, der Mayor und seine Frau - denn es gab einen Mayor,|Das Volk füllte die Kirche. Der alte, gichtbrüchige Postmeister, der bessere Tage gesehen hatte, der Mayor und seine Frau - denn es gab einen Mayor,
tom_sawyer_03_f000006|neben vielen anderen unnützen Dingen, - der Ortsrichter, die Witwe Douglas, zart, klein und lebhaft, eine edle,|neben vielen anderen unnützen Dingen, - der Ortsrichter, die Witwe Douglas, zart, klein und lebhaft, eine edle,
tom_sawyer_03_f000007|gutherzige Seele und immer obenauf ihr Haus war das einzige steinerne im Dorf, und das gastfreieste und bei Festlichkeiten verschwenderischste, das St.|gutherzige Seele und immer obenauf ihr Haus war das einzige steinerne im Dorf, und das gastfreieste und bei Festlichkeiten verschwenderischste, das St.
tom_sawyer_03_f000008|Petersburg aufweisen konnte; Lawyer Riverson; dann die Schönheit des Dorfes, gefolgt von einem Haufen elegant gekleideter,|Petersburg aufweisen konnte; Lawyer Riverson; dann die Schönheit des Dorfes, gefolgt von einem Haufen elegant gekleideter,
tom_sawyer_03_f000009|mit allerhand Firlefanz behangener junger Herzensbrecher;|mit allerhand Firlefanz behangener junger Herzensbrecher;
tom_sawyer_03_f000010|dann all die jungen Ladendiener des Dorfes, alle gleichzeitig, denn sie hatten im Vestibül gestanden,|dann all die jungen Ladendiener des Dorfes, alle gleichzeitig, denn sie hatten im Vestibül gestanden,
tom_sawyer_03_f000011|Süßholz raspelnd - eine öltriefende, einfältige Schutztruppe - bis das letzte Mädchen Spießruten gelaufen war.|Süßholz raspelnd - eine öltriefende, einfältige Schutztruppe - bis das letzte Mädchen Spießruten gelaufen war.
tom_sawyer_03_f000012|Und zuletzt von allen kam der Musterknabe, Willie Mufferson, seine Mutter so sorgsam an der Hand führend, als wäre sie aus Glas.|Und zuletzt von allen kam der Musterknabe, Willie Mufferson, seine Mutter so sorgsam an der Hand führend, als wäre sie aus Glas.
tom_sawyer_03_f000013|Er brachte seine Mutter stets zur Kirche und war der Liebling aller alten Damen.|Er brachte seine Mutter stets zur Kirche und war der Liebling aller alten Damen.
tom_sawyer_03_f000014|Das junge Volk haßte ihn - er war zu gut; und dann war er ihnen gar zu oft als Muster vorgehalten worden.|Das junge Volk haßte ihn - er war zu gut; und dann war er ihnen gar zu oft als Muster vorgehalten worden.
tom_sawyer_03_f000015|Sein weißes Taschentuch hing ihm aus der Tasche - so war es damals am Sonntag Mode.|Sein weißes Taschentuch hing ihm aus der Tasche - so war es damals am Sonntag Mode.
tom_sawyer_03_f000016|Tom hatte kein Taschentuch und verachtete jeden Jungen, der eins hatte.|Tom hatte kein Taschentuch und verachtete jeden Jungen, der eins hatte.
tom_sawyer_03_f000017|Da die Versammlung jetzt so ziemlich vollzählig war, läutete die Glocke nochmals, zur Mahnung für Nachzügler und Müßige,|Da die Versammlung jetzt so ziemlich vollzählig war, läutete die Glocke nochmals, zur Mahnung für Nachzügler und Müßige,
tom_sawyer_03_f000018|und dann senkte sich eine große Stille auf die Kirche, nur unterbrochen durch das Kichern und Wispern auf dem Chor.|und dann senkte sich eine große Stille auf die Kirche, nur unterbrochen durch das Kichern und Wispern auf dem Chor.
tom_sawyer_03_f000019|Der Chor kicherte und wisperte immer und überall während des ganzen Gottesdienstes.|Der Chor kicherte und wisperte immer und überall während des ganzen Gottesdienstes.
tom_sawyer_03_f000020|Es hat einmal einen Kirchenchor gegeben, der nicht schlecht erzogen war, aber ich weiß nicht mehr wo.|Es hat einmal einen Kirchenchor gegeben, der nicht schlecht erzogen war, aber ich weiß nicht mehr wo.
tom_sawyer_03_f000021|Es ist schon eine ganze Reihe von Jahren her, und ich kann mich wahrhaftig nicht mehr an die Einzelheiten erinnern - aber ich glaube, es war in einem fremden Lande.|Es ist schon eine ganze Reihe von Jahren her, und ich kann mich wahrhaftig nicht mehr an die Einzelheiten erinnern - aber ich glaube, es war in einem fremden Lande.
tom_sawyer_03_f000022|Der Geistliche gab das Lied an und las es nach einer ganz besonderen, in dieser Gegend sehr beliebten Manier in singendem Ton herunter.|Der Geistliche gab das Lied an und las es nach einer ganz besonderen, in dieser Gegend sehr beliebten Manier in singendem Ton herunter.
tom_sawyer_03_f000023|Seine Stimme begann mit schwachem Flüstern, wuchs beständig an, bis sie einen Punkt erreichte, wo sie unter Herausstoßung des letzten Wortes plötzlich abbrach und wie ein Springbrunnen herunterplumpste.|Seine Stimme begann mit schwachem Flüstern, wuchs beständig an, bis sie einen Punkt erreichte, wo sie unter Herausstoßung des letzten Wortes plötzlich abbrach und wie ein Springbrunnen herunterplumpste.
tom_sawyer_03_f000024|Er galt als wundervoller Vorleser. Bei allen kirchlichen Versammlungen wurde er aufgefordert, Verse vorzutragen,|Er galt als wundervoller Vorleser. Bei allen kirchlichen Versammlungen wurde er aufgefordert, Verse vorzutragen,
tom_sawyer_03_f000025|und wenn er damit fertig war, hoben die Ladies ihre Hände und ließen sie wieder in den Schoß fallen und verdrehten die Augen und schüttelten die Köpfe, als wollten sie sagen:|und wenn er damit fertig war, hoben die Ladies ihre Hände und ließen sie wieder in den Schoß fallen und verdrehten die Augen und schüttelten die Köpfe, als wollten sie sagen:
tom_sawyer_03_f000026|Worte können hier nichts sagen, es ist zu wundervoll, zu wundervoll für diese Erde!|Worte können hier nichts sagen, es ist zu wundervoll, zu wundervoll für diese Erde!
tom_sawyer_03_f000027|Nach dem Liede begann der Reverend Mr. Sprague eine Art Tagesbericht, indem er sich über Nachrichten von Meetings und Versammlungen und tausenderlei Dinge verbreitete,|Nach dem Liede begann der Reverend Mr. Sprague eine Art Tagesbericht, indem er sich über Nachrichten von Meetings und Versammlungen und tausenderlei Dinge verbreitete,
tom_sawyer_03_f000028|bis alle Weltlust aus dem heiligen Hause gewichen zu sein schien - eine seltsame Mode, die überall in Amerika zu finden ist,|bis alle Weltlust aus dem heiligen Hause gewichen zu sein schien - eine seltsame Mode, die überall in Amerika zu finden ist,
tom_sawyer_03_f000029|sogar in den großen Städten und bis in unser Zeitalter des Zeitungs-Überflusses hinein.|sogar in den großen Städten und bis in unser Zeitalter des Zeitungs-Überflusses hinein.
tom_sawyer_03_f000030|Und jetzt kam die Predigt. Es war eine gute, leutselige Predigt und ging bis ins einzelne.|Und jetzt kam die Predigt. Es war eine gute, leutselige Predigt und ging bis ins einzelne.
tom_sawyer_03_f000031|Sie beschäftigte sich mit der Kirche und mit den Kindern der Kirche;|Sie beschäftigte sich mit der Kirche und mit den Kindern der Kirche;
tom_sawyer_03_f000032|mit den anderen Kirchen des Dorfes; mit dem Dorfe selbst;|mit den anderen Kirchen des Dorfes; mit dem Dorfe selbst;
tom_sawyer_03_f000033|mit dem Lande; mit dem Staat; mit den Behörden der einzelnen Staaten;|mit dem Lande; mit dem Staat; mit den Behörden der einzelnen Staaten;
tom_sawyer_03_f000034|mit den Vereinigten Staaten; mit dem Kongreß; mit dem Präsidenten;|mit den Vereinigten Staaten; mit dem Kongreß; mit dem Präsidenten;
tom_sawyer_03_f000035|mit den Staatsdienern; mit den armen, sturmumtosten Seefahrern;|mit den Staatsdienern; mit den armen, sturmumtosten Seefahrern;
tom_sawyer_03_f000036|mit den unter dem Joch ihrer Monarchen seufzenden Millionen Europas und des Orients;|mit den unter dem Joch ihrer Monarchen seufzenden Millionen Europas und des Orients;
tom_sawyer_03_f000037|mit den Glücklichen und Reichen, die nicht Augen haben, zu sehen und Ohren, zu hören;|mit den Glücklichen und Reichen, die nicht Augen haben, zu sehen und Ohren, zu hören;
tom_sawyer_03_f000038|mit den armen Seelen auf fernen Inseln; und schloß mit der Bitte, daß seine Worte auf guten Boden fallen und dereinst hundertfältige Frucht tragen möchten. Amen.|mit den armen Seelen auf fernen Inseln; und schloß mit der Bitte, daß seine Worte auf guten Boden fallen und dereinst hundertfältige Frucht tragen möchten. Amen.
tom_sawyer_03_f000039|Darauf folgte Kleiderrascheln, und die Versammlung setzte sich.|Darauf folgte Kleiderrascheln, und die Versammlung setzte sich.
