reisenachtilsit_1_f000001|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.|Die Reise nach Tilsit Eine litauische Geschichte Wilwischken liegt am Haff.
reisenachtilsit_1_f000117|Und wohin geht der Ansas, wenn es dunkel wird? Kein Mensch weiß.|Und wohin geht der Ansas, wenn es dunkel wird? Kein Mensch weiß.
reisenachtilsit_1_f000118|Er geht an der Parwe entlang, wo die Weidensträucher so dicht stehen, daß sich kein Abendrot zum Wasser hinfindet.|Er geht an der Parwe entlang, wo die Weidensträucher so dicht stehen, daß sich kein Abendrot zum Wasser hinfindet.
reisenachtilsit_1_f000119|Und die Leute, die vor den Türen sitzen, reden leise hinter ihm drein: Jetzt trifft er sich mit der Busze.|Und die Leute, die vor den Türen sitzen, reden leise hinter ihm drein: Jetzt trifft er sich mit der Busze.
reisenachtilsit_1_f000120|Es ist eine Schande zu sagen: Er trifft sich wirklich mit der Busze.|Es ist eine Schande zu sagen: Er trifft sich wirklich mit der Busze.
reisenachtilsit_1_f000121|Dort, wo sich kein Abendrot zum Wasser hinfindet, sitzen sie bis in die Nacht hinein und schmieden Pläne, wie es werden soll.|Dort, wo sich kein Abendrot zum Wasser hinfindet, sitzen sie bis in die Nacht hinein und schmieden Pläne, wie es werden soll.
reisenachtilsit_1_f000122|Aber was sie auch übersinnen die Frau, die Indre, steht immer dazwischen.|Aber was sie auch übersinnen die Frau, die Indre, steht immer dazwischen.
reisenachtilsit_1_f000123|Laß dich scheiden!|Laß dich scheiden!
reisenachtilsit_1_f000124|Laß dich scheiden!|Laß dich scheiden!
reisenachtilsit_1_f000125|Leicht gesagt.|Leicht gesagt.
reisenachtilsit_1_f000126|Aber die Kinder!|Aber die Kinder!
reisenachtilsit_1_f000127|Der Endrik, der Älteste, soll einmal das Grundstück erben.|Der Endrik, der Älteste, soll einmal das Grundstück erben.
reisenachtilsit_1_f000128|Und die Elske, die ihm selbst aus den Augen geschnitten ist, wird demnächst gar Klavier spielen.|Und die Elske, die ihm selbst aus den Augen geschnitten ist, wird demnächst gar Klavier spielen.
reisenachtilsit_1_f000129|Solche Kinder stößt man nicht von sich.|Solche Kinder stößt man nicht von sich.
reisenachtilsit_1_f000130|Von dem kleinen Willus gar nicht zu reden.|Von dem kleinen Willus gar nicht zu reden.
reisenachtilsit_1_f000131|Außerdem hat der Schwiegervater, der reiche Jaksztat, die zweite Hypothek hergegeben.|Außerdem hat der Schwiegervater, der reiche Jaksztat, die zweite Hypothek hergegeben.
reisenachtilsit_1_f000132|Wo kriegt man die her, wenn er kündigt?|Wo kriegt man die her, wenn er kündigt?
reisenachtilsit_1_f000133|Aber die Indre muß fort!|Aber die Indre muß fort!
reisenachtilsit_1_f000134|Die Indre muß aus dem Wege!|Die Indre muß aus dem Wege!
reisenachtilsit_1_f000135|Die Indre mit ihrem Buttergesicht.|Die Indre mit ihrem Buttergesicht.
reisenachtilsit_1_f000136|Die Indre, die ihm nachspioniert.|Die Indre, die ihm nachspioniert.
reisenachtilsit_1_f000137|Die Indre, die allabendlich von Tür zu Tür läuft, um ihn schlecht zu machen vor den Leuten.|Die Indre, die allabendlich von Tür zu Tür läuft, um ihn schlecht zu machen vor den Leuten.
reisenachtilsit_1_f000138|Die Pilkuhns wissen, daß es nichts Abscheuliches gibt, was sie nicht erzählt von ihm.|Die Pilkuhns wissen, daß es nichts Abscheuliches gibt, was sie nicht erzählt von ihm.
reisenachtilsit_1_f000139|Sogar daß er einen Bruchschaden hat, hat sie erzählt.|Sogar daß er einen Bruchschaden hat, hat sie erzählt.
reisenachtilsit_1_f000140|Woher sollen es die Pilkuhns sonst wissen?|Woher sollen es die Pilkuhns sonst wissen?
reisenachtilsit_1_f000141|Ja, so schlecht ist sie bei all ihrer Scheinheiligkeit.|Ja, so schlecht ist sie bei all ihrer Scheinheiligkeit.
reisenachtilsit_1_f000142|Also die Indre muß fort.|Also die Indre muß fort.
reisenachtilsit_1_f000143|Das ist beschlossene Sache.|Das ist beschlossene Sache.
reisenachtilsit_1_f000144|Es fragt sich bloß, wie.|Es fragt sich bloß, wie.
reisenachtilsit_1_f000145|Er natürlich will nichts davon hören, aber es muß ja doch sein.|Er natürlich will nichts davon hören, aber es muß ja doch sein.
reisenachtilsit_1_f000146|Manche Frauen sterben im Kindbett man braucht kaum einmal nachzuhelfen, aber das kann lange dauern und bleibt eine unsichere Sache.|Manche Frauen sterben im Kindbett man braucht kaum einmal nachzuhelfen, aber das kann lange dauern und bleibt eine unsichere Sache.
reisenachtilsit_1_f000147|Gift? Das kommt aus.|Gift? Das kommt aus.
reisenachtilsit_1_f000148|So sicher, wie zwei mal zwei vier ist.|So sicher, wie zwei mal zwei vier ist.
reisenachtilsit_1_f000149|Und weres dann getan hat, weiß heute schon das ganze Dorf.|Und weres dann getan hat, weiß heute schon das ganze Dorf.
reisenachtilsit_1_f000150|Ertrinken? Aber die Indre geht nicht aufs Wasser.|Ertrinken? Aber die Indre geht nicht aufs Wasser.
reisenachtilsit_1_f000151|Das ganze vorige Jahr ist sie nicht einmal auf dem Wasser gewesen.|Das ganze vorige Jahr ist sie nicht einmal auf dem Wasser gewesen.
reisenachtilsit_1_f000152|Sie wird schon gehen man muß ihr nur zureden.|Sie wird schon gehen man muß ihr nur zureden.
reisenachtilsit_1_f000153|Na, und dann? Wird sie etwa freiwillig reinspringen?|Na, und dann? Wird sie etwa freiwillig reinspringen?
reisenachtilsit_1_f000154|Ja, selbst wenn siees täte, wer würde es glauben?|Ja, selbst wenn siees täte, wer würde es glauben?
reisenachtilsit_1_f000155|Kommt man ohne sie zurück, sitzt man auch schon in Untersuchung.|Kommt man ohne sie zurück, sitzt man auch schon in Untersuchung.
reisenachtilsit_1_f000156|Gift oder Ertrinken es ist ein und dasselbe.|Gift oder Ertrinken es ist ein und dasselbe.
reisenachtilsit_1_f000157|Aber die Busze hat einen klugen Kopf, die Busze weiß Rat.|Aber die Busze hat einen klugen Kopf, die Busze weiß Rat.
reisenachtilsit_1_f000158|Ob er schwimmen kann. Er kann schon schwimmen.|Ob er schwimmen kann. Er kann schon schwimmen.
reisenachtilsit_1_f000159|Aber in den schweren Stiefeln nutzt einem das nichts.|Aber in den schweren Stiefeln nutzt einem das nichts.
reisenachtilsit_1_f000160|Da wird man auf den Grund gezogen wie die Kulschen die kleinen Steine im Staknetz.|Da wird man auf den Grund gezogen wie die Kulschen die kleinen Steine im Staknetz.
reisenachtilsit_1_f000161|Dann muß man barfuß eraus. Jetzt im Sommer fährt jeder barfuß eraus.|Dann muß man barfuß eraus. Jetzt im Sommer fährt jeder barfuß eraus.
reisenachtilsit_1_f000162|Er, der Ansas, hat das nie getan, und das wissen die Leute.|Er, der Ansas, hat das nie getan, und das wissen die Leute.
reisenachtilsit_1_f000163|Ob die Indre schwimmen kann. Wie die bleiernen Entchen so kann die Indre schwimmen.|Ob die Indre schwimmen kann. Wie die bleiernen Entchen so kann die Indre schwimmen.
reisenachtilsit_1_f000164|Also, es wird gehen, meint nachdenklich die Busze.|Also, es wird gehen, meint nachdenklich die Busze.
reisenachtilsit_1_f000165|Was wird gehen? Ob er sich des Unglücks erinnert, im vorigen Sommer, an der Windenburger Ecke, wobei die zwei Fischer ums Leben gekommen sind?|Was wird gehen? Ob er sich des Unglücks erinnert, im vorigen Sommer, an der Windenburger Ecke, wobei die zwei Fischer ums Leben gekommen sind?
reisenachtilsit_1_f000166|Wie soll er sich dessen nicht erinnern.|Wie soll er sich dessen nicht erinnern.
reisenachtilsit_1_f000167|Der eine der Toten ist ja sein Vetter gewesen.|Der eine der Toten ist ja sein Vetter gewesen.
reisenachtilsit_1_f000168|Ob er auch weiß, wie es geschehen ist.|Ob er auch weiß, wie es geschehen ist.
reisenachtilsit_1_f000169|Genau weiß es niemand, aber man nimmt an, daß sie betrunken gewesen sind und die gefährliche Stelle verschlafen haben, die Stelle hinter dem Leuchtturm, wo der Wind plötzlich einsetzt und wo man scharf aufpassen muß,|Genau weiß es niemand, aber man nimmt an, daß sie betrunken gewesen sind und die gefährliche Stelle verschlafen haben, die Stelle hinter dem Leuchtturm, wo der Wind plötzlich einsetzt und wo man scharf aufpassen muß,
reisenachtilsit_1_f000170|will man nicht kentern wie ein zu hoch beladener Heukahn.|will man nicht kentern wie ein zu hoch beladener Heukahn.
reisenachtilsit_1_f000171|Ob man das Kentern nicht auch künstlich machen kann!|Ob man das Kentern nicht auch künstlich machen kann!
reisenachtilsit_1_f000172|Ja, wenn man durchaus ersaufen will.|Ja, wenn man durchaus ersaufen will.
reisenachtilsit_1_f000173|Ob man sich nicht aufs Schwimmen einrichten kann!|Ob man sich nicht aufs Schwimmen einrichten kann!
reisenachtilsit_1_f000174|Bis an Land schwimmt keiner.|Bis an Land schwimmt keiner.
reisenachtilsit_1_f000175|Ob man es nicht den Schuljungens nachmachen kann mit Binsen oder Schweinsblasen, die einen stundenlang über Wasser halten!|Ob man es nicht den Schuljungens nachmachen kann mit Binsen oder Schweinsblasen, die einen stundenlang über Wasser halten!
reisenachtilsit_1_f000176|Man kann schon. Aber es ist ungebräuchlich und würde bemerkt werden.|Man kann schon. Aber es ist ungebräuchlich und würde bemerkt werden.
reisenachtilsit_1_f000177|Dann müßte man sie nach dem Gebrauch aus der Welt schaffen.|Dann müßte man sie nach dem Gebrauch aus der Welt schaffen.
reisenachtilsit_1_f000178|Ja, aber wie? Die Busze wird nachdenken.|Ja, aber wie? Die Busze wird nachdenken.
reisenachtilsit_1_f000179|So reden und beraten sie Stunden und Stunden lang, Nacht für Nacht.|So reden und beraten sie Stunden und Stunden lang, Nacht für Nacht.
reisenachtilsit_1_f000180|Die Busze fragt, und er antwortet.|Die Busze fragt, und er antwortet.
reisenachtilsit_1_f000181|Und aus dem Fragen und dem Antworten backen sie bei langsamem Feuer den Kuchen gar, an dem die Indre sich den Tod essen muß.|Und aus dem Fragen und dem Antworten backen sie bei langsamem Feuer den Kuchen gar, an dem die Indre sich den Tod essen muß.
reisenachtilsit_1_f000182|Eins bleibt immer noch das Schwerste: wie sie am besten zu dem Ausflug zu bringen ist.|Eins bleibt immer noch das Schwerste: wie sie am besten zu dem Ausflug zu bringen ist.
reisenachtilsit_1_f000183|Mehrere müssen es sein, die glücklich verlaufen, ehe der Schlag geführt werden kann.|Mehrere müssen es sein, die glücklich verlaufen, ehe der Schlag geführt werden kann.
reisenachtilsit_1_f000184|Wo aber die Gründe hernehmen, um die häufigen Fahrten zu rechtfertigen?|Wo aber die Gründe hernehmen, um die häufigen Fahrten zu rechtfertigen?
reisenachtilsit_1_f000185|Und wie selten auch weht der Süd oder der Südwest, bei dem allein das Unternehmen gelingen kann, und noch dazu in der gehörigen Stärke.|Und wie selten auch weht der Süd oder der Südwest, bei dem allein das Unternehmen gelingen kann, und noch dazu in der gehörigen Stärke.
reisenachtilsit_1_f000186|Darum muß noch etwas Besonderes gefunden werden, ein Grund wie kein anderer.|Darum muß noch etwas Besonderes gefunden werden, ein Grund wie kein anderer.
reisenachtilsit_1_f000187|Einer, der jede Vorbereitung unnötig macht und gegen den es keinen Widerspruch gibt.|Einer, der jede Vorbereitung unnötig macht und gegen den es keinen Widerspruch gibt.
reisenachtilsit_1_f000188|Bis dahin aber, das legt ihm Busze immer wieder ans Herz, heißt es freundlich zu der Indre sein, damit ihr jeder Verdacht genommen wird und auch die Nachbarn glauben können, es sei nun alles wieder in Ordnung.|Bis dahin aber, das legt ihm Busze immer wieder ans Herz, heißt es freundlich zu der Indre sein, damit ihr jeder Verdacht genommen wird und auch die Nachbarn glauben können, es sei nun alles wieder in Ordnung.
reisenachtilsit_2_f000001|Und er ist freundlich zu der Indre so freundlich, wiees einer versteht, der sich nie im Leben verstellt hat.|Und er ist freundlich zu der Indre so freundlich, wiees einer versteht, der sich nie im Leben verstellt hat.
reisenachtilsit_2_f000002|Er schlägt das Herdholz klein und trägt es ihr zu, er hilft ihr beim Garnkochen, er bessert den Stöpsel im Rauchfang, er küßt sie beim Guten Tag und Gute Nacht, und er schläft sogar an ihrer Seite, aber er rührt sie nicht an.|Er schlägt das Herdholz klein und trägt es ihr zu, er hilft ihr beim Garnkochen, er bessert den Stöpsel im Rauchfang, er küßt sie beim Guten Tag und Gute Nacht, und er schläft sogar an ihrer Seite, aber er rührt sie nicht an.
reisenachtilsit_2_f000003|Die Indre drückt sich still an die Wand, wenn er um Mitternacht heimkommt, um den Dunst der Magd nicht zu atmen, den er nach wie vor an sich herumträgt.|Die Indre drückt sich still an die Wand, wenn er um Mitternacht heimkommt, um den Dunst der Magd nicht zu atmen, den er nach wie vor an sich herumträgt.
reisenachtilsit_2_f000004|Und schließlich die Busze hat es so verlangt bringt er auch das schwerste Opfer und geht des Abends nicht mehr ins Sumpfweidendickicht.|Und schließlich die Busze hat es so verlangt bringt er auch das schwerste Opfer und geht des Abends nicht mehr ins Sumpfweidendickicht.
reisenachtilsit_2_f000005|Von nun an verkehren sie nur durch den Briefträger.|Von nun an verkehren sie nur durch den Briefträger.
reisenachtilsit_2_f000006|Die Aufschriften sind von einem jungen Kanzlisten in Heydekrug, dem er weisgemacht hat, er könne nicht schreiben, auf Vorrat gefertigt, und drinnen stehen Zeichen, die nur sie beide verstehen.|Die Aufschriften sind von einem jungen Kanzlisten in Heydekrug, dem er weisgemacht hat, er könne nicht schreiben, auf Vorrat gefertigt, und drinnen stehen Zeichen, die nur sie beide verstehen.
reisenachtilsit_2_f000007|So muß auch die Indre glauben, der heimliche Verkehr habe aufgehört.|So muß auch die Indre glauben, der heimliche Verkehr habe aufgehört.
reisenachtilsit_2_f000008|Aber täuschen läßt sie sich doch nicht.|Aber täuschen läßt sie sich doch nicht.
reisenachtilsit_2_f000009|Ihr ist manchmal, als habe sie die Gabe des zweiten Gesichts, und oft, wenn er sich vor ihr wunder wie niedlich macht, denkt sie sich: Wie sehe ich ihn doch durch und durch!|Ihr ist manchmal, als habe sie die Gabe des zweiten Gesichts, und oft, wenn er sich vor ihr wunder wie niedlich macht, denkt sie sich: Wie sehe ich ihn doch durch und durch!
reisenachtilsit_2_f000010|Eines Tages kommt er besonders liebselig auf sie zu und sagt: Mein Täubchen, mein Schwälbchen, du hast böse Tage gehabt, ich möchte dir gern etwas Gutes bereiten, such es dir aus.|Eines Tages kommt er besonders liebselig auf sie zu und sagt: Mein Täubchen, mein Schwälbchen, du hast böse Tage gehabt, ich möchte dir gern etwas Gutes bereiten, such es dir aus.
reisenachtilsit_2_f000011|Sie sieht ihn nur an und weiß schon, daß er Hinterhältiges im Sinne führt.|Sie sieht ihn nur an und weiß schon, daß er Hinterhältiges im Sinne führt.
reisenachtilsit_2_f000012|Und sie sagt: Ich brauche nichts Gutes. Ich habe ja die Kinder.|Und sie sagt: Ich brauche nichts Gutes. Ich habe ja die Kinder.
reisenachtilsit_2_f000013|Nein, nein, sagt er, es muß sein. Schon wegen der Nachbarn.|Nein, nein, sagt er, es muß sein. Schon wegen der Nachbarn.
reisenachtilsit_2_f000014|Auch deinem Vater will ich einen Beweis meiner Sinnesänderung geben.|Auch deinem Vater will ich einen Beweis meiner Sinnesänderung geben.
reisenachtilsit_2_f000015|Weißt du nichts, so denke nach, und auch ich werde mir den Kopf zerbrechen.|Weißt du nichts, so denke nach, und auch ich werde mir den Kopf zerbrechen.
reisenachtilsit_2_f000016|Am nächsten Tag kommt er wieder. Aber sie weiß noch immer nichts.|Am nächsten Tag kommt er wieder. Aber sie weiß noch immer nichts.
reisenachtilsit_2_f000017|Da sagt er: Nun, dann weiß ich es. Du hast noch nie die Eisenbahn gesehen.|Da sagt er: Nun, dann weiß ich es. Du hast noch nie die Eisenbahn gesehen.
reisenachtilsit_2_f000018|Laß uns nach Tilsit fahren, damit du einmal die Eisenbahn siehst.|Laß uns nach Tilsit fahren, damit du einmal die Eisenbahn siehst.
reisenachtilsit_2_f000019|Sie sagt darauf: Die Leute erzählen sich, daß die Eisenbahn nächstens bis nach Memel geführt werden soll, und Heydekrug wird dann eine Station werden.|Sie sagt darauf: Die Leute erzählen sich, daß die Eisenbahn nächstens bis nach Memel geführt werden soll, und Heydekrug wird dann eine Station werden.
reisenachtilsit_2_f000020|Wenn es so weit ist, kann ich ja einmal zum Wochenmarkt mitfahren.|Wenn es so weit ist, kann ich ja einmal zum Wochenmarkt mitfahren.
reisenachtilsit_2_f000021|Aber er gibt sich nicht zufrieden.|Aber er gibt sich nicht zufrieden.
reisenachtilsit_2_f000022|Tilsit ist eine schöne Stadt, sagt er, wenn du nicht hinfahren willst, so weiß ich, daß du einen bösen Willen hast und an Versöhnung nicht denkst, während ich nichts anderes im Sinne habe, als dir zu Gefallen zu leben.|Tilsit ist eine schöne Stadt, sagt er, wenn du nicht hinfahren willst, so weiß ich, daß du einen bösen Willen hast und an Versöhnung nicht denkst, während ich nichts anderes im Sinne habe, als dir zu Gefallen zu leben.
reisenachtilsit_2_f000023|Da fällt ihr ein, daß er die Zusammenkünfte mit der Magd wirklich aufgegeben hat, und sie beginnt in ihrer Meinung wankend zu werden.|Da fällt ihr ein, daß er die Zusammenkünfte mit der Magd wirklich aufgegeben hat, und sie beginnt in ihrer Meinung wankend zu werden.
reisenachtilsit_2_f000024|Und sie sagt: Ach Ansas, ich weiß ja, daß du es nicht aufrichtig meinst, aber ich werde dir wohl den Willen tun müssen.|Und sie sagt: Ach Ansas, ich weiß ja, daß du es nicht aufrichtig meinst, aber ich werde dir wohl den Willen tun müssen.
reisenachtilsit_2_f000025|Außerdem sind wir ja alle in Gottes Hand.|Außerdem sind wir ja alle in Gottes Hand.
reisenachtilsit_2_f000026|Der Ansas hat die Gewohnheit, daß er rot werden kann wie irgendein junges Ding.|Der Ansas hat die Gewohnheit, daß er rot werden kann wie irgendein junges Ding.
reisenachtilsit_2_f000027|Und weil er das weiß, geht er rasch vor die Tür und schämt sich draußen.|Und weil er das weiß, geht er rasch vor die Tür und schämt sich draußen.
reisenachtilsit_2_f000028|Aber ihm ist zumut, als muß er es tun und ein Zurück gebe es nicht.|Aber ihm ist zumut, als muß er es tun und ein Zurück gebe es nicht.
reisenachtilsit_2_f000029|Als wenn ihn der Drache mit feuriger Gabel vorwärts schubst, so ist ihm zumut.|Als wenn ihn der Drache mit feuriger Gabel vorwärts schubst, so ist ihm zumut.
reisenachtilsit_2_f000030|Und darum fängt er an demselben Tage noch einmal an.|Und darum fängt er an demselben Tage noch einmal an.
reisenachtilsit_2_f000031|In Tilsit ist ein Kirchturm, sagt er, der ruht auf acht Kugeln, und darum hat ihn der Napoleon immer nach Frankreich mitnehmen wollen.|In Tilsit ist ein Kirchturm, sagt er, der ruht auf acht Kugeln, und darum hat ihn der Napoleon immer nach Frankreich mitnehmen wollen.
reisenachtilsit_2_f000032|Er ist ihm aber zu schwer gewesen. Eine so merkwürdige Sache muß man doch sehen.|Er ist ihm aber zu schwer gewesen. Eine so merkwürdige Sache muß man doch sehen.
reisenachtilsit_2_f000033|Die Indre lächelt ihn bloß so an, sagt aber nichts.|Die Indre lächelt ihn bloß so an, sagt aber nichts.
reisenachtilsit_2_f000034|Außerdem, fährt er fort, gibt es ja ein Lied, das geht so: Tilschen, mein Tilschen, wie schön bist du doch!|Außerdem, fährt er fort, gibt es ja ein Lied, das geht so: Tilschen, mein Tilschen, wie schön bist du doch!
reisenachtilsit_2_f000035|Ich liebe dich heute wie einst, Die Sonne wäre nichts wie ein finsteres Loch, Wenn du sie nicht manchmal bescheinst.|Ich liebe dich heute wie einst, Die Sonne wäre nichts wie ein finsteres Loch, Wenn du sie nicht manchmal bescheinst.
reisenachtilsit_2_f000036|Nun weißt du hoffentlich, was für eine schöne Stadt Tilsit ist.|Nun weißt du hoffentlich, was für eine schöne Stadt Tilsit ist.
reisenachtilsit_2_f000037|Wie er sich so zereifert, lächelt ihn Indre noch einmal an, und er wird wieder rot und redet rasch von anderen Dingen.|Wie er sich so zereifert, lächelt ihn Indre noch einmal an, und er wird wieder rot und redet rasch von anderen Dingen.
reisenachtilsit_2_f000038|Am nächsten Morgen aber sagt er ganz obenhin: Nun, wann werden wir fahren?|Am nächsten Morgen aber sagt er ganz obenhin: Nun, wann werden wir fahren?
reisenachtilsit_2_f000039|Als ob es längst eine abgemachte Sache wäre.|Als ob es längst eine abgemachte Sache wäre.
reisenachtilsit_2_f000040|Sie denkt: Will er mich los sein, so kann er es auf tausend Arten.|Sie denkt: Will er mich los sein, so kann er es auf tausend Arten.
reisenachtilsit_2_f000041|Es ist das Beste, ich füge mich. Und zu ihm sagt sie: Wann du wirst wollen. Nun, dann je eher, je besser, sagt er.|Es ist das Beste, ich füge mich. Und zu ihm sagt sie: Wann du wirst wollen. Nun, dann je eher, je besser, sagt er.
reisenachtilsit_2_f000042|Es wird also der nächste Morgen bestimmt.|Es wird also der nächste Morgen bestimmt.
reisenachtilsit_2_f000043|Und wie die Busze es ihm eingegeben hat, läuft er am Nachmittag von Wirtschaft zu Wirtschaft und sagt: Ihr wißt, liebe Nachbarn, daß ich mich schlecht aufgeführt habe.|Und wie die Busze es ihm eingegeben hat, läuft er am Nachmittag von Wirtschaft zu Wirtschaft und sagt: Ihr wißt, liebe Nachbarn, daß ich mich schlecht aufgeführt habe.
reisenachtilsit_2_f000044|Aber von nun an soll alles anders werden.|Aber von nun an soll alles anders werden.
reisenachtilsit_2_f000045|Zum Zeichen dessen werde ich mit der Indre eine Vergnügungsfahrt nach Tilsit machen.|Zum Zeichen dessen werde ich mit der Indre eine Vergnügungsfahrt nach Tilsit machen.
reisenachtilsit_2_f000046|Damit will ich sozusagen die Versöhnung festlich begehen. Und die Nachbarn beglückwünschen ihn auch noch.|Damit will ich sozusagen die Versöhnung festlich begehen. Und die Nachbarn beglückwünschen ihn auch noch.
reisenachtilsit_2_f000047|Genau, wie die Busze es vorhergesagt hat. Was aber tut die Indre inzwischen?|Genau, wie die Busze es vorhergesagt hat. Was aber tut die Indre inzwischen?
reisenachtilsit_2_f000048|Sie legt die Sachen der Kinder zurecht, schreibt auf ein Papier, was sie am Alltag und am Sonntag anziehen sollen und wie die Stücke Leinwand, die sie selber gewebt hat, künftig einmal zu verschneiden sind.|Sie legt die Sachen der Kinder zurecht, schreibt auf ein Papier, was sie am Alltag und am Sonntag anziehen sollen und wie die Stücke Leinwand, die sie selber gewebt hat, künftig einmal zu verschneiden sind.
reisenachtilsit_2_f000049|Auch ihre Kleider verteilt sie. Das neue seidene kriegt die Ane Doczys, und die Erbstücke kommen an Elske.|Auch ihre Kleider verteilt sie. Das neue seidene kriegt die Ane Doczys, und die Erbstücke kommen an Elske.
reisenachtilsit_2_f000050|Dann legt sie noch ihr Leichenhemde bereit und was ihr sonst im Sarge angezogen werden soll.|Dann legt sie noch ihr Leichenhemde bereit und was ihr sonst im Sarge angezogen werden soll.
reisenachtilsit_2_f000051|Und dann ist sie fertig. Auf dem Hof spielen die Kinder.|Und dann ist sie fertig. Auf dem Hof spielen die Kinder.
reisenachtilsit_2_f000052|Sie denkt: Ihr Armen werdet schlechte Tage haben, wenn die Busze erst da ist.|Sie denkt: Ihr Armen werdet schlechte Tage haben, wenn die Busze erst da ist.
reisenachtilsit_2_f000053|Dann geht sie hinüber zur Ane Doczys, kurz nachdem der Ansas dagewesen ist, und sagt: Dem Menschen kann leicht etwas zustoßen.|Dann geht sie hinüber zur Ane Doczys, kurz nachdem der Ansas dagewesen ist, und sagt: Dem Menschen kann leicht etwas zustoßen.
reisenachtilsit_2_f000054|Ich weiß, daß ich von dieser Reise nicht wiederkommen werde.|Ich weiß, daß ich von dieser Reise nicht wiederkommen werde.
reisenachtilsit_2_f000055|Die Ane ist sehr erschrocken und sagt: Warum sollst du nicht wiederkommen?|Die Ane ist sehr erschrocken und sagt: Warum sollst du nicht wiederkommen?
reisenachtilsit_2_f000056|Nach Tilsit ist bloß ein Katzensprung. Und es soll ja auch ein Versöhnungsfest sein.|Nach Tilsit ist bloß ein Katzensprung. Und es soll ja auch ein Versöhnungsfest sein.
reisenachtilsit_2_f000057|Die Indre lächelt bloß und sagt: Wir werden ja sehn.|Die Indre lächelt bloß und sagt: Wir werden ja sehn.
reisenachtilsit_2_f000058|Darum versprich mir, daß du auf die Kinder achtgeben wirst und dem Großvater schreibst, wenn es ihnen nicht gut geht.|Darum versprich mir, daß du auf die Kinder achtgeben wirst und dem Großvater schreibst, wenn es ihnen nicht gut geht.
reisenachtilsit_2_f000059|Die Ane weint und verspricht alles, und die Indre geht heim.|Die Ane weint und verspricht alles, und die Indre geht heim.
reisenachtilsit_2_f000060|Sie bringt die Kinder zu Bett und betet mit ihnen und stärkt sich in dem Herrn...|Sie bringt die Kinder zu Bett und betet mit ihnen und stärkt sich in dem Herrn...
reisenachtilsit_2_f000061|In der Frühe, lange vor der Sonne, fahren sie ab.|In der Frühe, lange vor der Sonne, fahren sie ab.
reisenachtilsit_2_f000062|Er, der Ansas, hat seine Sonntagskleider an, und auch sie hat sich geschmückt, denn es soll ja ein Versöhnungsfest sein.|Er, der Ansas, hat seine Sonntagskleider an, und auch sie hat sich geschmückt, denn es soll ja ein Versöhnungsfest sein.
reisenachtilsit_2_f000063|Sie trägt die rote, grüngestreifte Marginne, den selbstgewebten Rock, in dem sie vor neun Jahren mit ihm zur Versprechung nach der Kirche gefahren ist, und ein klares Mädchenkopftuch gegen die Sonnenstrahlen.|Sie trägt die rote, grüngestreifte Marginne, den selbstgewebten Rock, in dem sie vor neun Jahren mit ihm zur Versprechung nach der Kirche gefahren ist, und ein klares Mädchenkopftuch gegen die Sonnenstrahlen.
reisenachtilsit_2_f000064|Auch zu essen und zu trinken hat sie mitgenommen und in dem vorderen Abschlag verstaut.|Auch zu essen und zu trinken hat sie mitgenommen und in dem vorderen Abschlag verstaut.
reisenachtilsit_2_f000065|Er ist auf Klotzkorken und hat die leichten Wichsstiefel in der Hand.|Er ist auf Klotzkorken und hat die leichten Wichsstiefel in der Hand.
reisenachtilsit_2_f000066|Im letzten Augenblick bringt er noch etwas angetragen, in Sackleinwand gepackt, das wirft er neben sich vor das Steuer und sieht sie verstohlen dabei an, als ob er eine Frage erwartet.|Im letzten Augenblick bringt er noch etwas angetragen, in Sackleinwand gepackt, das wirft er neben sich vor das Steuer und sieht sie verstohlen dabei an, als ob er eine Frage erwartet.
reisenachtilsit_2_f000067|Aber sie fragt nichts. Wie er das Großsegel setzt, gewahrt sie, daß ihm die Hände zittern.|Aber sie fragt nichts. Wie er das Großsegel setzt, gewahrt sie, daß ihm die Hände zittern.
reisenachtilsit_2_f000068|Er will sich nichts merken lassen und sagt: Es ist ein hübsches kleines Windchen, wir können zu Mittag in Tilsit sein.|Er will sich nichts merken lassen und sagt: Es ist ein hübsches kleines Windchen, wir können zu Mittag in Tilsit sein.
reisenachtilsit_2_f000069|Sie sagt: Mir ist es gleich. Und er meint: Ob es hin auch noch so rasch geht, zurück muß man kreuzen.|Sie sagt: Mir ist es gleich. Und er meint: Ob es hin auch noch so rasch geht, zurück muß man kreuzen.
reisenachtilsit_2_f000070|Dann wirft er das Schwert aus und setzt auch den Raginnis, das kleine Vorsegel.|Dann wirft er das Schwert aus und setzt auch den Raginnis, das kleine Vorsegel.
reisenachtilsit_2_f000071|Er sitzt nun halb zugedeckt von all der Leinwand, so daß sie ihn kaum sehen kann.|Er sitzt nun halb zugedeckt von all der Leinwand, so daß sie ihn kaum sehen kann.
reisenachtilsit_2_f000072|Der Kahn fährt wie an der Leine, und rings in dem Wasser glucksen die Fischchen.|Der Kahn fährt wie an der Leine, und rings in dem Wasser glucksen die Fischchen.
