das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_003_f000336|Herr Schnaff faltete ob solcher Geschäftsignoranz betrübt die Hände über seinem dünnen Bauche, ergriff aber gleich wieder das Wort.|Herr Schnaff faltete ob solcher Geschäftsignoranz betrübt die Hände über seinem dünnen Bauche, ergriff aber gleich wieder das Wort.
das_letzte_marchen_003_f000337|Zunächst müsse ein fulminanter Bericht über die Neujahrs-Gratulationscour bei Hofe steigen, sagte er.|Zunächst müsse ein fulminanter Bericht über die Neujahrs-Gratulationscour bei Hofe steigen, sagte er.
das_letzte_marchen_003_f000338|Das mache einen sehr anständigen, patriotischen Eindruck und sei das Interessanteste für arm und reich.|Das mache einen sehr anständigen, patriotischen Eindruck und sei das Interessanteste für arm und reich.
das_letzte_marchen_003_f000339|Er sei erbötig, diesen Bericht selbst zu schreiben.|Er sei erbötig, diesen Bericht selbst zu schreiben.
das_letzte_marchen_003_f000340|Er sei zwar nicht bei dem Feste gewesen, aber eben darum sehr unbefangen, und er habe sich seinerzeit in der gräflichen Familie gewisse Formen allerfeinsten Tones angewöhnt, die er nun verwerten wolle.|Er sei zwar nicht bei dem Feste gewesen, aber eben darum sehr unbefangen, und er habe sich seinerzeit in der gräflichen Familie gewisse Formen allerfeinsten Tones angewöhnt, die er nun verwerten wolle.
das_letzte_marchen_003_f000341|Sodann schlage er eine politische Rundschau vor, die am besten auch er selbst – Bei dieser Stelle goß Dr. Nein Herrn Schnaff einen Humpen Limonade ins Gesicht.|Sodann schlage er eine politische Rundschau vor, die am besten auch er selbst - Bei dieser Stelle goß Dr. Nein Herrn Schnaff einen Humpen Limonade ins Gesicht.
das_letzte_marchen_003_f000342|Halten Sie das Maul, Sie Esel!|Halten Sie das Maul, Sie Esel!
das_letzte_marchen_003_f000343|Wollen Sie ewig reden?|Wollen Sie ewig reden?
das_letzte_marchen_003_f000344|schrie der jähzornige Mann, zitternd vor Wut.|schrie der jähzornige Mann, zitternd vor Wut.
das_letzte_marchen_003_f000345|Herr Schnaff nieste.|Herr Schnaff nieste.
das_letzte_marchen_003_f000346|Oder ist in Ihrem verbrannten Hilfsheizergehirn, in Ihrem verunglückten Schornsteinfegerschädel je eine blasse Ahnung von Politik gewesen?|Oder ist in Ihrem verbrannten Hilfsheizergehirn, in Ihrem verunglückten Schornsteinfegerschädel je eine blasse Ahnung von Politik gewesen?
das_letzte_marchen_003_f000347|Herr Schnaff nieste sehr heftig.|Herr Schnaff nieste sehr heftig.
das_letzte_marchen_003_f000348|Meint so ein invalider Spitalgreis, wir werden uns solchen Blödsinn anhören?|Meint so ein invalider Spitalgreis, wir werden uns solchen Blödsinn anhören?
das_letzte_marchen_003_f000349|In einer ernsten Sitzung?|In einer ernsten Sitzung?
das_letzte_marchen_003_f000350|Wir werden ihn über Politik reden lassen?|Wir werden ihn über Politik reden lassen?
das_letzte_marchen_003_f000351|Herr Schnaff machte einen Versuch zu reden, schnappte aber nur erfolglos mit dem Munde, denn er hatte sich verschluckt.|Herr Schnaff machte einen Versuch zu reden, schnappte aber nur erfolglos mit dem Munde, denn er hatte sich verschluckt.
das_letzte_marchen_003_f000352|Hat die Welt je schon so einm Frechling gesehen, hat die Welt – hat die Welt – ooh, meine Herren, wenn ich jetzt im Parlament wäre, würde ich sehr grob werden – sehr grob!|Hat die Welt je schon so einm Frechling gesehen, hat die Welt - hat die Welt - ooh, meine Herren, wenn ich jetzt im Parlament wäre, würde ich sehr grob werden - sehr grob!
das_letzte_marchen_003_f000353|Mit feuerrotem Gesicht setzte sich Dr.Nein.|Mit feuerrotem Gesicht setzte sich Dr.Nein.
das_letzte_marchen_003_f000354|Schnaff hatte sich inzwischen so weit erholt, daß er wieder reden konnte.|Schnaff hatte sich inzwischen so weit erholt, daß er wieder reden konnte.
das_letzte_marchen_003_f000355|Mir ist – Limo – Limonade in die Na – Nase gekommen.|Mir ist - Limo - Limonade in die Na - Nase gekommen.
das_letzte_marchen_003_f000356|EZ ist gar nicht schön von Ihnen – Herr Kolle – denn die politische Rundschau würde ich – uoohaahziehuuah – Die politische Rundschau muß ein Politiker schreiben, sagte Herr von Stimpekrex.|EZ ist gar nicht schön von Ihnen - Herr Kolle - denn die politische Rundschau würde ich - uoohaahziehuuah - Die politische Rundschau muß ein Politiker schreiben, sagte Herr von Stimpekrex.
das_letzte_marchen_003_f000357|Als politischer Redakteur bin ich eingetreten, und ich würde natürlich nicht dulden, daß mir jemand in mein Ressort pfusche.|Als politischer Redakteur bin ich eingetreten, und ich würde natürlich nicht dulden, daß mir jemand in mein Ressort pfusche.
das_letzte_marchen_003_f000358|Die politische Rundschau muß ein Mann schreiben, der das Vertrauen des Hofes hat.|Die politische Rundschau muß ein Mann schreiben, der das Vertrauen des Hofes hat.
das_letzte_marchen_003_f000359|Dr. Nein fuhr auf.|Dr. Nein fuhr auf.
das_letzte_marchen_003_f000360|Nein, der das Vertrauen des Volkes hat!|Nein, der das Vertrauen des Volkes hat!
das_letzte_marchen_003_f000361|Wir wollen keine Philisterpolitik!|Wir wollen keine Philisterpolitik!
das_letzte_marchen_003_f000362|Wir brauchen kein Höflingsgegirr!|Wir brauchen kein Höflingsgegirr!
das_letzte_marchen_003_f000363|Die Weisheit sitzt auf keiner schmierigen Kannegießerbank!|Die Weisheit sitzt auf keiner schmierigen Kannegießerbank!
das_letzte_marchen_003_f000364|Aber sie fährt auch nicht spazieren auf den Schleppen der Hofdamen.|Aber sie fährt auch nicht spazieren auf den Schleppen der Hofdamen.
das_letzte_marchen_003_f000365|Mein Herr, ich zweifle an Ihrer Königstreue!|Mein Herr, ich zweifle an Ihrer Königstreue!
das_letzte_marchen_003_f000366|Mein Herr, ich zweifle an Ihrer Liebe zum Volk!|Mein Herr, ich zweifle an Ihrer Liebe zum Volk!
das_letzte_marchen_003_f000367|Uoahziehuuh!|Uoahziehuuh!
das_letzte_marchen_003_f000368|Gestatten Sie!|Gestatten Sie!
das_letzte_marchen_003_f000369|Ich hatte mich erhoben.|Ich hatte mich erhoben.
das_letzte_marchen_003_f000370|Alle sahen mich erstaunt an.|Alle sahen mich erstaunt an.
das_letzte_marchen_003_f000371|Meine Herren, es hat keinen Zweck, über solche Dinge zu streiten.|Meine Herren, es hat keinen Zweck, über solche Dinge zu streiten.
das_letzte_marchen_003_f000372|Die entscheidet allein der Chef, und der Chef bin ich!|Die entscheidet allein der Chef, und der Chef bin ich!
das_letzte_marchen_003_f000373|Uuaahziehuuh!|Uuaahziehuuh!
das_letzte_marchen_003_f000374|Burr!|Burr!
das_letzte_marchen_003_f000375|Schschsch!|Schschsch!
das_letzte_marchen_003_f000376|Pff!|Pff!
das_letzte_marchen_003_f000377|Kff!|Kff!
das_letzte_marchen_003_f000378|Psch!|Psch!
das_letzte_marchen_003_f000379|Was Sie sagen!|Was Sie sagen!
das_letzte_marchen_003_f000380|Der Chef sind Sie?|Der Chef sind Sie?
das_letzte_marchen_003_f000381|Jawohl!|Jawohl!
das_letzte_marchen_003_f000382|Und ich ersuche Sie sehr, meine Herren, das doch ja nie zu vergessen.|Und ich ersuche Sie sehr, meine Herren, das doch ja nie zu vergessen.
das_letzte_marchen_003_f000383|Wir wollen uns bemühen, unsere Beratungen ohne alle Aufregung und alle Apostrophe zu halten; auch bitte ich Sie freundlichst, sich stets bei mir zum Worte zu melden, ehe Sie bei unseren Konferenzen zu reden anfangen.|Wir wollen uns bemühen, unsere Beratungen ohne alle Aufregung und alle Apostrophe zu halten; auch bitte ich Sie freundlichst, sich stets bei mir zum Worte zu melden, ehe Sie bei unseren Konferenzen zu reden anfangen.
das_letzte_marchen_003_f000384|Eine kleine Pause entstand.|Eine kleine Pause entstand.
das_letzte_marchen_003_f000385|Herr von Stimpekrez war blaß geworden.|Herr von Stimpekrez war blaß geworden.
das_letzte_marchen_003_f000386|Und was würden Sie tun, Herr Chefredakteur, wenn ich mich diesen Anordnungen nicht fügte?|Und was würden Sie tun, Herr Chefredakteur, wenn ich mich diesen Anordnungen nicht fügte?
das_letzte_marchen_003_f000387|Dann würde das Ihre Entlassung aus der Redaktion bedeuten, verehrter Herr Leutnant.|Dann würde das Ihre Entlassung aus der Redaktion bedeuten, verehrter Herr Leutnant.
das_letzte_marchen_003_f000388|Er sah mich an und ich blickte ihm freundlich, aber fest in die Augen.|Er sah mich an und ich blickte ihm freundlich, aber fest in die Augen.
das_letzte_marchen_003_f000389|Und wenn ich nicht ginge?|Und wenn ich nicht ginge?
das_letzte_marchen_003_f000390|wenn es mir auch nicht nahegelegt würde, zu gehen?|wenn es mir auch nicht nahegelegt würde, zu gehen?
das_letzte_marchen_003_f000391|Was dann?|Was dann?
das_letzte_marchen_003_f000392|Dann ginge ich!|Dann ginge ich!
das_letzte_marchen_003_f000393|Aah – dann gingen Sie?|Aah - dann gingen Sie?
das_letzte_marchen_003_f000394|Zurück auf die Erde?|Zurück auf die Erde?
das_letzte_marchen_003_f000395|Ohne das Geld – ja!|Ohne das Geld - ja!
das_letzte_marchen_003_f000396|In der nächsten Stunde!|In der nächsten Stunde!
das_letzte_marchen_003_f000397|Ohne Zaudern und ohne Bedauern!|Ohne Zaudern und ohne Bedauern!
das_letzte_marchen_003_f000398|Sie dürfen versichert sein, daß ich mich Ihnen gern und willig fügen werde!|Sie dürfen versichert sein, daß ich mich Ihnen gern und willig fügen werde!
das_letzte_marchen_003_f000399|Ich auch!|Ich auch!
das_letzte_marchen_003_f000400|rief Dr. Nein.|rief Dr. Nein.
das_letzte_marchen_003_f000401|Das ist selbstverständlich!|Das ist selbstverständlich!
das_letzte_marchen_003_f000402|Ordnung muß sein!|Ordnung muß sein!
das_letzte_marchen_003_f000403|Ich kann bloß nicht leiden, wenn hier ein solcher – ein solcher Ton einreißt!|Ich kann bloß nicht leiden, wenn hier ein solcher - ein solcher Ton einreißt!
das_letzte_marchen_003_f000404|Schnaff putzte sich energisch die Nase.|Schnaff putzte sich energisch die Nase.
das_letzte_marchen_003_f000405|Also könnte ich ja jetzt – – ja jetzt fortfahren!|Also könnte ich ja jetzt - - ja jetzt fortfahren!
das_letzte_marchen_003_f000406|Die politische Rundschau – Er hat ja gar nicht das Wort!|Die politische Rundschau - Er hat ja gar nicht das Wort!
das_letzte_marchen_003_f000407|Nein, das Kamel hat es nicht!|Nein, das Kamel hat es nicht!
das_letzte_marchen_003_f000408|Er schimpft, Herr Chef, er apostrophiert nicht!|Er schimpft, Herr Chef, er apostrophiert nicht!
das_letzte_marchen_003_f000409|Aber er hat doch nicht ohne das Wort zu reden zum Schockdonnerwetter, er hat doch das Maul zu halten, wenn er – Silentium!|Aber er hat doch nicht ohne das Wort zu reden zum Schockdonnerwetter, er hat doch das Maul zu halten, wenn er - Silentium!
das_letzte_marchen_003_f000410|Ich bin kein Kamel!|Ich bin kein Kamel!
das_letzte_marchen_003_f000411|Die politische Rundschau – Donnerschlag, er spricht schon wieder – Aber meine Herren – So mög er doch die Klappe zumachen – Die politische – Das ist ja gegen allen Anstand – Aber meine Herren, meine Herren!|Die politische Rundschau - Donnerschlag, er spricht schon wieder - Aber meine Herren - So mög er doch die Klappe zumachen - Die politische - Das ist ja gegen allen Anstand - Aber meine Herren, meine Herren!
das_letzte_marchen_003_f000412|Die politi – uo – aah – zieh – Schrrrrr!|Die politi - uo - aah - zieh - Schrrrrr!
das_letzte_marchen_003_f000413|Schreien, Gekreisch!|Schreien, Gekreisch!
das_letzte_marchen_003_f000414|Wir fahren auf, die Humpen fliegen um, die Stühle, der Tisch, wir fliehen – Ein Wasserbad, ein Wolkenbruch, eine Überschwemmung, eine eiskalte Sündflut rauscht auf uns herab.|Wir fahren auf, die Humpen fliegen um, die Stühle, der Tisch, wir fliehen - Ein Wasserbad, ein Wolkenbruch, eine Überschwemmung, eine eiskalte Sündflut rauscht auf uns herab.
das_letzte_marchen_003_f000415|Es regnet, regnet, regnet!|Es regnet, regnet, regnet!
das_letzte_marchen_003_f000416|Wir triefen, wir zittern vor Frost, schreien, rufen, blicken entsetzt um uns.|Wir triefen, wir zittern vor Frost, schreien, rufen, blicken entsetzt um uns.
das_letzte_marchen_003_f000417|Wasser!|Wasser!
das_letzte_marchen_003_f000418|Wasser!|Wasser!
das_letzte_marchen_003_f000419|Wasser!|Wasser!
das_letzte_marchen_003_f000420|Was ist?|Was ist?
das_letzte_marchen_003_f000421|Was geschieht?|Was geschieht?
das_letzte_marchen_003_f000422|Was ist los?|Was ist los?
das_letzte_marchen_003_f000423|In jeder Ecke klebt einer, kauert sich zusammen, und der Regen rauscht, das Wasser rinnt, die Füße stehen in tiefen Lachen.|In jeder Ecke klebt einer, kauert sich zusammen, und der Regen rauscht, das Wasser rinnt, die Füße stehen in tiefen Lachen.
das_letzte_marchen_003_f000424|Was ist denn?|Was ist denn?
das_letzte_marchen_003_f000425|Ist die Hölle los?|Ist die Hölle los?
das_letzte_marchen_003_f000426|Ein teuflisches Gekreisch tönt von der Tür her.|Ein teuflisches Gekreisch tönt von der Tür her.
das_letzte_marchen_003_f000427|Die Eule!|Die Eule!
das_letzte_marchen_003_f000428|Und es regnet weiter, regnet immer weiter.|Und es regnet weiter, regnet immer weiter.
das_letzte_marchen_003_f000429|Dr. Nein fuchtelt wie rasend mit den Armen, Schnaff hat einen Erstickungsanfall, Stimpekrex jammert.|Dr. Nein fuchtelt wie rasend mit den Armen, Schnaff hat einen Erstickungsanfall, Stimpekrex jammert.
das_letzte_marchen_003_f000430|Wo ist die Tür?|Wo ist die Tür?
das_letzte_marchen_003_f000431|Die Tür?|Die Tür?
das_letzte_marchen_003_f000432|Da läßt mit einem Schlage der Regen nach.|Da läßt mit einem Schlage der Regen nach.
das_letzte_marchen_003_f000433|Nur einzelne große Tropfen fallen noch hernieder.|Nur einzelne große Tropfen fallen noch hernieder.
das_letzte_marchen_003_f000434|– Wir atmeten auf, der Teufelsspuk war vorbei.|- Wir atmeten auf, der Teufelsspuk war vorbei.
das_letzte_marchen_003_f000435|Schnaff fand zuerst die Sprache wieder.|Schnaff fand zuerst die Sprache wieder.
das_letzte_marchen_003_f000436|Ich werde – werde gewiß – einen furchtbaren Schnupf – Das andere verlor sich in einem Krampfhusten.|Ich werde - werde gewiß - einen furchtbaren Schnupf - Das andere verlor sich in einem Krampfhusten.
das_letzte_marchen_003_f000437|Wir drei anderen standen betreten und stumm da.|Wir drei anderen standen betreten und stumm da.
das_letzte_marchen_003_f000438|Das Wasser lief uns in Strömen vom Körper.|Das Wasser lief uns in Strömen vom Körper.
das_letzte_marchen_003_f000439|Was war das?|Was war das?
das_letzte_marchen_003_f000440|fragte ich endlich, das war ja furchtbar!|fragte ich endlich, das war ja furchtbar!
das_letzte_marchen_003_f000441|Stimpekrex zuckte die Schultern und betrachtete betrübt seine verdorbene Toilette.|Stimpekrex zuckte die Schultern und betrachtete betrübt seine verdorbene Toilette.
das_letzte_marchen_003_f000442|Man soll nicht in Lokalen unter seinem Stande verkehren, sagte er.|Man soll nicht in Lokalen unter seinem Stande verkehren, sagte er.
das_letzte_marchen_003_f000443|Der Teich auf dem Dache wird defekt sein.|Der Teich auf dem Dache wird defekt sein.
das_letzte_marchen_003_f000444|Dr. Nein stürzte nach der Versenkung.|Dr. Nein stürzte nach der Versenkung.
das_letzte_marchen_003_f000445|Lillebolle, du elender Kerl, komm herauf, wir ersaufen hier oben!|Lillebolle, du elender Kerl, komm herauf, wir ersaufen hier oben!
das_letzte_marchen_003_f000446|Keine Antwort.|Keine Antwort.
das_letzte_marchen_003_f000447|Lillebolle, wenn du nicht antwortest, schlag ich deine Fuchshöhle kurz und klein.|Lillebolle, wenn du nicht antwortest, schlag ich deine Fuchshöhle kurz und klein.
das_letzte_marchen_003_f000448|Schweigen.|Schweigen.
das_letzte_marchen_003_f000449|Lillebolle, dein Teich ist kaput!|Lillebolle, dein Teich ist kaput!
das_letzte_marchen_003_f000450|Lillebolle, so sag wenigstens, ob du etwa da unten schon ersoffen bist.|Lillebolle, so sag wenigstens, ob du etwa da unten schon ersoffen bist.
das_letzte_marchen_003_f000451|Da tönte die Stimme des Zwerges aus der Tiefe.|Da tönte die Stimme des Zwerges aus der Tiefe.
das_letzte_marchen_003_f000452|Wenn meine Gäste bei der grünen Limonade zu viel Lärm machen, zieh ich eine Schleuse.|Wenn meine Gäste bei der grünen Limonade zu viel Lärm machen, zieh ich eine Schleuse.
das_letzte_marchen_003_f000453|Jetzt ist die Schleuse zu, aber nun merkt's Euch!|Jetzt ist die Schleuse zu, aber nun merkt's Euch!
das_letzte_marchen_003_f000454|Da setzte sich Dr. Nein platt auf die Versenkung.|Da setzte sich Dr. Nein platt auf die Versenkung.
das_letzte_marchen_003_f000455|Eine Schleuse!|Eine Schleuse!
das_letzte_marchen_003_f000456|O, du kühle Eule!|O, du kühle Eule!
das_letzte_marchen_003_f000457|Wenn ich bloß wüßte, wie ich in meinem Anzug nach Hause kommen soll.|Wenn ich bloß wüßte, wie ich in meinem Anzug nach Hause kommen soll.
das_letzte_marchen_003_f000458|Mir ist es wieder in die Na – Na – Pff!|Mir ist es wieder in die Na - Na - Pff!
das_letzte_marchen_003_f000459|Krrr!|Krrr!
das_letzte_marchen_003_f000460|Betrübt standen alle im Kreise.|Betrübt standen alle im Kreise.
das_letzte_marchen_003_f000461|Da erfüllte ich meine Pflicht als Chef.|Da erfüllte ich meine Pflicht als Chef.
das_letzte_marchen_003_f000462|Meine Herren, ich schließe die Sitzung!|Meine Herren, ich schließe die Sitzung!
das_letzte_marchen_003_f000463|Ende von Abschnitt 3.|Ende von Abschnitt drei.
das_letzte_marchen_002_f000001|Abschnitt 2 von das letzte Märchen vom Paul Keller.|Abschnitt zwei von das letzte Marchen vom Paul Keller.
das_letzte_marchen_002_f000002|Diese Librivox Aufnahme ist in der public Domain.|Diese Librivox Aufnahme ist in der public Domain.
das_letzte_marchen_002_f000003|Station Boberquelle.|Station Boberquelle.
das_letzte_marchen_002_f000004|Herr Eichhorn erschien und meldete, die Krähen schimpften und fluchten ganz greulich und wollten auf- und davonfliegen, wenn sie noch lange warten müßten.|Herr Eichhorn erschien und meldete, die Krähen schimpften und fluchten ganz greulich und wollten auf- und davonfliegen, wenn sie noch lange warten müßten.
das_letzte_marchen_002_f000005|Er finde solche freche Redensarten ja schrecklich respektwidrig, habe sich aber für verpflichtet gehalten, die Sache zu melden.|Er finde solche freche Redensarten ja schrecklich respektwidrig, habe sich aber für verpflichtet gehalten, die Sache zu melden.
das_letzte_marchen_002_f000006|Wir brachen sofort auf.|Wir brachen sofort auf.
das_letzte_marchen_002_f000007|An der Tür hielt Herr von Stimpekrex den Krähen eine donnernde Strafpredigt und kündigte ihnen den Dienst.|An der Tür hielt Herr von Stimpekrex den Krähen eine donnernde Strafpredigt und kündigte ihnen den Dienst.
das_letzte_marchen_002_f000008|Es treffe sich gut, sagte er, daß gerade der Quartalserste sei; am l. April sollten die Krähen ihre Stellen als herididasufoturanische Staatskuriere verlieren, während Herr Eichhorn für eine Auszeichnung in Aussicht genommen sei.|Es treffe sich gut, sagte er, daß gerade der Quartalserste sei; am l. April sollten die Krähen ihre Stellen als herididasufoturanische Staatskuriere verlieren, während Herr Eichhorn für eine Auszeichnung in Aussicht genommen sei.
das_letzte_marchen_002_f000009|Die Krähen nahmen die Kündigung für den l. April nicht tragisch.|Die Krähen nahmen die Kündigung für den l. April nicht tragisch.
das_letzte_marchen_002_f000010|Sie sind meist nur Not- und Winterarbeiter, während sie sich im Sommer auf die Vagabondage verlegen.|Sie sind meist nur Not- und Winterarbeiter, während sie sich im Sommer auf die Vagabondage verlegen.
das_letzte_marchen_002_f000011|Herr Eichhorn dagegen bezeigte eine geschäftige Dankbarkeit, verneigte sich in rasender Eile dreimal vom Gipfel der Eiche bis zur Erde und stand militärisch salutierend an der Tür seines Hauses, als wir abreisten.|Herr Eichhorn dagegen bezeigte eine geschäftige Dankbarkeit, verneigte sich in rasender Eile dreimal vom Gipfel der Eiche bis zur Erde und stand militärisch salutierend an der Tür seines Hauses, als wir abreisten.
das_letzte_marchen_002_f000012|Die Damen saßen auf silbergrauen Nebelkrähen, sehr hübschen Tieren von nicht gewöhnlicher Rasse.|Die Damen saßen auf silbergrauen Nebelkrähen, sehr hübschen Tieren von nicht gewöhnlicher Rasse.
das_letzte_marchen_002_f000013|Unsere beiden Rapphengste hatten Mühe, mit ihnen Schritt zu halten, meist blieben wir um einige Krähenlängen zurück.|Unsere beiden Rapphengste hatten Mühe, mit ihnen Schritt zu halten, meist blieben wir um einige Krähenlängen zurück.
das_letzte_marchen_002_f000014|Herr von Stimpekrex hatte mit Fräulein Elkaguntascha die Spitze.|Herr von Stimpekrex hatte mit Fräulein Elkaguntascha die Spitze.
das_letzte_marchen_002_f000015|Sie ventilierten im Anschluß an die Rebellion der Krähen die Dienstbotenfrage.|Sie ventilierten im Anschluß an die Rebellion der Krähen die Dienstbotenfrage.
das_letzte_marchen_002_f000016|So blieb ich mit der jungen Dame – Angelika hieß sie – allein.|So blieb ich mit der jungen Dame - Angelika hieß sie - allein.
das_letzte_marchen_002_f000017|Hoch über die verschneiten Fluren ging unser Weg, über weiße Berge und dunkle Täler.|Hoch über die verschneiten Fluren ging unser Weg, über weiße Berge und dunkle Täler.
das_letzte_marchen_002_f000018|Ein altes Gemäuer tauchte auf, daraus erscholl die keifende Stimme einer Krähenfrau: Hör ich dich endlich kommen?|Ein altes Gemäuer tauchte auf, daraus erscholl die keifende Stimme einer Krähenfrau: Hör ich dich endlich kommen?
das_letzte_marchen_002_f000019|Kommst du endlich heim, du Herumtreiber?|Kommst du endlich heim, du Herumtreiber?
das_letzte_marchen_002_f000020|Nachtdienst!|Nachtdienst!
das_letzte_marchen_002_f000021|schnarrte der also begrüßte Eheherr.|schnarrte der also begrüßte Eheherr.
das_letzte_marchen_002_f000022|Seine Frau schien es nicht zu glauben; ich hörte noch lange, wie sie uns nachschimpfte.|Seine Frau schien es nicht zu glauben; ich hörte noch lange, wie sie uns nachschimpfte.
das_letzte_marchen_002_f000023|Wie lange wir so flogen, weiß ich nicht.|Wie lange wir so flogen, weiß ich nicht.
das_letzte_marchen_002_f000024|Manchmal kam mir ein Frostgefühl, manchmal schlich mir auch eine leise Bangigkeit ins Herz.|Manchmal kam mir ein Frostgefühl, manchmal schlich mir auch eine leise Bangigkeit ins Herz.
das_letzte_marchen_002_f000025|Dann schaute ich meine liebliche Begleiterin an, und es ging wohlgemut weiter, immer weiter.|Dann schaute ich meine liebliche Begleiterin an, und es ging wohlgemut weiter, immer weiter.
das_letzte_marchen_002_f000026|Endlich hielten die Krähen an, streckten breit die Flügel aus wie Fallschirme, und wir sanken langsam zur Tiefe.|Endlich hielten die Krähen an, streckten breit die Flügel aus wie Fallschirme, und wir sanken langsam zur Tiefe.
das_letzte_marchen_002_f000027|Mitten im Winterwalde landeten wir.|Mitten im Winterwalde landeten wir.
das_letzte_marchen_002_f000028|Wir sind nun dicht an der Grenze, sagte Herr von Stimpekrex zu Angelika und mir.|Wir sind nun dicht an der Grenze, sagte Herr von Stimpekrex zu Angelika und mir.
das_letzte_marchen_002_f000029|In wenigen Minuten betreten Sie herididasufoturanisches Gebiet.|In wenigen Minuten betreten Sie herididasufoturanisches Gebiet.
das_letzte_marchen_002_f000030|Einen Paß brauchen Sie nicht, da Sie durch uns rekognosziert werden; auch leben wir mit dem Deutschen Reich in bestem Einverständnis und tiefem Frieden.|Einen Paß brauchen Sie nicht, da Sie durch uns rekognosziert werden; auch leben wir mit dem Deutschen Reich in bestem Einverständnis und tiefem Frieden.
das_letzte_marchen_002_f000031|Ich erkundigte mich nach den Zollverhältnissen und erfuhr, daß außer Dynamitbomben und Alkohol jeder Reisende bei sich führen dürfe, was ihm beliebe.|Ich erkundigte mich nach den Zollverhältnissen und erfuhr, daß außer Dynamitbomben und Alkohol jeder Reisende bei sich führen dürfe, was ihm beliebe.
das_letzte_marchen_002_f000032|Nun galt es für uns beide noch, Abschied zu nehmen von der Welt.|Nun galt es für uns beide noch, Abschied zu nehmen von der Welt.
das_letzte_marchen_002_f000033|Von unserer Welt!|Von unserer Welt!
das_letzte_marchen_002_f000034|Von dem klaren, blauen Himmel und all seinem lieben Licht, von der freien Luft und all ihrem Duft und Klang, von Wald und Berg, von den Strömen und Auen und von den Menschen.|Von dem klaren, blauen Himmel und all seinem lieben Licht, von der freien Luft und all ihrem Duft und Klang, von Wald und Berg, von den Strömen und Auen und von den Menschen.
das_letzte_marchen_002_f000035|Die Winterluft streichelte uns noch einmal wie eine gute, herbe Mutter die Wangen mit rauhen Händen; der Mond lachte uns noch einmal ermutigend zu wie ein lustiger Onkel zwei Kindern, die sich fürchten; von einer fernen Straße klangen Schlittengeschell und ein abgerissenes, frohes Lachen.|Die Winterluft streichelte uns noch einmal wie eine gute, herbe Mutter die Wangen mit rauhen Händen; der Mond lachte uns noch einmal ermutigend zu wie ein lustiger Onkel zwei Kindern, die sich fürchten; von einer fernen Straße klangen Schlittengeschell und ein abgerissenes, frohes Lachen.
das_letzte_marchen_002_f000036|Lebe wohl, du liebe, herrliche Menschenerde!|Lebe wohl, du liebe, herrliche Menschenerde!
das_letzte_marchen_002_f000037|Herr von Stimpekrex reichte Fräulein Elkaguntascha den Arm, ich nahm Angelika an der Hand, hinterher marschierten schweigsam und verdrossen die Krähen.|Herr von Stimpekrex reichte Fräulein Elkaguntascha den Arm, ich nahm Angelika an der Hand, hinterher marschierten schweigsam und verdrossen die Krähen.
das_letzte_marchen_002_f000038|So ging es ein Weilchen in den Wald hinein.|So ging es ein Weilchen in den Wald hinein.
das_letzte_marchen_002_f000039|Ein grauer Stein stand senkrecht in einer Bergwand; er war kaum so groß wie eine Schiefertafel.|Ein grauer Stein stand senkrecht in einer Bergwand; er war kaum so groß wie eine Schiefertafel.
das_letzte_marchen_002_f000040|Herr von Stimpekrex drückte auf eine Feder, der Stein drehte sich, ein Gang wurde sichtbar, der Stein schloß sich hinter uns, – die Welt lag draußen.|Herr von Stimpekrex drückte auf eine Feder, der Stein drehte sich, ein Gang wurde sichtbar, der Stein schloß sich hinter uns, - die Welt lag draußen.
das_letzte_marchen_002_f000041|Als wir etwa dreihundert Meter von der Erdoberfläche entfernt waren, stand eine Grenztafel am Wege.|Als wir etwa dreihundert Meter von der Erdoberfläche entfernt waren, stand eine Grenztafel am Wege.
das_letzte_marchen_002_f000042|Deutsches Reich stand auf der einen Seite, Königreich Herididasufoturanien auf der anderen.|Deutsches Reich stand auf der einen Seite, Königreich Herididasufoturanien auf der anderen.
das_letzte_marchen_002_f000043|Herr von Stimpekrex blieb stehen und hielt eine kleine Begrüßungsansprache.|Herr von Stimpekrex blieb stehen und hielt eine kleine Begrüßungsansprache.
das_letzte_marchen_002_f000044|Er sprach mehr herzlich als gut.|Er sprach mehr herzlich als gut.
das_letzte_marchen_002_f000045|Ein Händedruck am Schluß; wir waren im Ausland.|Ein Händedruck am Schluß; wir waren im Ausland.
das_letzte_marchen_002_f000046|Wenn Deutsche ins Ausland kommen, dann sehen sie gleich immer etwas, was ihnen sehr imponiert.|Wenn Deutsche ins Ausland kommen, dann sehen sie gleich immer etwas, was ihnen sehr imponiert.
das_letzte_marchen_002_f000047|Mir ging es natürlich auch so.|Mir ging es natürlich auch so.
das_letzte_marchen_002_f000048|Während nämlich der reichsdeutsche Teil des unterirdischen Ganges völlig finster gewesen war, war der herididasufoturanische durch kleine, elektrische Bogenlampen sehr gut erhellt.|Während nämlich der reichsdeutsche Teil des unterirdischen Ganges völlig finster gewesen war, war der herididasufoturanische durch kleine, elektrische Bogenlampen sehr gut erhellt.
