la_mare_au_diable_00_f000001|NOTICE|NOTICE
la_mare_au_diable_06_f000005|puis, la voyant prendre le grand trot, elle hennit à son tour, et resta pensive, inquiète, le nez au vent, la bouche pleine d’herbes qu’elle ne songeait plus à manger.|puis, la voyant prendre le grand trot, elle hennit à son tour, et resta pensive, inquiète, le nez au vent, la bouche pleine dherbes quelle ne songeait plus à manger.
la_mare_au_diable_06_f000006|—Cette pauvre bête connaît toujours sa progéniture, dit Germain pour distraire la petite Marie de son chagrin.|-Cette pauvre bête connaît toujours sa progéniture, dit Germain pour distraire la petite Marie de son chagrin.
la_mare_au_diable_06_f000007|Ça me fait penser que je n’ai pas embrassé mon Petit-Pierre avant de partir.|Ça me fait penser que je nai pas embrassé mon Petit-Pierre avant de partir.
la_mare_au_diable_06_f000008|Le mauvais enfant n’était pas là! Il voulait, hier au soir, me faire promettre de l’emmener, et il a pleuré pendant une heure dans son lit.|Le mauvais enfant nétait pas là! Il voulait, hier au soir, me faire promettre de lemmener, et il a pleuré pendant une heure dans son lit.
la_mare_au_diable_06_f000009|Ce matin, encore, il a tout essayé pour me persuader.|Ce matin, encore, il a tout essayé pour me persuader.
la_mare_au_diable_06_f000010|Oh! qu’il est adroit et câlin! mais quand il a vu que ça ne se pouvait pas, monsieur s’est fâché: il est parti dans les champs, et je ne l’ai pas revu de la journée.|Oh! quil est adroit et câlin! mais quand il a vu que ça ne se pouvait pas, monsieur sest fâché: il est parti dans les champs, et je ne lai pas revu de la journée.
la_mare_au_diable_06_f000011|—Moi, je l’ai vu, dit la petite Marie en faisant effort pour rentrer ses larmes.|-Moi, je lai vu, dit la petite Marie en faisant effort pour rentrer ses larmes.
la_mare_au_diable_06_f000012|Il courait avec les enfants de Soulas du côté des tailles, et je me suis bien doutée qu’il était hors de la maison depuis longtemps, car il avait faim et mangeait des prunelles et des mûres de buisson.|Il courait avec les enfants de Soulas du côté des tailles, et je me suis bien doutée quil était hors de la maison depuis longtemps, car il avait faim et mangeait des prunelles et des mûres de buisson.
la_mare_au_diable_06_f000013|Je lui ai donné le pain de mon goûter, et il m’a dit: Merci, ma Marie mignonne: quand tu viendras chez nous, je te donnerai de la galette.|Je lui ai donné le pain de mon goûter, et il ma dit: Merci, ma Marie mignonne: quand tu viendras chez nous, je te donnerai de la galette.
la_mare_au_diable_06_f000014|C’est un enfant trop gentil que vous avez là, Germain!|Cest un enfant trop gentil que vous avez là, Germain!
la_mare_au_diable_06_f000015|—Oui, qu’il est gentil, reprit le laboureur, et je ne sais pas ce que je ne ferais pas pour lui!|-Oui, quil est gentil, reprit le laboureur, et je ne sais pas ce que je ne ferais pas pour lui!
la_mare_au_diable_06_f000016|Si sa grand’mère n’avait pas eu plus de raison que moi, je n’aurais pas pu me tenir de l’emmener, quand je le voyais pleurer si fort que son pauvre petit cœur en était tout gonflé.|Si sa grandmère navait pas eu plus de raison que moi, je naurais pas pu me tenir de lemmener, quand je le voyais pleurer si fort que son pauvre petit cœur en était tout gonflé.
la_mare_au_diable_06_f000017|—Eh bien! pourquoi ne l’auriez-vous pas emmené, Germain? Il ne vous aurait guère embarrassé; il est si raisonnable quand on fait sa volonté!|-Eh bien! pourquoi ne lauriez-vous pas emmené, Germain? Il ne vous aurait guère embarrassé; il est si raisonnable quand on fait sa volonté!
la_mare_au_diable_06_f000018|—Il paraît qu’il aurait été de trop là où je vais. Du moins c’était l’avis du père Maurice.|-Il paraît quil aurait été de trop là où je vais. Du moins cétait lavis du père Maurice.
la_mare_au_diable_06_f000019|Moi, pourtant, j’aurais pensé qu’au contraire il fallait voir comment on le recevrait, et qu’un si gentil enfant ne pouvait qu’être pris en bonne amitié.|Moi, pourtant, jaurais pensé quau contraire il fallait voir comment on le recevrait, et quun si gentil enfant ne pouvait quêtre pris en bonne amitié.
la_mare_au_diable_06_f000020|Mais ils disent à la maison qu’il ne faut pas commencer par faire voir les charges du ménage... Je ne sais pas pourquoi je te parle de ça, petite Marie; tu n’y comprends rien.|Mais ils disent à la maison quil ne faut pas commencer par faire voir les charges du ménage... Je ne sais pas pourquoi je te parle de ça, petite Marie; tu ny comprends rien.
la_mare_au_diable_06_f000021|—Si fait, Germain; je sais que vous allez vous marier;|-Si fait, Germain; je sais que vous allez vous marier;
la_mare_au_diable_06_f000022|ma mère me l’a dit, en me recommandant de n’en parler à personne, ni chez vous, ni là où je vais, et vous pouvez être tranquille: je n’en dirai mot.|ma mère me la dit, en me recommandant de nen parler à personne, ni chez vous, ni là où je vais, et vous pouvez être tranquille: je nen dirai mot.
la_mare_au_diable_06_f000023|—Tu feras bien, car ce n’est pas fait; peut-être que je ne conviendrai pas à la femme en question.|-Tu feras bien, car ce nest pas fait; peut-être que je ne conviendrai pas à la femme en question.
la_mare_au_diable_06_f000024|—Il faut espérer que si, Germain. Pourquoi donc ne lui conviendrez-vous pas?|-Il faut espérer que si, Germain. Pourquoi donc ne lui conviendrez-vous pas?
la_mare_au_diable_06_f000025|—Qui sait? J’ai trois enfants, et c’est lourd pour une femme qui n’est pas leur mère!|-Qui sait? Jai trois enfants, et cest lourd pour une femme qui nest pas leur mère!
la_mare_au_diable_06_f000026|—C’est vrai, mais vos enfants ne sont pas comme d’autres enfants.|-Cest vrai, mais vos enfants ne sont pas comme dautres enfants.
la_mare_au_diable_06_f000027|—Crois-tu?|-Crois-tu?
la_mare_au_diable_06_f000028|—Ils sont beaux comme des petits anges, et si bien élevés qu’on n’en peut pas voir de plus aimables.|-Ils sont beaux comme des petits anges, et si bien élevés quon nen peut pas voir de plus aimables.
la_mare_au_diable_06_f000029|—Il y a Sylvain qui n’est pas trop commode.|-Il y a Sylvain qui nest pas trop commode.
la_mare_au_diable_06_f000030|—Il est tout petit! il ne peut pas être autrement que terrible, mais il a tant d’esprit!|-Il est tout petit! il ne peut pas être autrement que terrible, mais il a tant desprit!
la_mare_au_diable_06_f000031|—C’est vrai qu’il a de l’esprit: et un courage! Il ne craint ni vaches, ni taureaux, et si on le laissait faire, il grimperait déjà sur les chevaux avec son aîné.|-Cest vrai quil a de lesprit: et un courage! Il ne craint ni vaches, ni taureaux, et si on le laissait faire, il grimperait déjà sur les chevaux avec son aîné.
la_mare_au_diable_06_f000032|—Moi, à votre place, j’aurais amené l’aîné. Bien sûr ça vous aurait fait aimer tout de suite, d’avoir un enfant si beau!|-Moi, à votre place, jaurais amené laîné. Bien sûr ça vous aurait fait aimer tout de suite, davoir un enfant si beau!
la_mare_au_diable_06_f000033|—Oui, si la femme aime les enfants; mais si elle ne les aime pas!|-Oui, si la femme aime les enfants; mais si elle ne les aime pas!
la_mare_au_diable_06_f000034|—Est-ce qu’il y a des femmes qui n’aiment pas les enfants?|-Est-ce quil y a des femmes qui naiment pas les enfants?
la_mare_au_diable_06_f000035|Pas beaucoup, je pense; mais enfin il y en a, et c’est là ce qui me tourmente.|Pas beaucoup, je pense; mais enfin il y en a, et cest là ce qui me tourmente.
la_mare_au_diable_06_f000036|Vous ne la connaissez donc pas du tout cette femme?|Vous ne la connaissez donc pas du tout cette femme?
la_mare_au_diable_06_f000037|—Pas plus que toi, et je crains de ne pas la mieux connaître, après que je l’aurai vue.|-Pas plus que toi, et je crains de ne pas la mieux connaître, après que je laurai vue.
la_mare_au_diable_06_f000038|Je ne suis pas méfiant, moi. Quand on me dit de bonnes paroles, j’y crois: mais j’ai été plus d’une fois à même de m’en repentir, car les paroles ne sont pas des actions.|Je ne suis pas méfiant, moi. Quand on me dit de bonnes paroles, jy crois: mais jai été plus dune fois à même de men repentir, car les paroles ne sont pas des actions.
la_mare_au_diable_06_f000039|—On dit que c’est une fort brave femme.|-On dit que cest une fort brave femme.
la_mare_au_diable_06_f000040|—Qui dit cela? le père Maurice!|-Qui dit cela? le père Maurice!
la_mare_au_diable_06_f000041|—Oui, votre beau-père.|-Oui, votre beau-père.
la_mare_au_diable_06_f000042|—C’est fort bien; mais il ne la connaît pas non plus.|-Cest fort bien; mais il ne la connaît pas non plus.
la_mare_au_diable_06_f000043|—Eh bien, vous la verrez tantôt, vous ferez grande attention, et il faut espérer que vous ne vous tromperez pas, Germain.|-Eh bien, vous la verrez tantôt, vous ferez grande attention, et il faut espérer que vous ne vous tromperez pas, Germain.
la_mare_au_diable_06_f000044|—Tiens, petite Marie, je serais bien aise que tu entres un peu dans la maison, avant de t’en aller tout droit aux Ormeaux: tu es fine, toi, tu as toujours montré de l’esprit, et tu fais attention à tout.|-Tiens, petite Marie, je serais bien aise que tu entres un peu dans la maison, avant de ten aller tout droit aux Ormeaux: tu es fine, toi, tu as toujours montré de lesprit, et tu fais attention à tout.
la_mare_au_diable_06_f000045|Si tu vois quelque chose qui te donne à penser, tu m’en avertiras tout doucement.|Si tu vois quelque chose qui te donne à penser, tu men avertiras tout doucement.
la_mare_au_diable_06_f000046|—Oh! non, Germain, je ne ferai pas cela! je craindrais trop de me tromper;|-Oh! non, Germain, je ne ferai pas cela! je craindrais trop de me tromper;
la_mare_au_diable_06_f000047|et, d’ailleurs, si une parole dite à la légère venait à vous dégoûter de ce mariage, vos parents m’en voudraient, et j’ai bien assez de chagrins comme ça,|et, dailleurs, si une parole dite à la légère venait à vous dégoûter de ce mariage, vos parents men voudraient, et jai bien assez de chagrins comme ça,
la_mare_au_diable_06_f000048|sans en attirer d’autres sur ma pauvre chère femme de mère.|sans en attirer dautres sur ma pauvre chère femme de mère.
la_mare_au_diable_06_f000049|Comme ils devisaient ainsi, la Grise fit un écart en dressant les oreilles, puis revint sur ses pas, et se rapprocha du buisson, où quelque chose qu’elle commençait à reconnaître l’avait d’abord effrayée.|Comme ils devisaient ainsi, la Grise fit un écart en dressant les oreilles, puis revint sur ses pas, et se rapprocha du buisson, où quelque chose quelle commençait à reconnaître lavait dabord effrayée.
la_mare_au_diable_06_f000050|Germain jeta un regard sur le buisson, et vit dans le fossé, sous les branches épaisses et encore fraîches d’un têteau de chêne, quelque chose qu’il prit pour un agneau.|Germain jeta un regard sur le buisson, et vit dans le fossé, sous les branches épaisses et encore fraîches dun têteau de chêne, quelque chose quil prit pour un agneau.
la_mare_au_diable_06_f000051|—C’est une bête égarée, dit-il, ou morte, car elle ne bouge.|-Cest une bête égarée, dit-il, ou morte, car elle ne bouge.
la_mare_au_diable_06_f000052|Peut-être que quelqu’un la cherche; il faut voir!|Peut-être que quelquun la cherche; il faut voir!
la_mare_au_diable_06_f000053|—Ce n’est pas une bête, s’écria la petite Marie: c’est un enfant qui dort; c’est votre Petit-Pierre.|-Ce nest pas une bête, sécria la petite Marie: cest un enfant qui dort; cest votre Petit-Pierre.
la_mare_au_diable_06_f000054|—Par exemple! dit Germain en descendant de cheval; voyez ce petit garnement qui dort là, si loin de la maison, et dans un fossé où quelque serpent pourrait bien le trouver!|-Par exemple! dit Germain en descendant de cheval; voyez ce petit garnement qui dort là, si loin de la maison, et dans un fossé où quelque serpent pourrait bien le trouver!
la_mare_au_diable_06_f000055|Il prit dans ses bras l’enfant, qui lui sourit en ouvrant les yeux et jeta ses bras autour de son cou en lui disant: Mon petit père, tu vas m’emmener avec toi!|Il prit dans ses bras lenfant, qui lui sourit en ouvrant les yeux et jeta ses bras autour de son cou en lui disant: Mon petit père, tu vas memmener avec toi!
la_mare_au_diable_06_f000056|—Ah oui! toujours la même chanson! Que faisiez-vous là, mauvais Pierre?|-Ah oui! toujours la même chanson! Que faisiez-vous là, mauvais Pierre?
la_mare_au_diable_06_f000057|—J’attendais mon petit père à passer, dit l’enfant; je regardais sur le chemin, et à force de regarder, je me suis endormi.|-Jattendais mon petit père à passer, dit lenfant; je regardais sur le chemin, et à force de regarder, je me suis endormi.
la_mare_au_diable_06_f000058|—Et si j’étais passé sans te voir, tu serais resté toute la nuit dehors, et le loup t’aurait mangé!|-Et si jétais passé sans te voir, tu serais resté toute la nuit dehors, et le loup taurait mangé!
la_mare_au_diable_06_f000059|—Oh! je savais bien que tu me verrais! répondit Petit-Pierre avec confiance.|-Oh! je savais bien que tu me verrais! répondit Petit-Pierre avec confiance.
la_mare_au_diable_06_f000060|—Eh bien, à présent, mon Pierre, embrasse-moi, dis moi adieu, et retourne vite à la maison, si tu ne veux pas qu’on soupe sans toi.|-Eh bien, à présent, mon Pierre, embrasse-moi, dis moi adieu, et retourne vite à la maison, si tu ne veux pas quon soupe sans toi.
la_mare_au_diable_06_f000061|—Tu ne veux donc pas m’emmener? s’écria le petit en commençant à frotter ses yeux pour montrer qu’il avait dessein de pleurer.|-Tu ne veux donc pas memmener? sécria le petit en commençant à frotter ses yeux pour montrer quil avait dessein de pleurer.
la_mare_au_diable_06_f000062|—Tu sais bien que grand-père et grand’mère ne le veulent pas, dit Germain, se retranchant derrière l’autorité des vieux parents, comme un homme qui ne compte guère sur la sienne propre.|-Tu sais bien que grand-père et grandmère ne le veulent pas, dit Germain, se retranchant derrière lautorité des vieux parents, comme un homme qui ne compte guère sur la sienne propre.
la_mare_au_diable_06_f000063|Mais l’enfant n’entendit rien. Il se prit à pleurer tout de bon, disant que puisque son père emmenait la petite Marie, il pouvait bien l’emmener aussi.|Mais lenfant nentendit rien. Il se prit à pleurer tout de bon, disant que puisque son père emmenait la petite Marie, il pouvait bien lemmener aussi.
la_mare_au_diable_06_f000064|On lui objecta qu’il fallait passer les grands bois, qu’il y avait là beaucoup de méchantes bêtes qui mangeaient les petits enfants,|On lui objecta quil fallait passer les grands bois, quil y avait là beaucoup de méchantes bêtes qui mangeaient les petits enfants,
la_mare_au_diable_06_f000065|que la Grise ne voulait pas porter trois personnes, qu’elle l’avait déclaré en partant, et que dans le pays où l’on se rendait, il n’y avait ni lit ni souper pour les marmots.|que la Grise ne voulait pas porter trois personnes, quelle lavait déclaré en partant, et que dans le pays où lon se rendait, il ny avait ni lit ni souper pour les marmots.
la_mare_au_diable_06_f000066|Toutes ces excellentes raisons ne persuadèrent point Petit-Pierre;|Toutes ces excellentes raisons ne persuadèrent point Petit-Pierre;
la_mare_au_diable_06_f000067|il se jeta sur l’herbe, et s’y roula, en criant que son petit père ne l’aimait plus, et que s’il ne l’emmenait pas, il ne rentrerait point du jour ni de la nuit à la maison.|il se jeta sur lherbe, et sy roula, en criant que son petit père ne laimait plus, et que sil ne lemmenait pas, il ne rentrerait point du jour ni de la nuit à la maison.
la_mare_au_diable_06_f000068|Germain avait un cœur de père aussi tendre et aussi faible que celui d’une femme.|Germain avait un cœur de père aussi tendre et aussi faible que celui dune femme.
la_mare_au_diable_06_f000069|La mort de la sienne, les soins qu’il avait été forcé de rendre seul à ses petits, aussi la pensée que ces pauvres enfants sans mère avaient besoin d’être beaucoup aimés,|La mort de la sienne, les soins quil avait été forcé de rendre seul à ses petits, aussi la pensée que ces pauvres enfants sans mère avaient besoin dêtre beaucoup aimés,
la_mare_au_diable_06_f000070|avaient contribué à le rendre ainsi, et il se fit en lui un si rude combat, d’autant plus qu’il rougissait de sa faiblesse et s’efforçait de cacher son malaise à la petite Marie, que la sueur lui en vint au front et que ses yeux se bordèrent de rouge, prêts à pleurer aussi. Enfin|avaient contribué à le rendre ainsi, et il se fit en lui un si rude combat, dautant plus quil rougissait de sa faiblesse et sefforçait de cacher son malaise à la petite Marie, que la sueur lui en vint au front et que ses yeux se bordèrent de rouge, prêts à pleurer aussi. Enfin
la_mare_au_diable_06_f000071|il essaya de se mettre en colère; mais en se retournant vers la petite Marie, comme pour la prendre à témoin de sa fermeté d’âme,|il essaya de se mettre en colère; mais en se retournant vers la petite Marie, comme pour la prendre à témoin de sa fermeté dâme,
la_mare_au_diable_06_f000072|il vit que le visage de cette bonne fille était baigné de larmes, et tout son courage l’abandonnant, il lui fut impossible de retenir les siennes,|il vit que le visage de cette bonne fille était baigné de larmes, et tout son courage labandonnant, il lui fut impossible de retenir les siennes,
la_mare_au_diable_06_f000073|bien qu’il grondât et menaçât encore.|bien quil grondât et menaçât encore.
la_mare_au_diable_06_f000074|—Vrai, vous avez le cœur trop dur, lui dit enfin la petite Marie, et, pour ma part, je ne pourrais jamais résister comme cela à un enfant qui a un si gros chagrin.|-Vrai, vous avez le cœur trop dur, lui dit enfin la petite Marie, et, pour ma part, je ne pourrais jamais résister comme cela à un enfant qui a un si gros chagrin.
la_mare_au_diable_06_f000075|Voyons, Germain, emmenez-le. Votre jument est bien habituée à porter deux personnes et un enfant, à preuve que votre beau-frère et sa femme,|Voyons, Germain, emmenez-le. Votre jument est bien habituée à porter deux personnes et un enfant, à preuve que votre beau-frère et sa femme,
la_mare_au_diable_06_f000076|qui est plus lourde que moi de beaucoup, vont au marché le samedi avec leur garçon, sur le dos de cette bonne bête.|qui est plus lourde que moi de beaucoup, vont au marché le samedi avec leur garçon, sur le dos de cette bonne bête.
la_mare_au_diable_06_f000077|Vous le mettrez à cheval devant vous, et d’ailleurs j’aime mieux m’en aller toute seule à pied que de faire de la peine à ce petit.|Vous le mettrez à cheval devant vous, et dailleurs jaime mieux men aller toute seule à pied que de faire de la peine à ce petit.
la_mare_au_diable_06_f000078|—Qu’à cela ne tienne, répondit Germain, qui mourait d’envie de se laisser convaincre. La Grise est forte et en porterait deux de plus, s’il y avait place sur son échine. Mais que ferons-nous de cet enfant en route? il aura froid, il aura faim.|-Quà cela ne tienne, répondit Germain, qui mourait denvie de se laisser convaincre. La Grise est forte et en porterait deux de plus, sil y avait place sur son échine. Mais que ferons-nous de cet enfant en route? il aura froid, il aura faim.
la_mare_au_diable_06_f000079|et qui prendra soin de lui ce soir et demain pour le coucher, le laver et le rhabiller?|et qui prendra soin de lui ce soir et demain pour le coucher, le laver et le rhabiller?
la_mare_au_diable_06_f000080|Je n’ose pas donner cet ennui-là à une femme que je ne connais pas, et qui trouvera, sans doute, que je suis bien sans façons avec elle pour commencer.|Je nose pas donner cet ennui-là à une femme que je ne connais pas, et qui trouvera, sans doute, que je suis bien sans façons avec elle pour commencer.
la_mare_au_diable_06_f000081|—D’après l’amitié ou l’ennui qu’elle montrera, vous la connaîtrez tout de suite, Germain, croyez-moi; et d’ailleurs, si elle rebute votre Pierre, moi je m’en charge.|-Daprès lamitié ou lennui quelle montrera, vous la connaîtrez tout de suite, Germain, croyez-moi; et dailleurs, si elle rebute votre Pierre, moi je men charge.
la_mare_au_diable_06_f000082|J’irai chez elle l’habiller et je l’emmènerai aux champs demain. Je l’amuserai toute la journée et j’aurai soin qu’il ne manque de rien.|Jirai chez elle lhabiller et je lemmènerai aux champs demain. Je lamuserai toute la journée et jaurai soin quil ne manque de rien.
la_mare_au_diable_06_f000083|—Et il t’ennuiera, ma pauvre fille! Il te gênera! toute une journée, c’est long!|-Et il tennuiera, ma pauvre fille! Il te gênera! toute une journée, cest long!
la_mare_au_diable_06_f000084|—Ça me fera plaisir, au contraire, ça me tiendra compagnie, et ça me rendra moins triste le premier jour que j’aurai à passer dans un nouveau pays.|-Ça me fera plaisir, au contraire, ça me tiendra compagnie, et ça me rendra moins triste le premier jour que jaurai à passer dans un nouveau pays.
la_mare_au_diable_06_f000085|Je me figurerai que je suis encore chez nous.|Je me figurerai que je suis encore chez nous.
la_mare_au_diable_06_f000086|L’enfant, voyant que la petite Marie prenait son parti, s’était cramponné à sa jupe et la tenait si fort qu’il eût fallu lui faire du mal pour l’en arracher.|Lenfant, voyant que la petite Marie prenait son parti, sétait cramponné à sa jupe et la tenait si fort quil eût fallu lui faire du mal pour len arracher.
la_mare_au_diable_06_f000087|Quand il reconnut que son père cédait, il prit la main de Marie dans ses deux petites mains brunies par le soleil, et l’embrassa en sautant de joie et en la tirant vers la jument,|Quand il reconnut que son père cédait, il prit la main de Marie dans ses deux petites mains brunies par le soleil, et lembrassa en sautant de joie et en la tirant vers la jument,
la_mare_au_diable_06_f000088|avec cette impatience ardente que les enfants portent dans leurs désirs.|avec cette impatience ardente que les enfants portent dans leurs désirs.
la_mare_au_diable_06_f000089|—Allons, allons, dit la jeune fille, en le soulevant dans ses bras, tâchons d’apaiser ce pauvre cœur qui saute comme un petit oiseau, et si tu sens le froid quand la nuit viendra, dis-le-moi, mon Pierre, je te serrerai dans ma cape.|-Allons, allons, dit la jeune fille, en le soulevant dans ses bras, tâchons dapaiser ce pauvre cœur qui saute comme un petit oiseau, et si tu sens le froid quand la nuit viendra, dis-le-moi, mon Pierre, je te serrerai dans ma cape.
la_mare_au_diable_06_f000090|Embrasse ton petit père, et demande-lui pardon d’avoir fait le méchant.|Embrasse ton petit père, et demande-lui pardon davoir fait le méchant.
la_mare_au_diable_06_f000091|Dis que ça ne t’arrivera plus, jamais! jamais, entends-tu?|Dis que ça ne tarrivera plus, jamais! jamais, entends-tu?
la_mare_au_diable_06_f000092|—Oui, oui, à condition que je ferai toujours sa volonté, n’est-ce pas? dit Germain en essuyant les yeux du petit avec son mouchoir: ah! Marie, vous me le gâtez, ce drôle-là!.|-Oui, oui, à condition que je ferai toujours sa volonté, nest-ce pas? dit Germain en essuyant les yeux du petit avec son mouchoir: ah! Marie, vous me le gâtez, ce drôle-là!.
la_mare_au_diable_06_f000093|Et vraiment, tu es une trop bonne fille, petite Marie.|Et vraiment, tu es une trop bonne fille, petite Marie.
la_mare_au_diable_06_f000094|Je ne sais pas pourquoi tu n’es pas entrée bergère chez nous à la Saint- Jean dernière.|Je ne sais pas pourquoi tu nes pas entrée bergère chez nous à la Saint- Jean dernière.
la_mare_au_diable_06_f000095|Tu aurais pris soin de mes enfants, et j’aurais mieux aimé te payer un bon prix pour les servir, que d’aller chercher une femme qui croira peut-être me faire beaucoup de grâce en ne les détestant pas.|Tu aurais pris soin de mes enfants, et jaurais mieux aimé te payer un bon prix pour les servir, que daller chercher une femme qui croira peut-être me faire beaucoup de grâce en ne les détestant pas.
la_mare_au_diable_06_f000096|—Il ne faut pas voir comme ça les choses par le mauvais côté, répondit la petite Marie, en tenant la bride du cheval pendant que Germain plaçait son fils sur le devant du large bât garni de peau de chèvre:|-Il ne faut pas voir comme ça les choses par le mauvais côté, répondit la petite Marie, en tenant la bride du cheval pendant que Germain plaçait son fils sur le devant du large bât garni de peau de chèvre:
la_mare_au_diable_06_f000097|si votre femme n’aime pas les enfants, vous me prendrez à votre service l’an prochain, et, soyez tranquille, je les amuserai si bien qu’ils ne s’apercevront de rien.|si votre femme naime pas les enfants, vous me prendrez à votre service lan prochain, et, soyez tranquille, je les amuserai si bien quils ne sapercevront de rien.
la_mare_au_diable_07_f000001|DANS LA LANDE Ah çà, dit Germain, lorsqu’ils eurent fait quelques pas, que va-t-on penser à la maison en ne voyant pas rentrer ce petit bonhomme?|DANS LA LANDE Ah çà, dit Germain, lorsquils eurent fait quelques pas, que va-t-on penser à la maison en ne voyant pas rentrer ce petit bonhomme?
la_mare_au_diable_07_f000002|Les parents vont être inquiets et le chercheront partout.|Les parents vont être inquiets et le chercheront partout.
la_mare_au_diable_07_f000003|—Vous allez dire au cantonnier qui travaille là-haut sur la route, que vous l’emmenez, et vous lui recommanderez d’avertir votre monde.|-Vous allez dire au cantonnier qui travaille là-haut sur la route, que vous lemmenez, et vous lui recommanderez davertir votre monde.
la_mare_au_diable_07_f000004|—C’est vrai, Marie, tu t’avises de tout, toi; moi, je ne pensais plus que Jeannie devait être par là.|-Cest vrai, Marie, tu tavises de tout, toi; moi, je ne pensais plus que Jeannie devait être par là.
la_mare_au_diable_07_f000005|—Et justement, il demeure tout près de la métairie; et il ne manquera pas de faire la commission.|-Et justement, il demeure tout près de la métairie; et il ne manquera pas de faire la commission.
la_mare_au_diable_07_f000006|Quand on eut avisé à cette précaution, Germain remit la jument au trot, et Petit-Pierre était si joyeux, qu’il ne s’aperçut pas tout de suite qu’il n’avait pas dîné;|Quand on eut avisé à cette précaution, Germain remit la jument au trot, et Petit-Pierre était si joyeux, quil ne saperçut pas tout de suite quil navait pas dîné;
la_mare_au_diable_07_f000007|mais le mouvement du cheval lui creusant l’estomac, il se prit, au bout d’une lieue, à bâiller, à pâlir, et à confesser qu’il mourait de faim.|mais le mouvement du cheval lui creusant lestomac, il se prit, au bout dune lieue, à bâiller, à pâlir, et à confesser quil mourait de faim.
la_mare_au_diable_07_f000008|—Voilà que ça commence, dit Germain. Je savais bien que nous n’irions pas loin sans que ce monsieur criât la faim ou la soif.|-Voilà que ça commence, dit Germain. Je savais bien que nous nirions pas loin sans que ce monsieur criât la faim ou la soif.
la_mare_au_diable_07_f000009|—J’ai soif aussi! dit Petit-Pierre.|-Jai soif aussi! dit Petit-Pierre.
la_mare_au_diable_07_f000010|—Eh bien! nous allons donc entrer dans le cabaret de la mère Rebec, à Corlay, au Point du Jour. Belle enseigne, mais pauvre gîte! Allons, Marie, tu boiras aussi un doigt de vin.|-Eh bien! nous allons donc entrer dans le cabaret de la mère Rebec, à Corlay, au Point du Jour. Belle enseigne, mais pauvre gîte! Allons, Marie, tu boiras aussi un doigt de vin.
la_mare_au_diable_07_f000011|—Non, non, je n’ai besoin de rien, dit-elle, je tiendrai la jument pendant que vous entrerez avec le petit.|-Non, non, je nai besoin de rien, dit-elle, je tiendrai la jument pendant que vous entrerez avec le petit.
la_mare_au_diable_07_f000012|—Mais j’y songe, ma bonne fille, tu as donné ce matin le pain de ton goûter à mon Pierre, et toi tu es à jeun;|-Mais jy songe, ma bonne fille, tu as donné ce matin le pain de ton goûter à mon Pierre, et toi tu es à jeun;
la_mare_au_diable_07_f000013|tu n’as pas voulu dîner avec nous à la maison, tu ne faisais que pleurer.|tu nas pas voulu dîner avec nous à la maison, tu ne faisais que pleurer.
la_mare_au_diable_07_f000014|—Oh! je n’avais pas faim, j’avais trop de peine! et je vous jure qu’à présent encore je ne sens aucune envie de manger.|-Oh! je navais pas faim, javais trop de peine! et je vous jure quà présent encore je ne sens aucune envie de manger.
la_mare_au_diable_07_f000015|—Il faut te forcer, petite; autrement tu seras malade.|-Il faut te forcer, petite; autrement tu seras malade.
la_mare_au_diable_07_f000016|Nous avons du chemin à faire, et il ne faut pas arriver là-bas comme des affamés pour demander du pain avant de dire bonjour.|Nous avons du chemin à faire, et il ne faut pas arriver là-bas comme des affamés pour demander du pain avant de dire bonjour.
la_mare_au_diable_07_f000017|Moi-même je veux te donner l’exemple, quoique je n’aie pas grand appétit; mais j’en viendrai à bout, vu que, après tout, je n’ai pas dîné non plus.|Moi-même je veux te donner lexemple, quoique je naie pas grand appétit; mais jen viendrai à bout, vu que, après tout, je nai pas dîné non plus.
la_mare_au_diable_07_f000018|Je vous voyais pleurer, toi et ta mère, et ça me troublait le cœur. Allons, allons, je vais attacher la Grise à la porte; descends, je le veux.|Je vous voyais pleurer, toi et ta mère, et ça me troublait le cœur. Allons, allons, je vais attacher la Grise à la porte; descends, je le veux.
la_mare_au_diable_07_f000019|Ils entrèrent tous trois chez la Rebec, et, en moins d’un quart d’heure, la grosse boiteuse réussit à leur servir une omelette de bonne mine, du pain bis et du vin clairet.|Ils entrèrent tous trois chez la Rebec, et, en moins dun quart dheure, la grosse boiteuse réussit à leur servir une omelette de bonne mine, du pain bis et du vin clairet.
la_mare_au_diable_07_f000020|Les paysans ne mangent pas vite, et le petit Pierre avait si grand appétit qu’il se passa bien une heure avant que Germain pût songer à se remettre en route.|Les paysans ne mangent pas vite, et le petit Pierre avait si grand appétit quil se passa bien une heure avant que Germain pût songer à se remettre en route.
la_mare_au_diable_07_f000021|La petite Marie avait mangé par complaisance d’abord; puis, peu à peu, la faim était venue: car à seize ans on ne peut pas faire longtemps diète, et l’air des campagnes est impérieux.|La petite Marie avait mangé par complaisance dabord; puis, peu à peu, la faim était venue: car à seize ans on ne peut pas faire longtemps diète, et lair des campagnes est impérieux.
la_mare_au_diable_07_f000022|Les bonnes paroles que Germain sut lui dire pour la consoler et lui faire prendre courage produisirent aussi leur effet;|Les bonnes paroles que Germain sut lui dire pour la consoler et lui faire prendre courage produisirent aussi leur effet;
