jizn_gnora_s000001|казалось, отбивает такт некоего мысленного расчета, какой она производит.|казалось, отбивает такт некоего мысленного расчета, какой она производит.
jizn_gnora_s000211|Гнор сел у стола; тягостное оцепенение приковало его к стулу; он долго сидел, понурившись, сжав руки между колен, стараясь представить, как произойдет все;|Гнор сел у стола; тягостное оцепенение приковало его к стулу; он долго сидел, понурившись, сжав руки между колен, стараясь представить, как произойдет все;
jizn_gnora_s000212|Так и есть, - сказал Энниок, - карта моя тяжела; предчувствие, кажется, не обманет. Двойка пик.|Так и есть, - сказал Энниок, - карта моя тяжела; предчувствие, кажется, не обманет. Двойка пик.
jizn_gnora_s000213|все три соединялись прямой линией.|все три соединялись прямой линией.
jizn_gnora_s000214|Напряженный разговор этот был о конкурсе, объявленном архитектурной комиссией, строящей университет в Лиссе. Главный портал здания было решено украсить бронзовой статуей,|Напряженный разговор этот был о конкурсе, объявленном архитектурной комиссией, строящей университет в Лиссе. Главный портал здания было решено украсить бронзовой статуей,
jizn_gnora_s000215|С арбалетами он не умел обращаться, луки были без тетивы, кинжалы и сабли не внушали почтения. Комон был во власти своих кольчуги и шлема, он как бы припоминал в себе далекое прошлое человечества.|С арбалетами он не умел обращаться, луки были без тетивы, кинжалы и сабли не внушали почтения. Комон был во власти своих кольчуги и шлема, он как бы припоминал в себе далекое прошлое человечества.
jizn_gnora_s000216|И на нас также?|И на нас также?
jizn_gnora_s000217|Затем совершившееся показалось ему сном, бредом, нелепостью. Под ногами хрустел песок, песок настоящий. Любое парусное судно может зайти сюда.|Затем совершившееся показалось ему сном, бредом, нелепостью. Под ногами хрустел песок, песок настоящий. Любое парусное судно может зайти сюда.
jizn_gnora_s000218|У меня только осталось впечатление, что правда на стороне раненого, и я помню, что удар был нанесен внезапно, из-за угла. Уже одно это направляло симпатии к пострадавшему.|У меня только осталось впечатление, что правда на стороне раненого, и я помню, что удар был нанесен внезапно, из-за угла. Уже одно это направляло симпатии к пострадавшему.
jizn_gnora_s000219|Энниок смотрел на Гнора спокойно и ласково; обычно сухое лицо его было теперь привлекательным, почти дружеским. Как может меняться этот человек,|Энниок смотрел на Гнора спокойно и ласково; обычно сухое лицо его было теперь привлекательным, почти дружеским. Как может меняться этот человек,
jizn_gnora_s000220|некоторое время еще виднелась уползающая корма, потом все исчезло.|некоторое время еще виднелась уползающая корма, потом все исчезло.
jizn_gnora_s000221|Гнор смотрел дальше строгого лица Марда - в тьму.|Гнор смотрел дальше строгого лица Марда - в тьму.
jizn_gnora_s000222|О топоре и шее.|О топоре и шее.
jizn_gnora_s000223|Он будет молчать.|Он будет молчать.
jizn_gnora_s000224|Что еще он сказал, — я забыл. Я помню только вот это и шел домой в полусознательном состоянии. Джен, я видел эти три тысячи среди небывалого радужного пейзажа.|Что еще он сказал,- я забыл. Я помню только вот это и шел домой в полусознательном состоянии. Джен, я видел эти три тысячи среди небывалого радужного пейзажа.
jizn_gnora_s000225|Проснувшийся некоторое время лежал в постели; услышав быстрые шаги под окном, он встал, откинул гардину и никого не заметил; все стихло, раннее холодное солнце падало в аллеи низким светом;|Проснувшийся некоторое время лежал в постели; услышав быстрые шаги под окном, он встал, откинул гардину и никого не заметил; все стихло, раннее холодное солнце падало в аллеи низким светом;
jizn_gnora_s000226|Мард подошел к двери, нетерпеливо толкнул ее и удержал взмытую ветром шляпу. Темный силуэт корабля гудел взволнованными, тревожными голосами;|Мард подошел к двери, нетерпеливо толкнул ее и удержал взмытую ветром шляпу. Темный силуэт корабля гудел взволнованными, тревожными голосами;
jizn_gnora_s000227|больной от надежды, растерянный, улыбающийся, Гнор, стоя, ждал - и ожидание мертвило его.|больной от надежды, растерянный, улыбающийся, Гнор, стоя, ждал - и ожидание мертвило его.
jizn_gnora_s000228|Говоря, Геннисон ходил по комнате, рассеянно взглядывая на накрытый стол и потирая озябшие руки характерным голодным жестом человека, которому не везет и который привык предпочитать надежды обеду;|Говоря, Геннисон ходил по комнате, рассеянно взглядывая на накрытый стол и потирая озябшие руки характерным голодным жестом человека, которому не везет и который привык предпочитать надежды обеду;
jizn_gnora_s000229|поднос звякнул у его локтя; Энниок отошел от окна.|поднос звякнул у его локтя; Энниок отошел от окна.
jizn_gnora_s000230|Он сделал еще три удара и скиксовал на последнем: кий скользнул, а шар не докатился.|Он сделал еще три удара и скиксовал на последнем: кий скользнул, а шар не докатился.
jizn_gnora_s000231|Кармен, я люблю тебя, - сказал Гнор, - мне хочется поцеловать тебя в губы. Слышишь ли ты оттуда?|Кармен, я люблю тебя, - сказал Гнор, - мне хочется поцеловать тебя в губы. Слышишь ли ты оттуда?
jizn_gnora_s000232|Они стояли все на берегу. живые лица, как теперь вы. Они исчезли, когда я был от них ближе пяти шагов. Лодку унес туман. Туман рассеялся. Все по-старому.|Они стояли все на берегу. живые лица, как теперь вы. Они исчезли, когда я был от них ближе пяти шагов. Лодку унес туман. Туман рассеялся. Все по-старому.
jizn_gnora_s000233|Что в душу запало - останется в ней:|Что в душу запало - останется в ней:
jizn_gnora_s000234|случайно, на искристом красноватом песке Гнор прочел фразу, выведенную дулом ружья или куском палки: Гнор, вы здесь останетесь.|случайно, на искристом красноватом песке Гнор прочел фразу, выведенную дулом ружья или куском палки: Гнор, вы здесь останетесь.
jizn_gnora_s000235|Во всяком случае, палач сел между двух стульев, и ему придется хорошо подумать об этом.|Во всяком случае, палач сел между двух стульев, и ему придется хорошо подумать об этом.
jizn_gnora_s000236|подпоясанный ремнем с медной бляхой и в огромных охотничьих сапогах.|подпоясанный ремнем с медной бляхой и в огромных охотничьих сапогах.
jizn_gnora_s000237|Гости разъехались, хозяин остался один; одна за другой гаснут свечи, грядет мрак.|Гости разъехались, хозяин остался один; одна за другой гаснут свечи, грядет мрак.
jizn_gnora_s000238|Кент бежал на него, но, услыхав третий выстрел, отскочил в сторону. Больше он не стрелял. Я сшиб его с ног. Он, казалось, был рад этому, потому что не обижался.|Кент бежал на него, но, услыхав третий выстрел, отскочил в сторону. Больше он не стрелял. Я сшиб его с ног. Он, казалось, был рад этому, потому что не обижался.
jizn_gnora_s000239|шейным позвонком, гортанью, артерией, щитовидной железой, кожей и мускулами. Тогда он приучился подвергать себя - в каждом из этих воображаемых состояний мысленному удару топора,|шейным позвонком, гортанью, артерией, щитовидной железой, кожей и мускулами. Тогда он приучился подвергать себя - в каждом из этих воображаемых состояний мысленному удару топора,
jizn_gnora_s000240|Резкая морщина, признак усиленного внимания, пересекла лоб Энниока. Гнор продолжал:|Резкая морщина, признак усиленного внимания, пересекла лоб Энниока. Гнор продолжал:
jizn_gnora_s000241|Я посмотрю на вас в дырочку, – сказал Гимнаст.|Я посмотрю на вас в дырочку,- сказал Гимнаст.
jizn_gnora_s000242|остановил его вспышку странной властью, осязательной, как резкое приказание.|остановил его вспышку странной властью, осязательной, как резкое приказание.
jizn_gnora_s000243|Нет, - сказал Энниок. Слово это прозвучало обыденно, как ответ лавочника.|Нет, - сказал Энниок. Слово это прозвучало обыденно, как ответ лавочника.
jizn_gnora_s000244|выхватил из окрашенного сном сознания самое дорогое, что у него было теперь:|выхватил из окрашенного сном сознания самое дорогое, что у него было теперь:
jizn_gnora_s000245|Но и это было для него безразлично.|Но и это было для него безразлично.
jizn_gnora_s000246|а несколько – даже рукой вместе с плечом;|а несколько - даже рукой вместе с плечом;
jizn_gnora_s000247|Да. Так почему он не говорил о Ледане?|Да. Так почему он не говорил о Ледане?
jizn_gnora_s000248|вышел, прошел ряд бледных, затянутых цветным шелком лощеных зал;|вышел, прошел ряд бледных, затянутых цветным шелком лощеных зал;
jizn_gnora_s000249|Я - Гнор, - сказал неизвестный. - Меня привезла ваша лодка. Я Гнор.|Я - Гнор, - сказал неизвестный. - Меня привезла ваша лодка. Я Гнор.
jizn_gnora_s000250|Я доиграю потом, - сказала она.|Я доиграю потом, - сказала она.
jizn_gnora_s000251|когда вы, по-видимому, уже решили мою участь?|когда вы, по-видимому, уже решили мою участь?
jizn_gnora_s000252|Можно здесь было встретить также загулявшего и отставшего от рейса матроса или живущего в ожидании места какого-нибудь старого служащего. Всего жило человек двадцать, по койкам, как в казарме;|Можно здесь было встретить также загулявшего и отставшего от рейса матроса или живущего в ожидании места какого-нибудь старого служащего. Всего жило человек двадцать, по койкам, как в казарме;
jizn_gnora_s000253|на рыцарей бросил полдюжины фараонов Верхнего Нила, вместе с их раскрашенными ящиками;|на рыцарей бросил полдюжины фараонов Верхнего Нила, вместе с их раскрашенными ящиками;
jizn_gnora_s000254|Рано или поздно придет корабль. Это будет на днях. Через месяц. Через два месяца. - Он торговался с судьбой. - Я сам сделаю лодку. Я не умру здесь.|Рано или поздно придет корабль. Это будет на днях. Через месяц. Через два месяца. - Он торговался с судьбой. - Я сам сделаю лодку. Я не умру здесь.
jizn_gnora_s000255|Год.|Год.
jizn_gnora_s000256|Он слышал запах дерева и зелени.|Он слышал запах дерева и зелени.
jizn_gnora_s000257|потом, уступив место разговору с Кармен, исчезла.|потом, уступив место разговору с Кармен, исчезла.
jizn_gnora_s000258|Человек прыгнул с подоконника, но скоро нашел новое занятие. Он стал закрывать и открывать электричество, стараясь попасть взглядом в заранее намеченную точку обоев;|Человек прыгнул с подоконника, но скоро нашел новое занятие. Он стал закрывать и открывать электричество, стараясь попасть взглядом в заранее намеченную точку обоев;
jizn_gnora_s000259|Можете и не отвечать, я не настаиваю.|Можете и не отвечать, я не настаиваю.
jizn_gnora_s000260|Догадливость не изменила Комону при виде столь древнего явления; проворно затолкав фараона в угол, Гимнаст, с мечом в руках, втиснулся в египетскую могилу,|Догадливость не изменила Комону при виде столь древнего явления; проворно затолкав фараона в угол, Гимнаст, с мечом в руках, втиснулся в египетскую могилу,
jizn_gnora_s000261|Страшная тоска остановила его хлопающее по ребрам сердце, и точное знание удара неудержимо озарило его. Он судорожно глотнул воздух, чувствуя,|Страшная тоска остановила его хлопающее по ребрам сердце, и точное знание удара неудержимо озарило его. Он судорожно глотнул воздух, чувствуя,
jizn_gnora_s000262|Прекрасно! - проговорил, выходя из кофейни, через некоторое время, Консейль. - Я осрамлю вас завтра, Коломб, в газете, как восхитительного ученого!|Прекрасно! - проговорил, выходя из кофейни, через некоторое время, Консейль. - Я осрамлю вас завтра, Коломб, в газете, как восхитительного ученого!
jizn_gnora_s000263|Да! Ах! - сказал Эбергайль. - Славная, милая каторга! Я буду на каторге, буду жить! Как хорошо работать до изнурения! Хорошо также волочить ядро,|Да! Ах! - сказал Эбергайль. - Славная, милая каторга! Я буду на каторге, буду жить! Как хорошо работать до изнурения! Хорошо также волочить ядро,
jizn_gnora_s000264|дребезжание дверной ручки; ленивый скрип мачт, гул ветра, плеск паруса; танец висячего календаря на стене - весь ритм корабельного дня, мгновения тишины,|дребезжание дверной ручки; ленивый скрип мачт, гул ветра, плеск паруса; танец висячего календаря на стене - весь ритм корабельного дня, мгновения тишины,
jizn_gnora_s000265|Человек сидел долго, - до тех пор, пока черные углы крыш не утонули в черноте ночи. Уличные огни внизу отбрасывали живые тени; тени прохожих догоняли друг друга,|Человек сидел долго, - до тех пор, пока черные углы крыш не утонули в черноте ночи. Уличные огни внизу отбрасывали живые тени; тени прохожих догоняли друг друга,
jizn_gnora_s000266|Этот салют одиночеству, Энниок, - сказал он, - почему-то меня тревожит. Я хочу вести с жителем Аша длинный разговор. Я не знаю, кто он; вы говорили о нем бегло и сухо,|Этот салют одиночеству, Энниок, - сказал он, - почему-то меня тревожит. Я хочу вести с жителем Аша длинный разговор. Я не знаю, кто он; вы говорили о нем бегло и сухо,
jizn_gnora_s000267|Комон, именуемый Гимнаст. Откройте.|Комон, именуемый Гимнаст. Откройте.
jizn_gnora_s000268|— без слез, без дикого смеха, без истерики, — так толково и просто, как уничтожают неудавшееся письмо.|- без слез, без дикого смеха, без истерики,- так толково и просто, как уничтожают неудавшееся письмо.
jizn_gnora_s000269|Ваш порыв, - сказал Энниок, танцуя одной ногой, - ваш порыв разобьется, как ломается кусок мела о голову тупого ученика. - Право, - с одушевлением воскликнул он, - стоит ли думать о чудаке?|Ваш порыв, - сказал Энниок, танцуя одной ногой, - ваш порыв разобьется, как ломается кусок мела о голову тупого ученика. - Право, - с одушевлением воскликнул он, - стоит ли думать о чудаке?
jizn_gnora_s000270|Лес этот в каждом листе своем дышал силой бессознательной, оригинальной и дерзкой жизни, ярким вызовом и упреком; человек, попавший сюда, чувствовал потребность молчать.|Лес этот в каждом листе своем дышал силой бессознательной, оригинальной и дерзкой жизни, ярким вызовом и упреком; человек, попавший сюда, чувствовал потребность молчать.
jizn_gnora_s000271|Доктор, пожилой человек, по-видимому, сам лично принимающий горячее участие во всей этой истории, сидел возле койки. Больной, лежа, смотрел в сторону и слушал.|Доктор, пожилой человек, по-видимому, сам лично принимающий горячее участие во всей этой истории, сидел возле койки. Больной, лежа, смотрел в сторону и слушал.
jizn_gnora_s000272|III.|III.
jizn_gnora_s000273|Подобной молниеносности точного представления, включающего холод в ногах, мучительную остановку сердца, спазму дыхательных путей, мгновение тишины,|Подобной молниеносности точного представления, включающего холод в ногах, мучительную остановку сердца, спазму дыхательных путей, мгновение тишины,
jizn_gnora_s000274|что точное знание сложного в своем ужасе истязания осталось при нем.|что точное знание сложного в своем ужасе истязания осталось при нем.
jizn_gnora_s000275|На этот раз, кажется, будут, — возразил Геннисон. — Дело идет как раз о посещении мастерской Стерсом и еще тремя лицами, составляющими в жюри конкурса большинство голосов.|На этот раз, кажется, будут,- возразил Геннисон.- Дело идет как раз о посещении мастерской Стерсом и еще тремя лицами, составляющими в жюри конкурса большинство голосов.
jizn_gnora_s000276|отточенных напряжений и стал искать глазами Ледана.|отточенных напряжений и стал искать глазами Ледана.
jizn_gnora_s000277|Он один наполняет этот большой дом.|Он один наполняет этот большой дом.
jizn_gnora_s000278|так как шесть его детей, мал мала меньше, тоже, вероятно, ждут премию. Что ты подумала?|так как шесть его детей, мал мала меньше, тоже, вероятно, ждут премию. Что ты подумала?
jizn_gnora_s000279|Мард налился кровью.|Мард налился кровью.
jizn_gnora_s000280|Доктор? Говорить? Я направился к койке раненого.|Доктор? Говорить? Я направился к койке раненого.
jizn_gnora_s000281|Комон, не медля секунды, перестал завтракать.|Комон, не медля секунды, перестал завтракать.
jizn_gnora_s000282|Взяв стакан и прихлебывая, он потянул карту. Энниок удержал его руку, сказав:|Взяв стакан и прихлебывая, он потянул карту. Энниок удержал его руку, сказав:
jizn_gnora_s000283|Влажный зной леса веял дремотой. Лиловые, пурпурные и голубые цветы качались в траве; слышалось меланхолическое гудение шмеля, запутавшегося в мшистых стеблях;|Влажный зной леса веял дремотой. Лиловые, пурпурные и голубые цветы качались в траве; слышалось меланхолическое гудение шмеля, запутавшегося в мшистых стеблях;
jizn_gnora_s000284|Ураган.|Ураган.
jizn_gnora_s000285|Карамболь почти невозможен, - подумал он и стал смотреть.|Карамболь почти невозможен, - подумал он и стал смотреть.
jizn_gnora_s000286|могли дать себе некоторый отчет в своем положении.|могли дать себе некоторый отчет в своем положении.
jizn_gnora_s000287|Как? - переспросил Мард, забыв о больной руке; он еле сдерживался, чтобы не разразиться криком на мучившее его загадочностью своей собрание.|Как? - переспросил Мард, забыв о больной руке; он еле сдерживался, чтобы не разразиться криком на мучившее его загадочностью своей собрание.
jizn_gnora_s000288|Двадцать восемь.|Двадцать восемь.
jizn_gnora_s000289|Я ее зачеркнул, сделав кляксу; понюхайте, если не видите. Журнал подмок.|Я ее зачеркнул, сделав кляксу; понюхайте, если не видите. Журнал подмок.
jizn_gnora_s000290|Гнор пристально посмотрел на него, встал и надел шляпу. В душе его не было жалости, но ощущение близкой чужой смерти заставило его пережить скверную минуту.|Гнор пристально посмотрел на него, встал и надел шляпу. В душе его не было жалости, но ощущение близкой чужой смерти заставило его пережить скверную минуту.
jizn_gnora_s000291|Он сделал три карамболя, отведя шар противника в противоположный угол, и уступил место Энниоку.|Он сделал три карамболя, отведя шар противника в противоположный угол, и уступил место Энниоку.
jizn_gnora_s000292|что от усилия заноет рука, и в узле этом захрипит ваша шея.|что от усилия заноет рука, и в узле этом захрипит ваша шея.
jizn_gnora_s000293|Потом стал припоминать жизнь и удивился: все казалось в ней старообразным и глупым.|Потом стал припоминать жизнь и удивился: все казалось в ней старообразным и глупым.
jizn_gnora_s000294|Он, - начал матрос, - стрелял два раза в меня и раз в Кента. Мы его не задели. Он шел навстречу. Четверо из нас таскали дрова. Было еще светло, когда он попался.|Он, - начал матрос, - стрелял два раза в меня и раз в Кента. Мы его не задели. Он шел навстречу. Четверо из нас таскали дрова. Было еще светло, когда он попался.
jizn_gnora_s000295|В то же время режущий удар по лицу свалил Энниока; взрыв ярости пронесся над ним; тело затрепетало и вытянулось.|В то же время режущий удар по лицу свалил Энниока; взрыв ярости пронесся над ним; тело затрепетало и вытянулось.
jizn_gnora_s000296|Вырвался! - крикнул Энниок. Это был болезненный вопль раненого. Он сильно ударил кулаком о стол, разбив руку; собрав всю силу воли, овладел,|Вырвался! - крикнул Энниок. Это был болезненный вопль раненого. Он сильно ударил кулаком о стол, разбив руку; собрав всю силу воли, овладел,
jizn_gnora_s000297|Энниок взглянул на него из-под руки, которой тер лоб, вдумчиво, но спокойно. Гнор продолжал:|Энниок взглянул на него из-под руки, которой тер лоб, вдумчиво, но спокойно. Гнор продолжал:
jizn_gnora_s000298|Вставали полузабытые воспоминания; в утренней тишине они приобретали трогательный оттенок снов, волнующих своей неосязаемой беглостью и невозвратностью.|Вставали полузабытые воспоминания; в утренней тишине они приобретали трогательный оттенок снов, волнующих своей неосязаемой беглостью и невозвратностью.
jizn_gnora_s000299|Другой шепот:|Другой шепот:
jizn_gnora_s000300|Я шутник, - сказал он. - Ничего не доставляет мне такого, по существу, безобидного удовольствия, как заставить человека разинуть рот. Нет, выиграв,|Я шутник, - сказал он. - Ничего не доставляет мне такого, по существу, безобидного удовольствия, как заставить человека разинуть рот. Нет, выиграв,
jizn_gnora_s000301|высеченная из мрамора, стояла меж Пунком и жалким размышлением честного, трудолюбивого Пройса, давшего тупую Юнону с щитом и гербом города. Ледан тоже не изумил выдумкой.|высеченная из мрамора, стояла меж Пунком и жалким размышлением честного, трудолюбивого Пройса, давшего тупую Юнону с щитом и гербом города. Ледан тоже не изумил выдумкой.
jizn_gnora_s000302|Меньше, чем на себя. - Гнор тихо, но выразительно улыбнулся, и все лица отразили его улыбку. - Вы могли встретить труп, идиота и человека. Я не труп и не идиот.|Меньше, чем на себя. - Гнор тихо, но выразительно улыбнулся, и все лица отразили его улыбку. - Вы могли встретить труп, идиота и человека. Я не труп и не идиот.
jizn_gnora_s000303|1.|один.
jizn_gnora_s000304|Студия, отведенная делам конкурса, находилась в здании Школы Живописи и Ваяния, и в этот час вечера там не было уже никого, кроме сторожа Нурса,|Студия, отведенная делам конкурса, находилась в здании Школы Живописи и Ваяния, и в этот час вечера там не было уже никого, кроме сторожа Нурса,
jizn_gnora_s000305|Зеленоватые отсветы волн, бегущих за круглым стеклом иллюминатора, ползли вверх, колебались у потолка и, снова, повинуясь размахам судна, бесшумно неслись вниз.|Зеленоватые отсветы волн, бегущих за круглым стеклом иллюминатора, ползли вверх, колебались у потолка и, снова, повинуясь размахам судна, бесшумно неслись вниз.
jizn_gnora_s000306|Комната, в которой сидел Гнор, напоминала ему лучшие его дни; низкая, под цвет сумерек мебель, бледные стены, задумчивое вечернее окно,|Комната, в которой сидел Гнор, напоминала ему лучшие его дни; низкая, под цвет сумерек мебель, бледные стены, задумчивое вечернее окно,
jizn_gnora_s000307|Ну, пишите, - сказал Мард, - пишите: заброшены к дьяволу, неизвестно зачем; пишите так. - Он стал тяжело дышать, каждое усилие мысли страшно стесняло его.|Ну, пишите, - сказал Мард, - пишите: заброшены к дьяволу, неизвестно зачем; пишите так. - Он стал тяжело дышать, каждое усилие мысли страшно стесняло его.
jizn_gnora_s000308|Они тронулись. Энниок впереди, Гнор сзади. Тропинок и следов не было; ноги по колено вязли в синевато-желтой траве; экваториальный лес напоминал гигантские оранжереи,|Они тронулись. Энниок впереди, Гнор сзади. Тропинок и следов не было; ноги по колено вязли в синевато-желтой траве; экваториальный лес напоминал гигантские оранжереи,
jizn_gnora_s000309|он припоминал, что находится здесь, в этом доме, где все знакомо и все в страшной близости с ним, а сам он чужой и будет чужой до тех пор, пока не выйдет из двери та,|он припоминал, что находится здесь, в этом доме, где все знакомо и все в страшной близости с ним, а сам он чужой и будет чужой до тех пор, пока не выйдет из двери та,
jizn_gnora_s000310|Он боролся; это была короткая запоздалая борьба, жалкая схватка. Она обессилила и раздражила его. Минуту спустя он сказал твердо и почти искренно:|Он боролся; это была короткая запоздалая борьба, жалкая схватка. Она обессилила и раздражила его. Минуту спустя он сказал твердо и почти искренно:
jizn_gnora_s000311|Я чуть не лопнул от смеха. Однако, не отпуская его ни на шаг, мы тронулись, куда он нас вел, - и что вы думаете?. У него был, знаете ли, маленький гардероб в каменном ящике, вроде как у меня сундучок.|Я чуть не лопнул от смеха. Однако, не отпуская его ни на шаг, мы тронулись, куда он нас вел, - и что вы думаете?. У него был, знаете ли, маленький гардероб в каменном ящике, вроде как у меня сундучок.
jizn_gnora_s000312|немых призывах улыбающемуся лицу, сомнениях и мечтах.|немых призывах улыбающемуся лицу, сомнениях и мечтах.
jizn_gnora_s000313|Не все ли равно? Я здесь. А вы - как вы зажали рты?|Не все ли равно? Я здесь. А вы - как вы зажали рты?
jizn_gnora_s000314|Вы чисто одеты, - продолжал Мард, - это для меня непонятно.|Вы чисто одеты, - продолжал Мард, - это для меня непонятно.
jizn_gnora_s000315|Орфей кончит путь через пять, много шесть дней. Довольны ли вы путешествием?|Орфей кончит путь через пять, много шесть дней. Довольны ли вы путешествием?
jizn_gnora_s000316|Да, это так и будет, конечно. Есть слух, что хороша также работа Пунка, но моя лучше. У Гизера больше рисунка, чем анатомии. Но отчего Стерс ничего не сказал о Ледане?|Да, это так и будет, конечно. Есть слух, что хороша также работа Пунка, но моя лучше. У Гизера больше рисунка, чем анатомии. Но отчего Стерс ничего не сказал о Ледане?
jizn_gnora_s000317|среди них метались черные завитки смерчей; над ними, как стая обезумевших птиц, толпились низкие тучи - все смешалось. Я бредил; бред изменил все.|среди них метались черные завитки смерчей; над ними, как стая обезумевших птиц, толпились низкие тучи - все смешалось. Я бредил; бред изменил все.
jizn_gnora_s000318|Гнор тряхнул головой, мысленно докончил мелодию, оборванную Кармен, и ушел к Энниоку. Здесь были сумерки; низкие окна, завешанные плотной материей, почти не давали света;|Гнор тряхнул головой, мысленно докончил мелодию, оборванную Кармен, и ушел к Энниоку. Здесь были сумерки; низкие окна, завешанные плотной материей, почти не давали света;
jizn_gnora_s000319|Единственный уцелевший якорь с грохотом полетел на дно. День прошел в обычных после аварий работах, и только вечером все, начиная с капитана и кончая поваром,|Единственный уцелевший якорь с грохотом полетел на дно. День прошел в обычных после аварий работах, и только вечером все, начиная с капитана и кончая поваром,
jizn_gnora_s000320|Подъезжая к Одессе, я разговорился в вагоне с подозрительным человеком. На мой взгляд, он был опасный международный авантюрист, из тех, что хладнокровно душат старух,|Подъезжая к Одессе, я разговорился в вагоне с подозрительным человеком. На мой взгляд, он был опасный международный авантюрист, из тех, что хладнокровно душат старух,
jizn_gnora_s000321|Он увидел некоторую натянутость ее позы. Он всмотрелся в наивные недочеты, в плохо скрытое старание, которым хотел возместить отсутствие точного художественного видения.|Он увидел некоторую натянутость ее позы. Он всмотрелся в наивные недочеты, в плохо скрытое старание, которым хотел возместить отсутствие точного художественного видения.
jizn_gnora_s000322|Когда он думал об этом, ему было менее страшно и беспокойно, чем в минуты бессилия овладеть упорно повторяемым представлением. Прикованный к хорошо понятому,|Когда он думал об этом, ему было менее страшно и беспокойно, чем в минуты бессилия овладеть упорно повторяемым представлением. Прикованный к хорошо понятому,
jizn_gnora_s000323|Довольно сказать вам, что я приехал в Одессу из Вятки. Контраст был громаден! Я проводил дни на улицах, рассматривая витрины или бродя в порту,|Довольно сказать вам, что я приехал в Одессу из Вятки. Контраст был громаден! Я проводил дни на улицах, рассматривая витрины или бродя в порту,
