meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_04_salgari_f000154|— Sì, ma di nuovo genere — rispose Holker, con un sorriso.|- Sì, ma di nuovo genere - rispose Holker, con un sorriso.
meraviglieduemila_04_salgari_f000155|— Cominceremo così il nostro viaggio attraverso il mondo.|- Cominceremo così il nostro viaggio attraverso il mondo.
meraviglieduemila_05_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_05_salgari_f000002|Capitulo Quinto A bordo del Condor.|Capitulo Quinto A bordo del Condor.
meraviglieduemila_05_salgari_f000003|Era appena spuntata l’alba, quando Holker entrò nella stanza del suo antenato e del signor Brandok|Era appena spuntata lalba, quando Holker entrò nella stanza del suo antenato e del signor Brandok
meraviglieduemila_05_salgari_f000004|gridando: — In piedi miei cari amici!... Il mio Condor ci aspetta dinanzi alle finestre del salotto e l’hôtel ci ha già mandato il tè.|gridando: - In piedi miei cari amici!... Il mio Condor ci aspetta dinanzi alle finestre del salotto e lhotel ci ha già mandato il tè.
meraviglieduemila_05_salgari_f000005|Non ci volevano che le parole — ci aspetta dinanzi alle finestre — per far balzare giù dal letto il dottore ed il suo compagno.|Non ci volevano che le parole - ci aspetta dinanzi alle finestre - per far balzare giù dal letto il dottore ed il suo compagno.
meraviglieduemila_05_salgari_f000006|— L’automobile davanti alle finestre! — avevano esclamato, infilando i calzoni. — Vi sorprendete? — A che piano siamo? — chiese Brandok. — Al diciannovesimo.|- Lautomobile davanti alle finestre! - avevano esclamato, infilando i calzoni. - Vi sorprendete? - A che piano siamo? - chiese Brandok. - Al diciannovesimo.
meraviglieduemila_05_salgari_f000007|Si respira meglio in alto ed i rumori della via giungono appena.|Si respira meglio in alto ed i rumori della via giungono appena.
meraviglieduemila_05_salgari_f000008|— Allora che automobile è la vostra, per salire a simile altezza? — Lo vedrete;|- Allora che automobile è la vostra, per salire a simile altezza? - Lo vedrete;
meraviglieduemila_05_salgari_f000009|sbrigatevi, amici, perchè ho desiderio di condurvi stamane fino alle cascate del Niagara|sbrigatevi, amici, perchè ho desiderio di condurvi stamane fino alle cascate del Niagara
meraviglieduemila_05_salgari_f000010|per mostrarvi i colossali impianti elettrici che forniscono la forza a quasi tutti gli stabilimenti della Federazione.|per mostrarvi i colossali impianti elettrici che forniscono la forza a quasi tutti gli stabilimenti della Federazione.
meraviglieduemila_05_salgari_f000011|Prima andremo a vedere la stazione ultrapotente di Brooklyn, dovendo dare mie notizie al mio amico marziano.|Prima andremo a vedere la stazione ultrapotente di Brooklyn, dovendo dare mie notizie al mio amico marziano.
meraviglieduemila_05_salgari_f000012|Quel brav’uomo deve essere un po’ inquieto pel mio lungo silenzio e saprà con piacere la notizia della vostra risurrezione. — Come! — esclamò Toby.|Quel bravuomo deve essere un po inquieto pel mio lungo silenzio e saprà con piacere la notizia della vostra risurrezione. - Come! - esclamò Toby.
meraviglieduemila_05_salgari_f000013|— Tu lo avevi informato che un tuo antenato dormiva da cento anni? — Sì, zio — rispose Holker.|- Tu lo avevi informato che un tuo antenato dormiva da cento anni? - Sì, zio - rispose Holker.
meraviglieduemila_05_salgari_f000014|— Ci facciamo di tratto in tratto delle confidenze, perchè siamo legati da una profonda amicizia. — Senza esservi mai veduti? — esclamò Brandok.|- Ci facciamo di tratto in tratto delle confidenze, perchè siamo legati da una profonda amicizia. - Senza esservi mai veduti? - esclamò Brandok.
meraviglieduemila_05_salgari_f000015|— Dietro alcune mie indicazioni avrà scarabocchiato il mio ritratto. — E tu? — chiese Toby. — Ho il suo.|- Dietro alcune mie indicazioni avrà scarabocchiato il mio ritratto. - E tu? - chiese Toby. - Ho il suo.
meraviglieduemila_05_salgari_f000016|— Come sono dunque gli abitanti di Marte? Somigliano a noi?|- Come sono dunque gli abitanti di Marte? Somigliano a noi?
meraviglieduemila_05_salgari_f000017|— Dalle descrizioni che abbiamo ricevuto da loro, non sono affatto simili a noi;|- Dalle descrizioni che abbiamo ricevuto da loro, non sono affatto simili a noi;
meraviglieduemila_05_salgari_f000018|tuttavia in fatto di civiltà e di scienza, sembra che non siano a noi inferiori.|tuttavia in fatto di civiltà e di scienza, sembra che non siano a noi inferiori.
meraviglieduemila_05_salgari_f000019|Figuratevi, zio, che hanno delle teste quattro volte più grosse delle nostre e che quindi|Figuratevi, zio, che hanno delle teste quattro volte più grosse delle nostre e che quindi
meraviglieduemila_05_salgari_f000020|con un simile sviluppo di cervello, non devono essere più arretrati di noi. — Ed il corpo?|con un simile sviluppo di cervello, non devono essere più arretrati di noi. - Ed il corpo?
meraviglieduemila_05_salgari_f000021|— I martiani, da quanto abbiamo potuto comprendere, sono anfibi che rassomigliano alle foche|- I martiani, da quanto abbiamo potuto comprendere, sono anfibi che rassomigliano alle foche
meraviglieduemila_05_salgari_f000022|con braccia cortissime, che terminano con dieci dita, e piedi molto grandi e palmati.|con braccia cortissime, che terminano con dieci dita, e piedi molto grandi e palmati.
meraviglieduemila_05_salgari_f000023|— Dei veri mostri, insomma! — esclamò Toby, che ascoltava con viva curiosità quei particolari.|- Dei veri mostri, insomma! - esclamò Toby, che ascoltava con viva curiosità quei particolari.
meraviglieduemila_05_salgari_f000024|— Non sembra infatti che siano troppo belli — rispose Holker.|- Non sembra infatti che siano troppo belli - rispose Holker.
meraviglieduemila_05_salgari_f000025|— Ma andiamo a prendere il tè, o lo troveremo freddo.|- Ma andiamo a prendere il tè, o lo troveremo freddo.
meraviglieduemila_05_salgari_f000026|Riparleremo dei martiani e del loro pianeta quando saremo alla stazione ultrapotente di Brooklyn.|Riparleremo dei martiani e del loro pianeta quando saremo alla stazione ultrapotente di Brooklyn.
meraviglieduemila_05_salgari_f000027|Lasciarono la stanza ed entrarono nel salotto.|Lasciarono la stanza ed entrarono nel salotto.
meraviglieduemila_05_salgari_f000028|La piccola ferrovia con un solo vagoncino, stava ferma all’estremità della piastra di metallo.|La piccola ferrovia con un solo vagoncino, stava ferma allestremità della piastra di metallo.
meraviglieduemila_05_salgari_f000029|Non fu però quella che attrasse l’attenzione di Brandok e del dottore|Non fu però quella che attrasse lattenzione di Brandok e del dottore
meraviglieduemila_05_salgari_f000030|bensì un’ombra gigantesca che si agitava dinanzi alle due ampie finestre. — Che cos’è?|bensì unombra gigantesca che si agitava dinanzi alle due ampie finestre. - Che cosè?
meraviglieduemila_05_salgari_f000031|— chiesero, slanciandosi innanzi.|- chiesero, slanciandosi innanzi.
meraviglieduemila_05_salgari_f000032|— Il mio Condor — rispose tranquillamente Holker. — Un pallone dirigibile? — chiese.|- Il mio Condor - rispose tranquillamente Holker. - Un pallone dirigibile? - chiese.
meraviglieduemila_05_salgari_f000033|— No, signori, una macchina volante che funziona perfettamente, dotata d’una velocità straordinaria|- No, signori, una macchina volante che funziona perfettamente, dotata duna velocità straordinaria
meraviglieduemila_05_salgari_f000034|tale da poter gareggiare colle rondini ed i colombi viaggiatori. Ve n’erano ai vostri tempi?|tale da poter gareggiare colle rondini ed i colombi viaggiatori. Ve nerano ai vostri tempi?
meraviglieduemila_05_salgari_f000035|— Qualche pallone dirigibile, sempre pericoloso — disse Toby.|- Qualche pallone dirigibile, sempre pericoloso - disse Toby.
meraviglieduemila_05_salgari_f000036|— E siccome i palloni causavano troppe disgrazie, noi da cinquant’anni abbiamo abbandonato l’idrogeno per le ali.|- E siccome i palloni causavano troppe disgrazie, noi da cinquantanni abbiamo abbandonato lidrogeno per le ali.
meraviglieduemila_05_salgari_f000037|Prendiamo il tè, poi avrete il tempo di osservare il mio Condor e di vederlo manovrare.|Prendiamo il tè, poi avrete il tempo di osservare il mio Condor e di vederlo manovrare.
meraviglieduemila_05_salgari_f000038|Strappò quasi per forza il dottore e Brandok dalle finestre e trasse dal vagoncino le tazze|Strappò quasi per forza il dottore e Brandok dalle finestre e trasse dal vagoncino le tazze
meraviglieduemila_05_salgari_f000039|la salvietta ed il recipiente contenente la profumata bevanda, nonchè dei biscotti.|la salvietta ed il recipiente contenente la profumata bevanda, nonchè dei biscotti.
meraviglieduemila_05_salgari_f000040|— Non siate troppo impazienti — disse.|- Non siate troppo impazienti - disse.
meraviglieduemila_05_salgari_f000041|— Bisogna vedere le cose una alla volta o vi affaticherete troppo. Il tempo non ci manca.|- Bisogna vedere le cose una alla volta o vi affaticherete troppo. Il tempo non ci manca.
meraviglieduemila_05_salgari_f000042|Bevettero il tè, bagnandovi qualche biscotto|Bevettero il tè, bagnandovi qualche biscotto
meraviglieduemila_05_salgari_f000043|poi Holker salì sul davanzale che era molto basso e mise i piedi sulla piattaforma della macchina volante su cui erano state collocate quattro comode poltroncine.|poi Holker salì sul davanzale che era molto basso e mise i piedi sulla piattaforma della macchina volante su cui erano state collocate quattro comode poltroncine.
meraviglieduemila_05_salgari_f000044|Harry, il negro gigante, stava dietro alla macchina|Harry, il negro gigante, stava dietro alla macchina
meraviglieduemila_05_salgari_f000045|tenendo le mani su una piccola ruota che faceva agire due immensi timoni di forma triangolare|tenendo le mani su una piccola ruota che faceva agire due immensi timoni di forma triangolare
meraviglieduemila_05_salgari_f000046|costruiti con una specie di tela lucidissima, montati sopra una leggera armatura di metallo.|costruiti con una specie di tela lucidissima, montati sopra una leggera armatura di metallo.
meraviglieduemila_05_salgari_f000047|Brandok e Toby si erano appena seduti, che il Condor s’innalzò subito obliquamente fino al di sopra delle immense case|Brandok e Toby si erano appena seduti, che il Condor sinnalzò subito obliquamente fino al di sopra delle immense case
meraviglieduemila_05_salgari_f000048|descrivendo una serie di giri d’una precisione ammirabile.|descrivendo una serie di giri duna precisione ammirabile.
meraviglieduemila_05_salgari_f000049|Quella macchina, inventata dagli scienziati del Duemila, era davvero stupefacente e, quello che è più, d’una semplicità straordinaria.|Quella macchina, inventata dagli scienziati del Duemila, era davvero stupefacente e, quello che è più, duna semplicità straordinaria.
meraviglieduemila_05_salgari_f000050|Non si componeva che di una piattaforma di metallo che pareva più leggero dell’alluminio|Non si componeva che di una piattaforma di metallo che pareva più leggero dellalluminio
meraviglieduemila_05_salgari_f000051|con quattro ali e due eliche collocate le une lateralmente alle altre|con quattro ali e due eliche collocate le une lateralmente alle altre
meraviglieduemila_05_salgari_f000052|tutte di tela, con stecche d’acciaio e una piccola macchina che le faceva agire.|tutte di tela, con stecche dacciaio e una piccola macchina che le faceva agire.
meraviglieduemila_05_salgari_f000053|Il gas, come si vede, non vi entrava per nulla;|Il gas, come si vede, non vi entrava per nulla;
meraviglieduemila_05_salgari_f000054|la meccanica aveva trionfato sui palloni dirigibili del secolo precedente.|la meccanica aveva trionfato sui palloni dirigibili del secolo precedente.
meraviglieduemila_05_salgari_f000055|Toby ed il suo compagno guardavano con stupore quel congegno straordinario che si alzava e si abbassava e girava e rigirava come fosse un vero uccello.|Toby ed il suo compagno guardavano con stupore quel congegno straordinario che si alzava e si abbassava e girava e rigirava come fosse un vero uccello.
meraviglieduemila_05_salgari_f000056|Altri consimili ne volavano in gran numero sopra i tetti dei palazzi, gareggiando in velocità|Altri consimili ne volavano in gran numero sopra i tetti dei palazzi, gareggiando in velocità
meraviglieduemila_05_salgari_f000057|per la maggior parte montati da signore che ridevano allegramente, e da fanciulli schiamazzanti.|per la maggior parte montati da signore che ridevano allegramente, e da fanciulli schiamazzanti.
meraviglieduemila_05_salgari_f000058|Ve n’erano di tutte le dimensioni: di grandissimi che portavano perfino venti persone, e di piccolissimi, appena sufficienti per due;|Ve nerano di tutte le dimensioni: di grandissimi che portavano perfino venti persone, e di piccolissimi, appena sufficienti per due;
meraviglieduemila_05_salgari_f000059|ed altri formati da sole due ali somiglianti a quelle dei pipistrelli|ed altri formati da sole due ali somiglianti a quelle dei pipistrelli
meraviglieduemila_05_salgari_f000060|che reggevano una poltroncina montata da una sola persona e che pure manovravano con non minore precisione e rapidità degli altri.|che reggevano una poltroncina montata da una sola persona e che pure manovravano con non minore precisione e rapidità degli altri.
meraviglieduemila_05_salgari_f000061|In alto, in basso, s’incrociavano saluti e chiamate, poi la flottiglia aerea si disperdeva in tutte le direzioni, calando sulle vie|In alto, in basso, sincrociavano saluti e chiamate, poi la flottiglia aerea si disperdeva in tutte le direzioni, calando sulle vie
meraviglieduemila_05_salgari_f000062|sulle piazze, sulle immense terrazze delle case o fermandosi dinanzi alle finestre od ai poggioli per imbarcare nuove persone.|sulle piazze, sulle immense terrazze delle case o fermandosi dinanzi alle finestre od ai poggioli per imbarcare nuove persone.
meraviglieduemila_05_salgari_f000063|Brandok e Toby erano diventati muti, come se lo stupore avesse paralizzato loro la lingua.|Brandok e Toby erano diventati muti, come se lo stupore avesse paralizzato loro la lingua.
meraviglieduemila_05_salgari_f000064|— Non dite nulla, dunque? — chiese finalmente Holker. — Avete perduta la favella?|- Non dite nulla, dunque? - chiese finalmente Holker. - Avete perduta la favella?
meraviglieduemila_05_salgari_f000065|— Io mi domando se sto sognando — disse Brandok.|- Io mi domando se sto sognando - disse Brandok.
meraviglieduemila_05_salgari_f000066|— È impossibile che tutto ciò sia realtà.|- È impossibile che tutto ciò sia realtà.
meraviglieduemila_05_salgari_f000067|— Mio caro Brandok, siamo nel Duemila. — Tutto quello che vorrete;|- Mio caro Brandok, siamo nel Duemila. - Tutto quello che vorrete;
meraviglieduemila_05_salgari_f000068|eppure stento a persuadermi che il mondo, in soli cent’anni, sia così progredito.|eppure stento a persuadermi che il mondo, in soli centanni, sia così progredito.
meraviglieduemila_05_salgari_f000069|Trasformare gli uomini in uccelli! È incredibile!|Trasformare gli uomini in uccelli! È incredibile!
meraviglieduemila_05_salgari_f000070|— E non vi è pericolo che queste macchine volanti cadano? — chiese Toby.|- E non vi è pericolo che queste macchine volanti cadano? - chiese Toby.
meraviglieduemila_05_salgari_f000071|— Qualche volta succedono degli scontri;|- Qualche volta succedono degli scontri;
meraviglieduemila_05_salgari_f000072|le ali si spezzano, le eliche si lacerano e allora guai a chi cade: eppure chi ci bada?|le ali si spezzano, le eliche si lacerano e allora guai a chi cade: eppure chi ci bada?
meraviglieduemila_05_salgari_f000073|Forse che ai vostri tempi non s’urtavano le vecchie ferrovie e le navi?|Forse che ai vostri tempi non surtavano le vecchie ferrovie e le navi?
meraviglieduemila_05_salgari_f000074|Sono incidenti che non commuovono nessuno.|Sono incidenti che non commuovono nessuno.
meraviglieduemila_05_salgari_f000075|— Che macchine sono quelle che fanno agire le ali?|- Che macchine sono quelle che fanno agire le ali?
meraviglieduemila_05_salgari_f000076|— Macchine elettriche di grande potenza.|- Macchine elettriche di grande potenza.
meraviglieduemila_05_salgari_f000077|Come vi ho detto, in questi cent’anni l’elettricità ha fatto dei progressi stupefacenti.|Come vi ho detto, in questi centanni lelettricità ha fatto dei progressi stupefacenti.
meraviglieduemila_05_salgari_f000078|— E quale velocità potete imprimere a queste navi volanti?|- E quale velocità potete imprimere a queste navi volanti?
meraviglieduemila_05_salgari_f000079|— Anche cento cinquanta chilometri all’ora.|- Anche cento cinquanta chilometri allora.
meraviglieduemila_05_salgari_f000080|— Sicchè avete abolito i treni ferroviari? — chiese Brandok.|- Sicchè avete abolito i treni ferroviari? - chiese Brandok.
meraviglieduemila_05_salgari_f000081|— Oh no, mio caro signore, non son più quelli che si usavano ai vostri tempi, troppo lenti per noi, ma ne abbiamo ancora moltissimi.|- Oh no, mio caro signore, non son più quelli che si usavano ai vostri tempi, troppo lenti per noi, ma ne abbiamo ancora moltissimi.
meraviglieduemila_05_salgari_f000082|Capirete che queste macchine volanti non si possono caricare soverchiamente.|Capirete che queste macchine volanti non si possono caricare soverchiamente.
meraviglieduemila_05_salgari_f000083|Non servono che per divertirsi o per compiere delle piccole corse di piacere.|Non servono che per divertirsi o per compiere delle piccole corse di piacere.
meraviglieduemila_05_salgari_f000084|E pei lunghi viaggi attraverso gli oceani anche — proseguì Holker.|E pei lunghi viaggi attraverso gli oceani anche - proseguì Holker.
meraviglieduemila_05_salgari_f000085|— Noi abbiamo dei veri vascelli aerei|- Noi abbiamo dei veri vascelli aerei
meraviglieduemila_05_salgari_f000086|che partono regolarmente da tutti i porti dell’Atlantico e del Pacifico e che in trentasei ore vi sbarcano in Inghilterra|che partono regolarmente da tutti i porti dellAtlantico e del Pacifico e che in trentasei ore vi sbarcano in Inghilterra
meraviglieduemila_05_salgari_f000087|ed in quaranta nel Giappone o nella Cina o nell’Australia.|ed in quaranta nel Giappone o nella Cina o nellAustralia.
meraviglieduemila_05_salgari_f000088|— Non vi sono più navi sui mari? — Oh sì, ne abbiamo ancora;|- Non vi sono più navi sui mari? - Oh sì, ne abbiamo ancora;
meraviglieduemila_05_salgari_f000089|ma non sono più quelle che si usavano nel secolo scorso.|ma non sono più quelle che si usavano nel secolo scorso.
meraviglieduemila_05_salgari_f000090|Ne vedrete molte quando attraverseremo l’Atlantico.|Ne vedrete molte quando attraverseremo lAtlantico.
meraviglieduemila_05_salgari_f000091|Ho pensato anzi di lasciare alle cascate del Niagara il mio Condor e di condurvi a Quebec colla ferrovia canadese|Ho pensato anzi di lasciare alle cascate del Niagara il mio Condor e di condurvi a Quebec colla ferrovia canadese
meraviglieduemila_05_salgari_f000092|per imbarcarvi poi di là per l’Europa.|per imbarcarvi poi di là per lEuropa.
meraviglieduemila_05_salgari_f000093|— Mio caro nipote, — disse Toby — tu trascuri i tuoi affari;|- Mio caro nipote, - disse Toby - tu trascuri i tuoi affari;
meraviglieduemila_05_salgari_f000094|suppongo che avrai qualche occupazione.|suppongo che avrai qualche occupazione.
meraviglieduemila_05_salgari_f000095|— Sono medico nel grande ospedale di Brooklyn;|- Sono medico nel grande ospedale di Brooklyn;
meraviglieduemila_05_salgari_f000096|per ora non si ha bisogno di me, avendo io due mesi di vacanza.|per ora non si ha bisogno di me, avendo io due mesi di vacanza.
meraviglieduemila_05_salgari_f000097|— Anche tu dottore! — esclamò Toby.|- Anche tu dottore! - esclamò Toby.
meraviglieduemila_05_salgari_f000098|— Che farà una ben meschina figura dinanzi all’uomo che ha fatto una così grande scoperta.|- Che farà una ben meschina figura dinanzi alluomo che ha fatto una così grande scoperta.
meraviglieduemila_05_salgari_f000099|— Ne sarai l’erede — disse Toby.|- Ne sarai lerede - disse Toby.
meraviglieduemila_05_salgari_f000100|In quel momento il Condor si abbassò bruscamente su una vasta piazza brulicante di gente che pareva impazzita. — Che cosa accade laggiù?|In quel momento il Condor si abbassò bruscamente su una vasta piazza brulicante di gente che pareva impazzita. - Che cosa accade laggiù?
meraviglieduemila_05_salgari_f000101|— chiese Brandok, che si era curvato sul parapetto della piattaforma.|- chiese Brandok, che si era curvato sul parapetto della piattaforma.
meraviglieduemila_05_salgari_f000102|— È la piazza della Borsa — rispose Holker.|- È la piazza della Borsa - rispose Holker.
meraviglieduemila_05_salgari_f000103|— Sembra che quegli uomini abbiano il fuoco addosso.|- Sembra che quegli uomini abbiano il fuoco addosso.
meraviglieduemila_05_salgari_f000104|Vanno e vengono quasi correndo.|Vanno e vengono quasi correndo.
meraviglieduemila_05_salgari_f000105|— E anche la gente che si affolla nelle vie vicine pare che cammini sui tizzoni — disse Toby.|- E anche la gente che si affolla nelle vie vicine pare che cammini sui tizzoni - disse Toby.
meraviglieduemila_05_salgari_f000106|— Eppure non saranno borsisti quelli là.|- Eppure non saranno borsisti quelli là.
meraviglieduemila_05_salgari_f000107|— Camminavano diversamente cent’anni fa?|- Camminavano diversamente centanni fa?
meraviglieduemila_05_salgari_f000108|— chiese Holker, con una certa sorpresa.|- chiese Holker, con una certa sorpresa.
meraviglieduemila_05_salgari_f000109|— Erano molto più calmi gli uomini, mentre ora vedo che perfino le signore marciano a passo di corsa|- Erano molto più calmi gli uomini, mentre ora vedo che perfino le signore marciano a passo di corsa
meraviglieduemila_05_salgari_f000110|come se avessero paura di perdere il treno.|come se avessero paura di perdere il treno.
meraviglieduemila_05_salgari_f000111|— Io ho sempre veduto, da quando son venuto al mondo, correre così frettolosamente.|- Io ho sempre veduto, da quando son venuto al mondo, correre così frettolosamente.
meraviglieduemila_05_salgari_f000112|— Ah! Ora comprendo, — disse Toby.|- Ah! Ora comprendo, - disse Toby.
meraviglieduemila_05_salgari_f000113|— È la grande tensione elettrica che agisce sui loro nervi. Il mondo è impazzito o quasi.|- È la grande tensione elettrica che agisce sui loro nervi. Il mondo è impazzito o quasi.
meraviglieduemila_05_salgari_f000114|— Harry, — disse Holker — muovi verso Brooklyn.|- Harry, - disse Holker - muovi verso Brooklyn.
meraviglieduemila_05_salgari_f000115|Il Condor s’alzò d’un centinaio di metri e si slanciò verso l’est con una velocità di cinquanta chilometri all’ora.|Il Condor salzò dun centinaio di metri e si slanciò verso lest con una velocità di cinquanta chilometri allora.
meraviglieduemila_05_salgari_f000116|Vie immense apparivano sotto agli aeronauti, se così si potevano chiamare, fiancheggiate da palazzi mostruosi di venti|Vie immense apparivano sotto agli aeronauti, se così si potevano chiamare, fiancheggiate da palazzi mostruosi di venti
meraviglieduemila_05_salgari_f000117|venticinque e perfino di trenta piani, che dovevano contenere migliaia di famiglie ciascuno, la popolazione di un villaggio.|venticinque e perfino di trenta piani, che dovevano contenere migliaia di famiglie ciascuno, la popolazione di un villaggio.
meraviglieduemila_05_salgari_f000118|Mille fragori salivano fino agli orecchi dei due risuscitati|Mille fragori salivano fino agli orecchi dei due risuscitati
meraviglieduemila_05_salgari_f000119|prodotti chissà da quali macchine gigantesche: fischi, colpi formidabili, detonazioni, scoppi|prodotti chissà da quali macchine gigantesche: fischi, colpi formidabili, detonazioni, scoppi
meraviglieduemila_05_salgari_f000120|e si vedevano, lungo le pareti e sulla cima di colonne di ferro|e si vedevano, lungo le pareti e sulla cima di colonne di ferro
meraviglieduemila_05_salgari_f000121|roteare con velocità straordinaria delle macchine volanti di dimensioni mai viste. — Che cosa fanno laggiù? — chiese Brandok.|roteare con velocità straordinaria delle macchine volanti di dimensioni mai viste. - Che cosa fanno laggiù? - chiese Brandok.
meraviglieduemila_05_salgari_f000122|— Sono officine meccaniche — rispose Holker.|- Sono officine meccaniche - rispose Holker.
meraviglieduemila_05_salgari_f000123|— Chissà quante migliaia di operai lavoreranno là dentro!|- Chissà quante migliaia di operai lavoreranno là dentro!
meraviglieduemila_05_salgari_f000124|— Vi ingannate, mio caro signore;|- Vi ingannate, mio caro signore;
meraviglieduemila_05_salgari_f000125|gli operai oggidì sono quasi scomparsi.|gli operai oggidì sono quasi scomparsi.
meraviglieduemila_05_salgari_f000126|Non vi sono che dei meccanici per dirigere le macchine.|Non vi sono che dei meccanici per dirigere le macchine.
meraviglieduemila_05_salgari_f000127|L’elettricità ha ucciso il lavoratore.|Lelettricità ha ucciso il lavoratore.
meraviglieduemila_05_salgari_f000128|— Cosa è avvenuto di quelle masse enormi di lavoratori che esistevano un tempo?|- Cosa è avvenuto di quelle masse enormi di lavoratori che esistevano un tempo?
meraviglieduemila_05_salgari_f000129|— Sono diventati pescatori ed agricoltori;|- Sono diventati pescatori ed agricoltori;
meraviglieduemila_05_salgari_f000130|il mare e le campagne a poco a poco hanno assorbito gli operai.|il mare e le campagne a poco a poco hanno assorbito gli operai.
meraviglieduemila_05_salgari_f000131|— Sicchè non vi saranno più scioperi? — È una parola sconosciuta.|- Sicchè non vi saranno più scioperi? - È una parola sconosciuta.
meraviglieduemila_05_salgari_f000132|— Ai nostri tempi si imponevano, e come! Specialmente dopo l’organizzazione fatta dal grande partito socialista.|- Ai nostri tempi si imponevano, e come! Specialmente dopo lorganizzazione fatta dal grande partito socialista.
meraviglieduemila_05_salgari_f000133|Che cosa è avvenuto anzi del socialismo?|Che cosa è avvenuto anzi del socialismo?
meraviglieduemila_05_salgari_f000134|Si prediceva un grande avvenire a quel partito.|Si prediceva un grande avvenire a quel partito.
meraviglieduemila_05_salgari_f000135|— È scomparso dopo una serie di esperimenti che hanno scontentato tutti e contentato nessuno.|- È scomparso dopo una serie di esperimenti che hanno scontentato tutti e contentato nessuno.
meraviglieduemila_05_salgari_f000136|Era una bella utopia che in pratica non poteva dare alcun risultato, risolvendosi infine in una specie di schiavitù.|Era una bella utopia che in pratica non poteva dare alcun risultato, risolvendosi infine in una specie di schiavitù.
meraviglieduemila_05_salgari_f000137|Così siamo tornati all’antico, e oggidì vi sono poveri e ricchi|Così siamo tornati allantico, e oggidì vi sono poveri e ricchi
meraviglieduemila_05_salgari_f000138|padroni e dipendenti come era migliaia d’anni prima, e come è sempre stato dacchè il mondo cominciò a popolarsi.|padroni e dipendenti come era migliaia danni prima, e come è sempre stato dacchè il mondo cominciò a popolarsi.
meraviglieduemila_05_salgari_f000139|Qualche colonia tedesca e russa sussiste nondimeno ancora|Qualche colonia tedesca e russa sussiste nondimeno ancora
meraviglieduemila_05_salgari_f000140|composta da vecchi socialisti che coltivano in comune alcune plaghe della Patagonia e della Terra del Fuoco|composta da vecchi socialisti che coltivano in comune alcune plaghe della Patagonia e della Terra del Fuoco
meraviglieduemila_05_salgari_f000141|ma nessuno si occupa di loro, nè hanno alcuna importanza, anzi, vanno scomparendo poco a poco.|ma nessuno si occupa di loro, nè hanno alcuna importanza, anzi, vanno scomparendo poco a poco.
meraviglieduemila_05_salgari_f000142|— Il ponte di Brooklyn! — esclamò Brandok. — Lo riconosco ancora.|- Il ponte di Brooklyn! - esclamò Brandok. - Lo riconosco ancora.
meraviglieduemila_05_salgari_f000143|Ha dunque resistito fino ad oggi?|Ha dunque resistito fino ad oggi?
meraviglieduemila_05_salgari_f000144|— Già, sono più di centoventi anni che è lì.|- Già, sono più di centoventi anni che è lì.
meraviglieduemila_05_salgari_f000145|Gl’ingegneri dei vostri tempi erano buoni costruttori — disse Holker.|Glingegneri dei vostri tempi erano buoni costruttori - disse Holker.
meraviglieduemila_05_salgari_f000146|— Come è diventato immenso quel sobborgo! — esclamò il dottore guardando con ammirazione la distesa di palazzi immensi che si estendeva a perdita d’occhio.|- Come è diventato immenso quel sobborgo! - esclamò il dottore guardando con ammirazione la distesa di palazzi immensi che si estendeva a perdita docchio.
meraviglieduemila_05_salgari_f000147|— Quattro milioni di abitanti — disse Holker.|- Quattro milioni di abitanti - disse Holker.
meraviglieduemila_05_salgari_f000148|— Ormai gareggia con Nuova York. — E Londra che cosa sarà mai? — Una città di dodici milioni. — E Parigi?|- Ormai gareggia con Nuova York. - E Londra che cosa sarà mai? - Una città di dodici milioni. - E Parigi?
meraviglieduemila_05_salgari_f000149|— Una metropoli sterminata, più grossa ancora.|- Una metropoli sterminata, più grossa ancora.
meraviglieduemila_05_salgari_f000150|Harry, va diritto alla stazione ultrapotente.|Harry, va diritto alla stazione ultrapotente.
meraviglieduemila_05_salgari_f000151|Il Condor, oltrepassato il ponte, aveva affrettato il volo.|Il Condor, oltrepassato il ponte, aveva affrettato il volo.
meraviglieduemila_05_salgari_f000152|Anche di sopra all’antico sobborgo di Nuova York si vedevano volteggiare un gran numero di macchine volanti|Anche di sopra allantico sobborgo di Nuova York si vedevano volteggiare un gran numero di macchine volanti
meraviglieduemila_05_salgari_f000153|cariche di persone che si dirigevano per lo più verso l’Hudson o verso il mare.|cariche di persone che si dirigevano per lo più verso lHudson o verso il mare.
meraviglieduemila_05_salgari_f000154|Il Condor, dopo essere passato sopra la città|Il Condor, dopo essere passato sopra la città
meraviglieduemila_05_salgari_f000155|si diresse verso una piccola altura su cui si vedeva ergersi una torre immensa munita sulla cima di un’antenna smisurata|si diresse verso una piccola altura su cui si vedeva ergersi una torre immensa munita sulla cima di unantenna smisurata
meraviglieduemila_05_salgari_f000156|che pareva un cannone mostruoso minacciante il cielo.|che pareva un cannone mostruoso minacciante il cielo.
meraviglieduemila_05_salgari_f000157|— La stazione ultrapotente — disse Holker.|- La stazione ultrapotente - disse Holker.
