sandmann_1_f000001|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.|Nathanael an Lothar Gewiß seid Ihr alle voll Unruhe, daß ich so lange lange nicht geschrieben.
sandmann_1_f000107|riß mich auf und warf mich auf den Herd, daß die Flamme mein Haar zu sengen begann: Nun haben wir Augen Augen ein schön Paar Kinderaugen.|riß mich auf und warf mich auf den Herd, daß die Flamme mein Haar zu sengen begann: Nun haben wir Augen Augen ein schön Paar Kinderaugen.
sandmann_1_f000108|So flüsterte Coppelius, und griff mit den Fäusten glutrote Körner aus der Flamme, die er mir in die Augen streuen wollte.|So flüsterte Coppelius, und griff mit den Fäusten glutrote Körner aus der Flamme, die er mir in die Augen streuen wollte.
sandmann_1_f000109|Da hob mein Vater flehend die Hände empor und rief.|Da hob mein Vater flehend die Hände empor und rief.
sandmann_1_f000110|Meister! Meister! laß meinem Nathanael die Augen laß sie ihm!|Meister! Meister! laß meinem Nathanael die Augen laß sie ihm!
sandmann_1_f000111|Coppelius lachte gellend auf und rief.|Coppelius lachte gellend auf und rief.
sandmann_1_f000112|Mag denn der Junge die Augen behalten und sein Pensum flennen in der Welt; aber nun wollen wir doch den Mechanismus der Hände und der Füße recht observieren.|Mag denn der Junge die Augen behalten und sein Pensum flennen in der Welt; aber nun wollen wir doch den Mechanismus der Hände und der Füße recht observieren.
sandmann_1_f000113|Und damit faßte er mich gewaltig, daß die Gelenke knackten, und schrob mir die Hände ab und die Füße und setzte sie bald hier, bald dort wieder ein.|Und damit faßte er mich gewaltig, daß die Gelenke knackten, und schrob mir die Hände ab und die Füße und setzte sie bald hier, bald dort wieder ein.
sandmann_1_f000114|es steht doch überall nicht recht! es gut so wie es war!|es steht doch überall nicht recht! es gut so wie es war!
sandmann_1_f000115|Der Alte hat's verstanden!|Der Alte hat's verstanden!
sandmann_1_f000116|So zischte und lispelte Coppelius; aber alles um mich her wurde schwarz und finster, ein jäher Krampf durchzuckte Nerv und Gebein ich fühlte nichts mehr.|So zischte und lispelte Coppelius; aber alles um mich her wurde schwarz und finster, ein jäher Krampf durchzuckte Nerv und Gebein ich fühlte nichts mehr.
sandmann_1_f000117|Ein sanfter warmer Hauch glitt über mein Gesicht, ich erwachte wie aus dem Todesschlaf, die Mutter hatte sich über mich hingebeugt.|Ein sanfter warmer Hauch glitt über mein Gesicht, ich erwachte wie aus dem Todesschlaf, die Mutter hatte sich über mich hingebeugt.
sandmann_1_f000118|Ist der Sandmann noch da? stammelte ich.|Ist der Sandmann noch da? stammelte ich.
sandmann_1_f000119|Nein, mein liebes Kind, der ist lange, lange fort, der tut dir keinen Schaden!|Nein, mein liebes Kind, der ist lange, lange fort, der tut dir keinen Schaden!
sandmann_1_f000120|So sprach die Mutter und küßte und herzte den wiedergewonnenen Liebling.|So sprach die Mutter und küßte und herzte den wiedergewonnenen Liebling.
sandmann_1_f000121|Was soll ich Dich ermüden, mein herzlieber Lothar!|Was soll ich Dich ermüden, mein herzlieber Lothar!
sandmann_1_f000122|was soll ich so weitläufig einzelnes hererzählen, da noch so vieles zu sagen übrig bleibt?|was soll ich so weitläufig einzelnes hererzählen, da noch so vieles zu sagen übrig bleibt?
sandmann_1_f000123|Genug! ich war bei der Lauscherei entdeckt, und von Coppelius gemißhandelt worden.|Genug! ich war bei der Lauscherei entdeckt, und von Coppelius gemißhandelt worden.
sandmann_1_f000124|Angst und Schrecken hatten mir ein hitziges Fieber zugezogen, an dem ich mehrere Wochen krank lag.|Angst und Schrecken hatten mir ein hitziges Fieber zugezogen, an dem ich mehrere Wochen krank lag.
sandmann_1_f000125|Ist der Sandmann noch da?|Ist der Sandmann noch da?
sandmann_1_f000126|Das war mein erstes gesundes Wort und das Zeichen meiner Genesung, meiner Rettung.|Das war mein erstes gesundes Wort und das Zeichen meiner Genesung, meiner Rettung.
sandmann_1_f000127|Nur noch den schrecklichsten Moment meiner Jugendjahre darf ich Dir erzählen; dann wirst Du überzeugt sein, daß es nicht meiner Augen Blödigkeit ist,|Nur noch den schrecklichsten Moment meiner Jugendjahre darf ich Dir erzählen; dann wirst Du überzeugt sein, daß es nicht meiner Augen Blödigkeit ist,
sandmann_1_f000128|wenn mir nun alles farblos erscheint, sondern, daß ein dunkles Verhängnis wirklich einen trüben Wolkenschleier über mein Leben gehängt hat,|wenn mir nun alles farblos erscheint, sondern, daß ein dunkles Verhängnis wirklich einen trüben Wolkenschleier über mein Leben gehängt hat,
sandmann_1_f000129|den ich vielleicht nur sterbend zerreiße.|den ich vielleicht nur sterbend zerreiße.
sandmann_1_f000130|Coppelius ließ sich nicht mehr sehen, es hieß, er habe die Stadt verlassen.|Coppelius ließ sich nicht mehr sehen, es hieß, er habe die Stadt verlassen.
sandmann_1_f000131|Ein Jahr mochte vergangen sein, als wir der alten unveränderten Sitte gemäß abends an dem runden Tische saßen.|Ein Jahr mochte vergangen sein, als wir der alten unveränderten Sitte gemäß abends an dem runden Tische saßen.
sandmann_1_f000132|Der Vater war sehr heiter und erzählte viel Ergötzliches von den Reisen, die er in seiner Jugend gemacht.|Der Vater war sehr heiter und erzählte viel Ergötzliches von den Reisen, die er in seiner Jugend gemacht.
sandmann_1_f000133|Da hörten wir, als es neune schlug, plötzlich die Haustür in den Angeln knarren und langsame eisenschwere Schritte dröhnten durch den Hausflur die Treppe herauf.|Da hörten wir, als es neune schlug, plötzlich die Haustür in den Angeln knarren und langsame eisenschwere Schritte dröhnten durch den Hausflur die Treppe herauf.
sandmann_1_f000134|Das ist Coppelius, sagte meine Mutter erblassend.|Das ist Coppelius, sagte meine Mutter erblassend.
sandmann_1_f000135|Ja! es ist Coppelius, wiederholte der Vater mit matter gebrochener Stimme.|Ja! es ist Coppelius, wiederholte der Vater mit matter gebrochener Stimme.
sandmann_1_f000136|Die Tränen stürzten der Mutter aus den Augen.|Die Tränen stürzten der Mutter aus den Augen.
sandmann_1_f000137|Aber Vater, Vater! rief sie, muß es denn so sein?|Aber Vater, Vater! rief sie, muß es denn so sein?
sandmann_1_f000138|Zum letzten Male! erwiderte dieser, zum letzten Male kommt er zu mir, ich verspreche es dir.|Zum letzten Male! erwiderte dieser, zum letzten Male kommt er zu mir, ich verspreche es dir.
sandmann_1_f000139|Geh nur, geh mit den Kindern!|Geh nur, geh mit den Kindern!
sandmann_1_f000140|Geht geht zu Bette! Gute Nacht!|Geht geht zu Bette! Gute Nacht!
sandmann_1_f000141|Mir war es, als sei ich in schweren kalten Stein eingepreßt mein Atem stockte!|Mir war es, als sei ich in schweren kalten Stein eingepreßt mein Atem stockte!
sandmann_1_f000142|Die Mutter ergriff mich beim Arm als ich unbeweglich stehen blieb: Komm Nathanael, komme nur!|Die Mutter ergriff mich beim Arm als ich unbeweglich stehen blieb: Komm Nathanael, komme nur!
sandmann_1_f000143|Ich ließ mich fortführen, ich trat in meine Kammer.|Ich ließ mich fortführen, ich trat in meine Kammer.
sandmann_1_f000144|Sei ruhig, sei ruhig, lege dich ins Bette!|Sei ruhig, sei ruhig, lege dich ins Bette!
sandmann_1_f000145|schlafe schlafe, rief mir die Mutter nach; aber von unbeschreiblicher innerer Angst und Unruhe gequält, konnte ich kein Auge zutun.|schlafe schlafe, rief mir die Mutter nach; aber von unbeschreiblicher innerer Angst und Unruhe gequält, konnte ich kein Auge zutun.
sandmann_1_f000146|Der verhaßte abscheuliche Coppelius stand vor mir mit funkelnden Augen und lachte mich hämisch an, vergebens trachtete ich sein Bild los zu werden.|Der verhaßte abscheuliche Coppelius stand vor mir mit funkelnden Augen und lachte mich hämisch an, vergebens trachtete ich sein Bild los zu werden.
sandmann_1_f000147|Es mochte wohl schon Mitternacht sein, als ein entsetzlicher Schlag geschah, wie wenn ein Geschütz losgefeuert würde.|Es mochte wohl schon Mitternacht sein, als ein entsetzlicher Schlag geschah, wie wenn ein Geschütz losgefeuert würde.
sandmann_1_f000148|Das ganze Haus erdröhnte, es rasselte und rauschte bei meiner Türe vorüber, die Haustüre wurde klirrend zugeworfen.|Das ganze Haus erdröhnte, es rasselte und rauschte bei meiner Türe vorüber, die Haustüre wurde klirrend zugeworfen.
sandmann_1_f000149|Das ist Coppelius!|Das ist Coppelius!
sandmann_1_f000150|rief ich entsetzt und sprang aus dem Bette.|rief ich entsetzt und sprang aus dem Bette.
sandmann_1_f000151|Da kreischte es auf in schneidendem trostlosen Jammer, fort stürzte ich nach des Vaters Zimmer, die Türe stand offen, erstickender Dampf quoll mir entgegen, das Dienstmädchen schrie: Ach, der Herr!|Da kreischte es auf in schneidendem trostlosen Jammer, fort stürzte ich nach des Vaters Zimmer, die Türe stand offen, erstickender Dampf quoll mir entgegen, das Dienstmädchen schrie: Ach, der Herr!
sandmann_1_f000152|der Herr! Vor dem dampfenden Herde auf dem Boden lag mein Vater tot mit schwarz verbranntem gräßlich verzerrtem Gesicht, um ihn herum heulten und winselten die Schwestern die Mutter ohnmächtig daneben!|der Herr! Vor dem dampfenden Herde auf dem Boden lag mein Vater tot mit schwarz verbranntem gräßlich verzerrtem Gesicht, um ihn herum heulten und winselten die Schwestern die Mutter ohnmächtig daneben!
sandmann_1_f000153|Coppelius, verruchter Satan, du hast den Vater erschlagen!|Coppelius, verruchter Satan, du hast den Vater erschlagen!
sandmann_1_f000154|So schrie ich auf, mir vergingen die Sinne.|So schrie ich auf, mir vergingen die Sinne.
sandmann_1_f000155|Als man zwei Tage darauf meinen Vater in den Sarg legte, waren seine Gesichtszüge wieder mild und sanft geworden, wie sie im Leben waren.|Als man zwei Tage darauf meinen Vater in den Sarg legte, waren seine Gesichtszüge wieder mild und sanft geworden, wie sie im Leben waren.
sandmann_1_f000156|Tröstend ging es in meiner Seele auf, daß sein Bund mit dem teuflischen Coppelius ihn nicht ins ewige Verderben gestürzt haben könne.|Tröstend ging es in meiner Seele auf, daß sein Bund mit dem teuflischen Coppelius ihn nicht ins ewige Verderben gestürzt haben könne.
sandmann_1_f000157|Die Explosion hatte die Nachbarn geweckt, der Vorfall wurde ruchtbar und kam vor die Obrigkeit, welche den Coppelius zur Verantwortung vorfordern wollte.|Die Explosion hatte die Nachbarn geweckt, der Vorfall wurde ruchtbar und kam vor die Obrigkeit, welche den Coppelius zur Verantwortung vorfordern wollte.
sandmann_1_f000158|Der war aber spurlos vom Orte verschwunden.|Der war aber spurlos vom Orte verschwunden.
sandmann_1_f000159|Wenn ich Dir nun sage, mein herzlieber Freund!|Wenn ich Dir nun sage, mein herzlieber Freund!
sandmann_1_f000160|daß jener Wetterglashändler eben der verruchte Coppelius war, so wirst Du mir es nicht verargen, daß ich die feindliche Erscheinung als schweres Unheil bringend deute.|daß jener Wetterglashändler eben der verruchte Coppelius war, so wirst Du mir es nicht verargen, daß ich die feindliche Erscheinung als schweres Unheil bringend deute.
sandmann_1_f000161|Er war anders gekleidet, aber Coppelius' Figur und Gesichtszüge sind zu tief in mein Innerstes eingeprägt, als daß hier ein Irrtum möglich sein sollte.|Er war anders gekleidet, aber Coppelius' Figur und Gesichtszüge sind zu tief in mein Innerstes eingeprägt, als daß hier ein Irrtum möglich sein sollte.
sandmann_1_f000162|Zudem hat Coppelius nicht einmal seinen Namen geändert.|Zudem hat Coppelius nicht einmal seinen Namen geändert.
sandmann_1_f000163|Er gibt sich hier, wie ich höre, für einen piemontesischen Mechanikus aus, und nennt sich Giuseppe Coppola.|Er gibt sich hier, wie ich höre, für einen piemontesischen Mechanikus aus, und nennt sich Giuseppe Coppola.
sandmann_1_f000164|Ich bin entschlossen es mit ihm aufzunehmen und des Vaters Tod zu rächen, mag es denn nun gehen wie es will.|Ich bin entschlossen es mit ihm aufzunehmen und des Vaters Tod zu rächen, mag es denn nun gehen wie es will.
sandmann_1_f000165|Der Mutter erzähle nichts von dem Erscheinen des gräßlichen Unholds Grüße meine liebe holde Clara, ich schreibe ihr in ruhigerer Gemütsstimmung. Lebe wohl etc. etc.|Der Mutter erzähle nichts von dem Erscheinen des gräßlichen Unholds Grüße meine liebe holde Clara, ich schreibe ihr in ruhigerer Gemütsstimmung. Lebe wohl etc. etc.
sandmann_2_f000001|Clara an Nathanael Wahr ist es, daß Du recht lange mir nicht geschrieben hast, aber dennoch glaube ich, daß Du mich in Sinn und Gedanken trägst.|Clara an Nathanael Wahr ist es, daß Du recht lange mir nicht geschrieben hast, aber dennoch glaube ich, daß Du mich in Sinn und Gedanken trägst.
sandmann_2_f000002|Denn meiner gedachtest Du wohl recht lebhaft, als Du Deinen letzten Brief an Bruder Lothar absenden wolltest und die Aufschrift, statt an ihn an mich richtetest.|Denn meiner gedachtest Du wohl recht lebhaft, als Du Deinen letzten Brief an Bruder Lothar absenden wolltest und die Aufschrift, statt an ihn an mich richtetest.
sandmann_2_f000003|Freudig erbrach ich den Brief und wurde den Irrtum erst bei den Worten inne: Ach mein herzlieber Lothar!|Freudig erbrach ich den Brief und wurde den Irrtum erst bei den Worten inne: Ach mein herzlieber Lothar!
sandmann_2_f000004|Nun hätte ich nicht weiter lesen, sondern den Brief dem Bruder geben sollen.|Nun hätte ich nicht weiter lesen, sondern den Brief dem Bruder geben sollen.
sandmann_2_f000005|Aber, hast Du mir auch sonst manchmal in kindischer Neckerei vorgeworfen, ich hätte solch ruhiges, weiblich besonnenes Gemüt, daß ich wie jene Frau, drohe das Haus den Einsturz,|Aber, hast Du mir auch sonst manchmal in kindischer Neckerei vorgeworfen, ich hätte solch ruhiges, weiblich besonnenes Gemüt, daß ich wie jene Frau, drohe das Haus den Einsturz,
sandmann_2_f000006|noch vor schneller Flucht ganz geschwinde einen falschen Kniff in der Fenstergardine glattstreichen würde,|noch vor schneller Flucht ganz geschwinde einen falschen Kniff in der Fenstergardine glattstreichen würde,
sandmann_2_f000007|so darf ich doch wohl kaum versichern, daß Deines Briefes Anfang mich tief erschütterte.|so darf ich doch wohl kaum versichern, daß Deines Briefes Anfang mich tief erschütterte.
sandmann_2_f000008|Ich konnte kaum atmen, es flimmerte mir vor den Augen.|Ich konnte kaum atmen, es flimmerte mir vor den Augen.
sandmann_2_f000009|Ach, mein herzgeliebter Nathanael! was konnte so Entsetzliches in Dein Leben getreten sein!|Ach, mein herzgeliebter Nathanael! was konnte so Entsetzliches in Dein Leben getreten sein!
sandmann_2_f000010|Trennung von Dir, Dich niemals wiedersehen, der Gedanke durchfuhr meine Brust wie ein glühender Dolchstich.|Trennung von Dir, Dich niemals wiedersehen, der Gedanke durchfuhr meine Brust wie ein glühender Dolchstich.
sandmann_2_f000011|Ich las und las! Deine Schilderung des widerwärtigen Coppelius ist gräßlich.|Ich las und las! Deine Schilderung des widerwärtigen Coppelius ist gräßlich.
sandmann_2_f000012|Erst jetzt vernahm ich, wie Dein guter alter Vater solch entsetzlichen, gewaltsamen Todes starb.|Erst jetzt vernahm ich, wie Dein guter alter Vater solch entsetzlichen, gewaltsamen Todes starb.
sandmann_2_f000013|Bruder Lothar, dem ich sein Eigentum zustellte, suchte mich zu beruhigen, aber es gelang ihm schlecht.|Bruder Lothar, dem ich sein Eigentum zustellte, suchte mich zu beruhigen, aber es gelang ihm schlecht.
sandmann_2_f000014|Der fatale Wetterglashändler Giuseppe Coppola verfolgte mich auf Schritt und Tritt und beinahe schäme ich mich, es zu gestehen, daß er selbst meinen gesunden, sonst so ruhigen Schlaf in allerlei wunderlichen Traumgebilden zerstören konnte.|Der fatale Wetterglashändler Giuseppe Coppola verfolgte mich auf Schritt und Tritt und beinahe schäme ich mich, es zu gestehen, daß er selbst meinen gesunden, sonst so ruhigen Schlaf in allerlei wunderlichen Traumgebilden zerstören konnte.
sandmann_2_f000015|Doch bald, schon den andern Tag, hatte sich alles anders in mir gestaltet.|Doch bald, schon den andern Tag, hatte sich alles anders in mir gestaltet.
sandmann_2_f000016|Sei mir nur nicht böse, mein Inniggeliebter, wenn Lothar Dir etwa sagen möchte, daß ich trotz Deiner seltsamen Ahnung, Coppelius werde Dir etwas Böses antun, ganz heitern unbefangenen Sinnes bin, wie immer.|Sei mir nur nicht böse, mein Inniggeliebter, wenn Lothar Dir etwa sagen möchte, daß ich trotz Deiner seltsamen Ahnung, Coppelius werde Dir etwas Böses antun, ganz heitern unbefangenen Sinnes bin, wie immer.
sandmann_2_f000017|Geradeheraus will ich es Dir nur gestehen, daß, wie ich meine, alles Entsetzliche und Schreckliche, wovon Du sprichst, nur in Deinem Innern vorging, die wahre wirkliche Außenwelt aber daran wohl wenig teilhatte.|Geradeheraus will ich es Dir nur gestehen, daß, wie ich meine, alles Entsetzliche und Schreckliche, wovon Du sprichst, nur in Deinem Innern vorging, die wahre wirkliche Außenwelt aber daran wohl wenig teilhatte.
sandmann_2_f000018|Widerwärtig genug mag der alte Coppelius gewesen sein, aber daß er Kinder haßte, das brachte in Euch Kindern wahren Abscheu gegen ihn hervor.|Widerwärtig genug mag der alte Coppelius gewesen sein, aber daß er Kinder haßte, das brachte in Euch Kindern wahren Abscheu gegen ihn hervor.
sandmann_2_f000019|Natürlich verknüpfte sich nun in Deinem kindischen Gemüt der schreckliche Sandmann aus dem Ammenmärchen mit dem alten Coppelius, der Dir, glaubtest Du auch nicht an den Sandmann, ein gespenstischer, Kindern vorzüglich gefährlicher, Unhold blieb.|Natürlich verknüpfte sich nun in Deinem kindischen Gemüt der schreckliche Sandmann aus dem Ammenmärchen mit dem alten Coppelius, der Dir, glaubtest Du auch nicht an den Sandmann, ein gespenstischer, Kindern vorzüglich gefährlicher, Unhold blieb.
sandmann_2_f000020|Das unheimliche Treiben mit Deinem Vater zur Nachtzeit war wohl nichts anders, als daß beide insgeheim alchymistische Versuche machten, womit die Mutter nicht zufrieden sein konnte, da gewiß viel Geld unnütz verschleudert und obendrein,|Das unheimliche Treiben mit Deinem Vater zur Nachtzeit war wohl nichts anders, als daß beide insgeheim alchymistische Versuche machten, womit die Mutter nicht zufrieden sein konnte, da gewiß viel Geld unnütz verschleudert und obendrein,
sandmann_2_f000021|wie es immer mit solchen Laboranten der Fall sein soll, des Vaters Gemüt ganz von dem trügerischen Drange nach hoher Weisheit erfüllt, der Familie abwendig gemacht wurde.|wie es immer mit solchen Laboranten der Fall sein soll, des Vaters Gemüt ganz von dem trügerischen Drange nach hoher Weisheit erfüllt, der Familie abwendig gemacht wurde.
sandmann_2_f000022|Der Vater hat wohl gewiß durch eigne Unvorsichtigkeit seinen Tod herbeigeführt, und Coppelius ist nicht schuld daran: Glaubst Du, daß ich den erfahrnen Nachbar Apotheker gestern frug,|Der Vater hat wohl gewiß durch eigne Unvorsichtigkeit seinen Tod herbeigeführt, und Coppelius ist nicht schuld daran: Glaubst Du, daß ich den erfahrnen Nachbar Apotheker gestern frug,
sandmann_2_f000023|ob wohl bei chemischen Versuchen eine solche augenblicklich tötende Explosion möglich sei?|ob wohl bei chemischen Versuchen eine solche augenblicklich tötende Explosion möglich sei?
sandmann_2_f000024|Der sagte: Ei allerdings und beschrieb mir nach seiner Art gar weitläufig und umständlich, wie das zugehen könne, und nannte dabei so viel sonderbar klingende Namen, die ich gar nicht zu behalten vermochte.|Der sagte: Ei allerdings und beschrieb mir nach seiner Art gar weitläufig und umständlich, wie das zugehen könne, und nannte dabei so viel sonderbar klingende Namen, die ich gar nicht zu behalten vermochte.
sandmann_2_f000025|Nun wirst Du wohl unwillig werden über Deine Clara, Du wirst sagen: In dies kalte Gemüt dringt kein Strahl des Geheimnisvollen, das den Menschen oft mit unsichtbaren Armen umfaßt; sie erschaut nur die bunte Oberfläche der Welt und freut sich,|Nun wirst Du wohl unwillig werden über Deine Clara, Du wirst sagen: In dies kalte Gemüt dringt kein Strahl des Geheimnisvollen, das den Menschen oft mit unsichtbaren Armen umfaßt; sie erschaut nur die bunte Oberfläche der Welt und freut sich,
sandmann_2_f000026|wie das kindische Kind über die goldgleißende Frucht, in deren Innern tödliches Gift verborgen.|wie das kindische Kind über die goldgleißende Frucht, in deren Innern tödliches Gift verborgen.
sandmann_2_f000027|Ach mein herzgeliebter Nathanael! glaubst Du denn nicht, daß auch in heitern unbefangenen sorglosen Gemütern die Ahnung wohnen könne von einer dunklen Macht, die feindlich uns in unserm eignen Selbst zu verderben strebt?|Ach mein herzgeliebter Nathanael! glaubst Du denn nicht, daß auch in heitern unbefangenen sorglosen Gemütern die Ahnung wohnen könne von einer dunklen Macht, die feindlich uns in unserm eignen Selbst zu verderben strebt?
sandmann_2_f000028|Aber verzeih es mir, wenn ich einfältig Mädchen mich unterfange, auf irgend eine Weise Dir anzudeuten, was ich eigentlich von solchem Kampfe im Innern glaube.|Aber verzeih es mir, wenn ich einfältig Mädchen mich unterfange, auf irgend eine Weise Dir anzudeuten, was ich eigentlich von solchem Kampfe im Innern glaube.
sandmann_2_f000029|Ich finde wohl gar am Ende nicht die rechten Worte und Du lachst mich aus, nicht, weil ich was Dummes meine, sondern weil ich mich so ungeschickt anstelle, es zu sagen.|Ich finde wohl gar am Ende nicht die rechten Worte und Du lachst mich aus, nicht, weil ich was Dummes meine, sondern weil ich mich so ungeschickt anstelle, es zu sagen.
sandmann_2_f000030|Gibt es eine dunkle Macht, die so recht feindlich und verräterisch einen Faden in unser Inneres legt, woran sie uns dann festpackt und fortzieht auf einem gefahrvollen verderblichen Wege,|Gibt es eine dunkle Macht, die so recht feindlich und verräterisch einen Faden in unser Inneres legt, woran sie uns dann festpackt und fortzieht auf einem gefahrvollen verderblichen Wege,
sandmann_2_f000031|den wir sonst nicht betreten haben würden gibt es eine solche Macht, so muß sie in uns sich, wie wir selbst gestalten, ja unser Selbst werden;|den wir sonst nicht betreten haben würden gibt es eine solche Macht, so muß sie in uns sich, wie wir selbst gestalten, ja unser Selbst werden;
sandmann_2_f000032|denn nur so glauben wir an sie und räumen ihr den Platz ein, dessen sie bedarf, um jenes geheime Werk zu vollbringen.|denn nur so glauben wir an sie und räumen ihr den Platz ein, dessen sie bedarf, um jenes geheime Werk zu vollbringen.
sandmann_2_f000033|Haben wir festen, durch das heitre Leben gestärkten, Sinn genug, um fremdes feindliches Einwirken als solches stets zu erkennen und den Weg, in den uns Neigung und Beruf geschoben, ruhigen Schrittes zu verfolgen,|Haben wir festen, durch das heitre Leben gestärkten, Sinn genug, um fremdes feindliches Einwirken als solches stets zu erkennen und den Weg, in den uns Neigung und Beruf geschoben, ruhigen Schrittes zu verfolgen,
sandmann_2_f000034|so geht wohl jene unheimliche Macht unter in dem vergeblichen Ringen nach der Gestaltung, die unser eignes Spiegelbild sein sollte.|so geht wohl jene unheimliche Macht unter in dem vergeblichen Ringen nach der Gestaltung, die unser eignes Spiegelbild sein sollte.
sandmann_2_f000035|Es ist auch gewiß, fügt Lothar hinzu, daß die dunkle psychische Macht, haben wir uns durch uns selbst ihr hingegeben, oft fremde Gestalten, die die Außenwelt uns in den Weg wirft, in unser Inneres hineinzieht,|Es ist auch gewiß, fügt Lothar hinzu, daß die dunkle psychische Macht, haben wir uns durch uns selbst ihr hingegeben, oft fremde Gestalten, die die Außenwelt uns in den Weg wirft, in unser Inneres hineinzieht,
sandmann_2_f000036|so, daß wir selbst nur den Geist entzünden, der, wie wir in wunderlicher Täuschung glauben, aus jener Gestalt spricht.|so, daß wir selbst nur den Geist entzünden, der, wie wir in wunderlicher Täuschung glauben, aus jener Gestalt spricht.
sandmann_2_f000037|Es ist das Phantom unseres eigenen Ichs, dessen innige Verwandtschaft und dessen tiefe Einwirkung auf unser Gemüt uns in die Hölle wirft, oder in den Himmel verzückt.|Es ist das Phantom unseres eigenen Ichs, dessen innige Verwandtschaft und dessen tiefe Einwirkung auf unser Gemüt uns in die Hölle wirft, oder in den Himmel verzückt.
sandmann_2_f000038|Du merkst, mein herzlieber Nathanael!|Du merkst, mein herzlieber Nathanael!
sandmann_2_f000039|daß wir, ich und Bruder Lothar uns recht über die Materie von dunklen Mächten und Gewalten ausgesprochen haben, die mir nun, nachdem ich nicht ohne Mühe das Hauptsächlichste aufgeschrieben, ordentlich tiefsinnig vorkommt.|daß wir, ich und Bruder Lothar uns recht über die Materie von dunklen Mächten und Gewalten ausgesprochen haben, die mir nun, nachdem ich nicht ohne Mühe das Hauptsächlichste aufgeschrieben, ordentlich tiefsinnig vorkommt.
sandmann_2_f000040|Lothars letzte Worte verstehe ich nicht ganz, ich ahne nur, was er meint, und doch ist es mir, als sei alles sehr wahr.|Lothars letzte Worte verstehe ich nicht ganz, ich ahne nur, was er meint, und doch ist es mir, als sei alles sehr wahr.
sandmann_2_f000041|Ich bitte Dich, schlage Dir den häßlichen Advokaten Coppelius und den Wetterglasmann Giuseppe Coppola ganz aus dem Sinn.|Ich bitte Dich, schlage Dir den häßlichen Advokaten Coppelius und den Wetterglasmann Giuseppe Coppola ganz aus dem Sinn.
sandmann_2_f000042|Sei überzeugt, daß diese fremden Gestalten nichts über Dich vermögen; nur der Glaube an ihre feindliche Gewalt kann sie Dir in der Tat feindlich machen.|Sei überzeugt, daß diese fremden Gestalten nichts über Dich vermögen; nur der Glaube an ihre feindliche Gewalt kann sie Dir in der Tat feindlich machen.
sandmann_2_f000043|Spräche nicht aus jeder Zeile Deines Briefes die tiefste Aufregung Deines Gemüts, schmerzte mich nicht Dein Zustand recht in innerster Seele, wahrhaftig, ich könnte über den Advokaten Sandmann und den Wetterglashändler Coppelius scherzen.|Spräche nicht aus jeder Zeile Deines Briefes die tiefste Aufregung Deines Gemüts, schmerzte mich nicht Dein Zustand recht in innerster Seele, wahrhaftig, ich könnte über den Advokaten Sandmann und den Wetterglashändler Coppelius scherzen.
sandmann_2_f000044|Sei heiter heiter!|Sei heiter heiter!
sandmann_2_f000045|Ich habe mir vorgenommen, bei Dir zu erscheinen, wie Dein Schutzgeist, und den häßlichen Coppola, sollte er es sich etwa beikommen lassen, Dir im Traum beschwerlich zu fallen, mit lautem Lachen fortzubannen.|Ich habe mir vorgenommen, bei Dir zu erscheinen, wie Dein Schutzgeist, und den häßlichen Coppola, sollte er es sich etwa beikommen lassen, Dir im Traum beschwerlich zu fallen, mit lautem Lachen fortzubannen.
sandmann_2_f000046|Ganz und gar nicht fürchte ich mich vor ihm und vor seinen garstigen Fäusten, er soll mir weder als Advokat eine Näscherei, noch als Sandmann die Augen verderben.|Ganz und gar nicht fürchte ich mich vor ihm und vor seinen garstigen Fäusten, er soll mir weder als Advokat eine Näscherei, noch als Sandmann die Augen verderben.
sandmann_2_f000047|Ewig, mein herzinnigstgeliebter Nathanael etc. etc. etc.|Ewig, mein herzinnigstgeliebter Nathanael etc. etc. etc.
sandmann_3_f000001|Nathanael an Lothar Sehr unlieb ist es mir, daß Clara neulich den Brief an Dich aus, freilich durch meine Zerstreutheit veranlagtem, Irrtum erbrach und las.|Nathanael an Lothar Sehr unlieb ist es mir, daß Clara neulich den Brief an Dich aus, freilich durch meine Zerstreutheit veranlagtem, Irrtum erbrach und las.
sandmann_3_f000002|Sie hat mir einen sehr tiefsinnigen philosophischen Brief geschrieben, worin sie ausführlich beweiset, daß Coppelius und Coppola nur in meinem Innern existieren und Phantome meines Ichs sind, die augenblicklich zerstäuben, wenn ich sie als solche erkenne.|Sie hat mir einen sehr tiefsinnigen philosophischen Brief geschrieben, worin sie ausführlich beweiset, daß Coppelius und Coppola nur in meinem Innern existieren und Phantome meines Ichs sind, die augenblicklich zerstäuben, wenn ich sie als solche erkenne.
sandmann_3_f000003|In der Tat, man sollte gar nicht glauben, daß der Geist, der aus solch hellen holdlächelnden Kindesaugen, oft wie ein lieblicher süßer Traum, hervorleuchtet, so gar verständig, so magistermäßig distinguieren könne.|In der Tat, man sollte gar nicht glauben, daß der Geist, der aus solch hellen holdlächelnden Kindesaugen, oft wie ein lieblicher süßer Traum, hervorleuchtet, so gar verständig, so magistermäßig distinguieren könne.
sandmann_3_f000004|Sie beruft sich auf Dich.|Sie beruft sich auf Dich.
