odysseus_01_f000001|Erster Abend.|Erster Abend.
odysseus_06_f000041|Alles lauschte begeistert den Klängen, die tief in jedem Griechenherzen widerhallten.|Alles lauschte begeistert den Klängen, die tief in jedem Griechenherzen widerhallten.
odysseus_06_f000042|Da wandte sich sein Gesang, und nun pries er den Streit der beiden siegreichsten Führer, deren Ruhm vor allen leuchtete, des Achilleus und des Odysseus.|Da wandte sich sein Gesang, und nun pries er den Streit der beiden siegreichsten Führer, deren Ruhm vor allen leuchtete, des Achilleus und des Odysseus.
odysseus_06_f000043|Das traf unsern Helden wie Schwertstreich.|Das traf unsern Helden wie Schwertstreich.
odysseus_06_f000044|Die Erinnerung riß alle Wunden seines Herzens wieder auf; er zog den Mantel über das Haupt und verbarg sein Gesicht, damit die Phäaken seine Thränen nicht sahen.|Die Erinnerung riß alle Wunden seines Herzens wieder auf; er zog den Mantel über das Haupt und verbarg sein Gesicht, damit die Phäaken seine Thränen nicht sahen.
odysseus_06_f000045|Erst als der Sänger schwieg, trocknete er sich schnell die Augen und nahm den Mantel von seinem Haupte.|Erst als der Sänger schwieg, trocknete er sich schnell die Augen und nahm den Mantel von seinem Haupte.
odysseus_06_f000046|Aber sobald der Sänger wieder anhub, stürzten auch die Thränen wieder hervor, und seiner selber kaum mächtig, seufzte Odysseus tief auf.|Aber sobald der Sänger wieder anhub, stürzten auch die Thränen wieder hervor, und seiner selber kaum mächtig, seufzte Odysseus tief auf.
odysseus_06_f000047|Das hörte Alkinoos, der ihm zunächst saß, aber schonend, als merke eres nicht, sprach er bei der nächsten Pause des Sängers zu seinen Gästen: Hört, Freunde, ich denke, jetzt hat Mahl und Gesang uns alle sattsam erfreuet.|Das hörte Alkinoos, der ihm zunächst saß, aber schonend, als merke eres nicht, sprach er bei der nächsten Pause des Sängers zu seinen Gästen: Hört, Freunde, ich denke, jetzt hat Mahl und Gesang uns alle sattsam erfreuet.
odysseus_06_f000048|Laßt uns nun hinaus gehen und Kampfspiele versuchen, damit unser Gast auch darin die Geschicklichkeit der Phäaken erkenne und seinen Freunden zu Hause davon erzähle.|Laßt uns nun hinaus gehen und Kampfspiele versuchen, damit unser Gast auch darin die Geschicklichkeit der Phäaken erkenne und seinen Freunden zu Hause davon erzähle.
odysseus_06_f000049|Sogleich standen die Schmausenden alle auf und folgten dem Könige hinaus.|Sogleich standen die Schmausenden alle auf und folgten dem Könige hinaus.
odysseus_06_f000050|Auch der blinde Sänger ging mit, nachdem ein treuer Diener ihm seine Phorminx abgenommen und sie an den Nagel gehängt, ihn selbst aber bei der Hand gefaßt hatte.|Auch der blinde Sänger ging mit, nachdem ein treuer Diener ihm seine Phorminx abgenommen und sie an den Nagel gehängt, ihn selbst aber bei der Hand gefaßt hatte.
odysseus_06_f000051|Der Markt füllte sich wieder mit neuem Getümmel, die Fürsten setzten sich, rings umher stand das Volk, und die Jünglinge, welche ihre Kunst im Ringen, im Faustkampf, im Laufen und Werfen zeigen wollten, traten in den weiten Kreis hervor.|Der Markt füllte sich wieder mit neuem Getümmel, die Fürsten setzten sich, rings umher stand das Volk, und die Jünglinge, welche ihre Kunst im Ringen, im Faustkampf, im Laufen und Werfen zeigen wollten, traten in den weiten Kreis hervor.
odysseus_06_f000052|Zuerst versuchten sich drei Söhne des Königs, Laodamas, Halios und Klytoneos, im Wettlauf, von denen der letztere den Preis davon trug.|Zuerst versuchten sich drei Söhne des Königs, Laodamas, Halios und Klytoneos, im Wettlauf, von denen der letztere den Preis davon trug.
odysseus_06_f000053|Dann traten die starken Ringer auf, unter denen der tapfere Euryalos alle besiegte.|Dann traten die starken Ringer auf, unter denen der tapfere Euryalos alle besiegte.
odysseus_06_f000054|Hierauf ließen sich die Springer sehen, auf welche die Scheibenwerfer folgten.|Hierauf ließen sich die Springer sehen, auf welche die Scheibenwerfer folgten.
odysseus_06_f000055|Den Beschluß machten die Faustkämpfer, und in diesem gefährlichen Spiele behielt der schöne Laodamas die Oberhand.|Den Beschluß machten die Faustkämpfer, und in diesem gefährlichen Spiele behielt der schöne Laodamas die Oberhand.
odysseus_06_f000056|Hört, Freunde, rief hierauf der junge mutige Mann, wir wollen doch unsern Gast fragen, ob er nicht auch in Kämpfen geübt ist.|Hört, Freunde, rief hierauf der junge mutige Mann, wir wollen doch unsern Gast fragen, ob er nicht auch in Kämpfen geübt ist.
odysseus_06_f000057|Wahrlich! seine Gestalt ist edel; seht nur die hohe Brust, die Schenkel, die Arme und den starken sehnigen Nacken!|Wahrlich! seine Gestalt ist edel; seht nur die hohe Brust, die Schenkel, die Arme und den starken sehnigen Nacken!
odysseus_06_f000058|Auch sein Wuchs verrät einen tüchtigen Mann, und alt ist er auch noch nicht.|Auch sein Wuchs verrät einen tüchtigen Mann, und alt ist er auch noch nicht.
odysseus_06_f000059|Das Unglück hat ihn nur so mitgenommen; denn wahrhaftig, ich kenne nichts, was einen Mann mürber zu machen im stände wäre, als das heillose Meerwasser, wenn einer auch noch so stark ist.|Das Unglück hat ihn nur so mitgenommen; denn wahrhaftig, ich kenne nichts, was einen Mann mürber zu machen im stände wäre, als das heillose Meerwasser, wenn einer auch noch so stark ist.
odysseus_06_f000060|Schön, erwiderte Euryalos, der Ringer; das ist ein guter Einfall!|Schön, erwiderte Euryalos, der Ringer; das ist ein guter Einfall!
odysseus_06_f000061|Geh nur hin zu dem Manne und fordere ihn auf.|Geh nur hin zu dem Manne und fordere ihn auf.
odysseus_06_f000062|Laodamas ging hin und forderte den Odysseus auf.|Laodamas ging hin und forderte den Odysseus auf.
odysseus_06_f000063|Aber dieser lehnte es ab.|Aber dieser lehnte es ab.
odysseus_06_f000064|Ach, sagte er, mein Unglück liegt mir jetzt näher am Herzen als Kämpfe, und ich habe keinen andern Gedanken, als wie ich recht bald nach Hause kommen möchte.|Ach, sagte er, mein Unglück liegt mir jetzt näher am Herzen als Kämpfe, und ich habe keinen andern Gedanken, als wie ich recht bald nach Hause kommen möchte.
odysseus_06_f000065|Ihr wißt nicht, was ich alles erduldet habe und wie tief Trübsal mich beugt.|Ihr wißt nicht, was ich alles erduldet habe und wie tief Trübsal mich beugt.
odysseus_06_f000066|Schon gut, mein Freund!|Schon gut, mein Freund!
odysseus_06_f000067|rief höhnisch der vorschnelle Euryalos, Man sieht wohl, daß du dich auf so etwas nicht verstehst.|rief höhnisch der vorschnelle Euryalos, Man sieht wohl, daß du dich auf so etwas nicht verstehst.
odysseus_06_f000068|Ein Kämpfer bist du nicht, aber vielleicht ein Aufseher auf einem Kaufmannsschiffe, der die Ladung besorgt, die Waren bewacht und die Gewinne berechnet; nicht wahr?|Ein Kämpfer bist du nicht, aber vielleicht ein Aufseher auf einem Kaufmannsschiffe, der die Ladung besorgt, die Waren bewacht und die Gewinne berechnet; nicht wahr?
odysseus_06_f000069|ha ha ha! Ei, erwiderte mit finsterem Blick der edle Odysseus, nicht fein war die Rede.|ha ha ha! Ei, erwiderte mit finsterem Blick der edle Odysseus, nicht fein war die Rede.
odysseus_06_f000070|Du scheinst mir ein übermütiger Gesell.|Du scheinst mir ein übermütiger Gesell.
odysseus_06_f000071|Man sieht doch recht, wie verschieden die Götter ihre Gaben austeilen.|Man sieht doch recht, wie verschieden die Götter ihre Gaben austeilen.
odysseus_06_f000072|Mancher Mann von unansehnlicher Gestalt ragt oft durch seinen Verstand hervor, und wenn er redet, erstaunt die Versammlung über seine treffenden Worte.|Mancher Mann von unansehnlicher Gestalt ragt oft durch seinen Verstand hervor, und wenn er redet, erstaunt die Versammlung über seine treffenden Worte.
odysseus_06_f000073|Ein anderer dagegen von götterähnlichem Wuchs weiß oft nicht ein verständiges Wort herauszubringen.|Ein anderer dagegen von götterähnlichem Wuchs weiß oft nicht ein verständiges Wort herauszubringen.
odysseus_06_f000074|Sieh, so ist es mit dir bestellt.|Sieh, so ist es mit dir bestellt.
odysseus_06_f000075|Du bist von trefflicher Schönheit, aber dein Witz will nicht viel sagen.|Du bist von trefflicher Schönheit, aber dein Witz will nicht viel sagen.
odysseus_06_f000076|Wahrlich wärst du nicht solch ein junger Thor, du hättest mich empört mit deiner unziemlichen Rede!|Wahrlich wärst du nicht solch ein junger Thor, du hättest mich empört mit deiner unziemlichen Rede!
odysseus_06_f000077|Nein, glaube mir, ich bin kein Neuling im Wettkampfe; ich habe mich mit den Tapfersten gemessen, als ich noch jung war und Gram mich nicht niederbeugte.|Nein, glaube mir, ich bin kein Neuling im Wettkampfe; ich habe mich mit den Tapfersten gemessen, als ich noch jung war und Gram mich nicht niederbeugte.
odysseus_06_f000078|Denn ich habe erduldet, was nur ein Mensch erdulden kann, im Kampf der Feldschlacht wie in Sturm der Meereswogen.|Denn ich habe erduldet, was nur ein Mensch erdulden kann, im Kampf der Feldschlacht wie in Sturm der Meereswogen.
odysseus_06_f000079|Aber wahrlich, so entkräftet ich auch bin, ich versuche den Wettkampf, zu dem du mich gefordert hast!|Aber wahrlich, so entkräftet ich auch bin, ich versuche den Wettkampf, zu dem du mich gefordert hast!
odysseus_06_f000080|Gebt her die Scheibe!|Gebt her die Scheibe!
odysseus_06_f000081|Er nahm die schwerste der metallenen Wurfscheiben, welche da lagen, schwang sie am Riemen ein paarmal im Wirbel herum, und nun schleuderte er sie hoch in die Luft, daß sie weit, weit hinter den Scheiben der andern niederfiel.|Er nahm die schwerste der metallenen Wurfscheiben, welche da lagen, schwang sie am Riemen ein paarmal im Wirbel herum, und nun schleuderte er sie hoch in die Luft, daß sie weit, weit hinter den Scheiben der andern niederfiel.
odysseus_06_f000082|Da lief einer der Zuschauer hin und steckte an dem Orte, wo die Scheibe liegen geblieben war, einen Pfahl zum Zeichen ein, und als er wieder zurückkam, rief er laut:|Da lief einer der Zuschauer hin und steckte an dem Orte, wo die Scheibe liegen geblieben war, einen Pfahl zum Zeichen ein, und als er wieder zurückkam, rief er laut:
odysseus_06_f000083|Das Mal findet wohl ein Blinder heraus im Tappen, so weit hat es die andern hinter sich gelassen.|Das Mal findet wohl ein Blinder heraus im Tappen, so weit hat es die andern hinter sich gelassen.
odysseus_06_f000084|In dieser Kampfart kannst du sicher sein, fremder Mann, in dem Wurfe wird dires hier keiner gleich thun!|In dieser Kampfart kannst du sicher sein, fremder Mann, in dem Wurfe wird dires hier keiner gleich thun!
odysseus_06_f000085|Nun, rief Odysseus, schleudert mir doch nach, ihr Jünglinge!|Nun, rief Odysseus, schleudert mir doch nach, ihr Jünglinge!
odysseus_06_f000086|Und hat nun jemand noch Lust etwas anderes mit mir zu versuchen seies mit der Faust, im Ringen oder im Laufen der komme her und wage es einmal; denn ihr habt mich höchlich beleidigt.|Und hat nun jemand noch Lust etwas anderes mit mir zu versuchen seies mit der Faust, im Ringen oder im Laufen der komme her und wage es einmal; denn ihr habt mich höchlich beleidigt.
odysseus_06_f000087|Wohlan, ihr Phäaken, trete her, wer da will; ich stehe bereit zu allem.|Wohlan, ihr Phäaken, trete her, wer da will; ich stehe bereit zu allem.
odysseus_06_f000088|Seies wer es sei, nur Alkinoos nicht; er ist mein Wirt, und ungezogen ist es zum Kampfe den Gastfreund herauszufordern, der uns speiset und beherbergt.|Seies wer es sei, nur Alkinoos nicht; er ist mein Wirt, und ungezogen ist es zum Kampfe den Gastfreund herauszufordern, der uns speiset und beherbergt.
odysseus_06_f000089|Aber sonst verschmähe ich keinen der andern, und wahrlich mit der Furcht hates gar keine Not.|Aber sonst verschmähe ich keinen der andern, und wahrlich mit der Furcht hates gar keine Not.
odysseus_06_f000090|Ich will mich mit jedem versuchen im Wettstreit.|Ich will mich mit jedem versuchen im Wettstreit.
odysseus_06_f000091|In keinem Kampf der Männer bin ich unerfahren, und im Bogen spannen suche ich meinen Meister.|In keinem Kampf der Männer bin ich unerfahren, und im Bogen spannen suche ich meinen Meister.
odysseus_06_f000092|Mitten aus der Schar der Feinde erziele ich meinen Mann, und er fällt gewiß.|Mitten aus der Schar der Feinde erziele ich meinen Mann, und er fällt gewiß.
odysseus_06_f000093|Ein Einziger nur hat mich darin übertroffen, als wir vor Troja lagen, Philoktet; aber unter allen andern Schützen behauptete ich den Vorrang.|Ein Einziger nur hat mich darin übertroffen, als wir vor Troja lagen, Philoktet; aber unter allen andern Schützen behauptete ich den Vorrang.
odysseus_06_f000094|Auch mit dem Wurfspieße treffe ich, so weit kein anderer mit dem Pfeile reicht.|Auch mit dem Wurfspieße treffe ich, so weit kein anderer mit dem Pfeile reicht.
odysseus_06_f000095|Nur im Laufen könnte vielleicht einer von euch mires zuvorthun, denn das stürmende Meer und die lange Entbehrung haben mich über die Maßen entkräftet.|Nur im Laufen könnte vielleicht einer von euch mires zuvorthun, denn das stürmende Meer und die lange Entbehrung haben mich über die Maßen entkräftet.
odysseus_06_f000096|Jetzt schwiegen die Phäaken alle; keiner getrauete sich mehr den Helden herauszufordern.|Jetzt schwiegen die Phäaken alle; keiner getrauete sich mehr den Helden herauszufordern.
odysseus_06_f000097|Da nahm der König das Wort und sprach: Lieber Fremdling, wir glauben deinen Worten; denn nicht aus Prahlsucht rühmst du dich, sondern weil der junge Mensch dort dich wirklich bitter gekränkt hat.|Da nahm der König das Wort und sprach: Lieber Fremdling, wir glauben deinen Worten; denn nicht aus Prahlsucht rühmst du dich, sondern weil der junge Mensch dort dich wirklich bitter gekränkt hat.
odysseus_06_f000098|Damit du indes zu Hause doch alles Gute von uns erzählen könntest, so höre mich an.|Damit du indes zu Hause doch alles Gute von uns erzählen könntest, so höre mich an.
odysseus_06_f000099|Nicht Kämpfen und Ringen ist unser Stolz, aber das hat uns Zeus vor allen Völkern gegeben, rasch im Wettlauf und Meister der Schiffahrt zu sein.|Nicht Kämpfen und Ringen ist unser Stolz, aber das hat uns Zeus vor allen Völkern gegeben, rasch im Wettlauf und Meister der Schiffahrt zu sein.
odysseus_06_f000100|Auch lieben wir immerwährenden Schmaus und Saitenspiel und Tanz, schöne Kleider und warme Bäder.|Auch lieben wir immerwährenden Schmaus und Saitenspiel und Tanz, schöne Kleider und warme Bäder.
odysseus_06_f000101|Wohlan denn, ihr phäakischen Tänzer, zeigt eure Künste, damit der Fremdling daheim sie verkünde.|Wohlan denn, ihr phäakischen Tänzer, zeigt eure Künste, damit der Fremdling daheim sie verkünde.
odysseus_06_f000102|Hole doch einer des Demodokos Phorminx herbei, die noch in dem Saale hängt.|Hole doch einer des Demodokos Phorminx herbei, die noch in dem Saale hängt.
odysseus_06_f000103|Sogleich eilte ein Herold hin und holte die Phorminx.|Sogleich eilte ein Herold hin und holte die Phorminx.
odysseus_06_f000104|Die jungen Tänzer stellten sich in Ordnung und begannen mit Schwung und Sprung den künstlich gemessenen Tanz.|Die jungen Tänzer stellten sich in Ordnung und begannen mit Schwung und Sprung den künstlich gemessenen Tanz.
odysseus_06_f000105|Odysseus bewunderte ihre flügelschnellen Füße; er hatte so etwas noch nie gesehen.|Odysseus bewunderte ihre flügelschnellen Füße; er hatte so etwas noch nie gesehen.
odysseus_06_f000106|Lieblich begleitete die Musik die Bewegung der Tänzer, und rasch stimmte noch der alte Sänger ein lustiges Lied an, welches alle Zuhörer zu lautem Gelächter zwang.|Lieblich begleitete die Musik die Bewegung der Tänzer, und rasch stimmte noch der alte Sänger ein lustiges Lied an, welches alle Zuhörer zu lautem Gelächter zwang.
odysseus_06_f000107|Als der Chortanz der Jünglinge eine Weile gedauert hatte, traten des Königs Söhne, Laodamas und Halios, einzeln hervor und erregten allgemeines Staunen.|Als der Chortanz der Jünglinge eine Weile gedauert hatte, traten des Königs Söhne, Laodamas und Halios, einzeln hervor und erregten allgemeines Staunen.
odysseus_06_f000108|Einer warf einen wollenen Ball beinahe bis in die Wolken, und der andere fing ihn im Sprunge auf, so daß der Ball in seine Hand fiel, ehe des Tänzers Fuß noch die Erde berührte.|Einer warf einen wollenen Ball beinahe bis in die Wolken, und der andere fing ihn im Sprunge auf, so daß der Ball in seine Hand fiel, ehe des Tänzers Fuß noch die Erde berührte.
odysseus_06_f000109|Dann schwangen beide sich in mannigfaltigen nachahmenden Stellungen, und die Jünglinge rings umher klatschten mit den Händen dazu und erhoben freudigen Zuruf.|Dann schwangen beide sich in mannigfaltigen nachahmenden Stellungen, und die Jünglinge rings umher klatschten mit den Händen dazu und erhoben freudigen Zuruf.
odysseus_06_f000110|Odysseus ergötzte sich sehr an den künstlichen Formen und Stellungen und machte dem Alkinoos darüber Lobsprüche, die den alten Mann in der Seele freuten.|Odysseus ergötzte sich sehr an den künstlichen Formen und Stellungen und machte dem Alkinoos darüber Lobsprüche, die den alten Mann in der Seele freuten.
odysseus_06_f000111|Er wollte nun einmal den Fremden recht glänzend entlassen, und darum schlug er jetzt in der Versammlung vor, jeder der zwölf phäakischen Fürsten solle dem Gaste ein Geschenk an Golde und ein schön gewirktes Ober- und Unterkleid geben,|Er wollte nun einmal den Fremden recht glänzend entlassen, und darum schlug er jetzt in der Versammlung vor, jeder der zwölf phäakischen Fürsten solle dem Gaste ein Geschenk an Golde und ein schön gewirktes Ober- und Unterkleid geben,
odysseus_06_f000112|dazu wolle er selbst noch ein Übriges thun; so wolle man ihn fortsenden.|dazu wolle er selbst noch ein Übriges thun; so wolle man ihn fortsenden.
odysseus_06_f000113|Auch müsse noch der vorlaute Euryalos dem beleidigten Manne seine Schmähung abbitten und ihm ein Versöhnungsgeschenk reichen.|Auch müsse noch der vorlaute Euryalos dem beleidigten Manne seine Schmähung abbitten und ihm ein Versöhnungsgeschenk reichen.
odysseus_06_f000114|Alle stimmten dem Könige bei, und jeder schickte einen Herold nach Hause, um das Geschenk herbeizuholen.|Alle stimmten dem Könige bei, und jeder schickte einen Herold nach Hause, um das Geschenk herbeizuholen.
odysseus_06_f000115|Und jetzt stand auch, zu seiner großen Ehre, der unbesonnene Jüngling auf und sprach: Alkinoos, mächtigster König, ja, ich habe mich an dem Fremdlinge vergangen, aber ich will ihn gern besänftigen, wie du gebietest.|Und jetzt stand auch, zu seiner großen Ehre, der unbesonnene Jüngling auf und sprach: Alkinoos, mächtigster König, ja, ich habe mich an dem Fremdlinge vergangen, aber ich will ihn gern besänftigen, wie du gebietest.
odysseus_06_f000116|Siehe dies eherne Schwert will ich ihm schenken; es ist noch neu, das Heft ist von Silber und die Scheide von glänzendem Elfenbein.|Siehe dies eherne Schwert will ich ihm schenken; es ist noch neu, das Heft ist von Silber und die Scheide von glänzendem Elfenbein.
odysseus_06_f000117|Gewiß, das wird ihm lieb sein.|Gewiß, das wird ihm lieb sein.
odysseus_06_f000118|Er trat mit dem Schwerte vor Odysseus hin und sprach beschämt mit niedergesenkten Augen: Heil dir, fremder Mann; ist hier ein kränkendes Wort gefallen, so mögen es schnell die Winde verwehen.|Er trat mit dem Schwerte vor Odysseus hin und sprach beschämt mit niedergesenkten Augen: Heil dir, fremder Mann; ist hier ein kränkendes Wort gefallen, so mögen es schnell die Winde verwehen.
odysseus_06_f000119|Dir aber wollen die Götter verleihen bald dein Haus und die Deinen wieder zu sehen, nachdem du so lange fern von der Heimat dich abgehärmt.|Dir aber wollen die Götter verleihen bald dein Haus und die Deinen wieder zu sehen, nachdem du so lange fern von der Heimat dich abgehärmt.
odysseus_06_f000120|Lieber, erwiderte Odysseus, auch dir werde herzliche Freude und Heil von den Göttern.|Lieber, erwiderte Odysseus, auch dir werde herzliche Freude und Heil von den Göttern.
odysseus_06_f000121|Möge dir dein Geschenk nicht wieder leid werden, womit du mich hast versöhnen wollen.|Möge dir dein Geschenk nicht wieder leid werden, womit du mich hast versöhnen wollen.
odysseus_06_f000122|Er hängte das Schwert um die Schulter, und aller Groll war vergessen.|Er hängte das Schwert um die Schulter, und aller Groll war vergessen.
odysseus_06_f000123|Indes war es Abend geworden.|Indes war es Abend geworden.
odysseus_06_f000124|Die Diener kamen mit den Geschenken auf dem Markte an, legten sie alle zusammen und trugen sie dann in des Königs Wohnung.|Die Diener kamen mit den Geschenken auf dem Markte an, legten sie alle zusammen und trugen sie dann in des Königs Wohnung.
odysseus_06_f000125|Dahin folgte auch die ganze Schar, und die Fürsten nahmen daselbst wieder, wie gewöhnlich, die rings im Saale aufgestellten Stühle ein, Alkinoos bat seine Gemahlin ein warmes Bad für den Gast bereiten zu lassen,|Dahin folgte auch die ganze Schar, und die Fürsten nahmen daselbst wieder, wie gewöhnlich, die rings im Saale aufgestellten Stühle ein, Alkinoos bat seine Gemahlin ein warmes Bad für den Gast bereiten zu lassen,
odysseus_06_f000126|und suchte die Geschenke aus, die er selbst für ihn bestimmt hatte.|und suchte die Geschenke aus, die er selbst für ihn bestimmt hatte.
odysseus_06_f000127|Sogleich ward ein großer Kessel auf den Herd gesetzt.|Sogleich ward ein großer Kessel auf den Herd gesetzt.
odysseus_06_f000128|Die Mägde legten Holz an und schürten die Glut.|Die Mägde legten Holz an und schürten die Glut.
odysseus_06_f000129|Die Königin selber holte die kostbaren Geschenke herbei und packte sie wohlgeordnet in eine Lade, die Odysseus nachher verwahren sollte.|Die Königin selber holte die kostbaren Geschenke herbei und packte sie wohlgeordnet in eine Lade, die Odysseus nachher verwahren sollte.
odysseus_06_f000130|Schlösser kannte man damals noch nicht, Odysseus half sich statt dessen mit einem künstlichen Knoten, den ihn einmal die zauberkundige Kirke schürzen gelehrt hatte.|Schlösser kannte man damals noch nicht, Odysseus half sich statt dessen mit einem künstlichen Knoten, den ihn einmal die zauberkundige Kirke schürzen gelehrt hatte.
odysseus_06_f000131|Jetzt kochte das Wasser im Kessel, und die Schaffnerin rief den Gast zum Bade.|Jetzt kochte das Wasser im Kessel, und die Schaffnerin rief den Gast zum Bade.
odysseus_06_f000132|Er ging hinaus, entkleidete sich und stieg mit Wohlbehagen in die dampfende Wanne.|Er ging hinaus, entkleidete sich und stieg mit Wohlbehagen in die dampfende Wanne.
odysseus_06_f000133|Nachdem er sich wieder getrocknet hatte, salbten ihn die Mägde mit Öl und umhüllten ihn mit einem prächtigen Gewand und Mantel.|Nachdem er sich wieder getrocknet hatte, salbten ihn die Mägde mit Öl und umhüllten ihn mit einem prächtigen Gewand und Mantel.
odysseus_06_f000134|Eben wollte er nun wieder zu den schmausenden Männern hineingehen, da fühlte er sich vor der Thür des Saales von sanften Händen aufgehalten.|Eben wollte er nun wieder zu den schmausenden Männern hineingehen, da fühlte er sich vor der Thür des Saales von sanften Händen aufgehalten.
odysseus_06_f000135|Es war die schöne Nausikaa, die er seit gestern nicht gesehen hatte; denn es ziemte sich für die Töchter des Hauses nicht sich unter jubelnden Männern blicken zu lassen.|Es war die schöne Nausikaa, die er seit gestern nicht gesehen hatte; denn es ziemte sich für die Töchter des Hauses nicht sich unter jubelnden Männern blicken zu lassen.
odysseus_06_f000136|Still und züchtig mußten die griechischen Jungfrauen oben in ihrer Kammer beim Webstuhl oder bei der Spindel bleiben; und die gute Nausikaa hatte sich auch den ganzen Tag über nach dieser Sitte gehalten.|Still und züchtig mußten die griechischen Jungfrauen oben in ihrer Kammer beim Webstuhl oder bei der Spindel bleiben; und die gute Nausikaa hatte sich auch den ganzen Tag über nach dieser Sitte gehalten.
odysseus_06_f000137|Jetzt hatte sie die Anstalten zur Abreise des Fremdlings vernommen; da trieb sie das Herz den schönen Mann noch einmal zu sehen, der ihr gestern so bescheiden und so edel genahet war.|Jetzt hatte sie die Anstalten zur Abreise des Fremdlings vernommen; da trieb sie das Herz den schönen Mann noch einmal zu sehen, der ihr gestern so bescheiden und so edel genahet war.
odysseus_06_f000138|Es war Abend sie schlich sich leise hinunter und wartete seiner vor der Thür, wenn er aus dem Bade zurückkehren würde.|Es war Abend sie schlich sich leise hinunter und wartete seiner vor der Thür, wenn er aus dem Bade zurückkehren würde.
odysseus_06_f000139|Er kam, und Anmut strahlte aus seinem Gesichte; Würde und Kraft trug seine Schritte.|Er kam, und Anmut strahlte aus seinem Gesichte; Würde und Kraft trug seine Schritte.
odysseus_06_f000140|Freude dir, Gast! flüsterte sie.|Freude dir, Gast! flüsterte sie.
odysseus_06_f000141|Und wenn du einst wieder in deiner Heimat bist, denke auch manchmal an mich; gedenke des Mädchens in Scheria, der du zuerst dein Leben verdanktest.|Und wenn du einst wieder in deiner Heimat bist, denke auch manchmal an mich; gedenke des Mädchens in Scheria, der du zuerst dein Leben verdanktest.
odysseus_06_f000142|Sie schlug die Augen nieder und preßte die Thränen zurück.|Sie schlug die Augen nieder und preßte die Thränen zurück.
odysseus_06_f000143|O gewähren mir die Götter nur das, erwiderte sanft der Fremdling, daß ich glücklich nach Hause komme, so will ich deiner täglich gedenken und deinen Namen wie einer Göttin Namen feiern; denn du hast mir das Leben gerettet, holde Jungfrau.|O gewähren mir die Götter nur das, erwiderte sanft der Fremdling, daß ich glücklich nach Hause komme, so will ich deiner täglich gedenken und deinen Namen wie einer Göttin Namen feiern; denn du hast mir das Leben gerettet, holde Jungfrau.
odysseus_06_f000144|Das Mädchen ging traurig auf ihr Zimmer.|Das Mädchen ging traurig auf ihr Zimmer.
odysseus_06_f000145|Odysseus trat wieder in den Saal, wo die Schmausenden saßen, und nahm auf seinem Sessel an der Seite des Alkinoos Platz.|Odysseus trat wieder in den Saal, wo die Schmausenden saßen, und nahm auf seinem Sessel an der Seite des Alkinoos Platz.
odysseus_06_f000146|Jetzt eilten die Diener emsig umher, um auf die Tische das gebratene Fleisch zu legen und aus dem großen Mischkruge die Becher der Gäste ringsum zu füllen.|Jetzt eilten die Diener emsig umher, um auf die Tische das gebratene Fleisch zu legen und aus dem großen Mischkruge die Becher der Gäste ringsum zu füllen.
odysseus_06_f000147|Ein Herold leitete auch den ehrwürdigen Sänger an der Hand nach seinem Stuhle.|Ein Herold leitete auch den ehrwürdigen Sänger an der Hand nach seinem Stuhle.
odysseus_06_f000148|Odysseus winkte jenem, schnitt dann von dem Fleische, welches man ihm als Ehrenteil vorgelegt hatte, ein fettes Rückenstück ab und sagte: Gieb doch dies dem Demodokos.|Odysseus winkte jenem, schnitt dann von dem Fleische, welches man ihm als Ehrenteil vorgelegt hatte, ein fettes Rückenstück ab und sagte: Gieb doch dies dem Demodokos.
odysseus_06_f000149|So arm und elend ich auch jetzt bin, so möchte ich ihm doch gern Liebes erweisen; denn überall muß man den Sängern Achtung und Ehrfurcht beweisen, weil ja die Muse selbst sie belehrt hat und huldreich über ihnen waltet.|So arm und elend ich auch jetzt bin, so möchte ich ihm doch gern Liebes erweisen; denn überall muß man den Sängern Achtung und Ehrfurcht beweisen, weil ja die Muse selbst sie belehrt hat und huldreich über ihnen waltet.
odysseus_06_f000150|Der Herold nahm das Stück Braten und drückte es dem blinden Sänger in die Hände.|Der Herold nahm das Stück Braten und drückte es dem blinden Sänger in die Hände.
odysseus_06_f000151|Demodokos empfing mit Freuden die Gabe und aß davon.|Demodokos empfing mit Freuden die Gabe und aß davon.
odysseus_06_f000152|Aber die andern auch streckten hastig die Hände nach dem leckern Mahle.|Aber die andern auch streckten hastig die Hände nach dem leckern Mahle.
odysseus_06_f000153|Nachdem der Hunger gestillt war, wandte sich Odysseus wieder an den Sänger und bat ihn, da er doch alle Abenteuer aus dem Trojanerkriege wisse, noch das eine von dem hölzernen Pferde zu singen, mit welchem Odysseus die Trojaner getäuscht habe.|Nachdem der Hunger gestillt war, wandte sich Odysseus wieder an den Sänger und bat ihn, da er doch alle Abenteuer aus dem Trojanerkriege wisse, noch das eine von dem hölzernen Pferde zu singen, mit welchem Odysseus die Trojaner getäuscht habe.
odysseus_06_f000154|Da sang der Alte zum Klange der Phorminx die seltsame Mär, nicht ahnend, daß der Held, dessen List er feierte, an seiner Seite lauschend saß.|Da sang der Alte zum Klange der Phorminx die seltsame Mär, nicht ahnend, daß der Held, dessen List er feierte, an seiner Seite lauschend saß.
