ferien_vom_ich_001_f000001|Abschnitt 1.|Abschnitt eins.
ferien_vom_ich_003_f000088|Bei einer Tornische holte ich es ein und faßte es am Arm.|Bei einer Tornische holte ich es ein und faßte es am Arm.
ferien_vom_ich_003_f000089|Fürchte dich nicht, Luise.|Fürchte dich nicht, Luise.
ferien_vom_ich_003_f000090|Ich tue dir nichts.|Ich tue dir nichts.
ferien_vom_ich_003_f000091|Das Mädchen brach in Tränen aus.|Das Mädchen brach in Tränen aus.
ferien_vom_ich_003_f000092|Sperren Sie mich nicht ein!|Sperren Sie mich nicht ein!
ferien_vom_ich_003_f000093|Warum soll ich dich denn einsperren?|Warum soll ich dich denn einsperren?
ferien_vom_ich_003_f000094|Weil ich – weil ich – die Schuhbänder – Sie sind ein Geheimer ... Das Kind weinte noch lauter.|Weil ich - weil ich - die Schuhbänder - Sie sind ein Geheimer ... Das Kind weinte noch lauter.
ferien_vom_ich_003_f000095|Hallo!|Hallo!
ferien_vom_ich_003_f000096|Seht nur da!|Seht nur da!
ferien_vom_ich_003_f000097|Was hat denn der mit dem Mädel?|Was hat denn der mit dem Mädel?
ferien_vom_ich_003_f000098|Warum weint denn det Mädel?|Warum weint denn det Mädel?
ferien_vom_ich_003_f000099|Haut ihn!|Haut ihn!
ferien_vom_ich_003_f000100|Das is so eener!|Das is so eener!
ferien_vom_ich_003_f000101|Wird er gleich das Kind in Ruhe lassen!|Wird er gleich das Kind in Ruhe lassen!
ferien_vom_ich_003_f000102|Ich war im Nu von einer Rotte Menschen umstellt.|Ich war im Nu von einer Rotte Menschen umstellt.
ferien_vom_ich_003_f000103|Einige Rowdies nahmen eine drohende Haltung an, Männer murrten, ein Weib kreischte mich an: Pfui über so enen Spitzel – en armes Mächen, wat sich en paar Jroschen verdient, feste zu nehmen ... Is ja jar keen Jeheimer, is ja en solcher!|Einige Rowdies nahmen eine drohende Haltung an, Männer murrten, ein Weib kreischte mich an: Pfui über so enen Spitzel - en armes Mächen, wat sich en paar Jroschen verdient, feste zu nehmen ... Is ja jar keen Jeheimer, is ja en solcher!
ferien_vom_ich_003_f000104|Haut ihn!|Haut ihn!
ferien_vom_ich_003_f000105|Die kleine Luise entschlüpfte mir, ein Schutzmann kam breit wie ein Hilfskreuzer auf die Gruppe zugesegelt, die alsbald um ihn und mich einen mehrfachen Belagerungsring schloß.|Die kleine Luise entschlüpfte mir, ein Schutzmann kam breit wie ein Hilfskreuzer auf die Gruppe zugesegelt, die alsbald um ihn und mich einen mehrfachen Belagerungsring schloß.
ferien_vom_ich_003_f000106|Was ist los? fragte der Gesetzeshüter.|Was ist los? fragte der Gesetzeshüter.
ferien_vom_ich_003_f000107|Er hat en kleines Jöhr belästigt – er hat en Kind jemißhandelt – er hat ihr blutig jeschlagen – er hat jesagt, er is en Jeheimer, aber er is en Lump.|Er hat en kleines Jöhr belästigt - er hat en Kind jemißhandelt - er hat ihr blutig jeschlagen - er hat jesagt, er is en Jeheimer, aber er is en Lump.
ferien_vom_ich_003_f000108|Der Schutzmann stand wie ein Fels.|Der Schutzmann stand wie ein Fels.
ferien_vom_ich_003_f000109|Wer sind Sie?|Wer sind Sie?
ferien_vom_ich_003_f000110|Ich zog eine Legitimationskarte heraus.|Ich zog eine Legitimationskarte heraus.
ferien_vom_ich_003_f000111|Was ist geschehen, Herr Doktor?|Was ist geschehen, Herr Doktor?
ferien_vom_ich_003_f000112|fragte der Schutzmann, nachdem er die Karte gelesen.|fragte der Schutzmann, nachdem er die Karte gelesen.
ferien_vom_ich_003_f000113|Doktor – en Doktor is er – amputieren will er ihr – Versuchskarnickel braucht er, det Schwein ... Ruhe! donnerte der Schutzmann.|Doktor - en Doktor is er - amputieren will er ihr - Versuchskarnickel braucht er, det Schwein ... Ruhe! donnerte der Schutzmann.
ferien_vom_ich_003_f000114|Was ist geschehen?|Was ist geschehen?
ferien_vom_ich_003_f000115|Ich will es gern sagen, antwortete ich, aber nicht vor diesen Leuten, die die Sache nichts angeht.|Ich will es gern sagen, antwortete ich, aber nicht vor diesen Leuten, die die Sache nichts angeht.
ferien_vom_ich_003_f000116|Ein wüstes Geschrei antwortete mir; immer mehr Volk sammelte sich an.|Ein wüstes Geschrei antwortete mir; immer mehr Volk sammelte sich an.
ferien_vom_ich_003_f000117|Kommen Sie in Ihrem eigenen Interesse mit mir, riet der Sicherheitsmann.|Kommen Sie in Ihrem eigenen Interesse mit mir, riet der Sicherheitsmann.
ferien_vom_ich_003_f000118|Jawohl! sagte ich, und wir durchbrachen die Kette.|Jawohl! sagte ich, und wir durchbrachen die Kette.
ferien_vom_ich_003_f000119|Niemand konnte mich schützen, daß ich ein paar Püffe und Stöße erhielt.|Niemand konnte mich schützen, daß ich ein paar Püffe und Stöße erhielt.
ferien_vom_ich_003_f000120|Ein Trupp johlte hinter uns her, wurde aber durch ein Pferd, das auf der Straße gefallen, in seinem Interesse abgelenkt, und ich war mit dem Schutzmann allein.|Ein Trupp johlte hinter uns her, wurde aber durch ein Pferd, das auf der Straße gefallen, in seinem Interesse abgelenkt, und ich war mit dem Schutzmann allein.
ferien_vom_ich_003_f000121|Wir traten in einen Hauseingang, und ich gab ihm eine kurze Aufklärung.|Wir traten in einen Hauseingang, und ich gab ihm eine kurze Aufklärung.
ferien_vom_ich_003_f000122|Als er den Namen der Pflegeeltern Luises gehört hatte, sagte der Schutzmann: Der Mann is en Tagedieb und die Frau ene Schlampe.|Als er den Namen der Pflegeeltern Luises gehört hatte, sagte der Schutzmann: Der Mann is en Tagedieb und die Frau ene Schlampe.
ferien_vom_ich_003_f000123|Da sehen Sie man, daß Sie det Wurm da abkriejen.|Da sehen Sie man, daß Sie det Wurm da abkriejen.
ferien_vom_ich_003_f000124|Ich dankte ihm, und wir trennten uns.|Ich dankte ihm, und wir trennten uns.
ferien_vom_ich_003_f000125|Einen Augenblick überlegte ich noch, ob ich zuvor einen Rechtsanwalt zu Rate ziehen solle, aber dann ging ich direkt nach Luises Wohnung.|Einen Augenblick überlegte ich noch, ob ich zuvor einen Rechtsanwalt zu Rate ziehen solle, aber dann ging ich direkt nach Luises Wohnung.
ferien_vom_ich_003_f000126|Ein Hinterhaus von vielen Stockwerken.|Ein Hinterhaus von vielen Stockwerken.
ferien_vom_ich_003_f000127|Auf dem Hofe spielten Kinder im Staub der Stubendecken, die geklopft wurden.|Auf dem Hofe spielten Kinder im Staub der Stubendecken, die geklopft wurden.
ferien_vom_ich_003_f000128|Die Treppe war dunkel und schmutzig.|Die Treppe war dunkel und schmutzig.
ferien_vom_ich_003_f000129|Im dritten Stockwerk las ich den Namen von Luises Pflegeeltern.|Im dritten Stockwerk las ich den Namen von Luises Pflegeeltern.
ferien_vom_ich_003_f000130|Ich läutete zweimal, dann kam ein zaghafter Kindertritt, die Tür wurde geöffnet, ein entsetzter Schrei, die Tür flog wieder zu.|Ich läutete zweimal, dann kam ein zaghafter Kindertritt, die Tür wurde geöffnet, ein entsetzter Schrei, die Tür flog wieder zu.
ferien_vom_ich_003_f000131|Ich läutete abermals.|Ich läutete abermals.
ferien_vom_ich_003_f000132|Ein großer, starker Mann erschien.|Ein großer, starker Mann erschien.
ferien_vom_ich_003_f000133|Er trug einen Christusbart, ziemlich lange Haare und stak in einem schwarzen, wenig sauberen Rock.|Er trug einen Christusbart, ziemlich lange Haare und stak in einem schwarzen, wenig sauberen Rock.
ferien_vom_ich_003_f000134|Später erfuhr ich, daß der Mann Prediger bei irgendeiner neuen Sekte war.|Später erfuhr ich, daß der Mann Prediger bei irgendeiner neuen Sekte war.
ferien_vom_ich_003_f000135|Er wollte mich erst mit einer hochmütigen Miene mustern, aber plötzlich wurde sein Gesicht scheinheilig freundlich, und mit ölglatter Stimme sagte er: Ah, Herr Oberkommissar, ich hab schon gehört – weiß schon – der Herr Polizeiinspektor haben meine Pflegetochter beim Handel erwischt|Er wollte mich erst mit einer hochmütigen Miene mustern, aber plötzlich wurde sein Gesicht scheinheilig freundlich, und mit ölglatter Stimme sagte er: Ah, Herr Oberkommissar, ich hab schon gehört - weiß schon - der Herr Polizeiinspektor haben meine Pflegetochter beim Handel erwischt
ferien_vom_ich_003_f000136|aber ich kann bei meiner Ehre versichern – Herr Inspektor ich bin unschuldig – ich verbiete dem Mädel aufs strengste – haben es ja auch gottlob nicht nötig – aber sehen Sie, Herr Inspektor, soen hergelaufenes Kind von schlechter Abkunft,|aber ich kann bei meiner Ehre versichern - Herr Inspektor ich bin unschuldig - ich verbiete dem Mädel aufs strengste - haben es ja auch gottlob nicht nötig - aber sehen Sie, Herr Inspektor, soen hergelaufenes Kind von schlechter Abkunft,
ferien_vom_ich_003_f000137|das man so aus purem Mitleid (ich bin Oberprediger bei der Gemeinde der Jünger von Kapernaum), das man so aus christlicher Barmherzigkeit aufzieht und das doch nicht gerät, weil der Feind sein Unkraut unter den Weizen sät,|das man so aus purem Mitleid ich bin Oberprediger bei der Gemeinde der Jünger von Kapernaum, das man so aus christlicher Barmherzigkeit aufzieht und das doch nicht gerät, weil der Feind sein Unkraut unter den Weizen sät,
ferien_vom_ich_003_f000138|das stiehlt sich nun en Jroschen, kauft sich Schuhbänder oder Streichhölzer oder was weiß ich und verkauft sie, um zu naschen – natürlich nur, um zu naschen ...|das stiehlt sich nun en Jroschen, kauft sich Schuhbänder oder Streichhölzer oder was weiß ich und verkauft sie, um zu naschen - natürlich nur, um zu naschen ...
ferien_vom_ich_003_f000139|Das Geschwafele erstarb an meiner wortlosen Ruhe.|Das Geschwafele erstarb an meiner wortlosen Ruhe.
ferien_vom_ich_003_f000140|Was wünschen der Herr Inspektor – ich würde den Herrn Inspektor gern in die Wohnung bitten, aber meine Frau ist zufällig heute noch nicht mit dem Aufräumen fertig ... Da sprach ich endlich.|Was wünschen der Herr Inspektor - ich würde den Herrn Inspektor gern in die Wohnung bitten, aber meine Frau ist zufällig heute noch nicht mit dem Aufräumen fertig ... Da sprach ich endlich.
ferien_vom_ich_003_f000141|Sie irren – ich bin kein Polizeimann – ich bin der Onkel der kleinen Luise.|Sie irren - ich bin kein Polizeimann - ich bin der Onkel der kleinen Luise.
ferien_vom_ich_003_f000142|Sie sind – Sie sind – ach so – ach so – der sind Sie ... Er brach in ein meckeriges Lachen aus.|Sie sind - Sie sind - ach so - ach so - der sind Sie ... Er brach in ein meckeriges Lachen aus.
ferien_vom_ich_003_f000143|Ich will Sie zur Rechenschaft ziehen, Sie schlechter Kerl! rief ich außer mir.|Ich will Sie zur Rechenschaft ziehen, Sie schlechter Kerl! rief ich außer mir.
ferien_vom_ich_003_f000144|Sie wollen mich – was wollen Sie?|Sie wollen mich - was wollen Sie?
ferien_vom_ich_003_f000145|Sein Gesicht veränderte sich.|Sein Gesicht veränderte sich.
ferien_vom_ich_003_f000146|Eine zynische Frechheit machte sich auf seinen Zügen breit.|Eine zynische Frechheit machte sich auf seinen Zügen breit.
ferien_vom_ich_003_f000147|Was wollen Sie! brüllte er.|Was wollen Sie! brüllte er.
ferien_vom_ich_003_f000148|So en Balg – so en unsauberer Balg – und Sie wollen noch – ah, wenn Sie mir was zu sagen haben, schreiben Sie es mir; ich bin für Sie nicht zu sprechen – verstehen Sie – für Sie nicht zu sprechen; denn ich bin ein anständiger Mensch!|So en Balg - so en unsauberer Balg - und Sie wollen noch - ah, wenn Sie mir was zu sagen haben, schreiben Sie es mir; ich bin für Sie nicht zu sprechen - verstehen Sie - für Sie nicht zu sprechen; denn ich bin ein anständiger Mensch!
ferien_vom_ich_003_f000149|Die Tür fiel ins Schloß.|Die Tür fiel ins Schloß.
ferien_vom_ich_003_f000150|Ich blieb allein stehen; ich fürchtete, nun würde die kleine Luise drin zu schreien anfangen.|Ich blieb allein stehen; ich fürchtete, nun würde die kleine Luise drin zu schreien anfangen.
ferien_vom_ich_003_f000151|Aber es blieb still.|Aber es blieb still.
ferien_vom_ich_003_f000152|Nur eine Tür krachte noch zu.|Nur eine Tür krachte noch zu.
ferien_vom_ich_003_f000153|Da eilte ich die schmutzige Stiege hinab.|Da eilte ich die schmutzige Stiege hinab.
ferien_vom_ich_003_f000154|SAMARITERDIENSTE.|SAMARITERDIENSTE.
ferien_vom_ich_003_f000155|So lebte das einzige Kind meines Bruders!|So lebte das einzige Kind meines Bruders!
ferien_vom_ich_003_f000156|In einer Umgebung von Schmutz, Heuchelei, Armseligkeit, Roheit.|In einer Umgebung von Schmutz, Heuchelei, Armseligkeit, Roheit.
ferien_vom_ich_003_f000157|Ein Glück, daß dem Weltverbesserer doch noch das Kehren vor der eigenen Tür einfiel, ehe er an die große Mission ging, anderen zu helfen.|Ein Glück, daß dem Weltverbesserer doch noch das Kehren vor der eigenen Tür einfiel, ehe er an die große Mission ging, anderen zu helfen.
ferien_vom_ich_003_f000158|Fast in jeder Familie gibt es einen, auf den sich die anderen ganz besonders verlassen, zu dem sie in ihren Kümmernissen und Nöten kommen, dem sie es überlassen, zu ordnen, was sie selbst schlecht gemacht haben, der Geld borgen muß, wenn die andern nichts haben, der immer schieben, immer unterstützen, immer aushelfen muß.|Fast in jeder Familie gibt es einen, auf den sich die anderen ganz besonders verlassen, zu dem sie in ihren Kümmernissen und Nöten kommen, dem sie es überlassen, zu ordnen, was sie selbst schlecht gemacht haben, der Geld borgen muß, wenn die andern nichts haben, der immer schieben, immer unterstützen, immer aushelfen muß.
ferien_vom_ich_003_f000159|Den Starken als Stütze der Schwachen kann man ihn nennen, wenn man es ideal ausdrücken will; sonst kann man auch kurz sagen: der Lastesel.|Den Starken als Stütze der Schwachen kann man ihn nennen, wenn man es ideal ausdrücken will; sonst kann man auch kurz sagen: der Lastesel.
ferien_vom_ich_003_f000160|Nachgerade kam es mir vor, als ob ich in unserer Familie diesen Ehrenposten bekleidete.|Nachgerade kam es mir vor, als ob ich in unserer Familie diesen Ehrenposten bekleidete.
ferien_vom_ich_003_f000161|Ich kann nicht behaupten, daß ich mit Freundlichkeit an meinen Bruder dachte, als ich durch den Staub des Hofes nach der Straße zurückflüchtete.|Ich kann nicht behaupten, daß ich mit Freundlichkeit an meinen Bruder dachte, als ich durch den Staub des Hofes nach der Straße zurückflüchtete.
ferien_vom_ich_003_f000162|Was an diesem Kinde geschah, war jahrelange Sünde.|Was an diesem Kinde geschah, war jahrelange Sünde.
ferien_vom_ich_003_f000163|Auch an die Mutter dachte ich nicht ohne Bitterkeit.|Auch an die Mutter dachte ich nicht ohne Bitterkeit.
ferien_vom_ich_003_f000164|Sie war in diesem Augenblick nicht mein silbernes Mütterchen, sie war eine reine, aber selbstgerechte Frau, die nicht stark genug war, der Schuld mit Herzenstapferkeit ins Auge zu sehen und auf dem Schlachtfeld der Sünde Samariterdienste zu tun,|Sie war in diesem Augenblick nicht mein silbernes Mütterchen, sie war eine reine, aber selbstgerechte Frau, die nicht stark genug war, der Schuld mit Herzenstapferkeit ins Auge zu sehen und auf dem Schlachtfeld der Sünde Samariterdienste zu tun,
ferien_vom_ich_003_f000165|sondern eine, die sich ängstlich in ihrer wohlumhüteten Sauberkeit hielt, mehr bekümmert um sich selbst als um das, was draußen zugrunde ging.|sondern eine, die sich ängstlich in ihrer wohlumhüteten Sauberkeit hielt, mehr bekümmert um sich selbst als um das, was draußen zugrunde ging.
ferien_vom_ich_003_f000166|Jawohl, ich hatte nicht Lust, das alles so hinzunehmen, ich wollte meine Meinung sagen.|Jawohl, ich hatte nicht Lust, das alles so hinzunehmen, ich wollte meine Meinung sagen.
ferien_vom_ich_003_f000167|Was sollte ich denn tun, ich einzelnstehender Mann?|Was sollte ich denn tun, ich einzelnstehender Mann?
ferien_vom_ich_003_f000168|Es würde schwer genug halten, das Kind loszubekommen.|Es würde schwer genug halten, das Kind loszubekommen.
ferien_vom_ich_003_f000169|Der ekle Kerl von Pflegevater war zum gesetzlichen Vormund und Pfleger bestellt, die Erziehungsrechte waren an ihn abgetreten.|Der ekle Kerl von Pflegevater war zum gesetzlichen Vormund und Pfleger bestellt, die Erziehungsrechte waren an ihn abgetreten.
ferien_vom_ich_003_f000170|Um ihm das Kind in Güte gewissermaßen abzukaufen, dazu fehlte mir das Geld.|Um ihm das Kind in Güte gewissermaßen abzukaufen, dazu fehlte mir das Geld.
ferien_vom_ich_003_f000171|Mit gesetzlichen Mitteln aber so einem abgefeimten Schuft an den Leib zu gehen, würde schwer genug sein.|Mit gesetzlichen Mitteln aber so einem abgefeimten Schuft an den Leib zu gehen, würde schwer genug sein.
ferien_vom_ich_003_f000172|Das Nächste war, einen Anwalt zu befragen.|Das Nächste war, einen Anwalt zu befragen.
ferien_vom_ich_003_f000173|In meinem Hotel suchte ich das Lesezimmer auf, setzte mich in eine Ecke und grübelte.|In meinem Hotel suchte ich das Lesezimmer auf, setzte mich in eine Ecke und grübelte.
ferien_vom_ich_003_f000174|Ich mochte wohl schon lange so gesessen haben, da tippte mich jemand auf die Schulter.|Ich mochte wohl schon lange so gesessen haben, da tippte mich jemand auf die Schulter.
ferien_vom_ich_003_f000175|Sie sollten mal Ferien vom Ich machen, Sie haben es nötig!|Sie sollten mal Ferien vom Ich machen, Sie haben es nötig!
ferien_vom_ich_003_f000176|Es war Mister Stefenson, der also zu mir sprach.|Es war Mister Stefenson, der also zu mir sprach.
ferien_vom_ich_003_f000177|Ich war ganz erstaunt, ihn so plötzlich hier in Berlin zu sehen.|Ich war ganz erstaunt, ihn so plötzlich hier in Berlin zu sehen.
ferien_vom_ich_003_f000178|Ferien vom Ich sollten Sie machen! wiederholte er.|Ferien vom Ich sollten Sie machen! wiederholte er.
ferien_vom_ich_003_f000179|Von wem erfuhren Sie denn, daß ich hier bin?|Von wem erfuhren Sie denn, daß ich hier bin?
ferien_vom_ich_003_f000180|Von meiner Mutter?|Von meiner Mutter?
ferien_vom_ich_003_f000181|Von wem anders sollte ich es wissen?|Von wem anders sollte ich es wissen?
ferien_vom_ich_003_f000182|Sie sind in Familienangelegenheiten hier – wegen einer kleinen Nichte – wollen sie in eine andere Pension bringen – ja, lieber Doktor, das gefällt mir nicht!|Sie sind in Familienangelegenheiten hier - wegen einer kleinen Nichte - wollen sie in eine andere Pension bringen - ja, lieber Doktor, das gefällt mir nicht!
ferien_vom_ich_003_f000183|Was gefällt Ihnen nicht?|Was gefällt Ihnen nicht?
ferien_vom_ich_003_f000184|Daß Sie Ihre Zeit mit solchem Familienkrimskram vergeuden.|Daß Sie Ihre Zeit mit solchem Familienkrimskram vergeuden.
ferien_vom_ich_003_f000185|Erlauben Sie, das ist doch wohl meine Sache.|Erlauben Sie, das ist doch wohl meine Sache.
ferien_vom_ich_003_f000186|Ihre Sache und meine Sache.|Ihre Sache und meine Sache.
ferien_vom_ich_003_f000187|Sie haben jetzt keine Zeit für solche Dinge.|Sie haben jetzt keine Zeit für solche Dinge.
ferien_vom_ich_003_f000188|Es paßt nicht in unser Programm.|Es paßt nicht in unser Programm.
ferien_vom_ich_003_f000189|Sie haben selber gesagt, zu unserem Ferienheim gehöre vor allen Dingen die Erlösung von drückenden familiären Fesseln.|Sie haben selber gesagt, zu unserem Ferienheim gehöre vor allen Dingen die Erlösung von drückenden familiären Fesseln.
ferien_vom_ich_003_f000190|Ist das keine Fessel, die Sie am Fuß schleppen?|Ist das keine Fessel, die Sie am Fuß schleppen?
ferien_vom_ich_003_f000191|Jetzt, wo wir in der allerschwersten Gedankenarbeit stehen müßten, fahren Sie einem kleinen Mädel nach.|Jetzt, wo wir in der allerschwersten Gedankenarbeit stehen müßten, fahren Sie einem kleinen Mädel nach.
ferien_vom_ich_003_f000192|Was liegt der Welt an dem kleinen Mädel?|Was liegt der Welt an dem kleinen Mädel?
ferien_vom_ich_003_f000193|An Ihrem Ferienheim soll ihr etwas liegen.|An Ihrem Ferienheim soll ihr etwas liegen.
ferien_vom_ich_003_f000194|Ich glaube, Herr Stefenson, so eng sind wir denn doch noch nicht miteinander verbunden, daß Sie in dieser Weise mit mir reden dürfen.|Ich glaube, Herr Stefenson, so eng sind wir denn doch noch nicht miteinander verbunden, daß Sie in dieser Weise mit mir reden dürfen.
ferien_vom_ich_003_f000195|Ich darf, sagte er phlegmatisch.|Ich darf, sagte er phlegmatisch.
ferien_vom_ich_003_f000196|Ich habe in Ihnen so etwas wie einen Propheten gesehen – die Propheten gehen aber in die Wüste, ehe sie öffentlich auftreten, nicht nach Berlin – die Apostel verlassen Weib und Kind – der Soldat, der in den Krieg zieht, darf nicht rückwärts schauen, er sagt: Was schert mich Weib, was schert mich Kind?|Ich habe in Ihnen so etwas wie einen Propheten gesehen - die Propheten gehen aber in die Wüste, ehe sie öffentlich auftreten, nicht nach Berlin - die Apostel verlassen Weib und Kind - der Soldat, der in den Krieg zieht, darf nicht rückwärts schauen, er sagt: Was schert mich Weib, was schert mich Kind?
ferien_vom_ich_003_f000197|Der Familiensimpel bleibt immer ein mittelmäßiger Kerl.|Der Familiensimpel bleibt immer ein mittelmäßiger Kerl.
ferien_vom_ich_003_f000198|Ich erhob mich und wollte ihm grob kommen.|Ich erhob mich und wollte ihm grob kommen.
ferien_vom_ich_003_f000199|Aber ich setzte mich wieder, sah auf einen Augenblick in seine ehrlichen, quellklaren Augen und sagte dann: Sie haben vielleicht in manchem recht, Mister Stefenson, aber im ganzen sind Sie doch im Unrecht.|Aber ich setzte mich wieder, sah auf einen Augenblick in seine ehrlichen, quellklaren Augen und sagte dann: Sie haben vielleicht in manchem recht, Mister Stefenson, aber im ganzen sind Sie doch im Unrecht.
ferien_vom_ich_003_f000200|Wenn ein Soldat in den Kampf ziehen soll und am Fuß eine Beule hat, wird er danach trachten, daß ihm erst ein Arzt die Beule öffnet und die Wunde säubert und verbindet, ehe er marschiert.|Wenn ein Soldat in den Kampf ziehen soll und am Fuß eine Beule hat, wird er danach trachten, daß ihm erst ein Arzt die Beule öffnet und die Wunde säubert und verbindet, ehe er marschiert.
ferien_vom_ich_003_f000201|Sonst bleibt er eben am Wege liegen.|Sonst bleibt er eben am Wege liegen.
ferien_vom_ich_003_f000202|So geht es mir auch.|So geht es mir auch.
ferien_vom_ich_003_f000203|Ich muß mir erst diese Angelegenheit mit meiner kleinen Nichte vom Halse schaffen, ehe ich an unsere Aufgabe gehen kann.|Ich muß mir erst diese Angelegenheit mit meiner kleinen Nichte vom Halse schaffen, ehe ich an unsere Aufgabe gehen kann.
ferien_vom_ich_003_f000204|Gut, so schaffen Sie sich die Angelegenheit vom Halse – morgen vormittag zwischen neun und elf.|Gut, so schaffen Sie sich die Angelegenheit vom Halse - morgen vormittag zwischen neun und elf.
ferien_vom_ich_003_f000205|Um elfeinhalb können wir dann unsere Beratung haben.|Um elfeinhalb können wir dann unsere Beratung haben.
ferien_vom_ich_003_f000206|So rasch geht das nicht.|So rasch geht das nicht.
ferien_vom_ich_003_f000207|Wie lange kann es denn dauern?|Wie lange kann es denn dauern?
ferien_vom_ich_003_f000208|Wohl einige Wochen oder auch Monate.|Wohl einige Wochen oder auch Monate.
ferien_vom_ich_003_f000209|Herr Stefenson lächelte sanftmütig.|Herr Stefenson lächelte sanftmütig.
ferien_vom_ich_003_f000210|Das ist sehr schön!|Das ist sehr schön!
ferien_vom_ich_003_f000211|Ja, dann sind Sie wohl so freundlich, mich nach einigen Monaten gelegentlich wissen zu lassen, mit wem Sie schließlich Ihr Sanatorium begründet haben.|Ja, dann sind Sie wohl so freundlich, mich nach einigen Monaten gelegentlich wissen zu lassen, mit wem Sie schließlich Ihr Sanatorium begründet haben.
ferien_vom_ich_003_f000212|Ich bin gar nicht abgeneigt, mir dann einen Prospekt schicken zu lassen.|Ich bin gar nicht abgeneigt, mir dann einen Prospekt schicken zu lassen.
ferien_vom_ich_003_f000213|Für jetzt, guten Abend!|Für jetzt, guten Abend!
ferien_vom_ich_003_f000214|Er verließ mich. Ich sah ihm nach, als er aus dem Zimmer ging, und wußte, daß es aus war mit meinem Lebenstraume.|Er verließ mich. Ich sah ihm nach, als er aus dem Zimmer ging, und wußte, daß es aus war mit meinem Lebenstraume.
ferien_vom_ich_003_f000215|Ich saß ganz still, und ich weiß jetzt nicht mehr, was ich damals alles dachte.|Ich saß ganz still, und ich weiß jetzt nicht mehr, was ich damals alles dachte.
ferien_vom_ich_003_f000216|Ich wußte in jener Stunde nur, es war aus, um eines kleinen Mädchens willen, das ich kaum auf zwei Minuten lang gesehen hatte – aus!|Ich wußte in jener Stunde nur, es war aus, um eines kleinen Mädchens willen, das ich kaum auf zwei Minuten lang gesehen hatte - aus!
ferien_vom_ich_003_f000217|Dieser Mann, der vor zwei Tagen so viel Geld auf eine Idee von mir setzen wollte, hielt mich nun für einen Schwachkopf.|Dieser Mann, der vor zwei Tagen so viel Geld auf eine Idee von mir setzen wollte, hielt mich nun für einen Schwachkopf.
ferien_vom_ich_003_f000218|Aber auf so elende Weise durften wir uns nicht trennen.|Aber auf so elende Weise durften wir uns nicht trennen.
ferien_vom_ich_003_f000219|Rasch warf ich einige Zeilen auf eine Karte, ich müsse Herrn Stefenson noch einmal sprechen, nicht um ihn umzustimmen, daran dächte ich nicht, sondern um nicht ganz ungerechtfertigt zu scheiden.|Rasch warf ich einige Zeilen auf eine Karte, ich müsse Herrn Stefenson noch einmal sprechen, nicht um ihn umzustimmen, daran dächte ich nicht, sondern um nicht ganz ungerechtfertigt zu scheiden.
ferien_vom_ich_003_f000220|Ich schickte Stefenson durch einen Kellner die Karte, und er kam auch bald persönlich.|Ich schickte Stefenson durch einen Kellner die Karte, und er kam auch bald persönlich.
ferien_vom_ich_003_f000221|Mister Stefenson – es ist nichts Geschäftliches mehr, nur etwas rein Menschliches.|Mister Stefenson - es ist nichts Geschäftliches mehr, nur etwas rein Menschliches.
ferien_vom_ich_003_f000222|Es ist darum, daß wir uns jetzt ohne gegenseitige Hochachtung, aber doch auch ohne beleidigende Gesten trennen wollen, wie Sie selbst einmal gesagt haben.|Es ist darum, daß wir uns jetzt ohne gegenseitige Hochachtung, aber doch auch ohne beleidigende Gesten trennen wollen, wie Sie selbst einmal gesagt haben.
ferien_vom_ich_003_f000223|Haben Sie noch zehn Minuten Zeit für mich?|Haben Sie noch zehn Minuten Zeit für mich?
ferien_vom_ich_003_f000224|Er nickte, und ich erzählte ihm ohne alle Umschweife die Tragödie Joachims und seines Kindes, und wie ich das Mädchen heute draußen auf der Ackerstraße getroffen hatte.|Er nickte, und ich erzählte ihm ohne alle Umschweife die Tragödie Joachims und seines Kindes, und wie ich das Mädchen heute draußen auf der Ackerstraße getroffen hatte.
ferien_vom_ich_003_f000225|Mir wurde das Herz warm beim Erzählen, aber Stefenson blieb ganz gleichgültig.|Mir wurde das Herz warm beim Erzählen, aber Stefenson blieb ganz gleichgültig.
ferien_vom_ich_003_f000226|Zuletzt sagte er: Es ist eine traurige Geschichte, die Sie da erzählt haben, aber sie kommt alle Tage vor.|Zuletzt sagte er: Es ist eine traurige Geschichte, die Sie da erzählt haben, aber sie kommt alle Tage vor.
ferien_vom_ich_003_f000227|Es ist gar nichts Neues.|Es ist gar nichts Neues.
ferien_vom_ich_003_f000228|Ich habe die Geschichte auch erlebt.|Ich habe die Geschichte auch erlebt.
ferien_vom_ich_003_f000229|Aber etwas Interessantes ist dabei: Sind Sie wirklich fünf Jahre lang hinter Ihrem Bruder her gewesen?|Aber etwas Interessantes ist dabei: Sind Sie wirklich fünf Jahre lang hinter Ihrem Bruder her gewesen?
ferien_vom_ich_003_f000230|Ja, ich fand ihn nicht eher.|Ja, ich fand ihn nicht eher.
ferien_vom_ich_003_f000231|Hm! – Sagen Sie, wollen wir den Abend noch zusammenbleiben?|Hm! - Sagen Sie, wollen wir den Abend noch zusammenbleiben?
ferien_vom_ich_003_f000232|Ich möchte den Sommernachtstraum in der deutschen Aufführung ansehen.|Ich möchte den Sommernachtstraum in der deutschen Aufführung ansehen.
