maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_005_f000163|Heißa!|Heißa!
maerchen_005_f000164|heißa! schrie der Hof, und die kleine Prinzessin lachte vor Vergnügen.|heißa! schrie der Hof, und die kleine Prinzessin lachte vor Vergnügen.
maerchen_005_f000165|Ich glaube, ich werde für eine besondere Gelegenheit aufgespart, sagte die Rakete, zweifellos ist das die Absicht, und sie schaute hochmütiger drein als je.|Ich glaube, ich werde für eine besondere Gelegenheit aufgespart, sagte die Rakete, zweifellos ist das die Absicht, und sie schaute hochmütiger drein als je.
maerchen_005_f000166|Am nächsten Tag kamen die Arbeiter, um alles sauber zu machen.|Am nächsten Tag kamen die Arbeiter, um alles sauber zu machen.
maerchen_005_f000167|Das ist offenbar eine Deputation, sagte die Rakete; ich werde sie mit geziemender Würde empfangen.|Das ist offenbar eine Deputation, sagte die Rakete; ich werde sie mit geziemender Würde empfangen.
maerchen_005_f000168|Sie steckte also ihre Nase in die Luft und begann, ihre Stirne in strenge Falten zu ziehen, als ob sie über irgendeine wichtige Angelegenheit nachdächte.|Sie steckte also ihre Nase in die Luft und begann, ihre Stirne in strenge Falten zu ziehen, als ob sie über irgendeine wichtige Angelegenheit nachdächte.
maerchen_005_f000169|Aber sie beachteten sie gar nicht, bis sie gerade dabei waren, wieder wegzugehen.|Aber sie beachteten sie gar nicht, bis sie gerade dabei waren, wieder wegzugehen.
maerchen_005_f000170|Da erblickte sie einer.|Da erblickte sie einer.
maerchen_005_f000171|Holla, rief er, was für eine schlechte Rakete!|Holla, rief er, was für eine schlechte Rakete!
maerchen_005_f000172|und er warf sie über die Mauer in den Graben.|und er warf sie über die Mauer in den Graben.
maerchen_005_f000173|Schlechte Rakete?|Schlechte Rakete?
maerchen_005_f000174|Schlechte Rakete? fragte sie, als sie durch die Luft wirbelte; unmöglich! prächtige Rakete hat der Mann gesagt.|Schlechte Rakete? fragte sie, als sie durch die Luft wirbelte; unmöglich! prächtige Rakete hat der Mann gesagt.
maerchen_005_f000175|Schlechte und prächtige Rakete klingen fast gleich, sie sind es überhaupt öfters, und sie fiel in den Schlamm.|Schlechte und prächtige Rakete klingen fast gleich, sie sind es überhaupt öfters, und sie fiel in den Schlamm.
maerchen_005_f000176|Es ist nicht behaglich hier, bemerkte sie, aber zweifellos ist es ein vornehmer Badeort, und sie haben mich hierher geschickt, damit ich mich gesundheitlich erhole.|Es ist nicht behaglich hier, bemerkte sie, aber zweifellos ist es ein vornehmer Badeort, und sie haben mich hierher geschickt, damit ich mich gesundheitlich erhole.
maerchen_005_f000177|Meine Nerven sind auch tatsächlich sehr angegriffen, und ich brauche Ruhe.|Meine Nerven sind auch tatsächlich sehr angegriffen, und ich brauche Ruhe.
maerchen_005_f000178|Da kam ein kleiner Frosch mit glänzenden Juwelenaugen und einem grüngetupften Rock auf sie zugeschwommen.|Da kam ein kleiner Frosch mit glänzenden Juwelenaugen und einem grüngetupften Rock auf sie zugeschwommen.
maerchen_005_f000179|Aha, ein neuer Ankömmling! sagte der Frosch.|Aha, ein neuer Ankömmling! sagte der Frosch.
maerchen_005_f000180|Nun, alles in allem, es geht doch nichts über Schlamm.|Nun, alles in allem, es geht doch nichts über Schlamm.
maerchen_005_f000181|Wenn ich nur Regenwetter und einen Graben habe, bin ich ganz glücklich.|Wenn ich nur Regenwetter und einen Graben habe, bin ich ganz glücklich.
maerchen_005_f000182|Glauben Sie, daß wir einen feuchten Nachmittag bekommen?|Glauben Sie, daß wir einen feuchten Nachmittag bekommen?
maerchen_005_f000183|Natürlich hoffe ich es, aber der Himmel ist ganz blau und wolkenlos.|Natürlich hoffe ich es, aber der Himmel ist ganz blau und wolkenlos.
maerchen_005_f000184|Wie schade!|Wie schade!
maerchen_005_f000185|Hm!|Hm!
maerchen_005_f000186|hm!|hm!
maerchen_005_f000187|sagte die Rakete und begann zu husten.|sagte die Rakete und begann zu husten.
maerchen_005_f000188|Was für eine entzückende Stimme haben Sie! rief der Frosch.|Was für eine entzückende Stimme haben Sie! rief der Frosch.
maerchen_005_f000189|Wirklich, sie ist ganz wie ein Gequak, und Quaken ist natürlich der musikalischste Klang in der Welt.|Wirklich, sie ist ganz wie ein Gequak, und Quaken ist natürlich der musikalischste Klang in der Welt.
maerchen_005_f000190|Heute abend werden Sie unsern Gesangverein hören.|Heute abend werden Sie unsern Gesangverein hören.
maerchen_005_f000191|Wir sitzen in dem alten Ententeich dicht bei dem Bauernhaus, und sobald der Mond aufgeht, fangen wir an.|Wir sitzen in dem alten Ententeich dicht bei dem Bauernhaus, und sobald der Mond aufgeht, fangen wir an.
maerchen_005_f000192|Es ist so bezaubernd, daß alles wach liegt, um uns zu lauschen.|Es ist so bezaubernd, daß alles wach liegt, um uns zu lauschen.
maerchen_005_f000193|Tatsächlich, erst gestern hörte ich, wie die Bauernfrau zu ihrer Mutter sagte, sie habe nachts unsertwegen kein Auge zumachen können.|Tatsächlich, erst gestern hörte ich, wie die Bauernfrau zu ihrer Mutter sagte, sie habe nachts unsertwegen kein Auge zumachen können.
maerchen_005_f000194|Es ist doch höchst erfreulich, wenn man so populär ist.|Es ist doch höchst erfreulich, wenn man so populär ist.
maerchen_005_f000195|Hm!|Hm!
maerchen_005_f000196|hm! sagte die Rakete ärgerlich.|hm! sagte die Rakete ärgerlich.
maerchen_005_f000197|Sie war sehr entrüstet, weil sie nicht zu Worte kommen konnte.|Sie war sehr entrüstet, weil sie nicht zu Worte kommen konnte.
maerchen_005_f000198|Wirklich, eine entzückende Stimme, fuhr der Frosch fort; hoffentlich kommen Sie zum Ententeich hinüber.|Wirklich, eine entzückende Stimme, fuhr der Frosch fort; hoffentlich kommen Sie zum Ententeich hinüber.
maerchen_005_f000199|Ich muß jetzt fort, um nach meinen Töchtern zu sehen.|Ich muß jetzt fort, um nach meinen Töchtern zu sehen.
maerchen_005_f000200|Ich habe sechs schöne Töchter und fürchte so sehr, der Hecht möchte sie treffen.|Ich habe sechs schöne Töchter und fürchte so sehr, der Hecht möchte sie treffen.
maerchen_005_f000201|Er ist ein wirkliches Scheusal und würde kein Bedenken tragen, sie zum Frühstück zu verzehren.|Er ist ein wirkliches Scheusal und würde kein Bedenken tragen, sie zum Frühstück zu verzehren.
maerchen_005_f000202|Nun, auf Wiedersehn.|Nun, auf Wiedersehn.
maerchen_005_f000203|Ihre Unterhaltung hat mir wirklich sehr viel Vergnügen gemacht.|Ihre Unterhaltung hat mir wirklich sehr viel Vergnügen gemacht.
maerchen_005_f000204|Das nennen Sie Unterhaltung? fragte die Rakete.|Das nennen Sie Unterhaltung? fragte die Rakete.
maerchen_005_f000205|Sie haben die ganze Zeit über allein gesprochen.|Sie haben die ganze Zeit über allein gesprochen.
maerchen_005_f000206|So was ist keine Unterhaltung.|So was ist keine Unterhaltung.
maerchen_005_f000207|Einer muß zuhören, antwortete der Frosch, und ich liebe es, das Reden selbst zu besorgen.|Einer muß zuhören, antwortete der Frosch, und ich liebe es, das Reden selbst zu besorgen.
maerchen_005_f000208|Es spart Zeit und verhindert Auseinandersetzungen.|Es spart Zeit und verhindert Auseinandersetzungen.
maerchen_005_f000209|Aber ich liebe Auseinandersetzungen, sagte die Rakete.|Aber ich liebe Auseinandersetzungen, sagte die Rakete.
maerchen_005_f000210|Hoffentlich nicht, meinte der Frosch gleichmütig.|Hoffentlich nicht, meinte der Frosch gleichmütig.
maerchen_005_f000211|Auseinandersetzungen sind äußerst unfein, denn in guter Gesellschaft haben alle dieselbe Meinung.|Auseinandersetzungen sind äußerst unfein, denn in guter Gesellschaft haben alle dieselbe Meinung.
maerchen_005_f000212|Nochmals, auf Wiedersehn; ich bemerke da hinten meine Töchter, und der kleine Frosch schwamm hinweg.|Nochmals, auf Wiedersehn; ich bemerke da hinten meine Töchter, und der kleine Frosch schwamm hinweg.
maerchen_005_f000213|Sie sind eine ganz unausstehliche Person, rief die Rakete, und sehr schlecht erzogen.|Sie sind eine ganz unausstehliche Person, rief die Rakete, und sehr schlecht erzogen.
maerchen_005_f000214|Ich hasse Leute, die, wie Sie es tun, von sich selbst reden, während ich nach meiner Gewohnheit von mir reden möchte.|Ich hasse Leute, die, wie Sie es tun, von sich selbst reden, während ich nach meiner Gewohnheit von mir reden möchte.
maerchen_005_f000215|Das nenne ich Selbstsucht, und Selbstsucht ist das verächtlichste, was es gibt, besonders wenn sie sich gegen jemand von meiner Veranlagung richtet, denn ich bin wegen meiner gefühlvollen Natur bekannt.|Das nenne ich Selbstsucht, und Selbstsucht ist das verächtlichste, was es gibt, besonders wenn sie sich gegen jemand von meiner Veranlagung richtet, denn ich bin wegen meiner gefühlvollen Natur bekannt.
maerchen_005_f000216|Wirklich, Sie könnten sich an mir ein Beispiel nehmen, ein besseres Vorbild als mich finden Sie überhaupt nicht.|Wirklich, Sie könnten sich an mir ein Beispiel nehmen, ein besseres Vorbild als mich finden Sie überhaupt nicht.
maerchen_005_f000217|Jetzt, da Sie das Glück haben, sollten Sie es auch ausnutzen, denn ich gehe in kürzester Zeit wieder an den Hof zurück.|Jetzt, da Sie das Glück haben, sollten Sie es auch ausnutzen, denn ich gehe in kürzester Zeit wieder an den Hof zurück.
maerchen_005_f000218|Ich stehe beim Hof im höchsten Ansehen; in der Tat, mir zu Ehren wurden gestern der Prinz und die Prinzessin verheiratet.|Ich stehe beim Hof im höchsten Ansehen; in der Tat, mir zu Ehren wurden gestern der Prinz und die Prinzessin verheiratet.
maerchen_005_f000219|Natürlich wissen Sie von all diesen Dingen nichts, denn Sie sind ja aus der Provinz.|Natürlich wissen Sie von all diesen Dingen nichts, denn Sie sind ja aus der Provinz.
maerchen_005_f000220|Es hat keinen Zweck, zu ihm zu sprechen, sagte eine Libelle, die auf der Spitze eines hohen, braunen Schilfrohrs saß; es hat gar keinen Zweck, denn er ist fort.|Es hat keinen Zweck, zu ihm zu sprechen, sagte eine Libelle, die auf der Spitze eines hohen, braunen Schilfrohrs saß; es hat gar keinen Zweck, denn er ist fort.
maerchen_005_f000221|Nun, um so schlimmer für ihn, antwortete die Rakete.|Nun, um so schlimmer für ihn, antwortete die Rakete.
maerchen_005_f000222|Ich werde nicht zu reden aufhören, weil er zufällig nicht acht gibt.|Ich werde nicht zu reden aufhören, weil er zufällig nicht acht gibt.
maerchen_005_f000223|Ich höre mich selbst gerne reden.|Ich höre mich selbst gerne reden.
maerchen_005_f000224|Es ist eins meiner größten Vergnügen.|Es ist eins meiner größten Vergnügen.
maerchen_005_f000225|Ich führe oft lange Unterhaltungen mit mir selbst und bin so geistreich, daß ich manchmal nicht ein einziges Wort von dem verstehe, was ich sage.|Ich führe oft lange Unterhaltungen mit mir selbst und bin so geistreich, daß ich manchmal nicht ein einziges Wort von dem verstehe, was ich sage.
maerchen_005_f000226|Dann sollten Sie wirklich Vorlesungen über Philosophie halten, sagte die Libelle; und sie breitete ein paar liebliche Gazeflügel aus und flog in die Luft empor.|Dann sollten Sie wirklich Vorlesungen über Philosophie halten, sagte die Libelle; und sie breitete ein paar liebliche Gazeflügel aus und flog in die Luft empor.
maerchen_005_f000227|Wie töricht von ihr, daß sie nicht hierblieb! sagte die Rakete.|Wie töricht von ihr, daß sie nicht hierblieb! sagte die Rakete.
maerchen_005_f000228|Sicherlich hat sie nicht oft eine solche Aussicht gehabt, ihre Kenntnisse zu vermehren.|Sicherlich hat sie nicht oft eine solche Aussicht gehabt, ihre Kenntnisse zu vermehren.
maerchen_005_f000229|Übrigens ist es mir gänzlich gleichgültig.|Übrigens ist es mir gänzlich gleichgültig.
maerchen_005_f000230|Ein Genie wie ich wird bestimmt eines Tages anerkannt werden, und sie sank ein klein wenig tiefer in den Morast.|Ein Genie wie ich wird bestimmt eines Tages anerkannt werden, und sie sank ein klein wenig tiefer in den Morast.
maerchen_005_f000231|Nach einiger Zeit schwamm eine große, weiße Ente auf sie zu.|Nach einiger Zeit schwamm eine große, weiße Ente auf sie zu.
maerchen_005_f000232|Sie hatte gelbe Beine und Schwimmhäute an den Füßen und wurde wegen ihres Watschelns für eine große Schönheit gehalten.|Sie hatte gelbe Beine und Schwimmhäute an den Füßen und wurde wegen ihres Watschelns für eine große Schönheit gehalten.
maerchen_005_f000233|Quak, quak, quak, sagte sie.|Quak, quak, quak, sagte sie.
maerchen_005_f000234|Wie merkwürdig Sie aussehen!|Wie merkwürdig Sie aussehen!
maerchen_005_f000235|Darf ich fragen, ob Sie so geboren sind, oder ob es die Folge eines Unfalls ist?|Darf ich fragen, ob Sie so geboren sind, oder ob es die Folge eines Unfalls ist?
maerchen_005_f000236|Man sieht ganz deutlich, daß Sie immer auf dem Lande gelebt haben, antwortete die Rakete, sonst wüßten Sie, wer ich bin.|Man sieht ganz deutlich, daß Sie immer auf dem Lande gelebt haben, antwortete die Rakete, sonst wüßten Sie, wer ich bin.
maerchen_005_f000237|Aber ich verzeihe Ihnen Ihre Unwissenheit.|Aber ich verzeihe Ihnen Ihre Unwissenheit.
maerchen_005_f000238|Es wäre unrecht, zu erwarten, daß andere Leute so vornehm sind, wie man selbst ist.|Es wäre unrecht, zu erwarten, daß andere Leute so vornehm sind, wie man selbst ist.
maerchen_005_f000239|Es wird Sie zweifellos in Staunen versetzen, wenn Sie hören, daß ich in die Luft fliegen kann und in einem Schauer von goldenem Regen wieder herunterkomme.|Es wird Sie zweifellos in Staunen versetzen, wenn Sie hören, daß ich in die Luft fliegen kann und in einem Schauer von goldenem Regen wieder herunterkomme.
maerchen_005_f000240|Davon halte ich nicht viel, sagte die Ente, denn ich sehe nicht ein, was das irgend jemand nützen soll.|Davon halte ich nicht viel, sagte die Ente, denn ich sehe nicht ein, was das irgend jemand nützen soll.
maerchen_005_f000241|Aber wenn Sie wie der Ochse die Felder pflügen, oder wie ein Pferd einen Wagen ziehen könnten, oder wenn Sie wie der Schäferhund nach den Schafen sehen könnten, das wäre etwas.|Aber wenn Sie wie der Ochse die Felder pflügen, oder wie ein Pferd einen Wagen ziehen könnten, oder wenn Sie wie der Schäferhund nach den Schafen sehen könnten, das wäre etwas.
maerchen_005_f000242|Mein gutes Geschöpf, rief die Rakete mit einem sehr stolzen Ton in ihrer Stimme, ich sehe, Sie gehören zu den niederen Klassen.|Mein gutes Geschöpf, rief die Rakete mit einem sehr stolzen Ton in ihrer Stimme, ich sehe, Sie gehören zu den niederen Klassen.
maerchen_005_f000243|Eine Person von meinem Rang ist nie zu etwas nütze.|Eine Person von meinem Rang ist nie zu etwas nütze.
maerchen_005_f000244|Wir haben gewisse Fähigkeiten, und das ist mehr als genügend.|Wir haben gewisse Fähigkeiten, und das ist mehr als genügend.
maerchen_005_f000245|Ich habe keine Vorliebe für irgendwelche gewerbliche Tätigkeit, am wenigsten für solche, wie Sie sie mir da zu empfehlen scheinen.|Ich habe keine Vorliebe für irgendwelche gewerbliche Tätigkeit, am wenigsten für solche, wie Sie sie mir da zu empfehlen scheinen.
maerchen_005_f000246|Ich bin überhaupt der Meinung, daß grobe Arbeit eine Ausflucht für solche Leute ist, die in Wirklichkeit nichts zu tun haben.|Ich bin überhaupt der Meinung, daß grobe Arbeit eine Ausflucht für solche Leute ist, die in Wirklichkeit nichts zu tun haben.
maerchen_005_f000247|Gewiß, gewiß, sagte die Ente, die sehr friedlich veranlagt war und nie mit jemand stritt, jeder hat einen andern Geschmack.|Gewiß, gewiß, sagte die Ente, die sehr friedlich veranlagt war und nie mit jemand stritt, jeder hat einen andern Geschmack.
maerchen_005_f000248|Jedenfalls hoffe ich, daß Sie sich hier dauernd niederlassen.|Jedenfalls hoffe ich, daß Sie sich hier dauernd niederlassen.
maerchen_005_f000249|Auf keinen Fall, meine Liebe! rief die Rakete.|Auf keinen Fall, meine Liebe! rief die Rakete.
maerchen_005_f000250|Ich bin nur ein Besucher, ein vornehmer Besucher.|Ich bin nur ein Besucher, ein vornehmer Besucher.
maerchen_005_f000251|Übrigens finde ich diesen Platz sehr langweilig.|Übrigens finde ich diesen Platz sehr langweilig.
maerchen_005_f000252|Es ist weder Gesellschaft hier noch Einsamkeit.|Es ist weder Gesellschaft hier noch Einsamkeit.
maerchen_005_f000253|Im Grunde ist es richtige Vorstadt.|Im Grunde ist es richtige Vorstadt.
maerchen_005_f000254|Ich werde wahrscheinlich wieder an den Hof zurückkehren, denn ich weiß, daß ich bestimmt bin, in der Welt Aufsehen zu erregen.|Ich werde wahrscheinlich wieder an den Hof zurückkehren, denn ich weiß, daß ich bestimmt bin, in der Welt Aufsehen zu erregen.
maerchen_005_f000255|Ich habe auch schon einmal daran gedacht, in das öffentliche Leben einzutreten, bemerkte die Ente; es gibt so viele Dinge, die man reformieren müßte.|Ich habe auch schon einmal daran gedacht, in das öffentliche Leben einzutreten, bemerkte die Ente; es gibt so viele Dinge, die man reformieren müßte.
maerchen_005_f000256|Vor einiger Zeit habe ich dann auch den Vorsitz in einer Versammlung übernommen, und wir nahmen Resolutionen an, in denen alles verdammt wurde, was wir nicht liebten.|Vor einiger Zeit habe ich dann auch den Vorsitz in einer Versammlung übernommen, und wir nahmen Resolutionen an, in denen alles verdammt wurde, was wir nicht liebten.
maerchen_005_f000257|Aber sie scheinen keine große Wirkung gehabt zu haben.|Aber sie scheinen keine große Wirkung gehabt zu haben.
maerchen_005_f000258|Jetzt bin ich mehr für die Häuslichkeit und bekümmere mich um meine Familie.|Jetzt bin ich mehr für die Häuslichkeit und bekümmere mich um meine Familie.
maerchen_005_f000259|Ich bin für das öffentliche Leben geschaffen, sagte die Rakete, und alle meine Verwandten, selbst die geringsten, sind es auch.|Ich bin für das öffentliche Leben geschaffen, sagte die Rakete, und alle meine Verwandten, selbst die geringsten, sind es auch.
maerchen_005_f000260|So oft wir auch erscheinen, erregen wir großes Aufsehen.|So oft wir auch erscheinen, erregen wir großes Aufsehen.
maerchen_005_f000261|Ich selbst bin bisher noch nicht wirklich aufgetreten, aber wenn ich es tue, wird man einen herrlichen Anblick haben.|Ich selbst bin bisher noch nicht wirklich aufgetreten, aber wenn ich es tue, wird man einen herrlichen Anblick haben.
maerchen_005_f000262|Was Häuslichkeit angeht, die macht einen früh alt und zieht den Geist von den höheren Dingen ab.|Was Häuslichkeit angeht, die macht einen früh alt und zieht den Geist von den höheren Dingen ab.
maerchen_005_f000263|Ach ja, die höheren Dinge des Lebens, wie wundervoll sind sie!|Ach ja, die höheren Dinge des Lebens, wie wundervoll sind sie!
maerchen_005_f000264|sagte die Ente; aber das erinnert mich daran, daß ich Hunger habe, und sie schwamm davon, der Strömung nach, und sagte: Quak, quak, quak.|sagte die Ente; aber das erinnert mich daran, daß ich Hunger habe, und sie schwamm davon, der Strömung nach, und sagte: Quak, quak, quak.
maerchen_005_f000265|Kommen Sie zurück! kommen Sie zurück! schrie die Rakete, ich habe Ihnen noch sehr viel zu sagen, aber die Ente gab keine Acht auf sie.|Kommen Sie zurück! kommen Sie zurück! schrie die Rakete, ich habe Ihnen noch sehr viel zu sagen, aber die Ente gab keine Acht auf sie.
maerchen_005_f000266|Ich bin froh, daß sie weg ist, sagte die Rakete, ihre Ansichten sind ganz kleinbürgerlich, und sie sank ein wenig tiefer in den Schlamm und begann über die Einsamkeit des Genies nachzudenken,|Ich bin froh, daß sie weg ist, sagte die Rakete, ihre Ansichten sind ganz kleinbürgerlich, und sie sank ein wenig tiefer in den Schlamm und begann über die Einsamkeit des Genies nachzudenken,
maerchen_005_f000267|als plötzlich zwei kleine Knaben in weißen Kitteln das Ufer herabrannten mit einem Kessel und einigen Holzscheiten.|als plötzlich zwei kleine Knaben in weißen Kitteln das Ufer herabrannten mit einem Kessel und einigen Holzscheiten.
maerchen_005_f000268|Dies muß eine Deputation sein , sagte die Rakete und versuchte, ein sehr würdevolles Gesicht zu machen.|Dies muß eine Deputation sein , sagte die Rakete und versuchte, ein sehr würdevolles Gesicht zu machen.
maerchen_005_f000269|Hallo! schrie der eine der Knaben, sieh diesen alten Stock!|Hallo! schrie der eine der Knaben, sieh diesen alten Stock!
maerchen_005_f000270|Wie mag der wohl hierhergekommen sein, und er fischte die Rakete aus dem Graben hervor.|Wie mag der wohl hierhergekommen sein, und er fischte die Rakete aus dem Graben hervor.
maerchen_005_f000271|Alter Stock! sagte die Rakete, unmöglich!|Alter Stock! sagte die Rakete, unmöglich!
maerchen_005_f000272|Seltner Stock, hat er gesagt.|Seltner Stock, hat er gesagt.
maerchen_005_f000273|Seltner Stock ist sehr schmeichelhaft.|Seltner Stock ist sehr schmeichelhaft.
maerchen_005_f000274|Wahrhaftig, er hält mich für einen Würdenträger vom Hofe!|Wahrhaftig, er hält mich für einen Würdenträger vom Hofe!
maerchen_005_f000275|Wir wollen ihn mit ins Feuer werfen! sagte der andere Knabe, desto schneller kocht der Kessel.|Wir wollen ihn mit ins Feuer werfen! sagte der andere Knabe, desto schneller kocht der Kessel.
maerchen_005_f000276|Sie schichteten nun die Scheite zusammen, legten die Rakete oben drauf und steckten das Feuer an.|Sie schichteten nun die Scheite zusammen, legten die Rakete oben drauf und steckten das Feuer an.
maerchen_005_f000277|Das ist großartig, rief die Rakete; sie lassen mich am hellen Tag losgehen, so daß mich jeder sehen kann.|Das ist großartig, rief die Rakete; sie lassen mich am hellen Tag losgehen, so daß mich jeder sehen kann.
maerchen_005_f000278|Wir wollen jetzt schlafen, sagten die Knaben, wenn wir aufwachen, wird der Kessel kochen, und sie legten sich ins Gras und schlossen die Augen.|Wir wollen jetzt schlafen, sagten die Knaben, wenn wir aufwachen, wird der Kessel kochen, und sie legten sich ins Gras und schlossen die Augen.
maerchen_005_f000279|Die Rakete war sehr feucht, und so dauerte es ziemlich lange, bis sie brannte.|Die Rakete war sehr feucht, und so dauerte es ziemlich lange, bis sie brannte.
maerchen_005_f000280|Schließlich aber faßte sie das Feuer.|Schließlich aber faßte sie das Feuer.
maerchen_005_f000281|Jetzt gehe ich los!|Jetzt gehe ich los!
maerchen_005_f000282|rief sie und hielt sich ganz steif und gerade.|rief sie und hielt sich ganz steif und gerade.
maerchen_005_f000283|Ich weiß, ich werde viel höher fliegen als die Sterne, viel höher als der Mond, viel höher als die Sonne.|Ich weiß, ich werde viel höher fliegen als die Sterne, viel höher als der Mond, viel höher als die Sonne.
maerchen_005_f000284|Sß!|Sß!
maerchen_005_f000285|Sß!|Sß!
maerchen_005_f000286|Sß! machte sie und stieg steil in die Luft.|Sß! machte sie und stieg steil in die Luft.
maerchen_005_f000287|Wundervoll! rief sie, so werde ich immer weiter fliegen.|Wundervoll! rief sie, so werde ich immer weiter fliegen.
maerchen_005_f000288|Welch einen Erfolg habe ich!|Welch einen Erfolg habe ich!
maerchen_005_f000289|Aber niemand sah sie.|Aber niemand sah sie.
maerchen_005_f000290|Dann überkam sie auf einmal ein seltsames, prickelndes Gefühl.|Dann überkam sie auf einmal ein seltsames, prickelndes Gefühl.
maerchen_005_f000291|Jetzt werde ich explodieren , rief sie.|Jetzt werde ich explodieren , rief sie.
maerchen_005_f000292|Ich werde die ganze Welt in Brand setzen und einen solchen Lärm machen, daß ein ganzes Jahr lang niemand von etwas anderem sprechen wird.|Ich werde die ganze Welt in Brand setzen und einen solchen Lärm machen, daß ein ganzes Jahr lang niemand von etwas anderem sprechen wird.
maerchen_005_f000293|Und sie explodierte auch wirklich.|Und sie explodierte auch wirklich.
maerchen_005_f000294|Daran war nicht zu zweifeln.|Daran war nicht zu zweifeln.
maerchen_005_f000295|Aber niemand hörte sie, nicht einmal die beiden kleinen Knaben, denn die lagen in festem Schlaf.|Aber niemand hörte sie, nicht einmal die beiden kleinen Knaben, denn die lagen in festem Schlaf.
maerchen_005_f000296|Und es blieb nichts von ihr übrig als der Stock, und der fiel einer Gans auf den Rücken, die den Graben entlang einen Spaziergang machte.|Und es blieb nichts von ihr übrig als der Stock, und der fiel einer Gans auf den Rücken, die den Graben entlang einen Spaziergang machte.
maerchen_005_f000297|Du lieber Himmel! rief die Gans.|Du lieber Himmel! rief die Gans.
maerchen_005_f000298|Es regnet Stöcke, und sie stürzte sich ins Wasser.|Es regnet Stöcke, und sie stürzte sich ins Wasser.
maerchen_005_f000299|Ich wußte ja, daß ich ein großes Aufsehen erregen würde, keuchte die Rakete, und dann erlosch sie.|Ich wußte ja, daß ich ein großes Aufsehen erregen würde, keuchte die Rakete, und dann erlosch sie.
maerchen_005_f000300|Ende von Die vornehme Rakete.|Ende von Die vornehme Rakete.
maerchen_006_f000001|Absnitt 6 von märchen von Oskar Wild.|Absnitt sechs von marchen von Oskar Wild.
maerchen_006_f000002|Ubersetzt von wilhelm krämer.|Ubersetzt von wilhelm krämer.
maerchen_006_f000003|Diese librivox aufnahme ist in der public domain.|Diese librivox aufnahme ist in der public domain.
maerchen_006_f000004|Der junge König.|Der junge König.
maerchen_006_f000005|Es war am Vorabend seines Krönungstages, und der junge König saß allein in seinem schönen Gemach.|Es war am Vorabend seines Krönungstages, und der junge König saß allein in seinem schönen Gemach.
maerchen_006_f000006|Seine Höflinge hatten sich alle von ihm verabschiedet, indem sie nach der feierlichen Sitte des Tages ihre Köpfe bis zur Erde verneigten, und waren jetzt in dem großen Saal des Palastes versammelt,|Seine Höflinge hatten sich alle von ihm verabschiedet, indem sie nach der feierlichen Sitte des Tages ihre Köpfe bis zur Erde verneigten, und waren jetzt in dem großen Saal des Palastes versammelt,
maerchen_006_f000007|um von dem Professor des feinen Anstands ein paar letzte Anweisungen zu erhalten.|um von dem Professor des feinen Anstands ein paar letzte Anweisungen zu erhalten.
maerchen_006_f000008|Denn es gab unter ihnen einige, die noch ein ganz natürliches Benehmen zeigten, was bei einem Höfling, man braucht das kaum zu erwähnen, ein sehr schwerer Verstoß ist.|Denn es gab unter ihnen einige, die noch ein ganz natürliches Benehmen zeigten, was bei einem Höfling, man braucht das kaum zu erwähnen, ein sehr schwerer Verstoß ist.
maerchen_006_f000009|Der Jüngling – denn er war nur ein Jüngling, da er erst sechzehn Jahre zählte – grämte sich nicht über ihr Fortgehen.|Der Jüngling - denn er war nur ein Jüngling, da er erst sechzehn Jahre zählte - grämte sich nicht über ihr Fortgehen.
maerchen_006_f000010|Mit einem tiefen Seufzer der Befreiung hatte er sich auf die weichen Kissen seines bestickten Lagers zurückgeworfen und lag da mit wilden Augen und offenem Munde,|Mit einem tiefen Seufzer der Befreiung hatte er sich auf die weichen Kissen seines bestickten Lagers zurückgeworfen und lag da mit wilden Augen und offenem Munde,
maerchen_006_f000011|wie ein brauner Waldfaun oder ein junges Tier aus dem Forst, das um ein Haar in die Schlingen der Jäger geraten war.|wie ein brauner Waldfaun oder ein junges Tier aus dem Forst, das um ein Haar in die Schlingen der Jäger geraten war.
maerchen_006_f000012|Und es waren ja auch wirklich Jäger, die ihn gefunden hatten, die fast durch Zufall auf ihn gestoßen waren, als er barfüßig, eine Flöte in der Hand,|Und es waren ja auch wirklich Jäger, die ihn gefunden hatten, die fast durch Zufall auf ihn gestoßen waren, als er barfüßig, eine Flöte in der Hand,
maerchen_006_f000013|der Herde des armen Ziegenhirten folgte, der ihn aufgezogen, und für dessen Sohn er sich immer gehalten hatte.|der Herde des armen Ziegenhirten folgte, der ihn aufgezogen, und für dessen Sohn er sich immer gehalten hatte.
maerchen_006_f000014|Er stammte aber aus einer heimlichen Ehe der einzigen Tochter des alten Königs mit einem Manne, der weit unter ihr stand – einem Fremden, wie einige sagten,|Er stammte aber aus einer heimlichen Ehe der einzigen Tochter des alten Königs mit einem Manne, der weit unter ihr stand - einem Fremden, wie einige sagten,
