altehaus_001_f000001|Kapitel 1.|Kapitel eins.
altehaus_001_f000155|So viel war gewiß, die alte Wirtschafterin blieb verschwunden, und man weiß wohl bis auf den heutigen Tag noch nicht, was aus ihr geworden.|So viel war gewiß, die alte Wirtschafterin blieb verschwunden, und man weiß wohl bis auf den heutigen Tag noch nicht, was aus ihr geworden.
altehaus_001_f000156|Marie hatte bei Erwähnung des Knaben leise und langsam mit dem Köpfchen genickt, als ob sie das auch wisse und Alles ganz in der Ordnung sei.|Marie hatte bei Erwähnung des Knaben leise und langsam mit dem Köpfchen genickt, als ob sie das auch wisse und Alles ganz in der Ordnung sei.
altehaus_001_f000157|Sie erwiderte aber kein Wort und schloß nur, wie vorher, die Augen.|Sie erwiderte aber kein Wort und schloß nur, wie vorher, die Augen.
altehaus_001_f000158|Die Mutter arbeitete indessen weiter und glaubte, daß die Tochter eingeschlafen sei.|Die Mutter arbeitete indessen weiter und glaubte, daß die Tochter eingeschlafen sei.
altehaus_003_f000001|Kapitel 3.|Kapitel drei.
altehaus_003_f000002|Marie schlief die ganze Nacht ununterbrochen, aber nicht so sanft und ruhig fort, wie nach der ersten erschlaffenden Wirkung des Aethers.|Marie schlief die ganze Nacht ununterbrochen, aber nicht so sanft und ruhig fort, wie nach der ersten erschlaffenden Wirkung des Aethers.
altehaus_003_f000003|Sie träumte lebhaft, sprach oft einzelne unzusammenhängende Worte, :q!|Sie träumte lebhaft, sprach oft einzelne unzusammenhängende Worte, :q!
altehaus_003_f000004|einige Mal und faßte auch wohl krampfhaft und wie ängstlich der Mutter Hand, die nicht von ihrer Seite wich.|einige Mal und faßte auch wohl krampfhaft und wie ängstlich der Mutter Hand, die nicht von ihrer Seite wich.
altehaus_003_f000005|Nichts desto weniger stand die Sonne schon am Himmel, als sie endlich erwachte, oder vielmehr die Augen öffnete, und halb träumend noch umherschaute.|Nichts desto weniger stand die Sonne schon am Himmel, als sie endlich erwachte, oder vielmehr die Augen öffnete, und halb träumend noch umherschaute.
altehaus_003_f000006|Kurz vorher hatte der Hausarzt das Zimmer wieder betreten und hielt jetzt ihre linke Hand, den Gang des Pulses zu fühlen, während ihre Rechte in der der Mutter ruhte.|Kurz vorher hatte der Hausarzt das Zimmer wieder betreten und hielt jetzt ihre linke Hand, den Gang des Pulses zu fühlen, während ihre Rechte in der der Mutter ruhte.
altehaus_003_f000007|Mutter, flüsterte das Kind endlich leise, liebe Mutter!|Mutter, flüsterte das Kind endlich leise, liebe Mutter!
altehaus_003_f000008|Ja, mein Kind, ich bin bei Dir, sagte diese, sie an sich drückend und küssend.|Ja, mein Kind, ich bin bei Dir, sagte diese, sie an sich drückend und küssend.
altehaus_003_f000009|Ich gehe nicht fort von Dir.|Ich gehe nicht fort von Dir.
altehaus_003_f000010|Halte Dich nur ruhig, und Du wirst bald wieder vollkommen wohl sein.|Halte Dich nur ruhig, und Du wirst bald wieder vollkommen wohl sein.
altehaus_003_f000011|Und darf ich dann auch wieder einmal zum Herrn Quetzlinberger und zu Gundelrebe hinüber, liebe Mutter? fragte Marie.|Und darf ich dann auch wieder einmal zum Herrn Quetzlinberger und zu Gundelrebe hinüber, liebe Mutter? fragte Marie.
altehaus_003_f000012|Die arme Frau seufzte recht tief auf, denn was das Kind aus seinem Traume sprach, klang ihr gar zu unheimlich.|Die arme Frau seufzte recht tief auf, denn was das Kind aus seinem Traume sprach, klang ihr gar zu unheimlich.
altehaus_003_f000013|Besinne Dich doch nur, Mariechen, bat sie endlich mit zärtlicher Stimme; Du hast ja das Alles nur, von dem Aether betäubt, geträumt, und bist ja die ganze Zeit nicht hier aus der Stube, nicht aus dem Lehnstuhl hinaus gekommen.|Besinne Dich doch nur, Mariechen, bat sie endlich mit zärtlicher Stimme; Du hast ja das Alles nur, von dem Aether betäubt, geträumt, und bist ja die ganze Zeit nicht hier aus der Stube, nicht aus dem Lehnstuhl hinaus gekommen.
altehaus_003_f000014|Nicht? sagte Marie, rasch und erstaunt zu ihr aufschauend, und ich wäre nicht nebenan in dem alten Hause gewesen?|Nicht? sagte Marie, rasch und erstaunt zu ihr aufschauend, und ich wäre nicht nebenan in dem alten Hause gewesen?
altehaus_003_f000015|Mit keinem Fuße, Kind.|Mit keinem Fuße, Kind.
altehaus_003_f000016|Aber die Thür stand doch offen.|Aber die Thür stand doch offen.
altehaus_003_f000017|Welche Thür?|Welche Thür?
altehaus_003_f000018|Nun, die an der Treppe, an der Gundelrebe schon so oft geklopft hat, wenn ich oder jemand Anderes vorüber ging.|Nun, die an der Treppe, an der Gundelrebe schon so oft geklopft hat, wenn ich oder jemand Anderes vorüber ging.
altehaus_003_f000019|Gundelrebe?|Gundelrebe?
altehaus_003_f000020|wer um Gottes willen ist Gundelrebe? fragte die Mutter, der die Thränen in die Augen traten.|wer um Gottes willen ist Gundelrebe? fragte die Mutter, der die Thränen in die Augen traten.
altehaus_003_f000021|Gundelrebe? ei, das ist ja der Neffe des alten Herrn Quetzlinberger, der die feine schmale Narbe über der Stirn hat.|Gundelrebe? ei, das ist ja der Neffe des alten Herrn Quetzlinberger, der die feine schmale Narbe über der Stirn hat.
altehaus_003_f000022|Der Arzt hatte indessen noch immer ihre Hand gehalten; den Puls aber vollkommen frei von Fieber fühlend, sagte er freundlich:|Der Arzt hatte indessen noch immer ihre Hand gehalten; den Puls aber vollkommen frei von Fieber fühlend, sagte er freundlich:
altehaus_003_f000023|Du bist gestern nicht aus der Stube gekommen, liebes Kind, und wie Dir Deine Mutter sagt, ist sie nicht von Deiner Seite gewichen; das darfst Du glauben.|Du bist gestern nicht aus der Stube gekommen, liebes Kind, und wie Dir Deine Mutter sagt, ist sie nicht von Deiner Seite gewichen; das darfst Du glauben.
altehaus_003_f000024|Wenn Du also wirklich fortgewesen wärest, müßte sie Dich doch gleich vermißt haben, nicht wahr?|Wenn Du also wirklich fortgewesen wärest, müßte sie Dich doch gleich vermißt haben, nicht wahr?
altehaus_003_f000025|Ueberdies möchte es Dir auch schwer geworden sein, in das alte Haus hinein zu kommen.|Ueberdies möchte es Dir auch schwer geworden sein, in das alte Haus hinein zu kommen.
altehaus_003_f000026|Aber ich bin nun doch einmal drüben gewesen und habe es mit meinen eigenen Augen gesehen, sagte tief erröthend das Kind.|Aber ich bin nun doch einmal drüben gewesen und habe es mit meinen eigenen Augen gesehen, sagte tief erröthend das Kind.
altehaus_003_f000027|Es fiel ihm jetzt wieder ein, was ihr der alte Herr Quetzlinberger gesagt hatte, daß es ihr Niemand glauben würde, und wie er dann fast erstickt war von heftigem Husten.|Es fiel ihm jetzt wieder ein, was ihr der alte Herr Quetzlinberger gesagt hatte, daß es ihr Niemand glauben würde, und wie er dann fast erstickt war von heftigem Husten.
altehaus_003_f000028|Sie deckte dabei ihre bleiche Stirn mit beiden, fast durchsichtig dünnen Händchen und hielt eine ganze Zeit lang die Augen geschlossen.|Sie deckte dabei ihre bleiche Stirn mit beiden, fast durchsichtig dünnen Händchen und hielt eine ganze Zeit lang die Augen geschlossen.
altehaus_003_f000029|Unten von der Treppe schallte indessen Hämmern und Pochen herauf, und nachdem Marie kurze Zeit dem fremdartigen Geräusch, auf das sie erst nach und nach aufmerksam wurde, gelauscht hatte, fragte sie leise:|Unten von der Treppe schallte indessen Hämmern und Pochen herauf, und nachdem Marie kurze Zeit dem fremdartigen Geräusch, auf das sie erst nach und nach aufmerksam wurde, gelauscht hatte, fragte sie leise:
altehaus_003_f000030|Was ist das, Mama?|Was ist das, Mama?
altehaus_003_f000031|Das ist die häßliche Thür, erwiderte die Mutter, indem sie liebkosend das Haar von der Stirn der Kranken strich, die häßliche Thür, die uns schon so viel Aerger,|Das ist die häßliche Thür, erwiderte die Mutter, indem sie liebkosend das Haar von der Stirn der Kranken strich, die häßliche Thür, die uns schon so viel Aerger,
altehaus_003_f000032|Noch und Sorge gemacht hat, und die der Rath der Stadt endlich auf Deines Vaters ernste und entschiedene Vorstellungen zumauern läßt.|Noch und Sorge gemacht hat, und die der Rath der Stadt endlich auf Deines Vaters ernste und entschiedene Vorstellungen zumauern läßt.
altehaus_003_f000033|Die Thür ist offen? rief aber Marie schnell; siehst Du, Mama, daß ich recht gehabt und nicht gelogen habe?|Die Thür ist offen? rief aber Marie schnell; siehst Du, Mama, daß ich recht gehabt und nicht gelogen habe?
altehaus_003_f000034|Aber Du hörst ja, daß sie erst heute Morgen geöffnet wurde! rief die Mutter – die Leute haben erst vor kaum einer halben Stunde damit begonnen.|Aber Du hörst ja, daß sie erst heute Morgen geöffnet wurde! rief die Mutter - die Leute haben erst vor kaum einer halben Stunde damit begonnen.
altehaus_003_f000035|Und darf ich einmal hineingehen in den Gang? fragte schüchtern Marie.|Und darf ich einmal hineingehen in den Gang? fragte schüchtern Marie.
altehaus_003_f000036|Gott bewahre! rief da rasch der Arzt, wir müssen jede solche unnöthige und thörichte Aufregung streng vermeiden, und man soll um Gottes Willen nicht mit solch albernen Geschichten spielen und Mißbrauch treiben.|Gott bewahre! rief da rasch der Arzt, wir müssen jede solche unnöthige und thörichte Aufregung streng vermeiden, und man soll um Gottes Willen nicht mit solch albernen Geschichten spielen und Mißbrauch treiben.
altehaus_003_f000037|In die alte unnütze Thür kommt jetzt, wie mir die Leute unten sagten, eine vier Fuß dicke Mauer, und das wird dem verrückten Mädchenschnack hier im Hause endlich einmal ein Ziel setzen.|In die alte unnütze Thür kommt jetzt, wie mir die Leute unten sagten, eine vier Fuß dicke Mauer, und das wird dem verrückten Mädchenschnack hier im Hause endlich einmal ein Ziel setzen.
altehaus_003_f000038|Der Herr Regierungs-Rath hätte das schon lange betreiben sollen.|Der Herr Regierungs-Rath hätte das schon lange betreiben sollen.
altehaus_003_f000039|Eine vier Fuß dicke Mauer! seufzte Marie leise vor sich hin, aber du lieber Gott, da kann ja ... Sie hielt plötzlich ein und blickte still und erröthend vor sich nieder, als ob sie sich scheue, das auszusprechen, was sie gerade überdacht.|Eine vier Fuß dicke Mauer! seufzte Marie leise vor sich hin, aber du lieber Gott, da kann ja ... Sie hielt plötzlich ein und blickte still und erröthend vor sich nieder, als ob sie sich scheue, das auszusprechen, was sie gerade überdacht.
altehaus_003_f000040|Was, mein liebes Kind – was kann?|Was, mein liebes Kind - was kann?
altehaus_003_f000041|– was meinst Du? fragte sie die Mutter.|- was meinst Du? fragte sie die Mutter.
altehaus_003_f000042|Marie barg das Köpfchen an ihrer Brust, schüttelte es aber dabei und sagte leise: Nichts, nichts, liebe Mutter – der Traum will mir noch immer nicht aus dem Sinn – er war gar zu lebhaft und ... und das Hämmern und Klopfen da unten thut mir weh.|Marie barg das Köpfchen an ihrer Brust, schüttelte es aber dabei und sagte leise: Nichts, nichts, liebe Mutter - der Traum will mir noch immer nicht aus dem Sinn - er war gar zu lebhaft und ... und das Hämmern und Klopfen da unten thut mir weh.
altehaus_003_f000043|Müssen sie denn solch eine dicke Mauer in die Thür setzen?|Müssen sie denn solch eine dicke Mauer in die Thür setzen?
altehaus_003_f000044|Gewiß, Marie, beruhigte sie die Mutter.|Gewiß, Marie, beruhigte sie die Mutter.
altehaus_003_f000045|Es ist der Leute wegen, damit das tolle Gerede endlich einmal aufhört.|Es ist der Leute wegen, damit das tolle Gerede endlich einmal aufhört.
altehaus_003_f000046|Ein eigener Gedanke schien aus des Kindes Augen zu blitzen, und zu dem Doctor rasch und mißtrauisch aufschauend, sagte sie: Aber weßhalb vier Fuß dick, Doctor?|Ein eigener Gedanke schien aus des Kindes Augen zu blitzen, und zu dem Doctor rasch und mißtrauisch aufschauend, sagte sie: Aber weßhalb vier Fuß dick, Doctor?
altehaus_003_f000047|Wenn wirklich Niemand dahinter klopft und hindurch will, wäre doch die eiserne Thür allein genug gewesen – und wenn ...|Wenn wirklich Niemand dahinter klopft und hindurch will, wäre doch die eiserne Thür allein genug gewesen - und wenn ...
altehaus_003_f000048|Und wenn – Marie? fragte die Mutter, dem Doctor dabei einen ängstlichen Blick zuwerfend.|Und wenn - Marie? fragte die Mutter, dem Doctor dabei einen ängstlichen Blick zuwerfend.
altehaus_003_f000049|Und wenn nun doch Gundelrebe, fuhr das Mädchen, sich ein Herz fassend, fort, wenn nun doch Gundelrebe in dem dunklen Gange säße, wäre es da nicht traurig, ihm jede Hoffnung abzuschneiden,|Und wenn nun doch Gundelrebe, fuhr das Mädchen, sich ein Herz fassend, fort, wenn nun doch Gundelrebe in dem dunklen Gange säße, wäre es da nicht traurig, ihm jede Hoffnung abzuschneiden,
altehaus_003_f000050|je heraus zu kommen, und müßte er dann nicht in Jammer und Einsamkeit da drinnen vergehen?|je heraus zu kommen, und müßte er dann nicht in Jammer und Einsamkeit da drinnen vergehen?
altehaus_003_f000051|Papperlapapp! lachte der Doctor, quäle Dich nur jetzt nicht mit solch albernen Ideen!|Papperlapapp! lachte der Doctor, quäle Dich nur jetzt nicht mit solch albernen Ideen!
altehaus_003_f000052|Die dicke Mauer wird nicht aus Furcht vorgesetzt, daß irgend Jemand von innen heraus brechen könnte, sondern nur um das Gesinde zu beruhigen und die Thür selber zu entfernen.|Die dicke Mauer wird nicht aus Furcht vorgesetzt, daß irgend Jemand von innen heraus brechen könnte, sondern nur um das Gesinde zu beruhigen und die Thür selber zu entfernen.
altehaus_003_f000053|Wenn die erst einmal fort ist und solch ein Haufen Backsteine dasteht, werden auch die Furchtsamsten Muth bekommen und nicht mehr an Geister denken.|Wenn die erst einmal fort ist und solch ein Haufen Backsteine dasteht, werden auch die Furchtsamsten Muth bekommen und nicht mehr an Geister denken.
altehaus_003_f000054|Säße aber wirklich Dein Gundelrebe dahinter, so könnte er zu irgend einem Fenster oder Kellerloch oder oben zum Dach deßhalb noch immer mit Bequemlichkeit herauskommen.|Säße aber wirklich Dein Gundelrebe dahinter, so könnte er zu irgend einem Fenster oder Kellerloch oder oben zum Dach deßhalb noch immer mit Bequemlichkeit herauskommen.
altehaus_003_f000055|Die Fenster sind ja doch nicht zugemauert, und selbst ein gewöhnlicher Mensch könnte von innen herauskommen, wie viel mehr denn ein Geist!|Die Fenster sind ja doch nicht zugemauert, und selbst ein gewöhnlicher Mensch könnte von innen herauskommen, wie viel mehr denn ein Geist!
altehaus_003_f000056|Mache Dir also darüber ja keine unnützen Sorgen, Marie; schlafe jetzt hübsch und halte Dich ein Paar Tage ruhig, bis sich die Schmerzen im Zahnfleisch und die Folgen des Aethers verloren haben.|Mache Dir also darüber ja keine unnützen Sorgen, Marie; schlafe jetzt hübsch und halte Dich ein Paar Tage ruhig, bis sich die Schmerzen im Zahnfleisch und die Folgen des Aethers verloren haben.
altehaus_003_f000057|Sobald Du dann neue Kräfte gesammelt hast, werden Dir auch die traurigen und überspannten Gedanken vergehen, und Du wirst wieder unser munteres braves Mariechen sein, wie in früherer Zeit.|Sobald Du dann neue Kräfte gesammelt hast, werden Dir auch die traurigen und überspannten Gedanken vergehen, und Du wirst wieder unser munteres braves Mariechen sein, wie in früherer Zeit.
altehaus_003_f000058|Marie war seinen Worten mit der gespanntesten Aufmerksamkeit gefolgt, und als er die Fenster und Kellerlöcher erwähnte, nickte sie ihm leise und lächelnd zu.|Marie war seinen Worten mit der gespanntesten Aufmerksamkeit gefolgt, und als er die Fenster und Kellerlöcher erwähnte, nickte sie ihm leise und lächelnd zu.
altehaus_003_f000059|Dann sank sie wieder, die Augen schließend, auf ihr Kissen zurück.|Dann sank sie wieder, die Augen schließend, auf ihr Kissen zurück.
altehaus_003_f000060|Die Kranke schien übrigens mit diesem Gespräch eine Art von Krisis überstanden zu haben.|Die Kranke schien übrigens mit diesem Gespräch eine Art von Krisis überstanden zu haben.
altehaus_003_f000061|Sie schlief fast den ganzen Tag vollkommen ruhig, wachte gegen Abend auf und genoß etwas, und verbrachte dann eine eben so ruhige Nacht, ohne ein einziges Mal mehr das alte Haus, den Herrn Quetzlinberger oder Gundelrebe zu erwähnen.|Sie schlief fast den ganzen Tag vollkommen ruhig, wachte gegen Abend auf und genoß etwas, und verbrachte dann eine eben so ruhige Nacht, ohne ein einziges Mal mehr das alte Haus, den Herrn Quetzlinberger oder Gundelrebe zu erwähnen.
altehaus_003_f000062|Die Mutter kam übrigens in der Zeit gar nicht von ihrem Bette, und schlief selbst die Nacht auf dem Sopha neben ihr.|Die Mutter kam übrigens in der Zeit gar nicht von ihrem Bette, und schlief selbst die Nacht auf dem Sopha neben ihr.
altehaus_003_f000063|Die nächsten Tage fühlte sich Marie viel kräftiger und wieder ziemlich wohl, und da sich die Eltern jede Mühe gaben, sie zu zerstreuen und aufzuheitern, so wurden die Bilder jenes Abends,|Die nächsten Tage fühlte sich Marie viel kräftiger und wieder ziemlich wohl, und da sich die Eltern jede Mühe gaben, sie zu zerstreuen und aufzuheitern, so wurden die Bilder jenes Abends,
altehaus_003_f000064|die ihr mit so merkwürdiger Schärfe vor der Seele gestanden, schwächer und schwächer.|die ihr mit so merkwürdiger Schärfe vor der Seele gestanden, schwächer und schwächer.
altehaus_003_f000065|Ihre Umrisse verloren erst an Klarheit, und mit anderen Träumen, du sie später geträumt, verschwamm das Ganze endlich zu einem wohl immer noch wunderlichen, aber doch wirren Bilde,|Ihre Umrisse verloren erst an Klarheit, und mit anderen Träumen, du sie später geträumt, verschwamm das Ganze endlich zu einem wohl immer noch wunderlichen, aber doch wirren Bilde,
altehaus_003_f000066|dessen einzelne Gestalten sie schon nicht mehr so genau abzuscheiden vermochte, und die deßhalb auch bald ihre Macht über sie verloren.|dessen einzelne Gestalten sie schon nicht mehr so genau abzuscheiden vermochte, und die deßhalb auch bald ihre Macht über sie verloren.
altehaus_003_f000067|Die Thür war indessen, ohne den Gang weiter zu untersuchen, unter Aufsicht der Behörde fest vermauert worden.|Die Thür war indessen, ohne den Gang weiter zu untersuchen, unter Aufsicht der Behörde fest vermauert worden.
altehaus_003_f000068|Der Regierungs-Rath ließ dann die Stelle mit Kalk bewerfen und die ganze Treppe frisch malen, so daß auch die letzte Spur des hier früher befindlich gewesenen Einganges verschwand.|Der Regierungs-Rath ließ dann die Stelle mit Kalk bewerfen und die ganze Treppe frisch malen, so daß auch die letzte Spur des hier früher befindlich gewesenen Einganges verschwand.
altehaus_003_f000069|Nach einigen Wochen sprach auch im ganzen Hause kein Mensch mehr davon.|Nach einigen Wochen sprach auch im ganzen Hause kein Mensch mehr davon.
altehaus_003_f000070|Nur Marie ging im Anfang noch mit einiger Angst, mit einem eigenen, schwer zu beschreibenden Gefühle daran vorüber.|Nur Marie ging im Anfang noch mit einiger Angst, mit einem eigenen, schwer zu beschreibenden Gefühle daran vorüber.
altehaus_003_f000071|Aber auch das verlor sich bald, und der Arzt empfahl ihren Eltern jetzt Luftveränderung und Scenenwechsel für die Tochter, um die rasch vorwärts schreitende Genesung zu beschleunigen und zu sichern.|Aber auch das verlor sich bald, und der Arzt empfahl ihren Eltern jetzt Luftveränderung und Scenenwechsel für die Tochter, um die rasch vorwärts schreitende Genesung zu beschleunigen und zu sichern.
altehaus_003_f000072|Dem Regierungs-Rathe war das selbst erwünscht, Urlaub zu einer kleinen Reise zu bekommen, und er benutzte den erhaltenen, mit seiner Familie auf kurze Zeit ein Seebad zu besuchen.|Dem Regierungs-Rathe war das selbst erwünscht, Urlaub zu einer kleinen Reise zu bekommen, und er benutzte den erhaltenen, mit seiner Familie auf kurze Zeit ein Seebad zu besuchen.
altehaus_003_f000073|Auf Norderney, von dem kühlen Salzwasser gekräftigt, gesundete das junge Mädchen auch von Tag zu Tag, und als sie Ende August wieder nach Hellburg zurückkehrten, war die letzte Spur der Krankheit verschwunden.|Auf Norderney, von dem kühlen Salzwasser gekräftigt, gesundete das junge Mädchen auch von Tag zu Tag, und als sie Ende August wieder nach Hellburg zurückkehrten, war die letzte Spur der Krankheit verschwunden.
altehaus_003_f000074|Selbst ein früheres Leiden, oder vielmehr eine Schwäche, die ihren Grund vielleicht ebenfalls mit in der zu großen Reizbarkeit ihrer Nerven fand, hatte sich fast ganz dabei verloren.|Selbst ein früheres Leiden, oder vielmehr eine Schwäche, die ihren Grund vielleicht ebenfalls mit in der zu großen Reizbarkeit ihrer Nerven fand, hatte sich fast ganz dabei verloren.
altehaus_003_f000075|Ihre Träume hatten nämlich in der letzten Zeit einen so hohen Grad von Lebendigkeit erreicht gehabt, daß sie im Schlafe sogar, ohne es zu wissen, aufstand und in der Stube umherging.|Ihre Träume hatten nämlich in der letzten Zeit einen so hohen Grad von Lebendigkeit erreicht gehabt, daß sie im Schlafe sogar, ohne es zu wissen, aufstand und in der Stube umherging.
altehaus_003_f000076|Es war, wenn auch keine wirkliche Mondsucht, doch ein geringerer Grad derselben und hatte die Mutter schon mehrmals sehr geängstigt.|Es war, wenn auch keine wirkliche Mondsucht, doch ein geringerer Grad derselben und hatte die Mutter schon mehrmals sehr geängstigt.
altehaus_003_f000077|Das war durch das stärkende Seebad, die Luftveränderung und überhaupt die durchaus gekräftigte Natur des Kindes jetzt ebenfalls überwunden worden, und die fixen Ideen aus der früheren Zeit,|Das war durch das stärkende Seebad, die Luftveränderung und überhaupt die durchaus gekräftigte Natur des Kindes jetzt ebenfalls überwunden worden, und die fixen Ideen aus der früheren Zeit,
altehaus_003_f000078|mit dem Einfluß, den der Traum auf sie gehabt, schienen sich ganz verloren zu haben.|mit dem Einfluß, den der Traum auf sie gehabt, schienen sich ganz verloren zu haben.
altehaus_003_f000079|Wie sie bei der Rückkehr die Treppe im Hause wieder hinaufstieg, blieb sie sogar an der vermauerten Thür lachend stehen, klopfte daran und rief Gundelrebe bei Namen.|Wie sie bei der Rückkehr die Treppe im Hause wieder hinaufstieg, blieb sie sogar an der vermauerten Thür lachend stehen, klopfte daran und rief Gundelrebe bei Namen.
altehaus_003_f000080|Die Mutter, die noch immer nicht ohne Unruhe der damals qualvoll durchlebten Stunden gedachte, wollte sie daran hindern und bat sie, die alten Träume nicht muthwillig wieder zu erwecken.|Die Mutter, die noch immer nicht ohne Unruhe der damals qualvoll durchlebten Stunden gedachte, wollte sie daran hindern und bat sie, die alten Träume nicht muthwillig wieder zu erwecken.
altehaus_003_f000081|Marie schüttelte aber lächelnd den Kopf und meinte, Mütterchen dürfe sich nicht mehr davor fürchten; sie sei jetzt wieder gesund und doch auch verständiger geworden, und habe die alten thörichten Träume lange vergessen.|Marie schüttelte aber lächelnd den Kopf und meinte, Mütterchen dürfe sich nicht mehr davor fürchten; sie sei jetzt wieder gesund und doch auch verständiger geworden, und habe die alten thörichten Träume lange vergessen.
altehaus_003_f000082|Und das war wirklich der Fall.|Und das war wirklich der Fall.
altehaus_003_f000083|Jahr nach Jahr verging, und das alte Nachbarhaus wäre kaum mehr erwähnt worden, hätte der ewig dauernde Proceß die Aufmerksamkeit der Stadt nicht gewaltsam darauf festgehalten.|Jahr nach Jahr verging, und das alte Nachbarhaus wäre kaum mehr erwähnt worden, hätte der ewig dauernde Proceß die Aufmerksamkeit der Stadt nicht gewaltsam darauf festgehalten.
altehaus_003_f000084|Alles in der Welt nimmt jedoch zuletzt einmal ein Ende, und selbst dieser Proceß schien sich dem seinigen zu nähern.|Alles in der Welt nimmt jedoch zuletzt einmal ein Ende, und selbst dieser Proceß schien sich dem seinigen zu nähern.
altehaus_003_f000085|Die verschiedenen Parteien der jetzt noch lebenden Erben hatten es nämlich endlich doch satt bekommen, mit dem, was ihnen Nutzen bringen konnte, wenn sie sich darüber einigten,|Die verschiedenen Parteien der jetzt noch lebenden Erben hatten es nämlich endlich doch satt bekommen, mit dem, was ihnen Nutzen bringen konnte, wenn sie sich darüber einigten,
altehaus_003_f000086|eine Anzahl von Advocaten und Beamten zu ernähren, und zeigten sich einer Übereinkunft geneigt.|eine Anzahl von Advocaten und Beamten zu ernähren, und zeigten sich einer Übereinkunft geneigt.
altehaus_003_f000087|Verwickelt genug war die Geschichte.|Verwickelt genug war die Geschichte.
altehaus_003_f000088|Der alte selige Herr Quetzlinberger hatte einen einzigen Sohn gehabt, der also auch nach seinem Tode Universalerbe geworden wäre.|Der alte selige Herr Quetzlinberger hatte einen einzigen Sohn gehabt, der also auch nach seinem Tode Universalerbe geworden wäre.
altehaus_003_f000089|Wunderbarer Weise, wie die alten Acten sagten, war dieser aber mehrere Jahre vor des alten Herrn Tode eines Morgens spurlos verschwunden gewesen, und man hatte trotz aller Nachforschung der Gerichte nie herausbekommen können, was aus ihm geworden.|Wunderbarer Weise, wie die alten Acten sagten, war dieser aber mehrere Jahre vor des alten Herrn Tode eines Morgens spurlos verschwunden gewesen, und man hatte trotz aller Nachforschung der Gerichte nie herausbekommen können, was aus ihm geworden.
altehaus_003_f000090|Der alte Mann schien sich das aber entsetzlich zu Herzen genommen zu haben und schloß sich vollkommen von der Welt ab.|Der alte Mann schien sich das aber entsetzlich zu Herzen genommen zu haben und schloß sich vollkommen von der Welt ab.
altehaus_003_f000091|Nur eine Haushälterin von gesetztem Alter besorgte ihm die Wirtschaft und hielt das Haus in Ordnung, das von da an kein fremder Fuß mehr betreten durfte.|Nur eine Haushälterin von gesetztem Alter besorgte ihm die Wirtschaft und hielt das Haus in Ordnung, das von da an kein fremder Fuß mehr betreten durfte.
altehaus_003_f000092|Wenn dann auch böse Zungen nicht müßig waren, gehässige Gerüchte darüber zu verbreiten, gelangte das entweder nicht zu den Ohren des alten Herrn, oder er bekümmerte sich auch nicht darum.|Wenn dann auch böse Zungen nicht müßig waren, gehässige Gerüchte darüber zu verbreiten, gelangte das entweder nicht zu den Ohren des alten Herrn, oder er bekümmerte sich auch nicht darum.
altehaus_003_f000093|Diese Gerüchte fanden allerdings neue Nahrung, als die Nachbarn des alten Herrn einen Knaben bei ihm am Fenster sahen, von dem es bald hieß, daß er ein Neffe, bald, daß er ein Adoptivsohn sei.|Diese Gerüchte fanden allerdings neue Nahrung, als die Nachbarn des alten Herrn einen Knaben bei ihm am Fenster sahen, von dem es bald hieß, daß er ein Neffe, bald, daß er ein Adoptivsohn sei.
altehaus_003_f000094|Die guten Frauen von Hellburg gaben sich damals die größte Mühe, Näheres über die Abstammung des Knaben zu erfahren, hoch umsonst.|Die guten Frauen von Hellburg gaben sich damals die größte Mühe, Näheres über die Abstammung des Knaben zu erfahren, hoch umsonst.
altehaus_003_f000095|Nicht einmal auf die Straße herunter durfte der Kleine; ja, so selten zeigte er sich selbst am Fenster, daß nur erst Wenige ihn dort gesehen hatten und Viele sogar noch seine Existenz bezweifelten.|Nicht einmal auf die Straße herunter durfte der Kleine; ja, so selten zeigte er sich selbst am Fenster, daß nur erst Wenige ihn dort gesehen hatten und Viele sogar noch seine Existenz bezweifelten.
altehaus_003_f000096|Da fuhr eines Tages eine Kutsche vor, in welche die Haushälterin mit dem Knaben stieg und zum Thore hinausrasselte; – Niemand wußte, wohin.|Da fuhr eines Tages eine Kutsche vor, in welche die Haushälterin mit dem Knaben stieg und zum Thore hinausrasselte; - Niemand wußte, wohin.
altehaus_003_f000097|Der alte Herr Quetzlinberger lag damals, wie mündliche Uebertragung in Hellburg lautete, im Fenster und sah ihnen nach, bis sie um die Ecke der nächsten Straße verschwunden waren.|Der alte Herr Quetzlinberger lag damals, wie mündliche Uebertragung in Hellburg lautete, im Fenster und sah ihnen nach, bis sie um die Ecke der nächsten Straße verschwunden waren.
altehaus_003_f000098|Dann machte er das Fenster zu, zog die Gardinen vor – wie sie noch bis auf den heutigen Tag hingen – und ließ sich nicht mehr sehen.|Dann machte er das Fenster zu, zog die Gardinen vor - wie sie noch bis auf den heutigen Tag hingen - und ließ sich nicht mehr sehen.
altehaus_003_f000099|Drei Tage lang blieb das Haus verschlossen und die Nachbarn vergingen fast vor Neugierde, ob die alte Haushälterin zurückkäme, oder sich der Doctor eine neue nähme.|Drei Tage lang blieb das Haus verschlossen und die Nachbarn vergingen fast vor Neugierde, ob die alte Haushälterin zurückkäme, oder sich der Doctor eine neue nähme.
