imalavoglia_00_verga_f000001|Prefazione.|Prefazione.
imalavoglia_03_verga_f000034|ma i Malavoglia non ci vanno oggi in chiesa;|ma i Malavoglia non ci vanno oggi in chiesa;
imalavoglia_03_verga_f000035|sono in collera con Domeneddio, per quel carico di lupini che ci hanno in mare.|sono in collera con Domeneddio, per quel carico di lupini che ci hanno in mare.
imalavoglia_03_verga_f000036|Il vento faceva volare le gonnelle e le foglie secche|Il vento faceva volare le gonnelle e le foglie secche
imalavoglia_03_verga_f000037|sicché Vanni Pizzuto col rasoio in aria, teneva pel naso quelli a cui faceva la barba|sicché Vanni Pizzuto col rasoio in aria, teneva pel naso quelli a cui faceva la barba
imalavoglia_03_verga_f000038|per voltarsi a guardare chi passava, e si metteva il pugno sul fianco, coi capelli arricciati e lustri come la seta;|per voltarsi a guardare chi passava, e si metteva il pugno sul fianco, coi capelli arricciati e lustri come la seta;
imalavoglia_03_verga_f000039|e lo speziale se ne stava sull’uscio della sua bottega, sotto quel cappellaccio che sembrava avesse il paracqua in testa|e lo speziale se ne stava sulluscio della sua bottega, sotto quel cappellaccio che sembrava avesse il paracqua in testa
imalavoglia_03_verga_f000040|fingendo aver discorsi grossi con don Silvestro il segretario, perché sua moglie non lo mandasse in chiesa per forza;|fingendo aver discorsi grossi con don Silvestro il segretario, perché sua moglie non lo mandasse in chiesa per forza;
imalavoglia_03_verga_f000041|e rideva del sotterfugio, fra i peli della barbona, ammiccando alle ragazze che sgambettavano nelle pozzanghere.|e rideva del sotterfugio, fra i peli della barbona, ammiccando alle ragazze che sgambettavano nelle pozzanghere.
imalavoglia_03_verga_f000042|— Oggi, andava dicendo Piedipapera, - padron Antoni vuol fare il protestante come don Franco lo speziale.|- Oggi, andava dicendo Piedipapera, - padron Antoni vuol fare il protestante come don Franco lo speziale.
imalavoglia_03_verga_f000043|— Se fai di voltarti per guardare quello sfacciato di don Silvestro, ti dò un ceffone qui dove siamo;|- Se fai di voltarti per guardare quello sfacciato di don Silvestro, ti dò un ceffone qui dove siamo;
imalavoglia_03_verga_f000044|— borbottava la Zuppidda colla figliuola, mentre attraversavano la piazza.|- borbottava la Zuppidda colla figliuola, mentre attraversavano la piazza.
imalavoglia_03_verga_f000045|— Quello lì non mi piace. La Santuzza, all’ultimo tocco di campana, aveva affidata l’osteria a suo padre,|- Quello lì non mi piace. La Santuzza, allultimo tocco di campana, aveva affidata losteria a suo padre,
imalavoglia_03_verga_f000046|e se n’era andata in chiesa, tirandosi dietro gli avventori.|e se nera andata in chiesa, tirandosi dietro gli avventori.
imalavoglia_03_verga_f000047|Lo zio Santoro, poveretto, era cieco, e non faceva peccato se non andava a messa;|Lo zio Santoro, poveretto, era cieco, e non faceva peccato se non andava a messa;
imalavoglia_03_verga_f000048|così non perdevano tempo all’osteria, e dall’uscio poteva tener d’occhio il banco, sebbene non ci vedesse|così non perdevano tempo allosteria, e dalluscio poteva tener docchio il banco, sebbene non ci vedesse
imalavoglia_03_verga_f000049|ché gli avventori li conosceva tutti ad uno ad uno soltanto al sentirli camminare, quando venivano a bere un bicchiere.|ché gli avventori li conosceva tutti ad uno ad uno soltanto al sentirli camminare, quando venivano a bere un bicchiere.
imalavoglia_03_verga_f000050|— Le calze della Santuzza, — osservava Piedipapera, mentre ella camminava sulla punta delle scarpette,|- Le calze della Santuzza, - osservava Piedipapera, mentre ella camminava sulla punta delle scarpette,
imalavoglia_03_verga_f000051|come una gattina, — le calze della Santuzza, acqua o vento, non le ha viste altri che massaro Filippo l’ortolano; questa è la verità.|come una gattina, - le calze della Santuzza, acqua o vento, non le ha viste altri che massaro Filippo lortolano; questa è la verità.
imalavoglia_03_verga_f000052|— Ci sono i diavoli per aria! — diceva la Santuzza facendosi la croce coll’acqua santa.|- Ci sono i diavoli per aria! - diceva la Santuzza facendosi la croce collacqua santa.
imalavoglia_03_verga_f000053|— Una giornata da far peccati!|- Una giornata da far peccati!
imalavoglia_03_verga_f000054|La Zuppidda, lì vicino, abburattava avemarie, seduta sulle calcagna, e saettava occhiatacce di qua e di là|La Zuppidda, lì vicino, abburattava avemarie, seduta sulle calcagna, e saettava occhiatacce di qua e di là
imalavoglia_03_verga_f000055|che pareva ce l’avesse con tutto il paese, e a quelli che volevano sentirla ripeteva: — Comare la Longa non ci viene in chiesa|che pareva ce lavesse con tutto il paese, e a quelli che volevano sentirla ripeteva: - Comare la Longa non ci viene in chiesa
imalavoglia_03_verga_f000056|eppure ci ha il marito in mare con questo tempaccio!|eppure ci ha il marito in mare con questo tempaccio!
imalavoglia_03_verga_f000057|Poi non bisogna stare a cercare perché il Signore ci castiga! — Persino la madre di Menico stava in chiesa|Poi non bisogna stare a cercare perché il Signore ci castiga! - Persino la madre di Menico stava in chiesa
imalavoglia_03_verga_f000058|sebbene non sapesse far altro che veder volare le mosche!|sebbene non sapesse far altro che veder volare le mosche!
imalavoglia_03_verga_f000059|— Bisogna pregare anche pei peccatori; — rispondeva la Santuzza;|- Bisogna pregare anche pei peccatori; - rispondeva la Santuzza;
imalavoglia_03_verga_f000060|— le anime buone ci sono per questo.|- le anime buone ci sono per questo.
imalavoglia_03_verga_f000061|— Sì, come se ne sta pregando la Mangiacarrubbe, col naso dentro la mantellina, e Dio sa che peccatacci fa fare ai giovanotti!|- Sì, come se ne sta pregando la Mangiacarrubbe, col naso dentro la mantellina, e Dio sa che peccatacci fa fare ai giovanotti!
imalavoglia_03_verga_f000062|La Santuzza scuoteva il capo|La Santuzza scuoteva il capo
imalavoglia_03_verga_f000063|e diceva che mentre si è in chiesa non bisogna sparlare del prossimo — «Chi fa l’oste deve far buon viso a tutti»|e diceva che mentre si è in chiesa non bisogna sparlare del prossimo - Chi fa loste deve far buon viso a tutti
imalavoglia_03_verga_f000064|— rispose la Zuppidda, e poi all’orecchio della Vespa: — La Santuzza non vorrebbe si dicesse che vende l’acqua per vino;|- rispose la Zuppidda, e poi allorecchio della Vespa: - La Santuzza non vorrebbe si dicesse che vende lacqua per vino;
imalavoglia_03_verga_f000065|ma farebbe meglio a non tenere in peccato mortale massaro Filippo l’ortolano, che ha moglie e figliuoli.|ma farebbe meglio a non tenere in peccato mortale massaro Filippo lortolano, che ha moglie e figliuoli.
imalavoglia_03_verga_f000066|— Per me, — rispose la Vespa, — gliel’ho detto a don Giammaria|- Per me, - rispose la Vespa, - glielho detto a don Giammaria
imalavoglia_03_verga_f000067|che non voglio più starci fra le Figlie di Maria se ci lasciano la Santuzza per superiora.|che non voglio più starci fra le Figlie di Maria se ci lasciano la Santuzza per superiora.
imalavoglia_03_verga_f000068|— Allora vuol dire che l’avete trovato il marito?|- Allora vuol dire che lavete trovato il marito?
imalavoglia_03_verga_f000069|— rispose la Zuppidda.|- rispose la Zuppidda.
imalavoglia_03_verga_f000070|— Io non l’ho trovato il marito, — saltò su la Vespa con tanto di pungiglione.|- Io non lho trovato il marito, - saltò su la Vespa con tanto di pungiglione.
imalavoglia_03_verga_f000071|— Io non sono come quelle che si tirano dietro gli uomini anche in chiesa, colle scarpe verniciate, e quelli altri colla pancia grossa.|- Io non sono come quelle che si tirano dietro gli uomini anche in chiesa, colle scarpe verniciate, e quelli altri colla pancia grossa.
imalavoglia_03_verga_f000072|Quello della pancia grossa era Brasi, il figlio di padron Cipolla|Quello della pancia grossa era Brasi, il figlio di padron Cipolla
imalavoglia_03_verga_f000073|il quale era il cucco delle mamme e delle ragazze, perché possedeva vigne ed oliveti.|il quale era il cucco delle mamme e delle ragazze, perché possedeva vigne ed oliveti.
imalavoglia_03_verga_f000074|— Va a vedere se la paranza è bene ammarrata;|- Va a vedere se la paranza è bene ammarrata;
imalavoglia_03_verga_f000075|— gli disse suo padre facendosi la croce.|- gli disse suo padre facendosi la croce.
imalavoglia_03_verga_f000076|Ciascuno non poteva a meno di pensare che quell’acqua e quel vento erano tutt’oro per i Cipolla;|Ciascuno non poteva a meno di pensare che quellacqua e quel vento erano tuttoro per i Cipolla;
imalavoglia_03_verga_f000077|così vanno le cose di questo mondo, che i Cipolla, adesso che avevano la paranza bene ammarrata, si fregavano le mani vedendo la burrasca;|così vanno le cose di questo mondo, che i Cipolla, adesso che avevano la paranza bene ammarrata, si fregavano le mani vedendo la burrasca;
imalavoglia_03_verga_f000078|mentre i Malavoglia diventavano bianchi e si strappavano i capelli|mentre i Malavoglia diventavano bianchi e si strappavano i capelli
imalavoglia_03_verga_f000079|per quel carico di lupini che avevano preso a credenza dallo zio Crocifisso Campana di legno.|per quel carico di lupini che avevano preso a credenza dallo zio Crocifisso Campana di legno.
imalavoglia_03_verga_f000080|— Volete che ve la dica? — saltò su la Vespa;|- Volete che ve la dica? - saltò su la Vespa;
imalavoglia_03_verga_f000081|— la vera disgrazia è toccata allo zio Crocifisso che ha dato i lupini a credenza.|- la vera disgrazia è toccata allo zio Crocifisso che ha dato i lupini a credenza.
imalavoglia_03_verga_f000082|«Chi fa credenza senza pegno, perde l’amico la roba e l’ingegno».|Chi fa credenza senza pegno, perde lamico la roba e lingegno.
imalavoglia_03_verga_f000083|Lo zio Crocifisso se ne stava ginocchioni a piè dell’altare dell’Addolorata, con tanto di rosario in mano|Lo zio Crocifisso se ne stava ginocchioni a piè dellaltare dellAddolorata, con tanto di rosario in mano
imalavoglia_03_verga_f000084|e intuonava le strofette con una voce di naso che avrebbe toccato il cuore a satanasso in persona.|e intuonava le strofette con una voce di naso che avrebbe toccato il cuore a satanasso in persona.
imalavoglia_03_verga_f000085|Fra un’avemaria e l’altra si parlava del negozio dei lupini|Fra unavemaria e laltra si parlava del negozio dei lupini
imalavoglia_03_verga_f000086|e della Provvidenza che era in mare, e della Longa che rimaneva con cinque figliuoli.|e della Provvidenza che era in mare, e della Longa che rimaneva con cinque figliuoli.
imalavoglia_03_verga_f000087|— Al giorno d’oggi, — disse padron Cipolla, stringendosi nelle spalle,|- Al giorno doggi, - disse padron Cipolla, stringendosi nelle spalle,
imalavoglia_03_verga_f000088|— nessuno è contento del suo stato e vuol pigliare il cielo a pugni.|- nessuno è contento del suo stato e vuol pigliare il cielo a pugni.
imalavoglia_03_verga_f000089|— Il fatto è, — conchiuse compare Zuppiddu, — che sarà una brutta giornata pei Malavoglia.|- Il fatto è, - conchiuse compare Zuppiddu, - che sarà una brutta giornata pei Malavoglia.
imalavoglia_03_verga_f000090|— Per me, — aggiunse Piedipapera, — non vorrei trovarmi nella camicia di compare Bastianazzo.|- Per me, - aggiunse Piedipapera, - non vorrei trovarmi nella camicia di compare Bastianazzo.
imalavoglia_03_verga_f000091|La sera scese triste e fredda;|La sera scese triste e fredda;
imalavoglia_03_verga_f000092|di tanto in tanto soffiava un buffo di tramontana|di tanto in tanto soffiava un buffo di tramontana
imalavoglia_03_verga_f000093|e faceva piovere una spruzzatina d’acqua fina e cheta: una di quelle sere in cui, quando si ha la barca al sicuro|e faceva piovere una spruzzatina dacqua fina e cheta: una di quelle sere in cui, quando si ha la barca al sicuro
imalavoglia_03_verga_f000094|colla pancia all’asciutto sulla sabbia, si gode a vedersi fumare la pentola dinanzi|colla pancia allasciutto sulla sabbia, si gode a vedersi fumare la pentola dinanzi
imalavoglia_03_verga_f000095|col marmocchio fra le gambe, e sentire le ciabatte della donna per la casa, dietro le spalle.|col marmocchio fra le gambe, e sentire le ciabatte della donna per la casa, dietro le spalle.
imalavoglia_03_verga_f000096|I fannulloni preferivano godersi all’osteria quella domenica che prometteva di durare anche il lunedì|I fannulloni preferivano godersi allosteria quella domenica che prometteva di durare anche il lunedì
imalavoglia_03_verga_f000097|e fin gli stipiti erano allegri della fiamma del focolare|e fin gli stipiti erano allegri della fiamma del focolare
imalavoglia_03_verga_f000098|tanto che lo zio Santoro, messo lì fuori colla mano stesa e il mento sui ginocchi|tanto che lo zio Santoro, messo lì fuori colla mano stesa e il mento sui ginocchi
imalavoglia_03_verga_f000099|s’era tirato un po’ in qua, per scaldarsi la schiena anche lui.|sera tirato un po in qua, per scaldarsi la schiena anche lui.
imalavoglia_03_verga_f000100|— E sta meglio di compare Bastianazzo, a quest’ora! — ripeteva Rocco Spatu, accendendo la pipa sull’uscio.|- E sta meglio di compare Bastianazzo, a questora! - ripeteva Rocco Spatu, accendendo la pipa sulluscio.
imalavoglia_03_verga_f000101|E senza pensarci altro mise mano al taschino, e si lasciò andare a fare due centesimi di limosina.|E senza pensarci altro mise mano al taschino, e si lasciò andare a fare due centesimi di limosina.
imalavoglia_03_verga_f000102|— Tu ci perdi la tua limosina a ringraziare Dio che sei al sicuro, — gli disse Piedipapera;|- Tu ci perdi la tua limosina a ringraziare Dio che sei al sicuro, - gli disse Piedipapera;
imalavoglia_03_verga_f000103|— per te non c’è pericolo che abbi a fare la fine di compare Bastianazzo.|- per te non cè pericolo che abbi a fare la fine di compare Bastianazzo.
imalavoglia_03_verga_f000104|Tutti si misero a ridere della barzelletta, e poi stettero a guardare dall’uscio il mare nero come la sciara, senza dir altro.|Tutti si misero a ridere della barzelletta, e poi stettero a guardare dalluscio il mare nero come la sciara, senza dir altro.
imalavoglia_03_verga_f000105|— Padron Antoni è andato tutto il giorno di qua e di là, come avesse il male della tarantola|- Padron Antoni è andato tutto il giorno di qua e di là, come avesse il male della tarantola
imalavoglia_03_verga_f000106|e lo speziale gli domandava se faceva la cura del ferro|e lo speziale gli domandava se faceva la cura del ferro
imalavoglia_03_verga_f000107|o andasse a spasso con quel tempaccio, e gli diceva pure: — Bella Provvidenza|o andasse a spasso con quel tempaccio, e gli diceva pure: - Bella Provvidenza
imalavoglia_03_verga_f000108|eh! padron Antoni! Ma lo speziale è protestante ed ebreo, ognuno lo sapeva.|eh! padron Antoni! Ma lo speziale è protestante ed ebreo, ognuno lo sapeva.
imalavoglia_03_verga_f000109|Il figlio della Locca, che era lì fuori colle mani in tasca perché non ci aveva un soldo, disse anche lui:|Il figlio della Locca, che era lì fuori colle mani in tasca perché non ci aveva un soldo, disse anche lui:
imalavoglia_03_verga_f000110|— Lo zio Crocifisso è andato a cercare padron Antoni con Piedipapera|- Lo zio Crocifisso è andato a cercare padron Antoni con Piedipapera
imalavoglia_03_verga_f000111|per fargli confessare davanti a testimoni che i lupini glieli aveva dati a credenza.|per fargli confessare davanti a testimoni che i lupini glieli aveva dati a credenza.
imalavoglia_03_verga_f000112|— Vuol dire che anche lui li vede in pericolo colla Provvidenza.|- Vuol dire che anche lui li vede in pericolo colla Provvidenza.
imalavoglia_03_verga_f000113|— Colla Provvidenza c’è andato anche mio fratello Menico, insieme a compare Bastianazzo.|- Colla Provvidenza cè andato anche mio fratello Menico, insieme a compare Bastianazzo.
imalavoglia_03_verga_f000114|— Bravo! questo dicevamo, che se non torna tuo fratello Menico tu resti il barone della casa.|- Bravo! questo dicevamo, che se non torna tuo fratello Menico tu resti il barone della casa.
imalavoglia_03_verga_f000115|— C’è andato perché lo zio Crocifisso voleva pagargli la mezza giornata anche a lui|- Cè andato perché lo zio Crocifisso voleva pagargli la mezza giornata anche a lui
imalavoglia_03_verga_f000116|quando lo mandava colla paranza, e i Malavoglia invece gliela pagavano intiera;|quando lo mandava colla paranza, e i Malavoglia invece gliela pagavano intiera;
imalavoglia_03_verga_f000117|— rispose il figlio della Locca senza capir nulla;|- rispose il figlio della Locca senza capir nulla;
imalavoglia_03_verga_f000118|e come gli altri sghignazzavano rimase a bocca aperta.|e come gli altri sghignazzavano rimase a bocca aperta.
imalavoglia_03_verga_f000119|Sull’imbrunire comare Maruzza coi suoi figlioletti era andata ad aspettare sulla sciara|Sullimbrunire comare Maruzza coi suoi figlioletti era andata ad aspettare sulla sciara
imalavoglia_03_verga_f000120|d’onde si scopriva un bel pezzo di mare, e udendolo urlare a quel modo trasaliva e si grattava il capo senza dir nulla.|donde si scopriva un bel pezzo di mare, e udendolo urlare a quel modo trasaliva e si grattava il capo senza dir nulla.
imalavoglia_03_verga_f000121|La piccina piangeva, e quei poveretti, dimenticati sulla sciara, a quell’ora, parevano le anime del purgatorio.|La piccina piangeva, e quei poveretti, dimenticati sulla sciara, a quellora, parevano le anime del purgatorio.
imalavoglia_03_verga_f000122|Il piangere della bambina le faceva male allo stomaco, alla povera donna, le sembrava quasi un malaugurio;|Il piangere della bambina le faceva male allo stomaco, alla povera donna, le sembrava quasi un malaugurio;
imalavoglia_03_verga_f000123|non sapeva che inventare per tranquillarla, e le cantava le canzonette colla voce tremola che sapeva di lagrime anche essa.|non sapeva che inventare per tranquillarla, e le cantava le canzonette colla voce tremola che sapeva di lagrime anche essa.
imalavoglia_03_verga_f000124|Le comari, mentre tornavano dall’osteria coll’orciolino dell’olio, o col fiaschetto del vino|Le comari, mentre tornavano dallosteria collorciolino dellolio, o col fiaschetto del vino
imalavoglia_03_verga_f000125|si fermavano a barattare qualche parola con la Longa senza aver l’aria di nulla|si fermavano a barattare qualche parola con la Longa senza aver laria di nulla
imalavoglia_03_verga_f000126|e qualche amico di suo marito Bastianazzo, compar Cipolla, per esempio, o compare Mangiacarrubbe|e qualche amico di suo marito Bastianazzo, compar Cipolla, per esempio, o compare Mangiacarrubbe
imalavoglia_03_verga_f000127|passando dalla sciara per dare un’occhiata verso il mare|passando dalla sciara per dare unocchiata verso il mare
imalavoglia_03_verga_f000128|e vedere di che umore si addormentasse il vecchio brontolone, andavano a domandare a comare la Longa di suo marito|e vedere di che umore si addormentasse il vecchio brontolone, andavano a domandare a comare la Longa di suo marito
imalavoglia_03_verga_f000129|e stavano un tantino a farle compagnia, fumandole in silenzio la pipa sotto il naso, o parlando sottovoce fra di loro.|e stavano un tantino a farle compagnia, fumandole in silenzio la pipa sotto il naso, o parlando sottovoce fra di loro.
imalavoglia_03_verga_f000130|La poveretta, sgomenta da quelle attenzioni insolite, li guardava in faccia sbigottita|La poveretta, sgomenta da quelle attenzioni insolite, li guardava in faccia sbigottita
imalavoglia_03_verga_f000131|e si stringeva al petto la bimba, come se volessero rubargliela.|e si stringeva al petto la bimba, come se volessero rubargliela.
imalavoglia_03_verga_f000132|Finalmente il più duro o il più compassionevole la prese per un braccio e la condusse a casa.|Finalmente il più duro o il più compassionevole la prese per un braccio e la condusse a casa.
imalavoglia_03_verga_f000133|Ella si lasciava condurre, e badava a ripetere: — Oh! Vergine Maria! Oh! Vergine Maria! — I figliuoli la seguivano aggrappandosi alla gonnella|Ella si lasciava condurre, e badava a ripetere: - Oh! Vergine Maria! Oh! Vergine Maria! - I figliuoli la seguivano aggrappandosi alla gonnella
imalavoglia_03_verga_f000134|quasi avessero paura che rubassero qualcosa anche a loro.|quasi avessero paura che rubassero qualcosa anche a loro.
imalavoglia_03_verga_f000135|Mentre passavano dinanzi all’osteria, tutti gli avventori si affacciarono sulla porta|Mentre passavano dinanzi allosteria, tutti gli avventori si affacciarono sulla porta
imalavoglia_03_verga_f000136|in mezzo al gran fumo, e tacquero per vederla passare come fosse già una cosa curiosa.|in mezzo al gran fumo, e tacquero per vederla passare come fosse già una cosa curiosa.
imalavoglia_03_verga_f000137|— Requiem eternam, — biascicava sottovoce lo zio Santoro, — quel povero Bastianazzo mi faceva sempre la carità|- Requiem eternam, - biascicava sottovoce lo zio Santoro, - quel povero Bastianazzo mi faceva sempre la carità
imalavoglia_03_verga_f000138|quando padron Antoni gli lasciava qualche soldo in tasca.|quando padron Antoni gli lasciava qualche soldo in tasca.
imalavoglia_03_verga_f000139|La poveretta che non sapeva di essere vedova, balbettava:|La poveretta che non sapeva di essere vedova, balbettava:
imalavoglia_03_verga_f000140|— Oh! Vergine Maria! Oh! Vergine Maria!|- Oh! Vergine Maria! Oh! Vergine Maria!
imalavoglia_03_verga_f000141|Dinanzi al ballatoio della sua casa c’era un gruppo di vicine che l’aspettavano, e cicalavano a voce bassa fra di loro.|Dinanzi al ballatoio della sua casa cera un gruppo di vicine che laspettavano, e cicalavano a voce bassa fra di loro.
imalavoglia_03_verga_f000142|Come la videro da lontano, comare Piedipapera e la cugina Anna le vennero incontro, colle mani sul ventre, senza dir nulla.|Come la videro da lontano, comare Piedipapera e la cugina Anna le vennero incontro, colle mani sul ventre, senza dir nulla.
imalavoglia_03_verga_f000143|Allora ella si cacciò le unghie nei capelli con uno strido disperato e corse a rintanarsi in casa.|Allora ella si cacciò le unghie nei capelli con uno strido disperato e corse a rintanarsi in casa.
imalavoglia_03_verga_f000144|— Che disgrazia! — dicevano sulla via.|- Che disgrazia! - dicevano sulla via.
imalavoglia_03_verga_f000145|— E la barca era carica! Più di quarant’onze di lupini!|- E la barca era carica! Più di quarantonze di lupini!
imalavoglia_03_verga_f000146|Fine Del Capitulo Terzo.|Fine Del Capitulo Terzo.
imalavoglia_04_verga_f000001|Capitulo Quarto.|Capitulo Quarto.
imalavoglia_04_verga_f000002|Il peggio era che i lupini li avevano presi a credenza|Il peggio era che i lupini li avevano presi a credenza
imalavoglia_04_verga_f000003|e lo zio Crocifisso non si contentava di «buone parole e mele fradicie», per questo lo chiamavano Campana di legno|e lo zio Crocifisso non si contentava di buone parole e mele fradicie, per questo lo chiamavano Campana di legno
imalavoglia_04_verga_f000004|perché non ci sentiva di quell’orecchio, quando lo volevano pagare con delle chiacchiere, e’ diceva che «alla credenza ci si pensa».|perché non ci sentiva di quellorecchio, quando lo volevano pagare con delle chiacchiere, e diceva che alla credenza ci si pensa.
imalavoglia_04_verga_f000005|Egli era un buon diavolaccio, e viveva imprestando agli amici, non faceva altro mestiere, che per questo stava in piazza tutto il giorno|Egli era un buon diavolaccio, e viveva imprestando agli amici, non faceva altro mestiere, che per questo stava in piazza tutto il giorno
imalavoglia_04_verga_f000006|colle mani nelle tasche, o addossato al muro della chiesa, con quel giubbone tutto lacero che non gli avreste dato un baiocco;|colle mani nelle tasche, o addossato al muro della chiesa, con quel giubbone tutto lacero che non gli avreste dato un baiocco;
imalavoglia_04_verga_f000007|ma aveva denari sin che ne volevano, e se qualcheduno andava a chiedergli dodici tarì glieli prestava subito|ma aveva denari sin che ne volevano, e se qualcheduno andava a chiedergli dodici tarì glieli prestava subito
imalavoglia_04_verga_f000008|col pegno, perché «chi fa credenza senza pegno, perde l’amico|col pegno, perché chi fa credenza senza pegno, perde lamico
imalavoglia_04_verga_f000009|la roba e l’ingegno» a patto di averli restituiti la domenica, d’argento e colle colonne|la roba e lingegno a patto di averli restituiti la domenica, dargento e colle colonne
imalavoglia_04_verga_f000010|che ci era un carlino dippiù, com’era giusto, perché «coll’interesse non c’è amicizia».|che ci era un carlino dippiù, comera giusto, perché collinteresse non cè amicizia.
imalavoglia_04_verga_f000011|Comprava anche la pesca tutta in una volta, con ribasso|Comprava anche la pesca tutta in una volta, con ribasso
imalavoglia_04_verga_f000012|e quando il povero diavolo che l’aveva fatta aveva bisogno subito di denari, ma dovevano pesargliela colle sue bilancie|e quando il povero diavolo che laveva fatta aveva bisogno subito di denari, ma dovevano pesargliela colle sue bilancie
imalavoglia_04_verga_f000013|le quali erano false come Giuda, dicevano quelli che non erano mai contenti, ed hanno un braccio lungo e l’altro corto, come san Francesco;|le quali erano false come Giuda, dicevano quelli che non erano mai contenti, ed hanno un braccio lungo e laltro corto, come san Francesco;
imalavoglia_04_verga_f000014|e anticipava anche la spesa per la ciurma, se volevano, e prendeva soltanto il denaro anticipato, e un rotolo di pane a testa|e anticipava anche la spesa per la ciurma, se volevano, e prendeva soltanto il denaro anticipato, e un rotolo di pane a testa
imalavoglia_04_verga_f000015|e mezzo quartuccio di vino, e non voleva altro, ché era cristiano e di quel che faceva in questo mondo avrebbe dovuto dar conto a Dio.|e mezzo quartuccio di vino, e non voleva altro, ché era cristiano e di quel che faceva in questo mondo avrebbe dovuto dar conto a Dio.
imalavoglia_04_verga_f000016|Insomma era la provvidenza per quelli che erano in angustie, e aveva anche inventato cento modi di render servigio al prossimo|Insomma era la provvidenza per quelli che erano in angustie, e aveva anche inventato cento modi di render servigio al prossimo
imalavoglia_04_verga_f000017|e senza essere uomo di mare aveva barche, e attrezzi, e ogni cosa|e senza essere uomo di mare aveva barche, e attrezzi, e ogni cosa
imalavoglia_04_verga_f000018|per quelli che non ne avevano, e li prestava, contentandosi di prendere un terzo della pesca|per quelli che non ne avevano, e li prestava, contentandosi di prendere un terzo della pesca
imalavoglia_04_verga_f000019|più la parte della barca, che contava come un uomo della ciurma, e quella degli attrezzi|più la parte della barca, che contava come un uomo della ciurma, e quella degli attrezzi
imalavoglia_04_verga_f000020|se volevano prestati anche gli attrezzi, e finiva che la barca si mangiava tutto il guadagno|se volevano prestati anche gli attrezzi, e finiva che la barca si mangiava tutto il guadagno
imalavoglia_04_verga_f000021|tanto che la chiamavano la barca del diavolo — e quando gli dicevano perché non ci andasse lui a rischiare la pelle come tutti gli altri|tanto che la chiamavano la barca del diavolo - e quando gli dicevano perché non ci andasse lui a rischiare la pelle come tutti gli altri
imalavoglia_04_verga_f000022|che si pappava il meglio della pesca senza pericolo, rispondeva: — Bravo! e se in mare mi capita una disgrazia|che si pappava il meglio della pesca senza pericolo, rispondeva: - Bravo! e se in mare mi capita una disgrazia
imalavoglia_04_verga_f000023|Dio liberi, che ci lascio le ossa, chi me li fa gli affari miei?|Dio liberi, che ci lascio le ossa, chi me li fa gli affari miei?
imalavoglia_04_verga_f000024|— Egli badava agli affari suoi, ed avrebbe prestato anche la camicia;|- Egli badava agli affari suoi, ed avrebbe prestato anche la camicia;
imalavoglia_04_verga_f000025|ma poi voleva esser pagato, senza tanti cristi;|ma poi voleva esser pagato, senza tanti cristi;
imalavoglia_04_verga_f000026|ed era inutile stargli a contare ragioni, perché era sordo, e per di più era scarso di cervello|ed era inutile stargli a contare ragioni, perché era sordo, e per di più era scarso di cervello
imalavoglia_04_verga_f000027|e non sapeva dir altro che «Quel che è di patto non è d’inganno», oppure «Al giorno che promise si conosce il buon pagatore».|e non sapeva dir altro che Quel che è di patto non è dinganno, oppure Al giorno che promise si conosce il buon pagatore.
imalavoglia_04_verga_f000028|Ora i suoi nemici gli ridevano sotto il naso, a motivo di quei lupini che se l’era mangiati il diavolo;|Ora i suoi nemici gli ridevano sotto il naso, a motivo di quei lupini che se lera mangiati il diavolo;
imalavoglia_04_verga_f000029|e gli toccava anche recitare il deprofundis per l’anima di Bastianazzo, quando si facevano le esequie|e gli toccava anche recitare il deprofundis per lanima di Bastianazzo, quando si facevano le esequie
imalavoglia_04_verga_f000030|insieme con gli altri confratelli della Buona Morte, colla testa nel sacco.|insieme con gli altri confratelli della Buona Morte, colla testa nel sacco.
imalavoglia_04_verga_f000031|I vetri della chiesetta scintillavano, e il mare era liscio e lucente|I vetri della chiesetta scintillavano, e il mare era liscio e lucente
imalavoglia_04_verga_f000032|talché non pareva più quello che gli aveva rubato il marito alla Longa;|talché non pareva più quello che gli aveva rubato il marito alla Longa;
imalavoglia_04_verga_f000033|perciò i confratelli avevano fretta di spicciarsi, e di andarsene ognuno pei propri affari, ora che il tempo s’era rimesso al buono.|perciò i confratelli avevano fretta di spicciarsi, e di andarsene ognuno pei propri affari, ora che il tempo sera rimesso al buono.
imalavoglia_04_verga_f000034|Stavolta i Malavoglia erano là, seduti sulle calcagna, davanti al cataletto|Stavolta i Malavoglia erano là, seduti sulle calcagna, davanti al cataletto
imalavoglia_04_verga_f000035|e lavavano il pavimento dal gran piangere, come se il morto fosse davvero fra quelle quattro tavole|e lavavano il pavimento dal gran piangere, come se il morto fosse davvero fra quelle quattro tavole
imalavoglia_04_verga_f000036|coi suoi lupini al collo, che lo zio Crocifisso gli aveva dati a credenza, perché aveva sempre conosciuto padron Antoni per galantuomo;|coi suoi lupini al collo, che lo zio Crocifisso gli aveva dati a credenza, perché aveva sempre conosciuto padron Antoni per galantuomo;
imalavoglia_04_verga_f000037|ma se volevano truffargli la sua roba, col pretesto che Bastianazzo s’era annegato, la truffavano a Cristo|ma se volevano truffargli la sua roba, col pretesto che Bastianazzo sera annegato, la truffavano a Cristo
