koenigsgaukler_1_f000001|Die Geburt Mantaos in der Lotosblume|Die Geburt Mantaos in der Lotosblume
koenigsgaukler_2_f000019|Dahin, wo ich hingehe, kann ich dich nicht mitnehmen, sagte der alte Mann, denn siehst du, ich gehe fort von dieser Erde.|Dahin, wo ich hingehe, kann ich dich nicht mitnehmen, sagte der alte Mann, denn siehst du, ich gehe fort von dieser Erde.
koenigsgaukler_2_f000020|Soll das heißen, daß du sterben mußt? fragte Mantao.|Soll das heißen, daß du sterben mußt? fragte Mantao.
koenigsgaukler_2_f000021|Nein, ich muß nicht sterben, sagte der alte Mann und lächelte, Sterben ist ein Wort der Täler, ich aber gehe in die Berge.|Nein, ich muß nicht sterben, sagte der alte Mann und lächelte, Sterben ist ein Wort der Täler, ich aber gehe in die Berge.
koenigsgaukler_2_f000022|Siehe, alle Namen der Berge um dich herum habe ich dich gelehrt in den Jahren deiner Kindheit – Brahma segne deine Kindheit, sie war ein Gnadengeschenk für mich alten Mann – alle Berge haben wir miteinander gekannt und geliebt|Siehe, alle Namen der Berge um dich herum habe ich dich gelehrt in den Jahren deiner Kindheit - Brahma segne deine Kindheit, sie war ein Gnadengeschenk für mich alten Mann - alle Berge haben wir miteinander gekannt und geliebt
koenigsgaukler_2_f000023|wir haben die Stunden gewußt, wann die Sonne über ihren Riesenleibern aufging und wann sie sie im Sinken vergoldete.|wir haben die Stunden gewußt, wann die Sonne über ihren Riesenleibern aufging und wann sie sie im Sinken vergoldete.
koenigsgaukler_2_f000024|Wir haben die seltsamen Gestalten beobachtet, die das Mondlicht um ihre weißen Firnen wob, wir haben sie gekannt, wie wir die Käfer und die Adler kannten.|Wir haben die seltsamen Gestalten beobachtet, die das Mondlicht um ihre weißen Firnen wob, wir haben sie gekannt, wie wir die Käfer und die Adler kannten.
koenigsgaukler_2_f000025|Von allen Bergen aber kannte und liebte ich am meisten den Lischanna – nicht weil sein Gipfel einer Krone gleicht, nicht weil seine massigen Glieder schön sind wie ein Tempelgebäude|Von allen Bergen aber kannte und liebte ich am meisten den Lischanna - nicht weil sein Gipfel einer Krone gleicht, nicht weil seine massigen Glieder schön sind wie ein Tempelgebäude
koenigsgaukler_2_f000026|auch nicht weil er groß und gewaltig ist, denn andere sind größer und gewaltiger als er.|auch nicht weil er groß und gewaltig ist, denn andere sind größer und gewaltiger als er.
koenigsgaukler_2_f000027|Ich habe ihn gekannt und geliebt vor allen, weil ich wußte, daß ich einmal auf ihm den großen Heimweg antreten würde zum Erhabenen, von dem ich kam.|Ich habe ihn gekannt und geliebt vor allen, weil ich wußte, daß ich einmal auf ihm den großen Heimweg antreten würde zum Erhabenen, von dem ich kam.
koenigsgaukler_2_f000028|Ich werde oben nicht sterben, sage das ja nicht, du, der auch nie sterben darf.|Ich werde oben nicht sterben, sage das ja nicht, du, der auch nie sterben darf.
koenigsgaukler_2_f000029|Ich werde meinen alten müden Körper ablegen, wie ich es jede Nacht tat, wie ich es oft im Wachen getan habe, wenn mein Geist sich von seinen Fesseln lösen durfte und ich mit inneren Augen über Berge und Täler schaute und auf die wirren Wunder dieser Erde.|Ich werde meinen alten müden Körper ablegen, wie ich es jede Nacht tat, wie ich es oft im Wachen getan habe, wenn mein Geist sich von seinen Fesseln lösen durfte und ich mit inneren Augen über Berge und Täler schaute und auf die wirren Wunder dieser Erde.
koenigsgaukler_2_f000030|Nun laß uns auf den Lischanna steigen, daß ich meinen Körper für immer ablege wie ein altes Gewand und den Erhabenen schaue von Angesicht zu Angesicht.|Nun laß uns auf den Lischanna steigen, daß ich meinen Körper für immer ablege wie ein altes Gewand und den Erhabenen schaue von Angesicht zu Angesicht.
koenigsgaukler_2_f000031|Mantao schwieg. Der alte Mann aber streckte noch einmal seine Hände über die Halde aus, auf der seine Hütte stand, und segnete die Käfer und die Adler und die Bergziegen und Waldbienen, die ihn genährt hatten, mit dem Segen Brahmas.|Mantao schwieg. Der alte Mann aber streckte noch einmal seine Hände über die Halde aus, auf der seine Hütte stand, und segnete die Käfer und die Adler und die Bergziegen und Waldbienen, die ihn genährt hatten, mit dem Segen Brahmas.
koenigsgaukler_2_f000032|Dann ging er mit leuchtenden Augen seinen letzten Gang und Mantao folgte ihm.|Dann ging er mit leuchtenden Augen seinen letzten Gang und Mantao folgte ihm.
koenigsgaukler_2_f000033|Auf halber Höhe des Berges blieb der alte Mann stehen und wandte sich zu Mantao.|Auf halber Höhe des Berges blieb der alte Mann stehen und wandte sich zu Mantao.
koenigsgaukler_2_f000034|Siehe, sagte er, unter dir die Täler im Abendsonnenschein, dahin mußt du nun gehen, denn jetzt ist dein Weg der Weg zu den Tälern der Menschen, bis du einst wieder zurückfindest auf deinen heiligen Berg.|Siehe, sagte er, unter dir die Täler im Abendsonnenschein, dahin mußt du nun gehen, denn jetzt ist dein Weg der Weg zu den Tälern der Menschen, bis du einst wieder zurückfindest auf deinen heiligen Berg.
koenigsgaukler_2_f000035|Diese Täler sind das heilige Land von Indien, das voll wirrer Wunder ist.|Diese Täler sind das heilige Land von Indien, das voll wirrer Wunder ist.
koenigsgaukler_2_f000036|Bunte Lampen brennen sie in den Tälern, aber es sind Lampen, die bald erlöschen.|Bunte Lampen brennen sie in den Tälern, aber es sind Lampen, die bald erlöschen.
koenigsgaukler_2_f000037|Du wirst ihnen fremd sein, den Menschen in den Tälern, sie werden dich vielleicht für einen Bettler halten, für einen Gaukler, du aber vergiß nicht, daß du ein König der Berge bist.|Du wirst ihnen fremd sein, den Menschen in den Tälern, sie werden dich vielleicht für einen Bettler halten, für einen Gaukler, du aber vergiß nicht, daß du ein König der Berge bist.
koenigsgaukler_2_f000038|Nun laß uns Abschied nehmen, Mantao, mein Königsgaukler, laß uns Abschied nehmen für dieses Leben – und ich danke dir für deine Kinderjahre, die meine Seele durchsonnt haben.|Nun laß uns Abschied nehmen, Mantao, mein Königsgaukler, laß uns Abschied nehmen für dieses Leben - und ich danke dir für deine Kinderjahre, die meine Seele durchsonnt haben.
koenigsgaukler_2_f000039|Mir danke nicht, diesen Dank statte ab allem was atmet, statte ihn denen ab, deren Lampen erlöschen.|Mir danke nicht, diesen Dank statte ab allem was atmet, statte ihn denen ab, deren Lampen erlöschen.
koenigsgaukler_2_f000040|Der Erhabene segne dich, der du nicht mein Kind warst und doch mein Kind warst, das Kind meiner Seele und meines Geistes für eine Zeit, die nun zu Ende ist.|Der Erhabene segne dich, der du nicht mein Kind warst und doch mein Kind warst, das Kind meiner Seele und meines Geistes für eine Zeit, die nun zu Ende ist.
koenigsgaukler_2_f000041|Mit diesen Worten nahm der alte Mann seine Mütze ab, jene sonderbare spitze Mütze, die immer noch dieselbe war seit dem lange vergangenen Tag, da der alte Mann das kleine Kind auf der Landstraße in seine Arme genommen hatte.|Mit diesen Worten nahm der alte Mann seine Mütze ab, jene sonderbare spitze Mütze, die immer noch dieselbe war seit dem lange vergangenen Tag, da der alte Mann das kleine Kind auf der Landstraße in seine Arme genommen hatte.
koenigsgaukler_2_f000042|Die Mütze war um vieles schmutziger und unscheinbarer geworden in den vielen Jahren, aber Mantao erschien es, als wäre es eine Krone, die der alte Mann abnahm, um sein Haupt zum Abschied zu entblößen vor dem|Die Mütze war um vieles schmutziger und unscheinbarer geworden in den vielen Jahren, aber Mantao erschien es, als wäre es eine Krone, die der alte Mann abnahm, um sein Haupt zum Abschied zu entblößen vor dem
koenigsgaukler_2_f000043|den er als ein kleines Kind in seine Berge getragen hatte.|den er als ein kleines Kind in seine Berge getragen hatte.
koenigsgaukler_2_f000044|Da fiel Mantao, der Königsgaukler, in die Kniee und weinte bitterlich.|Da fiel Mantao, der Königsgaukler, in die Kniee und weinte bitterlich.
koenigsgaukler_2_f000045|Der alte Mann aber ging mit festen und geraden Schritten weiter auf seinen geliebten Berg Lischanna hinauf und sein weißes Haar flatterte im Abendwind.|Der alte Mann aber ging mit festen und geraden Schritten weiter auf seinen geliebten Berg Lischanna hinauf und sein weißes Haar flatterte im Abendwind.
koenigsgaukler_2_f000046|Mantao sah ihm nach, bis er ihn nicht mehr sehen konnte.|Mantao sah ihm nach, bis er ihn nicht mehr sehen konnte.
koenigsgaukler_2_f000047|Da sank die Sonne über den Gipfeln der Berge von Tibet.|Da sank die Sonne über den Gipfeln der Berge von Tibet.
koenigsgaukler_2_f000048|Nun schlief Mantao die letzte Nacht in der Hütte seiner Kindheit.|Nun schlief Mantao die letzte Nacht in der Hütte seiner Kindheit.
koenigsgaukler_2_f000049|Ihm war sie ein königlicher Palast gewesen, geschmückt mit den bunten Bildern seiner Kinderseele und der Seele des alten Mannes, der auch eine Kinderseele hatte und der nun von ihm gegangen war.|Ihm war sie ein königlicher Palast gewesen, geschmückt mit den bunten Bildern seiner Kinderseele und der Seele des alten Mannes, der auch eine Kinderseele hatte und der nun von ihm gegangen war.
koenigsgaukler_2_f000050|Zum ersten Male sah Mantao, daß der königliche Palast seiner Kindheit eine ärmliche Hütte war, und er schlief einsam und traurig ein.|Zum ersten Male sah Mantao, daß der königliche Palast seiner Kindheit eine ärmliche Hütte war, und er schlief einsam und traurig ein.
koenigsgaukler_2_f000051|Am anderen Morgen aber wollte er, wie es ihm der alte Mann zum Abschied gesagt hatte, von den Bergen in die Täler niedersteigen zu den wirren Wundern Indiens, zu denen seine Seele ihn zog, ohne daß er es wußte.|Am anderen Morgen aber wollte er, wie es ihm der alte Mann zum Abschied gesagt hatte, von den Bergen in die Täler niedersteigen zu den wirren Wundern Indiens, zu denen seine Seele ihn zog, ohne daß er es wußte.
koenigsgaukler_2_f000052|Um Mitternacht erwachte er und da erschien es ihm, als seien die Wände seiner Hütte seltsam verändert, als seien sie feingliedrige Blütenblätter einer Lotosblume geworden, in deren Kelch die Sterne schauten.|Um Mitternacht erwachte er und da erschien es ihm, als seien die Wände seiner Hütte seltsam verändert, als seien sie feingliedrige Blütenblätter einer Lotosblume geworden, in deren Kelch die Sterne schauten.
koenigsgaukler_2_f000053|Von der Lotosblume aber spannen sich lauter feine, feste Fäden weit, weit hinaus und hinunter in die Täler Indiens – und ihm war, als müsse er diesen feinen Fäden folgen, mit denen er sich verkettet fühlte, er wußte nicht, wie.|Von der Lotosblume aber spannen sich lauter feine, feste Fäden weit, weit hinaus und hinunter in die Täler Indiens - und ihm war, als müsse er diesen feinen Fäden folgen, mit denen er sich verkettet fühlte, er wußte nicht, wie.
koenigsgaukler_2_f000054|Das ist die Kette der Dinge, sagte eine leise Stimme, ich will auf deine Kette der Dinge achten, wie ich es dir versprochen habe, Mantao, mein Königsgaukler.|Das ist die Kette der Dinge, sagte eine leise Stimme, ich will auf deine Kette der Dinge achten, wie ich es dir versprochen habe, Mantao, mein Königsgaukler.
koenigsgaukler_2_f000055|Es war die Stimme seines Engels, der zu seinen Häupten stand und auf ihn niederschaute.|Es war die Stimme seines Engels, der zu seinen Häupten stand und auf ihn niederschaute.
koenigsgaukler_2_f000056|Mantao aber sah ihn nicht. Mantao sah in die Sterne.|Mantao aber sah ihn nicht. Mantao sah in die Sterne.
koenigsgaukler_2_f000057|Und ihm war, als formte sich vor seinen Augen aus dem blauen golddurchwirkten Schimmer der Nacht die Gestalt einer Frau von unsagbarer Schönheit – so unerreichbar göttlich und erhaben und doch so seltsam vertraut mit allem|Und ihm war, als formte sich vor seinen Augen aus dem blauen golddurchwirkten Schimmer der Nacht die Gestalt einer Frau von unsagbarer Schönheit - so unerreichbar göttlich und erhaben und doch so seltsam vertraut mit allem
koenigsgaukler_2_f000058|was in ihm war, als sei alle Liebe, die er je empfunden für die mühseligen Käfer und die kreisenden Adler, für den alten Mann mit der spitzen Mütze und für die Bergziegen und Waldbienen, eins geworden in dieser Frauengestalt über den Sternen.|was in ihm war, als sei alle Liebe, die er je empfunden für die mühseligen Käfer und die kreisenden Adler, für den alten Mann mit der spitzen Mütze und für die Bergziegen und Waldbienen, eins geworden in dieser Frauengestalt über den Sternen.
koenigsgaukler_2_f000059|Ich bin du, wenn ich auch jetzt von dir getrennt bin, sagte die Frau über den Sternen und lächelte.|Ich bin du, wenn ich auch jetzt von dir getrennt bin, sagte die Frau über den Sternen und lächelte.
koenigsgaukler_2_f000060|Siehe, meine weißen Glieder werden gebaut von deinen Gedanken, mein Gewand wird gewirkt von deinen guten Werken und alle Liebe und alle Sehnsucht, die in dir atmen, sind mein Diadem.|Siehe, meine weißen Glieder werden gebaut von deinen Gedanken, mein Gewand wird gewirkt von deinen guten Werken und alle Liebe und alle Sehnsucht, die in dir atmen, sind mein Diadem.
koenigsgaukler_2_f000061|Ich bin du und einmal wirst du ganz mit mir vereinigt sein.|Ich bin du und einmal wirst du ganz mit mir vereinigt sein.
koenigsgaukler_2_f000062|Baue meine Glieder, wirke mein Gewand und durchleuchte mein Diadem mit den Edelsteinen deiner Liebe.|Baue meine Glieder, wirke mein Gewand und durchleuchte mein Diadem mit den Edelsteinen deiner Liebe.
koenigsgaukler_2_f000063|Je mehr du mich schmückst, um so mehr werde ich dich lieben, Mantao, mein Liebster, mein Königsgaukler.|Je mehr du mich schmückst, um so mehr werde ich dich lieben, Mantao, mein Liebster, mein Königsgaukler.
koenigsgaukler_2_f000064|Wann werde ich mit dir vereinigt sein?|Wann werde ich mit dir vereinigt sein?
koenigsgaukler_2_f000065|rief Mantao und ihm war, als stünde sein ganzes Wesen in Flammen, die er noch nie gekannt.|rief Mantao und ihm war, als stünde sein ganzes Wesen in Flammen, die er noch nie gekannt.
koenigsgaukler_2_f000066|Wenn du ganz du sein wirst, Mantao, mein Liebster.|Wenn du ganz du sein wirst, Mantao, mein Liebster.
koenigsgaukler_2_f000067|Wenn du durch die Täler Indiens gegangen bist und durch ihre wirren Wunder, wenn du die Stadt der bunten Lampen kennst und die Stadt der erloschenen Lampen, wenn du wieder heimkehrst über den heiligen Berg in Tibet in das Königreich der Ferne.|Wenn du durch die Täler Indiens gegangen bist und durch ihre wirren Wunder, wenn du die Stadt der bunten Lampen kennst und die Stadt der erloschenen Lampen, wenn du wieder heimkehrst über den heiligen Berg in Tibet in das Königreich der Ferne.
koenigsgaukler_2_f000068|Denn siehe, ich bin die Königin der Ferne, die Königin deiner Ferne, die du suchen wirst auf allen deinen Wegen, bis du sie gefunden.|Denn siehe, ich bin die Königin der Ferne, die Königin deiner Ferne, die du suchen wirst auf allen deinen Wegen, bis du sie gefunden.
koenigsgaukler_2_f000069|Wie aber soll ich das Königreich meiner Ferne finden und dich in ihm, Königin der Ferne? fragte Mantao.|Wie aber soll ich das Königreich meiner Ferne finden und dich in ihm, Königin der Ferne? fragte Mantao.
koenigsgaukler_2_f000070|Du mußt einen Schild, ein Schwert und eine Krone tragen und die will ich dir geben.|Du mußt einen Schild, ein Schwert und eine Krone tragen und die will ich dir geben.
koenigsgaukler_2_f000071|Dies Schwert soll dich schützen und die, für die du deinen Weg wanderst.|Dies Schwert soll dich schützen und die, für die du deinen Weg wanderst.
koenigsgaukler_2_f000072|Diesen Schild sollst du halten über allem, was atmet und dich um Hilfe ruft.|Diesen Schild sollst du halten über allem, was atmet und dich um Hilfe ruft.
koenigsgaukler_2_f000073|Deine Krone aber wirst du unsichtbar tragen und niemand wird sie sehen auf dieser Erde.|Deine Krone aber wirst du unsichtbar tragen und niemand wird sie sehen auf dieser Erde.
koenigsgaukler_2_f000074|Deine Krone wirst du selbst erst sehen im Königreich der Ferne.|Deine Krone wirst du selbst erst sehen im Königreich der Ferne.
koenigsgaukler_2_f000075|Ein König wirst du sein mit einer unsichtbaren Krone und sie werden dich für einen Gaukler halten.|Ein König wirst du sein mit einer unsichtbaren Krone und sie werden dich für einen Gaukler halten.
koenigsgaukler_2_f000076|Der Erhabene segne dich, Mantao, mein Liebster, mein Königsgaukler.|Der Erhabene segne dich, Mantao, mein Liebster, mein Königsgaukler.
koenigsgaukler_2_f000077|Denke an deine Königin der Ferne.|Denke an deine Königin der Ferne.
koenigsgaukler_2_f000078|Mantao schlief wieder ein und als er am Morgen erwachte, lagen ein Schild und ein Schwert von einfacher Arbeit und ärmlichem Aussehen neben ihm.|Mantao schlief wieder ein und als er am Morgen erwachte, lagen ein Schild und ein Schwert von einfacher Arbeit und ärmlichem Aussehen neben ihm.
koenigsgaukler_2_f000079|Eine Krone aber konnte er nicht an sich entdecken.|Eine Krone aber konnte er nicht an sich entdecken.
koenigsgaukler_2_f000080|Da nahm er den Schild und das Schwert auf, segnete die Käfer und die Adler, die Bergziegen und die Waldbienen, nahm Abschied von der Hütte seiner Kindheit und stieg langsam die Berge hinunter zu den Tälern Indiens.|Da nahm er den Schild und das Schwert auf, segnete die Käfer und die Adler, die Bergziegen und die Waldbienen, nahm Abschied von der Hütte seiner Kindheit und stieg langsam die Berge hinunter zu den Tälern Indiens.
koenigsgaukler_3_f000001|Der Kleine mit den Elefantenohren und das Äffchen.|Der Kleine mit den Elefantenohren und das Äffchen.
koenigsgaukler_3_f000002|Als Mantao zu den Tälern Indiens gekommen war, da staunte er über die Pracht und den Reichtum an Leben, den Brahma über dieses Land der Wunder ausgegossen hatte aus seiner göttlichen Schöpferschale.|Als Mantao zu den Tälern Indiens gekommen war, da staunte er über die Pracht und den Reichtum an Leben, den Brahma über dieses Land der Wunder ausgegossen hatte aus seiner göttlichen Schöpferschale.
koenigsgaukler_3_f000003|Blumen von solcher Farbe und solchem Duft und Tiere von so seltsamer Gestalt hatte er oben in den einsamen Bergen Tibets nicht gesehen und er ahnte nicht,|Blumen von solcher Farbe und solchem Duft und Tiere von so seltsamer Gestalt hatte er oben in den einsamen Bergen Tibets nicht gesehen und er ahnte nicht,
koenigsgaukler_3_f000004|daß viele dieser herrlichen Blüten ein tödliches Gift enthielten und manche dieser schönen Tiere wild und reißend waren.|daß viele dieser herrlichen Blüten ein tödliches Gift enthielten und manche dieser schönen Tiere wild und reißend waren.
koenigsgaukler_3_f000005|Er segnete sie mit dem Segen des Erhabenen und die Giftblumen neigten ihre Kelche vor ihm, um ihm ihren tödlichen Hauch zu verbergen, und die wilden Tiere dankten ihm für seinen Segen und gaben ihm den Weg frei.|Er segnete sie mit dem Segen des Erhabenen und die Giftblumen neigten ihre Kelche vor ihm, um ihm ihren tödlichen Hauch zu verbergen, und die wilden Tiere dankten ihm für seinen Segen und gaben ihm den Weg frei.
koenigsgaukler_3_f000006|Sogar die Schlangen rollten ihre schimmernden Leiber vor ihm zu gefälligen Mustern zusammen und der Tiger, Indiens Königskatze, schnurrte so laut, daß selbst seine Frau und die kleinen Tigerkinder einstimmig versicherten|Sogar die Schlangen rollten ihre schimmernden Leiber vor ihm zu gefälligen Mustern zusammen und der Tiger, Indiens Königskatze, schnurrte so laut, daß selbst seine Frau und die kleinen Tigerkinder einstimmig versicherten
koenigsgaukler_3_f000007|so herrlich haben sie ihn noch nie schnurren gehört, obwohl er ein Meister im Schnurren war wie nur sehr wenige.|so herrlich haben sie ihn noch nie schnurren gehört, obwohl er ein Meister im Schnurren war wie nur sehr wenige.
koenigsgaukler_3_f000008|Als nun Mantao die ganze Wildnis durchwandert hatte, da erblickte er eines Tages eine sonderbare Gestalt, die gerade auf ihn zukam und sonderbarer war als die Merkwürdigkeiten, die er bisher gesehen.|Als nun Mantao die ganze Wildnis durchwandert hatte, da erblickte er eines Tages eine sonderbare Gestalt, die gerade auf ihn zukam und sonderbarer war als die Merkwürdigkeiten, die er bisher gesehen.
koenigsgaukler_3_f000009|Es war ein ganz kleines Männchen mit gewaltig großen Elefantenohren und die Ohren waren so groß und das Männchen so klein, daß es ganz in den Ohren eingehüllt war.|Es war ein ganz kleines Männchen mit gewaltig großen Elefantenohren und die Ohren waren so groß und das Männchen so klein, daß es ganz in den Ohren eingehüllt war.
koenigsgaukler_3_f000010|Ja, wenn es ging, so schleiften die Ohren noch ein wenig auf der Erde und der Kleine nahm sie dann auf wie eine Schleppe, um sie zu schonen.|Ja, wenn es ging, so schleiften die Ohren noch ein wenig auf der Erde und der Kleine nahm sie dann auf wie eine Schleppe, um sie zu schonen.
koenigsgaukler_3_f000011|Heil dir, König Mantao, sagte der Kleine und neigte sich so tief, daß die Elefantenohren den Staub auf dem Erdboden aufwirbelten.|Heil dir, König Mantao, sagte der Kleine und neigte sich so tief, daß die Elefantenohren den Staub auf dem Erdboden aufwirbelten.
koenigsgaukler_3_f000012|Woher weißt du, wie ich heiße, fragte Mantao, und daß ich ein König bin?|Woher weißt du, wie ich heiße, fragte Mantao, und daß ich ein König bin?
koenigsgaukler_3_f000013|Ich habe das gehört, sagte der Kleine mit den Elefantenohren, denn mit diesen Ohren höre ich alles.|Ich habe das gehört, sagte der Kleine mit den Elefantenohren, denn mit diesen Ohren höre ich alles.
koenigsgaukler_3_f000014|Er richtete sich wieder auf und ordnete die Ohren in hübschen Falten auf seinem Rücken wie einen Mantel.|Er richtete sich wieder auf und ordnete die Ohren in hübschen Falten auf seinem Rücken wie einen Mantel.
koenigsgaukler_3_f000015|Ich kann mir schon denken, daß du mit diesen Ohren vieles hören kannst, sagte Mantao, aber ist es nicht seltsam, daß ein so kleiner Mann solche große Ohren trägt und noch dazu Elefantenohren?|Ich kann mir schon denken, daß du mit diesen Ohren vieles hören kannst, sagte Mantao, aber ist es nicht seltsam, daß ein so kleiner Mann solche große Ohren trägt und noch dazu Elefantenohren?
koenigsgaukler_3_f000016|Ist es nicht sehr beschwerlich, solche Ohren zu tragen?|Ist es nicht sehr beschwerlich, solche Ohren zu tragen?
koenigsgaukler_3_f000017|Sage das nicht, erwiderte der Kleine, siehe, es ist eine gewaltige Gnade, daß ich diese Ohren habe.|Sage das nicht, erwiderte der Kleine, siehe, es ist eine gewaltige Gnade, daß ich diese Ohren habe.
koenigsgaukler_3_f000018|Der alte und weise Elefant Mammamutra hat sie mir geschenkt.|Der alte und weise Elefant Mammamutra hat sie mir geschenkt.
koenigsgaukler_3_f000019|Ich habe ihm einmal eine Wunde verbunden.|Ich habe ihm einmal eine Wunde verbunden.
koenigsgaukler_3_f000020|Man lernt besser hören, wenn man anderen die Wunden verbunden hat, sagte der Elefant Mammamutra und gab mir aus lauter Gefälligkeit diese Ohren, die er, dank einem leichten Zauber, aus seiner eigenen Haut geschneidert hat.|Man lernt besser hören, wenn man anderen die Wunden verbunden hat, sagte der Elefant Mammamutra und gab mir aus lauter Gefälligkeit diese Ohren, die er, dank einem leichten Zauber, aus seiner eigenen Haut geschneidert hat.
koenigsgaukler_3_f000021|Er hatte viel Haut übrig, selten habe ich jemand gesehn, dem die Haut so in unzähligen Falten am Leibe hing, wie Mammamutra, dem alten und weisen Elefanten.|Er hatte viel Haut übrig, selten habe ich jemand gesehn, dem die Haut so in unzähligen Falten am Leibe hing, wie Mammamutra, dem alten und weisen Elefanten.
koenigsgaukler_3_f000022|Er hatte es wirklich übrig, aber doch war es eine sehr große Gnade, denn seit ich diese Ohren habe – der Erhabene segne Mammamutra und seine Kinder und Kindeskinder – seit der Zeit höre ich so leise Dinge|Er hatte es wirklich übrig, aber doch war es eine sehr große Gnade, denn seit ich diese Ohren habe - der Erhabene segne Mammamutra und seine Kinder und Kindeskinder - seit der Zeit höre ich so leise Dinge
koenigsgaukler_3_f000023|wie wenn der Keim einer Pflanze seine Hülle bricht im Schoß der Erde.|wie wenn der Keim einer Pflanze seine Hülle bricht im Schoß der Erde.
koenigsgaukler_3_f000024|Ich höre die Gedanken der Guten und die Ränke der Bösen und so hörte ich, daß Mantao, der Königsgaukler, in die Täler von Indien gekommen ist.|Ich höre die Gedanken der Guten und die Ränke der Bösen und so hörte ich, daß Mantao, der Königsgaukler, in die Täler von Indien gekommen ist.
koenigsgaukler_3_f000025|Wie hast du das gehört? fragte Mantao, klingt nicht ein Schritt wie der andere, wenn er dir nicht seit Jahren vertraut ist?|Wie hast du das gehört? fragte Mantao, klingt nicht ein Schritt wie der andere, wenn er dir nicht seit Jahren vertraut ist?
koenigsgaukler_3_f000026|Siehe, ich hörte eine Lotosblume wachsen, sagte der Kleine mit den Elefantenohren, und ein Engel legte die Seele eines Kindes in ihren Kelch.|Siehe, ich hörte eine Lotosblume wachsen, sagte der Kleine mit den Elefantenohren, und ein Engel legte die Seele eines Kindes in ihren Kelch.
koenigsgaukler_3_f000027|Es war deine Seele, Mantao, mein Königsgaukler.|Es war deine Seele, Mantao, mein Königsgaukler.
koenigsgaukler_3_f000028|Ich hörte, wie die Lotosblume sich drehte und hörte, wie sich viele feine Fäden aus ihr spannen zu den Bergen von Tibet und den Tälern von Indien.|Ich hörte, wie die Lotosblume sich drehte und hörte, wie sich viele feine Fäden aus ihr spannen zu den Bergen von Tibet und den Tälern von Indien.
koenigsgaukler_3_f000029|Deine Schritte brauche ich nicht zu hören, denn du wandelst den Fäden nach, die dich zu sich ziehen.|Deine Schritte brauche ich nicht zu hören, denn du wandelst den Fäden nach, die dich zu sich ziehen.
koenigsgaukler_3_f000030|Gehe ich denn nicht mit festen Schritten auf dieser Erde, wie ich will und wohin es mir beliebt? fragte Mantao stolz und schlug an das Schwert an seiner Hüfte.|Gehe ich denn nicht mit festen Schritten auf dieser Erde, wie ich will und wohin es mir beliebt? fragte Mantao stolz und schlug an das Schwert an seiner Hüfte.
koenigsgaukler_3_f000031|Das hört sich so äußerlich für menschliche Ohren an, sagte der Kleine und raschelte vergnügt mit seinen Elefantenohren, aber wenn man mit Mammamutras Ohren hört – der Erhabene segne ihn und seine entferntesten Verwandten – dann hört man|Das hört sich so äußerlich für menschliche Ohren an, sagte der Kleine und raschelte vergnügt mit seinen Elefantenohren, aber wenn man mit Mammamutras Ohren hört - der Erhabene segne ihn und seine entferntesten Verwandten - dann hört man
koenigsgaukler_3_f000032|wie die Fäden gesponnen werden, die die Schritte nach sich ziehen.|wie die Fäden gesponnen werden, die die Schritte nach sich ziehen.
koenigsgaukler_3_f000033|Siehe die ganze Erde ist mit solchen feinen Fäden durchwirkt.|Siehe die ganze Erde ist mit solchen feinen Fäden durchwirkt.
koenigsgaukler_3_f000034|Von den einen bist du frei, die anderen ziehen dich an und du folgst ihnen, ohne zu wissen, warum.|Von den einen bist du frei, die anderen ziehen dich an und du folgst ihnen, ohne zu wissen, warum.
koenigsgaukler_3_f000035|Das ist die Kette der Dinge und du bist mit ihr verbunden aus früheren Leben, da du schon in anderer Gestalt auf dieser Erde wandeltest, oder aus deinem innersten Wesen heraus, das der Engel mit allem|Das ist die Kette der Dinge und du bist mit ihr verbunden aus früheren Leben, da du schon in anderer Gestalt auf dieser Erde wandeltest, oder aus deinem innersten Wesen heraus, das der Engel mit allem
koenigsgaukler_3_f000036|was du warst und sein wirst, in den Kelch der Lotosblume senkte.|was du warst und sein wirst, in den Kelch der Lotosblume senkte.
koenigsgaukler_3_f000037|So ist das ganze Leben wie ein Teppich, kunstvoll aus feinen Fäden gewoben und du bist mitten darin, um sein Muster auszuwirken, Fäden zu lösen und zu verbinden, bis du frei bist von allen Fäden|So ist das ganze Leben wie ein Teppich, kunstvoll aus feinen Fäden gewoben und du bist mitten darin, um sein Muster auszuwirken, Fäden zu lösen und zu verbinden, bis du frei bist von allen Fäden
koenigsgaukler_3_f000038|die dich halten und dein fertiges Muster heimtragen kannst in dein Königreich der Ferne.|die dich halten und dein fertiges Muster heimtragen kannst in dein Königreich der Ferne.
koenigsgaukler_3_f000039|Gerade in dieses Königreich der Ferne will ich, sagte Mantao, seit ich meine Königin der Ferne sah in der letzten Nacht, die ich in der Hütte meiner Kindheit schlief.|Gerade in dieses Königreich der Ferne will ich, sagte Mantao, seit ich meine Königin der Ferne sah in der letzten Nacht, die ich in der Hütte meiner Kindheit schlief.
koenigsgaukler_3_f000040|Kannst du, der alles hört, mir nicht sagen, wo jetzt meine Königin der Ferne weilt?|Kannst du, der alles hört, mir nicht sagen, wo jetzt meine Königin der Ferne weilt?
