weihnachtsabend_01_f000001|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.|Marley war tot, damit wollen wir anfangen. Ein Zweifel darüber kann nicht stattfinden.
weihnachtsabend_03_f000056|und wie einer dieser Teile verschwand,  blieb keine Spur von ihm in dem dichten Dunkel zurück, welches ihn aufnahm.|und wie einer dieser Teile verschwand,  blieb keine Spur von ihm in dem dichten Dunkel zurück, welches ihn aufnahm.
weihnachtsabend_03_f000057|Und das größte Wunder dabei war: die Gestalt blieb immer dieselbe.|Und das größte Wunder dabei war: die Gestalt blieb immer dieselbe.
weihnachtsabend_03_f000058|Sind Sie der Geist, dessen Erscheinung mir vorhergesagt wurde? fragte Scrooge.|Sind Sie der Geist, dessen Erscheinung mir vorhergesagt wurde? fragte Scrooge.
weihnachtsabend_03_f000059|Ich bin es.|Ich bin es.
weihnachtsabend_03_f000060|Die Stimme war sanft und wohlklingend und so leise, als käme sie nicht aus dichtester Nähe, sondern aus einiger Entfernung.|Die Stimme war sanft und wohlklingend und so leise, als käme sie nicht aus dichtester Nähe, sondern aus einiger Entfernung.
weihnachtsabend_03_f000061|Wer und was seid Ihr? fragte Scrooge, schon etwas mehr Vertrauen fassend.|Wer und was seid Ihr? fragte Scrooge, schon etwas mehr Vertrauen fassend.
weihnachtsabend_03_f000062|Ich bin der Geist der vergangenen Weihnachten.|Ich bin der Geist der vergangenen Weihnachten.
weihnachtsabend_03_f000063|Der lange vergangenen? fragte Scrooge, seiner zwerghaften Gestalt denkend.|Der lange vergangenen? fragte Scrooge, seiner zwerghaften Gestalt denkend.
weihnachtsabend_03_f000064|Nein, deiner vergangenen.|Nein, deiner vergangenen.
weihnachtsabend_03_f000065|Vielleicht hätte Scrooge niemand sagen können, warum, wenn ihn jemand gefragt hätte, aber doch fühlte er ein ganz besonderes Verlangen, den Geist in seiner Mütze zu sehen;|Vielleicht hätte Scrooge niemand sagen können, warum, wenn ihn jemand gefragt hätte, aber doch fühlte er ein ganz besonderes Verlangen, den Geist in seiner Mütze zu sehen;
weihnachtsabend_03_f000066|und er bat ihn, sich zu bedecken.|und er bat ihn, sich zu bedecken.
weihnachtsabend_03_f000067|Was? rief der Geist, willst du sobald mit irdisch gesinnter Hand das Licht, welches ich spende, verlöschen?|Was? rief der Geist, willst du sobald mit irdisch gesinnter Hand das Licht, welches ich spende, verlöschen?
weihnachtsabend_03_f000068|Ist es nicht genug, daß du einer von denen bist, deren Leidenschaften diese Mütze geschaffen haben und mich zwingen, durch lange, lange Jahre meine Stirn damit zu verhüllen?|Ist es nicht genug, daß du einer von denen bist, deren Leidenschaften diese Mütze geschaffen haben und mich zwingen, durch lange, lange Jahre meine Stirn damit zu verhüllen?
weihnachtsabend_03_f000069|Scrooge entschuldigte sich ehrfurchtsvoll, er habe nicht den Willen gehabt, ihn zu beleidigen, und behauptete,|Scrooge entschuldigte sich ehrfurchtsvoll, er habe nicht den Willen gehabt, ihn zu beleidigen, und behauptete,
weihnachtsabend_03_f000070|nicht zu wissen, daß er irgend je in seinem Leben dem Geiste Ursache gegeben habe, sich zu bedecken.|nicht zu wissen, daß er irgend je in seinem Leben dem Geiste Ursache gegeben habe, sich zu bedecken.
weihnachtsabend_03_f000071|Dann war er so frei, zu fragen, was ihn hierher führe.|Dann war er so frei, zu fragen, was ihn hierher führe.
weihnachtsabend_03_f000072|Dein Wohl, sagte der Geist.|Dein Wohl, sagte der Geist.
weihnachtsabend_03_f000073|Scrooge drückte seine Dankbarkeit aus, aber konnte sich doch des Gedankens nicht erwehren, daß eine Nacht ungestörten Schlafes ihm mehr genützt haben würde.|Scrooge drückte seine Dankbarkeit aus, aber konnte sich doch des Gedankens nicht erwehren, daß eine Nacht ungestörten Schlafes ihm mehr genützt haben würde.
weihnachtsabend_03_f000074|Der Geist mußte ihn haben denken hören, denn er sagte sogleich: Deine Besserung also. Nimm dich in acht!|Der Geist mußte ihn haben denken hören, denn er sagte sogleich: Deine Besserung also. Nimm dich in acht!
weihnachtsabend_03_f000075|Er streckte seine starke Hand aus, als er dies sprach und ergriff sanft seinen Arm.|Er streckte seine starke Hand aus, als er dies sprach und ergriff sanft seinen Arm.
weihnachtsabend_03_f000076|Stehe auf und folge mir.|Stehe auf und folge mir.
weihnachtsabend_03_f000077|Vergebens würde Scrooge eingewendet haben, Wetter und Stunde sei schlecht geeignet zum Spazierengehen;|Vergebens würde Scrooge eingewendet haben, Wetter und Stunde sei schlecht geeignet zum Spazierengehen;
weihnachtsabend_03_f000078|das Bett sei warm und der Thermometer ein gutes Stück unter dem Gefrierpunkte;|das Bett sei warm und der Thermometer ein gutes Stück unter dem Gefrierpunkte;
weihnachtsabend_03_f000079|er sei nur leicht in Pantoffeln, Schlafrock und Nachtmütze gekleidet und habe gerade jetzt den Schnupfen.|er sei nur leicht in Pantoffeln, Schlafrock und Nachtmütze gekleidet und habe gerade jetzt den Schnupfen.
weihnachtsabend_03_f000080|Dem Griff, war er auch so sanft, wie der einer Frauenhand, war nicht zu widerstehen.|Dem Griff, war er auch so sanft, wie der einer Frauenhand, war nicht zu widerstehen.
weihnachtsabend_03_f000081|Er stand auf, aber wie er sah, daß der Geist nach dem Fenster schwebte, faßte er ihn flehend bei dem Gewande.|Er stand auf, aber wie er sah, daß der Geist nach dem Fenster schwebte, faßte er ihn flehend bei dem Gewande.
weihnachtsabend_03_f000082|Ich bin ein Sterblicher, sagte Scrooge, und kann fallen.|Ich bin ein Sterblicher, sagte Scrooge, und kann fallen.
weihnachtsabend_03_f000083|Dulde nur eine Berührung meiner Hand dort, sagte der Geist, indem er ihm die Hand auf das Herz legte, und du wirst größere Gefahren überwinden, als diese hier.|Dulde nur eine Berührung meiner Hand dort, sagte der Geist, indem er ihm die Hand auf das Herz legte, und du wirst größere Gefahren überwinden, als diese hier.
weihnachtsabend_03_f000084|Als diese Worte gesprochen waren, schwanden die beiden durch die Wände und standen plötzlich im Freien auf der Landstraße, rings von Feldern umgeben.|Als diese Worte gesprochen waren, schwanden die beiden durch die Wände und standen plötzlich im Freien auf der Landstraße, rings von Feldern umgeben.
weihnachtsabend_03_f000085|Die Stadt war ganz verschwunden. Keine Spur war mehr davon übrig.|Die Stadt war ganz verschwunden. Keine Spur war mehr davon übrig.
weihnachtsabend_03_f000086|Die Finsternis und der Nebel waren mit ihr verschwunden, denn es war jetzt ein klarer, kalter Wintertag und der Boden war mit weißem, reinem Schnee bedeckt.|Die Finsternis und der Nebel waren mit ihr verschwunden, denn es war jetzt ein klarer, kalter Wintertag und der Boden war mit weißem, reinem Schnee bedeckt.
weihnachtsabend_03_f000087|Gütiger Himmel! rief Scrooge, die Hände faltend, als er um sich blickte. Hier wurde ich geboren. Hier lebte ich noch als Knabe.|Gütiger Himmel! rief Scrooge, die Hände faltend, als er um sich blickte. Hier wurde ich geboren. Hier lebte ich noch als Knabe.
weihnachtsabend_03_f000088|Der Geist schaute ihn mit mildem Blicke an. Seine sanfte Berührung, obgleich sie nur leise und augenblicklich gewesen war, klang immer noch in dem Herzen des alten Mannes nach.|Der Geist schaute ihn mit mildem Blicke an. Seine sanfte Berührung, obgleich sie nur leise und augenblicklich gewesen war, klang immer noch in dem Herzen des alten Mannes nach.
weihnachtsabend_03_f000089|Er fühlte wie tausend Düfte durch die Luft schwebten, jeder mit tausend Gedanken und Hoffnungen und Freuden und Sorgen verbunden, die lange, lange vergessen waren.|Er fühlte wie tausend Düfte durch die Luft schwebten, jeder mit tausend Gedanken und Hoffnungen und Freuden und Sorgen verbunden, die lange, lange vergessen waren.
weihnachtsabend_03_f000090|Deine Lippe zittert, sagte der Geist. Und was glänzt auf deiner Wange?|Deine Lippe zittert, sagte der Geist. Und was glänzt auf deiner Wange?
weihnachtsabend_03_f000091|Scrooge murmelte mit einem ungewöhnlichen Stocken in der Stimme, es sei ein Wärzchen, und bat den Geist, ihn zu führen, wohin er wolle.|Scrooge murmelte mit einem ungewöhnlichen Stocken in der Stimme, es sei ein Wärzchen, und bat den Geist, ihn zu führen, wohin er wolle.
weihnachtsabend_03_f000092|Erinnerst du dich des Weges? frug der Geist.|Erinnerst du dich des Weges? frug der Geist.
weihnachtsabend_03_f000093|Ob ich mich seiner erinnere? rief Scrooge mit Innigkeit; ich könnte ihn blindlings gehen.|Ob ich mich seiner erinnere? rief Scrooge mit Innigkeit; ich könnte ihn blindlings gehen.
weihnachtsabend_03_f000094|Seltsam, daß du ihn so viele Jahre lang vergessen hast, sagte der Geist. Komm!|Seltsam, daß du ihn so viele Jahre lang vergessen hast, sagte der Geist. Komm!
weihnachtsabend_03_f000095|Sie schritten den Weg entlang. Scrooge erkannte jedes Thor, jeden Pfahl, jeden Baum wieder, bis ein kleiner Marktflecken in der Ferne mit seiner Kirche,|Sie schritten den Weg entlang. Scrooge erkannte jedes Thor, jeden Pfahl, jeden Baum wieder, bis ein kleiner Marktflecken in der Ferne mit seiner Kirche,
weihnachtsabend_03_f000096|seiner Brücke und dem hellen Fluß erschien.|seiner Brücke und dem hellen Fluß erschien.
weihnachtsabend_03_f000097|Jetzt kamen einige Knaben, auf zottigen Ponys reitend, auf sie zu, welche anderen Knaben in ländlichen Wagen laut zuriefen.|Jetzt kamen einige Knaben, auf zottigen Ponys reitend, auf sie zu, welche anderen Knaben in ländlichen Wagen laut zuriefen.
weihnachtsabend_03_f000098|Alle diese Knaben waren gar fröhlich und laut, bis die weiten Felder so voll heiterer Musik waren, daß die kalte, sonnige Luft lachte, sie zu hören.|Alle diese Knaben waren gar fröhlich und laut, bis die weiten Felder so voll heiterer Musik waren, daß die kalte, sonnige Luft lachte, sie zu hören.
weihnachtsabend_03_f000099|Dies sind bloß Schatten der Dinge, die gewesen sind, sagte der Geist, sie wissen nichts von uns.|Dies sind bloß Schatten der Dinge, die gewesen sind, sagte der Geist, sie wissen nichts von uns.
weihnachtsabend_03_f000100|Die fröhlichen Reisenden kamen näher und jetzt erkannte Scrooge sie alle und konnte sie alle bei Namen nennen.|Die fröhlichen Reisenden kamen näher und jetzt erkannte Scrooge sie alle und konnte sie alle bei Namen nennen.
weihnachtsabend_03_f000101|Warum freute er sich über alle Maßen, sie zu sehen, warum wurde sein kaltes Auge feucht, warum frohlockte sein Herz,|Warum freute er sich über alle Maßen, sie zu sehen, warum wurde sein kaltes Auge feucht, warum frohlockte sein Herz,
weihnachtsabend_03_f000102|als sie vorübereilten, warum wurde sein Herz weich, wie sie an den Kreuzwegen voneinander schieden und sich fröhliche Weihnachten wünschten?|als sie vorübereilten, warum wurde sein Herz weich, wie sie an den Kreuzwegen voneinander schieden und sich fröhliche Weihnachten wünschten?
weihnachtsabend_03_f000103|Was gingen Scrooge fröhliche Weihnachten an? Der Henker hole fröhliche Weihnachten! Welchen Nutzen hatte er jemals davon gehabt?|Was gingen Scrooge fröhliche Weihnachten an? Der Henker hole fröhliche Weihnachten! Welchen Nutzen hatte er jemals davon gehabt?
weihnachtsabend_03_f000104|Die Schule ist nicht ganz verlassen, sagte der Geist Ein Kind, eine verlassene Waise sitzt noch einsam dort.|Die Schule ist nicht ganz verlassen, sagte der Geist Ein Kind, eine verlassene Waise sitzt noch einsam dort.
weihnachtsabend_03_f000105|Scrooge sagte, er wisse es. Und er schluchzte.|Scrooge sagte, er wisse es. Und er schluchzte.
weihnachtsabend_03_f000106|Sie verließen jetzt die Heerstraße auf einem wohlbekannten Feldwege und erreichten bald ein Haus von dunkelroten  Ziegeln,|Sie verließen jetzt die Heerstraße auf einem wohlbekannten Feldwege und erreichten bald ein Haus von dunkelroten  Ziegeln,
weihnachtsabend_03_f000107|mit einem kleinen Türmchen auf dem Dache und darin eine Glocke.|mit einem kleinen Türmchen auf dem Dache und darin eine Glocke.
weihnachtsabend_03_f000108|Es war ein großes Haus, aber jetzt vernachlässigt und verfallen, denn die geräumigen Gemächer waren wenig gebraucht,|Es war ein großes Haus, aber jetzt vernachlässigt und verfallen, denn die geräumigen Gemächer waren wenig gebraucht,
weihnachtsabend_03_f000109|die Wände feucht und grün, die Fenster zerbrochen, die Thüren morsch und zerfallen.|die Wände feucht und grün, die Fenster zerbrochen, die Thüren morsch und zerfallen.
weihnachtsabend_03_f000110|Hühner gluckten und scharrten in den Ställen; und der Wagenschuppen war mit Gras überwachsen.|Hühner gluckten und scharrten in den Ställen; und der Wagenschuppen war mit Gras überwachsen.
weihnachtsabend_03_f000111|Auch im Innern war nichts von seiner alten Pracht übrig geblieben, denn als sie in die verödete Hausflur eintraten und durch die offenen Thüren in die vielen Zimmer blickten,|Auch im Innern war nichts von seiner alten Pracht übrig geblieben, denn als sie in die verödete Hausflur eintraten und durch die offenen Thüren in die vielen Zimmer blickten,
weihnachtsabend_03_f000112|sahen sie nur ärmlich ausgestattete, kalte, große Räume.|sahen sie nur ärmlich ausgestattete, kalte, große Räume.
weihnachtsabend_03_f000113|Ein erdiger, dumpfiger Geruch erfüllte die Luft, eine frostige Unbehaglichkeit schien um den Ort zu schweben,|Ein erdiger, dumpfiger Geruch erfüllte die Luft, eine frostige Unbehaglichkeit schien um den Ort zu schweben,
weihnachtsabend_03_f000114|die auf irgend eine Art an zu oft früh bei Licht aufstehen, und nicht zu viel zu essen zu bekommen erinnerte.|die auf irgend eine Art an zu oft früh bei Licht aufstehen, und nicht zu viel zu essen zu bekommen erinnerte.
weihnachtsabend_03_f000115|Der Geist und Scrooge gingen über die Hausflur nach einer Thür auf der Rückseite des Hauses.|Der Geist und Scrooge gingen über die Hausflur nach einer Thür auf der Rückseite des Hauses.
weihnachtsabend_03_f000116|Sie öffnete sich vor ihnen und zeigte ihnen einen langen, kahlen, unbehaglichen Saal, noch kahler und unbehaglicher gemacht durch die Reihen von einfachen hölzernen Bänken.|Sie öffnete sich vor ihnen und zeigte ihnen einen langen, kahlen, unbehaglichen Saal, noch kahler und unbehaglicher gemacht durch die Reihen von einfachen hölzernen Bänken.
weihnachtsabend_03_f000117|Auf einer derselben saß einsam ein Knabe neben einem schwachen Feuer und las;|Auf einer derselben saß einsam ein Knabe neben einem schwachen Feuer und las;
weihnachtsabend_03_f000118|und Scrooge setzte sich auf eine Bank nieder und weinte, sein eigenes, vergessenes Selbst, wie es in früheren Jahren war, zu sehen.|und Scrooge setzte sich auf eine Bank nieder und weinte, sein eigenes, vergessenes Selbst, wie es in früheren Jahren war, zu sehen.
weihnachtsabend_03_f000119|Kein dumpfer Widerhall in dem Hause, kein Rascheln der Mäuse hinter dem Getäfel, kein Getröpfel des halbgefrorenen Röhrtrogs in dem Hofe hinten,|Kein dumpfer Widerhall in dem Hause, kein Rascheln der Mäuse hinter dem Getäfel, kein Getröpfel des halbgefrorenen Röhrtrogs in dem Hofe hinten,
weihnachtsabend_03_f000120|kein Seufzer in den blattlosen Zweigen einer verlassen trauernden Pappel, nicht das Klappen der vom Winde hin und her geschwungenen Thür des Vorratshauses im Hofe,|kein Seufzer in den blattlosen Zweigen einer verlassen trauernden Pappel, nicht das Klappen der vom Winde hin und her geschwungenen Thür des Vorratshauses im Hofe,
weihnachtsabend_03_f000121|selbst nicht das Knistern des Feuers war für Scrooge verloren.|selbst nicht das Knistern des Feuers war für Scrooge verloren.
weihnachtsabend_03_f000122|Alles fiel auf sein Herz mit erweichenden Tönen und löste seine Thränen.|Alles fiel auf sein Herz mit erweichenden Tönen und löste seine Thränen.
weihnachtsabend_03_f000123|Der Geist berührte seinen Arm und wies auf sein jüngeres, in ein Buch vertieftes Selbst.|Der Geist berührte seinen Arm und wies auf sein jüngeres, in ein Buch vertieftes Selbst.
weihnachtsabend_03_f000124|Plötzlich stand ein Mann in fremdartiger Tracht mit einer Axt im Gürtel und  einen mit Holz beladenen Esel am Zaume führend,|Plötzlich stand ein Mann in fremdartiger Tracht mit einer Axt im Gürtel und  einen mit Holz beladenen Esel am Zaume führend,
weihnachtsabend_03_f000125|draußen vor dem Fenster, wundersam wirklich und deutlich zu sehen.|draußen vor dem Fenster, wundersam wirklich und deutlich zu sehen.
weihnachtsabend_03_f000126|Was! das ist ja Ali Baba! rief Scrooge voller Freude aus.|Was! das ist ja Ali Baba! rief Scrooge voller Freude aus.
weihnachtsabend_03_f000127|Es ist der alte, liebe, ehrliche Ali Baba. Ja, ja, ich weiß noch.|Es ist der alte, liebe, ehrliche Ali Baba. Ja, ja, ich weiß noch.
weihnachtsabend_03_f000128|Einst zur Weihnachtszeit, als jener verlassene Knabe hier ganz allein saß, kam er zum erstenmal, gerade wie er dort steht.|Einst zur Weihnachtszeit, als jener verlassene Knabe hier ganz allein saß, kam er zum erstenmal, gerade wie er dort steht.
weihnachtsabend_03_f000129|Der arme Junge! Und Valentin, fuhr Scrooge fort, und sein wilder Bruder Orson, dort gehen sie!|Der arme Junge! Und Valentin, fuhr Scrooge fort, und sein wilder Bruder Orson, dort gehen sie!
weihnachtsabend_03_f000130|Und wie heißt der, der mitten im Schlafe vor das Thor von Damaskus gesetzt wurde? siehst du ihn nicht!|Und wie heißt der, der mitten im Schlafe vor das Thor von Damaskus gesetzt wurde? siehst du ihn nicht!
weihnachtsabend_03_f000131|Und der Stallmeister des Sultans, der von den Genien auf den Kopf gestellt wurde, dort ist er! Ha, ha, es geschieht ihm schon recht! Wer heißt ihn die Prinzessin heiraten wollen!|Und der Stallmeister des Sultans, der von den Genien auf den Kopf gestellt wurde, dort ist er! Ha, ha, es geschieht ihm schon recht! Wer heißt ihn die Prinzessin heiraten wollen!
weihnachtsabend_03_f000132|Scrooge mit vollem Ernste und mit einer Stimme zwischen Lachen und Weinen über solche Gegenstände reden zu hören und sein vor Freude aufgeregtes Gesicht zu sehen,|Scrooge mit vollem Ernste und mit einer Stimme zwischen Lachen und Weinen über solche Gegenstände reden zu hören und sein vor Freude aufgeregtes Gesicht zu sehen,
weihnachtsabend_03_f000133|wäre für seine Geschäftsfreunde in der City gewiß eine große Ueberraschung gewesen.|wäre für seine Geschäftsfreunde in der City gewiß eine große Ueberraschung gewesen.
weihnachtsabend_03_f000134|Da ist auch der Papagei, rief Scrooge, mit grünem Leib und gelbem Schwanz, da ist er! Der arme Robinson, er rief ihn, als er wieder von seiner Umsegelung der Insel nach Haus kam.|Da ist auch der Papagei, rief Scrooge, mit grünem Leib und gelbem Schwanz, da ist er! Der arme Robinson, er rief ihn, als er wieder von seiner Umsegelung der Insel nach Haus kam.
weihnachtsabend_03_f000135|Robinson Crusoe, wo bist du gewesen? Er glaubte, er träume, aber es war der Papagei. Ha, dort läuft Freitag in der kleinen Bucht. Es gilt das Leben. Hallo, ho, hallo!|Robinson Crusoe, wo bist du gewesen? Er glaubte, er träume, aber es war der Papagei. Ha, dort läuft Freitag in der kleinen Bucht. Es gilt das Leben. Hallo, ho, hallo!
weihnachtsabend_03_f000136|Dann sagte er mit einem schnellen Wechsel der Gefühle, der seinem gewöhnlichen Charakter sehr fremd war: Der arme Knabe! und er weinte wieder.|Dann sagte er mit einem schnellen Wechsel der Gefühle, der seinem gewöhnlichen Charakter sehr fremd war: Der arme Knabe! und er weinte wieder.
weihnachtsabend_03_f000137|Ich wollte, murmelte Scrooge, die Hand in die Tasche steckend und um sich blickend, nachdem er sich mit dem Rockaufschlag die Augen gewischt hatte, aber es ist zu spät jetzt.|Ich wollte, murmelte Scrooge, die Hand in die Tasche steckend und um sich blickend, nachdem er sich mit dem Rockaufschlag die Augen gewischt hatte, aber es ist zu spät jetzt.
weihnachtsabend_03_f000138|Was willst du? frug der Geist.|Was willst du? frug der Geist.
weihnachtsabend_03_f000139|Nichts, sagte Scrooge, nichts. Gestern Abend sang vor meiner Thür ein Knabe ein Weihnachtslied. Ich wollte, ich hätte ihm etwas gegeben, weiter war es nichts.|Nichts, sagte Scrooge, nichts. Gestern Abend sang vor meiner Thür ein Knabe ein Weihnachtslied. Ich wollte, ich hätte ihm etwas gegeben, weiter war es nichts.
weihnachtsabend_03_f000140|Der Geist lächelte gedankenvoll und winkte mit der Hand. Dann sagte er: Laß uns ein anderes Weihnachten sehen.|Der Geist lächelte gedankenvoll und winkte mit der Hand. Dann sagte er: Laß uns ein anderes Weihnachten sehen.
weihnachtsabend_03_f000141|Scrooges früheres Selbst wurde bei diesen Worten größer, und das Zimmer etwas finstrer und schwärzer;|Scrooges früheres Selbst wurde bei diesen Worten größer, und das Zimmer etwas finstrer und schwärzer;
weihnachtsabend_03_f000142|das Getäfel warf sich, die Fensterscheiben sprangen;|das Getäfel warf sich, die Fensterscheiben sprangen;
weihnachtsabend_03_f000143|Stücke Kalkbewurf fielen von der Decke, und das bloße Lattenwerk zeigte sich; aber wie das alles geschah, wußte Scrooge ebensowenig als ihr.|Stücke Kalkbewurf fielen von der Decke, und das bloße Lattenwerk zeigte sich; aber wie das alles geschah, wußte Scrooge ebensowenig als ihr.
weihnachtsabend_03_f000144|Er wußte nur, alles sei ganz in der Ordnung, und habe sich ganz so zugetragen, und er sei es wieder, der dort allein sitze,|Er wußte nur, alles sei ganz in der Ordnung, und habe sich ganz so zugetragen, und er sei es wieder, der dort allein sitze,
weihnachtsabend_03_f000145|während die andern Knaben nach Hause zur fröhlichen Weihnachtsfeier gereist waren.|während die andern Knaben nach Hause zur fröhlichen Weihnachtsfeier gereist waren.
weihnachtsabend_03_f000146|Er las nicht, sondern ging wie in Verzweiflung im Zimmer auf und ab.|Er las nicht, sondern ging wie in Verzweiflung im Zimmer auf und ab.
weihnachtsabend_03_f000147|Scrooge blickte den Geist an, und schaute mit einem traurigen Kopfschütteln und in banger Erwartung nach der Thür.|Scrooge blickte den Geist an, und schaute mit einem traurigen Kopfschütteln und in banger Erwartung nach der Thür.
weihnachtsabend_03_f000148|Sie ging auf, und ein kleines Mädchen, viel jünger als der Knabe, sprang herein, schlang die Arme um seinen Hals, küßte ihn und begrüßte ihn als ihren lieben, lieben Bruder.|Sie ging auf, und ein kleines Mädchen, viel jünger als der Knabe, sprang herein, schlang die Arme um seinen Hals, küßte ihn und begrüßte ihn als ihren lieben, lieben Bruder.
weihnachtsabend_03_f000149|Ich komme, um dich mit nach Haus zu nehmen, lieber Bruder! sagte das Kind, fröhlich mit den Händen klatschend. Dich mit nach Haus zu nehmen, nach Haus!|Ich komme, um dich mit nach Haus zu nehmen, lieber Bruder! sagte das Kind, fröhlich mit den Händen klatschend. Dich mit nach Haus zu nehmen, nach Haus!
weihnachtsabend_03_f000150|Nach Haus, liebe Fanny? frug der Knabe.|Nach Haus, liebe Fanny? frug der Knabe.
weihnachtsabend_03_f000151|Ja! antwortete die Kleine, in überströmender Lust. Nach Hause und für immer.|Ja! antwortete die Kleine, in überströmender Lust. Nach Hause und für immer.
weihnachtsabend_03_f000152|Der Vater ist so viel freundlicher als sonst, daß es bei uns wie im Himmel ist.|Der Vater ist so viel freundlicher als sonst, daß es bei uns wie im Himmel ist.
weihnachtsabend_03_f000153|Er sprach eines Abends, als ich zu Bett ging, so freundlich mit mir, daß ich mir ein Herz faßte, und ihn frug, ob du nicht nach Hause kommen dürftest;|Er sprach eines Abends, als ich zu Bett ging, so freundlich mit mir, daß ich mir ein Herz faßte, und ihn frug, ob du nicht nach Hause kommen dürftest;
weihnachtsabend_03_f000154|und er sagte ja, und schickt mich im Wagen her, um dich zu holen.|und er sagte ja, und schickt mich im Wagen her, um dich zu holen.
weihnachtsabend_03_f000155|Und du sollst jetzt dein freier Herr sein, sagte das Kind, und blickte ihn bewundernd an, und nicht mehr hierher zurückkehren;|Und du sollst jetzt dein freier Herr sein, sagte das Kind, und blickte ihn bewundernd an, und nicht mehr hierher zurückkehren;
weihnachtsabend_03_f000156|aber erst sollen wir alle zusammen das Weihnachtsfest feiern und recht lustig sein.|aber erst sollen wir alle zusammen das Weihnachtsfest feiern und recht lustig sein.
weihnachtsabend_03_f000157|Du bist ja eine ordentliche Dame geworden, Fanny! rief der Knabe aus.|Du bist ja eine ordentliche Dame geworden, Fanny! rief der Knabe aus.
weihnachtsabend_03_f000158|Sie klatschte in die Hände und lachte, und versuchte, bis an seinen Kopf zu reichen; aber sie war zu klein, und lachte wieder, und stellte sich auf die Zehen, um ihn zu umarmen.|Sie klatschte in die Hände und lachte, und versuchte, bis an seinen Kopf zu reichen; aber sie war zu klein, und lachte wieder, und stellte sich auf die Zehen, um ihn zu umarmen.
weihnachtsabend_03_f000159|Dann zog sie ihn in kindischer Ungeduld nach der Thür, und er begleitete sie mit leichtem Herzen.|Dann zog sie ihn in kindischer Ungeduld nach der Thür, und er begleitete sie mit leichtem Herzen.
weihnachtsabend_03_f000160|Eine schreckliche Stimme in der Hausflur rief: Bringt Master Scrooges Koffer herunter!|Eine schreckliche Stimme in der Hausflur rief: Bringt Master Scrooges Koffer herunter!
weihnachtsabend_03_f000161|Es war der Schullehrer selbst, welcher Master Scrooge mit gestrengster Herablassung anstierte, und ihn in großen Schrecken setzte, wie er ihm die Hand drückte.|Es war der Schullehrer selbst, welcher Master Scrooge mit gestrengster Herablassung anstierte, und ihn in großen Schrecken setzte, wie er ihm die Hand drückte.
weihnachtsabend_03_f000162|Dann führte er ihn und seine Schwester in ein feuchtes, fröstelnerregendes Putzzimmer, wo die Erd- und Himmelsgloben im Fenster vor Kälte glänzten.|Dann führte er ihn und seine Schwester in ein feuchtes, fröstelnerregendes Putzzimmer, wo die Erd- und Himmelsgloben im Fenster vor Kälte glänzten.
weihnachtsabend_03_f000163|Hier brachte er eine Flasche merkwürdig leichten Wein und ein Stück merkwürdig schweren Kuchen herbei,|Hier brachte er eine Flasche merkwürdig leichten Wein und ein Stück merkwürdig schweren Kuchen herbei,
weihnachtsabend_03_f000164|und regalierte die Kinder schonend sparsam mit diesen auserlesenen Leckerbissen.|und regalierte die Kinder schonend sparsam mit diesen auserlesenen Leckerbissen.
weihnachtsabend_03_f000165|Auch schickte er eine hungrig aussehende Magd hinaus, um dem Postillon ein Gläschen anzubieten, wofür dieser aber mit den Worten dankte,|Auch schickte er eine hungrig aussehende Magd hinaus, um dem Postillon ein Gläschen anzubieten, wofür dieser aber mit den Worten dankte,
weihnachtsabend_03_f000166|wenn es von demselben Faß wie das vorige sei, möchte er lieber nicht kosten.|wenn es von demselben Faß wie das vorige sei, möchte er lieber nicht kosten.
weihnachtsabend_03_f000167|Während dieser Zeit war Master Scrooges Koffer auf den Wagen gebunden worden, und die Kinder nahmen ohne Bedauern von dem Schulmeister Abschied,|Während dieser Zeit war Master Scrooges Koffer auf den Wagen gebunden worden, und die Kinder nahmen ohne Bedauern von dem Schulmeister Abschied,
weihnachtsabend_03_f000168|setzten sich in den Wagen, und fuhren so schnell zum Garten hinaus, daß der Reif und der Schnee von den immergrünen Gebüschen wie Schaum stob.|setzten sich in den Wagen, und fuhren so schnell zum Garten hinaus, daß der Reif und der Schnee von den immergrünen Gebüschen wie Schaum stob.
weihnachtsabend_03_f000169|Sie war immer ein zartes Wesen, das von einem Hauch hätte verwelken können, sagte der Geist. Aber sie hatte ein reiches Herz.|Sie war immer ein zartes Wesen, das von einem Hauch hätte verwelken können, sagte der Geist. Aber sie hatte ein reiches Herz.
weihnachtsabend_03_f000170|Ja, das hatte sie, rief Scrooge. Ich will nicht widersprechen, Geist. Gott verhüte es!|Ja, das hatte sie, rief Scrooge. Ich will nicht widersprechen, Geist. Gott verhüte es!
weihnachtsabend_03_f000171|Sie starb verheiratet, sagte der Geist, und hatte Kinder, glaube ich.|Sie starb verheiratet, sagte der Geist, und hatte Kinder, glaube ich.
weihnachtsabend_03_f000172|Ein Kind, antwortete Scrooge.|Ein Kind, antwortete Scrooge.
weihnachtsabend_03_f000173|Ja, sagte der Geist. Dein Neffe.|Ja, sagte der Geist. Dein Neffe.
weihnachtsabend_03_f000174|Scrooge schien unruhig zu werden und er antwortete kurz Ja.|Scrooge schien unruhig zu werden und er antwortete kurz Ja.
