maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_2_f000071|Gudmund zog den Hut und grüßte, und dabei huschte eine leichte Röte über sein Gesicht.|Gudmund zog den Hut und grüßte, und dabei huschte eine leichte Röte über sein Gesicht.
maedchenvommoorhof_2_f000072|Ich möchte wohl wissen, ob der Herr Amtmann daheim ist, sagte er.|Ich möchte wohl wissen, ob der Herr Amtmann daheim ist, sagte er.
maedchenvommoorhof_2_f000073|Nein, Vater ist zum Thing gefahren, antwortete die Tochter.|Nein, Vater ist zum Thing gefahren, antwortete die Tochter.
maedchenvommoorhof_2_f000074|So, so, ist er schon fort? sagte Gudmund.|So, so, ist er schon fort? sagte Gudmund.
maedchenvommoorhof_2_f000075|Ich bin hergekommen, um zu fragen, ob der Herr Amtmann nicht mit mir fahren möchte.|Ich bin hergekommen, um zu fragen, ob der Herr Amtmann nicht mit mir fahren möchte.
maedchenvommoorhof_2_f000076|Ich will auch zum Thing. Ach, Vater ist immer so überpünktlich, klagte die Tochter.|Ich will auch zum Thing. Ach, Vater ist immer so überpünktlich, klagte die Tochter.
maedchenvommoorhof_2_f000077|Es ist ja weiter kein Schade geschehen, sagte Gudmund.|Es ist ja weiter kein Schade geschehen, sagte Gudmund.
maedchenvommoorhof_2_f000078|Vater wäre gewiß gern mit einem so prächtigen Pferd und in einem so schmucken Wagen gefahren, sagte das Mädchen freundlich.|Vater wäre gewiß gern mit einem so prächtigen Pferd und in einem so schmucken Wagen gefahren, sagte das Mädchen freundlich.
maedchenvommoorhof_2_f000079|Gudmund lächelte ein wenig, als er das Lob hörte.|Gudmund lächelte ein wenig, als er das Lob hörte.
maedchenvommoorhof_2_f000080|– Ja, da muß ich also wieder abziehen, sagte er.|- Ja, da muß ich also wieder abziehen, sagte er.
maedchenvommoorhof_2_f000081|Du willst nicht hereinkommen, Gudmund?|Du willst nicht hereinkommen, Gudmund?
maedchenvommoorhof_2_f000082|Danke schön, Hildur, aber ich muß ja zum Thing.|Danke schön, Hildur, aber ich muß ja zum Thing.
maedchenvommoorhof_2_f000083|Ich darf nicht zu spät kommen. Gudmund fuhr nun geradeswegs zum Thinghause.|Ich darf nicht zu spät kommen. Gudmund fuhr nun geradeswegs zum Thinghause.
maedchenvommoorhof_2_f000084|Er war sehr vergnügt und dachte nicht mehr an seine Begegnung mit Helga.|Er war sehr vergnügt und dachte nicht mehr an seine Begegnung mit Helga.
maedchenvommoorhof_2_f000085|Es war doch schön, daß gerade Hildur herausgekommen war, und daß sie den Wagen und die Decke und das Pferd und das Sattelzeug gesehen hatte.|Es war doch schön, daß gerade Hildur herausgekommen war, und daß sie den Wagen und die Decke und das Pferd und das Sattelzeug gesehen hatte.
maedchenvommoorhof_2_f000086|Sie hatte wohl alles bemerkt. Es war das erste Mal, daß Gudmund auf einem Thing war.|Sie hatte wohl alles bemerkt. Es war das erste Mal, daß Gudmund auf einem Thing war.
maedchenvommoorhof_2_f000087|Er fand, daß es da sehr viel zu hören und zu erfahren gäbe, und blieb den ganzen Tag dort.|Er fand, daß es da sehr viel zu hören und zu erfahren gäbe, und blieb den ganzen Tag dort.
maedchenvommoorhof_2_f000088|Er saß im Thingsaal, als Helgas Sache geführt wurde, und sah, wie sie die Bibel an sich riß und Gerichtsdienern und Richter standhielt.|Er saß im Thingsaal, als Helgas Sache geführt wurde, und sah, wie sie die Bibel an sich riß und Gerichtsdienern und Richter standhielt.
maedchenvommoorhof_2_f000089|Als alles zu Ende war, und der Richter Helga die Hand gedrückt hatte, stand Gudmund hastig auf und verließ den Saal.|Als alles zu Ende war, und der Richter Helga die Hand gedrückt hatte, stand Gudmund hastig auf und verließ den Saal.
maedchenvommoorhof_2_f000090|Rasch spannte er das Pferd vor den Wagen und fuhr zur Treppe hin.|Rasch spannte er das Pferd vor den Wagen und fuhr zur Treppe hin.
maedchenvommoorhof_2_f000091|Er fand, daß Helga sehr tapfer gewesen war, und nun wollte er sie ehren.|Er fand, daß Helga sehr tapfer gewesen war, und nun wollte er sie ehren.
maedchenvommoorhof_2_f000092|Aber sie war so verschüchtert, daß sie seine Absicht nicht verstand, sondern sich vor der Ehre, die ihr zugedacht war, flüchtete.|Aber sie war so verschüchtert, daß sie seine Absicht nicht verstand, sondern sich vor der Ehre, die ihr zugedacht war, flüchtete.
maedchenvommoorhof_2_f000093|An demselben Tag kam Gudmund spät abends zum Moorhof.|An demselben Tag kam Gudmund spät abends zum Moorhof.
maedchenvommoorhof_2_f000094|Das war ein kleines Gehöft auf dem Abhang des bewaldeten Hügels, der das Kirchspiel abschloß.|Das war ein kleines Gehöft auf dem Abhang des bewaldeten Hügels, der das Kirchspiel abschloß.
maedchenvommoorhof_2_f000095|Der Weg, der hinführte, war nur im Winter bei Schlittenbahn fahrbar, und Gudmund hatte zu Fuß gehen müssen.|Der Weg, der hinführte, war nur im Winter bei Schlittenbahn fahrbar, und Gudmund hatte zu Fuß gehen müssen.
maedchenvommoorhof_2_f000096|Es war ihm recht sauer geworden, vorwärts zu kommen.|Es war ihm recht sauer geworden, vorwärts zu kommen.
maedchenvommoorhof_2_f000097|Fast hätte er sich an Stock und Stein die Beine gebrochen, auch hatte er Bäche durchwaten müssen, die den Pfad an mehreren Stellen durchschnitten.|Fast hätte er sich an Stock und Stein die Beine gebrochen, auch hatte er Bäche durchwaten müssen, die den Pfad an mehreren Stellen durchschnitten.
maedchenvommoorhof_2_f000098|Wäre nicht Vollmond gewesen, so hätte er überhaupt nicht hinfinden können; und er dachte, daß das ein beschwerlicher Weg wäre, den Helga an diesem Tag hatte gehen müssen.|Wäre nicht Vollmond gewesen, so hätte er überhaupt nicht hinfinden können; und er dachte, daß das ein beschwerlicher Weg wäre, den Helga an diesem Tag hatte gehen müssen.
maedchenvommoorhof_2_f000099|Der Moorhof lag an einer ausgerodeten Stelle, etwa auf halber Höhe des Hügels.|Der Moorhof lag an einer ausgerodeten Stelle, etwa auf halber Höhe des Hügels.
maedchenvommoorhof_2_f000100|Gudmund war noch nie dort gewesen, aber er hatte den Ort oftmals unten vom Tale aus gesehen und kannte ihn genügend, um zu wissen, daß er richtig gegangen war.|Gudmund war noch nie dort gewesen, aber er hatte den Ort oftmals unten vom Tale aus gesehen und kannte ihn genügend, um zu wissen, daß er richtig gegangen war.
maedchenvommoorhof_2_f000101|Rings um die ausgerodete Stelle zog sich ein Reisigzaun, der sehr dicht und sehr schwer zu übersteigen war.|Rings um die ausgerodete Stelle zog sich ein Reisigzaun, der sehr dicht und sehr schwer zu übersteigen war.
maedchenvommoorhof_2_f000102|Er sollte wohl gleichsam eine Wehr und ein Hort gegen die Wildnis sein, die das Gehöft umgab.|Er sollte wohl gleichsam eine Wehr und ein Hort gegen die Wildnis sein, die das Gehöft umgab.
maedchenvommoorhof_2_f000103|Die Hütte selbst stand am oberen Rand der Einzäunung.|Die Hütte selbst stand am oberen Rand der Einzäunung.
maedchenvommoorhof_2_f000104|Davor breitete sich ein abschüssiger Hof aus, mit kurzem, grünem Gras bewachsen, und unterhalb des Hofes lagen ein paar graue Schuppen und ein Keller mit grünem Torfdach.|Davor breitete sich ein abschüssiger Hof aus, mit kurzem, grünem Gras bewachsen, und unterhalb des Hofes lagen ein paar graue Schuppen und ein Keller mit grünem Torfdach.
maedchenvommoorhof_2_f000105|Es war ein geringes und ärmliches Anwesen, aber es ließ sich nicht leugnen, daß es dort oben schön war.|Es war ein geringes und ärmliches Anwesen, aber es ließ sich nicht leugnen, daß es dort oben schön war.
maedchenvommoorhof_2_f000106|Das Moor, nach dem das Gütchen seinen Namen hatte, lag irgendwo in der Nähe und sandte Nebel empor, die sich im Mondschein prachtvoll und silberglänzend heranwälzten und einen Kranz um den Hügel bildeten.|Das Moor, nach dem das Gütchen seinen Namen hatte, lag irgendwo in der Nähe und sandte Nebel empor, die sich im Mondschein prachtvoll und silberglänzend heranwälzten und einen Kranz um den Hügel bildeten.
maedchenvommoorhof_2_f000107|Der höchste Gipfel ragte noch aus dem Nebel empor.|Der höchste Gipfel ragte noch aus dem Nebel empor.
maedchenvommoorhof_2_f000108|Und der Kamm, der zackig von Tannen war, zeichnete sich scharf gegen den Himmel ab.|Und der Kamm, der zackig von Tannen war, zeichnete sich scharf gegen den Himmel ab.
maedchenvommoorhof_2_f000109|Unten über dem Tal lag der Mondschein so hell, daß man die Felder und Gehöfte und einen geschlängelten Bach unterscheiden konnte, über dem der Nebel wie der leichteste Duft schwebte.|Unten über dem Tal lag der Mondschein so hell, daß man die Felder und Gehöfte und einen geschlängelten Bach unterscheiden konnte, über dem der Nebel wie der leichteste Duft schwebte.
maedchenvommoorhof_2_f000110|Es war nicht weit dort hinunter, aber das Seltsame war, daß das Tal wie eine fremde Welt dalag, mit der das, was dem Wald angehörte, nichts gemein hatte.|Es war nicht weit dort hinunter, aber das Seltsame war, daß das Tal wie eine fremde Welt dalag, mit der das, was dem Wald angehörte, nichts gemein hatte.
maedchenvommoorhof_2_f000111|Es war, als wenn die Menschen, die hier auf dem Waldgut hausten, immer unter diesen Bäumen gehen müßten.|Es war, als wenn die Menschen, die hier auf dem Waldgut hausten, immer unter diesen Bäumen gehen müßten.
maedchenvommoorhof_2_f000112|Sie konnten unten im Tale ebensowenig fortkommen wie Auerhähne und Bergeulen und Luchse und Heidelbeerkraut.|Sie konnten unten im Tale ebensowenig fortkommen wie Auerhähne und Bergeulen und Luchse und Heidelbeerkraut.
maedchenvommoorhof_2_f000113|Gudmund ging über die Wiese auf die Hütte zu.|Gudmund ging über die Wiese auf die Hütte zu.
maedchenvommoorhof_2_f000114|Durch das Fenster drang Feuerschein, die Scheiben waren nicht verhangen; er warf einen Blick hinein, um zu sehen, ob Helga in der Hütte wäre.|Durch das Fenster drang Feuerschein, die Scheiben waren nicht verhangen; er warf einen Blick hinein, um zu sehen, ob Helga in der Hütte wäre.
maedchenvommoorhof_2_f000115|Auf einem Tisch am Fenster brannte ein kleines Lämpchen, und davor saß der Hausvater und flickte alte Schuhe.|Auf einem Tisch am Fenster brannte ein kleines Lämpchen, und davor saß der Hausvater und flickte alte Schuhe.
maedchenvommoorhof_2_f000116|Im Hintergrunde des Zimmers neben dem Herd, auf dem ein schwaches Feuer brannte, saß die Hausmutter.|Im Hintergrunde des Zimmers neben dem Herd, auf dem ein schwaches Feuer brannte, saß die Hausmutter.
maedchenvommoorhof_2_f000117|Sie hatte den Spinnrocken vor sich, aber hatte zu arbeiten aufgehört, um mit einem kleinen Kinde zu spielen.|Sie hatte den Spinnrocken vor sich, aber hatte zu arbeiten aufgehört, um mit einem kleinen Kinde zu spielen.
maedchenvommoorhof_2_f000118|Sie hatte es aus der Wiege genommen, und man hörte es bis zu Gudmund hinaus, wie sie mit ihm lachte und scherzte.|Sie hatte es aus der Wiege genommen, und man hörte es bis zu Gudmund hinaus, wie sie mit ihm lachte und scherzte.
maedchenvommoorhof_2_f000119|Ihr Gesicht war von vielen Runzeln durchfurcht, und sie sah strenge aus; aber wie sie sich so über das Kind beugte, bekam ihr Gesicht einen sanften Ausdruck, und sie lächelte dem Kleinen ebenso zärtlich zu wie seine eigene Mutter.|Ihr Gesicht war von vielen Runzeln durchfurcht, und sie sah strenge aus; aber wie sie sich so über das Kind beugte, bekam ihr Gesicht einen sanften Ausdruck, und sie lächelte dem Kleinen ebenso zärtlich zu wie seine eigene Mutter.
maedchenvommoorhof_2_f000120|Gudmund spähte nach Helga aus, konnte sie aber in keinem Winkel der Hütte entdecken.|Gudmund spähte nach Helga aus, konnte sie aber in keinem Winkel der Hütte entdecken.
maedchenvommoorhof_2_f000121|Da schien es ihm am besten, draußen zubleiben, bis sie käme.|Da schien es ihm am besten, draußen zubleiben, bis sie käme.
maedchenvommoorhof_2_f000122|Er wunderte sich, daß sie noch nicht zu Hause war.|Er wunderte sich, daß sie noch nicht zu Hause war.
maedchenvommoorhof_2_f000123|Vielleicht wäre sie auf dem Heimweg bei Bekannten eingekehrt, sich auszuruhen und einen Imbiß zu nehmen?|Vielleicht wäre sie auf dem Heimweg bei Bekannten eingekehrt, sich auszuruhen und einen Imbiß zu nehmen?
maedchenvommoorhof_2_f000124|Aber bald müßte sie auf jeden Fall kommen, wenn sie vor Einbruch der Nacht unter Dach sein wollte.|Aber bald müßte sie auf jeden Fall kommen, wenn sie vor Einbruch der Nacht unter Dach sein wollte.
maedchenvommoorhof_2_f000125|Gudmund blieb eine Weile mitten im Hof stehen und horchte nach Schritten aus.|Gudmund blieb eine Weile mitten im Hof stehen und horchte nach Schritten aus.
maedchenvommoorhof_2_f000126|Es war ganz ruhig. Kein Lüftchen regte sich.|Es war ganz ruhig. Kein Lüftchen regte sich.
maedchenvommoorhof_2_f000127|Es kam ihm vor, als ob ihn nie vorher eine solche Stille umgeben hätte.|Es kam ihm vor, als ob ihn nie vorher eine solche Stille umgeben hätte.
maedchenvommoorhof_2_f000128|Es war, als hielte der ganze Wald den Atem an und stünde da und wartete auf etwas Merkwürdiges.|Es war, als hielte der ganze Wald den Atem an und stünde da und wartete auf etwas Merkwürdiges.
maedchenvommoorhof_2_f000129|Niemand ging durch den Wald. Kein Zweiglein wurde geknickt, und kein Stein rollte.|Niemand ging durch den Wald. Kein Zweiglein wurde geknickt, und kein Stein rollte.
maedchenvommoorhof_2_f000130|Helga war wohl noch lange nicht zu erwarten.|Helga war wohl noch lange nicht zu erwarten.
maedchenvommoorhof_2_f000131|Ich möchte wohl wissen, was sie sagen wird, wenn sie sieht, daß ich hier bin, dachte Gudmund.|Ich möchte wohl wissen, was sie sagen wird, wenn sie sieht, daß ich hier bin, dachte Gudmund.
maedchenvommoorhof_2_f000132|Sie wird vielleicht schreien und in den Wald laufen und sich die ganze Nacht nicht heimwagen.|Sie wird vielleicht schreien und in den Wald laufen und sich die ganze Nacht nicht heimwagen.
maedchenvommoorhof_2_f000133|Dabei fiel ihm ein, es sei doch recht sonderbar, daß er nun auf einmal soviel mit dieser Häuslerdirne zu schaffen hatte.|Dabei fiel ihm ein, es sei doch recht sonderbar, daß er nun auf einmal soviel mit dieser Häuslerdirne zu schaffen hatte.
maedchenvommoorhof_2_f000134|Als er vom Thing heim kam, war er wie gewöhnlich zu seiner Mutter hineingegangen, ihr alles zu erzählen, was er während des Tages erlebt hatte.|Als er vom Thing heim kam, war er wie gewöhnlich zu seiner Mutter hineingegangen, ihr alles zu erzählen, was er während des Tages erlebt hatte.
maedchenvommoorhof_2_f000135|Gudmunds Mutter war klug und hochsinnig und hatte es immer verstanden, gegen den Sohn so zu sein, daß er noch ebensoviel Vertrauen zu ihr hatte wie einst als Kind.|Gudmunds Mutter war klug und hochsinnig und hatte es immer verstanden, gegen den Sohn so zu sein, daß er noch ebensoviel Vertrauen zu ihr hatte wie einst als Kind.
maedchenvommoorhof_2_f000136|Seit mehreren Jahren war sie krank und konnte nicht gehen, Asondern saß den ganzen Tag still in ihrem Lehnstuhl.|Seit mehreren Jahren war sie krank und konnte nicht gehen, Asondern saß den ganzen Tag still in ihrem Lehnstuhl.
maedchenvommoorhof_2_f000137|Es war immer eine gute Stunde für sie, wenn Gudmund von einer Reise heimkam und ihr Neuigkeiten brachte.|Es war immer eine gute Stunde für sie, wenn Gudmund von einer Reise heimkam und ihr Neuigkeiten brachte.
maedchenvommoorhof_2_f000138|Als Gudmund nun von Helga vom Moorhof erzählte, sah er, daß die Mutter gedankenvoll wurde.|Als Gudmund nun von Helga vom Moorhof erzählte, sah er, daß die Mutter gedankenvoll wurde.
maedchenvommoorhof_2_f000139|Lange saß sie stumm da und sah gerade vor sich hin.|Lange saß sie stumm da und sah gerade vor sich hin.
maedchenvommoorhof_2_f000140|Es scheint doch ein guter Kern in diesem Mädchen zu stecken, sagte sie dann.|Es scheint doch ein guter Kern in diesem Mädchen zu stecken, sagte sie dann.
maedchenvommoorhof_2_f000141|Man darf keinen verwerfen, weil er einmal ins Unglück gekommen ist.|Man darf keinen verwerfen, weil er einmal ins Unglück gekommen ist.
maedchenvommoorhof_2_f000142|Es kann wohl sein, daß sie sich dem, der ihr jetzt beistünde, dankbar erweisen würde.|Es kann wohl sein, daß sie sich dem, der ihr jetzt beistünde, dankbar erweisen würde.
maedchenvommoorhof_2_f000143|Gudmund begriff sogleich, woran die Mutter dachte.|Gudmund begriff sogleich, woran die Mutter dachte.
maedchenvommoorhof_2_f000144|Sie konnte sich nicht mehr selbst helfen, sondern mußte beständig jemand um sich haben, der ihr zu Diensten stand.|Sie konnte sich nicht mehr selbst helfen, sondern mußte beständig jemand um sich haben, der ihr zu Diensten stand.
maedchenvommoorhof_2_f000145|Aber es war immer schwer, jemand zu finden, der auf diesem Platz bleiben wollte.|Aber es war immer schwer, jemand zu finden, der auf diesem Platz bleiben wollte.
maedchenvommoorhof_2_f000146|Die Mutter war anspruchsvoll und nicht leicht zu befriedigen, und außerdem wollten alle jungen Mägde lieber eine andre Arbeit haben, bei der sie mehr Freiheit genossen.|Die Mutter war anspruchsvoll und nicht leicht zu befriedigen, und außerdem wollten alle jungen Mägde lieber eine andre Arbeit haben, bei der sie mehr Freiheit genossen.
maedchenvommoorhof_2_f000147|Nun war es sicherlich der Mutter eingefallen, daß sie die Helga vom Moorhof in Dienst nehmen könnte, und Gudmund fand, daß dies ein guter Vorschlag sei.|Nun war es sicherlich der Mutter eingefallen, daß sie die Helga vom Moorhof in Dienst nehmen könnte, und Gudmund fand, daß dies ein guter Vorschlag sei.
maedchenvommoorhof_2_f000148|Helga würde der Mutter sicherlich sehr ergeben sein.|Helga würde der Mutter sicherlich sehr ergeben sein.
maedchenvommoorhof_2_f000149|Es wäre wohl möglich, daß ihnen auf diese Weise für lange geholfen wäre.|Es wäre wohl möglich, daß ihnen auf diese Weise für lange geholfen wäre.
maedchenvommoorhof_2_f000150|Am schwersten wird es mit dem Kinde sein, sagte die Mutter nach einer Weile, und Gudmund begriff, daß sie ernsthaft an die Sache dachte.|Am schwersten wird es mit dem Kinde sein, sagte die Mutter nach einer Weile, und Gudmund begriff, daß sie ernsthaft an die Sache dachte.
maedchenvommoorhof_2_f000151|Das muß wohl bei den Großeltern bleiben, sagte Gudmund.|Das muß wohl bei den Großeltern bleiben, sagte Gudmund.
maedchenvommoorhof_2_f000152|Es ist nicht ausgemacht, daß sie sich von ihm trennen will.|Es ist nicht ausgemacht, daß sie sich von ihm trennen will.
maedchenvommoorhof_2_f000153|Sie wird es sich abgewöhnen müssen, daran zu denken, was sie will und nicht will.|Sie wird es sich abgewöhnen müssen, daran zu denken, was sie will und nicht will.
maedchenvommoorhof_2_f000154|Ich finde, daß sie förmlich verhungert aussieht.|Ich finde, daß sie förmlich verhungert aussieht.
maedchenvommoorhof_2_f000155|Dort oben auf dem Moorhof ist wohl Schmalhans Küchenmeister.|Dort oben auf dem Moorhof ist wohl Schmalhans Küchenmeister.
maedchenvommoorhof_2_f000156|Darauf antwortete die Mutter nichts, sondern begann von etwas anderm zu sprechen.|Darauf antwortete die Mutter nichts, sondern begann von etwas anderm zu sprechen.
maedchenvommoorhof_2_f000157|Man merkte, daß ihr neue Bedenklichkeiten aufstiegen, die sie verhinderten, einen Entschluß zu fassen.|Man merkte, daß ihr neue Bedenklichkeiten aufstiegen, die sie verhinderten, einen Entschluß zu fassen.
maedchenvommoorhof_2_f000158|Gudmund begann nun zu erzählen, wie er den Amtmann auf Älvåkra aufgesucht und Hildur getroffen hatte.|Gudmund begann nun zu erzählen, wie er den Amtmann auf Älvkra aufgesucht und Hildur getroffen hatte.
maedchenvommoorhof_2_f000159|Er berichtete, was sie über das Pferd und den Wagen gesagt hatte, und es war leicht zu merken, daß er sich der Begegnung freute.|Er berichtete, was sie über das Pferd und den Wagen gesagt hatte, und es war leicht zu merken, daß er sich der Begegnung freute.
maedchenvommoorhof_2_f000160|Auch die Mutter schien sehr vergnügt.|Auch die Mutter schien sehr vergnügt.
maedchenvommoorhof_2_f000161|Wie sie so unbeweglich in ihrem Lehnstuhl saß, war es ihre stete Beschäftigung, Pläne für die Zukunft des Sohnes auszuspinnen; und sie war zuerst auf den Gedanken verfallen, daß er es versuchen solle, um die schöne Amtmannstochter zu werben.|Wie sie so unbeweglich in ihrem Lehnstuhl saß, war es ihre stete Beschäftigung, Pläne für die Zukunft des Sohnes auszuspinnen; und sie war zuerst auf den Gedanken verfallen, daß er es versuchen solle, um die schöne Amtmannstochter zu werben.
maedchenvommoorhof_2_f000162|Das war die prächtigste Heirat, die er machen konnte.|Das war die prächtigste Heirat, die er machen konnte.
maedchenvommoorhof_2_f000163|Der Amtmann war ein richtiger Großbauer.|Der Amtmann war ein richtiger Großbauer.
maedchenvommoorhof_2_f000164|Er hatte den größten Hof im Kirchspiel und viel Macht und viel Geld.|Er hatte den größten Hof im Kirchspiel und viel Macht und viel Geld.
maedchenvommoorhof_2_f000165|Es war eigentlich töricht, zu hoffen, daß er sich mit einem Eidam begnügen würde, der kein größeres Vermögen hatte als Gudmund, aber es war immerhin möglich, daß er sich nach dem richtete, was seine Tochter wollte.|Es war eigentlich töricht, zu hoffen, daß er sich mit einem Eidam begnügen würde, der kein größeres Vermögen hatte als Gudmund, aber es war immerhin möglich, daß er sich nach dem richtete, was seine Tochter wollte.
maedchenvommoorhof_2_f000166|Und daß Gudmund Hildur gewinnen könnte, wenn er nur wollte, davon war die Mutter fest überzeugt.|Und daß Gudmund Hildur gewinnen könnte, wenn er nur wollte, davon war die Mutter fest überzeugt.
maedchenvommoorhof_2_f000167|Dies war das erste Mal, daß Gudmund die Mutter merken ließ, wie der Gedanke bei ihm Wurzel geschlagen hatte, und sie sprachen nun ein langes und ein breites von Hildur und von allen den Reichtümern und Vorteilen,|Dies war das erste Mal, daß Gudmund die Mutter merken ließ, wie der Gedanke bei ihm Wurzel geschlagen hatte, und sie sprachen nun ein langes und ein breites von Hildur und von allen den Reichtümern und Vorteilen,
maedchenvommoorhof_2_f000168|die dem zufallen würden, der sie einmal bekäme.|die dem zufallen würden, der sie einmal bekäme.
maedchenvommoorhof_2_f000169|Aber bald stockte das Gespräch wieder, weil die Mutter von neuem in ihre Grübeleien versunken war.|Aber bald stockte das Gespräch wieder, weil die Mutter von neuem in ihre Grübeleien versunken war.
maedchenvommoorhof_2_f000170|Könntest du diese Helga nicht holen lassen?|Könntest du diese Helga nicht holen lassen?
maedchenvommoorhof_2_f000171|Ich möchte sie doch sehen, bevor ich sie in meine Dienste nehme, sagte sie schließlich.|Ich möchte sie doch sehen, bevor ich sie in meine Dienste nehme, sagte sie schließlich.
maedchenvommoorhof_2_f000172|Das ist schön, daß du dich ihrer annehmen willst, Mutter, entgegnete Gudmund und dachte bei sich: wenn die Mutter eine Pflegerin bekäme, mit der sie zufrieden wäre, würde seine Gattin hier daheim ein behaglicheres Leben führen.|Das ist schön, daß du dich ihrer annehmen willst, Mutter, entgegnete Gudmund und dachte bei sich: wenn die Mutter eine Pflegerin bekäme, mit der sie zufrieden wäre, würde seine Gattin hier daheim ein behaglicheres Leben führen.
maedchenvommoorhof_2_f000173|Du wirst sehen, daß du mit dem Mädchen zufrieden sein wirst, fuhr er fort.|Du wirst sehen, daß du mit dem Mädchen zufrieden sein wirst, fuhr er fort.
maedchenvommoorhof_2_f000174|Es ist ja auch ein gutes Werk, sich ihrer anzunehmen, sagte die Mutter.|Es ist ja auch ein gutes Werk, sich ihrer anzunehmen, sagte die Mutter.
maedchenvommoorhof_3_f000001|Als es zu dämmern begann, begab sich die Kranke zu Bett, und Gudmund ging in den Stall, um die Pferde zu striegeln.|Als es zu dämmern begann, begab sich die Kranke zu Bett, und Gudmund ging in den Stall, um die Pferde zu striegeln.
maedchenvommoorhof_3_f000002|Es war schönes Wetter, die Luft war klar, und der ganze Hof lag vom Mondschein übergossen da.|Es war schönes Wetter, die Luft war klar, und der ganze Hof lag vom Mondschein übergossen da.
maedchenvommoorhof_3_f000003|Da fiel es ihm ein, daß er heute schon in den Moorhof gehen und die Botschaft der Mutter bestellen könne.|Da fiel es ihm ein, daß er heute schon in den Moorhof gehen und die Botschaft der Mutter bestellen könne.
maedchenvommoorhof_3_f000004|Wäre morgen schönes Wetter, dann würde man es so eilig haben, den Hafer einzubringen, daß weder er noch irgendein andrer Zeit hätte, hinzugehen.|Wäre morgen schönes Wetter, dann würde man es so eilig haben, den Hafer einzubringen, daß weder er noch irgendein andrer Zeit hätte, hinzugehen.
maedchenvommoorhof_3_f000005|Als jetzt Gudmund vor dem Moorhof stand und horchte, hörte er zwar keine Schritte; doch andre Laute durchschnitten in kurzen Abständen die Stille.|Als jetzt Gudmund vor dem Moorhof stand und horchte, hörte er zwar keine Schritte; doch andre Laute durchschnitten in kurzen Abständen die Stille.
maedchenvommoorhof_3_f000006|Es war ein stilles Klagen, ein sehr leises und ersticktes Jammern und dann hie und da ein Aufschluchzen.|Es war ein stilles Klagen, ein sehr leises und ersticktes Jammern und dann hie und da ein Aufschluchzen.
maedchenvommoorhof_3_f000007|Gudmund glaubte zu merken, daß die Laute von dem Schuppen herkämen, und ging auf diesen zu.|Gudmund glaubte zu merken, daß die Laute von dem Schuppen herkämen, und ging auf diesen zu.
maedchenvommoorhof_3_f000008|Als er sich näherte, hörte das Schluchzen auf; aber es war offenbar, daß sich drinnen jemand in der Holzkammer regte.|Als er sich näherte, hörte das Schluchzen auf; aber es war offenbar, daß sich drinnen jemand in der Holzkammer regte.
maedchenvommoorhof_3_f000009|Mit einem Male begriff Gudmund, wer dort drinnen war.|Mit einem Male begriff Gudmund, wer dort drinnen war.
maedchenvommoorhof_3_f000010|Bist du es, Helga, die da drinnen sitzt und weint?|Bist du es, Helga, die da drinnen sitzt und weint?
maedchenvommoorhof_3_f000011|rief er und stellte sich in die Türöffnung, damit das Mädchen nicht entwischen könnte, ehe er mit ihm gesprochen hätte.|rief er und stellte sich in die Türöffnung, damit das Mädchen nicht entwischen könnte, ehe er mit ihm gesprochen hätte.
maedchenvommoorhof_3_f000012|Wieder wurde es ganz still.|Wieder wurde es ganz still.
maedchenvommoorhof_3_f000013|Gudmund hatte wohl recht geraten: es war Helga, die da saß und weinte; aber sie versuchte das Schluchzen zu unterdrücken, damit Gudmund glaubte, er habe sich verhört, und seiner Wege ginge.|Gudmund hatte wohl recht geraten: es war Helga, die da saß und weinte; aber sie versuchte das Schluchzen zu unterdrücken, damit Gudmund glaubte, er habe sich verhört, und seiner Wege ginge.
maedchenvommoorhof_3_f000014|Es war stockfinster in dem Schuppen, und sie wußte, daß er sie nicht sehen konnte.|Es war stockfinster in dem Schuppen, und sie wußte, daß er sie nicht sehen konnte.
maedchenvommoorhof_3_f000015|Aber Helga war an diesem Abend in solcher Verzweiflung, daß es ihr nicht leicht fiel, die Tränen zurückzudrängen.|Aber Helga war an diesem Abend in solcher Verzweiflung, daß es ihr nicht leicht fiel, die Tränen zurückzudrängen.
maedchenvommoorhof_3_f000016|Sie war noch nicht in der Hütte gewesen und hatte die Eltern noch nicht begrüßt.|Sie war noch nicht in der Hütte gewesen und hatte die Eltern noch nicht begrüßt.
maedchenvommoorhof_3_f000017|Sie hatte nicht den Mut dazu gehabt.|Sie hatte nicht den Mut dazu gehabt.
maedchenvommoorhof_3_f000018|Als sie in der Dämmerung den steilen Hügel hinaufstieg und daran dachte, daß sie den Eltern jetzt sagen müßte, sie habe keinen Erziehungsbeitrag von Per Martensson zu erwarten,|Als sie in der Dämmerung den steilen Hügel hinaufstieg und daran dachte, daß sie den Eltern jetzt sagen müßte, sie habe keinen Erziehungsbeitrag von Per Martensson zu erwarten,
