le_pays_des_fourrures_1_10_f000001|Un retour sur le passé.|Un retour sur le passé.
le_pays_des_fourrures_1_18_f000026|Ce vent, s'il ne démolissait pas, il enterrait, il ensevelissait, et il était probable que douze heures après le début de la tempête,|Ce vent, s'il ne démolissait pas, il enterrait, il ensevelissait, et il était probable que douze heures après le début de la tempête,
le_pays_des_fourrures_1_18_f000027|la maison, le chenil, le hangar, l'enceinte, auraient disparu sous une égale épaisseur de neige.|la maison, le chenil, le hangar, l'enceinte, auraient disparu sous une égale épaisseur de neige.
le_pays_des_fourrures_1_18_f000028|Pendant cet emprisonnement, la vie intérieure s'était organisée.|Pendant cet emprisonnement, la vie intérieure s'était organisée.
le_pays_des_fourrures_1_18_f000029|Tous ces braves gens s'entendaient parfaitement entre eux, et cette existence commune, dans un si étroit espace, n'entraîna ni gêne ni récrimination.|Tous ces braves gens s'entendaient parfaitement entre eux, et cette existence commune, dans un si étroit espace, n'entraîna ni gêne ni récrimination.
le_pays_des_fourrures_1_18_f000030|N'étaient-ils pas, d'ailleurs, accoutumés à vivre dans ces conditions, au Fort-Entreprise comme au Fort- Reliance? Mrs.|N'étaient-ils pas, d'ailleurs, accoutumés à vivre dans ces conditions, au Fort-Entreprise comme au Fort- Reliance? Mrs.
le_pays_des_fourrures_1_18_f000031|Paulina Barnett ne s'étonna donc pas de les trouver d'aussi facile composition.|Paulina Barnett ne s'étonna donc pas de les trouver d'aussi facile composition.
le_pays_des_fourrures_1_18_f000032|Le travail, d'une part, la lecture et les jeux, de l'autre, occupaient tous les instants.|Le travail, d'une part, la lecture et les jeux, de l'autre, occupaient tous les instants.
le_pays_des_fourrures_1_18_f000033|Le travail, c'était la confection des vêtements, leur raccommodage, l'entretien des armes, la fabrication des chaussures, la mise à jour du journal quotidien tenu par le lieutenant Hobson,|Le travail, c'était la confection des vêtements, leur raccommodage, l'entretien des armes, la fabrication des chaussures, la mise à jour du journal quotidien tenu par le lieutenant Hobson,
le_pays_des_fourrures_1_18_f000034|qui notait les moindres événements de l'hivernage, tel que le temps, la température, la direction des vents, l'apparition des météores si fréquents dans les régions polaires, etc.|qui notait les moindres événements de l'hivernage, tel que le temps, la température, la direction des vents, l'apparition des météores si fréquents dans les régions polaires, etc.
le_pays_des_fourrures_1_18_f000035|; c'était aussi l'entretien de la maison, le balayage des chambres, la visite journalière des pelleteries emmagasinées, que l'humidité aurait pu altérer;|; c'était aussi l'entretien de la maison, le balayage des chambres, la visite journalière des pelleteries emmagasinées, que l'humidité aurait pu altérer;
le_pays_des_fourrures_1_18_f000036|c'était encore la surveillance des feux et du tirage des poêles, et cette chasse incessante faite aux molécules humides qui se glissaient dans les coins.|c'était encore la surveillance des feux et du tirage des poêles, et cette chasse incessante faite aux molécules humides qui se glissaient dans les coins.
le_pays_des_fourrures_1_18_f000037|Chacun avait sa part dans ces travaux, suivant les prescriptions d'un règlement affiché dans la grande salle.|Chacun avait sa part dans ces travaux, suivant les prescriptions d'un règlement affiché dans la grande salle.
le_pays_des_fourrures_1_18_f000038|Sans être occupés outre mesure, les hôtes du fort n'étaient jamais sans rien faire.|Sans être occupés outre mesure, les hôtes du fort n'étaient jamais sans rien faire.
le_pays_des_fourrures_1_18_f000039|Pendant ce temps, Thomas Black vissait et dévissait ses instruments, revoyait ses calculs astronomiques; presque toujours enfermé dans sa cabine, il maugréait contre la tempête qui lui défendait toute observation nocturne.|Pendant ce temps, Thomas Black vissait et dévissait ses instruments, revoyait ses calculs astronomiques; presque toujours enfermé dans sa cabine, il maugréait contre la tempête qui lui défendait toute observation nocturne.
le_pays_des_fourrures_1_18_f000040|Quant aux trois femmes mariées, Mrs. Mac Nap s'occupait de son bébé, qui venait à merveille, tandis que Mrs.|Quant aux trois femmes mariées, Mrs. Mac Nap s'occupait de son bébé, qui venait à merveille, tandis que Mrs.
le_pays_des_fourrures_1_18_f000041|Joliffe, aidée de Mrs. Rae et talonnée par le tatillon de caporal, présidait aux opérations culinaires.|Joliffe, aidée de Mrs. Rae et talonnée par le tatillon de caporal, présidait aux opérations culinaires.
le_pays_des_fourrures_1_18_f000042|Les distractions se prenaient en commun, à certaines heures, et le dimanche pendant toute la journée.|Les distractions se prenaient en commun, à certaines heures, et le dimanche pendant toute la journée.
le_pays_des_fourrures_1_18_f000043|C'était, avant tout, la lecture. La Bible et quelques livres de voyage composaient uniquement la bibliothèque du fort, mais ce menu suffisait à ces braves gens.|C'était, avant tout, la lecture. La Bible et quelques livres de voyage composaient uniquement la bibliothèque du fort, mais ce menu suffisait à ces braves gens.
le_pays_des_fourrures_1_18_f000044|Le plus ordinairement, Mrs. Paulina Barnett faisait la lecture, et ses auditeurs éprouvaient véritablement un grand plaisir à l'entendre.|Le plus ordinairement, Mrs. Paulina Barnett faisait la lecture, et ses auditeurs éprouvaient véritablement un grand plaisir à l'entendre.
le_pays_des_fourrures_1_18_f000045|Les histoires bibliques comme les récits de voyage prenaient un charme tout particulier, lorsque sa voix pénétrante, convaincue, lisait quelque chapitre des livres saints.|Les histoires bibliques comme les récits de voyage prenaient un charme tout particulier, lorsque sa voix pénétrante, convaincue, lisait quelque chapitre des livres saints.
le_pays_des_fourrures_1_18_f000046|Les imaginaires personnages, les héros légendaires s'animaient et vivaient alors d'une vie surprenante.|Les imaginaires personnages, les héros légendaires s'animaient et vivaient alors d'une vie surprenante.
le_pays_des_fourrures_1_18_f000047|Aussi était-ce un contentement général, lorsque l'aimable femme prenait son livre à l'heure accoutumée.|Aussi était-ce un contentement général, lorsque l'aimable femme prenait son livre à l'heure accoutumée.
le_pays_des_fourrures_1_18_f000048|Elle était, d'ailleurs, l'âme de ce petit monde, s'instruisant et instruisant les autres, donnant un avis et demandant un conseil, prête partout et toujours à rendre service.|Elle était, d'ailleurs, l'âme de ce petit monde, s'instruisant et instruisant les autres, donnant un avis et demandant un conseil, prête partout et toujours à rendre service.
le_pays_des_fourrures_1_18_f000049|Elle réunissait en elle toutes les grâces d'une femme, toutes ses bontés jointes à l'énergie morale d'un homme: double qualité, double valeur aux yeux de ces rudes soldats qui en raffolaient et eussent donné leur vie pour elle.|Elle réunissait en elle toutes les grâces d'une femme, toutes ses bontés jointes à l'énergie morale d'un homme: double qualité, double valeur aux yeux de ces rudes soldats qui en raffolaient et eussent donné leur vie pour elle.
le_pays_des_fourrures_1_18_f000050|Il faut dire que Mrs. Paulina Barnett partageait l'existence commune, qu'elle ne se confinait point dans sa cabine, qu'elle travaillait au milieu de ses compagnons d'hivernage,|Il faut dire que Mrs. Paulina Barnett partageait l'existence commune, qu'elle ne se confinait point dans sa cabine, qu'elle travaillait au milieu de ses compagnons d'hivernage,
le_pays_des_fourrures_1_18_f000051|et qu'enfin, par ses interrogations, par ses demandes, elle provoquait chacun à se mêler à la conversation.|et qu'enfin, par ses interrogations, par ses demandes, elle provoquait chacun à se mêler à la conversation.
le_pays_des_fourrures_1_18_f000052|Rien ne chômait donc au Fort-Espérance, ni les mains, ni les langues.|Rien ne chômait donc au Fort-Espérance, ni les mains, ni les langues.
le_pays_des_fourrures_1_18_f000053|On travaillait, on causait, et, il faut ajouter, on se portait bien. De là une bonne humeur qui entretenait la bonne santé et triomphait des ennuis de cette longue séquestration.|On travaillait, on causait, et, il faut ajouter, on se portait bien. De là une bonne humeur qui entretenait la bonne santé et triomphait des ennuis de cette longue séquestration.
le_pays_des_fourrures_1_18_f000054|Cependant, la tempête ne diminuait pas. Depuis trois jours, les hiverneurs étaient confinés dans la maison, et le chasse-neige se déchaînait toujours avec la même intensité.|Cependant, la tempête ne diminuait pas. Depuis trois jours, les hiverneurs étaient confinés dans la maison, et le chasse-neige se déchaînait toujours avec la même intensité.
le_pays_des_fourrures_1_18_f000055|Jasper Hobson s'impatientait. Il devenait urgent de renouveler l'atmosphère intérieure, trop chargée d'acide carbonique, et déjà les lampes pâlissaient dans ce milieu malsain.|Jasper Hobson s'impatientait. Il devenait urgent de renouveler l'atmosphère intérieure, trop chargée d'acide carbonique, et déjà les lampes pâlissaient dans ce milieu malsain.
le_pays_des_fourrures_1_18_f000056|On voulut alors mettre en jeu les pompes à air; mais les tuyaux étaient naturellement engorgés de glace, et elles ne fonctionnèrent pas, n'étant destinées à agir que dans le cas où la maison n'eût pas été ensevelie sous de telles masses de neige.|On voulut alors mettre en jeu les pompes à air; mais les tuyaux étaient naturellement engorgés de glace, et elles ne fonctionnèrent pas, n'étant destinées à agir que dans le cas où la maison n'eût pas été ensevelie sous de telles masses de neige.
le_pays_des_fourrures_1_18_f000057|Il fallut donc aviser. Le lieutenant prit conseil du sergent Long, et il fut décidé, le 23 novembre, qu'une des fenêtres percée sur la façade antérieure,|Il fallut donc aviser. Le lieutenant prit conseil du sergent Long, et il fut décidé, le 23 novembre, qu'une des fenêtres percée sur la façade antérieure,
le_pays_des_fourrures_1_18_f000058|à l'extrémité du couloir, serait ouverte, le vent donnant avec moins de violence de ce côté.|à l'extrémité du couloir, serait ouverte, le vent donnant avec moins de violence de ce côté.
le_pays_des_fourrures_1_18_f000059|Ce ne fut point une petite affaire. Les battants furent facilement rabattus à l'intérieur, mais le volet, pressé par les blocs durcis, résista à tous les efforts.|Ce ne fut point une petite affaire. Les battants furent facilement rabattus à l'intérieur, mais le volet, pressé par les blocs durcis, résista à tous les efforts.
le_pays_des_fourrures_1_18_f000060|On fut obligé de le démonter de ses gonds. Puis, la couche de neige fut attaquée à coups de pic et de pelle.|On fut obligé de le démonter de ses gonds. Puis, la couche de neige fut attaquée à coups de pic et de pelle.
le_pays_des_fourrures_1_18_f000061|Elle mesurait au moins dix pieds d'épaisseur. Il fallut donc creuser une sorte de tranchée qui donna bientôt accès à l'air extérieur.|Elle mesurait au moins dix pieds d'épaisseur. Il fallut donc creuser une sorte de tranchée qui donna bientôt accès à l'air extérieur.
le_pays_des_fourrures_1_18_f000062|Jasper Hobson, le sergent, quelques soldats, Mrs. Paulina Barnett elle-même s'aventurèrent aussitôt à travers cette tranchée, non sans peine,|Jasper Hobson, le sergent, quelques soldats, Mrs. Paulina Barnett elle-même s'aventurèrent aussitôt à travers cette tranchée, non sans peine,
le_pays_des_fourrures_1_18_f000063|car le vent s'y engouffrait avec une fougue extraordinaire.|car le vent s'y engouffrait avec une fougue extraordinaire.
le_pays_des_fourrures_1_18_f000064|Quel aspect que celui du cap Bathurst et de la plaine environnante! Il était alors midi, et c'est à peine si quelques lueurs crépusculaires nuançaient l'horizon du sud.|Quel aspect que celui du cap Bathurst et de la plaine environnante! Il était alors midi, et c'est à peine si quelques lueurs crépusculaires nuançaient l'horizon du sud.
le_pays_des_fourrures_1_18_f000065|Le froid n'était pas aussi vif qu'on l'eût pu croire, et le thermomètre n'indiqua que quinze degrés Fahrenheit au-dessous de zéro (9° centigr.|Le froid n'était pas aussi vif qu'on l'eût pu croire, et le thermomètre n'indiqua que quinze degrés Fahrenheit au-dessous de zéro 9 centigr.
le_pays_des_fourrures_1_18_f000066|au-dessous de glace). Mais le chasse-neige se déchaînait toujours avec une incomparable violence, et le lieutenant, ses compagnons,|au-dessous de glace. Mais le chasse-neige se déchaînait toujours avec une incomparable violence, et le lieutenant, ses compagnons,
le_pays_des_fourrures_1_18_f000067|la voyageuse auraient été immanquablement renversés, si la couche neigeuse, dans laquelle ils étaient entrés jusqu'à mi-corps, ne les eût maintenus contre la poussée du vent.|la voyageuse auraient été immanquablement renversés, si la couche neigeuse, dans laquelle ils étaient entrés jusqu'à mi-corps, ne les eût maintenus contre la poussée du vent.
le_pays_des_fourrures_1_18_f000068|Ils ne pouvaient parler, ils ne pouvaient regarder sous l'averse de flocons qui les aveuglait.|Ils ne pouvaient parler, ils ne pouvaient regarder sous l'averse de flocons qui les aveuglait.
le_pays_des_fourrures_1_18_f000069|En moins d'une demi-heure, ils eussent été enlisés.|En moins d'une demi-heure, ils eussent été enlisés.
le_pays_des_fourrures_1_18_f000070|Tout était blanc autour d'eux, l'enceinte était comblée, le toit de la maison et ses murs se confondaient dans un égal enfouissement,|Tout était blanc autour d'eux, l'enceinte était comblée, le toit de la maison et ses murs se confondaient dans un égal enfouissement,
le_pays_des_fourrures_1_18_f000071|et sans deux tourbillons de fumée bleuâtre qui se tordaient dans l'air, un étranger n'aurait pu soupçonner en cet endroit l'existence d'une maison habitée.|et sans deux tourbillons de fumée bleuâtre qui se tordaient dans l'air, un étranger n'aurait pu soupçonner en cet endroit l'existence d'une maison habitée.
le_pays_des_fourrures_1_18_f000072|Dans ces conditions, la promenade fut très courte. Mais la voyageuse avait jeté un coup d'oeil rapide sur cette scène désolée.|Dans ces conditions, la promenade fut très courte. Mais la voyageuse avait jeté un coup d'oeil rapide sur cette scène désolée.
le_pays_des_fourrures_1_18_f000073|Elle avait entrevu cet horizon polaire, battu par les neiges, et la sublime horreur de cette tempête arctique. Elle rentra donc, emportant avec elle un impérissable souvenir.|Elle avait entrevu cet horizon polaire, battu par les neiges, et la sublime horreur de cette tempête arctique. Elle rentra donc, emportant avec elle un impérissable souvenir.
le_pays_des_fourrures_1_18_f000074|L'air de la maison avait été renouvelé en quelques instants et les mauvaises vapeurs se dissipèrent sous l'action d'un courant atmosphérique pur et revivifiant.|L'air de la maison avait été renouvelé en quelques instants et les mauvaises vapeurs se dissipèrent sous l'action d'un courant atmosphérique pur et revivifiant.
le_pays_des_fourrures_1_18_f000075|Le lieutenant et ses compagnons se hâtèrent à leur tour d'y chercher un refuge.|Le lieutenant et ses compagnons se hâtèrent à leur tour d'y chercher un refuge.
le_pays_des_fourrures_1_18_f000076|La fenêtre fut refermée, mais, chaque jour on eut soin d'en déblayer l'ouverture, dans l'intérêt même de la ventilation.|La fenêtre fut refermée, mais, chaque jour on eut soin d'en déblayer l'ouverture, dans l'intérêt même de la ventilation.
le_pays_des_fourrures_1_18_f000077|La semaine entière s'écoula ainsi. Très heureusement, les rennes et les chiens avaient une nourriture abondante, et il ne fut pas nécessaire de les visiter.|La semaine entière s'écoula ainsi. Très heureusement, les rennes et les chiens avaient une nourriture abondante, et il ne fut pas nécessaire de les visiter.
le_pays_des_fourrures_1_18_f000078|Pendant huit jours, les hiverneurs se virent ainsi séquestrés.|Pendant huit jours, les hiverneurs se virent ainsi séquestrés.
le_pays_des_fourrures_1_18_f000079|C'était long pour des hommes habitués au grand air, des soldats, des chasseurs.|C'était long pour des hommes habitués au grand air, des soldats, des chasseurs.
le_pays_des_fourrures_1_18_f000080|Aussi avouera-t-on que peu à peu la lecture y perdit quelque charme, et que le cribbage[6] finit par sembler monotone.|Aussi avouera-t-on que peu à peu la lecture y perdit quelque charme, et que le cribbage6 finit par sembler monotone.
le_pays_des_fourrures_1_18_f000081|On se couchait avec l'espoir d'entendre, au réveil, les derniers mugissements de la rafale, mais en vain.|On se couchait avec l'espoir d'entendre, au réveil, les derniers mugissements de la rafale, mais en vain.
le_pays_des_fourrures_1_18_f000082|La neige s'amoncelait toujours sur les vitres de la fenêtre, le vent tourbillonnait, les icebergs se fracassaient avec un roulement de tonnerre,|La neige s'amoncelait toujours sur les vitres de la fenêtre, le vent tourbillonnait, les icebergs se fracassaient avec un roulement de tonnerre,
le_pays_des_fourrures_1_18_f000083|la fumée se rabattait dans les chambres, provoquant des toux incessantes, et non seulement la tempête ne finissait pas, mais elle ne paraissait pas devoir finir.|la fumée se rabattait dans les chambres, provoquant des toux incessantes, et non seulement la tempête ne finissait pas, mais elle ne paraissait pas devoir finir.
le_pays_des_fourrures_1_18_f000084|Enfin, le 28 novembre, le baromètre anéroïde, placé dans la grande salle, annonça une modification prochaine dans l'état atmosphérique.|Enfin, le 28 novembre, le baromètre anéroïde, placé dans la grande salle, annonça une modification prochaine dans l'état atmosphérique.
le_pays_des_fourrures_1_18_f000085|Il remonta d'une manière sensible. En même temps, le thermomètre, placé extérieurement, tombait presque subitement à moins de quatre degrés au-dessous de zéro (20° centigr.|Il remonta d'une manière sensible. En même temps, le thermomètre, placé extérieurement, tombait presque subitement à moins de quatre degrés au-dessous de zéro 20 centigr.
le_pays_des_fourrures_1_18_f000086|au-dessous de glace). C'étaient là des symptômes auxquels on ne pouvait se tromper.|au-dessous de glace. C'étaient là des symptômes auxquels on ne pouvait se tromper.
le_pays_des_fourrures_1_18_f000087|Et, en effet, le 29 novembre, les habitants du Fort- Espérance purent reconnaître au calme du dehors que la tempête avait cessé.|Et, en effet, le 29 novembre, les habitants du Fort- Espérance purent reconnaître au calme du dehors que la tempête avait cessé.
le_pays_des_fourrures_1_18_f000088|Chacun alors de sortir au plus vite. L'emprisonnement avait assez duré.|Chacun alors de sortir au plus vite. L'emprisonnement avait assez duré.
le_pays_des_fourrures_1_18_f000089|La porte n'était pas praticable, on dut passer par la fenêtre et la déblayer des derniers amas de neige.|La porte n'était pas praticable, on dut passer par la fenêtre et la déblayer des derniers amas de neige.
le_pays_des_fourrures_1_18_f000090|Mais, cette fois, il ne s'agissait plus de percer une couche molle. Le froid intense avait solidifié toute la masse, et il fallut l'attaquer à coups de pic.|Mais, cette fois, il ne s'agissait plus de percer une couche molle. Le froid intense avait solidifié toute la masse, et il fallut l'attaquer à coups de pic.
le_pays_des_fourrures_1_18_f000091|Ce fut l'ouvrage d'une demi-heure, et bientôt tous les hiverneurs, à l'exception de Mrs. Mac Nap, qui ne se levait pas encore, arpentaient la cour intérieure.|Ce fut l'ouvrage d'une demi-heure, et bientôt tous les hiverneurs, à l'exception de Mrs. Mac Nap, qui ne se levait pas encore, arpentaient la cour intérieure.
le_pays_des_fourrures_1_18_f000092|Le froid était extrêmement vif, mais le vent étant entièrement tombé, il fut supportable.|Le froid était extrêmement vif, mais le vent étant entièrement tombé, il fut supportable.
le_pays_des_fourrures_1_18_f000093|Cependant, au sortir d'une chaude demeure, chacun dut prendre quelques précautions pour affronter une différence de température de cinquante quatre degrés environ (30° centigr.).|Cependant, au sortir d'une chaude demeure, chacun dut prendre quelques précautions pour affronter une différence de température de cinquante quatre degrés environ 30 centigr..
le_pays_des_fourrures_1_18_f000094|Il était huit heures du matin. Des constellations d'une admirable pureté resplendissaient depuis le zénith, où brillait la polaire, jusqu'aux dernières limites de l'horizon.|Il était huit heures du matin. Des constellations d'une admirable pureté resplendissaient depuis le zénith, où brillait la polaire, jusqu'aux dernières limites de l'horizon.
le_pays_des_fourrures_1_18_f000095|L'oeil eût cru les compter par millions, bien que le nombre des étoiles visibles à l'oeil nu ne dépasse pas cinq mille sur toute la sphère céleste.|L'oeil eût cru les compter par millions, bien que le nombre des étoiles visibles à l'oeil nu ne dépasse pas cinq mille sur toute la sphère céleste.
le_pays_des_fourrures_1_18_f000096|Thomas Black s'échappait en interjections admiratives.|Thomas Black s'échappait en interjections admiratives.
le_pays_des_fourrures_1_18_f000097|Il applaudissait ce firmament tout constellé, que pas une vapeur, pas une brume ne voilait. Jamais plus beau ciel ne s'était offert aux regards d'un astronome!|Il applaudissait ce firmament tout constellé, que pas une vapeur, pas une brume ne voilait. Jamais plus beau ciel ne s'était offert aux regards d'un astronome!
le_pays_des_fourrures_1_18_f000098|Pendant que Thomas Black s'extasiait, indifférent aux choses de la terre, ses compagnons se portaient jusqu'à la limite de l'enceinte fortifiée.|Pendant que Thomas Black s'extasiait, indifférent aux choses de la terre, ses compagnons se portaient jusqu'à la limite de l'enceinte fortifiée.
le_pays_des_fourrures_1_18_f000099|La couche de neige avait la dureté du roc, mais elle était fort glissante, et il y eut quelques chutes sans conséquences.|La couche de neige avait la dureté du roc, mais elle était fort glissante, et il y eut quelques chutes sans conséquences.
le_pays_des_fourrures_1_18_f000100|Il va sans dire que la cour était entièrement comblée.|Il va sans dire que la cour était entièrement comblée.
le_pays_des_fourrures_1_18_f000101|Le toit seul de la maison excédait la masse blanche qui présentait une horizontalité parfaite, car le vent avait promené son rude niveau à sa surface.|Le toit seul de la maison excédait la masse blanche qui présentait une horizontalité parfaite, car le vent avait promené son rude niveau à sa surface.
le_pays_des_fourrures_1_18_f000102|De la palissade, il ne restait que le sommet des pieux, et dans cet état, elle n'eut pas arrêté le moins souple des rongeurs! Mais qu'y faire? On en pouvait songer à déblayer dix pieds de neige durcie sur un si large espace.|De la palissade, il ne restait que le sommet des pieux, et dans cet état, elle n'eut pas arrêté le moins souple des rongeurs! Mais qu'y faire? On en pouvait songer à déblayer dix pieds de neige durcie sur un si large espace.
le_pays_des_fourrures_1_18_f000103|Tout au plus essaierait-on de dégager la partie antérieure de l'enceinte, de manière à former un fossé dont la contrescarpe protégerait encore la palissade.|Tout au plus essaierait-on de dégager la partie antérieure de l'enceinte, de manière à former un fossé dont la contrescarpe protégerait encore la palissade.
le_pays_des_fourrures_1_18_f000104|Mais l'hiver ne faisait que commencer, et on devait craindre qu'une nouvelle tempête ne comblât ce fossé en quelques heures.|Mais l'hiver ne faisait que commencer, et on devait craindre qu'une nouvelle tempête ne comblât ce fossé en quelques heures.
le_pays_des_fourrures_1_18_f000105|Pendant que le lieutenant examinait les ouvrages qui ne pouvaient plus défendre la maison principale, tant qu'un rayon de soleil n'aurait pas fondu cette croûte neigeuse, Mrs.|Pendant que le lieutenant examinait les ouvrages qui ne pouvaient plus défendre la maison principale, tant qu'un rayon de soleil n'aurait pas fondu cette croûte neigeuse, Mrs.
le_pays_des_fourrures_1_18_f000106|Joliffe s'écria: Et nos chiens! et nos rennes! Et, en effet, il fallait se préoccuper de l'état de ces animaux.|Joliffe s'écria: Et nos chiens! et nos rennes! Et, en effet, il fallait se préoccuper de l'état de ces animaux.
le_pays_des_fourrures_1_18_f000107|La dog-house et l'étable, moins élevées que la maison, devaient être entièrement ensevelies, et il était possible que l'air y eût manqué.|La dog-house et l'étable, moins élevées que la maison, devaient être entièrement ensevelies, et il était possible que l'air y eût manqué.
le_pays_des_fourrures_1_18_f000108|On se précipita donc, qui vers le chenil, qui vers l'étable des rennes, mais toute crainte fut immédiatement dissipée.|On se précipita donc, qui vers le chenil, qui vers l'étable des rennes, mais toute crainte fut immédiatement dissipée.
le_pays_des_fourrures_1_18_f000109|La muraille de glace qui reliait l'angle nord de la maison à la falaise avait protégé en partie les deux constructions, autour desquelles la hauteur de la couche de neige ne dépassait pas quatre pieds.|La muraille de glace qui reliait l'angle nord de la maison à la falaise avait protégé en partie les deux constructions, autour desquelles la hauteur de la couche de neige ne dépassait pas quatre pieds.
le_pays_des_fourrures_1_18_f000110|Les jours ménagés dans les parois n'étaient donc point obstrués.|Les jours ménagés dans les parois n'étaient donc point obstrués.
le_pays_des_fourrures_1_18_f000111|On trouva les animaux en bonne santé, et la porte ayant été ouverte, les chiens s'échappèrent en jetant de longs aboiements de satisfaction.|On trouva les animaux en bonne santé, et la porte ayant été ouverte, les chiens s'échappèrent en jetant de longs aboiements de satisfaction.
le_pays_des_fourrures_1_18_f000112|Cependant, le froid commençait à piquer vivement, et après une promenade d'une heure, chacun songea au poêle bienfaisant qui ronflait dans la grande salle.|Cependant, le froid commençait à piquer vivement, et après une promenade d'une heure, chacun songea au poêle bienfaisant qui ronflait dans la grande salle.
le_pays_des_fourrures_1_18_f000113|Il n'y avait rien à faire au-dehors en ce moment. Les trappes, enfouies sous dix pieds de neige, ne pouvaient être visitées.|Il n'y avait rien à faire au-dehors en ce moment. Les trappes, enfouies sous dix pieds de neige, ne pouvaient être visitées.
le_pays_des_fourrures_1_18_f000114|On rentra donc. La fenêtre fut fermée, et chacun prit sa place à table, car l'heure du dîner était arrivée.|On rentra donc. La fenêtre fut fermée, et chacun prit sa place à table, car l'heure du dîner était arrivée.
le_pays_des_fourrures_1_18_f000115|On pense bien que, dans la conversation, il fut question de ce froid subit, qui avait si rapidement solidifié l'épaisse couche des neiges.|On pense bien que, dans la conversation, il fut question de ce froid subit, qui avait si rapidement solidifié l'épaisse couche des neiges.
le_pays_des_fourrures_1_18_f000116|C'était une circonstance regrettable, qui compromettait, jusqu'à un certain point, la sécurité du fort.|C'était une circonstance regrettable, qui compromettait, jusqu'à un certain point, la sécurité du fort.
le_pays_des_fourrures_1_18_f000117|Mais, monsieur Hobson, demanda Mrs. Paulina Barnett, ne pouvons- nous compter sur quelques jours de dégel qui réduiront en eau toute cette glace?|Mais, monsieur Hobson, demanda Mrs. Paulina Barnett, ne pouvons- nous compter sur quelques jours de dégel qui réduiront en eau toute cette glace?
le_pays_des_fourrures_1_18_f000118|-- Non, madame, répondit le lieutenant, un dégel à cette époque de l'année n'est pas probable.|-- Non, madame, répondit le lieutenant, un dégel à cette époque de l'année n'est pas probable.
le_pays_des_fourrures_1_18_f000119|Je crois plutôt que l'intensité du froid s'accroîtra encore, et il est fâcheux que nous n'ayons pu enlever cette neige, quand elle était molle.|Je crois plutôt que l'intensité du froid s'accroîtra encore, et il est fâcheux que nous n'ayons pu enlever cette neige, quand elle était molle.
le_pays_des_fourrures_1_18_f000120|-- Quoi! vous pensez que la température subira un abaissement plus considérable?|-- Quoi! vous pensez que la température subira un abaissement plus considérable?
le_pays_des_fourrures_1_18_f000121|-- Sans aucun doute, madame. Quatre degrés au-dessous de zéro[7] (20° centigr. au-dessous de glace), qu'est-ce cela pour une latitude aussi élevée?|-- Sans aucun doute, madame. Quatre degrés au-dessous de zéro7 20 centigr. au-dessous de glace, qu'est-ce cela pour une latitude aussi élevée?
le_pays_des_fourrures_1_18_f000122|-- Mais que serait-ce donc si nous étions au pôle? demanda Mrs. Paulina Barnett.|-- Mais que serait-ce donc si nous étions au pôle? demanda Mrs. Paulina Barnett.
le_pays_des_fourrures_1_18_f000123|-- Le pôle, madame, n'est pas, très probablement, le point le plus froid du globe, puisque la plupart des navigateurs s'accordent pour y placer la mer libre.|-- Le pôle, madame, n'est pas, très probablement, le point le plus froid du globe, puisque la plupart des navigateurs s'accordent pour y placer la mer libre.
le_pays_des_fourrures_1_18_f000124|Il semble même que, par suite de certaines dispositions géographiques et hydrographiques, l'endroit où la moyenne de la température est la plus basse est situé sur le quatre-vingt-quinzième méridien et par soixante-dix-huit degrés de latitude,|Il semble même que, par suite de certaines dispositions géographiques et hydrographiques, l'endroit où la moyenne de la température est la plus basse est situé sur le quatre-vingt-quinzième méridien et par soixante-dix-huit degrés de latitude,
le_pays_des_fourrures_1_18_f000125|c'est-à-dire sur les côtes de la Géorgie septentrionale.|c'est-à-dire sur les côtes de la Géorgie septentrionale.
le_pays_des_fourrures_1_18_f000126|Là, cette moyenne serait seulement de deux degrés au-dessous de zéro (19° centigr. au-dessous de glace) pour l'année entière.|Là, cette moyenne serait seulement de deux degrés au-dessous de zéro 19 centigr. au-dessous de glace pour l'année entière.
le_pays_des_fourrures_1_18_f000127|Aussi ce point est-il connu sous le nom de pôle du froid.|Aussi ce point est-il connu sous le nom de pôle du froid.
le_pays_des_fourrures_1_18_f000128|-- Mais, monsieur Hobson, répondit Mrs. Paulina Barnett, nous sommes à plus de huit degrés en latitude de ce point redoutable.|-- Mais, monsieur Hobson, répondit Mrs. Paulina Barnett, nous sommes à plus de huit degrés en latitude de ce point redoutable.
le_pays_des_fourrures_1_18_f000129|-- Aussi, répondit Jasper Hobson, je compte bien que nous ne serons pas éprouvés au cap Bathurst comme nous le serions dans la Géorgie septentrionale.|-- Aussi, répondit Jasper Hobson, je compte bien que nous ne serons pas éprouvés au cap Bathurst comme nous le serions dans la Géorgie septentrionale.
le_pays_des_fourrures_1_18_f000130|Mais si je vous parle du pôle du froid, c'est pour vous dire qu'il ne faut point le confondre avec le pôle proprement dit, quand il s'agit de l'abaissement de la température.|Mais si je vous parle du pôle du froid, c'est pour vous dire qu'il ne faut point le confondre avec le pôle proprement dit, quand il s'agit de l'abaissement de la température.
le_pays_des_fourrures_1_18_f000131|Remarquons, d'ailleurs, que de grands froids ont été éprouvés sur d'autres points du globe. Seulement, ils ne duraient pas.|Remarquons, d'ailleurs, que de grands froids ont été éprouvés sur d'autres points du globe. Seulement, ils ne duraient pas.
