zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_16_lasswitz_f000209|entsprechend einem Flächenraum von achtzig Quadratkilometern.|entsprechend einem Flächenraum von achtzig Quadratkilometern.
zweiplaneten_16_lasswitz_f000210|So sah man jetzt gerade den Nordabfall der Karwendelwand vor sich, aber man blickte darüber hinweg auf die dahinterliegenden Gebirgsketten.|So sah man jetzt gerade den Nordabfall der Karwendelwand vor sich, aber man blickte darüber hinweg auf die dahinterliegenden Gebirgsketten.
zweiplaneten_16_lasswitz_f000211|Alles dies erschien im höchsten Grade plastisch, genau wie ein Relief der Gegend;|Alles dies erschien im höchsten Grade plastisch, genau wie ein Relief der Gegend;
zweiplaneten_16_lasswitz_f000212|denn das Fernrohr wirkte durch seine Konstruktion wie ein Stereoskop.|denn das Fernrohr wirkte durch seine Konstruktion wie ein Stereoskop.
zweiplaneten_16_lasswitz_f000213|So schob sich die Gegend nach und nach vor den Blicken der Zuschauer vorüber|So schob sich die Gegend nach und nach vor den Blicken der Zuschauer vorüber
zweiplaneten_16_lasswitz_f000214|als ob dieselben in einem Luftballon schnell darüber hinschwebten.|als ob dieselben in einem Luftballon schnell darüber hinschwebten.
zweiplaneten_16_lasswitz_f000215|Der Einschnitt des Inntals wurde passiert, und nun leuchteten hell im Sonnenstrahl die Ferner der Ötztaler Alpen.|Der Einschnitt des Inntals wurde passiert, und nun leuchteten hell im Sonnenstrahl die Ferner der Ötztaler Alpen.
zweiplaneten_16_lasswitz_f000216|Fru war bei der Drehung des Fernrohrs nach Westen abgewichen.|Fru war bei der Drehung des Fernrohrs nach Westen abgewichen.
zweiplaneten_16_lasswitz_f000217|Wieder erblickte man den schmalen Streifen eines tief eingeschnittenen Tales|Wieder erblickte man den schmalen Streifen eines tief eingeschnittenen Tales
zweiplaneten_16_lasswitz_f000218|und dahinter erschien eine herrliche Berggruppe, alle Gipfel mit glänzendem Weiß bedeckt.|und dahinter erschien eine herrliche Berggruppe, alle Gipfel mit glänzendem Weiß bedeckt.
zweiplaneten_16_lasswitz_f000219|»Was ist denn das«, rief Saltner, »da sind wir von der Richtung abgekommen.|Was ist denn das, rief Saltner, da sind wir von der Richtung abgekommen.
zweiplaneten_16_lasswitz_f000220|Das ist der Ortler! Nun müssen Sie wieder nach Osten drehen so immer weiter! Sehen Sie, immer an diesem Streifen hin|Das ist der Ortler! Nun müssen Sie wieder nach Osten drehen so immer weiter! Sehen Sie, immer an diesem Streifen hin
zweiplaneten_16_lasswitz_f000221|das ist nämlich das Etschtal, und jetzt können Sie gerad hineinschauen, hier schwenkt es nach Südost ab.|das ist nämlich das Etschtal, und jetzt können Sie gerad hineinschauen, hier schwenkt es nach Südost ab.
zweiplaneten_16_lasswitz_f000222|Noch immer weiter, bis es ganz nach Süden geht da da schaun Sie hin ah, wie schade|Noch immer weiter, bis es ganz nach Süden geht da da schaun Sie hin ah, wie schade
zweiplaneten_16_lasswitz_f000223|aus dem Tal steigt die Luft so unruhig in die Höhe, aber die Etsch können Sie durchschimmern sehn.|aus dem Tal steigt die Luft so unruhig in die Höhe, aber die Etsch können Sie durchschimmern sehn.
zweiplaneten_16_lasswitz_f000224|Und jetzt, ganz langsam, noch ein bißchen, hier, die Berge am linken Ufer, hier ist's wieder klar nun bitte, halt!«.|Und jetzt, ganz langsam, noch ein bißchen, hier, die Berge am linken Ufer, hier ist's wieder klar nun bitte, halt!.
zweiplaneten_16_lasswitz_f000225|Er beugte sich ganz dicht vor, daß der Schatten seines Kopfes auf die Wand fiel und die andern nicht mehr gut sehen konnten.|Er beugte sich ganz dicht vor, daß der Schatten seines Kopfes auf die Wand fiel und die andern nicht mehr gut sehen konnten.
zweiplaneten_16_lasswitz_f000226|»Da, da ist's«, rief er jubelnd, »ich kann's deutlich erkennen.|Da, da ist's, rief er jubelnd, ich kann's deutlich erkennen.
zweiplaneten_16_lasswitz_f000227|Das ist die alte Burg, links daneben liegt das Haus, mein Haus Jesus Maria ich kann's wahrhaftig sehen|Das ist die alte Burg, links daneben liegt das Haus, mein Haus Jesus Maria ich kann's wahrhaftig sehen
zweiplaneten_16_lasswitz_f000228|wie ein kleines, weißes Pünktchen! Da wohnt mein Mutterl. Jetzt beugte auch La sich vor. »Wo? « fragte sie.|wie ein kleines, weißes Pünktchen! Da wohnt mein Mutterl. Jetzt beugte auch La sich vor. Wo?  fragte sie.
zweiplaneten_16_lasswitz_f000229|Mit der Spitze einer Nadel bezeichnete Saltner den Punkt. Ihre Köpfe berührten sich.|Mit der Spitze einer Nadel bezeichnete Saltner den Punkt. Ihre Köpfe berührten sich.
zweiplaneten_16_lasswitz_f000230|Lange betrachtete La die Gegend, als wollte sie sich jede Einzelheit einprägen. Saltner trat beiseite.|Lange betrachtete La die Gegend, als wollte sie sich jede Einzelheit einprägen. Saltner trat beiseite.
zweiplaneten_16_lasswitz_f000231|»Ich hab nun genug geschaut, mir tun die Augen weh«, sagte er und zog sich auf einen der Stühle zurück.|Ich hab nun genug geschaut, mir tun die Augen weh, sagte er und zog sich auf einen der Stühle zurück.
zweiplaneten_16_lasswitz_f000232|Er bedeckte die Augen mit der Hand und saß schweigend.|Er bedeckte die Augen mit der Hand und saß schweigend.
zweiplaneten_16_lasswitz_f000233|La setzte sich neben ihn und drückte leise seine Linke.|La setzte sich neben ihn und drückte leise seine Linke.
zweiplaneten_16_lasswitz_f000234|Nach längerer Pause, während deren Fru die Schattengrenze der Erde betrachten ließ|Nach längerer Pause, während deren Fru die Schattengrenze der Erde betrachten ließ
zweiplaneten_16_lasswitz_f000235|die jetzt schon bis an den Ural vorgerückt war, sagte La zu Saltner: »Du möchtest wohl jetzt den Mars nicht mehr sehen?|die jetzt schon bis an den Ural vorgerückt war, sagte La zu Saltner: Du möchtest wohl jetzt den Mars nicht mehr sehen?
zweiplaneten_16_lasswitz_f000236|»Warum nicht? « entgegnete Saltner.|Warum nicht?  entgegnete Saltner.
zweiplaneten_16_lasswitz_f000237|»Ich will ihn auch liebgewinnen aber du mußt verzeihen! Es ist ein bissen viel auf einmal|Ich will ihn auch liebgewinnen aber du mußt verzeihen! Es ist ein bissen viel auf einmal
zweiplaneten_16_lasswitz_f000238|was jetzt durch meinen dummen Menschenverstand geht.|was jetzt durch meinen dummen Menschenverstand geht.
zweiplaneten_16_lasswitz_f000239|»Ja, ihr armen Menschen«, sagte La, »es wird wohl noch ein Weilchen dauern, eh ich recht begreife, wie es in solchem Kopf aussieht.|Ja, ihr armen Menschen, sagte La, es wird wohl noch ein Weilchen dauern, eh ich recht begreife, wie es in solchem Kopf aussieht.
zweiplaneten_16_lasswitz_f000240|Die Heimat liebhaben und die Eltern und die Freunde, das ist gut.|Die Heimat liebhaben und die Eltern und die Freunde, das ist gut.
zweiplaneten_16_lasswitz_f000241|Und was gut ist, wie kann das traurig machen? »Wenn man es nicht hat «. »Nicht hat?|Und was gut ist, wie kann das traurig machen? Wenn man es nicht hat . Nicht hat?
zweiplaneten_16_lasswitz_f000242|Wie kann man das nicht haben, was doch nur vom Willen abhängt?|Wie kann man das nicht haben, was doch nur vom Willen abhängt?
zweiplaneten_16_lasswitz_f000243|Wer kann dir die Treue nehmen, die du für recht hältst?|Wer kann dir die Treue nehmen, die du für recht hältst?
zweiplaneten_16_lasswitz_f000244|Diese Liebe hast du doch, ob hier oder dort, weil du sie selbst bist.|Diese Liebe hast du doch, ob hier oder dort, weil du sie selbst bist.
zweiplaneten_16_lasswitz_f000245|»Aber La, kennt ihr Nume die Sehnsucht nicht? »Die Sehnsucht?|Aber La, kennt ihr Nume die Sehnsucht nicht? Die Sehnsucht?
zweiplaneten_16_lasswitz_f000246|Siehst du, du törichter Lieber, was wirfst du doch durcheinander! Also bist du gar nicht gut aus reinem Willen|Siehst du, du törichter Lieber, was wirfst du doch durcheinander! Also bist du gar nicht gut aus reinem Willen
zweiplaneten_16_lasswitz_f000247|sondern dich treibt das Verlangen nach dem Besitz.|sondern dich treibt das Verlangen nach dem Besitz.
zweiplaneten_16_lasswitz_f000248|Und aus diesem Widerstreit bist du traurig. Oh, was seid ihr für Wilde!«.|Und aus diesem Widerstreit bist du traurig. Oh, was seid ihr für Wilde!.
zweiplaneten_16_lasswitz_f000249|»So würdest du dich nie nach mir sehnen? »Nach dir?|So würdest du dich nie nach mir sehnen? Nach dir?
zweiplaneten_16_lasswitz_f000250|Das ist doch ganz etwas anderes.|Das ist doch ganz etwas anderes.
zweiplaneten_16_lasswitz_f000251|Ich hab dich doch nicht lieb, weil es Pflicht ist, weil es gut ist|Ich hab dich doch nicht lieb, weil es Pflicht ist, weil es gut ist
zweiplaneten_16_lasswitz_f000252|sondern lieb hab ich dich, weil es schön ist zu lieben und geliebt zu werden.|sondern lieb hab ich dich, weil es schön ist zu lieben und geliebt zu werden.
zweiplaneten_16_lasswitz_f000253|Deine Nähe wünsche ich, wie ich den Ton des Liedes wünsche|Deine Nähe wünsche ich, wie ich den Ton des Liedes wünsche
zweiplaneten_16_lasswitz_f000254|um mich an seiner Schönheit zu erfreuen aber nein, das ist auch noch nicht richtig, du könntest denken|um mich an seiner Schönheit zu erfreuen aber nein, das ist auch noch nicht richtig, du könntest denken
zweiplaneten_16_lasswitz_f000255|das sei nur ein Mittel zur ästhetischen Lust nein, so brauch ich deine Liebe und Nähe|das sei nur ein Mittel zur ästhetischen Lust nein, so brauch ich deine Liebe und Nähe
zweiplaneten_16_lasswitz_f000256|wie der Künstler die eigne Seele braucht, um das Schöne zu schaffen.|wie der Künstler die eigne Seele braucht, um das Schöne zu schaffen.
zweiplaneten_16_lasswitz_f000257|Ach, ich komme mit eurer Sprache nicht zurecht.|Ach, ich komme mit eurer Sprache nicht zurecht.
zweiplaneten_16_lasswitz_f000258|Ihr sprecht von Liebe in hundertfachem Sinn.|Ihr sprecht von Liebe in hundertfachem Sinn.
zweiplaneten_16_lasswitz_f000259|Ihr liebt Gott und das Vaterland und die Eltern und die Kinder und die Gattin und die Geliebte und den Freund|Ihr liebt Gott und das Vaterland und die Eltern und die Kinder und die Gattin und die Geliebte und den Freund
zweiplaneten_16_lasswitz_f000260|ihr liebt das Gute und das Schöne und das Angenehme|ihr liebt das Gute und das Schöne und das Angenehme
zweiplaneten_16_lasswitz_f000261|ihr liebt euch selbst, und das sind doch absolut verschiedene Zustände des Gemüts, und immer habt ihr nur das eine Wort.|ihr liebt euch selbst, und das sind doch absolut verschiedene Zustände des Gemüts, und immer habt ihr nur das eine Wort.
zweiplaneten_16_lasswitz_f000262|»Ich will dich ja ohne alle Worte lieben, du kluge La«.|Ich will dich ja ohne alle Worte lieben, du kluge La.
zweiplaneten_16_lasswitz_f000263|Sie blickte tief in seine Augen und sprach: »Wie nennt ihr das, was niemals wirklich ist|Sie blickte tief in seine Augen und sprach: Wie nennt ihr das, was niemals wirklich ist
zweiplaneten_16_lasswitz_f000264|was man nur in der Phantasie sich vorstellt, und indem man es sich vorstellt, ist das Glück wirklich in uns? Wie nennt ihr das?|was man nur in der Phantasie sich vorstellt, und indem man es sich vorstellt, ist das Glück wirklich in uns? Wie nennt ihr das?
zweiplaneten_16_lasswitz_f000265|Saltner zauderte mit der Antwort, und La fuhr fort: »Und das, was man wollen muß, ob es auch nicht glücklich macht|Saltner zauderte mit der Antwort, und La fuhr fort: Und das, was man wollen muß, ob es auch nicht glücklich macht
zweiplaneten_16_lasswitz_f000266|und was im Wollen erfreut, wenn es auch nicht wirklich wird, wie nennt ihr das?|und was im Wollen erfreut, wenn es auch nicht wirklich wird, wie nennt ihr das?
zweiplaneten_16_lasswitz_f000267|»Ich glaube«, erwiderte Saltner, »das erste nennen wir schön, und das zweite gut.|Ich glaube, erwiderte Saltner, das erste nennen wir schön, und das zweite gut.
zweiplaneten_16_lasswitz_f000268|»Und wenn ihr eine Frau liebt, rechnet ihr das zum Schönen oder zum Guten? Es kam zu keiner Antwort. »Was ist das?|Und wenn ihr eine Frau liebt, rechnet ihr das zum Schönen oder zum Guten? Es kam zu keiner Antwort. Was ist das?
zweiplaneten_16_lasswitz_f000269|« hörte man plötzlich Fru laut rufen.| hörte man plötzlich Fru laut rufen.
zweiplaneten_16_lasswitz_f000270|Eine Bewegung entstand bei den Martiern.|Eine Bewegung entstand bei den Martiern.
zweiplaneten_16_lasswitz_f000271|Sie drängten sich nahe an die Wand und hefteten ihre Augen auf eine bestimmte Stelle des Bildes, das soeben vom Fernrohr projiziert wurde.|Sie drängten sich nahe an die Wand und hefteten ihre Augen auf eine bestimmte Stelle des Bildes, das soeben vom Fernrohr projiziert wurde.
zweiplaneten_16_lasswitz_f000272|Grunthe hatte Fru gebeten, ihm die Einrichtung des Apparats zu erklären.|Grunthe hatte Fru gebeten, ihm die Einrichtung des Apparats zu erklären.
zweiplaneten_16_lasswitz_f000273|Hierbei hatte Fru die Schrauben hin und her gedreht, das Bild der Erde war nicht mehr im Gesichtsfeld|Hierbei hatte Fru die Schrauben hin und her gedreht, das Bild der Erde war nicht mehr im Gesichtsfeld
zweiplaneten_16_lasswitz_f000274|zahllose Sterne liefen infolge der Umdrehung der Erde über den projizierten Teil des Himmels.|zahllose Sterne liefen infolge der Umdrehung der Erde über den projizierten Teil des Himmels.
zweiplaneten_16_lasswitz_f000275|Jetzt setzte Fru, weiter demonstrierend, das Uhrwerk in Gang|Jetzt setzte Fru, weiter demonstrierend, das Uhrwerk in Gang
zweiplaneten_16_lasswitz_f000276|welches das Fernrohr der Erdbewegung entgegen drehte, so daß die Sterne auf dem Bild stillstanden.|welches das Fernrohr der Erdbewegung entgegen drehte, so daß die Sterne auf dem Bild stillstanden.
zweiplaneten_16_lasswitz_f000277|Fru warf einen Blick auf den Teil des Himmels, der sich zufällig eingestellt hatte.|Fru warf einen Blick auf den Teil des Himmels, der sich zufällig eingestellt hatte.
zweiplaneten_16_lasswitz_f000278|Es war ein Stückchen der südlichen Krone, das sich abbildete.|Es war ein Stückchen der südlichen Krone, das sich abbildete.
zweiplaneten_16_lasswitz_f000279|Verwundert blickte er schärfer hin.|Verwundert blickte er schärfer hin.
zweiplaneten_16_lasswitz_f000280|Er kannte die Stelle zu genau, als daß ihm nicht ein Stern hätte auffallen sollen, der sich sonst nicht hier befand.|Er kannte die Stelle zu genau, als daß ihm nicht ein Stern hätte auffallen sollen, der sich sonst nicht hier befand.
zweiplaneten_16_lasswitz_f000281|Einer der Asteroiden konnte es nicht sein.|Einer der Asteroiden konnte es nicht sein.
zweiplaneten_16_lasswitz_f000282|Er änderte die Einstellung ein wenig und erkannte daran, daß der fragliche Körper sich in verhältnismäßig großer Nähe befinden müsse.|Er änderte die Einstellung ein wenig und erkannte daran, daß der fragliche Körper sich in verhältnismäßig großer Nähe befinden müsse.
zweiplaneten_16_lasswitz_f000283|Dies hatte ihn zu dem lauten Ausruf veranlaßt.|Dies hatte ihn zu dem lauten Ausruf veranlaßt.
zweiplaneten_16_lasswitz_f000284|Aufmerksam prüften alle den Lichtpunkt, der sich deutlich von den Bildern der Fixsterne als eine kleine rötliche Scheibe unterschied.|Aufmerksam prüften alle den Lichtpunkt, der sich deutlich von den Bildern der Fixsterne als eine kleine rötliche Scheibe unterschied.
zweiplaneten_16_lasswitz_f000285|»Es ist ein Schiff!« rief endlich einer der Martier. »Der Komet? « fragte Grunthe.|Es ist ein Schiff! rief endlich einer der Martier. Der Komet?  fragte Grunthe.
zweiplaneten_16_lasswitz_f000286|»Das ist nicht möglich«, sagte Fru.|Das ist nicht möglich, sagte Fru.
zweiplaneten_16_lasswitz_f000287|»Es ist der Glo! Kein Zweifel, er ist an seiner roten Farbe kenntlich, es ist das Staatsschiff.|Es ist der Glo! Kein Zweifel, er ist an seiner roten Farbe kenntlich, es ist das Staatsschiff.
zweiplaneten_16_lasswitz_f000288|»Die Ablösung!« hieß es in den Reihen der Martier.|Die Ablösung! hieß es in den Reihen der Martier.
zweiplaneten_16_lasswitz_f000289|»Und Instruktionen von der Regierung«, rief Fru.|Und Instruktionen von der Regierung, rief Fru.
zweiplaneten_16_lasswitz_f000290|»Wie lange Zeit braucht das Schiff noch bis zur Ankunft? « fragte Grunthe.|Wie lange Zeit braucht das Schiff noch bis zur Ankunft?  fragte Grunthe.
zweiplaneten_16_lasswitz_f000291|»Darüber können noch Stunden vergehen.|Darüber können noch Stunden vergehen.
zweiplaneten_16_lasswitz_f000292|Aber trotzdem muß ich leider um Entschuldigung bitten, daß ich Ihnen heute den Mars nicht mehr zeigen kann.|Aber trotzdem muß ich leider um Entschuldigung bitten, daß ich Ihnen heute den Mars nicht mehr zeigen kann.
zweiplaneten_16_lasswitz_f000293|Ich hoffe, es wird nächstens Gelegenheit dazu sein.|Ich hoffe, es wird nächstens Gelegenheit dazu sein.
zweiplaneten_16_lasswitz_f000294|Denn ich muß sofort die Vorbereitungen zur Landung treffen.|Denn ich muß sofort die Vorbereitungen zur Landung treffen.
zweiplaneten_16_lasswitz_f000295|Und deshalb, so leid es mir tut, muß ich auch den Flugwagen früher als beabsichtigt hinabgehen lassen.|Und deshalb, so leid es mir tut, muß ich auch den Flugwagen früher als beabsichtigt hinabgehen lassen.
zweiplaneten_16_lasswitz_f000296|Sie müssen also die Güte haben, sich zur Rückfahrt nach der Insel bereitzuhalten.|Sie müssen also die Güte haben, sich zur Rückfahrt nach der Insel bereitzuhalten.
zweiplaneten_16_lasswitz_f000297|Fru verabschiedete sich herzlich von Grunthe, Saltner und La|Fru verabschiedete sich herzlich von Grunthe, Saltner und La
zweiplaneten_16_lasswitz_f000298|und diese wie die übrigen Martier begaben sich nach der Abfahrtsstelle der Flugwagen, um auf die Insel zurückzukehren.|und diese wie die übrigen Martier begaben sich nach der Abfahrtsstelle der Flugwagen, um auf die Insel zurückzukehren.
zweiplaneten_17_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_17_lasswitz_f000002|Siebzehn das Kapitel. Pläne und Sorgen.|Siebzehn das Kapitel. Pläne und Sorgen.
zweiplaneten_17_lasswitz_f000003|Als Saltner am folgenden Morgen in Grunthes Zimmer trat, fand er diesen bereits eifrig mit Schreiben beschäftigt.|Als Saltner am folgenden Morgen in Grunthes Zimmer trat, fand er diesen bereits eifrig mit Schreiben beschäftigt.
zweiplaneten_17_lasswitz_f000004|»Schon so fleißig? « fragte Saltner.|Schon so fleißig?  fragte Saltner.
zweiplaneten_17_lasswitz_f000005|»Sie haben wohl noch nicht einmal gefrühstückt?|Sie haben wohl noch nicht einmal gefrühstückt?
zweiplaneten_17_lasswitz_f000006|»Nein«, sagte Grunthe, »ich warte auf Sie.|Nein, sagte Grunthe, ich warte auf Sie.
zweiplaneten_17_lasswitz_f000007|Ich habe nicht schlafen können und unsere Lage nach allen Seiten hin erwogen.|Ich habe nicht schlafen können und unsere Lage nach allen Seiten hin erwogen.
zweiplaneten_17_lasswitz_f000008|Wir haben Wichtiges zu besprechen.|Wir haben Wichtiges zu besprechen.
zweiplaneten_17_lasswitz_f000009|Beide pflegten, ohne sich um die martische Sitte des Alleinspeisens zu bekümmern|Beide pflegten, ohne sich um die martische Sitte des Alleinspeisens zu bekümmern
zweiplaneten_17_lasswitz_f000010|ihre Mahlzeiten gemeinschaftlich in ihren Privatzimmern einzunehmen.|ihre Mahlzeiten gemeinschaftlich in ihren Privatzimmern einzunehmen.
zweiplaneten_17_lasswitz_f000011|Hier bot sich ihnen fast die einzige Gelegenheit, sich völlig ungestört auszusprechen.|Hier bot sich ihnen fast die einzige Gelegenheit, sich völlig ungestört auszusprechen.
zweiplaneten_17_lasswitz_f000012|»Nun«, sagte Saltner, nachdem sie sich aus den Automaten die Teller und Becher gefüllt hatten|Nun, sagte Saltner, nachdem sie sich aus den Automaten die Teller und Becher gefüllt hatten
zweiplaneten_17_lasswitz_f000013|die zu ihrer Reiseausrüstung gehörten denn es war ihnen bequemer|die zu ihrer Reiseausrüstung gehörten denn es war ihnen bequemer
zweiplaneten_17_lasswitz_f000014|nach europäischer Art zu speisen, »nun, schießen Sie los, Grunthe! Ich höre.|nach europäischer Art zu speisen, nun, schießen Sie los, Grunthe! Ich höre.
zweiplaneten_17_lasswitz_f000015|Grunthe sah sich um, ob die Klappen des Fernsprechers geschlossen seien. Dann sagte er leise:|Grunthe sah sich um, ob die Klappen des Fernsprechers geschlossen seien. Dann sagte er leise:
zweiplaneten_17_lasswitz_f000016|»Ich habe die Überzeugung, daß sich unser Schicksal heute entscheiden wird.|Ich habe die Überzeugung, daß sich unser Schicksal heute entscheiden wird.
zweiplaneten_17_lasswitz_f000017|Und nach allem, was ich aus den Gesprächen der Martier entnommen habe, insbesondere gestern bei der Rückfahrt|Und nach allem, was ich aus den Gesprächen der Martier entnommen habe, insbesondere gestern bei der Rückfahrt
zweiplaneten_17_lasswitz_f000018|erwartet man, daß das Staatsschiff den Befehl mitbringen wird, uns nach dem Mars zu transportieren.|erwartet man, daß das Staatsschiff den Befehl mitbringen wird, uns nach dem Mars zu transportieren.
zweiplaneten_17_lasswitz_f000019|»Ich glaube, Sie haben recht«, erwiderte Saltner.|Ich glaube, Sie haben recht, erwiderte Saltner.
zweiplaneten_17_lasswitz_f000020|»Soweit ich mit La darüber gesprochen habe, sieht sie es als bestimmt an|Soweit ich mit La darüber gesprochen habe, sieht sie es als bestimmt an
zweiplaneten_17_lasswitz_f000021|daß wir beide mit nach dem Mars gehen, und wir werden wohl schließlich einfach dazu gezwungen werden. Grunthe sah starr geradeaus.|daß wir beide mit nach dem Mars gehen, und wir werden wohl schließlich einfach dazu gezwungen werden. Grunthe sah starr geradeaus.
zweiplaneten_17_lasswitz_f000022|Dann sprach er langsam: »Ich gehe nach Europa zurück.|Dann sprach er langsam: Ich gehe nach Europa zurück.
zweiplaneten_17_lasswitz_f000023|Seine Lippen zogen sich zu einer geraden Linie zusammen.|Seine Lippen zogen sich zu einer geraden Linie zusammen.
zweiplaneten_17_lasswitz_f000024|Sein Entschluß war unabänderlich.|Sein Entschluß war unabänderlich.
zweiplaneten_17_lasswitz_f000025|Saltner blickte ihn erstaunt an.|Saltner blickte ihn erstaunt an.
zweiplaneten_17_lasswitz_f000026|»Na«, sagte er, »ich gebe zu, daß wir alle Kräfte daranzusetzen haben, unsrer Instruktion nachzukommen|Na, sagte er, ich gebe zu, daß wir alle Kräfte daranzusetzen haben, unsrer Instruktion nachzukommen
zweiplaneten_17_lasswitz_f000027|das heißt, nach Auffindung des Nordpols auf dem kürzesten Wege heimzukehren.|das heißt, nach Auffindung des Nordpols auf dem kürzesten Wege heimzukehren.
zweiplaneten_17_lasswitz_f000028|Und wenn ich auch eine Reise nach dem Mars in schöner Gesellschaft nicht so übel fände|Und wenn ich auch eine Reise nach dem Mars in schöner Gesellschaft nicht so übel fände
zweiplaneten_17_lasswitz_f000029|so habe ich doch einen gewissen Horror vor Balancierkünsten und insbesondere vor diesen furchtbar fetten Speisen ich denke noch mit Entsetzen an die flüssige Butter oder was es war|so habe ich doch einen gewissen Horror vor Balancierkünsten und insbesondere vor diesen furchtbar fetten Speisen ich denke noch mit Entsetzen an die flüssige Butter oder was es war
zweiplaneten_17_lasswitz_f000030|das wir neulich zum Frühstück erhielten und bei dem Klima bleibt einem ja nichts übrig|das wir neulich zum Frühstück erhielten und bei dem Klima bleibt einem ja nichts übrig
zweiplaneten_17_lasswitz_f000031|als früh, mittags und abends ein Pfund Fett zu verschlingen«. Grunthe runzelte die Stirn.|als früh, mittags und abends ein Pfund Fett zu verschlingen. Grunthe runzelte die Stirn.
zweiplaneten_17_lasswitz_f000032|»Ja, Ihnen tut das nichts, Sie wissen ja nie, was Sie essen«, er klopfte ihn auf die Schulter.|Ja, Ihnen tut das nichts, Sie wissen ja nie, was Sie essen, er klopfte ihn auf die Schulter.
zweiplaneten_17_lasswitz_f000033|»Seien Sie nicht böse, ich kann es nur nicht leiden, wenn Sie dieses fürchterlich ernste Gesicht machen.|Seien Sie nicht böse, ich kann es nur nicht leiden, wenn Sie dieses fürchterlich ernste Gesicht machen.
zweiplaneten_17_lasswitz_f000034|Aber ohne Scherz, was ich sagen wollte, ist dies: Wie stellen Sie sich denn das vor|Aber ohne Scherz, was ich sagen wollte, ist dies: Wie stellen Sie sich denn das vor
zweiplaneten_17_lasswitz_f000035|gegen den Willen der Martier von hier fort- oder woanders hinzukommen, als wo man Sie freundlichst hinkomplimentiert?|gegen den Willen der Martier von hier fort- oder woanders hinzukommen, als wo man Sie freundlichst hinkomplimentiert?
zweiplaneten_17_lasswitz_f000036|»Der Gewalt muß ich weichen«, erwiderte Grunthe.|Der Gewalt muß ich weichen, erwiderte Grunthe.
zweiplaneten_17_lasswitz_f000037|»Aber verstehen Sie, nur der Gewalt.|Aber verstehen Sie, nur der Gewalt.
zweiplaneten_17_lasswitz_f000038|Ich werde mich ihr indessen zu entziehen suchen.|Ich werde mich ihr indessen zu entziehen suchen.
zweiplaneten_17_lasswitz_f000039|»Denken Sie die Nume zu überlisten?|Denken Sie die Nume zu überlisten?
zweiplaneten_17_lasswitz_f000040|»Ich würde selbst das versuchen, wenn sie wirklich Gewalt brauchten, denn ich würde dann meinen, mich im Zustand der Notwehr zu befinden.|Ich würde selbst das versuchen, wenn sie wirklich Gewalt brauchten, denn ich würde dann meinen, mich im Zustand der Notwehr zu befinden.
zweiplaneten_17_lasswitz_f000041|Aber nach alledem, was ich von ihnen weiß, glaube ich nicht, daß sie so unwürdig und barbarisch handeln.|Aber nach alledem, was ich von ihnen weiß, glaube ich nicht, daß sie so unwürdig und barbarisch handeln.
zweiplaneten_17_lasswitz_f000042|Sie werden nur keine Rücksicht auf uns nehmen und uns dadurch in die Lage versetzen, ihnen freiwillig auf den Mars zu folgen. »Wie meinen Sie das?|Sie werden nur keine Rücksicht auf uns nehmen und uns dadurch in die Lage versetzen, ihnen freiwillig auf den Mars zu folgen. Wie meinen Sie das?
zweiplaneten_17_lasswitz_f000043|»Ich habe mir überlegt, sie werden uns nicht mit Gewalt einschiffen;|Ich habe mir überlegt, sie werden uns nicht mit Gewalt einschiffen;
zweiplaneten_17_lasswitz_f000044|das wäre ein Bruch des Gastrechts.|das wäre ein Bruch des Gastrechts.
zweiplaneten_17_lasswitz_f000045|Aber sie werden uns nicht erlauben, länger auf der Insel zu bleiben, als bis dieselbe für die Wintersaison geräumt wird.|Aber sie werden uns nicht erlauben, länger auf der Insel zu bleiben, als bis dieselbe für die Wintersaison geräumt wird.
zweiplaneten_17_lasswitz_f000046|Und das kann man ihnen nicht verdenken, wenn sie uns nicht im Winter hierlassen wollen|Und das kann man ihnen nicht verdenken, wenn sie uns nicht im Winter hierlassen wollen
zweiplaneten_17_lasswitz_f000047|während die Wirte selbst bis auf ein paar Wächter das Haus verlassen.|während die Wirte selbst bis auf ein paar Wächter das Haus verlassen.
zweiplaneten_17_lasswitz_f000048|Und somit werden wir vor die Alternative gestellt werden|Und somit werden wir vor die Alternative gestellt werden
zweiplaneten_17_lasswitz_f000049|entweder mit nach dem Mars zu ziehen oder die Heimreise mit unzulänglichen Mitteln bei Beginn des Polarwinters und wahrscheinlich bei widrigen Winden anzutreten.|entweder mit nach dem Mars zu ziehen oder die Heimreise mit unzulänglichen Mitteln bei Beginn des Polarwinters und wahrscheinlich bei widrigen Winden anzutreten.
zweiplaneten_17_lasswitz_f000050|Und das ist es, was ich Ihnen sagen wollte.|Und das ist es, was ich Ihnen sagen wollte.
zweiplaneten_17_lasswitz_f000051|Wir müssen auf diesen Fall vorbereitet sein und genau wissen, was wir wollen;|Wir müssen auf diesen Fall vorbereitet sein und genau wissen, was wir wollen;
zweiplaneten_17_lasswitz_f000052|und ich muß wissen, wie Sie darüber denken.|und ich muß wissen, wie Sie darüber denken.
