mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_05_pirandello_f000385|presente e invisibile, mi ero messo a girare da un tavoliere all'altro.|presente e invisibile, mi ero messo a girare da un tavoliere all'altro.
mattiapascal_05_pirandello_f000386|Da due giorni non lo avevo più veduto, proprio dacché m'ero messo a perdere, e forse perché lui non mi aveva più dato la caccia.|Da due giorni non lo avevo più veduto, proprio dacché m'ero messo a perdere, e forse perché lui non mi aveva più dato la caccia.
mattiapascal_05_pirandello_f000387|Ero certissimo, accorrendo al luogo indicatomi, di trovarlo lì, steso per terra, morto.|Ero certissimo, accorrendo al luogo indicatomi, di trovarlo lì, steso per terra, morto.
mattiapascal_05_pirandello_f000388|Ma vi trovai invece quel giovinetto pallido che affettava un'aria di sonnolenta indifferenza|Ma vi trovai invece quel giovinetto pallido che affettava un'aria di sonnolenta indifferenza
mattiapascal_05_pirandello_f000389|tirando fuori i luigi dalla tasca dei calzoni per puntarli senza nemmeno guardare.|tirando fuori i luigi dalla tasca dei calzoni per puntarli senza nemmeno guardare.
mattiapascal_05_pirandello_f000390|Pareva più piccolo, lì in mezzo al viale: stava composto, coi piedi uniti|Pareva più piccolo, lì in mezzo al viale: stava composto, coi piedi uniti
mattiapascal_05_pirandello_f000391|come se si fosse messo a giacere prima, per non farsi male, cadendo;|come se si fosse messo a giacere prima, per non farsi male, cadendo;
mattiapascal_05_pirandello_f000392|un braccio era aderente al corpo;|un braccio era aderente al corpo;
mattiapascal_05_pirandello_f000393|l'altro, un po' sospeso, con la mano raggrinchiata e un dito, l'indice, ancora nell'atto di tirare.|l'altro, un po' sospeso, con la mano raggrinchiata e un dito, l'indice, ancora nell'atto di tirare.
mattiapascal_05_pirandello_f000394|Era presso a questa mano la rivoltella;|Era presso a questa mano la rivoltella;
mattiapascal_05_pirandello_f000395|più là, il cappello.|più là, il cappello.
mattiapascal_05_pirandello_f000396|Mi parve dapprima che la palla gli fosse uscita dall'occhio sinistro, donde tanto sangue, ora rappreso, gli era colato su la faccia.|Mi parve dapprima che la palla gli fosse uscita dall'occhio sinistro, donde tanto sangue, ora rappreso, gli era colato su la faccia.
mattiapascal_05_pirandello_f000397|Ma no: quel sangue era schizzato di lì, come un po' dalle narici e dagli orecchi;|Ma no: quel sangue era schizzato di lì, come un po' dalle narici e dagli orecchi;
mattiapascal_05_pirandello_f000398|altro, in gran copia, n'era poi sgorgato dal forellino alla tempia destra, su la rena gialla del viale, tutto raggrumato.|altro, in gran copia, n'era poi sgorgato dal forellino alla tempia destra, su la rena gialla del viale, tutto raggrumato.
mattiapascal_05_pirandello_f000399|Una dozzina di vespe vi ronzavano attorno;|Una dozzina di vespe vi ronzavano attorno;
mattiapascal_05_pirandello_f000400|qualcuna andava a posarsi anche lì, vorace, su l'occhio.|qualcuna andava a posarsi anche lì, vorace, su l'occhio.
mattiapascal_05_pirandello_f000401|Fra tanti che guardavano, nessuno aveva pensato a cacciarle via.|Fra tanti che guardavano, nessuno aveva pensato a cacciarle via.
mattiapascal_05_pirandello_f000402|Trassi dalla tasca un fazzoletto e lo stesi su quel misero volto orribilmente sfigurato.|Trassi dalla tasca un fazzoletto e lo stesi su quel misero volto orribilmente sfigurato.
mattiapascal_05_pirandello_f000403|Nessuno me ne seppe grado: avevo tolto il meglio dello spettacolo.|Nessuno me ne seppe grado: avevo tolto il meglio dello spettacolo.
mattiapascal_05_pirandello_f000404|Scappai via; ritornai a Nizza per partirne quel giorno stesso.|Scappai via; ritornai a Nizza per partirne quel giorno stesso.
mattiapascal_05_pirandello_f000405|Avevo con me circa ottanta due mila lire.|Avevo con me circa ottanta due mila lire.
mattiapascal_05_pirandello_f000406|Tutto potevo immaginare, tranne che, nella sera di quello stesso giorno, dovesse accadere anche a me qualcosa di simile.|Tutto potevo immaginare, tranne che, nella sera di quello stesso giorno, dovesse accadere anche a me qualcosa di simile.
mattiapascal_06_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Settimo Cambio Treno.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Settimo Cambio Treno.
mattiapascal_06_pirandello_f000002|Pensavo: «Riscatterò la Stìa, e mi ritirerò là, in campagna, a fare il mugnajo.|Pensavo: Riscatterò la Stìa, e mi ritirerò là, in campagna, a fare il mugnajo.
mattiapascal_06_pirandello_f000003|Si sta meglio vicini alla terra;|Si sta meglio vicini alla terra;
mattiapascal_06_pirandello_f000004|e – sotto – fors'anche meglio.|e - sotto - fors'anche meglio.
mattiapascal_06_pirandello_f000005|«Ogni mestiere, in fondo, ha qualche sua consolazione.|Ogni mestiere, in fondo, ha qualche sua consolazione.
mattiapascal_06_pirandello_f000006|Ne ha finanche quello del becchino.|Ne ha finanche quello del becchino.
mattiapascal_06_pirandello_f000007|Il mugnajo può consolarsi col frastuono delle macine e con lo spolvero che vola per aria e lo veste di farina.|Il mugnajo può consolarsi col frastuono delle macine e con lo spolvero che vola per aria e lo veste di farina.
mattiapascal_06_pirandello_f000008|«Son sicuro che, per ora, non si rompe nemmeno un sacco, là, nel molino.|Son sicuro che, per ora, non si rompe nemmeno un sacco, là, nel molino.
mattiapascal_06_pirandello_f000009|Ma appena lo riavrò io: — «Signor Mattia, la nottola del palo! Signor Mattia, s'è rotta la bronzina! Signor Mattia|Ma appena lo riavrò io: - Signor Mattia, la nottola del palo! Signor Mattia, s'è rotta la bronzina! Signor Mattia
mattiapascal_06_pirandello_f000010|i denti del lubecchio! «Come quando c'era la buon'anima della mamma, e Malagna amministrava.|i denti del lubecchio! Come quando c'era la buon'anima della mamma, e Malagna amministrava.
mattiapascal_06_pirandello_f000011|«E mentr'io attenderò al molino, il fattore mi ruberà i frutti della campagna;|E mentr'io attenderò al molino, il fattore mi ruberà i frutti della campagna;
mattiapascal_06_pirandello_f000012|e se mi porrò invece a badare a questa, il mugnajo mi ruberà la molenda.|e se mi porrò invece a badare a questa, il mugnajo mi ruberà la molenda.
mattiapascal_06_pirandello_f000013|E di qua il mugnajo e di là il fattore faranno l'altalena, e io nel mezzo a godere.|E di qua il mugnajo e di là il fattore faranno l'altalena, e io nel mezzo a godere.
mattiapascal_06_pirandello_f000014|«Sarebbe forse meglio che cavassi dalla veneranda cassapanca di mia suocera uno dei vecchi abiti di Francesco Antonio Pescatore|Sarebbe forse meglio che cavassi dalla veneranda cassapanca di mia suocera uno dei vecchi abiti di Francesco Antonio Pescatore
mattiapascal_06_pirandello_f000015|che la vedova custodisce con la canfora e col pepe come sante reliquie,|che la vedova custodisce con la canfora e col pepe come sante reliquie,
mattiapascal_06_pirandello_f000016|e ne vestissi Marianna Dondi e mandassi lei a fare il mugnajo e a star sopra al fattore.|e ne vestissi Marianna Dondi e mandassi lei a fare il mugnajo e a star sopra al fattore.
mattiapascal_06_pirandello_f000017|«L'aria di campagna farebbe certamente bene a mia moglie.|L'aria di campagna farebbe certamente bene a mia moglie.
mattiapascal_06_pirandello_f000018|Forse a qualche albero cadranno le foglie, vedendola;|Forse a qualche albero cadranno le foglie, vedendola;
mattiapascal_06_pirandello_f000019|gli uccelletti ammutoliranno;|gli uccelletti ammutoliranno;
mattiapascal_06_pirandello_f000020|speriamo che non secchi la sorgiva.|speriamo che non secchi la sorgiva.
mattiapascal_06_pirandello_f000021|E io rimarrò bibliotecario, solo soletto, a Santa Maria Liberale.|E io rimarrò bibliotecario, solo soletto, a Santa Maria Liberale.
mattiapascal_06_pirandello_f000022|» Così pensavo, e il treno intanto correva.| Così pensavo, e il treno intanto correva.
mattiapascal_06_pirandello_f000023|Non potevo chiudere gli occhi, ché subito m'appariva con terribile precisione il cadavere di quel giovinetto|Non potevo chiudere gli occhi, ché subito m'appariva con terribile precisione il cadavere di quel giovinetto
mattiapascal_06_pirandello_f000024|là, nel viale, piccolo e composto sotto i grandi alberi immobili nella fresca mattina.|là, nel viale, piccolo e composto sotto i grandi alberi immobili nella fresca mattina.
mattiapascal_06_pirandello_f000025|Dovevo perciò consolarmi così, con un altro incubo, non tanto sanguinoso, almeno materialmente: quello di mia suocera e di mia moglie.|Dovevo perciò consolarmi così, con un altro incubo, non tanto sanguinoso, almeno materialmente: quello di mia suocera e di mia moglie.
mattiapascal_06_pirandello_f000026|E godevo nel rappresentarmi la scena dell'arrivo, dopo quei tredici giorni di scomparsa misteriosa.|E godevo nel rappresentarmi la scena dell'arrivo, dopo quei tredici giorni di scomparsa misteriosa.
mattiapascal_06_pirandello_f000027|Ero certo (mi pareva di vederle!), che avrebbero affettato entrambe, al mio entrare, la più sdegnosa indifferenza.|Ero certo mi pareva di vederle!, che avrebbero affettato entrambe, al mio entrare, la più sdegnosa indifferenza.
mattiapascal_06_pirandello_f000028|Appena un'occhiata, come per dire: «To', qua di nuovo?|Appena un'occhiata, come per dire: To', qua di nuovo?
mattiapascal_06_pirandello_f000029|Non t'eri rotto l'osso del collo?|Non t'eri rotto l'osso del collo?
mattiapascal_06_pirandello_f000030|» Zitte loro, zitto io.| Zitte loro, zitto io.
mattiapascal_06_pirandello_f000031|Ma poco dopo, senza dubbio, la vedova Pescatore avrebbe cominciato a sputar bile, rifacendosi dall'impiego che forse avevo perduto.|Ma poco dopo, senza dubbio, la vedova Pescatore avrebbe cominciato a sputar bile, rifacendosi dall'impiego che forse avevo perduto.
mattiapascal_06_pirandello_f000032|M'ero infatti portata via la chiave della biblioteca: alla notizia del mia sparizione|M'ero infatti portata via la chiave della biblioteca: alla notizia del mia sparizione
mattiapascal_06_pirandello_f000033|avevano dovuto certo scassinare la porta, per ordine della questura: e, non trovandomi là entro|avevano dovuto certo scassinare la porta, per ordine della questura: e, non trovandomi là entro
mattiapascal_06_pirandello_f000034|morto, né avendosi d'altra parte tracce o notizie di me, quelli del Municipio avevano forse aspettato|morto, né avendosi d'altra parte tracce o notizie di me, quelli del Municipio avevano forse aspettato
mattiapascal_06_pirandello_f000035|tre, quattro, cinque giorni, una settimana, il mio ritorno;|tre, quattro, cinque giorni, una settimana, il mio ritorno;
mattiapascal_06_pirandello_f000036|poi avevano dato a qualche altro sfaccendato il mio posto.|poi avevano dato a qualche altro sfaccendato il mio posto.
mattiapascal_06_pirandello_f000037|Dunque, che stavo a far lì, seduto?|Dunque, che stavo a far lì, seduto?
mattiapascal_06_pirandello_f000038|M'ero buttato di nuovo, da me, in mezzo a una strada?|M'ero buttato di nuovo, da me, in mezzo a una strada?
mattiapascal_06_pirandello_f000039|Ci stéssi! Due povere donne non potevano aver l'obbligo di mantenere un fannullone|Ci stéssi! Due povere donne non potevano aver l'obbligo di mantenere un fannullone
mattiapascal_06_pirandello_f000040|un pezzaccio da galera, che scappava via così, chi sa per quali altre prodezze, eccetera, eccetera. Io, zitto.|un pezzaccio da galera, che scappava via così, chi sa per quali altre prodezze, eccetera, eccetera. Io, zitto.
mattiapascal_06_pirandello_f000041|Man mano, la bile di Marianna Dondi cresceva, per quel mio silenzio dispettoso|Man mano, la bile di Marianna Dondi cresceva, per quel mio silenzio dispettoso
mattiapascal_06_pirandello_f000042|cresceva, ribolliva, scoppiava: – e io, ancora lì, zitto! A un certo punto|cresceva, ribolliva, scoppiava: - e io, ancora lì, zitto! A un certo punto
mattiapascal_06_pirandello_f000043|avrei cavato dalla tasca in petto il portafogli e mi sarei messo a contare sul tavolino i miei biglietti da mille: là, là, là e là...|avrei cavato dalla tasca in petto il portafogli e mi sarei messo a contare sul tavolino i miei biglietti da mille: là, là, là e là...
mattiapascal_06_pirandello_f000044|Spalancamento d'occhi e di bocca di Marianna Dondi e anche di mia moglie.|Spalancamento d'occhi e di bocca di Marianna Dondi e anche di mia moglie.
mattiapascal_06_pirandello_f000045|Poi: «— Dove li hai rubati?|Poi: - Dove li hai rubati?
mattiapascal_06_pirandello_f000046|settantasette, settantotto, settantanove, ottanta, ottantuno;|settantasette, settantotto, settantanove, ottanta, ottantuno;
mattiapascal_06_pirandello_f000047|cinquecento, seicento, settecento;|cinquecento, seicento, settecento;
mattiapascal_06_pirandello_f000048|dieci, venti, venticinque;|dieci, venti, venticinque;
mattiapascal_06_pirandello_f000049|ottantunmila settecento venticinque lire, e quaranta centesimi in tasca.|ottantunmila settecento venticinque lire, e quaranta centesimi in tasca.
mattiapascal_06_pirandello_f000050|Quietamente avrei raccolti i biglietti, li avrei rimessi nel portafogli, e mi sarei alzato.|Quietamente avrei raccolti i biglietti, li avrei rimessi nel portafogli, e mi sarei alzato.
mattiapascal_06_pirandello_f000051|«— Non mi volete più in casa?|- Non mi volete più in casa?
mattiapascal_06_pirandello_f000052|Ebbene, tante grazie! Me ne vado, e salute a voi.|Ebbene, tante grazie! Me ne vado, e salute a voi.
mattiapascal_06_pirandello_f000053|» Ridevo, così pensando.| Ridevo, così pensando.
mattiapascal_06_pirandello_f000054|I miei compagni di viaggio mi osservavano e sorridevano anch'essi, sotto sotto.|I miei compagni di viaggio mi osservavano e sorridevano anch'essi, sotto sotto.
mattiapascal_06_pirandello_f000055|Allora, per assumere un contegno più serio, mi mettevo a pensare a' miei creditori, fra cui avrei dovuto dividere quei biglietti di banca.|Allora, per assumere un contegno più serio, mi mettevo a pensare a' miei creditori, fra cui avrei dovuto dividere quei biglietti di banca.
mattiapascal_06_pirandello_f000056|Nasconderli, non potevo.|Nasconderli, non potevo.
mattiapascal_06_pirandello_f000057|E poi, a che m'avrebbero servito, nascosti?|E poi, a che m'avrebbero servito, nascosti?
mattiapascal_06_pirandello_f000058|Godermeli, certo quei cani non me li avrebbero lasciati godere.|Godermeli, certo quei cani non me li avrebbero lasciati godere.
mattiapascal_06_pirandello_f000059|Per rifarsi lì, col molino della Stìa e coi frutti del podere, dovendo pagare anche l'amministrazione|Per rifarsi lì, col molino della Stìa e coi frutti del podere, dovendo pagare anche l'amministrazione
mattiapascal_06_pirandello_f000060|che si mangiava poi tutto a due palmenti (a due palmenti era anche il molino), chi sa quant'anni ancora avrebbero dovuto aspettare.|che si mangiava poi tutto a due palmenti a due palmenti era anche il molino, chi sa quant'anni ancora avrebbero dovuto aspettare.
mattiapascal_06_pirandello_f000061|Ora, forse, con un'offerta in contanti, me li sarei levati d'addosso a buon patto.|Ora, forse, con un'offerta in contanti, me li sarei levati d'addosso a buon patto.
mattiapascal_06_pirandello_f000062|E facevo il conto:|E facevo il conto:
mattiapascal_06_pirandello_f000063|«Tanto a quella mosca canina del Recchioni;|Tanto a quella mosca canina del Recchioni;
mattiapascal_06_pirandello_f000064|tanto, a Filippo Brìsigo, e mi piacerebbe che gli servissero per pagarsi il funerale: non caverebbe più sangue ai poverelli!;|tanto, a Filippo Brìsigo, e mi piacerebbe che gli servissero per pagarsi il funerale: non caverebbe più sangue ai poverelli!;
mattiapascal_06_pirandello_f000065|tanto a Cichin Lunaro, il torinese;|tanto a Cichin Lunaro, il torinese;
mattiapascal_06_pirandello_f000066|tanto, alla vedova Lippani...|tanto, alla vedova Lippani...
mattiapascal_06_pirandello_f000067|Chi altro c'è?|Chi altro c'è?
mattiapascal_06_pirandello_f000068|Ih! hai voglia! Il Della Piana, Bossi e Margottini...|Ih! hai voglia! Il Della Piana, Bossi e Margottini...
mattiapascal_06_pirandello_f000069|Ecco tutta la mia vincita!» Avevo vinto per loro a Montecarlo, in fin dei conti! Che.|Ecco tutta la mia vincita! Avevo vinto per loro a Montecarlo, in fin dei conti! Che.
mattiapascal_06_pirandello_f000070|rabbia per que' due giorni di perdita! Sarei stato ricco di nuovo...|rabbia per que' due giorni di perdita! Sarei stato ricco di nuovo...
mattiapascal_06_pirandello_f000071|ricco! Mettevo ora certi sospironi, che facevano voltare più dei sorrisi di prima i miei compagni di viaggio.|ricco! Mettevo ora certi sospironi, che facevano voltare più dei sorrisi di prima i miei compagni di viaggio.
mattiapascal_06_pirandello_f000072|Ma io non trovavo requie.|Ma io non trovavo requie.
mattiapascal_06_pirandello_f000073|Era imminente la sera: l'aria pareva di cenere;|Era imminente la sera: l'aria pareva di cenere;
mattiapascal_06_pirandello_f000074|e l'uggia del viaggio era insopportabile.|e l'uggia del viaggio era insopportabile.
mattiapascal_06_pirandello_f000075|Alla prima stazione italiana comprai un giornale con la speranza che mi facesse addormentare.|Alla prima stazione italiana comprai un giornale con la speranza che mi facesse addormentare.
mattiapascal_06_pirandello_f000076|Lo spiegai, e al lume del lampadino elettrico, mi misi a leggere.|Lo spiegai, e al lume del lampadino elettrico, mi misi a leggere.
mattiapascal_06_pirandello_f000077|Ebbi così la consolazione di sapere che il castello di Valençay, messo all'incanto per la seconda volta|Ebbi così la consolazione di sapere che il castello di Valencay, messo all'incanto per la seconda volta
mattiapascal_06_pirandello_f000078|era stato aggiudicato al signor conte De Castellane per la somma di due milioni e trecentomila franchi.|era stato aggiudicato al signor conte De Castellane per la somma di due milioni e trecentomila franchi.
mattiapascal_06_pirandello_f000079|La tenuta attorno al castello era di duemila ottocento ettari: la più vasta di Francia.|La tenuta attorno al castello era di duemila ottocento ettari: la più vasta di Francia.
mattiapascal_06_pirandello_f000080|«Press'a poco, come la Stìa...|Press'a poco, come la Stìa...
mattiapascal_06_pirandello_f000081|Lessi che l'imperatore di Germania aveva ricevuto a Potsdam, a mezzodì, l'ambasciata marocchina|Lessi che l'imperatore di Germania aveva ricevuto a Potsdam, a mezzodì, l'ambasciata marocchina
mattiapascal_06_pirandello_f000082|e che al ricevimento aveva assistito il segretario di Stato, barone de Richtofen.|e che al ricevimento aveva assistito il segretario di Stato, barone de Richtofen.
mattiapascal_06_pirandello_f000083|La missione, presentata poi all'imperatrice, era stata trattenuta a colazione, e chi sa come aveva divorato!|La missione, presentata poi all'imperatrice, era stata trattenuta a colazione, e chi sa come aveva divorato!
mattiapascal_06_pirandello_f000084|Anche lo Zar e la Zarina di Russia avevano ricevuto a Peterhof una speciale missione tibetana,|Anche lo Zar e la Zarina di Russia avevano ricevuto a Peterhof una speciale missione tibetana,
mattiapascal_06_pirandello_f000085|che aveva presentato alle LL.MM. i doni del Lama.|che aveva presentato alle LL.MM. i doni del Lama.
mattiapascal_06_pirandello_f000086|«I doni del Lama? » domandai a me stesso, chiudendo gli occhi, cogitabondo.|I doni del Lama?  domandai a me stesso, chiudendo gli occhi, cogitabondo.
mattiapascal_06_pirandello_f000087|«Che saranno? » Papaveri: perché mi addormentai.|Che saranno?  Papaveri: perché mi addormentai.
mattiapascal_06_pirandello_f000088|Ma papaveri di scarsa virtù: mi ridestai, infatti, presto, a un urto del treno che si fermava a un'altra stazione.|Ma papaveri di scarsa virtù: mi ridestai, infatti, presto, a un urto del treno che si fermava a un'altra stazione.
mattiapascal_06_pirandello_f000089|Guardai l'orologio: eran le otto e un quarto.|Guardai l'orologio: eran le otto e un quarto.
mattiapascal_06_pirandello_f000090|Fra un'oretta, dunque, sarei arrivato.|Fra un'oretta, dunque, sarei arrivato.
mattiapascal_06_pirandello_f000091|Avevo il giornale ancora in mano e lo voltai per cercare in seconda pagina qualche dono migliore di quelli del Lama.|Avevo il giornale ancora in mano e lo voltai per cercare in seconda pagina qualche dono migliore di quelli del Lama.
mattiapascal_06_pirandello_f000092|Gli occhi mi andarono su un SUICIDIO così, in grassetto.|Gli occhi mi andarono su un SUICIDIO così, in grassetto.
mattiapascal_06_pirandello_f000093|Pensai subito che potesse esser quello di Montecarlo, e m'affrettai a leggere.|Pensai subito che potesse esser quello di Montecarlo, e m'affrettai a leggere.
mattiapascal_06_pirandello_f000094|Ma mi arrestai sorpreso al primo rigo, stampato di minutissimo carattere: «“Ci telegrafano da Miragno”».|Ma mi arrestai sorpreso al primo rigo, stampato di minutissimo carattere: Ci telegrafano da Miragno.
mattiapascal_06_pirandello_f000095|«Miragno? Chi si sarà suicidato nel mio paese?|Miragno? Chi si sarà suicidato nel mio paese?
mattiapascal_06_pirandello_f000096|» Lessi: «“Jeri, sabato ventotto, è stato rinvenuto nella gora d'un mulino un cadavere in istato d'avanzata putrefazione”...| Lessi: Jeri, sabato ventotto, è stato rinvenuto nella gora d'un mulino un cadavere in istato d'avanzata putrefazione...
mattiapascal_06_pirandello_f000097|A un tratto, la vista mi s'annebbiò, sembrandomi di scorgere nel rigo seguente il nome del mio podere;|A un tratto, la vista mi s'annebbiò, sembrandomi di scorgere nel rigo seguente il nome del mio podere;
mattiapascal_06_pirandello_f000098|e, siccome stentavo a leggere, con un occhio solo, quella stampa minuscola, m'alzai in piedi, per essere più vicino al lume. putrefazione.|e, siccome stentavo a leggere, con un occhio solo, quella stampa minuscola, m'alzai in piedi, per essere più vicino al lume. putrefazione.
mattiapascal_06_pirandello_f000099|Il mulino è sito in un podere     detto della Stìa, a circa due chilometri dalla     nostra città.|Il mulino è sito in un podere     detto della Stìa, a circa due chilometri dalla     nostra città.
mattiapascal_06_pirandello_f000100|Accorsa sopra luogo l'autorità.|Accorsa sopra luogo l'autorità.
mattiapascal_06_pirandello_f000101|giudiziaria con altra gente, il cadavere fu     estratto dalla gora per le constatazioni di     legge e piantonato.|giudiziaria con altra gente, il cadavere fu     estratto dalla gora per le constatazioni di     legge e piantonato.
mattiapascal_06_pirandello_f000102|Più tardi esso fu riconosciuto per quello del nostro...|Più tardi esso fu riconosciuto per quello del nostro...
mattiapascal_06_pirandello_f000103|Il cuore mi balzò in gola e guardai, spiritato, i miei compagni di viaggio che dormivano tutti.|Il cuore mi balzò in gola e guardai, spiritato, i miei compagni di viaggio che dormivano tutti.
mattiapascal_06_pirandello_f000104|«Accorsa sopra luogo... estratto dalla gora... e piantonato...|Accorsa sopra luogo... estratto dalla gora... e piantonato...
mattiapascal_06_pirandello_f000105|fu riconosciuto per quello del     nostro bibliotecario...|fu riconosciuto per quello del     nostro bibliotecario...
mattiapascal_06_pirandello_f000106|«Io?» «Accorsa sopra luogo... più tardi...|Io? Accorsa sopra luogo... più tardi...
mattiapascal_06_pirandello_f000107|per quel    lo del nostro bibliotecario Mattia Pascal,     scomparso da parecchi giorni.|per quel    lo del nostro bibliotecario Mattia Pascal,     scomparso da parecchi giorni.
mattiapascal_06_pirandello_f000108|Causa del suicidio: dissesti finanziarii.|Causa del suicidio: dissesti finanziarii.
mattiapascal_06_pirandello_f000109|«Io? Scomparso... riconosciuto... Mattia Pascal...»|Io? Scomparso... riconosciuto... Mattia Pascal...
mattiapascal_06_pirandello_f000110|Rilessi con piglio feroce e col cuore in tumulto non so più quante volte quelle poche righe.|Rilessi con piglio feroce e col cuore in tumulto non so più quante volte quelle poche righe.
mattiapascal_06_pirandello_f000111|Nel primo impeto, tutte le mie energie vitali insorsero violentemente per protestare: come se quella notizia|Nel primo impeto, tutte le mie energie vitali insorsero violentemente per protestare: come se quella notizia
mattiapascal_06_pirandello_f000112|così irritante nella sua impassibile laconicità, potesse anche per me esser vera.|così irritante nella sua impassibile laconicità, potesse anche per me esser vera.
mattiapascal_06_pirandello_f000113|Ma, se non per me, era pur vera per gli altri;|Ma, se non per me, era pur vera per gli altri;
mattiapascal_06_pirandello_f000114|e la certezza che questi altri avevano fin da jeri della mia morte era su me come una insopportabile sopraffazione|e la certezza che questi altri avevano fin da jeri della mia morte era su me come una insopportabile sopraffazione
mattiapascal_06_pirandello_f000115|permanente, schiacciante...|permanente, schiacciante...
mattiapascal_06_pirandello_f000116|Guardai di nuovo i miei compagni di viaggio e, quasi anch'essi, lì, sotto gli occhi miei, riposassero in quella certezza|Guardai di nuovo i miei compagni di viaggio e, quasi anch'essi, lì, sotto gli occhi miei, riposassero in quella certezza
mattiapascal_06_pirandello_f000117|ebbi la tentazione di scuoterli da quei loro scomodi e penosi atteggiamenti, scuoterli, svegliarli, per gridar loro che non era vero.|ebbi la tentazione di scuoterli da quei loro scomodi e penosi atteggiamenti, scuoterli, svegliarli, per gridar loro che non era vero.
mattiapascal_06_pirandello_f000118|«Possibile? E rilessi ancora una volta la notizia balorditoja. Non potevo più stare alle mosse.|Possibile? E rilessi ancora una volta la notizia balorditoja. Non potevo più stare alle mosse.
mattiapascal_06_pirandello_f000119|Avrei voluto che il treno s'arrestasse, avrei voluto che corresse a precipizio: quel suo andar monotono|Avrei voluto che il treno s'arrestasse, avrei voluto che corresse a precipizio: quel suo andar monotono
mattiapascal_06_pirandello_f000120|da automa duro, sordo e greve, mi faceva crescere di punto in punto l'orgasmo.|da automa duro, sordo e greve, mi faceva crescere di punto in punto l'orgasmo.
mattiapascal_06_pirandello_f000121|Aprivo e chiudevo le mani continuamente, affondandomi le unghie nelle palme; spiegazzavo il giornale;|Aprivo e chiudevo le mani continuamente, affondandomi le unghie nelle palme; spiegazzavo il giornale;
mattiapascal_06_pirandello_f000122|lo rimettevo in sesto per rilegger la notizia che già sapevo a memoria, parola per parola.|lo rimettevo in sesto per rilegger la notizia che già sapevo a memoria, parola per parola.
mattiapascal_06_pirandello_f000123|«Riconosciuto! Ma è possibile che m'abbiano riconosciuto?|Riconosciuto! Ma è possibile che m'abbiano riconosciuto?
mattiapascal_06_pirandello_f000124|“In istato d'avanzata putrefazione”... puàh!» Mi vidi per un momento,|In istato d'avanzata putrefazione... puàh! Mi vidi per un momento,
mattiapascal_06_pirandello_f000125|lì nell'acqua verdastra della gora, fradicio, gonfio, orribile, galleggiante...|lì nell'acqua verdastra della gora, fradicio, gonfio, orribile, galleggiante...
mattiapascal_06_pirandello_f000126|Nel raccapriccio istintivo, incrociai le braccia sul petto e con le mani mi palpai, mi strinsi: «Io, no;|Nel raccapriccio istintivo, incrociai le braccia sul petto e con le mani mi palpai, mi strinsi: Io, no;
mattiapascal_06_pirandello_f000127|io, no... Chi sarà stato? mi somigliava, certo...|io, no... Chi sarà stato? mi somigliava, certo...
mattiapascal_06_pirandello_f000128|Avrà forse avuto la barba anche lui, come la mia...|Avrà forse avuto la barba anche lui, come la mia...
mattiapascal_06_pirandello_f000129|la mia stessa corporatura...|la mia stessa corporatura...
mattiapascal_06_pirandello_f000130|E m'han riconosciuto!... Scomparso da parecchi giorni...|E m'han riconosciuto!... Scomparso da parecchi giorni...
mattiapascal_06_pirandello_f000131|Eh già! Ma io vorrei sapere, vorrei sapere chi si è affrettato così a riconoscermi.|Eh già! Ma io vorrei sapere, vorrei sapere chi si è affrettato così a riconoscermi.
mattiapascal_06_pirandello_f000132|Possibile che quel disgraziato là fosse tanto simile a me?|Possibile che quel disgraziato là fosse tanto simile a me?
mattiapascal_06_pirandello_f000133|vestito come me? tal quale?|vestito come me? tal quale?
mattiapascal_06_pirandello_f000134|Ma sarà stata lei, forse, lei, Marianna Dondi, la vedova Pescatore: oh! m'ha pescato subito|Ma sarà stata lei, forse, lei, Marianna Dondi, la vedova Pescatore: oh! m'ha pescato subito
mattiapascal_06_pirandello_f000135|m'ha riconosciuto subito! Non le sarà parso vero|m'ha riconosciuto subito! Non le sarà parso vero
mattiapascal_06_pirandello_f000136|figuriamoci! – È lui, è lui! mio genero! ah, povero Mattia! ah, povero figliuolo mio! – E si sarà messa a piangere fors'anche;|figuriamoci! - È lui, è lui! mio genero! ah, povero Mattia! ah, povero figliuolo mio! - E si sarà messa a piangere fors'anche;
mattiapascal_06_pirandello_f000137|si sarà pure inginocchiata accanto al cadavere di quel poveretto, che non ha potuto tirarle un calcio e gridarle:|si sarà pure inginocchiata accanto al cadavere di quel poveretto, che non ha potuto tirarle un calcio e gridarle:
mattiapascal_06_pirandello_f000138|– Ma lèvati di qua: non ti conosco —» Fremevo.|- Ma lèvati di qua: non ti conosco - Fremevo.
mattiapascal_06_pirandello_f000139|Finalmente il treno s'arrestò a un'altra stazione.|Finalmente il treno s'arrestò a un'altra stazione.
mattiapascal_06_pirandello_f000140|Aprii lo sportello e mi precipitai giù, con l'idea confusa di fare qualche cosa|Aprii lo sportello e mi precipitai giù, con l'idea confusa di fare qualche cosa
