tschun_01_f000001|Tschun war ein schmutziger kleiner chinesischer Junge.|Tschun war ein schmutziger kleiner chinesischer Junge.
tschun_05_f000098|auf deren anderer Seite das Gesandtenhaus stand, in dem Kuang yin diente.|auf deren anderer Seite das Gesandtenhaus stand, in dem Kuang yin diente.
tschun_05_f000099|Aber vor dem Hause gewahrte er eine Gruppe Menschen.|Aber vor dem Hause gewahrte er eine Gruppe Menschen.
tschun_05_f000100|Die Taitai, deren Schleppe er getragen, stand mit einigen anderen Damen und Herren auf den Stufen, die zur Allee herabführten;|Die Taitai, deren Schleppe er getragen, stand mit einigen anderen Damen und Herren auf den Stufen, die zur Allee herabführten;
tschun_05_f000101|sie schienen in eifriger Verhandlung mit einer ganzen Schar chinesischer Kuriositätenverkäufer, die ihre blauen Bündel vor ihnen aufgemacht hatten und nun gestickte Decken und alte Mandarinenröcke ausbreiteten und Elfenbeinschnitzereien,|sie schienen in eifriger Verhandlung mit einer ganzen Schar chinesischer Kuriositätenverkäufer, die ihre blauen Bündel vor ihnen aufgemacht hatten und nun gestickte Decken und alte Mandarinenröcke ausbreiteten und Elfenbeinschnitzereien,
tschun_05_f000102|Götzenfiguren und Cloisonné-Vasen anpriesen.|Götzenfiguren und Cloisonne-Vasen anpriesen.
tschun_05_f000103|Tschun war in seiner großen Empörung in die Gesandtschaft gelaufen, ohne viel nachzudenken, was er eigentlich dort finden würde.|Tschun war in seiner großen Empörung in die Gesandtschaft gelaufen, ohne viel nachzudenken, was er eigentlich dort finden würde.
tschun_05_f000104|Die vielen Menschen verblüfften ihn, er stand unschlüssig da, überlegend, ob er sich nicht bis zu einem günstigeren Augenblick unbemerkt zurückziehen sollte.|Die vielen Menschen verblüfften ihn, er stand unschlüssig da, überlegend, ob er sich nicht bis zu einem günstigeren Augenblick unbemerkt zurückziehen sollte.
tschun_05_f000105|Aber da sprang schnuppernd und bellend ein kleiner Hund an ihm empor, in dem er gleich denjenigen erkannte, den der weiße Herr auf dem Jahrmarkt gekauft hatte.|Aber da sprang schnuppernd und bellend ein kleiner Hund an ihm empor, in dem er gleich denjenigen erkannte, den der weiße Herr auf dem Jahrmarkt gekauft hatte.
tschun_05_f000106|Aller Augen richteten sich nun auf ihn.|Aller Augen richteten sich nun auf ihn.
tschun_05_f000107|Das ist ja mein kleiner Page Frühlingswind! rief die Taitai.|Das ist ja mein kleiner Page Frühlingswind! rief die Taitai.
tschun_05_f000108|Einer der Herren, der etwas Chinesisch konnte, holte Tschun heran, und es begann ein Kreuzverhör, wo er gewesen,|Einer der Herren, der etwas Chinesisch konnte, holte Tschun heran, und es begann ein Kreuzverhör, wo er gewesen,
tschun_05_f000109|wie es seiner Mutter nun ginge, und ob er jetzt Boy in der Gesandtschaft werden wolle.|wie es seiner Mutter nun ginge, und ob er jetzt Boy in der Gesandtschaft werden wolle.
tschun_05_f000110|Tschun hätte der Taitai am liebsten alles wahrheitsgetreu erzählt und sie gebeten, ihn nun bei sich zu behalten,|Tschun hätte der Taitai am liebsten alles wahrheitsgetreu erzählt und sie gebeten, ihn nun bei sich zu behalten,
tschun_05_f000111|aber vor all den Menschen konnte er doch nicht den Schimpf erwähnen, der ihm soeben bei Yang hung angetan worden.|aber vor all den Menschen konnte er doch nicht den Schimpf erwähnen, der ihm soeben bei Yang hung angetan worden.
tschun_05_f000112|Während er noch nach Worten suchte, gewahrte er Kuang yin, der von den Dienstbotenquartieren eilig herkam und ihm,|Während er noch nach Worten suchte, gewahrte er Kuang yin, der von den Dienstbotenquartieren eilig herkam und ihm,
tschun_05_f000113|ohne daß die Herrschaften es merkten, winkte und allerhand Zeichen machte.|ohne daß die Herrschaften es merkten, winkte und allerhand Zeichen machte.
tschun_05_f000114|Erschreckt und in plötzlicher Angst vor einer etwaigen erzwungenen Rückkehr stammelte er, der Mutter ginge es wieder gut,|Erschreckt und in plötzlicher Angst vor einer etwaigen erzwungenen Rückkehr stammelte er, der Mutter ginge es wieder gut,
tschun_05_f000115|und er sei nur gekommen, dem Onkel Kuang yin einen Besuch zu machen.|und er sei nur gekommen, dem Onkel Kuang yin einen Besuch zu machen.
tschun_05_f000116|Aber davon wollte die Taitai nichts wissen. Tschun müsse dableiben, sagte sie, sie brauche ihn als kleinen Diener, und zwar sofort.|Aber davon wollte die Taitai nichts wissen. Tschun müsse dableiben, sagte sie, sie brauche ihn als kleinen Diener, und zwar sofort.
tschun_05_f000117|Es war plötzlich, als könne die schöne, fremde Dame nicht mehr auskommen ohne den kleinen chinesischen Jungen.|Es war plötzlich, als könne die schöne, fremde Dame nicht mehr auskommen ohne den kleinen chinesischen Jungen.
tschun_05_f000118|Sie wollte ihn mit dem gleichen Ungestüm haben, wie sie vor einer halben Stunde den kleinen Goldbronzebuddha begehrt hatte,|Sie wollte ihn mit dem gleichen Ungestüm haben, wie sie vor einer halben Stunde den kleinen Goldbronzebuddha begehrt hatte,
tschun_05_f000119|der jetzt unbeachtet am Boden stand und den der Händler langsam wieder einwickelte und in einem seiner Ärmel verbarg.|der jetzt unbeachtet am Boden stand und den der Händler langsam wieder einwickelte und in einem seiner Ärmel verbarg.
tschun_05_f000120|Er wußte ja ganz genau, daß heute kein Geschäft mehr gemacht werden würde, denn der so zur unrechten Stunde hereingeschneite Tschun hatte für den Augenblick alle anderen Kuriositäten verdrängt.|Er wußte ja ganz genau, daß heute kein Geschäft mehr gemacht werden würde, denn der so zur unrechten Stunde hereingeschneite Tschun hatte für den Augenblick alle anderen Kuriositäten verdrängt.
tschun_05_f000121|Er war das Götzchen der Stunde. Die Taitai beauftragte Madame Angèle, die auch dastand und die gekauften Seidenstücke zusammenfaltete, für Tschun zu sorgen;|Er war das Götzchen der Stunde. Die Taitai beauftragte Madame Angele, die auch dastand und die gekauften Seidenstücke zusammenfaltete, für Tschun zu sorgen;
tschun_05_f000122|er solle ein Zimmerchen in den Dienstbotenquartieren erhalten.|er solle ein Zimmerchen in den Dienstbotenquartieren erhalten.
tschun_05_f000123|Die Taitai wurde für eine Fremde sogar ganz schlau, denn sie verbot aufs strengste, Tschun etwa unter dem Vorwand,|Die Taitai wurde für eine Fremde sogar ganz schlau, denn sie verbot aufs strengste, Tschun etwa unter dem Vorwand,
tschun_05_f000124|nach Hause zu müssen, noch einmal fortzulassen, da er dann festgehalten werden könne.|nach Hause zu müssen, noch einmal fortzulassen, da er dann festgehalten werden könne.
tschun_05_f000125|Tschun war das sehr beruhigend. Er fühlte sich zum ersten Male in seinem Leben gegen die Seinigen von den Fremden beschützt.|Tschun war das sehr beruhigend. Er fühlte sich zum ersten Male in seinem Leben gegen die Seinigen von den Fremden beschützt.
tschun_05_f000126|Kuang yin verbeugte sich zu alledem nur zustimmend und sagte gar nichts von einem etwaigen Widerspruch der Mutter.|Kuang yin verbeugte sich zu alledem nur zustimmend und sagte gar nichts von einem etwaigen Widerspruch der Mutter.
tschun_05_f000127|Das schien Tschun sehr seltsam. Doch als die Taitai und die anderen Herrschaften dann zum Essen gegangen waren, erhielt er die Erklärung:|Das schien Tschun sehr seltsam. Doch als die Taitai und die anderen Herrschaften dann zum Essen gegangen waren, erhielt er die Erklärung:
tschun_05_f000128|drüben in Kuang yins Zimmer saßen nicht nur Yang hung, sondern auch die Mutter!|drüben in Kuang yins Zimmer saßen nicht nur Yang hung, sondern auch die Mutter!
tschun_05_f000129|Und Tschun erfuhr nun, daß gleich nach seiner Flucht die Kleinen Tschao-So, Kuo wey und Ying-ying bei ihrem kindlichen Spiel mit Mei hoas Bündel den vermißten Münzenstrang aus diesem hervorgezerrt hatten.|Und Tschun erfuhr nun, daß gleich nach seiner Flucht die Kleinen Tschao-So, Kuo wey und Ying-ying bei ihrem kindlichen Spiel mit Mei hoas Bündel den vermißten Münzenstrang aus diesem hervorgezerrt hatten.
tschun_05_f000130|Mei hoa hatte nicht leugnen können, und des für chinesische Augen ganz besonders schweren Vergehens überführt,|Mei hoa hatte nicht leugnen können, und des für chinesische Augen ganz besonders schweren Vergehens überführt,
tschun_05_f000131|die Familie des Mannes zugunsten der eigenen bestohlen zu haben, war sie, statt auf Besuch zu fahren,|die Familie des Mannes zugunsten der eigenen bestohlen zu haben, war sie, statt auf Besuch zu fahren,
tschun_05_f000132|von der alten Schwiegermutter gezüchtigt worden und lag nun eingesperrt in einer Kammer.|von der alten Schwiegermutter gezüchtigt worden und lag nun eingesperrt in einer Kammer.
tschun_05_f000133|In dem Karren aber, der Mei hoa beutebeladen zu frohem Ausflug führen sollte, war statt dessen Yang hung sofort zu Tschuns Mutter gefahren,|In dem Karren aber, der Mei hoa beutebeladen zu frohem Ausflug führen sollte, war statt dessen Yang hung sofort zu Tschuns Mutter gefahren,
tschun_05_f000134|in der Annahme, daß er zu ihr geflüchtet sein würde;|in der Annahme, daß er zu ihr geflüchtet sein würde;
tschun_05_f000135|als er ihn da nicht fand, war er zu Kuang yin gefahren und, in plötzlicher Angst um Tschuns Verbleib,|als er ihn da nicht fand, war er zu Kuang yin gefahren und, in plötzlicher Angst um Tschuns Verbleib,
tschun_05_f000136|hatte die Mutter sich entschlossen, ihn zu begleiten, so furchtbar ihr das Unternehmen auch erschien, den Schwager in einem Haus der Fremden aufzusuchen.|hatte die Mutter sich entschlossen, ihn zu begleiten, so furchtbar ihr das Unternehmen auch erschien, den Schwager in einem Haus der Fremden aufzusuchen.
tschun_05_f000137|Als sie Tschun nun wohlbehalten erblickte, wollte sie die Gelegenheit doch wenigstens erzieherisch ausnutzen und ihn ob der erlittenen Angst am Zopfe zerren.|Als sie Tschun nun wohlbehalten erblickte, wollte sie die Gelegenheit doch wenigstens erzieherisch ausnutzen und ihn ob der erlittenen Angst am Zopfe zerren.
tschun_05_f000138|Doch Kuang yin nahm die Sache in die Hand und wandte sich mit halbgemachter Entrüstung an Yang hung:|Doch Kuang yin nahm die Sache in die Hand und wandte sich mit halbgemachter Entrüstung an Yang hung:
tschun_05_f000139|Es ist wahrlich nicht Euer Verdienst, daß Tschun noch unter uns weilt, sagte er.|Es ist wahrlich nicht Euer Verdienst, daß Tschun noch unter uns weilt, sagte er.
tschun_05_f000140|Denkt der vielen Beispiele von Leuten, die bei geringerer Verdächtigung, um ihre Unschuld zu beweisen, Selbstmord begingen.|Denkt der vielen Beispiele von Leuten, die bei geringerer Verdächtigung, um ihre Unschuld zu beweisen, Selbstmord begingen.
tschun_05_f000141|Als Bruder von Tschuns verstorbenem Vater verlange ich eine Sühne.|Als Bruder von Tschuns verstorbenem Vater verlange ich eine Sühne.
tschun_05_f000142|Und Ihr könnt von Glück sagen, daß wir doch schließlich zu einer Sippe gehören, – Fremde würden Euch ob des Schimpfes sicher vor Gericht bringen.|Und Ihr könnt von Glück sagen, daß wir doch schließlich zu einer Sippe gehören, - Fremde würden Euch ob des Schimpfes sicher vor Gericht bringen.
tschun_05_f000143|Yang hung schien nicht abgeneigt, Tschuns heftigem Vertreter eine Genugtuung zu gewähren, und er sagte:|Yang hung schien nicht abgeneigt, Tschuns heftigem Vertreter eine Genugtuung zu gewähren, und er sagte:
tschun_05_f000144|Nach ihrem abscheulichen Benehmen wären wir ja eigentlich berechtigt, Mei hoa zu verstoßen.|Nach ihrem abscheulichen Benehmen wären wir ja eigentlich berechtigt, Mei hoa zu verstoßen.
tschun_05_f000145|Das weiß ich, unterbrach ihn Kuang yin, und selbst wenn ihr jetzt Schlimmes bei Euch zustieße und sie die Reise nach den neun Quellen antreten müßte,|Das weiß ich, unterbrach ihn Kuang yin, und selbst wenn ihr jetzt Schlimmes bei Euch zustieße und sie die Reise nach den neun Quellen antreten müßte,
tschun_05_f000146|würde Euch kein Gericht darob verurteilen, aber was hätten wir davon?|würde Euch kein Gericht darob verurteilen, aber was hätten wir davon?
tschun_05_f000147|Außerdem, sagte Yang hung bedächtig, müßte das sicher dazu führen, daß Mei hoas Eltern die Rückzahlung ihrer Mitgift verlangen würden.|Außerdem, sagte Yang hung bedächtig, müßte das sicher dazu führen, daß Mei hoas Eltern die Rückzahlung ihrer Mitgift verlangen würden.
tschun_05_f000148|Mei hoa und Tschun können aber unmöglich zusammen weiter bei Euch bleiben, erklärte Kuang yin, sie haben gegenseitig zu sehr das Gesicht voreinander verloren.|Mei hoa und Tschun können aber unmöglich zusammen weiter bei Euch bleiben, erklärte Kuang yin, sie haben gegenseitig zu sehr das Gesicht voreinander verloren.
tschun_05_f000149|Nein, das ginge freilich nicht, stimmte Yang hung eilig bei, in der Voraussicht endloser neuer Streitmöglichkeiten in seinem stürmischen Haushalt.|Nein, das ginge freilich nicht, stimmte Yang hung eilig bei, in der Voraussicht endloser neuer Streitmöglichkeiten in seinem stürmischen Haushalt.
tschun_05_f000150|Folglich muß ich für Tschun eine neue Stelle suchen, sagte Kuang yin und seufzte wie unter großer Sorgenlast,|Folglich muß ich für Tschun eine neue Stelle suchen, sagte Kuang yin und seufzte wie unter großer Sorgenlast,
tschun_05_f000151|und natürlich werde ich von jedem Meister gefragt werden, warum er denn nicht mehr bei Euch ist.|und natürlich werde ich von jedem Meister gefragt werden, warum er denn nicht mehr bei Euch ist.
tschun_05_f000152|Es war klar, daß die Sache vertuscht werden mußte. Und schließlich bildete der Münzstrang, durch den der ganze Zwischenfall entstanden,|Es war klar, daß die Sache vertuscht werden mußte. Und schließlich bildete der Münzstrang, durch den der ganze Zwischenfall entstanden,
tschun_05_f000153|den Preis, den Yang hung dafür zahlen mußte, daß Tschun sein Unterkommen bei ihm plötzlich verloren hatte,|den Preis, den Yang hung dafür zahlen mußte, daß Tschun sein Unterkommen bei ihm plötzlich verloren hatte,
tschun_05_f000154|wogegen sich Kuang yin verpflichtete, daß die Umstände, unter denen dies geschehen, seinerseits verschwiegen bleiben sollten.|wogegen sich Kuang yin verpflichtete, daß die Umstände, unter denen dies geschehen, seinerseits verschwiegen bleiben sollten.
tschun_05_f000155|Erst nachdem Yang hung gegangen, eröffnete Kuang yin der Mutter als sein Verdienst, daß er bereits eine Stelle für Tschun habe, und zwar hier bei der Taitai.|Erst nachdem Yang hung gegangen, eröffnete Kuang yin der Mutter als sein Verdienst, daß er bereits eine Stelle für Tschun habe, und zwar hier bei der Taitai.
tschun_05_f000156|Die Mutter wollte zuerst widersprechen, aber Kuang yin hielt ihr vor, wie schlecht ihre eigene Auswahl Yang hungs ausgefallen sei,|Die Mutter wollte zuerst widersprechen, aber Kuang yin hielt ihr vor, wie schlecht ihre eigene Auswahl Yang hungs ausgefallen sei,
tschun_05_f000157|auch daß Tschun dort nur Wohnung und Essen erhalten habe, hier aber gleich mehrere Dollar Gehalt bekommen solle.|auch daß Tschun dort nur Wohnung und Essen erhalten habe, hier aber gleich mehrere Dollar Gehalt bekommen solle.
tschun_05_f000158|Da mußte sie nachgeben. Nachdem sich Kuang yin für seine Führung der Sache noch die Hälfte vom Münzstrang des alten Yang hung ausbedungen hatte.|Da mußte sie nachgeben. Nachdem sich Kuang yin für seine Führung der Sache noch die Hälfte vom Münzstrang des alten Yang hung ausbedungen hatte.
tschun_05_f000159|So trat denn Tschun in den Dienst der Fremden.|So trat denn Tschun in den Dienst der Fremden.
tschun_06_f000001|Tschun lernte bald, daß es Nachteile hat, in ein Haus als offenkundiger Günstling der Herrschaft einzutreten.|Tschun lernte bald, daß es Nachteile hat, in ein Haus als offenkundiger Günstling der Herrschaft einzutreten.
tschun_06_f000002|Die anderen Boys, die auch kleine Brüder oder Söhne hatten, ärgerten sich, daß sie nicht diese rechtzeitig der Taitai gezeigt, und ließen ihren Groll an Tschun aus.|Die anderen Boys, die auch kleine Brüder oder Söhne hatten, ärgerten sich, daß sie nicht diese rechtzeitig der Taitai gezeigt, und ließen ihren Groll an Tschun aus.
tschun_06_f000003|Sie gaben sich das Wort, ihn als kleinen Prügeljungen zu behandeln.|Sie gaben sich das Wort, ihn als kleinen Prügeljungen zu behandeln.
tschun_06_f000004|Er debütierte als Diener der Diener. Aber er hatte einen Rückhalt an Kuang yin, und dank der eigenen Anstelligkeit arbeitete er sich allmählich durch die anfängliche Feindschaft hindurch.|Er debütierte als Diener der Diener. Aber er hatte einen Rückhalt an Kuang yin, und dank der eigenen Anstelligkeit arbeitete er sich allmählich durch die anfängliche Feindschaft hindurch.
tschun_06_f000005|Madame Angèle, die jahraus jahrein an der Maschine saß und neue Kleider für die Taitai nähte, rief Tschun oft in ihr Zimmer,|Madame Angele, die jahraus jahrein an der Maschine saß und neue Kleider für die Taitai nähte, rief Tschun oft in ihr Zimmer,
tschun_06_f000006|ließ ihn die feine chinesische Nähseide wickeln oder auch Nähte auftrennen, und währenddem hielt sie ihm lange Reden in ihrer eigenen Sprache.|ließ ihn die feine chinesische Nähseide wickeln oder auch Nähte auftrennen, und währenddem hielt sie ihm lange Reden in ihrer eigenen Sprache.
tschun_06_f000007|Sie hatte Mann, Kinder und Vermögen verloren, und durch diese wiederholten Schicksalsschläge war in ihr ein Hang zum Schauerlichen und der Glauben entstanden,|Sie hatte Mann, Kinder und Vermögen verloren, und durch diese wiederholten Schicksalsschläge war in ihr ein Hang zum Schauerlichen und der Glauben entstanden,
tschun_06_f000008|daß sie alles Schreckliche, das es überhaupt gibt, erlebt habe.|daß sie alles Schreckliche, das es überhaupt gibt, erlebt habe.
tschun_06_f000009|Jedes Traurige, das andere von sich erzählten, überbot sie sicher mit den eigenen Erlebnissen.|Jedes Traurige, das andere von sich erzählten, überbot sie sicher mit den eigenen Erlebnissen.
tschun_06_f000010|Ihr Mann war nicht vier, sondern zehn Monate krank gewesen, sie hatte nicht nur Typhus, sondern zugleich Lungenentzündung gehabt!|Ihr Mann war nicht vier, sondern zehn Monate krank gewesen, sie hatte nicht nur Typhus, sondern zugleich Lungenentzündung gehabt!
tschun_06_f000011|Abends, wenn sie ihre Arbeit getan, las sie in Zeitungen, die aus ihrem Lande kamen, die vermischten Nachrichten;|Abends, wenn sie ihre Arbeit getan, las sie in Zeitungen, die aus ihrem Lande kamen, die vermischten Nachrichten;
tschun_06_f000012|nur langsam, beinahe buchstabierend, kam sie dabei vorwärts, aber sie schwelgte in den Beschreibungen von Erdbeben, Brandunglücken, Stürmen, Schiffsuntergängen.|nur langsam, beinahe buchstabierend, kam sie dabei vorwärts, aber sie schwelgte in den Beschreibungen von Erdbeben, Brandunglücken, Stürmen, Schiffsuntergängen.
tschun_06_f000013|All das erzählte sie weiter an Tschun. Anfänglich verstand er keine Silbe, aber täglich schnappte er ein paar Worte der fremden Sprache auf,|All das erzählte sie weiter an Tschun. Anfänglich verstand er keine Silbe, aber täglich schnappte er ein paar Worte der fremden Sprache auf,
tschun_06_f000014|und in erstaunlich kurzer Zeit konnte er sich ganz leicht mit der alten Französin verständigen.|und in erstaunlich kurzer Zeit konnte er sich ganz leicht mit der alten Französin verständigen.
tschun_06_f000015|Die Taitai schenkte ihm ein kleines Lexikon und schrieb ihm Sätze auf, die sie ihn nachher überhörte,|Die Taitai schenkte ihm ein kleines Lexikon und schrieb ihm Sätze auf, die sie ihn nachher überhörte,
tschun_06_f000016|und Tschun lernte mit einer Leichtigkeit, die jeden an europäische Kinder gewöhnten Lehrer erstaunt hätte.|und Tschun lernte mit einer Leichtigkeit, die jeden an europäische Kinder gewöhnten Lehrer erstaunt hätte.
tschun_06_f000017|Die Taitai war ganz stolz auf seine Fortschritte, aber die gelehrten fremden Herren der Gesellschaft erklärten geringschätzig:|Die Taitai war ganz stolz auf seine Fortschritte, aber die gelehrten fremden Herren der Gesellschaft erklärten geringschätzig:
tschun_06_f000018|Junge Asiaten scheinen häufig eine wunderbare Aufnahmefähigkeit zu besitzen, aber nach einiger Zeit kommen sie an einen toten Punkt,|Junge Asiaten scheinen häufig eine wunderbare Aufnahmefähigkeit zu besitzen, aber nach einiger Zeit kommen sie an einen toten Punkt,
tschun_06_f000019|wo sich die ganze Übermüdung ihrer erschöpften Rasse auf sie zu senken scheint und nichts Neues mehr in das blutleere Gehirn hinein will.|wo sich die ganze Übermüdung ihrer erschöpften Rasse auf sie zu senken scheint und nichts Neues mehr in das blutleere Gehirn hinein will.
tschun_06_f000020|Tschun sah die Taitai sehr viel, denn sie hatte ihm allerhand kleine Pflichten übertragen, die ihn häufig in ihr Zimmer führten.|Tschun sah die Taitai sehr viel, denn sie hatte ihm allerhand kleine Pflichten übertragen, die ihn häufig in ihr Zimmer führten.
tschun_06_f000021|Vor allem hatte er für den neuen kleinen Hund zu sorgen, der Tin chau genannt worden war, wie es einem Geschenk des hübschen weißen Herrn wohl anstand.|Vor allem hatte er für den neuen kleinen Hund zu sorgen, der Tin chau genannt worden war, wie es einem Geschenk des hübschen weißen Herrn wohl anstand.
tschun_06_f000022|Tschun mußte auch der Taitai Schreibtisch mit den tausend Nippessachen in Ordnung halten, die Pflanzen begießen, die Blumensträuße erneuern;|Tschun mußte auch der Taitai Schreibtisch mit den tausend Nippessachen in Ordnung halten, die Pflanzen begießen, die Blumensträuße erneuern;
tschun_06_f000023|er servierte nachmittags den Tee, und als er erst die fremden Namen gelernt hatte, meldete er die Besuche an.|er servierte nachmittags den Tee, und als er erst die fremden Namen gelernt hatte, meldete er die Besuche an.
tschun_06_f000024|Ging die Taitai malen, so trug er ihr die Sachen nach und reinigte nachher Pinsel und Palette;|Ging die Taitai malen, so trug er ihr die Sachen nach und reinigte nachher Pinsel und Palette;
tschun_06_f000025|beim Photographieren lernte er rasch, kleine Dienste zu leisten; er schnitt die Seiten der vielen Bücher und Hefte auf, die jede Post brachte, er legte die Zeitungen nach Nummern.|beim Photographieren lernte er rasch, kleine Dienste zu leisten; er schnitt die Seiten der vielen Bücher und Hefte auf, die jede Post brachte, er legte die Zeitungen nach Nummern.
tschun_06_f000026|Und bei alledem fand Tschun Zeit, die Taitai selbst zu beobachten, denn sie erschien ihm als das Interessanteste in all dem Merkwürdigen, das er sah.|Und bei alledem fand Tschun Zeit, die Taitai selbst zu beobachten, denn sie erschien ihm als das Interessanteste in all dem Merkwürdigen, das er sah.
tschun_06_f000027|Es war erstaunlich, was sie alles im Laufe des Tages tat! Früh schon ritt sie mit anderen Fremden aus.|Es war erstaunlich, was sie alles im Laufe des Tages tat! Früh schon ritt sie mit anderen Fremden aus.
tschun_06_f000028|Dann schrieb sie, malte, photographierte, musizierte.|Dann schrieb sie, malte, photographierte, musizierte.
tschun_06_f000029|Zu allen Mahlzeiten kamen Gäste oder sie selbst war in eine der anderen Gesandtschaften geladen und wurde in der grünen Sänfte hingetragen.|Zu allen Mahlzeiten kamen Gäste oder sie selbst war in eine der anderen Gesandtschaften geladen und wurde in der grünen Sänfte hingetragen.
tschun_06_f000030|Zwischendurch kamen noch viele Besuche – am häufigsten wohl der weiße Herr, doch zuweilen auch der böse aussehende.|Zwischendurch kamen noch viele Besuche - am häufigsten wohl der weiße Herr, doch zuweilen auch der böse aussehende.
tschun_06_f000031|Und alles, was die Taitai betrieb, sei es nun, daß sie Antiquitäten kaufte oder Anordnungen für Feste traf, geschah, als ob sie Eile habe und nach etwas suche.|Und alles, was die Taitai betrieb, sei es nun, daß sie Antiquitäten kaufte oder Anordnungen für Feste traf, geschah, als ob sie Eile habe und nach etwas suche.
tschun_06_f000032|Dabei sah sie meist müde aus. Und Tschun wunderte sich, daß jemand, der so viel Geld besaß, sich so unnütz abmühte.|Dabei sah sie meist müde aus. Und Tschun wunderte sich, daß jemand, der so viel Geld besaß, sich so unnütz abmühte.
tschun_06_f000033|Einmal frug er die alte Madame Angèle, warum die Taitai so schrecklich viel täte.|Einmal frug er die alte Madame Angele, warum die Taitai so schrecklich viel täte.
tschun_06_f000034|Die zuckte die Achseln, seufzte und antwortete: Sie will sich vielleicht zerstreuen, um zu vergessen.|Die zuckte die Achseln, seufzte und antwortete: Sie will sich vielleicht zerstreuen, um zu vergessen.
tschun_06_f000035|Was denn? frug Tschun.|Was denn? frug Tschun.
tschun_06_f000036|Sie hat, ehe sie hierher kam, ihr einzigstes Söhnchen verloren, antwortete Madame Angèle und setzte dann hinzu: Ich habe drei Söhne verloren.|Sie hat, ehe sie hierher kam, ihr einzigstes Söhnchen verloren, antwortete Madame Angele und setzte dann hinzu: Ich habe drei Söhne verloren.
tschun_06_f000037|Aber ich bekam durch den Tod meiner Kinder immer mehr Arbeit, für die Taitai dagegen heißt es seitdem nur immer mehr Amüsement.|Aber ich bekam durch den Tod meiner Kinder immer mehr Arbeit, für die Taitai dagegen heißt es seitdem nur immer mehr Amüsement.
tschun_06_f000038|Tschun, der nun schon gelernt hatte, daß das Beobachten zu seinem Beruf gehörte, bemerkte bald, daß die Taitai nur insofern von den anderen Fremden abstach,|Tschun, der nun schon gelernt hatte, daß das Beobachten zu seinem Beruf gehörte, bemerkte bald, daß die Taitai nur insofern von den anderen Fremden abstach,
tschun_06_f000039|als sie tausenderlei Dinge mit gleichem Ungestüm betrieb, während die anderen meist nur eine Sache hatten, die sie mit Passion erfüllte.|als sie tausenderlei Dinge mit gleichem Ungestüm betrieb, während die anderen meist nur eine Sache hatten, die sie mit Passion erfüllte.
tschun_06_f000040|Tschun verstand auch allmählich, warum die älteren erfahreneren Boys gelegentlich wie eine unbestreitbare Tatsache erwähnten,|Tschun verstand auch allmählich, warum die älteren erfahreneren Boys gelegentlich wie eine unbestreitbare Tatsache erwähnten,
tschun_06_f000041|daß die Fremden doch alle ein bißchen verrückt seien.|daß die Fremden doch alle ein bißchen verrückt seien.
tschun_06_f000042|Der Mann der Taitai, der gestrenge Ta-jen, war ganz anders als sie.|Der Mann der Taitai, der gestrenge Ta-jen, war ganz anders als sie.
tschun_06_f000043|Er hatte etwas Kaltes, Feierliches, als habe er nie gelacht und sei nie gerannt.|Er hatte etwas Kaltes, Feierliches, als habe er nie gelacht und sei nie gerannt.
tschun_06_f000044|Er war klein, grau und mager und reckte sich immer, als wolle er länger scheinen, als er war.|Er war klein, grau und mager und reckte sich immer, als wolle er länger scheinen, als er war.
tschun_06_f000045|Amtliche Würde und grüner Nephrit bildeten seine speziellen Marotten, und da die chinesischen Mandarine für diese beiden Dinge ebenfalls hohe Wertschätzung und Vorliebe haben,|Amtliche Würde und grüner Nephrit bildeten seine speziellen Marotten, und da die chinesischen Mandarine für diese beiden Dinge ebenfalls hohe Wertschätzung und Vorliebe haben,
tschun_06_f000046|so war er ihnen der verständlichste, sympathischste unter den fremden Vertretern.|so war er ihnen der verständlichste, sympathischste unter den fremden Vertretern.
tschun_06_f000047|Wenn Besuche zum Ta-jen kamen, empfing er sie immer in der gleichen geraden, aufrechten Haltung, die eine Hand auf der Tischkante ruhend,|Wenn Besuche zum Ta-jen kamen, empfing er sie immer in der gleichen geraden, aufrechten Haltung, die eine Hand auf der Tischkante ruhend,
tschun_06_f000048|die andere zwischen die Weste und den tadellosen langen schwarzen Rock geschoben.|die andere zwischen die Weste und den tadellosen langen schwarzen Rock geschoben.
tschun_06_f000049|So glich er dem Bild des Präsidenten seines Landes, das im großen Speisesaal hing.|So glich er dem Bild des Präsidenten seines Landes, das im großen Speisesaal hing.
tschun_06_f000050|Ein Präsident, sagten die Boys, ist etwas Ähnliches wie ein Kaiser, nur nicht ganz so Nummer Eins.|Ein Präsident, sagten die Boys, ist etwas Ähnliches wie ein Kaiser, nur nicht ganz so Nummer Eins.
tschun_06_f000051|Der Ta-jen sprach stets langsam, als überlege er jedes Wort und als gäbe es nichts Unwichtiges auf der Welt.|Der Ta-jen sprach stets langsam, als überlege er jedes Wort und als gäbe es nichts Unwichtiges auf der Welt.
tschun_06_f000052|Am langsamsten und gemessensten sprach er mit seiner Frau.|Am langsamsten und gemessensten sprach er mit seiner Frau.
