l_ile_mysterieuse_1_01_f000001|Remontons-nous?|Remontons-nous?
l_ile_mysterieuse_1_11_f000027|La mer, en effet, l'immense nappe d'eau circulaire autour d'eux!|La mer, en effet, l'immense nappe d'eau circulaire autour d'eux!
l_ile_mysterieuse_1_11_f000028|Peut-être, en remontant au sommet du cône, Cyrus Smith avait-il eu l'espoir de découvrir quelque côte, quelque île rapprochée, qu'il n'avait pu apercevoir la veille pendant l'obscurité.|Peut-être, en remontant au sommet du cône, Cyrus Smith avait-il eu l'espoir de découvrir quelque côte, quelque île rapprochée, qu'il n'avait pu apercevoir la veille pendant l'obscurité.
l_ile_mysterieuse_1_11_f000029|Mais rien n'apparut jusqu'aux limites de l'horizon, c'est-à-dire sur un rayon de plus de cinquante milles.|Mais rien n'apparut jusqu'aux limites de l'horizon, c'est-à-dire sur un rayon de plus de cinquante milles.
l_ile_mysterieuse_1_11_f000030|Aucune terre en vue. Pas une voile. Toute cette immensité était déserte, et l'île occupait le centre d'une circonférence qui semblait être infinie.|Aucune terre en vue. Pas une voile. Toute cette immensité était déserte, et l'île occupait le centre d'une circonférence qui semblait être infinie.
l_ile_mysterieuse_1_11_f000031|L'ingénieur et ses compagnons, muets, immobiles, parcoururent du regard, pendant quelques minutes, tous les points de l'Océan.|L'ingénieur et ses compagnons, muets, immobiles, parcoururent du regard, pendant quelques minutes, tous les points de l'Océan.
l_ile_mysterieuse_1_11_f000032|Cet Océan, leurs yeux le fouillèrent jusqu'à ses plus extrêmes limites.|Cet Océan, leurs yeux le fouillèrent jusqu'à ses plus extrêmes limites.
l_ile_mysterieuse_1_11_f000033|Mais Pencroff, qui possédait une si merveilleuse puissance de vision, ne vit rien, et certainement, si une terre se fût relevée à l'horizon,|Mais Pencroff, qui possédait une si merveilleuse puissance de vision, ne vit rien, et certainement, si une terre se fût relevée à l'horizon,
l_ile_mysterieuse_1_11_f000034|quand bien même elle n'eût apparu que sous l'apparence d'une insaisissable vapeur, le marin l'aurait indubitablement reconnue, car c'étaient deux véritables télescopes que la nature avait fixés sous son arcade sourcilière!|quand bien même elle n'eût apparu que sous l'apparence d'une insaisissable vapeur, le marin l'aurait indubitablement reconnue, car c'étaient deux véritables télescopes que la nature avait fixés sous son arcade sourcilière!
l_ile_mysterieuse_1_11_f000035|De l'Océan, les regards se reportèrent sur l'île qu'ils dominaient tout entière, et la première question qui fut posée le fut par Gédéon Spilett, en ces termes:|De l'Océan, les regards se reportèrent sur l'île qu'ils dominaient tout entière, et la première question qui fut posée le fut par Gédéon Spilett, en ces termes:
l_ile_mysterieuse_1_11_f000036|Quelle peut être la grandeur de cette île?|Quelle peut être la grandeur de cette île?
l_ile_mysterieuse_1_11_f000037|Véritablement, elle ne paraissait pas considérable au milieu de cet immense Océan.|Véritablement, elle ne paraissait pas considérable au milieu de cet immense Océan.
l_ile_mysterieuse_1_11_f000038|Cyrus Smith réfléchit pendant quelques instants; il observa attentivement le périmètre de l'île, en tenant compte de la hauteur à laquelle il se trouvait placé;|Cyrus Smith réfléchit pendant quelques instants; il observa attentivement le périmètre de l'île, en tenant compte de la hauteur à laquelle il se trouvait placé;
l_ile_mysterieuse_1_11_f000039|puis: Mes amis, dit-il, je ne crois pas me tromper en donnant au littoral de l'île un développement de plus de cent milles.|puis: Mes amis, dit-il, je ne crois pas me tromper en donnant au littoral de l'île un développement de plus de cent milles.
l_ile_mysterieuse_1_11_f000040|-- Et conséquemment, sa superficie?...|-- Et conséquemment, sa superficie?...
l_ile_mysterieuse_1_11_f000041|-- Il est difficile de l'apprécier, répondit l'ingénieur, car elle est trop capricieusement découpée.|-- Il est difficile de l'apprécier, répondit l'ingénieur, car elle est trop capricieusement découpée.
l_ile_mysterieuse_1_11_f000042|Si Cyrus Smith ne se trompait pas dans son évaluation, l'île avait, à peu de chose près, l'étendue de Malte ou Zante, dans la Méditerranée; mais elle était, à la fois, beaucoup plus irrégulière, et moins riche en caps, promontoires, pointes, baies, anses ou criques.|Si Cyrus Smith ne se trompait pas dans son évaluation, l'île avait, à peu de chose près, l'étendue de Malte ou Zante, dans la Méditerranée; mais elle était, à la fois, beaucoup plus irrégulière, et moins riche en caps, promontoires, pointes, baies, anses ou criques.
l_ile_mysterieuse_1_11_f000043|Sa forme, véritablement étrange, surprenait le regard, et quand Gédéon Spilett, sur le conseil de l'ingénieur, en eut dessiné les contours,|Sa forme, véritablement étrange, surprenait le regard, et quand Gédéon Spilett, sur le conseil de l'ingénieur, en eut dessiné les contours,
l_ile_mysterieuse_1_11_f000044|on trouva qu'elle ressemblait à quelque fantastique animal, une sorte de ptéropode monstrueux, qui eût été endormi à la surface du Pacifique.|on trouva qu'elle ressemblait à quelque fantastique animal, une sorte de ptéropode monstrueux, qui eût été endormi à la surface du Pacifique.
l_ile_mysterieuse_1_11_f000045|Voici, en effet, la configuration exacte de cette île, qu'il importe de faire connaître, et dont la carte fut immédiatement dressée par le reporter avec une précision suffisante.|Voici, en effet, la configuration exacte de cette île, qu'il importe de faire connaître, et dont la carte fut immédiatement dressée par le reporter avec une précision suffisante.
l_ile_mysterieuse_1_11_f000046|La portion est du littoral, c'est-à-dire celle sur laquelle les naufragés avaient atterri, s'échancrait largement et bordait une vaste baie terminée au sud-est par un cap aigu, qu'une pointe avait caché à Pencroff, lors de sa première exploration.|La portion est du littoral, c'est-à-dire celle sur laquelle les naufragés avaient atterri, s'échancrait largement et bordait une vaste baie terminée au sud-est par un cap aigu, qu'une pointe avait caché à Pencroff, lors de sa première exploration.
l_ile_mysterieuse_1_11_f000047|Au nord- est, deux autres caps fermaient la baie, et entre eux se creusait un étroit golfe qui ressemblait à la mâchoire entr'ouverte de quelque formidable squale.|Au nord- est, deux autres caps fermaient la baie, et entre eux se creusait un étroit golfe qui ressemblait à la mâchoire entr'ouverte de quelque formidable squale.
l_ile_mysterieuse_1_11_f000048|Du nord-est au nord-ouest, la côte s'arrondissait comme le crâne aplati d'un fauve, pour se relever en formant une sorte de gibbosité qui n'assignait pas un dessin très déterminé à cette partie de l'île, dont le centre était occupé par la montagne volcanique.|Du nord-est au nord-ouest, la côte s'arrondissait comme le crâne aplati d'un fauve, pour se relever en formant une sorte de gibbosité qui n'assignait pas un dessin très déterminé à cette partie de l'île, dont le centre était occupé par la montagne volcanique.
l_ile_mysterieuse_1_11_f000049|De ce point, le littoral courait assez régulièrement nord et sud, creusé, aux deux tiers de son périmètre, par une étroite crique, à partir de laquelle il finissait en une longue queue,|De ce point, le littoral courait assez régulièrement nord et sud, creusé, aux deux tiers de son périmètre, par une étroite crique, à partir de laquelle il finissait en une longue queue,
l_ile_mysterieuse_1_11_f000050|semblable à l'appendice caudal d'un gigantesque alligator.|semblable à l'appendice caudal d'un gigantesque alligator.
l_ile_mysterieuse_1_11_f000051|Cette queue formait une véritable presqu'île qui s'allongeait de plus de trente milles en mer, à compter du cap sud-est de l'île, déjà mentionné,|Cette queue formait une véritable presqu'île qui s'allongeait de plus de trente milles en mer, à compter du cap sud-est de l'île, déjà mentionné,
l_ile_mysterieuse_1_11_f000052|et elle s'arrondissait en décrivant une rade foraine, largement ouverte, que dessinait le littoral inférieur de cette terre si étrangement découpée.|et elle s'arrondissait en décrivant une rade foraine, largement ouverte, que dessinait le littoral inférieur de cette terre si étrangement découpée.
l_ile_mysterieuse_1_11_f000053|Dans sa plus petite largeur, c'est-à-dire entre les Cheminées et la crique observée sur la côte occidentale qui lui correspondait en latitude, l'île mesurait dix milles seulement;|Dans sa plus petite largeur, c'est-à-dire entre les Cheminées et la crique observée sur la côte occidentale qui lui correspondait en latitude, l'île mesurait dix milles seulement;
l_ile_mysterieuse_1_11_f000054|mais sa plus grande longueur, de la mâchoire du nord-est à l'extrémité de la queue du sud-ouest, ne comptait pas moins de trente milles.|mais sa plus grande longueur, de la mâchoire du nord-est à l'extrémité de la queue du sud-ouest, ne comptait pas moins de trente milles.
l_ile_mysterieuse_1_11_f000055|Quant à l'intérieur de l'île, son aspect général était celui-ci: très boisée dans toute sa portion méridionale depuis la montagne jusqu'au littoral, elle était aride et sablonneuse dans sa partie septentrionale.|Quant à l'intérieur de l'île, son aspect général était celui-ci: très boisée dans toute sa portion méridionale depuis la montagne jusqu'au littoral, elle était aride et sablonneuse dans sa partie septentrionale.
l_ile_mysterieuse_1_11_f000056|Entre le volcan et la côte est, Cyrus Smith et ses compagnons furent assez surpris de voir un lac, encadré dans sa bordure d'arbres verts,|Entre le volcan et la côte est, Cyrus Smith et ses compagnons furent assez surpris de voir un lac, encadré dans sa bordure d'arbres verts,
l_ile_mysterieuse_1_11_f000057|dont ils ne soupçonnaient pas l'existence.|dont ils ne soupçonnaient pas l'existence.
l_ile_mysterieuse_1_11_f000058|Vu de cette hauteur, le lac semblait être au même niveau que la mer, mais, réflexion faite, l'ingénieur expliqua à ses compagnons que l'altitude de cette petite nappe d'eau devait être de trois cents pieds,|Vu de cette hauteur, le lac semblait être au même niveau que la mer, mais, réflexion faite, l'ingénieur expliqua à ses compagnons que l'altitude de cette petite nappe d'eau devait être de trois cents pieds,
l_ile_mysterieuse_1_11_f000059|car le plateau qui lui servait de bassin n'était que le prolongement de celui de la côte.|car le plateau qui lui servait de bassin n'était que le prolongement de celui de la côte.
l_ile_mysterieuse_1_11_f000060|C'est donc un lac d'eau douce? demanda Pencroff.|C'est donc un lac d'eau douce? demanda Pencroff.
l_ile_mysterieuse_1_11_f000061|-- Nécessairement, répondit l'ingénieur, car il doit être alimenté par les eaux qui s'écoulent de la montagne.|-- Nécessairement, répondit l'ingénieur, car il doit être alimenté par les eaux qui s'écoulent de la montagne.
l_ile_mysterieuse_1_11_f000062|-- J'aperçois une petite rivière qui s'y jette, dit Harbert, en montrant un étroit ruisseau, dont la source devait s'épancher dans les contreforts de l'ouest.|-- J'aperçois une petite rivière qui s'y jette, dit Harbert, en montrant un étroit ruisseau, dont la source devait s'épancher dans les contreforts de l'ouest.
l_ile_mysterieuse_1_11_f000063|-- En effet, répondit Cyrus Smith, et puisque ce ruisseau alimente le lac il est probable que du côté de la mer il existe un déversoir par lequel s'échappe le trop-plein des eaux.|-- En effet, répondit Cyrus Smith, et puisque ce ruisseau alimente le lac il est probable que du côté de la mer il existe un déversoir par lequel s'échappe le trop-plein des eaux.
l_ile_mysterieuse_1_11_f000064|Nous verrons cela à notre retour.|Nous verrons cela à notre retour.
l_ile_mysterieuse_1_11_f000065|Ce petit cours d'eau, assez sinueux, et la rivière déjà reconnue, tel était le système hydrographique, du moins tel il se développait aux yeux des explorateurs.|Ce petit cours d'eau, assez sinueux, et la rivière déjà reconnue, tel était le système hydrographique, du moins tel il se développait aux yeux des explorateurs.
l_ile_mysterieuse_1_11_f000066|Cependant, il était possible que, sous ces masses d'arbres qui faisaient des deux tiers de l'île une forêt immense, d'autres rios s'écoulassent vers la mer.|Cependant, il était possible que, sous ces masses d'arbres qui faisaient des deux tiers de l'île une forêt immense, d'autres rios s'écoulassent vers la mer.
l_ile_mysterieuse_1_11_f000067|On devait même le supposer, tant cette région se montrait fertile et riche des plus magnifiques échantillons de la flore des zones tempérées.|On devait même le supposer, tant cette région se montrait fertile et riche des plus magnifiques échantillons de la flore des zones tempérées.
l_ile_mysterieuse_1_11_f000068|Quant à la partie septentrionale, nul indice d'eaux courantes;|Quant à la partie septentrionale, nul indice d'eaux courantes;
l_ile_mysterieuse_1_11_f000069|peut-être des eaux stagnantes dans la portion marécageuse du nord-est, mais voilà tout;|peut-être des eaux stagnantes dans la portion marécageuse du nord-est, mais voilà tout;
l_ile_mysterieuse_1_11_f000070|en somme, des dunes, des sables, une aridité très prononcée qui contrastait vivement avec l'opulence du sol dans sa plus grande étendue.|en somme, des dunes, des sables, une aridité très prononcée qui contrastait vivement avec l'opulence du sol dans sa plus grande étendue.
l_ile_mysterieuse_1_11_f000071|Le volcan n'occupait pas la partie centrale de l'île.|Le volcan n'occupait pas la partie centrale de l'île.
l_ile_mysterieuse_1_11_f000072|Il se dressait, au contraire, dans la région du nord-ouest, et semblait marquer la limite des deux zones.|Il se dressait, au contraire, dans la région du nord-ouest, et semblait marquer la limite des deux zones.
l_ile_mysterieuse_1_11_f000073|Au sud-ouest, au sud et au sud- est, les premiers étages des contreforts disparaissaient sous des masses de verdure.|Au sud-ouest, au sud et au sud- est, les premiers étages des contreforts disparaissaient sous des masses de verdure.
l_ile_mysterieuse_1_11_f000074|Au nord, au contraire, on pouvait suivre leurs ramifications, qui allaient mourir sur les plaines de sable.|Au nord, au contraire, on pouvait suivre leurs ramifications, qui allaient mourir sur les plaines de sable.
l_ile_mysterieuse_1_11_f000075|C'était aussi de ce côté qu'au temps des éruptions, les épanchements s'étaient frayés un passage, et une large chaussée de laves se prolongeait jusqu'à cette étroite mâchoire qui formait golfe au nord-est.|C'était aussi de ce côté qu'au temps des éruptions, les épanchements s'étaient frayés un passage, et une large chaussée de laves se prolongeait jusqu'à cette étroite mâchoire qui formait golfe au nord-est.
l_ile_mysterieuse_1_11_f000076|Cyrus Smith et les siens demeurèrent une heure ainsi au sommet de la montagne.|Cyrus Smith et les siens demeurèrent une heure ainsi au sommet de la montagne.
l_ile_mysterieuse_1_11_f000077|L'île se développait sous leurs regards comme un plan en relief avec ses teintes diverses, vertes pour les forêts, jaunes pour les sables, bleues pour les eaux.|L'île se développait sous leurs regards comme un plan en relief avec ses teintes diverses, vertes pour les forêts, jaunes pour les sables, bleues pour les eaux.
l_ile_mysterieuse_1_11_f000078|Ils la saisissaient dans tout son ensemble, et ce sol caché sous l'immense verdure, le thalweg des vallées ombreuses, l'intérieur des gorges étroites,|Ils la saisissaient dans tout son ensemble, et ce sol caché sous l'immense verdure, le thalweg des vallées ombreuses, l'intérieur des gorges étroites,
l_ile_mysterieuse_1_11_f000079|creusées au pied du volcan, échappaient seuls à leurs investigations.|creusées au pied du volcan, échappaient seuls à leurs investigations.
l_ile_mysterieuse_1_11_f000080|Restait une question grave à résoudre, et qui devait singulièrement influer sur l'avenir des naufragés.|Restait une question grave à résoudre, et qui devait singulièrement influer sur l'avenir des naufragés.
l_ile_mysterieuse_1_11_f000081|L'île était-elle habitée?|L'île était-elle habitée?
l_ile_mysterieuse_1_11_f000082|Ce fut le reporter qui posa cette question, à laquelle il semblait que l'on pût déjà répondre négativement, après le minutieux examen qui venait d'être fait des diverses régions de l'île.|Ce fut le reporter qui posa cette question, à laquelle il semblait que l'on pût déjà répondre négativement, après le minutieux examen qui venait d'être fait des diverses régions de l'île.
l_ile_mysterieuse_1_11_f000083|Nulle part on n'apercevait l'oeuvre de la main humaine.|Nulle part on n'apercevait l'oeuvre de la main humaine.
l_ile_mysterieuse_1_11_f000084|Pas une agglomération de cases, pas une cabane isolée, pas une pêcherie sur le littoral.|Pas une agglomération de cases, pas une cabane isolée, pas une pêcherie sur le littoral.
l_ile_mysterieuse_1_11_f000085|Aucune fumée ne s'élevait dans l'air et ne trahissait la présence de l'homme.|Aucune fumée ne s'élevait dans l'air et ne trahissait la présence de l'homme.
l_ile_mysterieuse_1_11_f000086|Il est vrai, une distance de trente milles environ séparait les observateurs des points extrêmes, c'est-à-dire de cette queue qui se projetait au sud- ouest, et il eût été difficile, même aux yeux de Pencroff, d'y découvrir une habitation.|Il est vrai, une distance de trente milles environ séparait les observateurs des points extrêmes, c'est-à-dire de cette queue qui se projetait au sud- ouest, et il eût été difficile, même aux yeux de Pencroff, d'y découvrir une habitation.
l_ile_mysterieuse_1_11_f000087|On ne pouvait, non plus, soulever ce rideau de verdure qui couvrait les trois quarts de l'île, et voir s'il abritait ou non quelque bourgade.|On ne pouvait, non plus, soulever ce rideau de verdure qui couvrait les trois quarts de l'île, et voir s'il abritait ou non quelque bourgade.
l_ile_mysterieuse_1_11_f000088|Mais, généralement, les insulaires, dans ces étroits espaces émergés des flots du Pacifique, habitent plutôt le littoral, et le littoral paraissait être absolument désert.|Mais, généralement, les insulaires, dans ces étroits espaces émergés des flots du Pacifique, habitent plutôt le littoral, et le littoral paraissait être absolument désert.
l_ile_mysterieuse_1_11_f000089|Jusqu'à plus complète exploration, on pouvait donc admettre que l'île était inhabitée.|Jusqu'à plus complète exploration, on pouvait donc admettre que l'île était inhabitée.
l_ile_mysterieuse_1_11_f000090|Mais était-elle fréquentée, au moins temporairement, par les indigènes des îles voisines? À cette question, il était difficile de répondre.|Mais était-elle fréquentée, au moins temporairement, par les indigènes des îles voisines? À cette question, il était difficile de répondre.
l_ile_mysterieuse_1_11_f000091|Aucune terre n'apparaissait dans un rayon d'environ cinquante milles.|Aucune terre n'apparaissait dans un rayon d'environ cinquante milles.
l_ile_mysterieuse_1_11_f000092|Mais cinquante milles peuvent être facilement franchis, soit par des praos malais, soit par de grandes pirogues polynésiennes.|Mais cinquante milles peuvent être facilement franchis, soit par des praos malais, soit par de grandes pirogues polynésiennes.
l_ile_mysterieuse_1_11_f000093|Tout dépendait donc de la situation de l'île, de son isolement sur le Pacifique, ou de sa proximité des archipels.|Tout dépendait donc de la situation de l'île, de son isolement sur le Pacifique, ou de sa proximité des archipels.
l_ile_mysterieuse_1_11_f000094|Cyrus Smith parviendrait-il sans instruments à relever plus tard sa position en latitude et en longitude? Ce serait difficile.|Cyrus Smith parviendrait-il sans instruments à relever plus tard sa position en latitude et en longitude? Ce serait difficile.
l_ile_mysterieuse_1_11_f000095|Dans le doute, il était donc convenable de prendre certaines précautions contre une descente possible des indigènes voisins.|Dans le doute, il était donc convenable de prendre certaines précautions contre une descente possible des indigènes voisins.
l_ile_mysterieuse_1_11_f000096|L'exploration de l'île était achevée, sa configuration déterminée, son relief coté, son étendue calculée, son hydrographie et son orographie reconnues.|L'exploration de l'île était achevée, sa configuration déterminée, son relief coté, son étendue calculée, son hydrographie et son orographie reconnues.
l_ile_mysterieuse_1_11_f000097|La disposition des forêts et des plaines avait été relevée d'une manière générale sur le plan du reporter.|La disposition des forêts et des plaines avait été relevée d'une manière générale sur le plan du reporter.
l_ile_mysterieuse_1_11_f000098|Il n'y avait plus qu'à redescendre les pentes de la montagne, et à explorer le sol au triple point de vue de ses ressources minérales, végétales et animales.|Il n'y avait plus qu'à redescendre les pentes de la montagne, et à explorer le sol au triple point de vue de ses ressources minérales, végétales et animales.
l_ile_mysterieuse_1_11_f000099|Mais, avant de donner à ses compagnons le signal du départ, Cyrus Smith leur dit de sa voix calme et grave: Voici, mes amis, l'étroit coin de terre sur lequel la main du Tout-Puissant nous a jetés.|Mais, avant de donner à ses compagnons le signal du départ, Cyrus Smith leur dit de sa voix calme et grave: Voici, mes amis, l'étroit coin de terre sur lequel la main du Tout-Puissant nous a jetés.
l_ile_mysterieuse_1_11_f000100|C'est ici que nous allons vivre, longtemps peut-être. Peut-être aussi, un secours inattendu nous arrivera-t-il, si quelque navire passe par hasard.|C'est ici que nous allons vivre, longtemps peut-être. Peut-être aussi, un secours inattendu nous arrivera-t-il, si quelque navire passe par hasard.
l_ile_mysterieuse_1_11_f000101|.. Je dis par hasard, car cette île est peu importante;|.. Je dis par hasard, car cette île est peu importante;
l_ile_mysterieuse_1_11_f000102|elle n'offre même pas un port qui puisse servir de relâche aux bâtiments, et il est à craindre qu'elle ne soit située en dehors des routes ordinairement suivies,|elle n'offre même pas un port qui puisse servir de relâche aux bâtiments, et il est à craindre qu'elle ne soit située en dehors des routes ordinairement suivies,
l_ile_mysterieuse_1_11_f000103|c'est-à-dire trop au sud pour les navires qui fréquentent les archipels du Pacifique, trop au nord pour ceux qui se rendent à l'Australie en doublant le cap Horn.|c'est-à-dire trop au sud pour les navires qui fréquentent les archipels du Pacifique, trop au nord pour ceux qui se rendent à l'Australie en doublant le cap Horn.
l_ile_mysterieuse_1_11_f000104|Je ne veux rien vous dissimuler de la situation...|Je ne veux rien vous dissimuler de la situation...
l_ile_mysterieuse_1_11_f000105|-- Et vous avez raison, mon cher Cyrus, répondit vivement le reporter.|-- Et vous avez raison, mon cher Cyrus, répondit vivement le reporter.
l_ile_mysterieuse_1_11_f000106|Vous avez affaire à des hommes. Ils ont confiance en vous, et vous pouvez compter sur eux. -- N'est-ce pas, mes amis?|Vous avez affaire à des hommes. Ils ont confiance en vous, et vous pouvez compter sur eux. -- N'est-ce pas, mes amis?
l_ile_mysterieuse_1_11_f000107|-- Je vous obéirai en tout, monsieur Cyrus, dit Harbert, qui saisit la main de l'ingénieur.|-- Je vous obéirai en tout, monsieur Cyrus, dit Harbert, qui saisit la main de l'ingénieur.
l_ile_mysterieuse_1_11_f000108|-- Mon maître, toujours et partout! s'écria Nab.|-- Mon maître, toujours et partout! s'écria Nab.
l_ile_mysterieuse_1_11_f000109|-- Quant à moi, dit le marin, que je perde mon nom si je boude à la besogne, et si vous le voulez bien, monsieur Smith, nous ferons de cette île une petite Amérique!|-- Quant à moi, dit le marin, que je perde mon nom si je boude à la besogne, et si vous le voulez bien, monsieur Smith, nous ferons de cette île une petite Amérique!
l_ile_mysterieuse_1_11_f000110|Nous y bâtirons des villes, nous y établirons des chemins de fer, nous y installerons des télégraphes, et un beau jour, quand elle sera bien transformée, bien aménagée, bien civilisée, nous irons l'offrir au gouvernement de l'Union!|Nous y bâtirons des villes, nous y établirons des chemins de fer, nous y installerons des télégraphes, et un beau jour, quand elle sera bien transformée, bien aménagée, bien civilisée, nous irons l'offrir au gouvernement de l'Union!
l_ile_mysterieuse_1_11_f000111|Seulement, je demande une chose.|Seulement, je demande une chose.
l_ile_mysterieuse_1_11_f000112|-- Laquelle? répondit le reporter.|-- Laquelle? répondit le reporter.
l_ile_mysterieuse_1_11_f000113|-- C'est de ne plus nous considérer comme des naufragés, mais bien comme des colons qui sont venus ici pour coloniser!|-- C'est de ne plus nous considérer comme des naufragés, mais bien comme des colons qui sont venus ici pour coloniser!
l_ile_mysterieuse_1_11_f000114|Cyrus Smith ne put s'empêcher de sourire, et la motion du marin fut adoptée. Puis, il remercia ses compagnons, et ajouta qu'il comptait sur leur énergie et sur l'aide du ciel.|Cyrus Smith ne put s'empêcher de sourire, et la motion du marin fut adoptée. Puis, il remercia ses compagnons, et ajouta qu'il comptait sur leur énergie et sur l'aide du ciel.
l_ile_mysterieuse_1_11_f000115|Eh bien! en route pour les Cheminées! s'écria Pencroff.|Eh bien! en route pour les Cheminées! s'écria Pencroff.
l_ile_mysterieuse_1_11_f000116|-- Un instant, mes amis, répondit l'ingénieur, il me paraît bon de donner un nom à cette île, ainsi qu'aux caps, aux promontoires, aux cours d'eau que nous avons sous les yeux.|-- Un instant, mes amis, répondit l'ingénieur, il me paraît bon de donner un nom à cette île, ainsi qu'aux caps, aux promontoires, aux cours d'eau que nous avons sous les yeux.
l_ile_mysterieuse_1_11_f000117|-- Très bon, dit le reporter. Cela simplifiera à l'avenir les instructions que nous pourrons avoir à donner ou à suivre.|-- Très bon, dit le reporter. Cela simplifiera à l'avenir les instructions que nous pourrons avoir à donner ou à suivre.
l_ile_mysterieuse_1_11_f000118|-- En effet, reprit le marin, c'est déjà quelque chose de pouvoir dire où l'on va et d'où l'on vient. Au moins, on a l'air d'être quelque part.|-- En effet, reprit le marin, c'est déjà quelque chose de pouvoir dire où l'on va et d'où l'on vient. Au moins, on a l'air d'être quelque part.
l_ile_mysterieuse_1_11_f000119|-- Les Cheminées, par exemple, dit Harbert.|-- Les Cheminées, par exemple, dit Harbert.
l_ile_mysterieuse_1_11_f000120|-- Juste! répondit Pencroff. Ce nom-là, c'était déjà plus commode, et cela m'est venu tout seul. Garderons-nous à notre premier campement ce nom de Cheminées, monsieur Cyrus?|-- Juste! répondit Pencroff. Ce nom-là, c'était déjà plus commode, et cela m'est venu tout seul. Garderons-nous à notre premier campement ce nom de Cheminées, monsieur Cyrus?
l_ile_mysterieuse_1_11_f000121|-- Oui, Pencroff, puisque vous l'avez baptisé ainsi.|-- Oui, Pencroff, puisque vous l'avez baptisé ainsi.
l_ile_mysterieuse_1_11_f000122|-- Bon, quant aux autres, ce sera facile, reprit le marin, qui était en verve.|-- Bon, quant aux autres, ce sera facile, reprit le marin, qui était en verve.
l_ile_mysterieuse_1_11_f000123|Donnons-leur des noms comme faisaient les Robinsons dont Harbert m'a lu plus d'une fois l'histoire: la baie Providence, la pointe des Cachalots, le cap de l'Espoir trompé!...|Donnons-leur des noms comme faisaient les Robinsons dont Harbert m'a lu plus d'une fois l'histoire: la baie Providence, la pointe des Cachalots, le cap de l'Espoir trompé!...
l_ile_mysterieuse_1_11_f000124|-- Ou plutôt les noms de M Smith, répondit Harbert, de M Spilett, de Nab!...|-- Ou plutôt les noms de M Smith, répondit Harbert, de M Spilett, de Nab!...
l_ile_mysterieuse_1_11_f000125|-- Mon nom! s'écria Nab, en montrant ses dents étincelantes de blancheur.|-- Mon nom! s'écria Nab, en montrant ses dents étincelantes de blancheur.
l_ile_mysterieuse_1_11_f000126|-- Pourquoi pas? répliqua Pencroff. Le port Nab, cela ferait très bien! Et le cap Gédéon...|-- Pourquoi pas? répliqua Pencroff. Le port Nab, cela ferait très bien! Et le cap Gédéon...
l_ile_mysterieuse_1_11_f000127|-- Je préférerais des noms empruntés à notre pays, répondit le reporter, et qui nous rappelleraient l'Amérique.|-- Je préférerais des noms empruntés à notre pays, répondit le reporter, et qui nous rappelleraient l'Amérique.
l_ile_mysterieuse_1_11_f000128|-- Oui, pour les principaux, dit alors Cyrus Smith, pour ceux des baies ou des mers, je l'admets volontiers.|-- Oui, pour les principaux, dit alors Cyrus Smith, pour ceux des baies ou des mers, je l'admets volontiers.
l_ile_mysterieuse_1_11_f000129|Que nous donnions à cette vaste baie de l'est le nom de baie de l'Union, par exemple, à cette large échancrure du sud, celui de baie Washington,|Que nous donnions à cette vaste baie de l'est le nom de baie de l'Union, par exemple, à cette large échancrure du sud, celui de baie Washington,
l_ile_mysterieuse_1_11_f000130|au mont qui nous porte en ce moment, celui de mont Franklin, à ce lac qui s'étend sous nos regards, celui de lac Grant, rien de mieux, mes amis.|au mont qui nous porte en ce moment, celui de mont Franklin, à ce lac qui s'étend sous nos regards, celui de lac Grant, rien de mieux, mes amis.
l_ile_mysterieuse_1_11_f000131|Ces noms nous rappelleront notre pays et ceux des grands citoyens qui l'ont honoré; mais pour les rivières, les golfes, les caps, les promontoires, que nous apercevons du haut de cette montagne, choisissons des dénominations que rappellent plutôt leur configuration particulière.|Ces noms nous rappelleront notre pays et ceux des grands citoyens qui l'ont honoré; mais pour les rivières, les golfes, les caps, les promontoires, que nous apercevons du haut de cette montagne, choisissons des dénominations que rappellent plutôt leur configuration particulière.
l_ile_mysterieuse_1_11_f000132|Elles se graveront mieux dans notre esprit, et seront en même temps plus pratiques.|Elles se graveront mieux dans notre esprit, et seront en même temps plus pratiques.
l_ile_mysterieuse_1_11_f000133|La forme de l'île est assez étrange pour que nous ne soyons pas embarrassés d'imaginer des noms qui fassent figure.|La forme de l'île est assez étrange pour que nous ne soyons pas embarrassés d'imaginer des noms qui fassent figure.
l_ile_mysterieuse_1_11_f000134|Quant aux cours d'eau que nous ne connaissons pas, aux diverses parties de la forêt que nous explorerons plus tard, aux criques qui seront découvertes dans la suite,|Quant aux cours d'eau que nous ne connaissons pas, aux diverses parties de la forêt que nous explorerons plus tard, aux criques qui seront découvertes dans la suite,
l_ile_mysterieuse_1_11_f000135|nous les baptiserons à mesure qu'ils se présenteront à nous. Qu'en pensez-vous, mes amis?|nous les baptiserons à mesure qu'ils se présenteront à nous. Qu'en pensez-vous, mes amis?
l_ile_mysterieuse_1_11_f000136|La proposition de l'ingénieur fut unanimement admise par ses compagnons.|La proposition de l'ingénieur fut unanimement admise par ses compagnons.
