ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_02_barrili_f000126|O che abbiano presa l'abitudine di tapparsi in casa, quando passa il Giotto redivivo?|O che abbiano presa l'abitudine di tapparsi in casa, quando passa il Giotto redivivo?
ritrattodeldiavolo_02_barrili_f000127|--Ah sì, Giotto ridivivo! Ben detto!--esclamò Lippo del Calzaiuolo.|--Ah sì, Giotto ridivivo! Ben detto!--esclamò Lippo del Calzaiuolo.
ritrattodeldiavolo_02_barrili_f000128|--Se ti sente mastro Jacopo, ti abbraccia e ti bacia sulle gote. --Chi parla di mastro Jacopo?|--Se ti sente mastro Jacopo, ti abbraccia e ti bacia sulle gote. --Chi parla di mastro Jacopo?
ritrattodeldiavolo_02_barrili_f000129|--gridò una voce, che mise lo scompiglio nella brigata.|--gridò una voce, che mise lo scompiglio nella brigata.
ritrattodeldiavolo_02_barrili_f000130|--E chi ho da baciar sulle gote, se è lecito?|--E chi ho da baciar sulle gote, se è lecito?
ritrattodeldiavolo_02_barrili_f000131|--Maestro!--dissero i garzoni, tirandosi indietro mogi e confusi.|--Maestro!--dissero i garzoni, tirandosi indietro mogi e confusi.
ritrattodeldiavolo_02_barrili_f000132|Il maestro si avanzò in mezzo al crocchio e vide il quaderno dei disegni di Spinello Spinelli.|Il maestro si avanzò in mezzo al crocchio e vide il quaderno dei disegni di Spinello Spinelli.
ritrattodeldiavolo_02_barrili_f000133|--Ah!--riprese egli, con accento mutato. --Studiavate?|--Ah!--riprese egli, con accento mutato. --Studiavate?
ritrattodeldiavolo_02_barrili_f000134|Ammiravate anche voi quel che sa fare questo bravo giovinetto?|Ammiravate anche voi quel che sa fare questo bravo giovinetto?
ritrattodeldiavolo_02_barrili_f000135|Avanti, su, si faccia avanti quello che ho da baciar sulle gote, e mi dica cosa pensa di Spinello Spinelli.|Avanti, su, si faccia avanti quello che ho da baciar sulle gote, e mi dica cosa pensa di Spinello Spinelli.
ritrattodeldiavolo_02_barrili_f000136|--Maestro,--scappò fuori il Chiacchiera,--io non so se mi bacerete sulle gote, o se piuttosto non mi allungherete una pedata;|--Maestro,--scappò fuori il Chiacchiera,--io non so se mi bacerete sulle gote, o se piuttosto non mi allungherete una pedata;
ritrattodeldiavolo_02_barrili_f000137|ma dico, con vostra licenza, che questo Spinello ha voluto fare un ritratto, in questo piccolo schizzo.|ma dico, con vostra licenza, che questo Spinello ha voluto fare un ritratto, in questo piccolo schizzo.
ritrattodeldiavolo_02_barrili_f000138|--Orbene,--disse mastro Jacopo, rabbruscandosi;|--Orbene,--disse mastro Jacopo, rabbruscandosi;
ritrattodeldiavolo_02_barrili_f000139|--e se avesse proprio voluto fare un ritratto, che ci vedreste di male voi altri?|--e se avesse proprio voluto fare un ritratto, che ci vedreste di male voi altri?
ritrattodeldiavolo_02_barrili_f000140|--Niente, Dio guardi; niente nell'intenzione. Ma quanto all'esito del tentativo....|--Niente, Dio guardi; niente nell'intenzione. Ma quanto all'esito del tentativo....
ritrattodeldiavolo_02_barrili_f000141|Vedete qua Tuccio di Credi, il quale sostiene che la somiglianza è tutta dovuta alla parsimonia dei tratti.|Vedete qua Tuccio di Credi, il quale sostiene che la somiglianza è tutta dovuta alla parsimonia dei tratti.
ritrattodeldiavolo_02_barrili_f000142|Il vostro protetto ha trovata l'aria della figura, e nient'altro.|Il vostro protetto ha trovata l'aria della figura, e nient'altro.
ritrattodeldiavolo_02_barrili_f000143|Se dovesse fare un ritratto, si troverebbe molto impicciato.|Se dovesse fare un ritratto, si troverebbe molto impicciato.
ritrattodeldiavolo_02_barrili_f000144|Mastro Jacopo crollò sdegnosamente le spalle.|Mastro Jacopo crollò sdegnosamente le spalle.
ritrattodeldiavolo_02_barrili_f000145|--Eh via, lasagnoni! Quello è un giovane che, se vorrà fare un ritratto|--Eh via, lasagnoni! Quello è un giovane che, se vorrà fare un ritratto
ritrattodeldiavolo_02_barrili_f000146|anche da pittore novellino qual è, lo farà, in barba a tutti voi, quando avrete messo su barba.|anche da pittore novellino qual è, lo farà, in barba a tutti voi, quando avrete messo su barba.
ritrattodeldiavolo_02_barrili_f000147|--Parri della Quercia non è di questa opinione. --Ah, Parri?|--Parri della Quercia non è di questa opinione. --Ah, Parri?
ritrattodeldiavolo_02_barrili_f000148|... sentiamo qual è l'opinione di messer Parri della Quercia.|... sentiamo qual è l'opinione di messer Parri della Quercia.
ritrattodeldiavolo_02_barrili_f000149|Parri, così tirato in ballo dalla imprudenza del Chiacchiera, si fece modestamente a rispondere:|Parri, così tirato in ballo dalla imprudenza del Chiacchiera, si fece modestamente a rispondere:
ritrattodeldiavolo_02_barrili_f000150|--Io, veramente, maestro, non intendevo di togliere i meriti al vostro nuovo scolaro.|--Io, veramente, maestro, non intendevo di togliere i meriti al vostro nuovo scolaro.
ritrattodeldiavolo_02_barrili_f000151|Non lo conosco ancora di persona, ma lo stimo già assai per questi tocchi di penna, che voi ci avete proposti ad esempio.|Non lo conosco ancora di persona, ma lo stimo già assai per questi tocchi di penna, che voi ci avete proposti ad esempio.
ritrattodeldiavolo_02_barrili_f000152|Dicevo solamente che madonna Fiordalisa....|Dicevo solamente che madonna Fiordalisa....
ritrattodeldiavolo_02_barrili_f000153|Jacopo di Casentino diede un balzo e guardò il migliore de' suoi discepoli con aria tra maravigliata e scontrosa.|Jacopo di Casentino diede un balzo e guardò il migliore de' suoi discepoli con aria tra maravigliata e scontrosa.
ritrattodeldiavolo_02_barrili_f000154|--Che c'entra madonna Fiordalisa? --diss'egli interrompendolo.|--Che c'entra madonna Fiordalisa? --diss'egli interrompendolo.
ritrattodeldiavolo_02_barrili_f000155|--Eh, c'entra in questo modo,--rispose Parri della Quercia,|--Eh, c'entra in questo modo,--rispose Parri della Quercia,
ritrattodeldiavolo_02_barrili_f000156|--che nei quattro tocchi di cui parlavamo dianzi, quando voi siete capitato.... Eccoli qua, del resto;|--che nei quattro tocchi di cui parlavamo dianzi, quando voi siete capitato.... Eccoli qua, del resto;
ritrattodeldiavolo_02_barrili_f000157|non ci vedete il ritratto di madonna Fiordalisa?|non ci vedete il ritratto di madonna Fiordalisa?
ritrattodeldiavolo_02_barrili_f000158|Almeno almeno, si può dire che arieggiano la sua figura. ---Sia pure;|Almeno almeno, si può dire che arieggiano la sua figura. ---Sia pure;
ritrattodeldiavolo_02_barrili_f000159|--disse mastro Jacopo, col piglio di chi non vuol negare nè ammettere una cosa. --E che cosa dicevi tu dunque?|--disse mastro Jacopo, col piglio di chi non vuol negare nè ammettere una cosa. --E che cosa dicevi tu dunque?
ritrattodeldiavolo_02_barrili_f000160|--Dicevo che madonna può riconoscersi in questi contorni, ma che questo non può dirsi un vero ritratto.|--Dicevo che madonna può riconoscersi in questi contorni, ma che questo non può dirsi un vero ritratto.
ritrattodeldiavolo_02_barrili_f000161|Un ritratto della vostra figliuola io l'ho per la cosa più difficile del mondo, se non per avventura impossibile.|Un ritratto della vostra figliuola io l'ho per la cosa più difficile del mondo, se non per avventura impossibile.
ritrattodeldiavolo_02_barrili_f000162|Madonna Fiordalisa ha un'aria così mutevole!|Madonna Fiordalisa ha un'aria così mutevole!
ritrattodeldiavolo_02_barrili_f000163|--Aria mutevole! aria mutevole!--borbottò mastro Jacopo.|--Aria mutevole! aria mutevole!--borbottò mastro Jacopo.
ritrattodeldiavolo_02_barrili_f000164|--Non so che cosa intendiate di dire, con quest'aria mutevole.|--Non so che cosa intendiate di dire, con quest'aria mutevole.
ritrattodeldiavolo_02_barrili_f000165|I vecchi pittori non le conoscevano, queste novità del vostro gergo.|I vecchi pittori non le conoscevano, queste novità del vostro gergo.
ritrattodeldiavolo_02_barrili_f000166|--Maestro,--entrò a dire il Chiacchiera, vedendo che Parri della Quercia era rimasto mutolo|--Maestro,--entrò a dire il Chiacchiera, vedendo che Parri della Quercia era rimasto mutolo
ritrattodeldiavolo_02_barrili_f000167|--sono le parti mobili del viso, che fanno di questi scherzi. Il viso ha le sue parti mobili; è l'opinione di Tuccio di Credi.|--sono le parti mobili del viso, che fanno di questi scherzi. Il viso ha le sue parti mobili; è l'opinione di Tuccio di Credi.
ritrattodeldiavolo_02_barrili_f000168|Mastro Jacopo andava di meraviglia in meraviglia.|Mastro Jacopo andava di meraviglia in meraviglia.
ritrattodeldiavolo_02_barrili_f000169|--Ah sì! Anche Tuccio di Credi ha un'opinione? --chiese egli, con accento sarcastico.|--Ah sì! Anche Tuccio di Credi ha un'opinione? --chiese egli, con accento sarcastico.
ritrattodeldiavolo_02_barrili_f000170|Tuccio di Credi fu toccato sul vivo da quelle parole, ma più dal tono canzonatorio con cui erano profferite.|Tuccio di Credi fu toccato sul vivo da quelle parole, ma più dal tono canzonatorio con cui erano profferite.
ritrattodeldiavolo_02_barrili_f000171|--Che male ci sarebbe, maestro? --disse egli. --E che ci vedreste di strano? --Niente, in verità; niente strano in voi altri.|--Che male ci sarebbe, maestro? --disse egli. --E che ci vedreste di strano? --Niente, in verità; niente strano in voi altri.
ritrattodeldiavolo_02_barrili_f000172|E non ci sarebbe neanche ombra di male, se almeno voleste prendervi il fastidio di lavorare.|E non ci sarebbe neanche ombra di male, se almeno voleste prendervi il fastidio di lavorare.
ritrattodeldiavolo_02_barrili_f000173|Siete lasagnoni, buoni a nulla.... Cioè, mi correggo; siete buoni a far chiacchiere;|Siete lasagnoni, buoni a nulla.... Cioè, mi correggo; siete buoni a far chiacchiere;
ritrattodeldiavolo_02_barrili_f000174|tanto che uno di voi ci ha buscato il soprannome.|tanto che uno di voi ci ha buscato il soprannome.
ritrattodeldiavolo_02_barrili_f000175|Ragionare di principii, far trattati, inventar dottrine, ecco il fatto vostro.|Ragionare di principii, far trattati, inventar dottrine, ecco il fatto vostro.
ritrattodeldiavolo_02_barrili_f000176|Lavoro, vuol essere, lavoro, e poi sempre lavoro.|Lavoro, vuol essere, lavoro, e poi sempre lavoro.
ritrattodeldiavolo_02_barrili_f000177|Le ragioni dell'arte son qui, nel braccio e nella schiena; il resto non vale più che tanto.|Le ragioni dell'arte son qui, nel braccio e nella schiena; il resto non vale più che tanto.
ritrattodeldiavolo_02_barrili_f000178|Fatemi la grazia di lasciare le ragioni dell'arte, i principii, i trattati, a coloro che sono invecchiati nell'operare.|Fatemi la grazia di lasciare le ragioni dell'arte, i principii, i trattati, a coloro che sono invecchiati nell'operare.
ritrattodeldiavolo_02_barrili_f000179|Anche voi, un giorno, quando sarete giunti a compieta, potrete dire ai giovani: così va fatto e così non va fatto.|Anche voi, un giorno, quando sarete giunti a compieta, potrete dire ai giovani: così va fatto e così non va fatto.
ritrattodeldiavolo_02_barrili_f000180|In nome di che? In nome della vostra esperienza.|In nome di che? In nome della vostra esperienza.
ritrattodeldiavolo_02_barrili_f000181|Senza di questa non ci son dottrine che tengano.|Senza di questa non ci son dottrine che tengano.
ritrattodeldiavolo_02_barrili_f000182|--Maestro,--osò dire il Chiacchiera,--voi restringete il campo dell'arte.|--Maestro,--osò dire il Chiacchiera,--voi restringete il campo dell'arte.
ritrattodeldiavolo_02_barrili_f000183|--Che campo m'andate voi sfringuellando?|--Che campo m'andate voi sfringuellando?
ritrattodeldiavolo_02_barrili_f000184|Il campo dell'arte! Ecco un'altra invenzione dei pittori parolai.|Il campo dell'arte! Ecco un'altra invenzione dei pittori parolai.
ritrattodeldiavolo_02_barrili_f000185|Dovevate vederlo che cos'era il campo dell'arte, quando vivevano i grandi maestri.|Dovevate vederlo che cos'era il campo dell'arte, quando vivevano i grandi maestri.
ritrattodeldiavolo_02_barrili_f000186|Non le si conoscevano mica, queste cianciafruscole ai bei tempi di Taddeo Gaddi e di Giotto!|Non le si conoscevano mica, queste cianciafruscole ai bei tempi di Taddeo Gaddi e di Giotto!
ritrattodeldiavolo_02_barrili_f000187|--Giotto fu un rinnovatore dell'arte; --ribattè il Chiacchiera.|--Giotto fu un rinnovatore dell'arte; --ribattè il Chiacchiera.
ritrattodeldiavolo_02_barrili_f000188|--E noi dobbiam mirar tutti a fare del nuovo. --Ah sì?|--E noi dobbiam mirar tutti a fare del nuovo. --Ah sì?
ritrattodeldiavolo_02_barrili_f000189|E credete che sia possibile, far sempre del nuovo?|E credete che sia possibile, far sempre del nuovo?
ritrattodeldiavolo_02_barrili_f000190|Badate, lasagnoni, che le vostre novità non siano ritorni alle mosse.|Badate, lasagnoni, che le vostre novità non siano ritorni alle mosse.
ritrattodeldiavolo_02_barrili_f000191|L'unica novità, che io possa raccomandarvi è questa: fate, fate, non vi stancate di fare.|L'unica novità, che io possa raccomandarvi è questa: fate, fate, non vi stancate di fare.
ritrattodeldiavolo_02_barrili_f000192|E per intanto smettete le ciance, che il fistolo vi colga!--.|E per intanto smettete le ciance, che il fistolo vi colga!--.
ritrattodeldiavolo_02_barrili_f000193|Ciò detto, maestro Jacopo si allontanò dal crocchio dando una poderosa alzata di spalle.|Ciò detto, maestro Jacopo si allontanò dal crocchio dando una poderosa alzata di spalle.
ritrattodeldiavolo_02_barrili_f000194|Al quale atto il Chiacchiera rispose per tutti, facendo le boccacce.|Al quale atto il Chiacchiera rispose per tutti, facendo le boccacce.
ritrattodeldiavolo_02_barrili_f000195|Poco stante si affacciava un giovinotto sull'uscio della bottega. --È qui mastro Jacopo di Casentino? --chiese egli con aria peritosa.|Poco stante si affacciava un giovinotto sull'uscio della bottega. --È qui mastro Jacopo di Casentino? --chiese egli con aria peritosa.
ritrattodeldiavolo_02_barrili_f000196|--È qui; --rispose il Chiacchiera. --Che cosa volete da lui?|--È qui; --rispose il Chiacchiera. --Che cosa volete da lui?
ritrattodeldiavolo_02_barrili_f000197|Mastro Jacopo aveva udito la voce del nuovo visitatore, ed era subito escito sul limitare della sua camera.|Mastro Jacopo aveva udito la voce del nuovo visitatore, ed era subito escito sul limitare della sua camera.
ritrattodeldiavolo_02_barrili_f000198|--Oh, bravo, ragazzo mio, fatti avanti!--gridò egli. --Ti aspettavo. Eccoti in casa tua. Questi sono i tuoi compagni di lavoro;|--Oh, bravo, ragazzo mio, fatti avanti!--gridò egli. --Ti aspettavo. Eccoti in casa tua. Questi sono i tuoi compagni di lavoro;
ritrattodeldiavolo_02_barrili_f000199|Tuccio di Credi, Parri della Quercia, Cristofano Granacci, Lippo del Calzaiolo, il Chiacchiera... cioè|Tuccio di Credi, Parri della Quercia, Cristofano Granacci, Lippo del Calzaiolo, il Chiacchiera... cioè
ritrattodeldiavolo_02_barrili_f000200|diciamo prima il nome che ha avuto a battesimo, Angiolino Lorenzetti, e poi diremo quello che gli hanno appioppato le persone intendenti.|diciamo prima il nome che ha avuto a battesimo, Angiolino Lorenzetti, e poi diremo quello che gli hanno appioppato le persone intendenti.
ritrattodeldiavolo_02_barrili_f000201|Il giovane a cui erano presentati in quella forma gli scolari di mastro Jacopo,|Il giovane a cui erano presentati in quella forma gli scolari di mastro Jacopo,
ritrattodeldiavolo_02_barrili_f000202|li salutò con un cenno grazioso del capo, indi soggiunse: --Saremo amici, io spero.|li salutò con un cenno grazioso del capo, indi soggiunse: --Saremo amici, io spero.
ritrattodeldiavolo_02_barrili_f000203|--A voi, lasagnoni,--ripigliò maestro Jacopo,--salutate Spinello Spinelli, l'autore dei tocchi in penna che avete veduti poco fa.|--A voi, lasagnoni,--ripigliò maestro Jacopo,--salutate Spinello Spinelli, l'autore dei tocchi in penna che avete veduti poco fa.
ritrattodeldiavolo_02_barrili_f000204|È un ragazzo che, se non si svia per cammino, farà parlare di sè.|È un ragazzo che, se non si svia per cammino, farà parlare di sè.
ritrattodeldiavolo_02_barrili_f000205|Gli scolari di mastro Jacopo s'inchinarono davanti a Spinello.|Gli scolari di mastro Jacopo s'inchinarono davanti a Spinello.
ritrattodeldiavolo_02_barrili_f000206|Parri della Quercia gli stese la mano, dicendogli: --Amico e fratello, se vi piace.|Parri della Quercia gli stese la mano, dicendogli: --Amico e fratello, se vi piace.
ritrattodeldiavolo_02_barrili_f000207|Ma gli altri non si fecero così avanti, non si buttarono via come Parri della Quercia.|Ma gli altri non si fecero così avanti, non si buttarono via come Parri della Quercia.
ritrattodeldiavolo_02_barrili_f000208|--Saremo amici, io spero!--ripeteva sommesso il Chiacchiera, rifacendo il verso del nuovo venuto.|--Saremo amici, io spero!--ripeteva sommesso il Chiacchiera, rifacendo il verso del nuovo venuto.
ritrattodeldiavolo_02_barrili_f000209|--Vedete che degnazione! O che si crederebbe, per caso, d'essere il duca Namo di Baviera?|--Vedete che degnazione! O che si crederebbe, per caso, d'essere il duca Namo di Baviera?
ritrattodeldiavolo_02_barrili_f000210|--O il Saladino; --soggiunse Lippo del Calzaiolo. --Sarà poi Calandrino, e nulla più; --conchiuse Cristofano Granacci.|--O il Saladino; --soggiunse Lippo del Calzaiolo. --Sarà poi Calandrino, e nulla più; --conchiuse Cristofano Granacci.
ritrattodeldiavolo_02_barrili_f000211|Tuccio di Credi non disse nulla; ma dentro di sè pensava:|Tuccio di Credi non disse nulla; ma dentro di sè pensava:
ritrattodeldiavolo_02_barrili_f000212|--Amico tuo! Sei sciocco, affè mia, se lo speri!--.|--Amico tuo! Sei sciocco, affè mia, se lo speri!--.
ritrattodeldiavolo_03_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO TERZO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO TERZO.
ritrattodeldiavolo_03_barrili_f000002|Abbiano la mala pasqua i pessimisti, gli scettici, ed altri filosofi di tal fatta|Abbiano la mala pasqua i pessimisti, gli scettici, ed altri filosofi di tal fatta
ritrattodeldiavolo_03_barrili_f000003|i quali sostengono che l'uomo sia un animale invidioso per natura|i quali sostengono che l'uomo sia un animale invidioso per natura
ritrattodeldiavolo_03_barrili_f000004|e che le nostre buone qualità sieno solamente effetto di paziente educazione, come a dire di strofinamento e di verniciatura.|e che le nostre buone qualità sieno solamente effetto di paziente educazione, come a dire di strofinamento e di verniciatura.
ritrattodeldiavolo_03_barrili_f000005|Grazie al cielo, e con licenza dei filosofi sullodatì, ci sono ancora delle anime intimamente buone|Grazie al cielo, e con licenza dei filosofi sullodatì, ci sono ancora delle anime intimamente buone
ritrattodeldiavolo_03_barrili_f000006|la cui virtù è frutto di generazione spontanea, non già conseguenza d'innesto sapiente, o d'arte giudiziosamente educatrice.|la cui virtù è frutto di generazione spontanea, non già conseguenza d'innesto sapiente, o d'arte giudiziosamente educatrice.
ritrattodeldiavolo_03_barrili_f000007|E ci sono altresì degli uomini che non soffrono il male dell'invidia|E ci sono altresì degli uomini che non soffrono il male dell'invidia
ritrattodeldiavolo_03_barrili_f000008|neanche (e questo è meritorio da parte loro) quando vedono che Tizio o Caio ha ingegno o attitudine da superarli di gran lunga in questa o in quella disciplina.|neanche e questo è meritorio da parte loro quando vedono che Tizio o Caio ha ingegno o attitudine da superarli di gran lunga in questa o in quella disciplina.
ritrattodeldiavolo_03_barrili_f000009|Vedete, ad esempio, il nostro bravo messer Jacopo di Casentino.|Vedete, ad esempio, il nostro bravo messer Jacopo di Casentino.
ritrattodeldiavolo_03_barrili_f000010|Il vecchio scolaro di Taddeo Gaddi, il degno continuatore della tradizione di Giotto|Il vecchio scolaro di Taddeo Gaddi, il degno continuatore della tradizione di Giotto
ritrattodeldiavolo_03_barrili_f000011|indovinava facilmente che quel giovinottino da lui preso a bottega|indovinava facilmente che quel giovinottino da lui preso a bottega
ritrattodeldiavolo_03_barrili_f000012|quando avesse fatto un tantino di pratica nel maneggio dei pennelli|quando avesse fatto un tantino di pratica nel maneggio dei pennelli
ritrattodeldiavolo_03_barrili_f000013|sarebbe diventato di schianto un artista insigne, un maestro, da lasciarsi addietro i migliori del suo tempo.|sarebbe diventato di schianto un artista insigne, un maestro, da lasciarsi addietro i migliori del suo tempo.
ritrattodeldiavolo_03_barrili_f000014|E per lui, per quell'aquilotto che metteva appena i bordoni, mastro Jacopo aveva smosso il suo piglio burbero;|E per lui, per quell'aquilotto che metteva appena i bordoni, mastro Jacopo aveva smosso il suo piglio burbero;
ritrattodeldiavolo_03_barrili_f000015|per lui trovava le parole amorevoli, la placida assiduità degli insegnamenti, la ineffabile tenerezza dei conforti paterni.|per lui trovava le parole amorevoli, la placida assiduità degli insegnamenti, la ineffabile tenerezza dei conforti paterni.
ritrattodeldiavolo_03_barrili_f000016|Due sentimenti diversi lo persuadevano a ciò. Il primo era quello dell'ambizione.|Due sentimenti diversi lo persuadevano a ciò. Il primo era quello dell'ambizione.
ritrattodeldiavolo_03_barrili_f000017|Esser maestro ad un discepolo che non aveva punto mestieri di rimproveri e così poco di incitamenti a far meglio|Esser maestro ad un discepolo che non aveva punto mestieri di rimproveri e così poco di incitamenti a far meglio
ritrattodeldiavolo_03_barrili_f000018|poter raccomandare il suo nome ad un nuovo argomento di gloria, eccovi l'ambizione di mastro Jacopo;|poter raccomandare il suo nome ad un nuovo argomento di gloria, eccovi l'ambizione di mastro Jacopo;
ritrattodeldiavolo_03_barrili_f000019|ambizione legittima, e, quel che più monta, di effetto sicuro, si sarebbe detto un giorno: Spinello Spinelli|ambizione legittima, e, quel che più monta, di effetto sicuro, si sarebbe detto un giorno: Spinello Spinelli
ritrattodeldiavolo_03_barrili_f000020|il famoso pittore d'Arezzo, era scolaro di Jacopo da Casentino.|il famoso pittore d'Arezzo, era scolaro di Jacopo da Casentino.
ritrattodeldiavolo_03_barrili_f000021|Degno del maestro il discepolo! E se pure si fosse dovuto dire: migliore del maestro la gran pezza, sarebbe stato poi un gran male?|Degno del maestro il discepolo! E se pure si fosse dovuto dire: migliore del maestro la gran pezza, sarebbe stato poi un gran male?
ritrattodeldiavolo_03_barrili_f000022|Avere indovinato un ingegno potente, averlo tratto dall'oscurità, avergli per così dire adattate le ali agli omeri, non è forse una gloria|Avere indovinato un ingegno potente, averlo tratto dall'oscurità, avergli per così dire adattate le ali agli omeri, non è forse una gloria
ritrattodeldiavolo_03_barrili_f000023|un titolo di merito al cospetto dei posteri, specie quando un simil titolo si può metter di costa ad altri parecchi?|un titolo di merito al cospetto dei posteri, specie quando un simil titolo si può metter di costa ad altri parecchi?
ritrattodeldiavolo_03_barrili_f000024|Ora, che mastro Jacopo di Casentino non s'ingannasse in questi suoi sogni ambiziosi, la storia dell'arte italiana lo ha dimostrato.|Ora, che mastro Jacopo di Casentino non s'ingannasse in questi suoi sogni ambiziosi, la storia dell'arte italiana lo ha dimostrato.
ritrattodeldiavolo_03_barrili_f000025|La fama di Spinello Aretino ha confermata, se non per avventura accresciuta, la fama del suo vecchio maestro.|La fama di Spinello Aretino ha confermata, se non per avventura accresciuta, la fama del suo vecchio maestro.
ritrattodeldiavolo_03_barrili_f000026|L'altro sentimento era d'indole affatto domestica. Gli dò mia figlia; --diceva tra sè mastro Jacopo.|L'altro sentimento era d'indole affatto domestica. Gli dò mia figlia; --diceva tra sè mastro Jacopo.
ritrattodeldiavolo_03_barrili_f000027|--Bello lui, come essa è bella: ha ingegno, salirà presto in eccellenza d'arte; avrò in lui un aiuto maraviglioso; prospererà la mia scuola;|--Bello lui, come essa è bella: ha ingegno, salirà presto in eccellenza d'arte; avrò in lui un aiuto maraviglioso; prospererà la mia scuola;
ritrattodeldiavolo_03_barrili_f000028|Arezzo contenderà la palma a Firenze.... E qui mastro Spinello....|Arezzo contenderà la palma a Firenze.... E qui mastro Spinello....
ritrattodeldiavolo_03_barrili_f000029|Ma via, non precipitiamo nulla, raccontiamo le cose per filo e per segno, non mettiamo il carro avanti ai buoi.|Ma via, non precipitiamo nulla, raccontiamo le cose per filo e per segno, non mettiamo il carro avanti ai buoi.
ritrattodeldiavolo_03_barrili_f000030|Madonna Fiordalisa, ve l'ho già detto, si dimostrava umana col nuovo discepolo dì suo padre.|Madonna Fiordalisa, ve l'ho già detto, si dimostrava umana col nuovo discepolo dì suo padre.
ritrattodeldiavolo_03_barrili_f000031|Più volte nel corso della settimana, o con un pretesto o con l'altro, Spinello Spinelli era invitato a desinare dal maestro;|Più volte nel corso della settimana, o con un pretesto o con l'altro, Spinello Spinelli era invitato a desinare dal maestro;
ritrattodeldiavolo_03_barrili_f000032|onore che toccava di rado agli altri compagni suoi di bottega.|onore che toccava di rado agli altri compagni suoi di bottega.
ritrattodeldiavolo_03_barrili_f000033|Qualche volta anche lei discendeva al pian terreno;|Qualche volta anche lei discendeva al pian terreno;
ritrattodeldiavolo_03_barrili_f000034|e certamente più spesso che non le accadesse da prima;|e certamente più spesso che non le accadesse da prima;
ritrattodeldiavolo_03_barrili_f000035|ora per avvertire il babbo che si dava in tavola, ora per chiedergli il suo parere su questo o su quel particolare d'economia domestica|ora per avvertire il babbo che si dava in tavola, ora per chiedergli il suo parere su questo o su quel particolare d'economia domestica
ritrattodeldiavolo_03_barrili_f000036|ed anche, perchè bisogna dir tutto, anche senza una ragione sufficiente per scendere.|ed anche, perchè bisogna dir tutto, anche senza una ragione sufficiente per scendere.
ritrattodeldiavolo_03_barrili_f000037|Ma già deve trovarla sempre, e per ogni cosa, la ragione sufficiente?|Ma già deve trovarla sempre, e per ogni cosa, la ragione sufficiente?
ritrattodeldiavolo_03_barrili_f000038|I filosofi, che hanno voluto metterla come fondamento dei loro sistemi, si sono trovati anch'essi il più delle volte impacciati. E Spinello ardeva;|I filosofi, che hanno voluto metterla come fondamento dei loro sistemi, si sono trovati anch'essi il più delle volte impacciati. E Spinello ardeva;
ritrattodeldiavolo_03_barrili_f000039|e l'interno ardore gli traluceva dagli occhi.|e l'interno ardore gli traluceva dagli occhi.
ritrattodeldiavolo_03_barrili_f000040|Voi lo sapete, lettori, perchè di lì ci sarete passati un giorno anche voi; l'amore e la tosse si nascondono male.|Voi lo sapete, lettori, perchè di lì ci sarete passati un giorno anche voi; l'amore e la tosse si nascondono male.
ritrattodeldiavolo_03_barrili_f000041|Anche madonna Fiordalisa nascondeva male il senso che faceva su lei l'amore di Spinello Spinelli;|Anche madonna Fiordalisa nascondeva male il senso che faceva su lei l'amore di Spinello Spinelli;
ritrattodeldiavolo_03_barrili_f000042|anzi, non lo nascondeva affatto. Perchè avrebbe dovuto nasconderlo?|anzi, non lo nascondeva affatto. Perchè avrebbe dovuto nasconderlo?
ritrattodeldiavolo_03_barrili_f000043|Non era nato, quell'affetto, e non cresceva forse liberamente sotto lo sguardo benevolo di suo padre? Era da principio un po' timida;|Non era nato, quell'affetto, e non cresceva forse liberamente sotto lo sguardo benevolo di suo padre? Era da principio un po' timida;
ritrattodeldiavolo_03_barrili_f000044|poi, nel ravvisare la stato del proprio cuore, si era fatta contegnosa.|poi, nel ravvisare la stato del proprio cuore, si era fatta contegnosa.
ritrattodeldiavolo_03_barrili_f000045|Ma queste deboli difese, pari alle fortificazioni improvvisate lì per lì da un esercito in aperta campagna|Ma queste deboli difese, pari alle fortificazioni improvvisate lì per lì da un esercito in aperta campagna
ritrattodeldiavolo_03_barrili_f000046|durano appena quel tanto che basti ad una semplice ricognizione.|durano appena quel tanto che basti ad una semplice ricognizione.
ritrattodeldiavolo_03_barrili_f000047|E madonna Fiordalisa non aveva durato fatica a riconoscere che quel gentile e modesto innamorato non era altrimenti un ingannatore.|E madonna Fiordalisa non aveva durato fatica a riconoscere che quel gentile e modesto innamorato non era altrimenti un ingannatore.
ritrattodeldiavolo_03_barrili_f000048|Si sentì raffidata e gli diede senza contrasto il suo cuore.|Si sentì raffidata e gli diede senza contrasto il suo cuore.
ritrattodeldiavolo_03_barrili_f000049|Dolce abbandono, che non è turbato da nessun sospetto, da nessuna paura!|Dolce abbandono, che non è turbato da nessun sospetto, da nessuna paura!
