kleine_lord_01_f000001|Erstes Kapitel|Erstes Kapitel
kleine_lord_02_f000430|Es ist doch angenehmer, als ich mir's dachte, ein Graf zu sein. Beinahe bin ich froh – beinahe bin ich sehr froh, daß ich einer werden soll.|Es ist doch angenehmer, als ich mir's dachte, ein Graf zu sein. Beinahe bin ich froh - beinahe bin ich sehr froh, daß ich einer werden soll.
kleine_lord_03_f000001|Drittes Kapitel|Drittes Kapitel
kleine_lord_03_f000002|Abschied von der Heimat|Abschied von der Heimat
kleine_lord_03_f000003|Während der folgenden Woche erfuhr Cedriks günstige Meinung über Grafen im allgemeinen und besondern noch eine wesentliche Steigerung.|Während der folgenden Woche erfuhr Cedriks günstige Meinung über Grafen im allgemeinen und besondern noch eine wesentliche Steigerung.
kleine_lord_03_f000004|Es wurde ihm anfangs schwer, zu begreifen, daß es kaum mehr etwas gab, was er nicht erlangen konnte, und völlig wurde er sich über diese Thatsache überhaupt nicht klar.|Es wurde ihm anfangs schwer, zu begreifen, daß es kaum mehr etwas gab, was er nicht erlangen konnte, und völlig wurde er sich über diese Thatsache überhaupt nicht klar.
kleine_lord_03_f000005|Das aber hatte er nach einigen Gesprächen mit Mister Havisham erkannt, daß die Wünsche, die er auf dem Herzen hatte,|Das aber hatte er nach einigen Gesprächen mit Mister Havisham erkannt, daß die Wünsche, die er auf dem Herzen hatte,
kleine_lord_03_f000006|in Erfüllung gehen sollten, und er machte sich dies mit einem Entzücken und einer Selbstlosigkeit zu nutze, die den würdigen Herrn sehr ergötzten.|in Erfüllung gehen sollten, und er machte sich dies mit einem Entzücken und einer Selbstlosigkeit zu nutze, die den würdigen Herrn sehr ergötzten.
kleine_lord_03_f000007|In der Woche, ehe sie sich nach England einschifften, geschahen merkwürdige Dinge, und dem Advokaten blieb es unvergeßlich,|In der Woche, ehe sie sich nach England einschifften, geschahen merkwürdige Dinge, und dem Advokaten blieb es unvergeßlich,
kleine_lord_03_f000008|wie sie morgens einen gemeinsamen Besuch bei Dick machten, und wie sie nachmittags die Apfelfrau aus altem Geschlecht in großes Erstaunen versetzten durch die Mitteilung,|wie sie morgens einen gemeinsamen Besuch bei Dick machten, und wie sie nachmittags die Apfelfrau aus altem Geschlecht in großes Erstaunen versetzten durch die Mitteilung,
kleine_lord_03_f000009|daß ein Zelt und ein Ofen und ein Shawl ihr zu teil werden solle, und überdies noch eine Summe Geldes, die ihr ganz abenteuerlich vorkam.|daß ein Zelt und ein Ofen und ein Shawl ihr zu teil werden solle, und überdies noch eine Summe Geldes, die ihr ganz abenteuerlich vorkam.
kleine_lord_03_f000010|Denn ich muß nach England gehen und ein Lord werden, erklärte Ceddie mit herzgewinnender Freundlichkeit.|Denn ich muß nach England gehen und ein Lord werden, erklärte Ceddie mit herzgewinnender Freundlichkeit.
kleine_lord_03_f000011|Und ich möchte nicht, so oft es regnet, an Ihre armen Knochen denken müssen.|Und ich möchte nicht, so oft es regnet, an Ihre armen Knochen denken müssen.
kleine_lord_03_f000012|Meine Knochen schmerzen mich nie, deshalb kann ich mir nicht recht vorstellen, wie das ist, aber Sie haben mir immer sehr leid gethan und ich hoffe, daß jetzt alles besser wird.|Meine Knochen schmerzen mich nie, deshalb kann ich mir nicht recht vorstellen, wie das ist, aber Sie haben mir immer sehr leid gethan und ich hoffe, daß jetzt alles besser wird.
kleine_lord_03_f000013|Sie ist eine sehr gute Frau, sagte er zu Mister Havisham im Weggehen.|Sie ist eine sehr gute Frau, sagte er zu Mister Havisham im Weggehen.
kleine_lord_03_f000014|Einmal bin ich hingefallen und hatte ein Loch im Knie, da hat sie mir einen Apfel geschenkt, das habe ich ihr nie vergessen.|Einmal bin ich hingefallen und hatte ein Loch im Knie, da hat sie mir einen Apfel geschenkt, das habe ich ihr nie vergessen.
kleine_lord_03_f000015|Sie wissen ja, das vergißt man nie, wenn jemand uns etwas Gutes gethan hat.|Sie wissen ja, das vergißt man nie, wenn jemand uns etwas Gutes gethan hat.
kleine_lord_03_f000016|Die Besprechung mit Dick war sehr aufregend. Dick hatte eben großen Verdruß mit Jack gehabt und war in sehr gedrückter Stimmung, als sie ihn begrüßten.|Die Besprechung mit Dick war sehr aufregend. Dick hatte eben großen Verdruß mit Jack gehabt und war in sehr gedrückter Stimmung, als sie ihn begrüßten.
kleine_lord_03_f000017|Seine Verblüffung, als Cedrik ihm ganz ruhig mitteilte, daß er aller Not ein Ende machen wolle, war derart, daß er ganz sprachlos war.|Seine Verblüffung, als Cedrik ihm ganz ruhig mitteilte, daß er aller Not ein Ende machen wolle, war derart, daß er ganz sprachlos war.
kleine_lord_03_f000018|Lord Fauntleroys Art und Weise, den Zweck seines Besuches darzulegen, war von größter Einfachheit und Formlosigkeit,|Lord Fauntleroys Art und Weise, den Zweck seines Besuches darzulegen, war von größter Einfachheit und Formlosigkeit,
kleine_lord_03_f000019|und auf den daneben stehenden Mister Havisham machte die Geradheit, mit der er auf sein Ziel lossteuerte, großen Eindruck.|und auf den daneben stehenden Mister Havisham machte die Geradheit, mit der er auf sein Ziel lossteuerte, großen Eindruck.
kleine_lord_03_f000020|Die Mitteilung, daß sein alter Freund ein Lord geworden und in Gefahr stehe, ein Graf zu werden, wenn er am Leben bleibe,|Die Mitteilung, daß sein alter Freund ein Lord geworden und in Gefahr stehe, ein Graf zu werden, wenn er am Leben bleibe,
kleine_lord_03_f000021|veranlaßte Dick, Mund und Nase aufzusperren und so erstaunt ins Blaue zu starren, daß ihm die Mütze vom Kopfe fiel.|veranlaßte Dick, Mund und Nase aufzusperren und so erstaunt ins Blaue zu starren, daß ihm die Mütze vom Kopfe fiel.
kleine_lord_03_f000022|Nachdem er dieselbe aufgehoben, stieß er eine Bemerkung aus, die Mister Havisham etwas befremdete, Seiner Herrlichkeit aber nichts Neues zu sein schien.|Nachdem er dieselbe aufgehoben, stieß er eine Bemerkung aus, die Mister Havisham etwas befremdete, Seiner Herrlichkeit aber nichts Neues zu sein schien.
kleine_lord_03_f000023|Was gibst du mir, wenn ich das Zeug glaube?|Was gibst du mir, wenn ich das Zeug glaube?
kleine_lord_03_f000024|Verletzt fühlte sich der kleine Lord keineswegs von dieser Bemerkung, wohl aber versetzte ihn dieselbe in einige Verlegenheit, aus der er sich aber tapfer herausarbeitete.|Verletzt fühlte sich der kleine Lord keineswegs von dieser Bemerkung, wohl aber versetzte ihn dieselbe in einige Verlegenheit, aus der er sich aber tapfer herausarbeitete.
kleine_lord_03_f000025|Es denkt jeder, es sei nicht wahr, sagte er. Mister Hobbs meinte, ich hatte einen Sonnenstich.|Es denkt jeder, es sei nicht wahr, sagte er. Mister Hobbs meinte, ich hatte einen Sonnenstich.
kleine_lord_03_f000026|Anfangs war es mir selbst auch gar nicht angenehm, aber nun habe ich mich schon daran gewöhnt.|Anfangs war es mir selbst auch gar nicht angenehm, aber nun habe ich mich schon daran gewöhnt.
kleine_lord_03_f000027|Der, welcher jetzt Graf ist, der ist mein Großpapa und der will, daß ich alles thun soll, was mir Freude macht.|Der, welcher jetzt Graf ist, der ist mein Großpapa und der will, daß ich alles thun soll, was mir Freude macht.
kleine_lord_03_f000028|Er ist sehr gütig, wenn er auch ein Graf ist, und er hat mir durch Mister Havisham eine Menge Geld geschickt, und davon sollst du welches haben, um Jack auszubezahlen.|Er ist sehr gütig, wenn er auch ein Graf ist, und er hat mir durch Mister Havisham eine Menge Geld geschickt, und davon sollst du welches haben, um Jack auszubezahlen.
kleine_lord_03_f000029|Das Ende vom Liede war, daß Dick dies wirklich that, und daß er mit neuen Bürsten, einem sehr in die Augen fallenden Schilde und einer prächtigen Ausrüstung Alleinherrscher in seinem Geschäfte wurde.|Das Ende vom Liede war, daß Dick dies wirklich that, und daß er mit neuen Bürsten, einem sehr in die Augen fallenden Schilde und einer prächtigen Ausrüstung Alleinherrscher in seinem Geschäfte wurde.
kleine_lord_03_f000030|Er konnte erst ebensowenig an sein Glück glauben wie die Apfelfrau aus altem Geschlechte;|Er konnte erst ebensowenig an sein Glück glauben wie die Apfelfrau aus altem Geschlechte;
kleine_lord_03_f000031|er starrte seinen Wohlthäter ratlos an und erwartete jeden Augenblick, daß der Traum ein Ende haben werde.|er starrte seinen Wohlthäter ratlos an und erwartete jeden Augenblick, daß der Traum ein Ende haben werde.
kleine_lord_03_f000032|Erst als Cedrik ihm die Hand zum Abschied reichte, ward er sich der Thatsächlichkeit des ganzen Vorganges bewußt.|Erst als Cedrik ihm die Hand zum Abschied reichte, ward er sich der Thatsächlichkeit des ganzen Vorganges bewußt.
kleine_lord_03_f000033|Und nun leb wohl, sagte Ceddie mit einem ernstlichen Versuche, ihn das Zittern seiner Stimme nicht merken zu lassen,|Und nun leb wohl, sagte Ceddie mit einem ernstlichen Versuche, ihn das Zittern seiner Stimme nicht merken zu lassen,
kleine_lord_03_f000034|und mit einem etwas krampfhaften Zwinkern der großen braunen Augen.|und mit einem etwas krampfhaften Zwinkern der großen braunen Augen.
kleine_lord_03_f000035|Ich hoffe, daß dein Geschäft jetzt gut geht. Mir thut's leid, daß ich fort muß, vielleicht komme ich wieder,|Ich hoffe, daß dein Geschäft jetzt gut geht. Mir thut's leid, daß ich fort muß, vielleicht komme ich wieder,
kleine_lord_03_f000036|wenn ich ein Graf bin, und hoffentlich schreibst du mir auch, denn wir sind ja immer gute Freunde gewesen.|wenn ich ein Graf bin, und hoffentlich schreibst du mir auch, denn wir sind ja immer gute Freunde gewesen.
kleine_lord_03_f000037|Hier habe ich dir's aufgeschrieben, wie du die Adresse an mich machen mußt, ich heiße nicht mehr Cedrik Errol, sondern Lord Fauntleroy und – jetzt lebe wohl, Dick!|Hier habe ich dir's aufgeschrieben, wie du die Adresse an mich machen mußt, ich heiße nicht mehr Cedrik Errol, sondern Lord Fauntleroy und - jetzt lebe wohl, Dick!
kleine_lord_03_f000038|Dick zwinkerte auch angestrengt mit den Augen, und doch waren seine Wimpern verräterisch feucht.|Dick zwinkerte auch angestrengt mit den Augen, und doch waren seine Wimpern verräterisch feucht.
kleine_lord_03_f000039|Er war kein sehr gebildeter Schuhputzer, und es wäre ihm schwer geworden, seine Empfindungen in Worte zu fassen,|Er war kein sehr gebildeter Schuhputzer, und es wäre ihm schwer geworden, seine Empfindungen in Worte zu fassen,
kleine_lord_03_f000040|deshalb machte er auch gar keinen Versuch dazu, sondern begnügte sich, zu blinzeln und etwas zu verschlucken, was ihm immer wieder im Halse aufstieg.|deshalb machte er auch gar keinen Versuch dazu, sondern begnügte sich, zu blinzeln und etwas zu verschlucken, was ihm immer wieder im Halse aufstieg.
kleine_lord_03_f000041|Wollte, du bliebest hier, sagte er mit heiserer Stimme.|Wollte, du bliebest hier, sagte er mit heiserer Stimme.
kleine_lord_03_f000042|Dann lüftete er seine Mütze und wandte sich an Mister Havisham: Danke auch, Sir, daß Sie ihn hergebracht, und für alles.|Dann lüftete er seine Mütze und wandte sich an Mister Havisham: Danke auch, Sir, daß Sie ihn hergebracht, und für alles.
kleine_lord_03_f000043|Er – er ist ein kurioser kleiner Kerl, setzte er hinzu, ich habe immer große Stücke auf ihn gehalten. Und Grütze im Kopfe hat er und ist so ein ganz aparter Jung'.|Er - er ist ein kurioser kleiner Kerl, setzte er hinzu, ich habe immer große Stücke auf ihn gehalten. Und Grütze im Kopfe hat er und ist so ein ganz aparter Jung'.
kleine_lord_03_f000044|Und nachdem die beiden von ihm weggegangen, stand Dick noch lange da und sah ihnen nach, und solange er die kleine biegsame Gestalt so elastisch neben ihrem großen,|Und nachdem die beiden von ihm weggegangen, stand Dick noch lange da und sah ihnen nach, und solange er die kleine biegsame Gestalt so elastisch neben ihrem großen,
kleine_lord_03_f000045|ernsten Begleiter dahinwandeln sah, wollte der Nebel vor seinen Augen nicht weichen.|ernsten Begleiter dahinwandeln sah, wollte der Nebel vor seinen Augen nicht weichen.
kleine_lord_03_f000046|Bis zum Tage der Abreise brachte Seine Herrlichkeit so viel Zeit als möglich in Mister Hobbs Laden zu.|Bis zum Tage der Abreise brachte Seine Herrlichkeit so viel Zeit als möglich in Mister Hobbs Laden zu.
kleine_lord_03_f000047|Mister Hobbs selbst war in sehr gedrückter Stimmung, aus der er sich kaum mehr aufzuraffen wußte, und als sein kleiner Freund ihm triumphierend sein Abschiedsgeschenk,|Mister Hobbs selbst war in sehr gedrückter Stimmung, aus der er sich kaum mehr aufzuraffen wußte, und als sein kleiner Freund ihm triumphierend sein Abschiedsgeschenk,
kleine_lord_03_f000048|eine goldne Uhr mit Kette überreichte, war er kaum im stande, die Gabe gehörig zu würdigen.|eine goldne Uhr mit Kette überreichte, war er kaum im stande, die Gabe gehörig zu würdigen.
kleine_lord_03_f000049|Er legte das Etui auf sein Knie und schneuzte sich mehrmals mit großem Geräusche.|Er legte das Etui auf sein Knie und schneuzte sich mehrmals mit großem Geräusche.
kleine_lord_03_f000050|Es steht was drin, sagte Cedrik, innen drin. Ich hab's dem Manne selbst gesagt, was er hineinschreiben müsse: Mister Hobbs von seinem ältesten Freunde, Lord Fauntleroy.|Es steht was drin, sagte Cedrik, innen drin. Ich hab's dem Manne selbst gesagt, was er hineinschreiben müsse: Mister Hobbs von seinem ältesten Freunde, Lord Fauntleroy.
kleine_lord_03_f000051|Die Uhr, sie spricht: Vergiß–mich–nicht! Ich will nicht, daß Sie mich vergessen.|Die Uhr, sie spricht: Vergiß-mich-nicht! Ich will nicht, daß Sie mich vergessen.
kleine_lord_03_f000052|Mister Hobbs machte abermals energischen Gebrauch von seinem Taschentuche.|Mister Hobbs machte abermals energischen Gebrauch von seinem Taschentuche.
kleine_lord_03_f000053|Ich werde dich auch nicht vergessen, sagte er und seine Stimme klang ebenso merkwürdig heiser wie die von Dick,|Ich werde dich auch nicht vergessen, sagte er und seine Stimme klang ebenso merkwürdig heiser wie die von Dick,
kleine_lord_03_f000054|vergiß nur du mich nicht, wenn du unter die englischen Aristokraten kommst.|vergiß nur du mich nicht, wenn du unter die englischen Aristokraten kommst.
kleine_lord_03_f000055|Sie werde ich nicht vergessen, unter was für Menschen ich auch komme, versicherte der kleine Lord.|Sie werde ich nicht vergessen, unter was für Menschen ich auch komme, versicherte der kleine Lord.
kleine_lord_03_f000056|Bei Ihnen bin ich immer am glücklichsten gewesen, fast am glücklichsten, und ich hoffe, Sie besuchen mich einmal.|Bei Ihnen bin ich immer am glücklichsten gewesen, fast am glücklichsten, und ich hoffe, Sie besuchen mich einmal.
kleine_lord_03_f000057|Mein Großpapa würde sich ganz gewiß furchtbar freuen; vielleicht schreibt er Ihnen selbst und ladet Sie ein, wenn ich ihm alles erzähle.|Mein Großpapa würde sich ganz gewiß furchtbar freuen; vielleicht schreibt er Ihnen selbst und ladet Sie ein, wenn ich ihm alles erzähle.
kleine_lord_03_f000058|Und – und nicht wahr, Sie würden dann nicht daran denken, daß er ein Graf ist? Ich meine, Sie würden deshalb doch kommen, wenn er Ihnen schreibt?|Und - und nicht wahr, Sie würden dann nicht daran denken, daß er ein Graf ist? Ich meine, Sie würden deshalb doch kommen, wenn er Ihnen schreibt?
kleine_lord_03_f000059|Ich würde dir zuliebe kommen, erklärte Mister Hobbs huldvoll, und damit war zugestanden, daß er im Falle einer dringenden Einladung von seiten des Grafen seine republikanischen Vorurteile überwinden,|Ich würde dir zuliebe kommen, erklärte Mister Hobbs huldvoll, und damit war zugestanden, daß er im Falle einer dringenden Einladung von seiten des Grafen seine republikanischen Vorurteile überwinden,
kleine_lord_03_f000060|sein Bündel schnüren und ein paar Monate auf Schloß Dorincourt zubringen würde.|sein Bündel schnüren und ein paar Monate auf Schloß Dorincourt zubringen würde.
kleine_lord_03_f000061|Endlich waren alle Vorbereitungen abgethan. Der Tag erschien, an dem die Koffer an Bord geschafft wurden, und die Stunde, da der Wagen vor der Hausthür hielt.|Endlich waren alle Vorbereitungen abgethan. Der Tag erschien, an dem die Koffer an Bord geschafft wurden, und die Stunde, da der Wagen vor der Hausthür hielt.
kleine_lord_03_f000062|Ein seltsames Gefühl von Einsamkeit und Verlassenheit überkam dann den kleinen Jungen.|Ein seltsames Gefühl von Einsamkeit und Verlassenheit überkam dann den kleinen Jungen.
kleine_lord_03_f000063|Die Mutter hatte sich ein paar Stunden in ihrem Zimmer eingeschlossen gehabt, und als sie nachher die Treppe herabkam, waren ihre Augen naß und ihr lieblicher Mund bebte seltsam.|Die Mutter hatte sich ein paar Stunden in ihrem Zimmer eingeschlossen gehabt, und als sie nachher die Treppe herabkam, waren ihre Augen naß und ihr lieblicher Mund bebte seltsam.
kleine_lord_03_f000064|Cedrik eilte ihr entgegen, sie beugte sich zu ihm nieder, und er schlang seine Aermchen um ihren Hals und küßte sie.|Cedrik eilte ihr entgegen, sie beugte sich zu ihm nieder, und er schlang seine Aermchen um ihren Hals und küßte sie.
kleine_lord_03_f000065|Was es war, wußte er nicht recht, aber er fühlte, daß sie beide traurig waren, und unwillkürlich kam's ihm auf die Lippen:|Was es war, wußte er nicht recht, aber er fühlte, daß sie beide traurig waren, und unwillkürlich kam's ihm auf die Lippen:
kleine_lord_03_f000066|Gelt, Herzlieb, wir haben unser kleines Haus lieb gehabt?|Gelt, Herzlieb, wir haben unser kleines Haus lieb gehabt?
kleine_lord_03_f000067|Und wir werden's immer lieb behalten?|Und wir werden's immer lieb behalten?
kleine_lord_03_f000068|Ja, ja, versetzte sie mit leiser Stimme. Ja, mein Herzenskind.|Ja, ja, versetzte sie mit leiser Stimme. Ja, mein Herzenskind.
kleine_lord_03_f000069|Und dann stiegen sie in den Wagen und Ceddie setzte sich ganz nahe zu seiner Mama, sah sie unverwandt an,|Und dann stiegen sie in den Wagen und Ceddie setzte sich ganz nahe zu seiner Mama, sah sie unverwandt an,
kleine_lord_03_f000070|hielt ihre Hand fest und streichelte sie ganz leise, indes sie nach dem verödeten Hause zurückblickte.|hielt ihre Hand fest und streichelte sie ganz leise, indes sie nach dem verödeten Hause zurückblickte.
kleine_lord_03_f000071|Unglaublich kurze Zeit darauf befanden sie sich auf dem Dampfer, mitten im wildesten Lärm und Getriebe.|Unglaublich kurze Zeit darauf befanden sie sich auf dem Dampfer, mitten im wildesten Lärm und Getriebe.
kleine_lord_03_f000072|Wagen fuhren an und setzten Passagiere ab, Reisende gerieten in Verzweiflung über ihr Gepäck, das noch nicht da war und möglicherweise zu spät kam,|Wagen fuhren an und setzten Passagiere ab, Reisende gerieten in Verzweiflung über ihr Gepäck, das noch nicht da war und möglicherweise zu spät kam,
kleine_lord_03_f000073|Reisekoffer und Kisten wurden hin und her gezerrt und geschleppt, Matrosen rollten Taue auf und eilten ab und zu,|Reisekoffer und Kisten wurden hin und her gezerrt und geschleppt, Matrosen rollten Taue auf und eilten ab und zu,
kleine_lord_03_f000074|Befehle wurden erteilt, Damen und Herren, Kinder und Kinderfrauen kamen an Bord, die einen lachend und fröhlich, die andern still und gedrückt, einzelne mit Thränen in den Augen.|Befehle wurden erteilt, Damen und Herren, Kinder und Kinderfrauen kamen an Bord, die einen lachend und fröhlich, die andern still und gedrückt, einzelne mit Thränen in den Augen.
kleine_lord_03_f000075|Ueberall entdeckte Cedrik etwas Interessantes; die Berge von Tauen, die aufgerollten Segel, die in den blauen Himmel hineinragenden Masten,|Ueberall entdeckte Cedrik etwas Interessantes; die Berge von Tauen, die aufgerollten Segel, die in den blauen Himmel hineinragenden Masten,
kleine_lord_03_f000076|alles fesselte seine Aufmerksamkeit, und er nahm sich fest vor, mit den Matrosen Freundschaft zu schließen und womöglich Näheres über Seeräuber zu erfahren.|alles fesselte seine Aufmerksamkeit, und er nahm sich fest vor, mit den Matrosen Freundschaft zu schließen und womöglich Näheres über Seeräuber zu erfahren.
kleine_lord_03_f000077|Gerade im allerletzten Augenblicke – Cedrik stand am Geländer des oberen Deckes, beobachtete die Zeichen zur Abfahrt und erfreute sich an den Zurufen der Matrosen und der Leute auf dem Damme|Gerade im allerletzten Augenblicke - Cedrik stand am Geländer des oberen Deckes, beobachtete die Zeichen zur Abfahrt und erfreute sich an den Zurufen der Matrosen und der Leute auf dem Damme
kleine_lord_03_f000078|bemerkte er in einer wenige Schritte von ihm entfernten Gruppe einen kleinen Kampf.|bemerkte er in einer wenige Schritte von ihm entfernten Gruppe einen kleinen Kampf.
kleine_lord_03_f000079|Jemand drängte sich mit Gewalt durch und zwar in seiner Richtung, es war ein Junge, der etwas Rotes in der Hand hielt – Dick! Ganz atemlos gelangte er endlich in Cedriks Nähe.|Jemand drängte sich mit Gewalt durch und zwar in seiner Richtung, es war ein Junge, der etwas Rotes in der Hand hielt - Dick! Ganz atemlos gelangte er endlich in Cedriks Nähe.
kleine_lord_03_f000080|Bin ich gelaufen, keuchte er, wollte dich doch abfahren sehen.|Bin ich gelaufen, keuchte er, wollte dich doch abfahren sehen.
kleine_lord_03_f000081|Geschäft ist prima. Von dem, was ich gestern gemacht, habe ich das für dich gekauft, kannst's brauchen, wenn du unter die feinen Leute kommst.|Geschäft ist prima. Von dem, was ich gestern gemacht, habe ich das für dich gekauft, kannst's brauchen, wenn du unter die feinen Leute kommst.
kleine_lord_03_f000082|Das Papier habe ich verloren im Gedränge, die Kerls wollten mich nicht 'rauf lassen, 's ist ein Taschentuch.|Das Papier habe ich verloren im Gedränge, die Kerls wollten mich nicht 'rauf lassen, 's ist ein Taschentuch.
kleine_lord_03_f000083|In einem Atemzuge stieß er den Satz heraus, und ehe Cedrik Zeit hatte, etwas zu erwidern, erklang das letzte Zeichen, und mit einem gewaltigen Satze flog Dick davon.|In einem Atemzuge stieß er den Satz heraus, und ehe Cedrik Zeit hatte, etwas zu erwidern, erklang das letzte Zeichen, und mit einem gewaltigen Satze flog Dick davon.
kleine_lord_03_f000084|Leb wohl! rief er noch. Trag's, wenn du zu den Vornehmen kommst! und damit war er verschwunden.|Leb wohl! rief er noch. Trag's, wenn du zu den Vornehmen kommst! und damit war er verschwunden.
kleine_lord_03_f000085|Ein paar Sekunden darauf sah man ihn sich auf dem unteren Decke durch die Leute drängen und in dem Augenblicke,|Ein paar Sekunden darauf sah man ihn sich auf dem unteren Decke durch die Leute drängen und in dem Augenblicke,
kleine_lord_03_f000086|ehe die Planke weggezogen ward, sprang er ans Ufer und schwenkte seine Mütze.|ehe die Planke weggezogen ward, sprang er ans Ufer und schwenkte seine Mütze.
kleine_lord_03_f000087|Cedrik hielt sein hochrotes, seidenes Tuch, das mit ungeheuern dunkelblauen Hufeisen und Pferdeköpfen geschmückt war, in der Hand.|Cedrik hielt sein hochrotes, seidenes Tuch, das mit ungeheuern dunkelblauen Hufeisen und Pferdeköpfen geschmückt war, in der Hand.
kleine_lord_03_f000088|Allgemeines Durcheinanderrennen und großer Tumult entstand.|Allgemeines Durcheinanderrennen und großer Tumult entstand.
kleine_lord_03_f000089|Vom Dampfer hinüber und herüber von den am Ufer Stehenden klangen die Rufe: Leb wohl, altes Haus! Leb wohl! Leb wohl! Vergiß uns nicht.|Vom Dampfer hinüber und herüber von den am Ufer Stehenden klangen die Rufe: Leb wohl, altes Haus! Leb wohl! Leb wohl! Vergiß uns nicht.
kleine_lord_03_f000090|Nicht wahr, du schreibst von Liverpool? Gute Fahrt! Leb wohl!|Nicht wahr, du schreibst von Liverpool? Gute Fahrt! Leb wohl!
kleine_lord_03_f000091|Der kleine Lord Fauntleroy beugte sich weit hinaus und ließ sein rotes Tuch flattern.|Der kleine Lord Fauntleroy beugte sich weit hinaus und ließ sein rotes Tuch flattern.
kleine_lord_03_f000092|Leb wohl, Dick! rief er, so laut er konnte. Ich danke dir! Leb wohl, Dick.|Leb wohl, Dick! rief er, so laut er konnte. Ich danke dir! Leb wohl, Dick.
kleine_lord_03_f000093|Und das mächtige Schiff setzte sich langsam in Bewegung, die Leute riefen Hurra, Cedriks Mutter zog den Schleier vors Gesicht,|Und das mächtige Schiff setzte sich langsam in Bewegung, die Leute riefen Hurra, Cedriks Mutter zog den Schleier vors Gesicht,
kleine_lord_03_f000094|auf dem Damme herrschte große Bewegung, Dick aber sah von alledem nichts, als das liebliche Kindergesicht mit seinem blonden Heiligenschein,|auf dem Damme herrschte große Bewegung, Dick aber sah von alledem nichts, als das liebliche Kindergesicht mit seinem blonden Heiligenschein,
kleine_lord_03_f000095|auf den die Sonne fiel, und hörte nichts, als die herzliebe, frische Stimme, die immer wieder: Leb wohl, Dick! rief.|auf den die Sonne fiel, und hörte nichts, als die herzliebe, frische Stimme, die immer wieder: Leb wohl, Dick! rief.
kleine_lord_03_f000096|So segelte der kleine Lord Fauntleroy von seinem Heimatlande weg in die ihm fremde Welt seiner Ahnen.|So segelte der kleine Lord Fauntleroy von seinem Heimatlande weg in die ihm fremde Welt seiner Ahnen.
kleine_lord_04_f000001|Viertes Kapitel|Viertes Kapitel
kleine_lord_04_f000002|In England|In England
kleine_lord_04_f000003|Unterwegs teilte die Mutter ihrem Lieblinge mit, daß sie in Zukunft nicht mehr zusammenleben würden.|Unterwegs teilte die Mutter ihrem Lieblinge mit, daß sie in Zukunft nicht mehr zusammenleben würden.
kleine_lord_04_f000004|Es kostete Mühe, bis er sich von einer solchen Möglichkeit überzeugen ließ, und sein Jammer darüber war so grenzenlos,|Es kostete Mühe, bis er sich von einer solchen Möglichkeit überzeugen ließ, und sein Jammer darüber war so grenzenlos,
kleine_lord_04_f000005|daß Mister Havisham im stillen nur den glücklichen Gedanken des Grafen, die Mutter in der Nähe wohnen zu lassen,|daß Mister Havisham im stillen nur den glücklichen Gedanken des Grafen, die Mutter in der Nähe wohnen zu lassen,
kleine_lord_04_f000006|pries, denn ohne diesen Trost hätte das Kind die Trennung schwerlich ertragen.|pries, denn ohne diesen Trost hätte das Kind die Trennung schwerlich ertragen.
kleine_lord_04_f000007|Die Mutter that alles, um ihm die Vorstellung freundlicher zu machen, und tröstete ihn so herzlich und erzählte ihm immer wieder,|Die Mutter that alles, um ihm die Vorstellung freundlicher zu machen, und tröstete ihn so herzlich und erzählte ihm immer wieder,
kleine_lord_04_f000008|wie nah sie ihm sein werde, daß ihm der Gedanke allmählich weniger schrecklich erschien.|wie nah sie ihm sein werde, daß ihm der Gedanke allmählich weniger schrecklich erschien.
kleine_lord_04_f000009|Mein Haus ist gar nicht weit vom Schlosse, Ceddie, sagte sie, so oft die Rede darauf kam, ganz nahe sogar, und du kannst immer herüberlaufen und nach mir sehen.|Mein Haus ist gar nicht weit vom Schlosse, Ceddie, sagte sie, so oft die Rede darauf kam, ganz nahe sogar, und du kannst immer herüberlaufen und nach mir sehen.
kleine_lord_04_f000010|Und denke dir nur, wieviel du mir dann zu erzählen haben wirst, und wie glücklich wir miteinander sein werden.|Und denke dir nur, wieviel du mir dann zu erzählen haben wirst, und wie glücklich wir miteinander sein werden.
kleine_lord_04_f000011|Ach, es muß ja so schön dort sein! Wie oft hat mir dein Papa alles beschrieben. Ihm war das Schloß ganz ans Herz gewachsen, und du wirst es auch bald lieb gewinnen.|Ach, es muß ja so schön dort sein! Wie oft hat mir dein Papa alles beschrieben. Ihm war das Schloß ganz ans Herz gewachsen, und du wirst es auch bald lieb gewinnen.
kleine_lord_04_f000012|Wenn du auch dort wärst, dann wohl, versetzte der betrübte kleine Lord mit einem tiefen Seufzer.|Wenn du auch dort wärst, dann wohl, versetzte der betrübte kleine Lord mit einem tiefen Seufzer.
kleine_lord_04_f000013|Es war ja ganz natürlich, daß ihm eine Einrichtung, die ihn von Herzlieb trennte, als etwas sehr Widersinniges und Unbegreifliches erschien.|Es war ja ganz natürlich, daß ihm eine Einrichtung, die ihn von Herzlieb trennte, als etwas sehr Widersinniges und Unbegreifliches erschien.
kleine_lord_04_f000014|Missis Errol hielt es zudem für richtig, ihn über die Gründe dieser Trennung nicht aufzuklären.|Missis Errol hielt es zudem für richtig, ihn über die Gründe dieser Trennung nicht aufzuklären.
